cec1ad29c841937829841af5ae41371c4151f320c4b007d530178fe6d5a03684,318a8ca5a787b3d75db545ccd048d666fac26e666928e47ed1b0633163f2a5a2,9b753a1e54e79f8aacdfdff53d6d9439f1f96dedaa93c8c25e818a0b591a4c65,087d093c93f9c8667caa6746bff0c62ceb09e4034241e7e7241e7d7cfb8c21d8,e70ffa33a8181b86daa148fa073bf35b9185539a2b0b2f56cb486ae4f144a47a,4f1825d34b1035475888724a73fe7d94e603688247f79025f2faa3a4990e0107,0136b2981e467720f34d3703dab77eec47b3be5be216c8c522688d4a0e2e19bd,abfa38f7d70da6c96ceb4e8f583849bd50ffc53e980736b5831f1e158e15d4f6,d96ba4ce1dd3d9f80d0a7cdf3204ea3b3dff91e73e42c81ad2943a05e9a1a80d,491ebc4f090d8ec93677289a8beeee02dccc606e456b3ec80118f3c7a36d87ae,e291ca427f296e5a0a3f83f325d38b1365e28d72da8a0747b9313c37f9ac3c65,d14edb58eaadf7eb7f4756ab062c76f7c5fe7083291d6154c8b0c5efe5fb6227
"0","1120018","18","250","12","1","0","4","0","2.388","0","0"
"0","1120019","19","0","12","4","3.338","0","0","0","0","1"
"0","1120020","20","0","12","2","0","0","vo_nyx_0104","0","vo_nyx","0"
"0","1120021","21","108","12","1","0","5","0","0.778","0","0"
"0","1120022","22","0","12","4","1.214","0","0","0","0","1"
"108","1120023","23","375","12","1","0","5","0","3.167","0","0"
"0","1120024","24","0","12","4","3.61","0","0","0","0","1"
"0","1120025","25","279","12","1","0","6","0","2.618","0","0"
"0","1120026","26","0","12","4","3.198","0","0","0","0","1"
"0","1120027","27","0","12","2","0","0","vo_nyx_0105","0","vo_nyx","0"
"279","1120028","28","392","12","1","0","6","0","1.4","0","0"
"0","1120029","29","0","12","4","1.448","0","0","0","0","1"
"0","1120030","30","309","12","1","0","7","0","2.927","0","0"
"0","1120031","31","0","12","4","3.811","0","0","0","0","1"
"0","1120032","32","0","12","4","3","0","0","0","0","3"
"0","1120033","33","0","12","2","0","0","vo_nyx_0106","0","vo_nyx","0"
"309","1120034","34","360","12","1","0","7","0","0.506","0","0"
"0","1120035","35","0","12","4","1.175","0","0","0","0","1"
"0","1120036","36","0","12","4","3","0","0","0","0","3"
"0","1120037","37","0","12","2","0","0","vo_nyx_0107","0","vo_nyx","0"
"0","1120038","38","233","12","1","0","8","0","1.439","0","0"
"0","1120039","39","0","12","4","1.439","0","0","0","0","1"
"233","1120040","40","345","12","1","0","8","0","1.462","0","0"
"0","1120041","41","0","12","4","2.178","0","0","0","0","1"
"0","1120042","42","0","12","2","0","0","vo_nyx_0108","0","vo_nyx","0"
"0","1120043","43","400","12","1","0","9","0","3.765","0","0"
"0","1120044","44","0","12","4","4.495","0","0","0","0","1"
"0","1120045","45","0","12","2","0","0","vo_nyx_0109","0","vo_nyx","0"
"0","1120046","46","109","12","1","0","10","0","1.137","0","0"
"0","1120047","47","0","12","4","1.484","0","0","0","0","1"
"109","1120048","48","395","12","1","0","10","0","2.686","0","0"
"0","1120049","49","0","12","4","2.686","0","0","0","0","1"
"0","1120050","50","127","12","1","0","11","0","0.736","0","0"
"0","1120051","51","0","12","4","1.06","0","0","0","0","1"
"0","1120052","52","0","12","2","0","0","vo_nyx_0110","0","vo_nyx","0"
"127","1120053","53","133","12","1","0","11","0","0.353","0","0"
"0","1120054","54","0","12","4","1.137","0","0","0","0","1"
"0","1120055","55","0","12","2","0","0","vo_nyx_0111","0","vo_nyx","0"
"0","1120056","56","406","12","1","0","12","0","2.51","0","0"
"0","1120057","57","0","12","4","3.164","0","0","0","0","1"
"0","1120058","58","0","12","2","0","0","vo_nyx_0112","0","vo_nyx","0"
"0","1120059","59","155","12","1","0","13","0","1.532","0","0"
"0","1120060","60","0","12","4","1.62","0","0","0","0","1"
"155","1120061","61","374","12","1","0","13","0","1.367","0","0"
"0","1120062","62","0","12","4","2.245","0","0","0","0","1"
"0","1120063","63","0","12","2","0","0","vo_nyx_0113","0","vo_nyx","0"
"0","1120064","64","124","12","1","0","14","0","1.116","0","0"
"0","1120065","65","0","12","4","1.735","0","0","0","0","1"
"124","1120066","66","238","12","1","0","14","0","1.048","0","0"
"0","1120067","67","0","12","4","2.848","0","0","0","0","1"
"0","1130001","1","0","13","4","1","0","0","0","0","3"
"0","1130002","2","0","13","2","0","0","vo_nyx_0201","0","vo_nyx","0"
"0","1130003","3","36","13","1","0","1","0","0.382","0","0"
"0","1130004","4","0","13","4","0.672","0","0","0","0","1"
"36","1130005","5","67","13","1","0","1","0","0.65","0","0"
"0","1130006","6","0","13","4","1.115","0","0","0","0","1"
"67","1130007","7","192","13","1","0","1","0","2.158","0","0"
"0","1130008","8","0","13","4","2.541","0","0","0","0","1"
"192","1130009","9","365","13","1","0","1","0","0.914","0","0"
"0","1130010","10","0","13","4","0.914","0","0","0","0","1"
"0","1130011","11","220","13","1","0","2","0","1.72","0","0"
"0","1130012","12","0","13","4","1.5","0","0","0","0","1"
"0","1130013","13","0","13","4","2","0","0","0","0","3"
"0","1130014","14","0","13","4","1.726","0","0","0","0","1"
"0","1130015","15","0","13","2","0","0","vo_nyx_0202","0","vo_nyx","0"
"0","1130016","16","335","13","1","0","3","0","2.838","0","0"
"0","1130017","17","0","13","4","3.334","0","0","0","0","1"
"0","1130018","18","300","13","1","0","4","0","2.491","0","0"
"0","1130019","19","0","13","4","3.427","0","0","0","0","1"
"0","1130020","20","0","13","4","3","0","0","0","0","3"
"0","1130021","21","0","13","2","0","0","vo_nyx_0203","0","vo_nyx","0"
"0","1130022","22","28","13","1","0","5","0","0.475","0","0"
"0","1130023","23","0","13","4","0.872","0","0","0","0","1"
"28","1130024","24","103","13","1","0","5","0","1.001","0","0"
"0","1130025","25","0","13","4","1.492","0","0","0","0","1"
"103","1130026","26","310","13","1","0","5","0","1.73","0","0"
"0","1130027","27","0","13","4","2.045","0","0","0","0","1"
"310","1130028","28","395","13","1","0","5","0","0.87","0","0"
"0","1130029","29","0","13","4","1.949","0","0","0","0","1"
"0","1130030","30","0","13","2","0","0","vo_nyx_0204","0","vo_nyx","0"
"0","1130031","31","165","13","1","0","6","0","1.885","0","0"
"0","1130032","32","0","13","4","2.37","0","0","0","0","1"
"165","1130033","33","311","13","1","0","6","0","0.939","0","0"
"0","1130034","34","0","13","4","1.12","0","0","0","0","1"
"311","1130035","35","388","13","1","0","6","0","0.5","0","0"
"0","1130036","36","0","13","4","1.435","0","0","0","0","1"
"0","1130037","37","0","13","2","0","0","vo_nyx_0205","0","vo_nyx","0"
"0","1130038","38","45","13","1","0","7","0","0.58","0","0"
"0","1130039","39","0","13","4","0.976","0","0","0","0","1"
"45","1130040","40","292","13","1","0","7","0","1.425","0","0"
"0","1130041","41","0","13","4","1.683","0","0","0","0","1"
"292","1130042","42","292","13","1","0","7","0","0.85","0","0"
"0","1130043","43","0","13","4","1.9","0","0","0","0","1"
"0","1130044","44","0","13","4","4","0","0","0","0","3"
"0","1130045","45","0","13","2","0","0","vo_nyx_0206","0","vo_nyx","0"
"292","1130046","46","322","13","1","0","7","0","0.43","0","0"
"0","1130047","47","0","13","4","1.105","0","0","0","0","1"
"322","1130048","48","396","13","1","0","7","0","0.759","0","0"
"0","1130049","49","0","13","4","0.759","0","0","0","0","1"
"0","1130050","50","134","13","1","0","8","0","1.136","0","0"
"0","1130051","51","0","13","4","1.533","0","0","0","0","1"
"134","1130052","52","360","13","1","0","8","0","1.347","0","0"
"0","1130053","53","0","13","4","1.518","0","0","0","0","1"
"360","1130054","54","360","13","1","0","8","0","0.981","0","0"
"0","1130055","55","0","13","4","1.862","0","0","0","0","1"
"0","1130056","56","0","13","4","5","0","0","0","0","3"
"0","1130057","57","0","13","2","0","0","vo_nyx_0207","0","vo_nyx","0"
"0","1130058","58","36","13","1","0","9","0","0.44","0","0"
"0","1130059","59","0","13","4","0.9","0","0","0","0","1"
"36","1130060","60","276","13","1","0","9","0","1.404","0","0"
"0","1130061","61","0","13","4","1.74","0","0","0","0","1"
"276","1130062","62","325","13","1","0","9","0","0.986","0","0"
"0","1130063","63","0","13","4","0","0","0","0","0","1"
"325","1130064","64","377","13","1","0","9","0","0.437","0","0"
"0","1130065","65","0","13","4","0","0","0","0","0","1"
"0","1130066","66","376","13","1","0","10","0","1.317","0","0"
"0","1130067","67","0","13","4","1.317","0","0","0","0","1"
"376","1130068","68","376","13","1","0","10","0","2.659","0","0"
"0","1130069","69","0","13","4","0","0","0","0","0","1"
"0","1130070","70","190","13","1","0","11","0","1.834","0","0"
"0","1130071","71","0","13","4","6.509","0","0","0","0","1"
"0","1130072","72","0","13","2","0","0","vo_nyx_0208","0","vo_nyx","0"
"0","1130073","73","110","13","1","0","12","0","1.574","0","0"
"0","1130074","74","0","13","4","2.083","0","0","0","0","1"
"110","1130075","75","270","13","1","0","12","0","1.236","0","0"
"0","1130076","76","0","13","4","1.443","0","0","0","0","1"
"270","1130077","77","345","13","1","0","12","0","0.869","0","0"
"0","1130078","78","0","13","4","1.288","0","0","0","0","1"
"0","1130079","79","141","13","1","0","13","0","0.48","0","0"
"0","1130080","80","0","13","4","0.81","0","0","0","0","1"
"141","1130081","81","141","13","1","0","13","0","0.789","0","0"
"0","1130082","82","0","13","4","1.627","0","0","0","0","1"
"0","1130083","83","0","13","2","0","0","vo_nyx_0209","0","vo_nyx","0"
"141","1130084","84","250","13","1","0","13","0","0.707","0","0"
"0","1130085","85","0","13","4","2.507","0","0","0","0","1"
"0","1140001","1","0","14","4","1","0","0","0","0","3"
"0","1140002","2","0","14","2","0","0","vo_nyx_0301","0","vo_nyx","0"
"0","1140003","3","105","14","1","0","1","0","1.075","0","0"
"0","1140004","4","0","14","4","1.692","0","0","0","0","1"
"105","1140005","5","360","14","1","0","1","0","2.843","0","0"
"0","1140006","6","0","14","4","4","0","0","0","0","1"
"0","1140007","7","0","14","2","0","0","vo_nyx_0302","0","vo_nyx","0"
"0","1140008","8","74","14","1","0","2","0","1.567","0","0"
"0","1140009","9","0","14","4","1.964","0","0","0","0","1"
"74","1140010","10","230","14","1","0","2","0","0.78","0","0"
"0","1140011","11","0","14","4","2.076","0","0","0","0","1"
"0","1140012","12","0","14","2","0","0","vo_nyx_0303","0","vo_nyx","0"
"0","1140013","13","88","14","1","0","3","0","1.037","0","0"
"0","1140014","14","0","14","4","1.629","0","0","0","0","1"
"88","1140015","15","266","14","1","0","3","0","2.027","0","0"
"0","1140016","16","0","14","4","3.568","0","0","0","0","1"
"0","1140017","17","0","14","4","2","0","0","0","0","3"
"0","1140018","18","0","14","2","0","0","vo_nyx_0304","0","vo_nyx","0"
"266","1140019","19","380","14","1","0","3","0","1.38","0","0"
"0","1140020","20","0","14","4","1.419","0","0","0","0","1"
"0","1140021","21","150","14","1","0","4","0","0.491","0","0"
"0","1140022","22","0","14","4","0.545","0","0","0","0","1"
"150","1140023","23","345","14","1","0","4","0","2.409","0","0"
"0","1140024","24","0","14","4","3.711","0","0","0","0","1"
"0","1140025","25","0","14","2","0","0","vo_nyx_0305","0","vo_nyx","0"
"0","1140026","26","74","14","1","0","5","0","0.892","0","0"
"0","1140027","27","0","14","4","1.458","0","0","0","0","1"
"74","1140028","28","325","14","1","0","5","0","2.495","0","0"
"0","1140029","29","0","14","4","3.134","0","0","0","0","1"
"0","1140030","30","46","14","1","0","6","0","0.599","0","0"
"0","1140031","31","0","14","4","0.599","0","0","0","0","1"
"46","1140032","32","245","14","1","0","6","0","1.855","0","0"
"0","1140033","33","0","14","4","3.373","0","0","0","0","1"
"0","1140034","34","0","14","2","0","0","vo_nyx_0306","0","vo_nyx","0"
"0","1140035","35","175","14","1","0","7","0","1.629","0","0"
"0","1140036","36","0","14","4","3.34","0","0","0","0","1"
"0","1140037","37","0","14","2","0","0","vo_nyx_0307","0","vo_nyx","0"
"0","1140038","38","135","14","1","0","8","0","1.079","0","0"
"0","1140039","39","0","14","4","1.6","0","0","0","0","1"
"135","1140040","40","280","14","1","0","8","0","2.353","0","0"
"0","1140041","41","0","14","4","3.511","0","0","0","0","1"
"0","1140042","42","0","14","2","0","0","vo_nyx_0308","0","vo_nyx","0"
"280","1140043","43","400","14","1","0","8","0","0.511","0","0"
"0","1140044","44","0","14","4","0.511","0","0","0","0","1"
"0","1140045","45","148","14","1","0","9","0","1.154","0","0"
"0","1140046","46","0","14","4","1.511","0","0","0","0","1"
"148","1140047","47","405","14","1","0","9","0","3.186","0","0"
"0","1140048","48","0","14","4","4.034","0","0","0","0","1"
"0","1140049","49","0","14","2","0","0","vo_nyx_0309","0","vo_nyx","0"
"0","1140050","50","405","14","1","0","10","0","3.486","0","0"
"0","1140051","51","0","14","4","4.563","0","0","0","0","1"
"0","1140052","52","0","14","2","0","0","vo_nyx_0310","0","vo_nyx","0"
"0","1140053","53","150","14","1","0","11","0","0.815","0","0"
"0","1140054","54","0","14","4","2.384","0","0","0","0","1"
"0","1140055","55","0","14","2","0","0","vo_nyx_0311","0","vo_nyx","0"
"0","1140056","56","191","14","1","0","12","0","1.726","0","0"
"0","1140057","57","0","14","4","2.212","0","0","0","0","1"
"191","1140058","58","360","14","1","0","12","0","2.239","0","0"
"0","1140059","59","0","14","4","2.898","0","0","0","0","1"
"360","1140060","60","398","14","1","0","12","0","0.691","0","0"
"0","1140061","61","0","14","4","0","0","0","0","0","3"
"0","1140062","62","0","14","4","0.691","0","0","0","0","1"
"0","1140063","63","134","14","1","0","13","0","0.499","0","0"
"0","1140064","64","0","14","4","1.799","0","0","0","0","1"
"0","1140065","65","0","14","4","4","0","0","0","0","3"
"0","1140066","66","0","14","2","0","0","vo_nyx_0312","0","vo_nyx","0"
"134","1140067","67","375","14","1","0","13","0","0.674","0","0"
"0","1140068","68","0","14","4","1.251","0","0","0","0","1"
"375","1140069","69","375","14","1","0","13","0","0.959","0","0"
"0","1140070","70","0","14","4","1.676","0","0","0","0","1"
"375","1140071","71","375","14","1","0","13","0","1.894","0","0"
"0","1140072","72","0","14","4","1.894","0","0","0","0","1"
"0","1140073","73","120","14","1","0","14","0","0.844","0","0"
"0","1140074","74","0","14","4","2.644","0","0","0","0","1"
"0","1220001","1","0","22","4","1","0","0","0","0","3"
"0","1220002","2","0","22","2","0","0","vo_nyx_0401","0","vo_nyx","0"
"0","1220003","3","272","22","1","0","1","0","1.578","0","0"
"0","1220004","4","0","22","4","2.06","0","0","0","0","1"
"272","1220005","5","325","22","1","0","1","0","1.339","0","0"
"0","1220006","6","0","22","4","1.417","0","0","0","0","1"
"0","1220007","7","229","22","1","0","2","0","1.412","0","0"
"0","1220008","8","0","22","4","2.549","0","0","0","0","1"
"0","1220009","9","0","22","2","0","0","vo_nyx_0402","0","vo_nyx","0"
"229","1220010","10","360","22","1","0","2","0","1.74","0","0"
"0","1220011","11","0","22","4","2.249","0","0","0","0","1"
"360","1220012","12","390","22","1","0","2","0","0.455","0","0"
"0","1220013","13","0","22","4","0.455","0","0","0","0","1"
"0","1220014","14","188","22","1","0","3","0","1.361","0","0"
"0","1220015","15","0","22","4","2.433","0","0","0","0","1"
"0","1220016","16","0","22","2","0","0","vo_nyx_0403","0","vo_nyx","0"
"0","1220017","17","40","22","1","0","4","0","0.438","0","0"
"0","1220018","18","0","22","4","0.976","0","0","0","0","1"
"40","1220019","19","256","22","1","0","4","0","1.414","0","0"
"0","1220020","20","0","22","4","2.433","0","0","0","0","1"
"0","1220021","21","0","22","2","0","0","vo_nyx_0404","0","vo_nyx","0"
"0","1220022","22","119","22","1","0","5","0","1.829","0","0"
"0","1220023","23","0","22","4","2.237","0","0","0","0","1"
"119","1220024","24","340","22","1","0","5","0","1.018","0","0"
"0","1220025","25","0","22","4","1.965","0","0","0","0","1"
"0","1220026","26","0","22","4","2","0","0","0","0","3"
"0","1220027","27","0","22","2","0","0","vo_nyx_0405","0","vo_nyx","0"
"340","1220028","28","392","22","1","0","5","0","0.455","0","0"
"0","1220029","29","0","22","4","0.455","0","0","0","0","1"
"0","1220030","30","52","22","1","0","6","0","0.586","0","0"
"0","1220031","31","0","22","4","1.124","0","0","0","0","1"
"52","1220032","32","221","22","1","0","6","0","1.953","0","0"
"0","1220033","33","0","22","4","2.356","0","0","0","0","1"
"221","1220034","34","375","22","1","0","6","0","1.083","0","0"
"0","1220035","35","0","22","4","1.083","0","0","0","0","1"
"0","1220036","36","74","22","1","0","7","0","0.71","0","0"
"0","1220037","37","0","22","4","1.533","0","0","0","0","1"
"74","1220038","38","210","22","1","0","7","0","0.947","0","0"
"0","1220039","39","0","22","4","2","0","0","0","0","3"
"0","1220040","40","0","22","4","1.349","0","0","0","0","1"
"210","1220041","41","329","22","1","0","7","0","0.87","0","0"
"0","1220042","42","0","22","4","0.87","0","0","0","0","1"
"0","1220043","43","203","22","1","0","8","0","1.758","0","0"
"0","1220044","44","0","22","4","2.198","0","0","0","0","1"
"203","1220045","45","342","22","1","0","8","0","1.601","0","0"
"0","1220046","46","0","22","4","2.097","0","0","0","0","1"
"342","1220047","47","393","22","1","0","8","0","0.546","0","0"
"0","1220048","48","0","22","4","0.546","0","0","0","0","1"
"0","1220049","49","390","22","1","0","9","0","1.277","0","0"
"0","1220050","50","0","22","4","1.656","0","0","0","0","1"
"390","1220051","51","390","22","1","0","9","0","2.113","0","0"
"0","1220052","52","0","22","4","3.362","0","0","0","0","1"
"0","1220053","53","0","22","4","3","0","0","0","0","3"
"0","1220054","54","0","22","2","0","0","vo_nyx_0406","0","vo_nyx","0"
"0","1220055","55","259","22","1","0","10","0","2.628","0","0"
"0","1220056","56","0","22","4","3.131","0","0","0","0","1"
"259","1220057","57","345","22","1","0","10","0","0.846","0","0"
"0","1220058","58","0","22","4","1.249","0","0","0","0","1"
"345","1220059","59","396","22","1","0","10","0","0.516","0","0"
"0","1220060","60","0","22","4","0.593","0","0","0","0","1"
"0","1220061","61","318","22","1","0","11","0","2.285","0","0"
"0","1220062","62","0","22","4","3.475","0","0","0","0","1"
"0","1220063","63","0","22","4","4","0","0","0","0","3"
"0","1220064","64","0","22","2","0","0","vo_nyx_0407","0","vo_nyx","0"
"0","1220065","65","258","22","1","0","12","0","2.326","0","0"
"0","1220066","66","0","22","4","2.872","0","0","0","0","1"
"258","1220067","67","395","22","1","0","12","0","1.488","0","0"
"0","1220068","68","0","22","4","1.488","0","0","0","0","1"
"0","1220069","69","220","22","1","0","13","0","1.728","0","0"
"0","1220070","70","0","22","4","2.711","0","0","0","0","1"
"0","1220071","71","0","22","2","0","0","vo_nyx_0408","0","vo_nyx","0"
"0","1220072","72","22","22","1","0","15","0","0.408","0","0"
"0","1220073","73","0","22","4","0.929","0","0","0","0","1"
"22","1220074","74","184","22","1","0","15","0","1.122","0","0"
"0","1220075","75","0","22","4","2.922","0","0","0","0","1"
"0","1230001","1","0","23","4","1","0","0","0","0","3"
"0","1230002","2","0","23","2","0","0","vo_nyx_0501","0","vo_nyx","0"
"0","1230003","3","390","23","1","0","1","0","3.048","0","0"
"0","1230004","4","0","23","4","3.048","0","0","0","0","1"
"0","1230005","5","67","23","1","0","2","0","0.731","0","0"
"0","1230006","6","0","23","4","1.507","0","0","0","0","1"
"0","1230007","7","0","23","2","0","0","vo_nyx_0502","0","vo_nyx","0"
"67","1230008","8","323","23","1","0","2","0","2.093","0","0"
"0","1230009","9","0","23","4","2.341","0","0","0","0","1"
"323","1230010","10","378","23","1","0","2","0","0.644","0","0"
"0","1230011","11","0","23","4","0.993","0","0","0","0","1"
"0","1230012","12","202","23","1","0","3","0","1.737","0","0"
"0","1230013","13","0","23","4","2.616","0","0","0","0","1"
"0","1230014","14","0","23","2","0","0","vo_nyx_0503","0","vo_nyx","0"
"202","1230015","15","395","23","1","0","3","0","1.866","0","0"
"0","1230016","16","0","23","4","1.866","0","0","0","0","1"
"0","1230017","17","135","23","1","0","4","0","1.039","0","0"
"0","1230018","18","0","23","4","1.496","0","0","0","0","1"
"135","1230019","19","305","23","1","0","4","0","1.355","0","0"
"0","1230020","20","0","23","4","2.334","0","0","0","0","1"
"0","1230021","21","0","23","2","0","0","vo_nyx_0504","0","vo_nyx","0"
"0","1230022","22","35","23","1","0","6","0","0.422","0","0"
"0","1230023","23","0","23","4","0.845","0","0","0","0","1"
"35","1230024","24","360","23","1","0","6","0","2.026","0","0"
"0","1230025","25","0","23","4","2.563","0","0","0","0","1"
"0","1230026","26","0","23","2","0","0","vo_nyx_0505","0","vo_nyx","0"
"0","1230027","27","68","23","1","0","8","0","0.865","0","0"
"0","1230028","28","0","23","4","1.207","0","0","0","0","1"
"68","1230029","29","360","23","1","0","8","0","1.873","0","0"
"0","1230030","30","0","23","4","2.166","0","0","0","0","1"
"0","1230031","31","360","23","1","0","9","0","2.558","0","0"
"0","1230032","32","0","23","4","2","0","0","0","0","3"
"0","1230033","33","0","23","4","3.202","0","0","0","0","1"
"0","1230034","34","221","23","1","0","10","0","2.381","0","0"
"0","1230035","35","0","23","4","2.938","0","0","0","0","1"
"0","1230036","36","0","23","2","0","0","vo_nyx_0506","0","vo_nyx","0"
"221","1230037","37","410","23","1","0","10","0","1.241","0","0"
"0","1230038","38","0","23","4","1.657","0","0","0","0","1"
"0","1230039","39","375","23","1","0","11","0","2.871","0","0"
"0","1230040","40","0","23","4","3","0","0","0","0","3"
"0","1230041","41","0","23","4","3.435","0","0","0","0","1"
"0","1230042","42","0","23","2","0","0","vo_nyx_0507","0","vo_nyx","0"
"0","1230043","43","103","23","1","0","12","0","0.717","0","0"
"0","1230044","44","0","23","4","1.026","0","0","0","0","1"
"103","1230045","45","395","23","1","0","12","0","2.843","0","0"
"0","1230046","46","0","23","4","3.603","0","0","0","0","1"
"0","1230047","47","0","23","2","0","0","vo_nyx_0508","0","vo_nyx","0"
"0","1230048","48","138","23","1","0","13","0","1.417","0","0"
"0","1230049","49","0","23","4","2.029","0","0","0","0","1"
"138","1230050","50","355","23","1","0","13","0","1.78","0","0"
"0","1230051","51","0","23","4","3.58","0","0","0","0","1"
"0","1240001","1","0","24","4","1","0","0","0","0","3"
"0","1240002","2","0","24","2","0","0","vo_nyx_0601","0","vo_nyx","0"
"0","1240003","3","92","24","1","0","1","0","0.945","0","0"
"0","1240004","4","0","24","4","1.808","0","0","0","0","1"
"0","1240005","5","0","24","2","0","0","vo_nyx_0602","0","vo_nyx","0"
"0","1240006","6","395","24","1","0","2","0","3.225","0","0"
"0","1240007","7","0","24","4","4.362","0","0","0","0","1"
"0","1240008","8","0","24","2","0","0","vo_nyx_0603","0","vo_nyx","0"
"0","1240009","9","392","24","1","0","3","0","2.828","0","0"
"0","1240010","10","0","24","4","4.36","0","0","0","0","1"
"0","1240011","11","0","24","2","0","0","vo_nyx_0604","0","vo_nyx","0"
"0","1240012","12","87","24","1","0","4","0","1.212","0","0"
"0","1240013","13","0","24","4","2.171","0","0","0","0","1"
"87","1240014","14","350","24","1","0","4","0","1.656","0","0"
"0","1240015","15","0","24","4","2.769","0","0","0","0","1"
"0","1240016","16","0","24","2","0","0","vo_nyx_0605","0","vo_nyx","0"
"0","1240017","17","24","24","1","0","5","0","0.168","0","0"
"0","1240018","18","0","24","4","1.256","0","0","0","0","1"
"24","1240019","19","98","24","1","0","5","0","0.478","0","0"
"0","1240020","20","0","24","4","0.535","0","0","0","0","1"
"98","1240021","21","150","24","1","0","5","0","0.735","0","0"
"0","1240022","22","0","24","4","2.444","0","0","0","0","1"
"0","1240023","23","0","24","2","0","0","vo_nyx_0606","0","vo_nyx","0"
"0","1240024","24","112","24","1","0","7","0","1.607","0","0"
"0","1240025","25","0","24","4","2.16","0","0","0","0","1"
"112","1240026","26","400","24","1","0","7","0","2.119","0","0"
"0","1240027","27","0","24","4","2.647","0","0","0","0","1"
"0","1240028","28","182","24","1","0","8","0","1.802","0","0"
"0","1240029","29","0","24","4","2","0","0","0","0","3"
"0","1240030","30","0","24","4","2.817","0","0","0","0","1"
"0","1240031","31","0","24","2","0","0","vo_nyx_0607","0","vo_nyx","0"
"182","1240032","32","395","24","1","0","8","0","1.981","0","0"
"0","1240033","33","0","24","4","2.842","0","0","0","0","1"
"0","1240034","34","172","24","1","0","9","0","1.894","0","0"
"0","1240035","35","0","24","4","3.737","0","0","0","0","1"
"0","1240036","36","0","24","2","0","0","vo_nyx_0608","0","vo_nyx","0"
"172","1240037","37","209","24","1","0","9","0","0.82","0","0"
"0","1240038","38","0","24","4","1.754","0","0","0","0","1"
"209","1240039","39","400","24","1","0","9","0","2.752","0","0"
"0","1240040","40","0","24","4","3.272","0","0","0","0","1"
"0","1240041","41","0","24","4","3","0","0","0","0","3"
"0","1240042","42","0","24","2","0","0","vo_nyx_0609","0","vo_nyx","0"
"0","1240043","43","100","24","1","0","11","0","1.283","0","0"
"0","1240044","44","0","24","4","2.322","0","0","0","0","1"
"0","1240045","45","0","24","4","4","0","0","0","0","3"
"0","1240046","46","0","24","2","0","0","vo_nyx_0610","0","vo_nyx","0"
"0","1240047","47","75","24","1","0","12","0","0.86","0","0"
"0","1240048","48","0","24","4","0.86","0","0","0","0","1"
"75","1240049","49","75","24","1","0","12","0","1.242","0","0"
"0","1240050","50","0","24","4","2.086","0","0","0","0","1"
"0","1240051","51","0","24","4","5","0","0","0","0","3"
"0","1240052","52","0","24","2","0","0","vo_nyx_0611","0","vo_nyx","0"
"75","1240053","53","242","24","1","0","12","0","0.735","0","0"
"0","1240054","54","0","24","4","1.789","0","0","0","0","1"
"0","1240055","55","0","24","2","0","0","vo_nyx_0612","0","vo_nyx","0"
"0","1240056","56","80","24","1","0","13","0","1","0","0"
"0","1240057","57","0","24","4","2.104","0","0","0","0","1"
"0","1240058","58","0","24","4","6","0","0","0","0","3"
