87c2a8c1d3120013f9fdffad2b3e7f7acf4f0bb7f1eb90ac9368ad031e2f74e1,07f995f926f063c6ca7604eac605ec39ae55d75f1a91d327e354a8561f09140f,134d33139a5782e8ba1fc5a5f0fd0aa007d30030144dc95a2bf15192c4e99203,98de9bf6d754f90cf6e8ffce6fab2b50ef9726c8df8f1dcd90918248f2a521fa,806360f6b43d4a9a757e556138024d15cc61274d8602392e59e8eac1a4359898
"呸呸！","105201","2099/08/01 14:59:59","77","2021/12/09 12:00:00"
"給我等一下！！","105301","2099/08/01 14:59:59","57","2015/04/01 14:00:00"
"真是沒辦法呀","105401","2099/08/01 14:59:59","78","2021/12/09 12:00:00"
"辛苦了！","105501","2099/08/01 14:59:59","58","2021/12/09 12:00:00"
"不用顧慮啦","105601","2099/08/01 14:59:59","79","2021/12/09 12:00:00"
"嗨！！","105801","2099/08/01 14:59:59","26","2015/04/01 14:00:00"
"幹的好","105901","2099/08/01 14:59:59","27","2015/04/01 14:00:00"
"給我記住","106001","2099/08/01 14:59:59","28","2015/04/01 14:00:00"
"哈～哈哈哈！","106101","2099/08/01 14:59:59","80","2021/12/09 12:00:00"
"請多指教囉。","106401","2099/08/01 14:59:59","81","2021/12/09 12:00:00"
"打架時間到了！","106501","2099/08/01 14:59:59","82","2021/12/09 12:00:00"
"不管那麼多了！","106601","2099/08/01 14:59:59","83","2021/12/09 12:00:00"
"答對了～♪","106701","2099/08/01 14:59:59","84","2021/12/09 12:00:00"
"歡迎你！","106801","2099/08/01 14:59:59","85","2021/12/09 12:00:00"
"我模仿看看","107001","2099/08/01 14:59:59","86","2021/12/09 12:00:00"
"來盡情享受吧","107101","2099/08/01 14:59:59","87","2021/12/09 12:00:00"
"真令人沮喪──","110801","2099/08/01 14:59:59","88","2021/12/09 12:00:00"
"好喜歡！","110901","2099/08/01 14:59:59","89","2021/12/09 12:00:00"
"非常有趣","111001","2099/08/01 14:59:59","90","2021/12/09 12:00:00"
"OK唷！","111101","2099/08/01 14:59:59","2","2023/01/20 16:00:00"
"嗨呵～！","111201","2099/08/01 14:59:59","3","2023/01/20 16:00:00"
"謝謝♪","111301","2099/08/01 14:59:59","4","2023/01/20 16:00:00"
"最～喜歡了！","111401","2099/08/01 14:59:59","5","2023/01/20 16:00:00"
"好興奮喔","111501","2099/08/01 14:59:59","6","2023/01/20 16:00:00"
"你也一起來★","111601","2099/08/01 14:59:59","7","2023/01/20 16:00:00"
"不賴嘛","111701","2099/08/01 14:59:59","8","2023/01/20 16:00:00"
"呼嚕呼嚕……","111801","2099/08/01 14:59:59","9","2023/01/20 16:00:00"
"加油！加油！","111901","2099/08/01 14:59:59","10","2023/01/20 16:00:00"
"嗨起來～♪","112001","2099/08/01 14:59:59","11","2023/01/20 16:00:00"
"呀～！","112101","2099/08/01 14:59:59","12","2023/01/20 16:00:00"
"討厭喵～！","112201","2099/08/01 14:59:59","13","2023/01/20 16:00:00"
"咦咦！？","112301","2099/08/01 14:59:59","14","2023/01/20 16:00:00"
"心跳加速","112401","2099/08/01 14:59:59","15","2023/01/20 16:00:00"
"怎、怎麼回事！","112501","2099/08/01 14:59:59","16","2023/01/20 16:00:00"
"這很簡單啊","112601","2099/08/01 14:59:59","17","2023/01/20 16:00:00"
"真幸福♪","112701","2099/08/01 14:59:59","18","2023/01/20 16:00:00"
"各位同志們！","112801","2099/08/01 14:59:59","19","2023/01/20 16:00:00"
"很順利呢～♪","112901","2099/08/01 14:59:59","20","2023/01/20 16:00:00"
"好棒棒♪","113001","2099/08/01 14:59:59","21","2023/01/20 16:00:00"
"我不會輸的/才沒有","113101","2099/08/01 14:59:59","22","2023/01/20 16:00:00"
"最高效率","113201","2099/08/01 14:59:59","23","2023/01/20 16:00:00"
"這是祕密","113301","2099/08/01 14:59:59","24","2023/01/20 16:00:00"
"登台！","113401","2099/08/01 14:59:59","25","2023/01/20 16:00:00"
"加油──！！","113501","2099/08/01 14:59:59","1","2025/07/10 10:00:00"
