0ce3df6c08c18e457cef1f5edf287d892861508078b31c2545159e97a5b14384,a192b49d2fae2fba771afa55d24288270c42ac742b0fc5104f50665cddb8bf97,366ba27097ec28bf630f0049ac75d078fe5a20e7193552520047a2fd340e06c3,06785e8e5f38fcece902a9110a79fd103ec1572b1898afc87661046b4b4cc006,79f03729bbc1e0b30bba9aea2893d602136460a7d9f2344439ab06f1de810f63
"157","2","10","9100903","31009"
"158","2","10","9101703","31017"
"159","2","10","9105603","31056"
"160","2","10","9106803","31068"
"161","2","10","9105303","31053"
"162","2","10","9102703","31027"
"163","2","10","9110803","31108"
"164","2","10","9104303","31043"
"165","2","10","9100403","31004"
"166","2","10","9103703","31037"
"167","2","10","9106103","31061"
"168","2","10","9101803","31018"
"169","2","10","9101303","31013"
"170","2","10","9101103","31011"
"171","2","10","9100103","31001"
"172","2","10","9103003","31030"
"173","2","10","9106003","31060"
"174","2","10","9101503","31015"
"175","2","10","9105403","31054"
"176","2","10","9118503","31185"
"177","2","10","9110903","31109"
"178","2","10","9118003","31180"
"179","2","10","9101003","31010"
"180","2","10","9106603","31066"
"181","2","10","9102803","31028"
"182","2","10","9100803","31008"
"183","2","10","9104903","31049"
"184","2","10","9104703","31047"
"185","2","10","9103803","31038"
"186","2","10","9101403","31014"
"187","2","10","9109403","31094"
"188","2","10","9104803","31048"
"189","2","10","9104503","31045"
"190","2","10","9100603","31022"
"191","2","10","9100603","31006"
"192","2","10","9100503","31005"
"193","2","10","9109203","31092"
"194","2","10","9102503","31025"
"195","2","10","9106403","31064"
"196","2","10","9103103","31031"
"197","2","10","9101203","31012"
"198","2","10","9118103","31181"
"199","2","10","9102603","31026"
"200","2","10","9105003","31050"
"201","2","10","9100303","31003"
"202","2","10","9100703","31007"
"203","2","10","9102903","31029"
"204","2","10","9103603","31036"
"205","2","10","9109303","31093"
"206","2","10","9107103","31071"
"207","2","10","9123003","31230"
"208","2","10","9111003","31110"
"209","2","10","9104603","31046"
"210","2","10","9103303","31033"
"211","2","10","9105103","31051"
"212","2","10","9105703","31057"
"213","2","10","9103203","31032"
"214","2","10","9105203","31052"
"215","2","10","9103403","31034"
"216","2","10","9107003","31070"
