9a2385e471536410d855817bda450867cbe420f2bbe0f86e0446311c813679fd,762295bd407e68bca3dd03c824409338ef63845dae3dce40199bd885e611903e,ea996646a47fc073e22cfc04de0c3838b4a2ea4ba10451e4899fea5d80d8f6ce,0893398c848b3cc3bbf11982c7b7e01025caa310926cbd8a184d42cd13162a9c,6d2a8b5cef268a13854584065483c3783af65dc06eebe5c18b2e776cc481e03b,3ecb01c6178586ca4d693a5c733da676af6107ca64be2c02514b0d811900f45a,ec1c870f4dccac5c6363f8b54a11709f3bb1201daddc3f24384f2d5d1cdd3211,c4715b23fa838e475396e5873b3524617c0a3af9274cab49ed8a835ef43b5247
"2321","1","240","301","-275","9","-30","1"
"2361","2","106","108","-132","9","-115","2"
"2371","3","106","108","-132","9","-115","3"
"2381","4","202","246","-73","9","32","4"
"2411","5","114","84","-43","9","-140","5"
"2421","6","114","84","-43","9","-140","6"
"2461","8","86","84","50","9","65","7"
"2471","9","86","84","50","9","65","8"
"2481","10","185","137","80","9","-110","9"
"2491","11","185","137","80","9","-110","10"
"2521","7","301","377","131","9","24","11"
"2531","12","190","305","280","9","-50","12"
"2601","3","123","145","-527","10","-137","1"
"2611","4","123","145","-527","10","-137","2"
"2621","1","408","295","-379","10","35","3"
"2622","2","171","192","-299","10","103","4"
"2623","6","342","244","-138","10","-64","5"
"2701","5","224","254","-47","10","9","6"
"2781","8","253","204","131","10","-88","7"
"2791","9","110","139","89","10","23","8"
"2801","10","110","139","89","10","23","9"
"2811","7","292","249","275","10","42","10"
"2821","11","126","151","274","10","-120","11"
"2831","12","126","151","274","10","-120","12"
"2841","13","276","316","448","10","-17","13"
"2901","1","158","203","-292","11","-87","1"
"3011","2","256","187","-224","11","123","2"
"3031","3","144","225","-65","11","-80","3"
"3111","4","149","214","80","11","-84","4"
"3131","5","201","194","227","11","112","5"
"3141","6","161","111","159","11","-111","6"
"3151","7","161","111","159","11","-111","7"
"3171","8","166","209","307","11","-80","8"
"3211","3","364","206","-185","12","-106","1"
"3221","1","160","277","-304","12","34","2"
"3231","2","249","275","-107","12","45","3"
"3321","5","167","233","31","12","-46","4"
"3381","7","174","130","135","12","-122","5"
"3391","8","174","130","135","12","-122","6"
"3431","4","244","223","127","12","101","7"
"3441","6","235","246","254","12","-24","8"
"3461","9","167","156","303","12","-114","9"
"3471","10","167","156","303","12","-114","10"
"3491","11","108","94","338","12","152","11"
"3501","12","108","94","338","12","152","12"
"3531","3","210","270","-286","13","-48","1"
"3541","2","92","103","-310","13","144","2"
"3551","3","228","219","-152","13","-90","3"
"3561","4","94","103","-148","13","99","4"
"3571","5","110","71","-12","13","-157","5"
"3581","1","209","274","-5","13","-2","6"
"3691","6","219","292","141","13","-72","7"
"3701","7","88","104","146","13","143","8"
"3741","8","160","135","299","13","131","9"
"3751","9","160","135","299","13","131","10"
"3791","10","179","268","301","13","-82","11"
"3801","2","197","286","-470","14","6","1"
"3811","3","134","89","-520","14","-123","2"
"3821","1","204","236","-369","14","103","3"
"3861","5","176","241","-283","14","-74","4"
"3891","6","156","236","-151","14","-83","5"
"3911","4","219","226","-174","14","108","6"
"3921","10","107","96","-51","14","-130","7"
"3931","9","179","251","-5","14","50","8"
"3941","11","113","102","100","14","-106","9"
"3951","12","242","317","268","14","-41","10"
"3961","7","209","240","138","14","79","11"
"3971","8","209","240","138","14","79","12"
"4021","14","125","93","441","14","-125","13"
"4031","13","219","279","485","14","22","14"
