5b6ca45ef4b34333ac9405845865300a28a1c40800ee830e8fb675a2a53029d0,fecaa54b1541d4a4dd41ac8fcb4b0679390bce880cd7d05ae8f31312863022f6,1a75d0388a9f86309340d994cdeec14e07da7703ceca830c1781819cd1539138,a4ad091c71d5d07f1f3d58bd0c2cf93d3572f64e2f2eb8c4781ec20c1a4e14a0,bbb163419b5b4cfcbe6e3d2f3c55159dee15d4255a39f6cbecbd89a33d2339aa,fb2dfb4b98068c8eece5c5645b51ff4e30ec3dead3dcd08f54dcbcf582af1354,e266adee6575c06ce11a9ec265bbb85a07db6a64d305c8b8d942db8040f566d3,a7e942c8a544b6938fcb56395389f060b7b497837454eddc76a4e0788d3bd11d,8bf73ab6374bc29e572490c3b4ece931a78a595758ede7b4a0fda19c7e9802e9,4541974b69cd5adb1aabfe0df9de77cb2cf6e4d442dec4d10bd388d890f6f27f,1fa1e325202fe80fdf3bf45614ccef6003db2b94aab79a126aa6c5cdedb64c19,4da510ac3d9416ab3f817089601ffb0c4f4d004005e038ff0722e888a8582fba,edcb664565004dbf210ac004442b26bf41f22be12f72d5f0a20a34dd195f0666,d7b6b0400774621c26d7bd1db3c3ec6d7ebad0e14967ea2a697749328eaa5455,4e8d79260e3fd4d450354c0cad5daf03b3a5b96f99814d0340829cdc9934ad71,85b001be3a59b855cf99da9ebc853a372e893f5616810a109cbe3688947abb40
"人族","裁縫","3","15","璃乃","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","A","25","8","0","拉比林斯","阿澄佳奈","101101","親人又多話的妹系少女","44","156"
"精靈族","和妹妹一起玩、回籠覺、午睡、早睡","6","17","初音","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","A","24","12","0","森林守衛","大橋彩香","101201","為了大家使用超能力的睡美人","46","156"
"魔族","讀書、魔法","13","18","七七香","","O","21","8","0","暮光流星群","佳村はるか","101301","宅宅暴走的魔法少女","55","166"
"獸人族","讀書、推理","10","15","霞","test","AB","3","11","0","哞哞自衛隊","水瀬いのり","101401","頭腦聰明的美少女名偵探","41","152"
"精靈族","製作繪本","6","21","美里","test","O","5","9","0","森林守衛","國府田マリ子","101501","充滿母性又溫柔，大家的「美里老師」","54","165"
"魔族","時尚","14","17","鈴奈","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","O","10","4","0","月光學院","上坂すみれ","101601","天真浪漫的人氣超級名模","48","167"
"獸人族","跳舞、空手道","10","17","香織","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","A","7","7","0","哞哞自衛隊","高森奈津美","101701","隨時都「船到橋頭自然直」的天真少女","53","158"
"魔族","看戀愛小說、戀愛劇、戀愛漫畫","14","23","伊緒","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","B","14","8","0","月光學院","伊藤静","101801","魅惑眾多男性的純潔女老師","52","162"
"獸人族","蒐集可愛的東西","5","10","美美","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","O","3","4","0","小小甜心","日高里菜","102001","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","21","117"
"人族","看戲、扮家家酒","9","12","胡桃","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","B","9","6","0","咲戀育幼院","植田佳奈","102101","愛哭又膽小，令人想去保護的女孩","40","150"
"魔族","所有遊戲","7","13","依里","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","O","22","11","0","惡魔偽王國軍","原紗友里","102201","怕生的任性女孩","40","150"
"人族","能在房間裡玩的遊戲","9","14","綾音","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","B","10","5","0","咲戀育幼院","芹澤優","102301","永遠跟噗吉在一起！","38","148"
"人族","服侍","9","15","鈴莓","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","O","12","12","0","咲戀育幼院","悠木碧","102501","為了大小姐而努力的冒失女僕","43","154"
"獸人族","紅豆麵包","11","17","鈴","test","B","1","1","0","伊麗莎白牧場","小岩井ことり","102601","視玩樂與睡眠為第一的懶惰少女","42","144"
"魔族","實驗、裁縫、料理","13","16","惠理子","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","B","30","7","0","暮光流星群","橋本ちなみ","102701","專情於命中注定對象的少女","43","154"
"精靈族","經營、茶會","9","17","咲戀","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","A","4","10","0","咲戀育幼院","堀江由衣","102801","經營育幼院的庶民派溫柔大小姐","43","156"
"人族","看舞台劇，跳舞","4","17","望","總有一天要讓世界上所有的人成為我的粉絲！\n在成為超級偶像的那天之前，\n還請你繼續支持我喔♪","B","24","1","0","慈樂之音","日笠陽子","102901","能歌善舞的超人氣偶像","40","157"
"人族","忍法開發","15","16","妮諾","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","O","31","8","0","純白之翼 蘭德索爾分部","佐藤聡美","103001","東國的神祕，請告訴我！","51","163"
"魔族","占卜","7","18","忍","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","AB","22","12","0","惡魔偽王國軍","大坪由佳","103101","擅長占卜的靈能少女","42","157"
"人族","慈善事業","12","18","秋乃","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","AB","12","3","0","墨丘利財團","松嵜麗","103201","目標成為頂尖商人的元氣大小姐","45","157"
"人族","相聲","11","20","真陽","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","B","3","3","0","伊麗莎白牧場","新田恵海","103301","令大家歡笑的歡樂牧場主人","35","142"
"精靈族","隨意逛街","12","22","優花梨","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","A","16","3","0","墨丘利財團","今井麻美","103401","既純情又放心不下的成熟女性","55","164"
"精靈族","讀書","5","8","鏡華","test","A","2","2","0","小小甜心","小倉唯","103601","端莊正直的嬌小優等生","21","118"
"人族","劍術、戲弄長輩","8","13","智","test","A","11","8","0","王宮騎士團","茅原実里","103701","重情義愛捉弄人的劍術少女","43","149"
"獸人族","讀書、散步","11","14","栞","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","A","3","11","0","伊麗莎白牧場","小清水亜美","103801","喜愛讀書的體弱少女","40","153"
"精靈族","交朋友的想像訓練","6","13","碧","在交到新朋友之前……\n就先在BB團\n進行特訓吧！","AB","6","6","0","森林守衛","花澤香菜","104001","嚮往「朋友」的精靈之森女孩","44","158"
"人族","各種樂器","4","17","千歌","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","O","3","6","0","慈樂之音","福原綾香","104201","守護人們而歌唱的唱喚士少女","46","163"
"獸人族","做點心","10","17","真琴","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","O","9","8","0","哞哞自衛隊","小松未可子","104301","不輸男人的狂野義氣少女","54","168"
"魔族","征服世界","7","??","伊莉亞","test","A","5","5","0","惡魔偽王國軍","丹下桜","104401","曾經支配黑夜的最強吸血鬼","50","172"
"人族","閱讀小說","15","18","空花","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","AB","19","11","0","純白之翼 蘭德索爾分部","長妻樹里","104501","最愛妄想！其實是個害羞少女","49","157"
"獸人族","與貓咪玩耍","12","19","珠希","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","AB","1","3","0","墨丘利財團","沼倉愛美","104601","鋤強扶弱的貓娘","48","158"
"人族","格鬥技、入浴","8","25","純","？？？","A","25","10","0","王宮騎士團","川澄綾子","104701","看不見面容的沉著女騎士","50","171"
"人族","傭兵等等的打工","12","20","美冬","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","O","11","11","0","墨丘利財團","田所あずさ","104801","公事私事都效率至上的傭兵少女","49","163"
"人族","所有家事","3","18","靜流","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","O","24","10","0","拉比林斯","生天目仁美","104901","姐姐會照顧你的呦！","54","168"
"魔族","閱讀流行雜誌、蒐集化妝品","14","11","美咲","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","A","3","1","0","月光學院","久野美咲","105001","稍微有點差距的少女戀情","22","120"
"人族","研究、實驗","13","27","深月","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","A","7","3","0","暮光流星群","三石琴乃","105101","興趣是實驗的危險科學家","53","166"
"獸人族","理毛、聊天","11","17","莉瑪","我是個很平凡、隨處可見的女孩子喔！\n除、除了外表之外……","A","14","3","0","伊麗莎白牧場","徳井青空","105201","少女心的毛茸茸生物","100","150"
"人族","逛點心店","15","17","莫妮卡","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","A","28","7","0","純白之翼 蘭德索爾分部","辻あゆみ","105301","外表與內心都是孩子的異國軍人","33","140"
"人族","裁縫","4","14","紡希","test","AB","7","9","0","慈樂之音","木戸衣吹","105401","最愛時尚的可愛女孩","45","153"
"精靈族","觀察","15","16","步未","test","O","7","4","0","純白之翼 蘭德索爾分部","大関英里","105501","何時都會一見鍾情，純情少女","43","155"
"人族","釣魚","13","25","流夏","test","B","11","7","0","暮光流星群","佐藤利奈","105601","散發人情味的帥氣「大姐頭」","54","167"
"人族","冒險、聊天","","17","吉塔","我呢，想要成為獨當一面的騎空士。\n有朝一日變成像父親那樣的騎空士，\n旅行直到天空的盡頭。這是我的夢想喔！","O","10","3","0","？？？","金元寿子","105701","夢想前往天空冒險的騎空士少女","45","156"
"人族","邊走邊吃、料理","1","17","貪吃佩可","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","O","31","3","0","美食殿堂","M・A・O","105801","元氣滿點的空腹少女","46","156"
"精靈族","冥想、養育動植物","1","11","可可蘿","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","B","11","5","0","美食殿堂","伊藤美来","105901","仰慕主人，小小嚮導","35","140"
"獸人族","和貓咪玩耍","1","14","凱留","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","A","2","9","0","美食殿堂","立花理香","106001","倒在路旁的謎之貓耳魔法師","39","152"
"人族","冒險、回憶故事","","16","矛依未","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","O","11","8","0","？？？","潘めぐみ","106101","徬徨的謎樣少女","40","148"
"精靈族","蒐集漂亮的葉子","","15","亞里莎","","O","17","6","0","？？？","優木かな","106301","目標成為森林守護者的精靈族少女","42","155"
"龍人族","讀書、伸展運動","1","14","雪菲","","B","14","12","0","美食殿堂","近藤玲奈","106401","失去記憶的龍人族少女","???","147"
"龍人族","格鬥技","17","16","嘉夜","","B","25","6","0","龍族巢穴","小市眞琴","106501","專門用拳頭來交朋友的打手龍少女","???","156"
"龍人族","遊戲","17","13","祈梨","","AB","29","9","0","龍族巢穴","藤田茜","106601","嘴上功夫一流的廢材龍娘","???","145"
"龍人族","繪畫、讀書","17","25","帆稀","","O","17","4","0","龍族巢穴","大西沙織","106701","面帶詭譎的笑容看透一切的臥龍首領。","???","168"
"人族","觀察人類","3","25","拉比林斯達","","AB","25","7","0","拉比林斯","沢城みゆき","106801","祕密結社拉比林斯的「迷宮女王」","??","160"
"獸人族","占卜、支配","","29","霸瞳皇帝","","AB","1","7","0","？？？","蒼井翔太","106901","謎團重重的蘭德索爾之主","??","166"
"精靈族","模仿、藝術欣賞","","24","似似花","","O","24","3","0","？？？","井口裕香","107001","隱居在研究所，相當文靜的大姊姊","??","149"
"人族","和強敵之間的競爭","8","27","克莉絲提娜","","O","7","2","0","王宮騎士團","たかはし智秋","107101","自視甚高的王宮騎士團副團長","??","165"
"人族","邊走邊吃、料理","1","17","貪吃佩可（夏日）","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","O","31","3","0","美食殿堂","M・A・O","107501","元氣滿點的空腹少女","46","156"
"精靈族","冥想、養育動植物","1","11","可可蘿（夏日）","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","B","11","5","0","美食殿堂","伊藤美来","107601","仰慕主人，小小嚮導","35","140"
"人族","服侍","9","15","鈴莓（夏日）","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","O","12","12","0","咲戀育幼院","悠木碧","107701","為了大小姐而努力的冒失女僕","43","154"
"獸人族","和貓咪玩耍","1","14","凱留（夏日）","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","A","2","9","0","美食殿堂","立花理香","107801","倒在路旁的謎之貓耳魔法師","39","152"
"獸人族","與貓咪玩耍","12","19","珠希（夏日）","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","AB","1","3","0","墨丘利財團","沼倉愛美","107901","鋤強扶弱的貓娘","48","158"
"人族","傭兵等等的打工","12","20","美冬（夏日）","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","O","11","11","0","墨丘利財團","田所あずさ","108001","公事私事都效率至上的傭兵少女","49","163"
"魔族","占卜","7","18","忍（萬聖節）","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","AB","22","12","0","惡魔偽王國軍","大坪由佳","108101","擅長占卜的靈能少女","42","157"
"魔族","吃布丁","7","14","宮子（萬聖節）","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","B","23","1","0","惡魔偽王國軍","雨宮天","108201","最愛布丁的幽靈少女","32","130"
"魔族","閱讀流行雜誌、蒐集化妝品","14","11","美咲（萬聖節）","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","A","3","1","0","月光學院","久野美咲","108301","稍微有點差距的少女戀情","22","120"
"人族","各種樂器","4","17","千歌（聖誕節）","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","O","3","6","0","慈樂之音","福原綾香","108401","守護人們而歌唱的唱喚士少女","46","163"
"人族","看戲、扮家家酒","9","12","胡桃（聖誕節）","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","B","9","6","0","咲戀育幼院","植田佳奈","108501","愛哭又膽小，令人想去保護的女孩","40","150"
"人族","能在房間裡玩的遊戲","9","14","綾音（聖誕節）","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","B","10","5","0","咲戀育幼院","芹澤優","108601","永遠跟噗吉在一起！","38","148"
"獸人族","助人、打氣加油","2","16","日和（新年）","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","A","27","8","0","破曉之星","東山奈央","108701","最愛幫助別人！　正向思考的格鬥少女","44","155"
"人族","料理、觀察人類","2","17","優衣（新年）","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","O","5","4","0","破曉之星","種田梨沙","108801","擅長支援戰鬥，心地善良的少女","47","158"
"魔族","讀書、騎馬、茶","2","18","怜（新年）","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","B","12","1","0","破曉之星","早見沙織","108901","冷酷又率直的劍士","46","163"
"魔族","實驗、裁縫、料理","13","16","惠理子（情人節）","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","B","30","7","0","暮光流星群","橋本ちなみ","109001","專情於命中注定對象的少女","43","154"
"人族","所有家事","3","18","靜流（情人節）","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","O","24","10","0","拉比林斯","生天目仁美","109101","姐姐會照顧你的呦！","54","168"
"人族","讀書","","17","安","我是安！總之算是馬納歷亞王國的\n第一公主…不過別太拘謹，\n如果能輕鬆地和我變成好朋友的話，我會很開心的！","AB","1","12","0","？？？","日笠陽子","109201","和英靈締結契約的馬納歷亞天才公主","55","156"
"人族","吃飯，睡覺","","16","露","我叫做露！正在就讀\n馬納歷亞魔法學院。你也願意成為\n露的好朋友嗎？","O","4","2","0","？？？","こやまきみこ","109301","馬納歷亞魔法學院新生","45","144"
"半人半龍","鋼琴","","17","古蕾婭","我是古蕾婭。同時繼承了\n龍與人的血統…\n那個…請、請多指教","B","3","11","0","？？？","福原綾香","109401","擁有超越人類力量的善良龍人公主","67","167"
"人族","閱讀小說","15","18","空花（大江戶）","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","AB","19","11","0","純白之翼 蘭德索爾分部","長妻樹里","109501","最愛妄想！其實是個害羞少女","49","157"
"人族","忍法開發","15","16","妮諾（大江戶）","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","O","31","8","0","純白之翼 蘭德索爾分部","佐藤聡美","109601","東國的神祕，請告訴我！","51","163"
"鬼族","戲劇欣賞、詩和散文","","17","雷姆","","?","2","2","0","？？？","水瀬いのり","109701","有如鬼助的萬能妹妹女僕","??","154"
"鬼族","讀書","","17","拉姆","","?","2","2","0","？？？","村川梨衣","109801","毒舌系魔鬼姐姐女僕","??","154"
"半妖精族","幫帕克梳理毛髮、念書","","??","愛蜜莉雅","","?","23","9","0","？？？","高橋李依","109901","穩重成熟的銀髮半妖精","??","164"
"魔族","時尚","14","17","鈴奈（夏日）","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","O","10","4","0","月光學院","上坂すみれ","110001","天真浪漫的人氣超級名模","48","167"
"魔族","看戀愛小說、戀愛劇、戀愛漫畫","14","23","伊緒（夏日）","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","B","14","8","0","月光學院","伊藤静","110101","魅惑眾多男性的純潔女老師","52","162"
"魔族","閱讀流行雜誌、蒐集化妝品","14","11","美咲（夏日）","","A","3","1","0","月光學院","久野美咲","110201","稍微有點差距的少女戀情","22","120"
"精靈族","經營、茶會","9","17","咲戀（夏日）","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","A","4","10","0","咲戀育幼院","堀江由衣","110301","經營育幼院的庶民派溫柔大小姐","43","156"
"獸人族","做點心","10","17","真琴（夏日）","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","O","9","8","0","哞哞自衛隊","小松未可子","110401","不輸男人的狂野義氣少女","54","168"
"獸人族","跳舞、空手道","10","17","香織（夏日）","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","A","7","7","0","哞哞自衛隊","高森奈津美","110501","隨時都「船到橋頭自然直」的天真少女","53","158"
"獸人族","幻想、蒐集玩偶","10","16","真步（夏日）","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","O","22","9","0","哞哞自衛隊","内田真礼","110601","真步真步王國的公主","42","155"
"精靈族","交朋友的想像訓練","6","13","碧（插班生）","","AB","6","6","0","森林守衛","花澤香菜","110701","嚮往「朋友」的精靈之森女孩","44","158"
"精靈族","飛鏢","16","17","克蘿依","","O","7","8","0","聖德蕾莎女子學院（好朋友社）","種﨑敦美","110801","生長在市區的陰暗系精靈族","42","154"
"人族","跳舞、卡拉OK","16","16","琪愛兒","","O","15","9","0","聖德蕾莎女子學院（好朋友社）","佐倉綾音","110901","天生自由奔放的失禮現代小孩","46","156"
"人族","讀書","16","18","優妮","","O","28","2","0","聖德蕾莎女子學院（好朋友社）","小原好美","111001","沉睡於書庫的小小賢人","36","142"
"精靈族","讀書","5","8","鏡華（萬聖節）","","A","2","2","0","小小甜心","小倉唯","111101","端莊正直的嬌小優等生","21","118"
"人族","惡作劇、探險","5","9","禊（萬聖節）","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","O","10","8","0","小小甜心","諸星すみれ","111201","愛好冒險的搗蛋鬼","27","128"
"獸人族","蒐集可愛的東西","5","10","美美（萬聖節）","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","O","3","4","0","小小甜心","日高里菜","111301","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","21","117"
"人族","找「朋友」之事","","??","露娜","","?","8","1","0","？？？","小倉唯","111401","到處找人做朋友的死靈術師少女","28","142"
"人族","和強敵之間的競爭","8","27","克莉絲提娜（聖誕節）","","O","7","2","0","王宮騎士團","たかはし智秋","111501","自視甚高的王宮騎士團副團長","??","165"
"人族","看舞台劇，跳舞","4","17","望（聖誕節）","","B","24","1","0","慈樂之音","日笠陽子","111601","能歌善舞的超人氣偶像","40","157"
"魔族","征服世界","7","??","伊莉亞（聖誕節）","","A","5","5","0","惡魔偽王國軍","丹下桜","111701","曾經支配黑夜的最強吸血鬼","50","172"
"人族","邊走邊吃、料理","1","17","貪吃佩可（新年）","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","O","31","3","0","美食殿堂","M・A・O","111801","元氣滿點的空腹少女","46","156"
"精靈族","冥想、養育動植物","1","11","可可蘿（新年）","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","B","11","5","0","美食殿堂","伊藤美来","111901","仰慕主人，小小嚮導","35","140"
"獸人族","和貓咪玩耍","1","14","凱留（新年）","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","A","2","9","0","美食殿堂","立花理香","112001","倒在路旁的謎之貓耳魔法師","39","152"
"人族","服侍","9","15","鈴莓（新年）","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","O","12","12","0","咲戀育幼院","悠木碧","112101","為了大小姐而努力的冒失女僕","43","154"
"獸人族","讀書、推理","10","15","霞（魔法少女）","","AB","3","11","0","哞哞自衛隊","水瀬いのり","112201","頭腦聰明的美少女名偵探","41","152"
"獸人族","讀書、散步","11","14","栞（魔法少女）","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","A","3","11","0","伊麗莎白牧場","小清水亜美","112301","喜愛讀書的體弱少女","40","153"
"人族","與好友長談","100","17","卯月（NGs）","","O","24","4","0","new generations","大橋彩香","112401","燦爛的笑容！　夢想成為偶像的女孩","45","159"
"人族","遛狗","100","15","凜（NGs）","","B","10","8","0","new generations","福原綾香","112501","冷酷又美麗的「蒼藍劍士」","44","165"
"人族","購物","100","15","未央（NGs）","","B","1","12","0","new generations","原紗友里","112601","目標成為超級巨星的活力女孩☆☆★","46","161"
"獸人族","紅豆麵包","11","17","鈴（遊俠）","","B","1","1","0","伊麗莎白牧場","小岩井ことり","112701","視玩樂與睡眠為第一的懶惰少女","42","144"
"人族","相聲","11","20","真陽（遊俠）","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","B","3","3","0","伊麗莎白牧場","新田恵海","112801","令大家歡笑的歡樂牧場主人","35","142"
