c40c692c5aacdf73b4272af8acd12aa7a06bb6a1d09e743f67fad991438617cd,5ec262cc0e43b406ded444c456e236c8401fef8e90c92696178b1b623fda5d85,c54ea4fb690b22e98d3b03ae1a0cdeb58e7bd5d601077274ad9892f1bfe6049f,7862902d57a327261f5fb399a4172ea19a4ef16bcc83ef37bc9faac042e388eb,1c3f329c1591afac0e29bc4e579dc5ae87f59f70439644eee7090b2d881554bc,1af256e600379b46a94f0256b0fddb79f209a5095d9d8640b1f8a31e45be7abe,6dcd4917fd096f4e1fbeb0839fafcb9ab5d3707715c9576772c091d1f75edd21,a35c9478d176cd7f0a7e9ee183adc919704bda84e18632401dc4921e00900692,4d380fe5080c1f369ee3dd9202665fc266dc14c4e64c3ffc37136b1efcf80893,f1c6ce6dc617ae03e4aa4a7bcf03e63def153ba1b3490e19ec1f87d7205ce1b1,ce44615f70e71135730386b86ef09b195037e3b9cbca9ffb0ec4a27859988226
"","","0","5","0","1050003","21","","vo_minigame_1006","vo_minigame_1006_top_602",""
"0","","8","5","0","1050004","11","0","3","很好！\n提起幹勁\n開始練習吧──！","0"
"","","","5","","1050005","93","","2","",""
"1","0.2","0","5","pkb_idle_normal_l","1050006","3","0.2","3","pkb_talk_handsup_l",""
"","","","5","","1050007","91","","1050004","",""
"","","1","5","","1050008","3","0.2","3","pkb_idle_normal_l",""
"-155","1","100","6","64","1060001","5","57","3","3","pkb_idle_normal_l"
"1","0.2","0","6","pkb_idle_arm_crossed_l","1060002","3","0.2","3","pkb_talk_arm_crossed_l",""
"","","0","6","0","1060003","21","","vo_minigame_1006","vo_minigame_1006_top_603",""
"0","","8","6","0","1060004","11","0","3","可別因為這是練習，\n就讓我看見你們\n散漫的樣子啊！","0"
"","","","6","","1060005","93","","3","",""
"1","","0","6","pkb_idle_guts_l","1060006","3","0.2","3","pkb_talk_guts_l",""
"","","","6","","1060007","91","","1060004","",""
"","","1","6","","1060008","3","0.2","3","pkb_idle_normal_l",""
"-175","1","100","7","64","1070001","1","1.65","1","113411","pkb_idle_normal"
"1","0.2","0","7","pkb_talk_joy1","1070002","3","0.2","113411","pkb_talk_fun",""
"","","0","7","0","1070003","21","","vo_minigame_1006","vo_minigame_1006_top_201",""
"0","0","8","7","0","1070004","11","0","113411","加油～加油～！\n今天也要努力加油喔！\n打起精神上吧～！","0"
"","","","7","","1070005","93","","3.4","",""
"1","0.2","0","7","pkb_idle_normal","1070006","3","0.2","113411","pkb_talk_handsup",""
"","","","7","","1070007","91","","1070004","",""
"","","1","7","","1070008","3","0.2","113411","pkb_idle_normal",""
"-175","1","100","8","64","1080001","1","1.65","1","113411","pkb_idle_normal"
"","","1","8","","1080002","3","0.2","113411","pkb_talk_joy2",""
"","","0","8","0","1080003","21","","vo_minigame_1006","vo_minigame_1006_top_202",""
"0","0","8","8","0","1080004","11","0","113411","初音也要一起\n幫忙練習～！\n閃亮亮～☆","-1"
"","","","8","","1080005","93","","3.6","",""
"","","0","8","","1080006","3","0.2","113411","pkb_hatsune_kiran",""
"","","","8","","1080007","91","","1080004","",""
"","","1","8","","1080008","3","0.2","113411","pkb_idle_normal",""
"-175","1","100","9","64","1090001","1","1.65","1","113411","pkb_idle_normal"
"","","1","9","","1090002","3","0.2","113411","pkb_talk_joy2",""
"","","0","9","0","1090003","21","","vo_minigame_1006","vo_minigame_1006_top_203",""
"0","0","6","9","0","1090004","11","0","113411","我也想試著投投看！\n我要用超能……不對，\n是用魔法，來投出\n很強力的球！","0"
"","","","9","","1090005","93","","3","",""
"1","0.2","0","9","pkb_idle_surprise1","1090006","3","0.2","113411","pkb_surprise",""
"","","","9","","1090007","93","","1","",""
"","","1","9","","1090008","3","0.2","113411","pkb_talk_joy3",""
"","","","9","","1090009","91","","1090004","",""
"","","1","9","","1090010","3","0.2","113411","pkb_idle_normal",""
"-175","1","100","10","64","1100001","1","1.65","1","106531","pkb_idle_normal"
"1","","0","10","pkb_idle_arm_crossed","1100002","3","0.2","106531","pkb_talk_arm_crossed",""
"","","0","10","0","1100003","21","","vo_minigame_1006","vo_minigame_1006_top_301",""
"0","0","8","10","0","1100004","11","0","106531","欸，趕快開始練習吧，\n我已經按捺不住，\n好想趕快投球啊！","0"
"","","","10","","1100005","93","","2.8","",""
"","","1","10","","1100006","3","0.2","106531","pkb_talk_joy1",""
"","","","10","","1100007","91","","1100004","",""
"","","1","10","","1100008","3","0.2","106531","pkb_idle_normal",""
"-175","1","100","11","64","1110001","1","1.65","1","106531","pkb_idle_normal"
"","","1","11","","1110002","3","0.2","106531","pkb_talk_normal",""
"","","0","11","0","1110003","21","","vo_minigame_1006","vo_minigame_1006_top_302",""
"0","0","8","11","0","1110004","11","0","106531","老娘的特訓可不是\n鬧著玩的，做好\n心理準備了吧？","0"
"","","","11","","1110005","93","","3.2","",""
"1","0.2","0","11","pkb_idle_arm_crossed","1110006","3","0.2","106531","pkb_talk_arm_crossed",""
"","","","11","","1110007","91","","1110004","",""
"","","1","11","","1110008","3","0.2","106531","pkb_idle_normal",""
"-175","1","100","12","64","1120001","1","1.65","1","106531","pkb_idle_normal"
"1","0.2","0","12","pkb_idle_arm_crossed","1120002","3","0.2","106531","pkb_talk_arm_crossed",""
"","","0","12","0","1120003","21","","vo_minigame_1006","vo_minigame_1006_top_303",""
"0","0","8","12","0","1120004","11","0","106531","你們的氣勢可不是\n只有嘴上功夫吧？\n展現給我看看！","0.5"
"","","","12","","1120005","93","","3.2","",""
"1","","0","12","pkb_idle_doya","1120006","3","0.2","106531","pkb_talk_doya",""
"","","","12","","1120007","91","","1120004","",""
"","","1","12","","1120008","3","0.2","106531","pkb_idle_normal",""
"-175","1","100","13","64","1130001","1","1.65","1","102311","pkb_idle_normal"
"1","0.4","0","13","pkb_talk_joy1","1130002","3","0.2","102311","pkb_talk_fun",""
"","","0","13","0","1130003","21","","vo_minigame_1006","vo_minigame_1006_top_401",""
"0","0","8","13","0","1130004","11","0","102311","今天也要打很多球！\n一起加油吧，\n噗吉！","0"
"","","","13","","1130005","91","","1130004","",""
"","","1","13","","1130006","3","0.2","102311","pkb_idle_normal",""
"-175","1","100","14","64","1140001","1","1.65","1","102311","pkb_idle_normal"
"","","1","14","","1140002","3","0.2","102311","pkb_talk_joy1",""
"","","0","14","0","1140003","21","","vo_minigame_1006","vo_minigame_1006_top_402",""
"0","0","8","14","0","1140004","11","0","102311","只要全部都打出\n全壘打就好了是吧？\n這點程度很簡單啦！","0"
"","","","14","","1140005","93","","3","",""
"1","","0","14","pkb_idle_doya","1140006","3","0.2","102311","pkb_talk_doya",""
"","","","14","","1140007","91","","1140004","",""
"","","1","14","","1140008","3","0.2","102311","pkb_idle_normal",""
"-175","1","100","15","64","1150001","1","1.65","1","102311","pkb_idle_normal"
"","","1","15","","1150002","3","0.2","102311","pkb_talk_wish",""
"","","0","15","0","1150003","21","","vo_minigame_1006","vo_minigame_1006_top_403",""
"0","0","8","15","0","1150004","11","0","102311","為了可以成為哥哥\n他們的榜樣，\n我會努力打很多球的！","-0.5"
"","","","15","","1150005","93","","2.4","",""
"1","0.4","0","15","pkb_talk_joy1","1150006","3","0.2","102311","pkb_talk_fun",""
"","","","15","","1150007","91","","1150004","",""
"","","1","15","","1150008","3","0.2","102311","pkb_idle_normal",""
"-155","1","100","16","64","1160001","5","57","1","1","pkb_idle_normal_l"
"1","0.2","0","16","pkb_idle_arm_crossed_l","1160002","3","0.2","1","pkb_talk_arm_crossed_l",""
"","","0","16","0","1160003","21","","vo_minigame_1006","vo_minigame_1006_top_701",""
"0","0","8","16","0","1160004","11","0","1","以全國大賽為目標，\n今天也來努力練習吧！","0"
"","","","16","","1160005","93","","2.6","",""
"1","0.2","0","16","pkb_idle_doya_l","1160006","3","0.2","1","pkb_talk_doya_l",""
"","","","16","","1160007","91","","1160004","",""
"","","1","16","","1160008","3","0.2","1","pkb_idle_normal_l",""
"-155","1","100","17","64","1170001","5","57","1","1","pkb_idle_normal_l"
"1","","0","17","pkb_idle_guts_l","1170002","3","0.2","1","pkb_talk_guts_l",""
"","","0","17","0","1170003","21","","vo_minigame_1006","vo_minigame_1006_top_702",""
"0","0","8","17","0","1170004","11","0","1","為了實現夢想，\n大家來盡全力\n練習吧！","0"
"","","","17","","1170005","91","","0","",""
"","","1","17","","1170006","3","0.2","1","pkb_idle_normal_l",""
"-155","1","100","18","64","1180001","5","57","1","1","pkb_idle_normal_l"
"1","0.2","0","18","pkb_idle_arm_crossed_l","1180002","3","0.2","1","pkb_talk_arm_crossed_l",""
"","","0","18","0","1180003","21","","vo_minigame_1006","vo_minigame_1006_top_703",""
"0","0","8","18","0","1180004","11","0","1","社員們也都\n進步了好多……\n我可不能落後了！","0"
"","","","18","","1180005","93","","2.9","",""
"1","","0","18","pkb_idle_guts_l","1180006","3","0.2","1","pkb_talk_guts_l",""
"","","","18","","1180007","91","","1180004","",""
"","","1","18","","1180008","3","0.2","1","pkb_idle_normal_l",""
"-155","1","100","19","64","1190001","5","57","2","2","pkb_idle_normal_l"
"1","0.2","0","19","pkb_idle_arm_crossed_l","1190002","3","0.2","2","pkb_talk_arm_crossed_l",""
"","","0","19","0","1190003","21","","vo_minigame_1006","vo_minigame_1006_top_801",""
"0","0","8","19","0","1190004","11","0","2","我會把我的進步\n展現出來，畢竟\n我也是選手啊。","0"
"","","","19","","1190005","93","","3.8","",""
"1","","0","19","pkb_idle_guts_l","1190006","3","0.2","2","pkb_talk_guts_l",""
"","","","19","","1190007","91","","1190004","",""
"","","1","19","","1190008","3","0.2","2","pkb_idle_normal_l",""
"-155","1","100","20","64","1200001","5","57","2","2","pkb_idle_normal_l"
"1","","0","20","pkb_idle_guts_l","1200002","3","0.2","2","pkb_talk_guts_l",""
"","","0","20","0","1200003","21","","vo_minigame_1006","vo_minigame_1006_top_802",""
"0","0","8","20","0","1200004","11","0","2","今天我也要把球打飛！\n不用客氣，\n對我使出全力吧。","0"
"","","","20","","1200005","93","","3.2","",""
"1","","0","20","pkb_idle_doya_l","1200006","3","0.2","2","pkb_talk_doya_l",""
"","","","20","","1200007","91","","1200004","",""
"","","1","20","","1200008","3","0.2","2","pkb_idle_normal_l",""
"-155","1","100","21","64","1210001","5","57","2","2","pkb_idle_normal_l"
"1","0.2","0","21","pkb_idle_arm_crossed_l","1210002","3","0.2","2","pkb_talk_arm_crossed_l",""
"","","0","21","0","1210003","21","","vo_minigame_1006","vo_minigame_1006_top_803",""
"0","0","8","21","0","1210004","11","0","2","既然目標是全國大賽，\n不再多練習一點\n是不夠的吧。","0"
"","","","21","","1210005","91","","0","",""
"","","1","21","","1210006","3","0.2","2","pkb_idle_normal_l",""
"-150","0","100","22","-20","1220001","1","1.6","1","113511","pkb_idle_normal"
"-150","1","100","22","170","1220002","1","1.6","1","113411","pkb_idle_normal"
"","","1","22","","1220003","3","0.2","113511","pkb_talk_joy1",""
"","","0","22","0","1220004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_1_101",""
"0","0","6","22","0","1220005","11","0","113511","呵呵，\n大家都幹勁十足呢，\n可能是因為有初音幫忙\n加油打氣吧♪","-0.5"
"","","","22","","1220006","91","","0","",""
"","","1","22","","1220007","3","0.2","113511","pkb_idle_normal",""
"","","1","22","","1220008","3","0.2","113411","pkb_talk_joy1",""
"","","0","22","0","1220009","21","","vo_minigame_1006","vo_minigame_1006_top_talk_1_202",""
"0","0","6","22","0","1220010","11","0","113411","是這樣嗎～？\n那我就要更努力\n幫大家加油囉～！","-0.5"
"","","","22","","1220011","93","","4","",""
"1","0","0","22","pkb_idle_normal","1220012","3","0.2","113411","pkb_talk_handsup",""
"","","","22","","1220013","91","","1220010","",""
"","","1","22","","1220014","3","0.2","113411","pkb_idle_normal",""
"-150","1","100","23","170","1230001","1","1.6","1","113411","pkb_idle_normal"
"-150","0","100","23","-20","1230002","1","1.6","1","113511","pkb_idle_normal"
"","","1","23","","1230003","3","0.2","113411","pkb_talk_normal",""
"","","0","23","0","1230004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_2_201",""
"0","0","8","23","0","1230005","11","0","113411","美里老師也來一起\n幫忙加油嘛！","-1.5"
"","","","23","","1230006","91","","0","",""
"","","1","23","","1230007","3","0.2","113411","pkb_idle_normal",""
"","","1","23","","1230008","3","0.2","113511","pkb_talk_normal",""
"","","0","23","0","1230009","21","","vo_minigame_1006","vo_minigame_1006_top_talk_2_102",""
"0","0","5","23","0","1230010","11","0","113511","哎呀哎呀，\n感覺很好玩呢～♪\n加油～加油～！","3"
"","","","23","","1230011","93","","4","",""
"0","0.2","0","23","pkb_talk_fun","1230012","3","0.2","113511","pkb_talk_fun",""
"","","","23","","1230013","93","","2.7","",""
"1","0.2","0","23","pkb_talk_joy1","1230014","3","0.2","113511","pkb_idle_normal",""
"","","","23","","1230015","91","","1230010","",""
"","","1","23","","1230016","3","0.2","113511","pkb_idle_normal",""
"-150","1","100","24","170","1240001","1","1.6","1","113511","pkb_idle_normal"
"-130","0","100","24","-20","1240002","5","55","3","3","pkb_idle_normal"
"","","1","24","","1240003","3","0.2","113511","pkb_talk_joy3",""
"","","0","24","0","1240004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_3_101",""
"0","0","6","24","0","1240005","11","0","113511","大地你還真是\n幹勁十足呢～！\n可是，不可以太過\n勉強自己喔～","-1"
"","","","24","","1240006","93","","4","",""
"","","1","24","","1240007","3","0.2","113511","pkb_talk_wish",""
"","","","24","","1240008","91","","1240005","",""
"","","1","24","","1240009","3","0.2","113511","pkb_idle_normal",""
"","","1","24","","1240010","3","0.2","3","pkb_talk_normal",""
"","","0","24","0","1240011","21","","vo_minigame_1006","vo_minigame_1006_top_talk_3_602",""
"0","0","6","24","0","1240012","11","0","3","我知道啦，\n可是因為沙灘棒球\n實在太好玩了，\n這也沒辦法啊！","-1"
"","","","24","","1240013","93","","2","",""
"1","","0","24","pkb_idle_doya","1240014","3","0.2","3","pkb_talk_doya",""
"","","","24","","1240015","91","","1240012","",""
"","","1","24","","1240016","3","0.2","3","pkb_idle_normal",""
"-130","0","100","25","-20","1250001","5","55","3","3","pkb_idle_normal"
"-150","1","100","25","170","1250002","1","1.6","1","113511","pkb_idle_normal"
"1","0.2","0","25","pkb_idle_arm_crossed","1250003","3","0.2","3","pkb_talk_arm_crossed",""
"","","0","25","0","1250004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_4_601",""
"0","0","8","25","0","1250005","11","0","3","現在的我們有實力\n參加全國大賽！\n我們一定要\n實現夢想！","-0.5"
"","","","25","","1250006","93","","3","",""
"1","","0","25","pkb_idle_guts","1250007","3","0.2","3","pkb_talk_guts",""
"","","","25","","1250008","91","","1250005","",""
"","","1","25","","1250009","3","0.2","3","pkb_idle_normal",""
"","","1","25","","1250010","3","0.2","113511","pkb_talk_wish",""
"","","0","25","0","1250011","21","","vo_minigame_1006","vo_minigame_1006_top_talk_4_102",""
"0","0","6","25","0","1250012","11","0","113511","是啊，我相信\n你們一定可以的，\n大家一起加油吧～♪","1"
"","","","25","","1250013","93","","5.6","",""
"1","0.2","0","25","pkb_idle_normal","1250014","3","0.2","113511","pkb_talk_handsup",""
"","","","25","","1250015","91","","0","",""
"","","1","25","","1250016","3","0.2","113511","pkb_idle_normal",""
"-150","1","100","26","170","1260001","1","1.6","1","113511","pkb_idle_normal"
"-130","0","100","26","-20","1260002","5","55","1","1","pkb_idle_normal"
"","","1","26","","1260003","3","0.2","113511","pkb_talk_joy3",""
"","","0","26","0","1260004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_5_101",""
"0","0","6","26","0","1260005","11","0","113511","呵呵，老師也會\n一起協助你們練習的～","0"
"","","","26","","1260006","91","","0","",""
"","","1","26","","1260007","3","0.2","113511","pkb_idle_normal",""
"1","0.2","0","26","pkb_idle_guts","1260008","3","0.2","1","pkb_talk_guts",""
"","","0","26","0","1260009","21","","vo_minigame_1006","vo_minigame_1006_top_talk_5_702",""
"0","0","8","26","0","1260010","11","0","1","老師，真是感激不盡！\n我也會提起精神，\n努力加油的！","-1"
"","","","26","","1260011","91","","0","",""
"","","1","26","","1260012","3","0.2","1","pkb_idle_normal",""
"-130","0","100","27","-20","1270001","5","55","1","1","pkb_idle_normal"
"-150","1","100","27","170","1270002","1","1.6","1","113511","pkb_idle_normal"
"1","0.2","0","27","pkb_idle_arm_crossed","1270003","3","0.2","1","pkb_talk_arm_crossed",""
"","","0","27","0","1270004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_6_701",""
"0","0","8","27","0","1270005","11","0","1","今天的球也\n乾淨得閃閃發亮…\n一定是因為老師幫我們\n好好擦過了……！","-0.5"
"","","","27","","1270006","93","","2.6","",""
"1","0.2","0","27","pkb_idle_guts","1270007","3","0.2","1","pkb_talk_guts",""
"","","","27","","1270008","91","","1270005","",""
"","","1","27","","1270009","3","0.2","1","pkb_idle_normal",""
"","","1","27","","1270010","3","0.2","113511","pkb_talk_joy3",""
"","","0","27","0","1270011","21","","vo_minigame_1006","vo_minigame_1006_top_talk_6_102",""
"0","0","6","27","0","1270012","11","0","113511","我只是做了我能\n幫上忙的事而已啦～\n這樣大家就可以\n更愉快地練習了吧♪","0.5"
"","","","27","","1270013","93","","4","",""
"","","1","27","","1270014","3","0.2","113511","pkb_talk_wish",""
"","","","27","","1270015","91","","1270012","",""
"","","1","27","","1270016","3","0.2","113511","pkb_idle_normal",""
"-150","1","100","28","170","1280001","1","1.6","1","113411","pkb_idle_normal"
"-130","0","100","28","-20","1280002","5","55","3","3","pkb_idle_normal"
"1","0.2","0","28","pkb_talk_joy1","1280003","3","0.2","113411","pkb_talk_yell",""
"","","0","28","0","1280004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_7_201",""
"0","0","8","28","0","1280005","11","0","113411","大家加油～♪\n期待看到大家\n帥氣的表現喔──！\n加油加油～！","-0.5"
"","","","28","","1280006","93","","4.6","",""
"1","0.2","0","28","pkb_idle_normal","1280007","3","0.2","113411","pkb_talk_fun",""
"","","","28","","1280008","91","","1280005","",""
"","","1","28","","1280009","3","0.2","113411","pkb_idle_normal",""
"1","","0","28","pkb_idle_guts","1280010","3","0.2","3","pkb_talk_guts",""
"","","0","28","0","1280011","21","","vo_minigame_1006","vo_minigame_1006_top_talk_7_602",""
"0","0","8","28","0","1280012","11","0","3","這加油聲真是動人……\n我要好好表現\n給小初音看！\n嗚喔喔喔喔！！","0"
"","","","28","","1280013","93","","5","",""
"1","","0","28","pkb_idle_normal","1280014","3","0.2","3","pkb_talk_handsup",""
"","","","28","","1280015","91","","1280012","",""
"","","1","28","","1280016","3","0.2","3","pkb_idle_normal",""
"-130","0","100","29","-20","1290001","5","55","3","3","pkb_idle_normal"
"-150","1","100","29","170","1290002","1","1.6","1","113411","pkb_idle_normal"
"1","0.2","0","29","pkb_idle_arm_crossed","1290003","3","0.2","3","pkb_talk_arm_crossed",""
"","","0","29","0","1290004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_8_601",""
"0","0","8","29","0","1290005","11","0","3","我們的練習過程\n可能會很煎熬，\n就拜託妳加油打氣\n讓大家鼓起精神啦！","-1"
"","","","29","","1290006","93","","2.8","",""
"1","","0","29","pkb_idle_guts","1290007","3","0.2","3","pkb_talk_guts",""
"","","","29","","1290008","91","","1290005","",""
"","","1","29","","1290009","3","0.2","3","pkb_idle_normal",""
"","","1","29","","1290010","3","0.2","113411","pkb_talk_joy1",""
"","","0","29","0","1290011","21","","vo_minigame_1006","vo_minigame_1006_top_talk_8_202",""
"0","0","8","29","0","1290012","11","0","113411","包在我身上！\n我會比平常還要\n更努力加油打氣的～！","-0.5"
"","","","29","","1290013","93","","2.2","",""
"0","0.4","0","29","pkb_smile","1290014","3","0.2","113411","pkb_talk_fun",""
"","","","29","","1290015","93","","2.2","",""
"","","1","29","","1290016","3","0.2","113411","pkb_idle_normal",""
"","","","29","","1290017","91","","1290012","",""
"","","1","29","","1290018","3","0.2","113411","pkb_idle_normal",""
"-150","1","100","30","170","1300001","1","1.6","1","113411","pkb_idle_normal"
"-130","0","100","30","-20","1300002","5","55","1","1","pkb_idle_normal"
"","","1","30","","1300003","3","0.2","113411","pkb_talk_joy1",""
"","","0","30","0","1300004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_9_201",""
"0","0","8","30","0","1300005","11","0","113411","我會努力幫大家打氣，\n今天的練習\n也要加油喔！\n目標是全國大賽～！","1"
"","","","30","","1300006","93","","5","",""
"1","","0","30","pkb_idle_normal","1300007","3","0.2","113411","pkb_talk_handsup",""
"","","","30","","1300008","91","","1300005","",""
"","","1","30","","1300009","3","0.2","113411","pkb_idle_normal",""
"","","1","30","","1300010","3","0.2","1","pkb_talk_normal",""
"","","0","30","0","1300011","21","","vo_minigame_1006","vo_minigame_1006_top_talk_9_702",""
"0","0","8","30","0","1300012","11","0","1","小初音的聲援\n帶給我們\n很多力量喔，\n謝謝妳總是幫忙加油！","-1"
"","","","30","","1300013","93","","3.3","",""
"1","","0","30","pkb_idle_guts","1300014","3","0.2","1","pkb_talk_guts",""
"","","","30","","1300015","91","","1300012","",""
"","","1","30","","1300016","3","0.2","1","pkb_idle_normal",""
"-130","0","100","31","-20","1310001","5","55","1","1","pkb_idle_normal"
"-150","1","100","31","170","1310002","1","1.6","1","113411","pkb_idle_normal"
"1","0.2","0","31","pkb_idle_arm_crossed","1310003","3","0.2","1","pkb_talk_arm_crossed",""
"","","0","31","0","1310004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_10_701",""
"0","0","8","31","0","1310005","11","0","1","身為隊長，\n我要更加進步，\n才能夠帶領大家前進！","-1.5"
"","","","31","","1310006","93","","3.6","",""
"1","","0","31","pkb_idle_doya","1310007","3","0.2","1","pkb_talk_doya",""
"","","","31","","1310008","91","","1310005","",""
"","","1","31","","1310009","3","0.2","1","pkb_idle_normal",""
"","","1","31","","1310010","3","0.2","113411","pkb_talk_joy1",""
"","","0","31","0","1310011","21","","vo_minigame_1006","vo_minigame_1006_top_talk_10_202",""
"0","0","8","31","0","1310012","11","0","113411","哦，旭！\n你很有幹勁嘛！\n就是要有這股氣勢～！\n加油加油～☆","-0.5"
"","","","31","","1310013","93","","3.6","",""
"0","","0","31","pkb_talk_fun","1310014","3","0.2","113411","pkb_talk_fun",""
"","","","31","","1310015","93","","3","",""
"","","1","31","","1310016","3","0.2","113411","pkb_idle_normal",""
"","","","31","","1310017","91","","1310012","",""
"-130","0","100","32","-20","1320001","5","55","2","2","pkb_idle_normal"
"-150","1","100","32","170","1320002","1","1.6","1","113411","pkb_idle_normal"
"1","","0","32","pkb_idle_guts","1320003","3","0.2","2","pkb_talk_guts",""
"","","0","32","0","1320004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_11_801",""
"0","0","8","32","0","1320005","11","0","2","小初音……\n我跟妳保證一定\n會打出全壘打的，\n妳可要看好喔。","0"
"","","","32","","1320006","93","","5","",""
"1","","0","32","pkb_idle_doya","1320007","3","0.2","2","pkb_talk_doya",""
"","","","32","","1320008","91","","1320005","",""
"","","1","32","","1320009","3","0.2","2","pkb_idle_normal",""
"","","1","32","","1320010","3","0.2","113411","pkb_talk_joy2",""
"","","0","32","0","1320011","21","","vo_minigame_1006","vo_minigame_1006_top_talk_11_202",""
"0","0","8","32","0","1320012","11","0","113411","嗯，我知道了！\n就拜託你打出\n特大全壘打囉～！\n我很期待喔～！","0"
"","","","32","","1320013","93","","4.6","",""
"1","0.2","0","32","pkb_idle_normal","1320014","3","0.2","113411","pkb_hatsune_kiran",""
"","","","32","","1320015","91","","1320012","",""
"","","1","32","","1320016","3","0.2","113411","pkb_idle_normal",""
"-150","1","100","33","170","1330001","1","1.6","1","102311","pkb_idle_normal"
"-130","0","100","33","-20","1330002","5","55","2","2","pkb_idle_normal"
"","","1","33","","1330003","3","0.2","102311","pkb_talk_normal",""
"","","0","33","0","1330004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_12_401",""
"0","0","8","33","0","1330005","11","0","102311","來做大喊練習嘛！\n把「噗吉全力揮擊」\n大喊一百次～！","-0.5"
"","","","33","","1330006","93","","1.6","",""
"1","0.2","0","33","pkb_talk_joy1","1330007","3","0.2","102311","pkb_talk_yell",""
"","","","33","","1330008","91","","1330005","",""
"","","1","33","","1330009","3","0.2","102311","pkb_idle_normal",""
"","","0","33","0","1330010","21","","vo_minigame_1006","vo_minigame_1006_top_talk_12_802",""
"0","0","8","33","0","1330011","11","0","2","噗、噗吉\n全力揮擊──！！\n……這種練習\n也是挺累人的呢。","0"
"","","","33","","1330012","93","","0.5","",""
"","","0","33","","1330013","3","0.2","2","pkb_talk_yell",""
"","","","33","","1330014","93","","3","",""
