ad961dadb938c7151c4b3a7b959c7acce6ea424040d2999749ee5c227aeb7fba,44db306c42eeca41a12197e6fc51fa7b050fb68e65f269b7b4fa0e8ab95d0ab8,a831f100ae4848ce259c15203909a1d230a11a7f1ef0ce412073ef30994b0c6f,b33f0c7b44221fafc3a070601fdd307e958f3e4ab383194e236007e80943effe,b4ce14692ca0bd87a48c7e43d458264ca9adb2014264d063f19aab044fbec9ac
"追加2隻闇影","74001304","add_shadow","追加靜流（夏日）與克莉絲提娜的闇影。","22"
"戰鬥時間限制","74001305","limit_time","戰鬥時間變成60秒。","23"
"Boss UB強化","74001305","boss_ub_enhance","Boss怪物的必殺技會受到強化。","24"
"開始時恢復TP","74001305","energy_recover","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","25"
"Boss魔法傷害降低","74001305","boss_magic_cut","戰鬥開始時，Boss怪物的魔法傷害為減少100%的狀態。","26"
"追加2隻闇影","74001305","add_shadow","追加靜流（夏日）與克莉絲提娜的闇影。","27"
"Boss物理傷害降低","74001401","boss_physics_cut","戰鬥開始時，Boss怪物的物理傷害為減少20%的狀態。","28"
"Boss物理傷害降低","74001402","boss_physics_cut","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","29"
"追加1隻闇影","74001402","add_shadow","追加空花（大江戶）的闇影。","30"
"開始時恢復TP","74001403","energy_recover","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","31"
"Boss物理傷害降低","74001403","boss_physics_cut","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","32"
"追加2隻闇影","74001403","add_shadow","追加空花（大江戶）與似似花的闇影。","33"
"Boss UB強化","74001404","boss_ub_enhance","Boss怪物的必殺技會受到強化。","34"
"開始時恢復TP","74001404","energy_recover","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","35"
"Boss物理傷害降低","74001404","boss_physics_cut","戰鬥開始時，Boss怪物的物理傷害為減少70%的狀態。","36"
"追加2隻闇影","74001404","add_shadow","追加空花（大江戶）與似似花的闇影。","37"
"戰鬥時間限制","74001405","limit_time","戰鬥時間變成60秒。","38"
"Boss UB強化","74001405","boss_ub_enhance","Boss怪物的必殺技會受到強化。","39"
"開始時恢復TP","74001405","energy_recover","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","40"
"Boss物理傷害降低","74001405","boss_physics_cut","戰鬥開始時，Boss怪物的物理傷害為減少100%的狀態。","41"
"追加2隻闇影","74001405","add_shadow","追加空花（大江戶）與似似花的闇影。","42"
"開始時提升攻擊力","74001502","boss_atk_up","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","43"
"編組角色人數限制","74001503","limit_chara_num","可以編組的角色變成4個。","44"
"開始時提升攻擊力","74001503","boss_atk_up","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","45"
"編組角色人數限制","74001504","limit_chara_num","可以編組的角色變成4個。","46"
"Boss UB強化","74001504","boss_ub_enhance","Boss怪物的必殺技會受到強化。","47"
"開始時提升攻擊力","74001504","boss_atk_up","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","48"
"編組角色人數限制","74001505","limit_chara_num","可以編組的角色變成4個。","49"
"降低角色的最大HP","74001505","max_hp_down","隊伍角色的最大HP降低20%。","50"
"Boss UB強化","74001505","boss_ub_enhance","Boss怪物的必殺技會受到強化。","51"
"開始時提升攻擊力","74001505","boss_atk_up","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","52"
"追加1隻闇影","74002102","add_shadow","追加花凜的闇影。","53"
"強化闇影","74002103","star6_shadow","對宮子、優花梨、步未的闇影追加專用裝備。","54"
"追加1隻闇影","74002103","add_shadow","追加花凜的闇影。","55"
"強化闇影","74002104","star6_shadow","宮子、優花梨、步未的闇影變成★6。","56"
"追加1隻闇影","74002104","add_shadow","追加花凜的闇影。","57"
"提升闇影物理攻擊力","74002105","boss_atk_up","所有闇影的物理攻擊力大幅度提升。","58"
"強化闇影","74002105","star6_shadow","宮子、優花梨、步未的闇影變成★6。","59"
"追加1隻闇影","74002105","add_shadow","追加花凜的闇影。","60"
"追加1隻闇影","74002202","add_shadow","追加嘉夜（解放者）的闇影。","61"
"強化闇影","74002203","star6_shadow","對紡希（萬聖節）、真陽（聖誕節）、深月、霞（魔法少女）的闇影追加專用裝備。","62"
"追加1隻闇影","74002203","add_shadow","追加嘉夜（解放者）的闇影。","63"
"強化闇影","74002204","star6_shadow","深月的闇影變成★6。對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備。","64"
"追加1隻闇影","74002204","add_shadow","追加嘉夜（解放者）的闇影。","65"
"提升闇影魔法防禦力","74002205","boss_magic_def_up","所有闇影的魔法防禦力大幅度提升。","66"
"強化闇影","74002205","star6_shadow","對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備，且深月的闇影變成★6。","67"
"追加1隻闇影","74002205","add_shadow","追加嘉夜（解放者）的闇影。","68"
"追加1隻闇影","74002302","add_shadow","追加望的闇影。","69"
"追加2隻闇影","74002303","add_shadow","追加望與凱留（公主）的闇影。","70"
"編組角色人數限制","74002304","limit_chara_num","可以編組的角色變成4個。","71"
"強化闇影","74002304","star6_shadow","望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","72"
"追加2隻闇影","74002304","add_shadow","追加望與凱留（公主）的闇影。","73"
"編組角色人數限制","74002305","limit_chara_num","可以編組的角色變成4個。","74"
"開始時提升物理防禦力","74002305","boss_def_up","戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","75"
"開始時提升魔法防禦力","74002305","boss_magic_def_up","戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","76"
"強化闇影","74002305","star6_shadow","望的闇影變成★6。對凱留（公主）的闇影追加專用裝備。","77"
"追加2隻闇影","74002305","add_shadow","追加望與凱留（公主）的闇影。","78"
"追加1隻闇影","74002402","add_shadow","追加綾音的闇影。","79"
"追加2隻闇影","74002403","add_shadow","追加綾音與貪吃佩可（夏日）的闇影。","80"
"編組角色人數限制","74002404","limit_chara_num","可以編組的角色變成4個。","81"
"強化闇影","74002404","star6_shadow","綾音與貪吃佩可（夏日）的闇影變成★6。","82"
"追加2隻闇影","74002404","add_shadow","追加綾音與貪吃佩可（夏日）的闇影。","83"
"編組角色人數限制","74002405","limit_chara_num","可以編組的角色變成4個。","84"
"開始時提升物理防禦力","74002405","boss_def_up","戰鬥開始時，Boss怪物特大幅度提升敵人全體的物理防禦力。","85"
"開始時提升魔法防禦力","74002405","boss_magic_def_up","戰鬥開始時，Boss怪物特大幅度提升敵人全體的魔法防禦力。","86"
"強化闇影","74002405","star6_shadow","綾音與貪吃佩可（夏日）的闇影變成★6。","87"
"追加2隻闇影","74002405","add_shadow","追加綾音與貪吃佩可（夏日）的闇影。","88"
"戰鬥時間限制","74002502","limit_time","戰鬥時間變成70秒。","89"
"戰鬥時間限制","74002503","limit_time","戰鬥時間變成60秒。","90"
"戰鬥時間限制","74002504","limit_time","戰鬥時間變成60秒。","91"
"Boss UB強化","74002504","boss_ub_enhance","Boss怪物的必殺技會受到強化。","92"
"戰鬥時間限制","74002505","limit_time","戰鬥時間變成45秒。","93"
"Boss UB強化","74002505","boss_ub_enhance","Boss怪物的必殺技會受到強化。","94"
"強化闇影","74003102","star6_shadow","對霞、初音、優衣（公主）的闇影追加專用裝備。","95"
"追加1隻闇影","74003103","add_shadow","追加雪的闇影。","96"
"強化闇影","74003103","star6_shadow","初音、雪的闇影變成★6。","97"
"編組角色人數限制","74003104","limit_chara_num","可以編組的角色變成4個。","98"
"編組角色人數限制","74003105","limit_chara_num","可以編組的角色變成4個。","99"
"闇影提升最大HP","74003105","max_hp_up","所有闇影的最大HP大幅度提升。","100"
"追加1隻怪物","74003202","add_shadow","追加詛咒‧遠古遺物。","101"
"強化闇影","74003203","star6_shadow","碧的闇影變成★6。","102"
"開始時魔法傷害降低","74003204","boss_magic_cut","戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少50%的狀態。","103"
"強化怪物","74003204","boss_ub_enhance","強化詛咒‧遠古遺物的技能。","104"
"開始時魔法傷害降低","74003205","boss_magic_cut","戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少75%的狀態。","105"
"編組角色人數限制","74003205","limit_chara_num","可以編組的角色變成4個。","106"
"追加1隻怪物","74003302","add_shadow","追加治癒‧遠古遺物。","107"
"強化闇影","74003303","star6_shadow","對凱留（新年）的闇影追加專用裝備。","108"
"開始時物理傷害降低","74003304","boss_physics_cut","戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少50%的狀態。","109"
"強化怪物","74003304","boss_ub_enhance","強化治癒‧遠古遺物的技能。","110"
"開始時物理傷害降低","74003305","boss_physics_cut","戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少75%的狀態。","111"
"編組角色人數限制","74003305","limit_chara_num","可以編組的角色變成4個。","112"
"提升Boss物理防禦力（不可降低）","74003402","boss_def_lower_limit","戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","113"
"提升Boss魔法防禦力（不可降低）","74003402","boss_magic_def_lower_limit","戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","114"
"戰鬥時間限制","74003403","limit_time","戰鬥時間變成70秒。","115"
"提升Boss物理防禦力（不可降低）","74003403","boss_def_lower_limit","戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","116"
"提升Boss魔法防禦力（不可降低）","74003403","boss_magic_def_lower_limit","戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","117"
"戰鬥時間限制","74003404","limit_time","戰鬥時間變成70秒。","118"
"Boss UB強化","74003404","boss_ub_enhance","Boss怪物的必殺技會受到強化。","119"
"減少降低Boss TP","74003404","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","120"
"提升Boss物理防禦力（不可降低）","74003404","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","121"
"提升Boss魔法防禦力（不可降低）","74003404","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","122"
"戰鬥時間限制","74003405","limit_time","戰鬥時間變成50秒。","123"
"Boss UB強化","74003405","boss_ub_enhance","Boss怪物的必殺技會受到強化。","124"
"減少降低Boss TP","74003405","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少100%的狀態。","125"
"提升Boss物理防禦力（不可降低）","74003405","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","126"
"提升Boss魔法防禦力（不可降低）","74003405","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","127"
"提升Boss物理防禦力（不可降低）","74003502","boss_def_lower_limit","戰鬥開始時，小幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","128"
"提升Boss魔法防禦力（不可降低）","74003502","boss_magic_def_lower_limit","戰鬥開始時，小幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","129"
"提升Boss物理防禦力（不可降低）","74003503","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","130"
"提升Boss魔法防禦力（不可降低）","74003503","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","131"
"追加1隻怪物","74003504","add_shadow","追加露娜聚光燈。","132"
"提升Boss物理防禦力（不可降低）","74003504","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","133"
"提升Boss魔法防禦力（不可降低）","74003504","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","134"
"追加1隻闇影","74003505","add_shadow","追加霸瞳皇帝的闇影。","135"
"提升Boss物理防禦力（不可降低）","74003505","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","136"
"提升Boss魔法防禦力（不可降低）","74003505","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","137"
"強化闇影","74004102","star6_shadow","對祈梨、咲戀、依里、優妮的闇影追加專用裝備。","138"
"追加1隻闇影","74004103","add_shadow","追加咲戀（夏日）的闇影。","139"
"強化闇影","74004103","star6_shadow","咲戀、依里的闇影變成★6。","140"
"編組角色人數限制","74004104","limit_chara_num","可以編組的角色變成4個。","141"
"編組角色人數限制","74004105","limit_chara_num","可以編組的角色變成4個。","142"
"闇影提升最大HP","74004105","max_hp_up","所有闇影的最大HP大幅度提升。","143"
"追加1隻怪物","74004202","add_shadow","追加守護‧遠古遺物。","144"
"強化闇影","74004203","star6_shadow","對似似花（新年）的闇影追加專用裝備。","145"
"強化怪物","74004204","boss_ub_enhance","強化守護‧遠古遺物的技能。","146"
"開始時恢復HP","74004204","hp_recover","戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","147"
"開始時恢復HP","74004205","hp_recover","戰鬥開始時，守護‧遠古遺物將特大幅度恢復我方全體的HP。","148"
"開始時賦予持續恢復TP","74004205","energy_recover","戰鬥開始時，守護‧遠古遺物將賦予我方全體持續恢復TP的狀態。","149"
"追加1隻怪物","74004302","add_shadow","追加戰鬥‧遠古遺物。","150"
"強化闇影","74004303","star6_shadow","莉瑪的闇影變成★6。","151"
"強化怪物","74004304","boss_ub_enhance","強化戰鬥‧遠古遺物的技能。","152"
"開始時展開提升行動速度領域","74004305","boss_haste","戰鬥開始時，戰鬥‧遠古遺物將展開特大幅度提升我方全體行動速度的領域。","153"
"降低角色的最大HP","74004402","max_hp_down","隊伍角色的最大HP降低20%。","154"
"戰鬥時間限制","74004403","limit_time","戰鬥時間變成75秒。","155"
"降低角色的最大HP","74004403","max_hp_down","隊伍角色的最大HP降低20%。","156"
"戰鬥時間限制","74004404","limit_time","戰鬥時間變成75秒。","157"
"編組角色人數限制","74004404","limit_chara_num","可以編組的角色變成4個。","158"
"降低角色的最大HP","74004404","max_hp_down","隊伍角色的最大HP降低20%。","159"
"戰鬥時間限制","74004405","limit_time","戰鬥時間變成60秒。","160"
"編組角色人數限制","74004405","limit_chara_num","可以編組的角色變成4個。","161"
"降低角色的最大HP","74004405","max_hp_down","隊伍角色的最大HP降低20%。","162"
"降低角色的最大HP","74004502","max_hp_down","隊伍角色的最大HP降低20%。","163"
"BossUB、技能強化","74004503","boss_ub_enhance","Boss怪物的必殺技與技能會受到強化。","164"
"減少降低Boss TP","74004503","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","165"
"降低角色的最大HP","74004503","max_hp_down","隊伍角色的最大HP降低20%。","166"
"追加1隻怪物","74004504","add_shadow","追加露娜聚光燈。","167"
"減少降低Boss TP","74004504","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","168"
"降低角色的最大HP","74004504","max_hp_down","隊伍角色的最大HP降低20%。","169"
"追加1隻闇影","74004505","add_shadow","追加綾音的闇影。","170"
"減少降低Boss TP","74004505","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","171"
"降低角色的最大HP","74004505","max_hp_down","隊伍角色的最大HP降低20%。","172"
"強化闇影","74005102","star6_shadow","對莉瑪、嘉夜、祈梨、咲戀（夏日）的闇影追加專用裝備。","173"
"強化闇影","74005103","star6_shadow","莉瑪、嘉夜、祈梨的闇影變成★6。","174"
"物理傷害降低","74005103","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","175"
"編組角色人數限制","74005104","limit_chara_num","可以編組的角色變成4個。","176"
"物理傷害降低","74005104","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","177"
"編組角色人數限制","74005105","limit_chara_num","可以編組的角色變成4個。","178"
"物理傷害降低","74005105","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少100％的狀態。","179"
"強化闇影","74005202","star6_shadow","對宮子、怜（新年）、優花梨、初音、美咲（萬聖節）的闇影追加專用裝備。","180"
"強化闇影","74005203","star6_shadow","宮子、怜（新年）、優花梨、初音的闇影變成★6。","181"
"魔法傷害降低","74005203","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","182"
"編組角色人數限制","74005204","limit_chara_num","可以編組的角色變成4個。","183"
"魔法傷害降低","74005204","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","184"
"編組角色人數限制","74005205","limit_chara_num","可以編組的角色變成4個。","185"
"魔法傷害降低","74005205","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少100％的狀態。","186"
"傷害值衰減","74005301","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","187"
"賦予TP上升的上限","74005301","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","188"
"提升物理防禦力（不可降低）","74005301","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","189"
"提升魔法防禦力（不可降低）","74005301","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","190"
"降低HP吸收","74005301","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","191"
"追加怪物","74005302","add_shadow","追加軟泥怪、雷雲長老。","192"
"傷害值衰減","74005302","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","193"
"賦予TP上升的上限","74005302","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","194"
"提升物理防禦力（不可降低）","74005302","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","195"
"提升魔法防禦力（不可降低）","74005302","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","196"
"降低HP吸收","74005302","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","197"
"追加怪物","74005303","add_shadow","追加優花梨、帆稀（新年）。","198"
"傷害值衰減","74005303","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","199"
"賦予TP上升的上限","74005303","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","200"
"提升物理防禦力（不可降低）","74005303","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","201"
"提升魔法防禦力（不可降低）","74005303","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","202"
"降低HP吸收","74005303","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","203"
"追加怪物","74005304","add_shadow","追加露娜聚光燈。","204"
"傷害值衰減","74005304","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","205"
"賦予TP上升的上限","74005304","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","206"
"提升物理防禦力（不可降低）","74005304","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","207"
"提升魔法防禦力（不可降低）","74005304","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","208"
"降低HP吸收","74005304","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","209"
"戰鬥時間限制","74005305","limit_time","戰鬥時間變成60秒。","210"
"傷害值衰減","74005305","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","211"
"賦予TP上升的上限","74005305","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","212"
"提升物理防禦力（不可降低）","74005305","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","213"
"提升魔法防禦力（不可降低）","74005305","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","214"
"降低HP吸收","74005305","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","215"
"傷害值衰減","74005401","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","216"
"賦予TP上升的上限","74005401","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","217"
"提升物理防禦力（不可降低）","74005401","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","218"
"提升魔法防禦力（不可降低）","74005401","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","219"
"降低HP吸收","74005401","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","220"
"追加怪物","74005402","add_shadow","追加岩龜暴君、鬼燈螢。","221"
"傷害值衰減","74005402","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","222"
"賦予TP上升的上限","74005402","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","223"
"提升物理防禦力（不可降低）","74005402","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","224"
"提升魔法防禦力（不可降低）","74005402","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","225"
"降低HP吸收","74005402","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","226"
"追加怪物","74005403","add_shadow","追加靜流（黑暗）、可可蘿（夏日）。","227"
"傷害值衰減","74005403","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","228"
"賦予TP上升的上限","74005403","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","229"
"提升物理防禦力（不可降低）","74005403","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","230"
"提升魔法防禦力（不可降低）","74005403","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","231"
"降低HP吸收","74005403","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","232"
"追加怪物","74005404","add_shadow","追加露娜聚光燈。","233"
"傷害值衰減","74005404","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","234"
"賦予TP上升的上限","74005404","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","235"
"提升物理防禦力（不可降低）","74005404","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","236"
"提升魔法防禦力（不可降低）","74005404","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","237"
"降低HP吸收","74005404","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","238"
"戰鬥時間限制","74005405","limit_time","戰鬥時間變成60秒。","239"
"傷害值衰減","74005405","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","240"
"賦予TP上升的上限","74005405","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","241"
"提升物理防禦力（不可降低）","74005405","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","242"
"提升魔法防禦力（不可降低）","74005405","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","243"
"降低HP吸收","74005405","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","244"
"傷害值衰減","74005501","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","245"
"賦予TP上升的上限","74005501","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","246"
"提升物理防禦力（不可降低）","74005501","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","247"
"提升魔法防禦力（不可降低）","74005501","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","248"
"降低HP吸收","74005501","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","249"
"減少降低TP","74005501","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","250"
"追加怪物","74005502","add_shadow","追加魔像、烏帕魯帕。","251"
"傷害值衰減","74005502","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","252"
"賦予TP上升的上限","74005502","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","253"
