4dc813b8026d2cd960c0069671e727fc8868268327293c7549b82380956bbc72,9098e3b54dd5624090e50447f113e0bcb5a995f7736d1b78e4c1bcfa46fcafdb,999e8fe189285e4c70d378378e577e7a20cfbc463b06884bd42fadb9308ceb76,dac87907e3f1cd07197171b2b4b3e6ab98752887acf8c21bdc3c4545985a5216,d9725f238747be881217c29ed1b91a38dc1439c1b40d1b3055646f81b3ea2253,87b9c0cf22938422bb245164fb107a5917b4dde2126bf6fbe1dd5e6334d0616a,e4d679df998889057589544362bc7546e4d767f979bcdb1deb620c0782bfa623,f220901f58276ea7a791ed782996e56ba31297cb3505d3bcd408a71092cdb9bf,88ebbfb4a647b6351f550b10a0352456b472451a22c869a475ac76eba92b3e26,e9eb38cd0f5ab5407413d1459142dde22f51b5a7e9a68a36bd3cd451ffb6bc1c,275ad87821f9ed90ba950123ce148734695a9c9a20de629f57f27349a5639d34,4547672686292b157cde3b3c7fdf468dee11cac4df6f9e39cb53e3d90a871263,717daaff0d0dacd53756cd6a0905fdbb1779c40b3e01cfa07ba0f103c0196510
"12300162","2","9","3","1","……拿到的分數很少呢。\n但這對我來說也很難，\n別那麼垂頭喪氣也沒問題！\n接著繼續加油吧！","3","vo_minigame_1012_result_1094","2.91","4","1","3001","3"
"12300163","2","1","5","1","抱歉，有點太難了嗎？\n再挑戰一次也行，\n降低難度也行，\n只要你有幹勁我就會陪你！","0","vo_minigame_1012_result_1095","2.61","4","1","3001","3"
"12300164","2","2","4","1","喂……\n你沒有幹勁吧～！？\n下次再考這種分數，\n我就要生氣囉！","1","vo_minigame_1012_result_1096","3.63","0","0","3001","1"
"12300165","2","2","6","1","唉……你知道自己\n考了幾分吧……？\n是0分喔，0分！你在小看考試嗎？","1","vo_minigame_1012_result_1097","4.16","0","0","3001","1"
"12300166","2","3","3","1","嗚嗚～頭好痛……\n都是你的錯！\n0分是什麼鬼啦！\n唉，這樣下去就要被當了……","6","vo_minigame_1012_result_1098","0.01","0","0","3001","1"
"12300167","2","2","6","1","喂，你是認真應考的嗎？\n不會是隨便回答的吧？\n……我明白了，\n再挑戰一次吧！","0","vo_minigame_1012_result_1099","5.75","0","0","3001","2"
"12300168","2","2","4","1","你……你啊，考了0分喔，0分……！\n我的教法不好嗎……？\n……我燃起鬥志了！\n我絕對要拉高你的實力！","1","vo_minigame_1012_result_1100","5.64","0","0","3001","2"
"12300169","2","4","8","1","等一下，可能是算錯分了……\n……不，是對的呢。好，0分。\n……呃，0分！？\n開什麼玩笑──！","8","vo_minigame_1012_result_1101","5.73","0","0","3001","2"
"12300170","2","3","5","1","唉呀呀……是0分喔。\n畢竟題目很難啦……\n……不過0分也太扯！\n至少答對一題吧！","1","vo_minigame_1012_result_1102","5.32","0","0","3001","3"
"12300171","2","9","3","1","很遺憾，是0分喔。\n但如果以積極的態度來看，\n你現在就是在底層喔！最底層！\n往後只會一直往上了！","9","vo_minigame_1012_result_1103","2.37","0","0","3001","3"
"12300172","2","1","9","1","……分數很不理想呢，\n稍微休息一下吧？\n讓自己重新振作，改變一下心情，\n再次努力吧！","3","vo_minigame_1012_result_1104","4.25","0","0","3001","3"
"13100101","3","7","7","1","好了，開始學習吧。","0","vo_minigame_1012_gamestart_100","0","0","0","1001","0"
"13100102","3","1","1","1","好，讓大家看看學習的成果吧！","0","vo_minigame_1012_gamestart_101","0","0","0","1001","0"
"13100103","3","7","1","1","那就開始考試吧，來，把課本闔上！","0","vo_minigame_1012_gamestart_102","1.82","0","0","1001","0"
"13100201","3","8","8","1","你很有幹勁嘛！","4","vo_minigame_1012_gamestart_103","0.01","-1","3","1002","0"
"13100202","3","1","1","1","好，那就再來一次囉！","0","vo_minigame_1012_gamestart_104","0","-1","3","1002","0"
"13100301","3","0","0","1","這只是普通的難度喔！","0","vo_minigame_1012_gamestart_105","0","1","1","1003","0"
"13100302","3","7","7","1","首先從基礎開始！","0","vo_minigame_1012_gamestart_106","0","1","1","1003","0"
"13100303","3","10","10","1","要挑戰困難的題目吧！","0","vo_minigame_1012_gamestart_107","0","2","2","1003","0"
"13100304","3","8","1","1","好，你的話一定辦得到的！","0","vo_minigame_1012_gamestart_108","0.67","2","2","1003","0"
"13100305","3","5","5","1","都是些我也覺得很棘手的題目喔……！","0","vo_minigame_1012_gamestart_109","0","3","3","1003","0"
"13100306","3","2","2","1","雖然超難的但是加油吧！","0","vo_minigame_1012_gamestart_110","0","3","3","1003","0"
"13100401","3","7","7","1","俗話說打鐵趁熱\n……對吧♪","0","vo_minigame_1012_gamestart_111","0","0","0","1004","0"
"13100402","3","1","1","1","好，再來一次喔！","0","vo_minigame_1012_gamestart_112","0","0","0","1004","0"
"13100501","3","9","9","1","鈴奈好像也很認真在讀書呢～","0","vo_minigame_1012_gamestart_113","0","0","0","1005","0"
"13100502","3","3","3","1","你要當鈴奈的老師？\n嗯──","0","vo_minigame_1012_gamestart_114","0","0","0","1005","0"
"13110101","3","1","1","1","題目！","0","vo_minigame_1012_start_100","0","0","0","1101","0"
"13110102","3","1","1","1","要上囉！","0","vo_minigame_1012_start_101","0","0","0","1101","0"
"13110103","3","7","7","1","答得出來嗎？","0","vo_minigame_1012_start_102","0","0","0","1101","0"
"13110201","3","2","2","1","下一題一定行！","0","vo_minigame_1012_start_103","0","0","0","1102","0"
"13110202","3","1","1","1","別放棄！","0","vo_minigame_1012_start_104","0","0","0","1102","0"
