4ec92d1c9cb28d8df2bdba8637478300c024c9d7d2279483b85d855ce1e3e78b,7d817d1f2dca1c2d58c2f11df97631b3015235fe111fec9e8af9b061f8f0b5b4,f519c2a45ea4956ede23c3b8ebd81f87e9c1d5d5d8e19d91a3352e7b3606a1a3,a0b16468010bfb477a8eed47cea86c007d7c6e7428c5c511b4d368b907dbe1dd,d76abcfa889a6926d70fcc6ad3124f0138dcbd828b29001cb9e13e428d2bbdf2,6e48695dd223b0c947945574e47c459adf70f0ec3f5a058789152415a4417b1f
"遠見 空花","104501","普拉諾平原","4","500140","0"
"宮坂 珠希","104601","墨丘利財團 據點","3","500070","0"
"白銀 純","104701","蘭德索爾 王城入口","1","500090","0"
"大神 美冬","104801","墨丘利財團 據點","2","500070","0"
"星野 靜流","104901","蘭德索爾 鬧區","4","500030","0"
"玉泉 美咲","105001","月光學院","2","500080","0"
"宵濱 深月","105101","蘭德索爾 餐廳內","6","500050","0"
"莉瑪","105201","伊麗莎白牧場 據點","9","500150","0"
"莫妮卡‧拜斯溫特","105301","普拉諾平原","2","500140","0"
"繭宮 紡希","105401","蘭德索爾 市中心","9","500010","0"
"石橋 步未","105501","普拉諾平原","15","500140","0"
"太刀洗 流夏","105601","蘭德索爾 餐廳內","3","500050","0"
"吉塔","105701","布里薩溪谷","4","500200","0"
"貪吃佩可","105801","埃斯特雷拉街道","3","500130","0"
"可可蘿","105901","埃斯特雷拉街道","2","500130","0"
"凱留","106001","埃斯特雷拉街道","3","500130","0"
"矛依未","106101","拉比林斯的公會據點","20","500341","0"
"亞里莎","106301","神秘森林","3","500170","0"
"雪菲","106401","美食殿堂 公會小屋","2","500361","0"
"嘉夜","106501","叢林_帳篷","4","500833","0"
"祈梨","106601","叢林_帳篷","4","500833","0"
"帆稀","106701","帆稀的房間","2","501320","0"
"模索路晶","106801","蘭德索爾 鬧區","18","500030","0"
"霸瞳皇帝","106901","蘭德索爾王城_王座之廳","2","500100","0"
"似似花","107001","拉比林斯的公會據點","2","500341","0"
"克莉絲提娜‧摩根","107101","蘭德索爾 王城入口","2","500090","0"
"貪吃佩可（夏日）","107501","瑪爾傑海岸","4","500164","0"
"可可蘿（夏日）","107601","瑪爾傑海岸","4","500164","0"
"鈴莓（夏日）","107701","瑪爾傑海岸","4","500164","0"
"凱留（夏日）","107801","瑪爾傑海岸","6","500164","0"
"珠希（夏日）","107901","無人島","2","500284","0"
"美冬（夏日）","108001","無人島","2","500284","0"
"忍（萬聖節）","108101","古城 萬聖節","4","500264","0"
"宮子（萬聖節）","108201","古城 萬聖節","4","500264","0"
"美咲（萬聖節）","108301","蘭德索爾 鬧區 萬聖節","2","505030","0"
"千歌（聖誕節）","108401","咲戀育幼院 大廳 聖誕節","2","500114","0"
"胡桃（聖誕節）","108501","咲戀育幼院 大廳 聖誕節","4","500114","0"
"綾音（聖誕節）","108601","咲戀育幼院 大廳 聖誕節","4","500114","0"
"日和（新年）","108701","新年 神殿","4","500553","0"
"優衣（新年）","108801","新年 神殿","4","500553","0"
"怜（新年）","108901","新年 神殿","2","500553","0"
"惠理子（情人節）","109001","廚房競技場","4","500600","0"
"靜流（情人節）","109101","廚房競技場","4","500600","0"
"安","109201","埃斯特雷拉街道","2","500133","0"
"露","109301","埃斯特雷拉街道","4","500133","0"
"古蕾婭","109401","埃斯特雷拉街道","4","500133","0"
"空花（大江戶）","109501","大江戶大街","4","500650","0"
"妮諾（大江戶）","109601","大江戶大街","2","500650","0"
"雷姆","109701","神秘森林","2","500175","0"
"拉姆","109801","神秘森林","12","500175","0"
"愛蜜莉雅","109901","神秘森林","2","500175","0"
"鈴奈（夏日）","110001","海_舞臺","4","500683","0"
"伊緒（夏日）","110101","海_舞臺","2","500683","0"
"咲戀（夏日）","110301","瑪爾傑海岸","2","500164","0"
"真琴（夏日）","110401","琉球風的海岸","6","500710","0"
"香織（夏日）","110501","琉球風的海岸","4","500710","0"
"真步（夏日）","110601","琉球風的海岸","4","500710","0"
"碧（插班生）","110701","聖德蕾莎女子學院 _正門","2","500730","0"
"克蘿依","110801","聖德蕾莎女子學院 _正門","2","500730","0"
"琪愛兒","110901","聖德蕾莎女子學院 _正門","2","500730","0"
"優妮","111001","聖德蕾莎女子學院 _正門","4","500730","0"
"鏡華（萬聖節）","111101","宅邸_主樓","2","500811","0"
"禊（萬聖節）","111201","宅邸_主樓","4","500811","0"
"美美（萬聖節）","111301","宅邸_主樓","4","500811","0"
"露娜","111401","神秘森林","4","500175","0"
"克莉絲提娜（聖誕節）","111501","蘭德索爾_鬧區_聖誕節","4","500038","0"
"望（聖誕節）","111601","蘭德索爾_鬧區_聖誕節","4","500038","0"
"伊莉亞（聖誕節）","111701","蘭德索爾_鬧區_聖誕節","4","500038","0"
"貪吃佩可（新年）","111801","蘭德索爾_鬧區_接力賽","2","500910","0"
"可可蘿（新年）","111901","蘭德索爾_鬧區_接力賽","2","500910","0"
"凱留（新年）","112001","蘭德索爾_鬧區_接力賽","6","500910","0"
"鈴莓（新年）","112101","蘭德索爾_鬧區_接力賽","2","500910","0"
"霞（魔法少女）","112201","蘭德索爾 市中心_白天","2","500010","0"
"栞（魔法少女）","112301","蘭德索爾 市中心_白天","2","500010","0"
"卯月（NGs）","112401","繆思小鎮_白天","4","500920","0"
"凜（NGs）","112501","繆思小鎮_白天","2","500920","0"
"未央（NGs）","112601","繆思小鎮_白天","4","500920","0"
"鈴（遊俠）","112701","牧場 白天","2","500995","0"
"真陽（遊俠）","112801","牧場 白天","2","500995","0"
"璃乃（奇幻）","112901","書中的世界_平原","4","501000","0"
"步未（奇幻）","113001","書中的世界_平原","2","501000","0"
"流夏（夏日）","113101","祈願海岸","6","501030","0"
"杏奈（夏日）","113201","祈願海岸","4","501030","0"
"七七香（夏日）","113301","祈願海岸","4","501030","0"
"初音（夏日）","113401","海岸沙灘","4","501100","0"
"美里（夏日）","113501","海岸沙灘","4","501100","0"
"純（夏日）","113601","瑪爾傑海岸","2","500164","0"
"茜里（天使）","113701","蘭德索爾 市中心_白天","4","500010","0"
"依里（天使）","113801","蘭德索爾 市中心_白天","2","500010","0"
"紡希（萬聖節）","113901","萬聖節樂園_白天","4","501130","0"
"怜（萬聖節）","114001","萬聖節樂園_白天","3","501130","0"
"茉莉（萬聖節）","114101","萬聖節樂園_白天","4","501130","0"
"莫妮卡（魔法少女）","114201","蘭德索爾 市中心_白天","4","500010","0"
"智（魔法少女）","114301","蘭德索爾 市中心_白天","2","500010","0"
"秋乃（聖誕節）","114401","舞台_聖誕節_白天","4","500874","0"
"咲戀（聖誕節）","114501","舞台_聖誕節_白天","2","500874","0"
"優花梨（聖誕節）","114601","舞台_聖誕節_白天","2","500874","0"
"矛依未（新年）","114701","大間小鎮_白天","4","501162","0"
"似似花（新年）","115001","大間小鎮_白天","2","501162","0"
"可可蘿（祭服）","115501","普拉諾平原","4","500140","0"
"優衣（祭服）","115601","普拉諾平原","17","500140","0"
"霞（夏日）","115701","瑪爾傑海岸","4","500160","0"
"莉瑪（灰姑娘）","115801","埃斯特雷拉街道","4","500130","0"
"真琴（灰姑娘）","115901","埃斯特雷拉街道","4","500130","0"
"真步（灰姑娘）","116001","埃斯特雷拉街道","4","500060","0"
"克蘿依（聖學祭）","116201","聖德蕾莎女子學院 _正門_聖學祭","2","500732","0"
"琪愛兒（聖學祭）","116301","聖德蕾莎女子學院 _正門_聖學祭","2","500732","0"
"優妮（聖學祭）","116401","聖德蕾莎女子學院 _正門_聖學祭","4","500732","0"
"祈梨（時空旅行）","116501","蘭德索爾 市中心_白天","18","500010","0"
"嘉夜（時空旅行）","116601","蘭德索爾 市中心_白天","4","500010","0"
"碧（工作服）","116701","玩具工廠","4","501340","0"
"珠希（工作服）","116801","玩具工廠","4","501340","0"
"美冬（工作服）","116901","玩具工廠","2","501340","0"
"惠理子（夏日）","117001","瑪爾傑海岸","4","500160","0"
"靜流（夏日）","117101","瑪爾傑海岸","4","500160","0"
"望（夏日）","117201","夏日音樂節會場","4","501363","0"
"千歌（夏日）","117301","夏日音樂節會場","2","501363","0"
"紡希（夏日）","117401","夏日音樂節會場","4","501363","0"
"深月（大江戶）","117501","大江戶_診療室_正午","6","501380","0"
"雪（大江戶）","117601","大江戶_診療室_正午","4","501380","0"
"香織（萬聖節）","117701","蘭德索爾_鬧區_萬聖節_夜晚","4","505035","0"
"妮諾（萬聖節）","117801","蘭德索爾_鬧區_萬聖節_夜晚","4","505035","0"
"鈴奈（萬聖節）","117901","蘭德索爾_鬧區_萬聖節_夜晚","4","505035","0"
"克蕾琪塔","118001","蘭德索爾_王城附近_勤務室","4","501070","0"
"蘭法","118101","憤怒‧軍團據點","4","501040","0"
"美空","118201","憤怒‧軍團據點","4","501040","0"
"花凜","118501","蘭德索爾_公務機關","4","500371","0"
"涅比亞","118601","美食殿堂_公會小屋","4","500360","0"
"伊緒（黑暗）","119001","黑暗的據點","4","501450","0"
"空花（黑暗）","119101","黑暗的據點","4","501450","0"
"真陽（聖誕節）","119201","牧場_雪_白天","4","500863","0"
"璃乃（聖誕節）","119301","蘭德索爾_鬧區_聖誕節","4","500036","0"
"宮子（聖誕節）","119901","蘭德索爾_鬧區_聖誕節","4","500038","0"
"靜流（黑暗）","120001","黑暗的據點","2","501450","0"
"雪菲（新年）","120701","美食殿堂_公會小屋_外觀_新年","2","501480","0"
"流夏（新年）","120801","參道_白天","3","500560","0"
"伊莉亞（新年）","120901","古城","4","500260","0"
"貪吃佩可（超載）","121001","美食殿堂 公會小屋","3","500361","0"
"凱留（超載）","121101","美食殿堂 公會小屋","2","500361","0"
"拉比林斯達（超載）","121201","拉比林斯的公會據點","3","500341","0"
"胡桃（舞台）","121301","牧場_溫泉設施_舞台","2","501510","0"
"美咲（舞台）","121401","咲戀育幼院_物產展","2","500354","0"
"步未（怪盜）","121501","蘭德索爾_市中心_夜晚","18","500012","0"
"祈梨（怪盜）","121601","小巷子_夜晚","20","500892","0"
"杏奈（海盜）","121901","船上甲板","2","500843","0"
"忍（海盜）","122001","船上甲板","20","500843","0"
"碧（露營）","122101","露營場_中午","20","501590","0"
"優花梨（露營）","122201","露營場_中午","2","501590","0"
"班比","122301","普拉諾平原","4","500140","0"
"日和（夏日）","122401","度假海灘_中午","4","501610","0"
"怜（夏日）","122501","度假海灘_中午","2","501610","0"
"優衣（夏日）","122601","度假海灘_中午","6","501610","0"
"鏡華（夏日）","122701","無人島","2","500285","0"
"禊（夏日）","122801","瑪爾傑海岸","4","500160","0"
"美美（夏日）","122901","瑪爾傑海岸","4","500160","0"
"愛梅斯","123001","索爾之塔_庭園","4","500270","0"
"真步（探險家）","123101","叢林_帳篷","4","500833","0"
"綾音（探險家）","123201","密林","4","501850","0"
"涅婭","123301","憤怒‧軍團據點","4","501040","0"
"鈴（萬聖節）","123501","舞台_文化祭_白天","2","501870","0"
"智（萬聖節）","123601","蘭德索爾_鬧區_萬聖節_文化祭","2","501860","0"
"七七香（萬聖節）","123701","舞台_文化祭_白天","4","501870","0"
"克莉絲提娜（狂野）","123801","神秘森林","2","500170","0"
"茉莉（狂野）","123901","蘭德索爾 王城入口","2","500090","0"
"茜里（聖誕節）","124001","蘭德索爾_鬧區_聖誕節_白天","2","500036","0"
"依里（聖誕節）","124101","蘭德索爾_鬧區_聖誕節_白天","2","500036","0"
"純（聖誕節）","124201","蘭德索爾_鬧區_聖誕節_白天","2","500036","0"
"帆稀（新年）","124501","大江戶_溫泉旅館_客房_正午","2","501890","0"
"美里（新年）","124601","新年 神殿","4","500553","0"
"深月（新年）","124701","大江戶_溫泉旅館_客房_正午","2","501890","0"
"望（解放者）","124801","蘭德索爾_鬧區_祭典_白天","2","500033","0"
"嘉夜（解放者）","124901","蘭德索爾_鬧區_祭典_白天","4","500033","0"
"矛依未（解放者）","125001","蘭德索爾_鬧區_祭典_白天","2","500033","0"
"珠希（咖啡廳）","125101","蘭德索爾_餐廳內_貓咪咖啡廳_白天","4","501950","0"
"莫妮卡（咖啡廳）","125201","蘭德索爾_餐廳內_貓咪咖啡廳_白天","2","501950","0"
"可可蘿（遊俠）","125301","平原_競技場_白天","2","501690","0"
"栞（遊俠）","125401","平原_競技場_白天","20","501690","0"
"吉塔（術士）","125501","蘭德索爾_鬧區_祭典_白天","4","500033","0"
"碧卡拉","125601","蘭德索爾_鬧區_祭典_白天","4","500033","0"
"花凜（鍊金術師）","125701","蘭德索爾_公務機關","2","500371","0"
"莉莉（墮落）","125801","吉歐‧提格尼亞_街道_白天","2","501670","0"
"可璃亞（墮落）","126001","吉歐‧提格尼亞_街道_白天","2","501670","0"
"普蕾西亞（墮落）","126101","吉歐‧提格尼亞_街道_白天","2","501670","0"
"伊莉亞（祭服）","126201","瀑布潭_晚上","20","501372","0"
"雪（祭服）","126301","蘭德索爾 公會小屋","4","500040","0"
"克蘿茜","126401","吉歐‧提格尼亞_平原_白天","4","501660","0"
"萊拉耶爾","126501","吉歐‧提格尼亞_芭菲之城_王座之廳_白天","4","501720","0"
"似似花（夏日）","126601","海邊的店_夜晚","2","500692","0"
"秋乃（夏日）","126701","祈願海岸","4","501030","0"
"優花梨（夏日）","126801","無人島","4","500280","0"
"蘭法（夏日）","126901","祈願海岸","2","501030","0"
"空花（夏日）","127001","瑪爾傑海岸_白天","4","500160","0"
"忍（夏日）","127101","瑪爾傑海岸_夜晚","4","500162","0"
"凱留（插班生）","127201","安布羅斯魔法學園_屋頂_白天","2","502030","0"
"鈴奈（插班生）","127301","安布羅斯魔法學園_屋頂_白天","4","502030","0"
"咲戀（薩拉薩利亞）","127501","沙漠之國的大馬路_白天","2","502060","0"
"流夏（薩拉薩利亞）","127601","瀑布潭_白天","3","501370","0"
"琳德","127701","吉歐‧提格尼亞_芭菲之城_大廳","20","501730","0"
"烏爾姆","127801","吉歐‧提格尼亞_芭菲之城_大廳","4","501730","0"
"貪吃佩可（聖誕節）","127901","蘭德索爾_鬧區_聖誕節_白天","2","500036","0"
"克蕾琪塔（聖誕節）","128001","蘭德索爾_鬧區_聖誕節_白天","2","500036","0"
"祈梨（新年）","128301","暗巷_雪_白天","4","500893","0"
"初音（新年）","128401","蘭德索爾_鬧區_新年_白天","4","501470","0"
"霞（新年）","128501","蘭德索爾_鬧區_新年_白天","18","501470","0"
"日和（星素）","128701","普拉諾平原","2","500140","0"
"怜（星素）","128801","普拉諾平原","3","500140","0"
"優衣（星素）","128901","普拉諾平原","2","500140","0"
"厄莉絲","129001","花田","2","500510","0"
"優妮（冬日）","129301","墨丘利度假村_泳池區域_白天","2","502220","0"
"克蘿依（冬日）","129401","墨丘利度假村_泳池區域_白天","2","502220","0"
"琪愛兒（冬日）","129501","墨丘利度假村_泳池區域_白天","2","502220","0"
"安涅默涅","129601","吉歐‧格黑納_叢林_夜晚","2","502071","0"
"涅妃‧涅羅","129701","吉歐‧格黑納_鬼岩城塞_王座之廳_白天","2","502170","0"
"真琴（指揮官）","129801","平原_白天","2","501680","0"
"惠理子（指揮官）","129901","蘭德索爾 鬧區","4","500030","0"
"倭","130001","蠻賊貪鯊號_室內_居住區","3","501760","0"
"若菜","130101","蠻賊貪鯊號_室內_居住區","4","501760","0"
"布武機","130201","蠻賊貪鯊號_室內_居住區","4","501760","0"
"鏡華（春日）","130701","蘭德索爾_郊外","20","500020","0"
"鈴莓（春日）","130801","咲戀育幼院_庭院","2","500351","0"
"庫露露","130901","大夢想樂園_入口_白天","4","502270","0"
"真步（夢想樂園）","131001","大夢想樂園_園內_白天","2","502280","0"
"涅婭（夏日）","131101","祈願海岸","3","501030","0"
"美空（夏日）","131201","海邊的店_白天","4","500690","0"
"莉莉（夏日）","131601","海邊_遮陽傘_白天","2","500163","0"
"愛梅斯（夏日）","131701","瑪爾傑海岸_白天","4","500160","0"
"帆稀（夏日）","131801","無人島","2","500285","0"
"愛蜜莉雅（夏日）","131901","祈願海岸","2","501030","0"
"艾姬多娜（夏日）","132001","瑪爾傑海岸_白天","2","500160","0"
"雷姆（夏日）","132101","瑪爾傑海岸_白天","2","500160","0"
"望（鍊金術師）","132201","阿爾克絲鍊金堂_工作室_中午","4","502360","0"
"露易絲瑪莉","132301","阿爾克絲鍊金堂_工作室_中午","2","502360","0"
"彩羽","132401","阿爾克絲鍊金堂_工作室_中午","4","502360","0"
"苑","132501","阿爾克絲鍊金堂_店內_白天","2","502370","0"
"萊拉耶爾（聖誕節）","132801","蘭德索爾_鬧區_聖誕節_夜晚","4","500038","0"
"伊緒（聖誕節）","132901","蘭德索爾_鬧區_聖誕節_夜晚","2","500038","0"
"格蕾斯","133001","吉歐‧尼布爾黑爾_遺灰沙漠","4","502290","0"
"薇歐莉特","133101","吉歐‧尼布爾黑爾_巨鯨城_大廳","2","502460","0"
"莫妮卡（新年）","133201","蘭德索爾_鬧區_新年_白天","4","501470","0"
"咲戀（新年）","133501","蘭德索爾_鬧區_新年_白天","2","501470","0"
"梅杜莎","133601","咲戀育幼院_大廳_白天","2","500110","0"
"拉比林斯達（始源）","133701","拉比林斯的公會據點","2","500341","0"
"似似花（始源）","133801","古城","2","500260","0"
"克莉絲提娜（始源）","133901","蘭德索爾_鬧區_祭典_損壞_白天","4","500780","0"
"菲歐","134001","埃斯特雷拉街道","2","500130","0"
"蘭法（祭服）","134301","可可蘿的故鄉_夜晚","2","501202","0"
"千歌（祭服）","134401","可可蘿的故鄉_神廟裡_白天","2","501220","0"
"克蘿茜（航空）","134501","吉歐‧提格尼亞_街道_白天","4","501670","0"
"碧（駕駛員）","134601","普拉諾平原","2","500140","0"
"鳳凰","134701","吉歐‧格黑納_平原_白天","2","502080","0"
"紡希（吉歐‧格黑納）","134801","吉歐‧格黑納_叢林_白天","4","502070","0"
"華音","134901","吉歐‧格黑納_鬼岩要塞_居住區_白天","4","502110","0"
"厄莉絲（夏日）","135001","祈願海岸","2","501030","0"
"雪菲（夏日）","135101","祈願海岸","2","501030","0"
"普蕾西亞（夏日）","135201","海邊的店_白天","2","500690","0"
"可璃亞（夏日）","135301","祈願海岸","4","501030","0"
"安涅默涅（夏日）","135401","祈願海岸","2","501030","0"
"妮諾（夏日）","137101","祈願海岸","4","501030","0"
"日和（公主）","180101","埃斯特雷拉街道","2","500130","0"
"優衣（公主）","180201","埃斯特雷拉街道","4","500130","0"
"怜（公主）","180301","埃斯特雷拉街道","3","500130","0"
"貪吃佩可（公主）","180401","埃斯特雷拉街道","4","500130","0"
"可可蘿（公主）","180501","埃斯特雷拉街道","2","500130","0"
"凱留（公主）","180601","埃斯特雷拉街道","18","500130","0"
"初音＆栞","180701","瀑布潭_白天","2","501370","0"
"禊＆美美＆鏡華","180801","精靈之森_祕密基地","2","500194","0"
"秋乃＆咲戀","180901","普拉諾平原","2","500140","0"
"安＆古蕾婭","181001","山腰_白天","2","500213","0"
"靜流＆璃乃","181101","蘭德索爾 市中心_白天","2","500010","0"
"雪菲（公主）","181201","埃斯特雷拉街道","2","500130","0"
