8a18da80a11f2e6278494c8003027dd1f46fc583d52738eb1e9fa44cfbf1cfef,2e0399a4faa0dcc36b3e64a871d1f58a14d2e1e648df0d001431ae8c6ff004af,194a0271bdda9db55b14d51899a55cf9e86121692f9b490d8cfd988c4fb46ccd,f41efb0dd2256bd943ffd24e0fb84adb3477df1fc66e9a68d5f5db7958671781,56dee8d424915f47277a7401995d7c724b591ec2289569e9f3e050eeb01a7e39,181482422fb2846493b7fb4a2dec071a2af16a1dd2f9216284cb39fea75da7fc,89798a8c2e538818f264ae96e460d567ab79e5691b110fbfa929b1c31e3a3aac,398dbdf48a42ed0687e5d8fe39c1f7398b529fd9f79beb1b6b7934f4d658a92f,27fcc62e884c28208725e76d2afa05999b6d7f27e0ed7f49b8ad22b7428c8062,40667edd3666db47548bfef98afb11120bdf59f945bf0dde78d4e1e21405ddd3,19e7957318011af211ebc2a1b80a5d61b2be1fd5de332bb7cd3909910e8ba9df
"wac_215_karin_idle_normal","","1","112112","0.2","112","0","wac_215_handclap","3","118511","0.2"
"","","","112113","","112","","0","93","2",""
"","","","112114","","112","","","91","0",""
"","","","113001","0.2","113","1","wac_215_karin_idle_normal","3","118511",""
"","","","113002","0.2","113","1","wac_215_idle_joy1","3","105811",""
"","","","113003","","113","","","93","0.1",""
"","","","113004","0.2","113","1","wac_215_coccoro_idle_wish","3","105911",""
"","","","113005","0.2","113","1","wac_215_idle_arm_crossed","3","106011",""
"","","","113006","","113","","","93","0.1",""
"","","","113007","0.2","113","1","wac_215_idle_normal2_joy","3","106431",""
"","","","113008","","113","","","91","0",""
"-108","wac_default_11","-212.75","211001","2","211","202","105811","1","1","0"
"-108","wac_default_11","-212.75","211002","2","211","201","111","5","1","0"
"0","","1","211003","1","211","0","1","31","1",""
"0","","1","211004","0","211","0","2","31","2",""
"0","","1","211005","0","211","0","11","31","11",""
"","","0","211006","0.2","211","0","wac_paint_11","3","105811",""
"","","0","211007","0.2","211","0","wac_paint_11","3","111",""
"","","","211008","","211","","0","93","0.3",""
"","wac_default_11","","211009","","211","","1","32","11",""
"","","","211010","","211","0","se_10035700_roller","23","se_10035700",""
"","","","211011","","211","","","131","1",""
"wac_talk_kyapi_loop","","1","212001","0.2","212","0","wac_talk_kyapi_in","3","105811",""
"","","","212002","0.2","212","1","wac_no_items","3","111",""
"0","","","212003","","212","-340","200","2","105811",""
"0","","","212004","","212","-340","200","2","111",""
"","","","212005","","212","","0","32","1",""
"","","","212006","","212","","1","32","2",""
"","","","212007","","212","","0","32","11",""
"0","","","212008","","212","0","vo_wac_220216_000","21","vo_wac_220216",""
"1","0.5","1","212009","0","212","10","嘿嘿～♪畫畫，畫畫～！\n這搞不好是我有生以來\n第一次畫這麼大一幅畫！","11","105811","0"
"","","","212010","","212","","","91","0",""
"0","","","212011","","212","0","vo_wac_220216_001","21","vo_wac_220216",""
"1","0.5","1","212012","0","212","10","大家一起圍繞在餐桌邊\n當然是很幸福，\n但跟大家一起打造出一件東西……\n也太讚了吧☆","11","105811","0"
"","","","212013","","212","","","91","0",""
"","","","212014","","212","","0","22","0",""
"","","","213001","0.2","213","1","wac_idle_kyapi","3","105811",""
"","","","213002","0.2","213","1","wac_no_items","3","111",""
"0","","","213003","","213","-340","200","2","105811",""
"0","","","213004","","213","-340","200","2","111",""
"","","","213005","","213","","0","32","1",""
"","","","213006","","213","","1","32","2",""
"","","","213007","","213","","0","32","11",""
"","","","213008","","213","","","91","0",""
"-108","wac_default_01","-212.75","311001","2","311","202","105911","1","1","0"
"-108","wac_default_03","-212.75","311002","2","311","201","111","5","1","0"
"0","","1","311003","1","311","0","1","31","1",""
"0","","1","311004","0","311","0","2","31","2",""
"0","","1","311005","0","311","0","11","31","11",""
"","","","311006","0.2","311","0","wac_paint_01","3","105911",""
"","","","311007","0.2","311","0","wac_paint_03","3","111",""
"","wac_default_11","","311008","","311","","1","32","11",""
"","","","311009","","311","0","se_10035700_brush","23","se_10035700",""
"","","","311010","","311","","","131","1",""
"wac_talk_wish_loop","","1","312001","0.2","312","0","wac_talk_wish_in","3","105911",""
"","","","312002","0.2","312","1","wac_no_items","3","111",""
"0","","","312003","","312","-340","200","2","105911",""
"0","","","312004","","312","-340","200","2","111",""
"","","","312005","","312","","0","32","1",""
"","","","312006","","312","","1","32","2",""
"","","","312007","","312","","0","32","11",""
"0","","","312008","","312","0","vo_wac_220217_000","21","vo_wac_220217",""
"1","0.5","1","312009","0","312","10","呼……\n在下認為自己很擅長照顧人，\n卻對畫技沒什麼自信。\n但是──","11","105911","0"
"","","","312010","","312","","","91","0",""
"0","","","312011","","312","0","vo_wac_220217_001","21","vo_wac_220217",""
"1","0.5","1","312012","0","312","10","在下希望有朝一日，能在蘭德索爾的\n這面牆畫上主人威風凜凜的模樣……\n在下會努力的。\n請你看著在下吧，主人……♪","11","105911","0"
"","","","312013","","312","","","91","0",""
"","","","312014","","312","","0","22","0",""
"","","","313001","0.2","313","1","wac_idle_wish","3","105911",""
"","","","313002","0.2","313","1","wac_no_items","3","111",""
"0","","","313003","","313","-340","200","2","105911",""
"0","","","313004","","313","-340","200","2","111",""
"","","","313005","","313","","0","32","1",""
"","","","313006","","313","","1","32","2",""
"","","","313007","","313","","0","32","11",""
"","","","313008","","313","","","91","0",""
"-108","wac_default_01","-212.75","411001","2","411","202","106011","1","1","0"
"-108","wac_default_02","-212.75","411002","2","411","201","111","5","1","0"
"0","","1","411003","1","411","0","1","31","1",""
"0","","1","411004","0","411","0","2","31","2",""
"0","","1","411005","0","411","0","11","31","11",""
"","","","411006","0.2","411","0","wac_paint_01","3","106011",""
"","","","411007","0.2","411","0","wac_paint_02","3","111",""
"","wac_default_11","","411008","","411","","1","32","11",""
"","","0","411009","0.2","411","0","se_10035700_brush","23","se_10035700",""
"","","","411010","","411","","","131","1",""
"wac_talk_doya_loop","","1","412001","0.2","412","0","wac_talk_doya_in","3","106011",""
"","","","412002","0.2","412","1","wac_no_items","3","111",""
"0","","","412003","","412","-340","200","2","106011",""
"0","","","412004","","412","-340","200","2","111",""
"","","","412005","","412","","0","32","1",""
"","","","412006","","412","","1","32","2",""
"","","","412007","","412","","0","32","11",""
"0","","","412008","","412","0","vo_wac_220218_000","21","vo_wac_220218",""
"1","0.5","1","412009","0","412","10","哼哼哼～♪\n好，感覺很不錯呢！\n今天的部分完成了！","11","106011","0"
"","","","412010","","412","","","91","0",""
"0","","","412011","","412","0","vo_wac_220218_001","21","vo_wac_220218",""
"1","0.5","1","412012","0","412","10","總覺得開始好玩起來了。\n……我啊，該不會是有\n繪畫的才能吧♪\n好～要來盡情地畫囉！","11","106011","0"
"","","","412013","","412","","","91","0",""
"","","","412014","","412","","0","22","0",""
"","","","413001","0.2","413","1","wac_idle_doya","3","106011",""
"","","","413002","0.2","413","1","wac_no_items","3","111",""
"0","","","413003","","413","-340","200","2","106011",""
"0","","","413004","","413","-340","200","2","111",""
"","","","413005","","413","","0","32","1",""
"","","","413006","","413","","1","32","2",""
"","","","413007","","413","","0","32","11",""
"","","","413008","","413","","","91","0",""
"-108","wac_default_11","-212.75","511001","2","511","202","106431","1","1","0"
"-108","wac_default_12","-212.75","511002","2","511","201","111","5","1","0"
"0","","1","511003","1","511","0","1","31","1",""
"0","","1","511004","0","511","0","2","31","2",""
"0","","1","511005","0","511","0","11","31","11",""
"","","","511006","0.2","511","0","wac_paint_11","3","106431",""
"","","","511007","0.2","511","0","wac_paint_12","3","111",""
"","","","511008","","511","","0","93","0.3",""
"","wac_default_11","","511009","","511","","1","32","11",""
"","","0","511010","0.2","511","0","se_10035700_roller","23","se_10035700",""
"","","","511011","","511","","","131","1",""
"wac_talk_smile_loop","","1","512001","0.2","512","0","wac_talk_smile_in","3","106431",""
"","","","512002","0.2","512","1","wac_no_items","3","111",""
"0","","","512003","","512","-340","200","2","106431",""
"0","","","512004","","512","-340","200","2","111",""
"","","","512005","","512","","0","32","1",""
"","","","512006","","512","","1","32","2",""
"","","","512007","","512","","0","32","11",""
"0","","","512008","","512","0","vo_wac_220219_000","21","vo_wac_220219",""
"1","0.5","1","512009","0","512","10","雖然我沒有學過畫畫……\n但盡情地動手畫畫非常新鮮，\n很有趣呢。","11","106431","0"
"","","","512010","","512","","","91","0",""
"0","","","512011","","512","0","vo_wac_220219_001","21","vo_wac_220219",""
"1","0.5","1","512012","0","512","10","我們畫的畫居然會變成\n蘭德索爾的一部分風景，\n總覺得這就像是在作夢……！","11","106431","0"
"","","","512013","","512","","","91","0",""
"","","","512014","","512","","0","22","0",""
"","","","513001","0.2","513","1","wac_idle_smile","3","106431",""
"","","","513002","0.2","513","1","wac_no_items","3","111",""
"0","","","513003","","513","-340","200","2","106431",""
"0","","","513004","","513","-340","200","2","111",""
"","","","513005","","513","","0","32","1",""
"","","","513006","","513","","1","32","2",""
"","","","513007","","513","","0","32","11",""
"","","","513008","","513","","","91","0",""
"-108","wac_default_01","-212.75","611001","2","611","202","104411","1","1","0"
"-108","wac_default_01","-212.75","611002","2","611","201","111","5","1","0"
"0","","1","611003","1","611","0","1","31","1",""
"0","","1","611004","0","611","0","2","31","2",""
"0","","1","611005","0","611","0","11","31","11",""
"","","","611006","0.2","611","0","wac_paint_01","3","104411",""
"","","","611007","0.2","611","0","wac_paint_01","3","111",""
"","wac_default_11","","611008","","611","","1","32","11",""
"","","0","611009","0.2","611","0","se_10035700_brush","23","se_10035700",""
"","","","611010","","611","","","131","1",""
"wac_talk_doya_loop","","1","612001","0.2","612","0","wac_talk_doya_in","3","104411",""
"","","","612002","0.2","612","1","wac_no_items","3","111",""
"0","","","612003","","612","-340","200","2","104411",""
"0","","","612004","","612","-340","200","2","111",""
"","","","612005","","612","","0","32","1",""
"","","","612006","","612","","1","32","2",""
"","","","612007","","612","","0","32","11",""
"0","","","612008","","612","0","vo_wac_220220_000","21","vo_wac_220220",""
"1","0.5","1","612009","0","612","10","將妾身的威嚴淋漓盡致地\n畫在蘭德索爾……\n這不是別有一番雅興嗎！","11","104411","0"
"","","","612010","","612","","","91","0",""
"0","","","612011","","612","0","vo_wac_220220_001","21","vo_wac_220220",""
"1","0.5","1","612012","0","612","10","嗯，話又說回來，真不愧是妾身。\n這美妙的筆觸無人能及。如此一來，\n征服世界的那天也不遠了！\n哼……哼哈哈哈哈，哈～哈哈哈！","11","104411","0"
"","","","612013","","612","","","91","0",""
"","","","612014","","612","","0","22","0",""
"","","","613001","0.2","613","1","wac_idle_doya","3","104411",""
"","","","613002","0.2","613","1","wac_no_items","3","111",""
"0","","","613003","","613","-340","200","2","104411",""
"0","","","613004","","613","-340","200","2","111",""
"","","","613005","","613","","0","32","1",""
"","","","613006","","613","","1","32","2",""
"","","","613007","","613","","0","32","11",""
"","","","613008","","613","","","91","0",""
"-108","wac_default_bot_01","-325","711001","2","711","202","102211","1","1","0"
"-108","wac_default_02","-325","711002","2","711","201","111","5","1","0"
"0","","1","711003","1","711","0","3","31","3",""
"0","","1","711004","0","711","0","2","31","2",""
"0","","1","711005","0","711","0","13","31","13",""
"","","","711006","0.2","711","0","wac_paint_bot_01","3","102211",""
"","","","711007","0.2","711","0","wac_paint_02","3","111",""
"","wac_default_11","","711008","","711","","1","32","13",""
"","","0","711009","0.2","711","0","se_10035700_brush","23","se_10035700",""
"","","","711010","","711","","","131","1",""
"wac_talk_sad_loop","","1","712001","0.2","712","0","wac_talk_sad_in","3","102211",""
"","","","712002","0.2","712","1","wac_no_items","3","111",""
"0","","","712003","","712","-340","200","2","102211",""
"0","","","712004","","712","-340","200","2","111",""
"","","","712005","","712","","0","32","3",""
"","","","712006","","712","","1","32","2",""
"","","","712007","","712","","0","32","13",""
"0","","","712008","","712","0","vo_wac_220221_000","21","vo_wac_220221",""
"1","0.5","1","712009","0","712","10","這、這種感覺可以嗎……？\n居然突然要人畫圖，\n還真是強人所難。","11","102211","0"
"","","","712010","","712","","","91","0",""
"0","","","712011","","712","0","vo_wac_220221_001","21","vo_wac_220221",""
"1","0.5","1","712012","0","712","10","雖然手因為緊張而抖了起來……\n連我都覺得畫得很不錯。\n不知道茜里畫了什麼樣的圖？\n就去看看吧。","11","102211","0"
"","","","712013","","712","","","91","0",""
"","","","712014","","712","","0","22","0",""
"","","","713001","0.2","713","1","wac_idle_sad","3","102211",""
"","","","713002","0.2","713","1","wac_no_items","3","111",""
"0","","","713003","","713","-340","200","2","102211",""
"0","","","713004","","713","-340","200","2","111",""
"","","","713005","","713","","0","32","3",""
"","","","713006","","713","","1","32","2",""
"","","","713007","","713","","0","32","13",""
"","","","713008","","713","","","91","0",""
"-108","wac_default_bot_11","-325","811001","2","811","202","100611","1","1","0"
"-108","wac_default_12","-325","811002","2","811","201","111","5","1","0"
"0","","1","811003","1","811","0","3","31","3",""
"0","","1","811004","0","811","0","2","31","2",""
"0","","1","811005","0","811","0","13","31","13",""
"","","","811006","0.2","811","0","wac_paint_bot_11","3","100611",""
"","","","811007","0.2","811","0","wac_paint_12","3","111",""
"","","","811008","","811","","0","93","0.3",""
"","wac_default_11","","811009","","811","","1","32","13",""
"","","0","811010","0.2","811","0","se_10035700_roller","23","se_10035700",""
"","","","811011","","811","","","131","1",""
"wac_talk_smile_loop","","1","812001","0.2","812","0","wac_talk_smile_in","3","100611",""
"","","","812002","0.2","812","1","wac_no_items","3","111",""
"0","","","812003","","812","-340","200","2","100611",""
"0","","","812004","","812","-340","200","2","111",""
"","","","812005","","812","","0","32","3",""
"","","","812006","","812","","1","32","2",""
"","","","812007","","812","","0","32","13",""
"0","","","812008","","812","0","vo_wac_220222_000","21","vo_wac_220222",""
"1","0.5","1","812009","0","812","10","嘻嘻♪\n茜里畫好了～♪\n好可愛喔～♪","11","100611","0"
"","","","812010","","812","","","91","0",""
"0","","","812011","","812","0","vo_wac_220222_001","21","vo_wac_220222",""
"1","0.5","1","812012","0","812","10","不過，是不是讓畫面\n灑滿更多愛心比較好？\n或是去姊姊那裡補畫──\n啊！姊姊♪","11","100611","0"
"","","","812013","","812","","","91","0",""
"","","","812014","","812","","0","22","0",""
"","","","813001","0.2","813","1","wac_idle_smile","3","100611",""
"","","","813002","0.2","813","1","wac_no_items","3","111",""
"0","","","813003","","813","-340","200","2","100611",""
"0","","","813004","","813","-340","200","2","111",""
"","","","813005","","813","","0","32","3",""
"","","","813006","","813","","1","32","2",""
"","","","813007","","813","","0","32","13",""
"","","","813008","","813","","","91","0",""
"-108","wac_default_01","-212.75","911001","2","911","202","103111","1","1","0"
"-108","wac_default_03","-212.75","911002","2","911","201","111","5","1","0"
"0","","1","911003","1","911","0","1","31","1",""
"0","","1","911004","0","911","0","2","31","2",""
"0","","1","911005","0","911","0","11","31","11",""
"","","","911006","0.2","911","0","wac_paint_01","3","103111",""
"","","","911007","0.2","911","0","wac_paint_03","3","111",""
"","wac_default_11","","911008","","911","","1","32","11",""
"","","0","911009","0.2","911","0","se_10035700_brush","23","se_10035700",""
"","","","911010","","911","","","131","1",""
"wac_talk_wish_loop","","1","912001","0.2","912","0","wac_talk_wish_in","3","103111",""
"","","","912002","0.2","912","1","wac_no_items","3","111",""
"0","","","912003","","912","-340","200","2","103111",""
"0","","","912004","","912","-340","200","2","111",""
"","","","912005","","912","","0","32","1",""
"","","","912006","","912","","1","32","2",""
"","","","912007","","912","","0","32","11",""
"0","","","912008","","912","0","vo_wac_220223_000","21","vo_wac_220223",""
"1","0.5","1","912009","0","912","10","在蘭德索爾的牆壁上畫畫……\n我原本很擔心自己能不能\n做到這件事，但進行得很順利，\n我放心了。","11","103111","0"
"","","","912010","","912","","","91","0",""
"0","","","912011","","912","0","vo_wac_220223_001","21","vo_wac_220223",""
"1","0.5","1","912012","0","912","10","雖然一想到別人會看到這個，\n就覺得有點不好意思……\n但如果能讓大家感到開心，\n我會很高興的。","11","103111","0"
"","","","912013","","912","","","91","0",""
"","","","912014","","912","","0","22","0",""
"","","","913001","0.2","913","1","wac_idle_wish","3","103111",""
"","","","913002","0.2","913","1","wac_no_items","3","111",""
"0","","","913003","","913","-340","200","2","103111",""
"0","","","913004","","913","-340","200","2","111",""
"","","","913005","","913","","0","32","1",""
"","","","913006","","913","","1","32","2",""
"","","","913007","","913","","0","32","11",""
"","","","913008","","913","","","91","0",""
"-108","wac_default_01","-212.75","1011001","2","1011","202","100711","1","1","0"
"-108","wac_default_01","-212.75","1011002","2","1011","201","111","5","1","0"
"0","","1","1011003","1","1011","0","1","31","1",""
"0","","1","1011004","0","1011","0","2","31","2",""
"0","","1","1011005","0","1011","0","11","31","11",""
"","","","1011006","0.2","1011","0","wac_paint_01","3","100711",""
"","","","1011007","0.2","1011","0","wac_paint_01","3","111",""
"","wac_default_11","","1011008","","1011","","1","32","11",""
"","","0","1011009","0.2","1011","0","se_10035700_brush","23","se_10035700",""
"","","","1011010","","1011","","","131","1",""
"wac_talk_smile_loop","","1","1012001","0.2","1012","0","wac_talk_smile_in","3","100711",""
"","","","1012002","0.2","1012","1","wac_no_items","3","111",""
"0","","","1012003","","1012","-340","200","2","100711",""
"0","","","1012004","","1012","-340","200","2","111",""
"","","","1012005","","1012","","0","32","1",""
"","","","1012006","","1012","","1","32","2",""
"","","","1012007","","1012","","0","32","11",""
"0","","","1012008","","1012","0","vo_wac_220224_000","21","vo_wac_220224",""
"1","0.5","1","1012009","0","1012","10","是布丁來的，這裡也是布丁來的，\n這邊那邊也都是布丁來的。\n沒有啦，騙你的喲。\n人家有照著學到的好好畫喲。","11","100711","0"
"","","","1012010","","1012","","","91","0",""
