1fb5335e1b984e876e6b894bdd63a856699f44a4e56b72aaa475209f0c747733,8def794353fa516c34cb68643980571f80a775752fc16aaf362277135cf56a29,6c67ab4fe969f793679f9575d62f332170bcbb1b6acdd422bdfeaeba93767f32,2ce5426e88377048456bb76afa382252782d8f4bfdbd0db34c63d8d5ffcf5f28,727c2b9ca67343ebd40772f5e3f261dd5346144384f4dbc235475d1b815efa91,a3cbc1cff45f379d1bc2d3fb38a872f48430e17fb14e99217a70069336f9da90,816dddc3a860aea93fa405b51422b014e1d6d2fd5a5af8a3ae11a2285b2e1cc2,8ef73acae34fde0be7b5b1f9535c154246d38c949407863f26b500aa33a9333b,b262fd8be67f95cb16dfebc6643e7185f8af6a3e6bd8c7a1d282fa9ea022ee41
"10","0","2","2","1","30000","0","0","2102001"
"-15","0","2","2","2","3000","0","0","2103001"
"-15","0","2","3","2","3000","0","0","2103002"
"-25","0","2","3","2","3000","0","0","2105001"
"25","0","2","3","1","30000","0","0","2107001"
"10","0","2","3","1","30000","0","0","2108001"
"10","0","2","3","1","30000","0","0","2109001"
"10","0","2","3","1","30000","0","0","2110001"
"15","0","2","2","1","3000","0","0","2111001"
"25","0","2","1","1","3000","0","0","2112001"
"10","0","2","2","1","3000","0","0","2113001"
"2113003","0","21","3000","0","0","0","0","2113002"
"25","0","2","1","1","30000","0","0","2113003"
"-10","0","2","2","1","3000","0","0","2114001"
"2114003","0","21","3000","1","0","0","0","2114002"
"-25","0","2","1","2","30000","0","0","2114003"
"-10","0","2","1","2","30000","0","0","2116001"
"-10","0","2","2","2","30000","0","0","2116002"
"-50","0","2","3","2","1500","0","0","2117001"
"3301002","0","21","300","0","0","0","0","3301001"
"1","20","20","2","0","30","0","0","3301002"
"0","100","1","1","2","1","0","0","3301101"
"0","40","1","1","2","1","0","0","3302001"
"0","60","1","1","2","1","0","0","3302002"
"0","12","1","1","2","1","0","0","3303001"
"0","28","1","1","2","1","0","0","3303002"
"0","40","1","1","2","1","0","0","3304001"
"0","100","1","1","2","1","0","0","3304002"
"3305011","0","21","200","0","0","0","0","3305001"
"3305012","0","21","200","0","0","0","0","3305002"
"3305013","0","21","200","0","0","0","0","3305003"
"3305014","0","21","200","0","0","0","0","3305004"
"3305015","0","21","200","0","0","0","0","3305005"
"3305016","0","21","200","0","0","0","0","3305006"
"1","15","20","2","0","26","30","0","3305011"
"1","8","20","2","0","29","15","0","3305012"
"1","0","20","2","0","30","0","0","3305013"
"1","-8","20","2","0","29","-15","0","3305014"
"1","-15","20","2","0","26","-30","0","3305015"
"30000","0","10","1","1","180","0","0","3305016"
"0","20","1","1","2","1","0","0","3305101"
"1","29","20","2","0","274","0","0","3402001"
"500000","0","11","2000","3","0","0","0","3402101"
"3403002","0","21","200","0","0","0","0","3403001"
"200000","0","10","1","1","0","0","0","3403002"
"0","0","4","0","3","0","0","0","4001001"
"99999","0","1","0","3","0","0","0","4001002"
"99999","9","1","9","3","9","9","9","4002001"
