0124ebd5f4caeb6b2c84df10dbceae41a760249fb3f58082f719ccb4865e5954,d9eba0c71ede3123ca7d22bac77c298a928c9dc8c68a81c6f3e0a42246e85f6d,f0b82001b54203f124c129a15887c09b1370b88a14351966ba5c0f762cb80584,92491e01bb235ee6e612ffc92e27ec0d8b71818f900747431de06b08712ab1d3,db0eec9db27a38627ec3ec23b555e1d59bb33b7326848412d982147e8f6a074a,81d47bde016abced92f2b808a5121033f93f15b85b625b7ccb65e1ff268c2564,7997157304fb18d5d7b90f2c837a8eea0a122287a847179341f7b9597c092fbb,e4b798376c6cea57cbd9545cbde13bf2155819d4f12aacd0707ba5de2878b1e1,acf5a0c67fe98cc069339dde9ab478ab5c275dd7dfd8c56a56bbb601fa1de4cf,d6268b8c860d93a333e4eacfd793c5f2b94ed9321d7dc3e75a05c94bf317934c,ad84571b3593ec0fca65f8cdba4e668a36730cbcc0e11e192d32c02a22b279ae
"","61056","","","91","","","0","5146061","",""
"surprise_idle_talk1R","61057","","","3","0.2","1","105811","5146061","",""
"surprise_idle_talk1R","61058","","","3","0.2","1","1058","5146061","",""
"kokkoro_surprise_talk","61059","","","3","0.2","1","105911","5146061","",""
"kokkoro_surprise_talk","61060","","","3","0.2","1","1059","5146061","",""
"vo_apg_0105","61061","","","21","","0","vo_apg","5146061","","0"
"是的，\n看來是這樣沒錯。","61062","0","0","11","0","7","105911","5146061","1","1"
"","61063","","","91","","","0","5146061","",""
"kokkoro_idle_normal","61064","","","3","0.2","1","105911","5146061","",""
"kokkoro_idle_normal","61065","","","3","0.2","1","1059","5146061","",""
"idle_normal_talk1R","61066","","","3","0.2","1","105811","5146061","",""
"idle_normal_talk1R","61067","","","3","0.2","1","1058","5146061","",""
"0","61068","","","4","","","105811","5146061","",""
"0","61069","","","4","","","1058","5146061","",""
"1","61070","","","4","","","106011","5146061","",""
"1","61071","","","4","","","1060","5146061","",""
"cool_in_sing_shy","61072","","0","3","0.2","0","106011","5146061","1","cool_talk_sing_shy"
"cool_in_sing_shy","61073","","0","3","0.2","0","1060","5146061","1","cool_talk_sing_shy"
"vo_apg_0106","61074","","","21","","0","vo_apg","5146061","","0"
"喂，我們快點去搭啦～\n唉～討厭討厭……呵呵呵。","61075","0","0","11","0","10","106011","5146061","1","1"
"","61076","","","91","","","0","5146061","",""
"0","61077","","","22","","","0","5146061","",""
"walk_kyapi_shy","61078","","","3","0.2","1","106011","5146061","",""
"walk_kyapi_shy","61079","","","3","0.2","1","1060","5146061","",""
"walk_furimuki","61080","","","3","0.2","1","105811","5146061","",""
"walk_furimuki","61081","","","3","0.2","1","1058","5146061","",""
"kokkoro_walk_surprise","61082","","","3","0.2","1","105911","5146061","",""
"kokkoro_walk_surprise","61083","","","3","0.2","1","1059","5146061","",""
"149","61084","","","2","","-278","106011","5146061","0","2"
"149","61085","","","2","","-278","1060","5146061","0","2"
"-54","61086","","","2","","-278","105811","5146061","0","2"
"-54","61087","","","2","","-278","1058","5146061","0","2"
"-214","61088","","","2","","-288","105911","5146061","0","2"
"-214","61089","","","2","","-288","1059","5146061","0","2"
"0","61090","","","93","","","1","5146061","",""
"iris_in","61091","","","37","","","2","5146061","",""
"0","61092","","","93","","","2","5146061","",""
"se_10055900_coaster_02","61093","","","23","","1","se_10055900","5146061","",""
"1","61094","","","32","","","10","5146061","",""
"30","61095","","","122","","0.5","30","5146061","",""
"vo_apg_0107","61096","","","21","","0","vo_apg","5146061","","0"
"0107_in","61097","","","3","0","0","202","5146061","",""
"1","61098","","","93","","","0.7","5146061","",""
"0107_mid","61099","","","3","0","0","202","5146061","",""
"","61100","","","92","","","","5146061","",""
"0107_out","61101","","","3","0","0","202","5146061","",""
"0","61102","","","93","","","0.2","5146061","",""
"0","61103","","","2","","-211","202","5146061","0","0"
"30","61104","","","122","","0.5","30","5146061","",""
"vo_apg_0108","61105","","","21","","0","vo_apg","5146061","","0"
"0108_in","61106","","","3","0","0","203","5146061","",""
"1","61107","","","93","","","0.8","5146061","",""
"0108_mid","61108","","","3","0","0","203","5146061","",""
"","61109","","","92","","","","5146061","",""
"0108_out","61110","","","3","0","0","203","5146061","",""
"0","61111","","","93","","","0.2","5146061","",""
"315","61112","","","2","","16","201","5146061","0","0"
"30","61113","","","122","","0.5","30","5146061","",""
"vo_apg_0109","61114","","","21","","0","vo_apg","5146061","","0"
"0109_in","61115","","","3","0","0","201","5146061","",""
"1","61116","","","93","","","1.1","5146061","",""
"0109_mid","61117","","","3","0","0","201","5146061","",""
"","61118","","","92","","","","5146061","",""
"0109_out","61119","","","3","0","0","201","5146061","",""
"0","61120","","","93","","","0.2","5146061","",""
"30","61121","","","122","","0.5","30","5146061","",""
"vo_apg_0110","61122","","","21","","0","vo_apg","5146061","","0"
"0107_in","61123","","","3","0","0","202","5146061","",""
"0108_in","61124","","","3","0","0","203","5146061","",""
"0109_in","61125","","","3","0","0","201","5146061","",""
"1","61126","","","93","","","1.1","5146061","",""
"0107_mid","61127","","","3","0","0","202","5146061","",""
"0108_mid","61128","","","3","0","0","203","5146061","",""
"0109_mid","61129","","","3","0","0","201","5146061","",""
"","61130","","","92","","","","5146061","",""
"0107_out","61131","","","3","0","0","202","5146061","",""
"0108_out","61132","","","3","0","0","203","5146061","",""
"0109_out","61133","","","3","0","0","201","5146061","",""
"0","61134","","","93","","","0.2","5146061","",""
"216","61135","","","2","","0","201","5146061","0","0"
"vo_apg_0111","61136","","","21","","0","vo_apg","5146061","","0"
"0111_in","61137","","","3","0","0","201","5146061","",""
"1","61138","","","93","","","1.8","5146061","",""
"0111_mid","61139","","","3","0","0","201","5146061","",""
"","61140","","","92","","","","5146061","",""
"0111_out","61141","","","3","0","0","201","5146061","",""
"0","61142","","","93","","","0.2","5146061","",""
"0","61143","","","22","","","0","5146061","",""
"","61144","","","93","","","0.5","5146061","",""
"1","61145","","","32","","","11","5146061","",""
"se_10055900_camera","61146","","","23","","0","se_10055900","5146061","",""
"0","61147","","","93","","","0.2","5146061","",""
"0","61148","","","32","","","10","5146061","",""
"0","61149","","","93","","","1.8","5146061","",""
"0.5","61150","","","24","","","se_10055900_coaster_02","5146061","",""
"iris_out","61151","","","37","","","2","5146061","",""
"129","61152","","","2","","-278","106011","5146061","0","0"
"129","61153","","","2","","-278","1060","5146061","0","0"
"-34","61154","","","2","","-278","105811","5146061","0","0"
"-34","61155","","","2","","-278","1058","5146061","0","0"
"-194","61156","","","2","","-288","105911","5146061","0","0"
"-194","61157","","","2","","-288","1059","5146061","0","0"
"walk_normal_dere2","61158","","","3","0.2","1","106011","5146061","",""
"walk_normal_dere2","61159","","","3","0.2","1","1060","5146061","",""
"walk_normal_joy","61160","","","3","0.2","1","105811","5146061","",""
"walk_normal_joy","61161","","","3","0.2","1","1058","5146061","",""
"kokkoro_walk_normal_dere","61162","","","3","0.2","1","105911","5146061","",""
"kokkoro_walk_normal_dere","61163","","","3","0.2","1","1059","5146061","",""
"290","61164","","","2","","-278","106011","5146061","0","2"
"290","61165","","","2","","-278","1060","5146061","0","2"
"-225","61166","","","2","","-278","105811","5146061","0","2"
"-225","61167","","","2","","-278","1058","5146061","0","2"
"-385","61168","","","2","","-288","105911","5146061","0","2"
"-385","61169","","","2","","-288","1059","5146061","0","2"
"0","61170","","","4","","","106011","5146061","",""
"0","61171","","","4","","","1060","5146061","",""
"1","61172","","","4","","","105811","5146061","",""
"1","61173","","","4","","","1058","5146061","",""
"1","61174","","","4","","","105911","5146061","",""
"1","61175","","","4","","","1059","5146061","",""
"0","61176","","","93","","","2","5146061","",""
"1","61177","","","4","","","106011","5146061","",""
"1","61178","","","4","","","1060","5146061","",""
"0","61179","","","4","","","105811","5146061","",""
"0","61180","","","4","","","1058","5146061","",""
"0","61181","","","4","","","105911","5146061","",""
"0","61182","","","4","","","1059","5146061","",""
"joy_idle_doya_shy","61183","","","3","0.2","1","106011","5146061","",""
"joy_idle_doya_shy","61184","","","3","0.2","1","1060","5146061","",""
"idle_normal","61185","","","3","0.2","1","105811","5146061","",""
"idle_normal","61186","","","3","0.2","1","1058","5146061","",""
"kokkoro_idle_normal_joy","61187","","","3","0.2","1","105911","5146061","",""
"kokkoro_idle_normal_joy","61188","","","3","0.2","1","1059","5146061","",""
"0","61189","","","93","","","0.3","5146061","",""
"jump_short","61190","","0.2","3","0.2","0","105811","5146061","1","guts2_talk_joy"
"jump_short","61191","","0.2","3","0.2","0","1058","5146061","1","guts2_talk_joy"
"vo_apg_0112","61192","","","21","","0","vo_apg","5146061","","0"
"哈～♪\n玩得真開心呢──☆","61193","0","0","11","0","9","105811","5146061","1","1"
"","61194","","","91","","","0","5146061","",""
"idle_normal","61195","","","3","0.2","1","105811","5146061","",""
"idle_normal","61196","","","3","0.2","1","1058","5146061","",""
"kokkoro_talk_normal","61197","","","3","0.2","1","105911","5146061","",""
"kokkoro_talk_normal","61198","","","3","0.2","1","1059","5146061","",""
"vo_apg_0113","61199","","","21","","0","vo_apg","5146061","","0"
"各位，\n照片似乎\n已經洗出來了。","61200","0","0","11","0","8","105911","5146061","1","1"
"","61201","","","91","","","0","5146061","",""
"kokkoro_idle_normal_joy","61202","","","3","0.2","1","105911","5146061","",""
"kokkoro_idle_normal_joy","61203","","","3","0.2","1","1059","5146061","",""
"armcrossed_in_dere_shy","61204","","0","3","0.2","0","106011","5146061","1","armcrossed_talk_dere_shy"
"armcrossed_in_dere_shy","61205","","0","3","0.2","0","1060","5146061","1","armcrossed_talk_dere_shy"
"vo_apg_0114","61206","","","21","","0","vo_apg","5146061","","0"
"唉～糟透了。\n……算了，我就姑且\n看一下拍得如何吧♪","61207","0","0","11","0","10","106011","5146061","1","1"
"","61208","","","91","","","0","5146061","",""
"0","61209","","","22","","","0","5146061","",""
"armcrossed_idle_anger_lookup","61210","","","3","0.2","0","106011","5146061","",""
"armcrossed_idle_anger_lookup","61211","","","3","0.2","0","1060","5146061","",""
"idle_normal_lookup","61212","","","3","0.2","1","105811","5146061","",""
"idle_normal_lookup","61213","","","3","0.2","1","1058","5146061","",""
"kokkoro_wish_idle_joy_lookup","61214","","","3","0.2","1","105911","5146061","",""
"kokkoro_wish_idle_joy_lookup","61215","","","3","0.2","1","1059","5146061","",""
"coaster_1_in","61216","","","3","0","0","21","5146061","",""
"se_10055900_photo","61217","","","23","","0","se_10055900","5146061","",""
"0","61218","","","93","","","2.3","5146061","",""
"idle_normal_surprise","61219","","","3","0.2","1","105811","5146061","",""
"idle_normal_surprise","61220","","","3","0.2","1","1058","5146061","",""
"kokkoro_idle_normal_surprise","61221","","","3","0.2","1","105911","5146061","",""
"kokkoro_idle_normal_surprise","61222","","","3","0.2","1","1059","5146061","",""
"pointing_in_noface","61223","","0","3","0.2","0","106011","5146061","1","pointing_loop_noface"
"pointing_in_kyaru","61224","","0","3","0.2","0","1060","5146061","1","pointing_loop_kyaru"
"vo_apg_0115","61225","","","21","","0","vo_apg","5146061","","0"
"呃，這是怎樣啊──！！！\n根本沒拍到我嘛！！？","61226","0","0","11","0","8","106011","5146061","1","1"
"1","61227","","","93","","","0.5","5146061","",""
"30","61228","","","122","","0.5","30","5146061","",""
"","61229","","","91","","","61226","5146061","",""
"surprise_talk","61230","","","3","0.2","1","105811","5146061","",""
"surprise_talk","61231","","","3","0.2","1","1058","5146061","",""
"vo_apg_0116","61232","","","21","","0","vo_apg","5146061","","0"
"……咦？\n小凱留其實\n很想被拍嗎？","61233","0","0","11","0","7","105811","5146061","1","1"
"","61234","","","91","","","0","5146061","",""
"idle_normal_talk1R","61235","","","3","0.2","1","105811","5146061","",""
"idle_normal_talk1R","61236","","","3","0.2","1","1058","5146061","",""
"kokkoro_sad_talk","61237","","","3","0.2","1","105911","5146061","",""
"kokkoro_sad_talk","61238","","","3","0.2","1","1059","5146061","",""
"vo_apg_0117","61239","","","21","","0","vo_apg","5146061","","0"
"在下以為凱留小姐不想被拍，\n就把您遮住了。\n看來似乎是在下多管閒事。","61240","0","0","11","0","8","105911","5146061","1","1"
"","61241","","","91","","","0","5146061","",""
"kokkoro_idle_normal","61242","","","3","0.2","1","105911","5146061","",""
"kokkoro_idle_normal","61243","","","3","0.2","1","1059","5146061","",""
"shock_in_shy_red","61244","","0","3","0.2","0","106011","5146061","1","shock_loop_shy_red"
"shock_in_shy_red","61245","","0","3","0.2","0","1060","5146061","1","shock_loop_shy_red"
"vo_apg_0118","61246","","","21","","0","vo_apg","5146061","","0"
"不……不是，\n也不是那樣的啦！！？","61247","0","0","11","0","9","106011","5146061","1","1"
"","61248","","","91","","","0","5146061","",""
"coaster_1_out","61249","","","3","0","0","21","5146061","",""
"kokkoro_idle_normal_joy","61250","","0.2","3","0.2","1","105911","5146061","",""
"kokkoro_idle_normal_joy","61251","","0.2","3","0.2","1","1059","5146061","",""
"joy_talk","61252","","0.2","3","0.2","1","105811","5146061","",""
"joy_talk","61253","","0.2","3","0.2","1","1058","5146061","",""
"vo_apg_0119","61254","","","21","","0","vo_apg","5146061","","0"
"什麼嘛♪\n那我們就再搭一次吧──♪","61255","0","0","11","0","9","105811","5146061","1","1"
"","61256","","","91","","","0","5146061","",""
"joy_idle","61257","","","3","0.2","1","105811","5146061","",""
"joy_idle","61258","","","3","0.2","1","1058","5146061","",""
"kokkoro_wish_talk_normal2","61259","","","3","0.2","1","105911","5146061","",""
"kokkoro_wish_talk_normal2","61260","","","3","0.2","1","1059","5146061","",""
"vo_apg_0120","61261","","","21","","0","vo_apg","5146061","","0"
"好的，就這麼做吧♪","61262","0","0","11","0","7","105911","5146061","1","1"
"","61263","","","91","","","0","5146061","",""
"0","61264","","","22","","","0","5146061","",""
"kokkoro_wish_idle_joy","61265","","","3","0.2","1","105911","5146061","",""
"kokkoro_wish_idle_joy","61266","","","3","0.2","1","1059","5146061","",""
"anger_talk_anger2_red","61267","","","3","0.2","1","106011","5146061","",""
"anger_talk_anger2_red","61268","","","3","0.2","1","1060","5146061","",""
"2","61269","0","0","12","0","2","106011","5146061","0","0"
"10","61270","0","0","12","0","2","105811","5146061","0","0"
"10","61271","0","0","12","0","2","105911","5146061","0","0"
"0","61272","","","93","","","2","5146061","",""
"","61273","","","101","","","61274","5146061","",""
"0.2","61274","","","22","","","0","5146061","",""
"100911","62001","idle_normal","0","1","1.8","103","1","5146062","-278","-290"
"1009","62002","idle_normal","0","5","1.8","104","3","5146062","-278","-290"
"131011","62003","idle_normal","1","1","1.8","100","1","5146062","-278","290"
"203","62004","","","13","","","100911","5146062","",""
"200","62005","","","13","","","131011","5146062","",""
"7","62006","idle","0","5","0.85","15","7","5146062","-174","0"
"20","62007","empty","0","5","1","210","20","5146062","71","-132"
"22","62008","empty","0","5","1","210","22","5146062","-42","0"
"21","62009","empty","0","5","1","60","21","5146062","153","0"
"1","62010","","","31","1","0","1","5146062","1","0"
"2","62011","","","31","0","0","2","5146062","1","-57.7"
"10","62012","","","31","0","0","10","5146062","1","0"
"11","62013","","","31","0","0","11","5146062","1","0"
"14","62014","","","31","0","-290","14","5146062","1","-278"
"20","62015","","","31","1","0","20","5146062","1","0"
"100911","62016","","","36","","","20","5146062","",""
"20","62017","","","36","","","20","5146062","",""
"22","62018","","","36","","","20","5146062","",""
"0","62019","","","91","","","0","5146062","",""
"0","62020","","","102","","0","0","5146062","",""
"0","62021","","","93","","","1","5146062","",""
"cool_in_dere","62022","","0","3","0.2","0","100911","5146062","1","cool_talk_dere"
"cool_in_dere","62023","","0","3","0.2","0","1009","5146062","1","cool_talk_dere"
"vo_apg_0201","62024","","","21","","0","vo_apg","5146062","","0"
"出發吧，前往極滅禁斷秘儀！\n好，麻煩妳帶路了！","62025","0","0","11","0","9","100911","5146062","1","1"
"","62026","","","91","","","0","5146062","",""
"cool_idle","62027","","","3","0.2","1","100911","5146062","",""
"cool_idle","62028","","","3","0.2","1","1009","5146062","",""
"wish_talk_joy","62029","","","3","0.2","1","131011","5146062","",""
"vo_apg_0202","62030","","","21","","0","vo_apg","5146062","","0"
"杏奈小姐竟然會感興趣，\n人家很高興呢～\n人家會好好為妳帶路的。","62031","0","0","11","0","8","131011","5146062","1","1"
"","62032","","","91","","","0","5146062","",""
"wish_idle","62033","","","3","0.2","1","131011","5146062","",""
"anna_armcrossed","62034","","0.2","3","0.2","0","100911","5146062","1","sad_talk"
"anna_armcrossed","62035","","0.2","3","0.2","0","1009","5146062","1","sad_talk"
"vo_apg_0203","62036","","","21","","0","vo_apg","5146062","","0"
"嗯！吉格魯特他們也\n挑戰過的這場試煉，我冥姬也……\n呃，咦？\n這莫非，是尖叫系設施……？","62037","0","0","11","0","9","100911","5146062","1","1"
"","62038","","","91","","","0","5146062","",""
"sad_idle","62039","","","3","0.2","1","100911","5146062","",""
"sad_idle","62040","","","3","0.2","1","1009","5146062","",""
"maho_talk_normal","62041","","0.2","3","0.2","0","131011","5146062","1","surprise_talk"
"vo_apg_0204","62042","","","21","","0","vo_apg","5146062","","0"
"這是這座遊樂園\n大受歡迎的遊樂設施喔～\n奇怪？怎麼了嗎？\n妳的臉色看起來不太好……","62043","0","0","11","0","9","131011","5146062","1","1"
"","62044","","","91","","","0","5146062","",""
"surprise_idle","62045","","","3","0.2","1","131011","5146062","",""
"anger_talk_shy","62046","","","3","0.2","1","100911","5146062","",""
"anger_talk_shy","62047","","","3","0.2","1","1009","5146062","",""
"vo_apg_0205","62048","","","21","","0","vo_apg","5146062","","0"
"我我我、我才不是感、感到害怕……\n徹徹底底，完全沒問題喔？","62049","0","0","11","0","9","100911","5146062","1","1"
"","62050","","","91","","","0","5146062","",""
"anger_idle_shy","62051","","","3","0.2","1","100911","5146062","",""
"anger_idle_shy","62052","","","3","0.2","1","1009","5146062","",""
"worry_talk","62053","","","3","0.2","1","131011","5146062","",""
"vo_apg_0206","62054","","","21","","0","vo_apg","5146062","","0"
"話雖如此，最好還是不要\n勉強自己比較好吧？","62055","0","0","11","0","9","131011","5146062","1","1"
"","62056","","","91","","","0","5146062","",""
"wish_idle_shy","62057","","","3","0.2","1","131011","5146062","",""
"anger_talk_pain","62058","","","3","0.2","1","100911","5146062","",""
"anger_talk_pain","62059","","","3","0.2","1","1009","5146062","",""
"vo_apg_0207","62060","","","21","","0","vo_apg","5146062","","0"
"沒事！我、我都說沒問題了！\n妳都帶我到這裡了，怎麼能退縮……\n我要上了！突擊────！","62061","0","0","11","0","9","100911","5146062","1","1"
"","62062","","","91","","","0","5146062","",""
"0","62063","","","22","","","0","5146062","",""
"run_dash_anger2","62064","","","3","0.2","1","100911","5146062","",""
"run_dash_anger2","62065","","","3","0.2","1","1009","5146062","",""
"walk_surprise","62066","","","3","0.2","1","131011","5146062","",""
"-129","62067","","","2","","-278","100911","5146062","0","2"
"-129","62068","","","2","","-278","1009","5146062","0","2"
"129","62069","","","2","","-278","131011","5146062","0","2"
"1","62070","","","32","","","14","5146062","",""
"left","62071","","","37","","","14","5146062","",""
"-129","62072","","","33","","-278","14","5146062","0","2"
"0","62073","","","93","","","1","5146062","",""
"1","62074","","","32","","","2","5146062","",""
"0","62075","","","93","","","1.5","5146062","",""
"0","62076","","","32","","","14","5146062","",""
"0","62077","","","2","","-331","100911","5146062","0","0"
"scale15","62078","","","37","","","20","5146062","",""
"se_10055900_coaster_01","62079","","","23","","1","se_10055900","5146062","",""
"vo_apg_0208","62080","","","21","","0","vo_apg","5146062","","0"
"0208_in","62081","","","3","0","0","22","5146062","",""
"1","62082","","","93","","","3.3","5146062","",""
"0208_mid","62083","","","3","0","0","22","5146062","",""
"","62084","","","92","","","","5146062","",""
"0208_out","62085","","","3","0","0","22","5146062","",""
"0","62086","","","93","","","0.2","5146062","",""
"0","62087","","","93","","","0.3","5146062","",""
"scale1","62088","","","37","","","20","5146062","",""
"1","62089","","","32","","","10","5146062","",""
"0.5","62090","","","24","","","se_10055900_coaster_01","5146062","",""
"se_10055900_coaster_02","62091","","","23","","1","se_10055900","5146062","",""
"0","62092","","","2","","0","20","5146062","0","0"
"30","62093","","","122","","0.5","30","5146062","",""
"vo_apg_0209","62094","","","21","","0","vo_apg","5146062","","0"
"0209_in","62095","","","3","0","0","20","5146062","",""
"1","62096","","","93","","","2.6","5146062","",""
"0209_mid","62097","","","3","0","0","20","5146062","",""
"","62098","","","92","","","","5146062","",""
"0209_out","62099","","","3","0","0","20","5146062","",""
"0","62100","","","93","","","0.2","5146062","",""
"30","62101","","","122","","1","30","5146062","",""
"vo_apg_0210","62102","","","21","","0","vo_apg","5146062","","0"
"0210_in","62103","","","3","0","0","20","5146062","",""
"1","62104","","","93","","","2.7","5146062","",""
"0210_mid","62105","","","3","0","0","20","5146062","",""
"","62106","","","92","","","","5146062","",""
"0210_out","62107","","","3","0","0","20","5146062","",""
"0","62108","","","93","","","0.2","5146062","",""
"0","62109","","","22","","","0","5146062","",""
"empty","62110","","","3","0","1","20","5146062","",""
"","62111","","","93","","","1","5146062","",""
"1","62112","","","32","","","11","5146062","",""
"se_10055900_camera","62113","","","23","","0","se_10055900","5146062","",""
"0","62114","","","93","","","0.2","5146062","",""
"0","62115","","","32","","","10","5146062","",""
"0","62116","","","93","","","1.8","5146062","",""
"0.5","62117","","","24","","","se_10055900_coaster_02","5146062","",""
"iris_out","62118","","","37","","","2","5146062","",""
"-129","62119","","","2","","-278","100911","5146062","0","0"
"-129","62120","","","2","","-278","1009","5146062","0","0"
"129","62121","","","2","","-278","131011","5146062","0","0"
"anna_walk","62122","","","3","0.2","1","100911","5146062","",""
"anna_walk","62123","","","3","0.2","1","1009","5146062","",""
"walk_normal_joy","62124","","","3","0.2","1","131011","5146062","",""
"-290","62125","","","2","","-278","100911","5146062","0","2"
"-290","62126","","","2","","-278","1009","5146062","0","2"
"290","62127","","","2","","-278","131011","5146062","0","2"
"1","62128","","","4","","","100911","5146062","",""
"1","62129","","","4","","","1009","5146062","",""
"0","62130","","","4","","","131011","5146062","",""
"0","62131","","","93","","","2","5146062","",""
"0","62132","","","4","","","100911","5146062","",""
"0","62133","","","4","","","1009","5146062","",""
"1","62134","","","4","","","131011","5146062","",""
"anna_idle","62135","","","3","0.2","1","100911","5146062","",""
"anna_idle","62136","","","3","0.2","1","1009","5146062","0",""
"idle_normal","62137","","","3","0.2","1","131011","5146062","",""
"0","62138","","","93","","","0.5","5146062","",""
"talk_normal_surprise","62139","","","3","0.2","1","131011","5146062","",""
"vo_apg_0211","62140","","","21","","0","vo_apg","5146062","","0"
"妳覺得如何呢？\n發出了很響亮的喊叫聲呢。","62141","0","0","11","0","10","131011","5146062","1","1"
"","62142","","","91","","","0","5146062","",""
"idle_normal_surprise","62143","","","3","0.2","1","131011","5146062","",""
"anna_kukuku_in","62144","","0","3","0.2","0","100911","5146062","1","anna_kukuku_loop"
"anna_kukuku_in","62145","","0","3","0.2","0","1009","5146062","1","anna_kukuku_loop"
"vo_apg_0212","62146","","","21","","0","vo_apg","5146062","","0"
"呵、呵呵呵……吉格魯特啊……\n我也，看得見了……時之刻！","62147","0","0","11","20","12","100911","5146062","1","1"
"","62148","","","91","","","0","5146062","",""
"coaster_2_in","62149","","","3","0","0","21","5146062","",""
"se_10055900_photo","62150","","","23","","0","se_10055900","5146062","",""
"0","62151","","","93","","","0.1","5146062","",""
"anna_ahaha_in","62152","","0","3","0.2","0","100911","5146062","1","anna_ahaha_loop"
"anna_ahaha_in","62153","","0","3","0.2","0","1009","5146062","1","anna_ahaha_loop"
"vo_apg_0213","62154","","","21","","0","vo_apg","5146062","","0"
"此刻，冥姬\n超越了疾風！","62155","0","0","11","-30","8","100911","5146062","1","1"
"","62156","","","91","","","0","5146062","",""
