79b120dcbd5f73cdf185538ac7319e14191179b6a4fea5478ac85d1065750464,25d517fd22b449cd721bc3d6930a4d8b5bad78237ef5c7b5f27ef5014a500716,5936900fb32abc548551389b381e8f25d7fb78c715d6624098e65e068ad06b2c,4c0cec43ac4fa7c5de69cf42c810cd93c60043171c3a623c85da71b0124e2c91,dddc166f1c05ed193a3ea5cfb9b75e8e5cdd35d611310c0c627f29ed48f488bf,fcc19652b59a6e14715bb46bad9238584a580dd6aaedda130c739c9b40c3e546,9add5b706ae223476bf1ccfaef8638c36799bd616669e87e302975e2b022b3d9,b02ce72415d7ec7c57b4f70a6682fa78a15777282178c7a0751b3291f9caf670,304aceb6d6daa5ee81ee2ddaa13fd761d85da1d93e4c662152b4bb730baf2bf1,2380d87d695b8647c8296e1bc7a0703ea877124537db06af5eacfbf5d5e9a31e,eb391cc3ce7a77bf1105c7e3343d8583c4c51bb41d72d03a96c3bd52b308ea7e,2f712f815a92d1c2b3d15bb1e2d31ef5a3089167d2791cd187a29b11656afc44
"0","1120039","1.439","0","0","1","0","12","0","4","0","39"
"1.462","1120040","0","0","8","0","233","12","345","1","0","40"
"0","1120041","2.178","0","0","1","0","12","0","4","0","41"
"0","1120042","0","vo_nyx_0108","0","0","0","12","0","2","vo_nyx","42"
"3.765","1120043","0","0","9","0","0","12","400","1","0","43"
"0","1120044","4.495","0","0","1","0","12","0","4","0","44"
"0","1120045","0","vo_nyx_0109","0","0","0","12","0","2","vo_nyx","45"
"1.137","1120046","0","0","10","0","0","12","109","1","0","46"
"0","1120047","1.484","0","0","1","0","12","0","4","0","47"
"2.686","1120048","0","0","10","0","109","12","395","1","0","48"
"0","1120049","2.686","0","0","1","0","12","0","4","0","49"
"0.736","1120050","0","0","11","0","0","12","127","1","0","50"
"0","1120051","1.06","0","0","1","0","12","0","4","0","51"
"0","1120052","0","vo_nyx_0110","0","0","0","12","0","2","vo_nyx","52"
"0.353","1120053","0","0","11","0","127","12","133","1","0","53"
"0","1120054","1.137","0","0","1","0","12","0","4","0","54"
"0","1120055","0","vo_nyx_0111","0","0","0","12","0","2","vo_nyx","55"
"2.51","1120056","0","0","12","0","0","12","406","1","0","56"
"0","1120057","3.164","0","0","1","0","12","0","4","0","57"
"0","1120058","0","vo_nyx_0112","0","0","0","12","0","2","vo_nyx","58"
"1.532","1120059","0","0","13","0","0","12","155","1","0","59"
"0","1120060","1.62","0","0","1","0","12","0","4","0","60"
"1.367","1120061","0","0","13","0","155","12","374","1","0","61"
"0","1120062","2.245","0","0","1","0","12","0","4","0","62"
"0","1120063","0","vo_nyx_0113","0","0","0","12","0","2","vo_nyx","63"
"1.116","1120064","0","0","14","0","0","12","124","1","0","64"
"0","1120065","1.735","0","0","1","0","12","0","4","0","65"
"1.048","1120066","0","0","14","0","124","12","238","1","0","66"
"0","1120067","2.848","0","0","1","0","12","0","4","0","67"
"0","1130001","1","0","0","3","0","13","0","4","0","1"
"0","1130002","0","vo_nyx_0201","0","0","0","13","0","2","vo_nyx","2"
"0.382","1130003","0","0","1","0","0","13","36","1","0","3"
"0","1130004","0.672","0","0","1","0","13","0","4","0","4"
"0.65","1130005","0","0","1","0","36","13","67","1","0","5"
"0","1130006","1.115","0","0","1","0","13","0","4","0","6"
"2.158","1130007","0","0","1","0","67","13","192","1","0","7"
"0","1130008","2.541","0","0","1","0","13","0","4","0","8"
"0.914","1130009","0","0","1","0","192","13","365","1","0","9"
"0","1130010","0.914","0","0","1","0","13","0","4","0","10"
"1.72","1130011","0","0","2","0","0","13","220","1","0","11"
"0","1130012","1.5","0","0","1","0","13","0","4","0","12"
"0","1130013","2","0","0","3","0","13","0","4","0","13"
"0","1130014","1.726","0","0","1","0","13","0","4","0","14"
"0","1130015","0","vo_nyx_0202","0","0","0","13","0","2","vo_nyx","15"
"2.838","1130016","0","0","3","0","0","13","335","1","0","16"
"0","1130017","3.334","0","0","1","0","13","0","4","0","17"
"2.491","1130018","0","0","4","0","0","13","300","1","0","18"
"0","1130019","3.427","0","0","1","0","13","0","4","0","19"
"0","1130020","3","0","0","3","0","13","0","4","0","20"
"0","1130021","0","vo_nyx_0203","0","0","0","13","0","2","vo_nyx","21"
"0.475","1130022","0","0","5","0","0","13","28","1","0","22"
"0","1130023","0.872","0","0","1","0","13","0","4","0","23"
"1.001","1130024","0","0","5","0","28","13","103","1","0","24"
"0","1130025","1.492","0","0","1","0","13","0","4","0","25"
"1.73","1130026","0","0","5","0","103","13","310","1","0","26"
"0","1130027","2.045","0","0","1","0","13","0","4","0","27"
"0.87","1130028","0","0","5","0","310","13","395","1","0","28"
"0","1130029","1.949","0","0","1","0","13","0","4","0","29"
"0","1130030","0","vo_nyx_0204","0","0","0","13","0","2","vo_nyx","30"
"1.885","1130031","0","0","6","0","0","13","165","1","0","31"
"0","1130032","2.37","0","0","1","0","13","0","4","0","32"
"0.939","1130033","0","0","6","0","165","13","311","1","0","33"
"0","1130034","1.12","0","0","1","0","13","0","4","0","34"
"0.5","1130035","0","0","6","0","311","13","388","1","0","35"
"0","1130036","1.435","0","0","1","0","13","0","4","0","36"
"0","1130037","0","vo_nyx_0205","0","0","0","13","0","2","vo_nyx","37"
"0.58","1130038","0","0","7","0","0","13","45","1","0","38"
"0","1130039","0.976","0","0","1","0","13","0","4","0","39"
"1.425","1130040","0","0","7","0","45","13","292","1","0","40"
"0","1130041","1.683","0","0","1","0","13","0","4","0","41"
"0.85","1130042","0","0","7","0","292","13","292","1","0","42"
"0","1130043","1.9","0","0","1","0","13","0","4","0","43"
"0","1130044","4","0","0","3","0","13","0","4","0","44"
"0","1130045","0","vo_nyx_0206","0","0","0","13","0","2","vo_nyx","45"
"0.43","1130046","0","0","7","0","292","13","322","1","0","46"
"0","1130047","1.105","0","0","1","0","13","0","4","0","47"
"0.759","1130048","0","0","7","0","322","13","396","1","0","48"
"0","1130049","0.759","0","0","1","0","13","0","4","0","49"
"1.136","1130050","0","0","8","0","0","13","134","1","0","50"
"0","1130051","1.533","0","0","1","0","13","0","4","0","51"
"1.347","1130052","0","0","8","0","134","13","360","1","0","52"
"0","1130053","1.518","0","0","1","0","13","0","4","0","53"
"0.981","1130054","0","0","8","0","360","13","360","1","0","54"
"0","1130055","1.862","0","0","1","0","13","0","4","0","55"
"0","1130056","5","0","0","3","0","13","0","4","0","56"
"0","1130057","0","vo_nyx_0207","0","0","0","13","0","2","vo_nyx","57"
"0.44","1130058","0","0","9","0","0","13","36","1","0","58"
"0","1130059","0.9","0","0","1","0","13","0","4","0","59"
"1.404","1130060","0","0","9","0","36","13","276","1","0","60"
"0","1130061","1.74","0","0","1","0","13","0","4","0","61"
"0.986","1130062","0","0","9","0","276","13","325","1","0","62"
"0","1130063","0","0","0","1","0","13","0","4","0","63"
"0.437","1130064","0","0","9","0","325","13","377","1","0","64"
"0","1130065","0","0","0","1","0","13","0","4","0","65"
"1.317","1130066","0","0","10","0","0","13","376","1","0","66"
"0","1130067","1.317","0","0","1","0","13","0","4","0","67"
"2.659","1130068","0","0","10","0","376","13","376","1","0","68"
"0","1130069","0","0","0","1","0","13","0","4","0","69"
"1.834","1130070","0","0","11","0","0","13","190","1","0","70"
"0","1130071","6.509","0","0","1","0","13","0","4","0","71"
"0","1130072","0","vo_nyx_0208","0","0","0","13","0","2","vo_nyx","72"
"1.574","1130073","0","0","12","0","0","13","110","1","0","73"
"0","1130074","2.083","0","0","1","0","13","0","4","0","74"
"1.236","1130075","0","0","12","0","110","13","270","1","0","75"
"0","1130076","1.443","0","0","1","0","13","0","4","0","76"
"0.869","1130077","0","0","12","0","270","13","345","1","0","77"
"0","1130078","1.288","0","0","1","0","13","0","4","0","78"
"0.48","1130079","0","0","13","0","0","13","141","1","0","79"
"0","1130080","0.81","0","0","1","0","13","0","4","0","80"
"0.789","1130081","0","0","13","0","141","13","141","1","0","81"
"0","1130082","1.627","0","0","1","0","13","0","4","0","82"
"0","1130083","0","vo_nyx_0209","0","0","0","13","0","2","vo_nyx","83"
"0.707","1130084","0","0","13","0","141","13","250","1","0","84"
"0","1130085","2.507","0","0","1","0","13","0","4","0","85"
"0","1140001","1","0","0","3","0","14","0","4","0","1"
"0","1140002","0","vo_nyx_0301","0","0","0","14","0","2","vo_nyx","2"
"1.075","1140003","0","0","1","0","0","14","105","1","0","3"
"0","1140004","1.692","0","0","1","0","14","0","4","0","4"
"2.843","1140005","0","0","1","0","105","14","360","1","0","5"
"0","1140006","4","0","0","1","0","14","0","4","0","6"
"0","1140007","0","vo_nyx_0302","0","0","0","14","0","2","vo_nyx","7"
"1.567","1140008","0","0","2","0","0","14","74","1","0","8"
"0","1140009","1.964","0","0","1","0","14","0","4","0","9"
"0.78","1140010","0","0","2","0","74","14","230","1","0","10"
"0","1140011","2.076","0","0","1","0","14","0","4","0","11"
"0","1140012","0","vo_nyx_0303","0","0","0","14","0","2","vo_nyx","12"
"1.037","1140013","0","0","3","0","0","14","88","1","0","13"
"0","1140014","1.629","0","0","1","0","14","0","4","0","14"
"2.027","1140015","0","0","3","0","88","14","266","1","0","15"
"0","1140016","3.568","0","0","1","0","14","0","4","0","16"
"0","1140017","2","0","0","3","0","14","0","4","0","17"
"0","1140018","0","vo_nyx_0304","0","0","0","14","0","2","vo_nyx","18"
"1.38","1140019","0","0","3","0","266","14","380","1","0","19"
"0","1140020","1.419","0","0","1","0","14","0","4","0","20"
"0.491","1140021","0","0","4","0","0","14","150","1","0","21"
"0","1140022","0.545","0","0","1","0","14","0","4","0","22"
"2.409","1140023","0","0","4","0","150","14","345","1","0","23"
"0","1140024","3.711","0","0","1","0","14","0","4","0","24"
"0","1140025","0","vo_nyx_0305","0","0","0","14","0","2","vo_nyx","25"
"0.892","1140026","0","0","5","0","0","14","74","1","0","26"
"0","1140027","1.458","0","0","1","0","14","0","4","0","27"
"2.495","1140028","0","0","5","0","74","14","325","1","0","28"
"0","1140029","3.134","0","0","1","0","14","0","4","0","29"
"0.599","1140030","0","0","6","0","0","14","46","1","0","30"
"0","1140031","0.599","0","0","1","0","14","0","4","0","31"
"1.855","1140032","0","0","6","0","46","14","245","1","0","32"
"0","1140033","3.373","0","0","1","0","14","0","4","0","33"
"0","1140034","0","vo_nyx_0306","0","0","0","14","0","2","vo_nyx","34"
"1.629","1140035","0","0","7","0","0","14","175","1","0","35"
"0","1140036","3.34","0","0","1","0","14","0","4","0","36"
"0","1140037","0","vo_nyx_0307","0","0","0","14","0","2","vo_nyx","37"
"1.079","1140038","0","0","8","0","0","14","135","1","0","38"
"0","1140039","1.6","0","0","1","0","14","0","4","0","39"
"2.353","1140040","0","0","8","0","135","14","280","1","0","40"
"0","1140041","3.511","0","0","1","0","14","0","4","0","41"
"0","1140042","0","vo_nyx_0308","0","0","0","14","0","2","vo_nyx","42"
"0.511","1140043","0","0","8","0","280","14","400","1","0","43"
"0","1140044","0.511","0","0","1","0","14","0","4","0","44"
"1.154","1140045","0","0","9","0","0","14","148","1","0","45"
"0","1140046","1.511","0","0","1","0","14","0","4","0","46"
"3.186","1140047","0","0","9","0","148","14","405","1","0","47"
"0","1140048","4.034","0","0","1","0","14","0","4","0","48"
"0","1140049","0","vo_nyx_0309","0","0","0","14","0","2","vo_nyx","49"
"3.486","1140050","0","0","10","0","0","14","405","1","0","50"
"0","1140051","4.563","0","0","1","0","14","0","4","0","51"
"0","1140052","0","vo_nyx_0310","0","0","0","14","0","2","vo_nyx","52"
"0.815","1140053","0","0","11","0","0","14","150","1","0","53"
"0","1140054","2.384","0","0","1","0","14","0","4","0","54"
"0","1140055","0","vo_nyx_0311","0","0","0","14","0","2","vo_nyx","55"
"1.726","1140056","0","0","12","0","0","14","191","1","0","56"
"0","1140057","2.212","0","0","1","0","14","0","4","0","57"
"2.239","1140058","0","0","12","0","191","14","360","1","0","58"
"0","1140059","2.898","0","0","1","0","14","0","4","0","59"
"0.691","1140060","0","0","12","0","360","14","398","1","0","60"
"0","1140061","0","0","0","3","0","14","0","4","0","61"
"0","1140062","0.691","0","0","1","0","14","0","4","0","62"
"0.499","1140063","0","0","13","0","0","14","134","1","0","63"
"0","1140064","1.799","0","0","1","0","14","0","4","0","64"
"0","1140065","4","0","0","3","0","14","0","4","0","65"
"0","1140066","0","vo_nyx_0312","0","0","0","14","0","2","vo_nyx","66"
"0.674","1140067","0","0","13","0","134","14","375","1","0","67"
"0","1140068","1.251","0","0","1","0","14","0","4","0","68"
"0.959","1140069","0","0","13","0","375","14","375","1","0","69"
"0","1140070","1.676","0","0","1","0","14","0","4","0","70"
"1.894","1140071","0","0","13","0","375","14","375","1","0","71"
"0","1140072","1.894","0","0","1","0","14","0","4","0","72"
"0.844","1140073","0","0","14","0","0","14","120","1","0","73"
"0","1140074","2.644","0","0","1","0","14","0","4","0","74"
"0","1220001","1","0","0","3","0","22","0","4","0","1"
"0","1220002","0","vo_nyx_0401","0","0","0","22","0","2","vo_nyx","2"
"1.578","1220003","0","0","1","0","0","22","272","1","0","3"
"0","1220004","2.06","0","0","1","0","22","0","4","0","4"
"1.339","1220005","0","0","1","0","272","22","325","1","0","5"
"0","1220006","1.417","0","0","1","0","22","0","4","0","6"
"1.412","1220007","0","0","2","0","0","22","229","1","0","7"
"0","1220008","2.549","0","0","1","0","22","0","4","0","8"
"0","1220009","0","vo_nyx_0402","0","0","0","22","0","2","vo_nyx","9"
"1.74","1220010","0","0","2","0","229","22","360","1","0","10"
"0","1220011","2.249","0","0","1","0","22","0","4","0","11"
"0.455","1220012","0","0","2","0","360","22","390","1","0","12"
"0","1220013","0.455","0","0","1","0","22","0","4","0","13"
"1.361","1220014","0","0","3","0","0","22","188","1","0","14"
"0","1220015","2.433","0","0","1","0","22","0","4","0","15"
"0","1220016","0","vo_nyx_0403","0","0","0","22","0","2","vo_nyx","16"
"0.438","1220017","0","0","4","0","0","22","40","1","0","17"
"0","1220018","0.976","0","0","1","0","22","0","4","0","18"
"1.414","1220019","0","0","4","0","40","22","256","1","0","19"
"0","1220020","2.433","0","0","1","0","22","0","4","0","20"
"0","1220021","0","vo_nyx_0404","0","0","0","22","0","2","vo_nyx","21"
"1.829","1220022","0","0","5","0","0","22","119","1","0","22"
"0","1220023","2.237","0","0","1","0","22","0","4","0","23"
"1.018","1220024","0","0","5","0","119","22","340","1","0","24"
"0","1220025","1.965","0","0","1","0","22","0","4","0","25"
"0","1220026","2","0","0","3","0","22","0","4","0","26"
"0","1220027","0","vo_nyx_0405","0","0","0","22","0","2","vo_nyx","27"
"0.455","1220028","0","0","5","0","340","22","392","1","0","28"
"0","1220029","0.455","0","0","1","0","22","0","4","0","29"
"0.586","1220030","0","0","6","0","0","22","52","1","0","30"
"0","1220031","1.124","0","0","1","0","22","0","4","0","31"
"1.953","1220032","0","0","6","0","52","22","221","1","0","32"
"0","1220033","2.356","0","0","1","0","22","0","4","0","33"
"1.083","1220034","0","0","6","0","221","22","375","1","0","34"
"0","1220035","1.083","0","0","1","0","22","0","4","0","35"
"0.71","1220036","0","0","7","0","0","22","74","1","0","36"
"0","1220037","1.533","0","0","1","0","22","0","4","0","37"
"0.947","1220038","0","0","7","0","74","22","210","1","0","38"
"0","1220039","2","0","0","3","0","22","0","4","0","39"
"0","1220040","1.349","0","0","1","0","22","0","4","0","40"
"0.87","1220041","0","0","7","0","210","22","329","1","0","41"
"0","1220042","0.87","0","0","1","0","22","0","4","0","42"
"1.758","1220043","0","0","8","0","0","22","203","1","0","43"
"0","1220044","2.198","0","0","1","0","22","0","4","0","44"
"1.601","1220045","0","0","8","0","203","22","342","1","0","45"
"0","1220046","2.097","0","0","1","0","22","0","4","0","46"
"0.546","1220047","0","0","8","0","342","22","393","1","0","47"
"0","1220048","0.546","0","0","1","0","22","0","4","0","48"
"1.277","1220049","0","0","9","0","0","22","390","1","0","49"
"0","1220050","1.656","0","0","1","0","22","0","4","0","50"
"2.113","1220051","0","0","9","0","390","22","390","1","0","51"
"0","1220052","3.362","0","0","1","0","22","0","4","0","52"
"0","1220053","3","0","0","3","0","22","0","4","0","53"
"0","1220054","0","vo_nyx_0406","0","0","0","22","0","2","vo_nyx","54"
"2.628","1220055","0","0","10","0","0","22","259","1","0","55"
"0","1220056","3.131","0","0","1","0","22","0","4","0","56"
"0.846","1220057","0","0","10","0","259","22","345","1","0","57"
"0","1220058","1.249","0","0","1","0","22","0","4","0","58"
"0.516","1220059","0","0","10","0","345","22","396","1","0","59"
"0","1220060","0.593","0","0","1","0","22","0","4","0","60"
"2.285","1220061","0","0","11","0","0","22","318","1","0","61"
"0","1220062","3.475","0","0","1","0","22","0","4","0","62"
"0","1220063","4","0","0","3","0","22","0","4","0","63"
"0","1220064","0","vo_nyx_0407","0","0","0","22","0","2","vo_nyx","64"
"2.326","1220065","0","0","12","0","0","22","258","1","0","65"
"0","1220066","2.872","0","0","1","0","22","0","4","0","66"
"1.488","1220067","0","0","12","0","258","22","395","1","0","67"
"0","1220068","1.488","0","0","1","0","22","0","4","0","68"
"1.728","1220069","0","0","13","0","0","22","220","1","0","69"
"0","1220070","2.711","0","0","1","0","22","0","4","0","70"
"0","1220071","0","vo_nyx_0408","0","0","0","22","0","2","vo_nyx","71"
"0.408","1220072","0","0","15","0","0","22","22","1","0","72"
"0","1220073","0.929","0","0","1","0","22","0","4","0","73"
"1.122","1220074","0","0","15","0","22","22","184","1","0","74"
"0","1220075","2.922","0","0","1","0","22","0","4","0","75"
"0","1230001","1","0","0","3","0","23","0","4","0","1"
"0","1230002","0","vo_nyx_0501","0","0","0","23","0","2","vo_nyx","2"
"3.048","1230003","0","0","1","0","0","23","390","1","0","3"
"0","1230004","3.048","0","0","1","0","23","0","4","0","4"
"0.731","1230005","0","0","2","0","0","23","67","1","0","5"
"0","1230006","1.507","0","0","1","0","23","0","4","0","6"
"0","1230007","0","vo_nyx_0502","0","0","0","23","0","2","vo_nyx","7"
"2.093","1230008","0","0","2","0","67","23","323","1","0","8"
"0","1230009","2.341","0","0","1","0","23","0","4","0","9"
"0.644","1230010","0","0","2","0","323","23","378","1","0","10"
"0","1230011","0.993","0","0","1","0","23","0","4","0","11"
"1.737","1230012","0","0","3","0","0","23","202","1","0","12"
"0","1230013","2.616","0","0","1","0","23","0","4","0","13"
"0","1230014","0","vo_nyx_0503","0","0","0","23","0","2","vo_nyx","14"
"1.866","1230015","0","0","3","0","202","23","395","1","0","15"
"0","1230016","1.866","0","0","1","0","23","0","4","0","16"
"1.039","1230017","0","0","4","0","0","23","135","1","0","17"
"0","1230018","1.496","0","0","1","0","23","0","4","0","18"
"1.355","1230019","0","0","4","0","135","23","305","1","0","19"
"0","1230020","2.334","0","0","1","0","23","0","4","0","20"
"0","1230021","0","vo_nyx_0504","0","0","0","23","0","2","vo_nyx","21"
"0.422","1230022","0","0","6","0","0","23","35","1","0","22"
"0","1230023","0.845","0","0","1","0","23","0","4","0","23"
"2.026","1230024","0","0","6","0","35","23","360","1","0","24"
"0","1230025","2.563","0","0","1","0","23","0","4","0","25"
"0","1230026","0","vo_nyx_0505","0","0","0","23","0","2","vo_nyx","26"
"0.865","1230027","0","0","8","0","0","23","68","1","0","27"
"0","1230028","1.207","0","0","1","0","23","0","4","0","28"
"1.873","1230029","0","0","8","0","68","23","360","1","0","29"
"0","1230030","2.166","0","0","1","0","23","0","4","0","30"
"2.558","1230031","0","0","9","0","0","23","360","1","0","31"
"0","1230032","2","0","0","3","0","23","0","4","0","32"
"0","1230033","3.202","0","0","1","0","23","0","4","0","33"
"2.381","1230034","0","0","10","0","0","23","221","1","0","34"
"0","1230035","2.938","0","0","1","0","23","0","4","0","35"
"0","1230036","0","vo_nyx_0506","0","0","0","23","0","2","vo_nyx","36"
"1.241","1230037","0","0","10","0","221","23","410","1","0","37"
"0","1230038","1.657","0","0","1","0","23","0","4","0","38"
"2.871","1230039","0","0","11","0","0","23","375","1","0","39"
"0","1230040","3","0","0","3","0","23","0","4","0","40"
"0","1230041","3.435","0","0","1","0","23","0","4","0","41"
"0","1230042","0","vo_nyx_0507","0","0","0","23","0","2","vo_nyx","42"
"0.717","1230043","0","0","12","0","0","23","103","1","0","43"
"0","1230044","1.026","0","0","1","0","23","0","4","0","44"
"2.843","1230045","0","0","12","0","103","23","395","1","0","45"
"0","1230046","3.603","0","0","1","0","23","0","4","0","46"
"0","1230047","0","vo_nyx_0508","0","0","0","23","0","2","vo_nyx","47"
"1.417","1230048","0","0","13","0","0","23","138","1","0","48"
"0","1230049","2.029","0","0","1","0","23","0","4","0","49"
"1.78","1230050","0","0","13","0","138","23","355","1","0","50"
"0","1230051","3.58","0","0","1","0","23","0","4","0","51"
"0","1240001","1","0","0","3","0","24","0","4","0","1"
"0","1240002","0","vo_nyx_0601","0","0","0","24","0","2","vo_nyx","2"
"0.945","1240003","0","0","1","0","0","24","92","1","0","3"
"0","1240004","1.808","0","0","1","0","24","0","4","0","4"
"0","1240005","0","vo_nyx_0602","0","0","0","24","0","2","vo_nyx","5"
"3.225","1240006","0","0","2","0","0","24","395","1","0","6"
"0","1240007","4.362","0","0","1","0","24","0","4","0","7"
"0","1240008","0","vo_nyx_0603","0","0","0","24","0","2","vo_nyx","8"
"2.828","1240009","0","0","3","0","0","24","392","1","0","9"
"0","1240010","4.36","0","0","1","0","24","0","4","0","10"
"0","1240011","0","vo_nyx_0604","0","0","0","24","0","2","vo_nyx","11"
"1.212","1240012","0","0","4","0","0","24","87","1","0","12"
"0","1240013","2.171","0","0","1","0","24","0","4","0","13"
"1.656","1240014","0","0","4","0","87","24","350","1","0","14"
"0","1240015","2.769","0","0","1","0","24","0","4","0","15"
"0","1240016","0","vo_nyx_0605","0","0","0","24","0","2","vo_nyx","16"
"0.168","1240017","0","0","5","0","0","24","24","1","0","17"
"0","1240018","1.256","0","0","1","0","24","0","4","0","18"
"0.478","1240019","0","0","5","0","24","24","98","1","0","19"
"0","1240020","0.535","0","0","1","0","24","0","4","0","20"
"0.735","1240021","0","0","5","0","98","24","150","1","0","21"
"0","1240022","2.444","0","0","1","0","24","0","4","0","22"
"0","1240023","0","vo_nyx_0606","0","0","0","24","0","2","vo_nyx","23"
"1.607","1240024","0","0","7","0","0","24","112","1","0","24"
"0","1240025","2.16","0","0","1","0","24","0","4","0","25"
"2.119","1240026","0","0","7","0","112","24","400","1","0","26"
"0","1240027","2.647","0","0","1","0","24","0","4","0","27"
"1.802","1240028","0","0","8","0","0","24","182","1","0","28"
"0","1240029","2","0","0","3","0","24","0","4","0","29"
"0","1240030","2.817","0","0","1","0","24","0","4","0","30"
"0","1240031","0","vo_nyx_0607","0","0","0","24","0","2","vo_nyx","31"
"1.981","1240032","0","0","8","0","182","24","395","1","0","32"
"0","1240033","2.842","0","0","1","0","24","0","4","0","33"
"1.894","1240034","0","0","9","0","0","24","172","1","0","34"
"0","1240035","3.737","0","0","1","0","24","0","4","0","35"
"0","1240036","0","vo_nyx_0608","0","0","0","24","0","2","vo_nyx","36"
"0.82","1240037","0","0","9","0","172","24","209","1","0","37"
"0","1240038","1.754","0","0","1","0","24","0","4","0","38"
"2.752","1240039","0","0","9","0","209","24","400","1","0","39"
"0","1240040","3.272","0","0","1","0","24","0","4","0","40"
"0","1240041","3","0","0","3","0","24","0","4","0","41"
"0","1240042","0","vo_nyx_0609","0","0","0","24","0","2","vo_nyx","42"
"1.283","1240043","0","0","11","0","0","24","100","1","0","43"
"0","1240044","2.322","0","0","1","0","24","0","4","0","44"
"0","1240045","4","0","0","3","0","24","0","4","0","45"
"0","1240046","0","vo_nyx_0610","0","0","0","24","0","2","vo_nyx","46"
"0.86","1240047","0","0","12","0","0","24","75","1","0","47"
"0","1240048","0.86","0","0","1","0","24","0","4","0","48"
"1.242","1240049","0","0","12","0","75","24","75","1","0","49"
"0","1240050","2.086","0","0","1","0","24","0","4","0","50"
"0","1240051","5","0","0","3","0","24","0","4","0","51"
"0","1240052","0","vo_nyx_0611","0","0","0","24","0","2","vo_nyx","52"
"0.735","1240053","0","0","12","0","75","24","242","1","0","53"
"0","1240054","1.789","0","0","1","0","24","0","4","0","54"
"0","1240055","0","vo_nyx_0612","0","0","0","24","0","2","vo_nyx","55"
"1","1240056","0","0","13","0","0","24","80","1","0","56"
"0","1240057","2.104","0","0","1","0","24","0","4","0","57"
"0","1240058","6","0","0","3","0","24","0","4","0","58"
"0","1240059","0","vo_nyx_0613","0","0","0","24","0","2","vo_nyx","59"
