7a2341af162b07b755f0e8c5dd0267c2c3d455d5bef7a6e72492f4c56c3dc121,1e70caef1dcd5bcf10d22e699d13fe429d862e1bf3bde85b8a612ddd60bbccb8,efc0229154b03aac32f988961b8ef311fa09ee427e5df9ebe3184fea41fda01b,8dac5b4003396bc2d79ab94554b17a3f382dd7e57c29d4df99472263fe16dec5,905916bb0210159e5863068caa974abefcf46dbd361a5bef599ede25f25e91f8,e75211ac30e3d0a6474986e6d50cc430b667e14051c85baccec930f31f2ef743
"0","91002","8","50","56011045","63"
"1001","10201046","15","1","56011046","64"
"1002","10201047","15","1","56011047","65"
"1003","10201048","15","1","56011048","66"
"0","91002","8","50","56011048","67"
"1001","10201049","15","1","56011049","68"
"1002","10201050","15","1","56011050","69"
"1003","10201051","15","1","56011051","70"
"0","91002","8","50","56011051","71"
"1001","10201052","15","1","56011052","72"
"1002","10201053","15","1","56011053","73"
"1003","10201054","15","1","56011054","74"
"0","91002","8","50","56011054","75"
"1001","10201055","15","1","56011055","76"
"1002","10201056","15","1","56011056","77"
"1003","10201057","15","1","56011057","78"
"0","91002","8","50","56011057","79"
"1001","10201058","15","1","56011058","80"
"1002","10201059","15","1","56011059","81"
"1003","10201060","15","1","56011060","82"
"0","91002","8","50","56011060","83"
"1001","10201061","15","1","56011061","84"
"1002","10201062","15","1","56011062","85"
"1003","10201063","15","1","56011063","86"
"0","91002","8","50","56011063","87"
"1001","10201064","15","1","56011064","88"
"1002","10201065","15","1","56011065","89"
"1003","10201066","15","1","56011066","90"
"0","91002","8","50","56011066","91"
"1001","10201067","15","1","56011067","92"
"1002","10201068","15","1","56011068","93"
"1003","10201069","15","1","56011069","94"
"0","91002","8","50","56011069","95"
"1001","10201070","15","1","56011070","96"
"1002","10201071","15","1","56011071","97"
"1003","10201072","15","1","56011072","98"
"0","91002","8","50","56011072","99"
"1001","10201073","15","1","56011073","100"
"1002","10201074","15","1","56011074","101"
"1003","10201075","15","1","56011075","102"
"0","91002","8","50","56011075","103"
"1001","10201076","15","1","56011076","104"
"1002","10201077","15","1","56011077","105"
"1003","10201078","15","1","56011078","106"
"0","91002","8","50","56011078","107"
"1001","10201079","15","1","56011079","108"
"1002","10201080","15","1","56011080","109"
"1003","10201081","15","1","56011081","110"
"0","91002","8","50","56011081","111"
"1001","10201082","15","1","56011082","112"
"1002","10201083","15","1","56011083","113"
"1003","10201084","15","1","56011084","114"
"0","91002","8","50","56011084","115"
"1001","10201085","15","1","56011085","116"
"1002","10201086","15","1","56011086","117"
"1003","10201087","15","1","56011087","118"
"0","91002","8","50","56011087","119"
"1001","10201088","15","1","56011088","120"
"1002","10201089","15","1","56011089","121"
"1003","10201090","15","1","56011090","122"
"0","91002","8","50","56011090","123"
"1001","10201091","15","1","56011091","124"
"1002","10201092","15","1","56011092","125"
"1003","10201093","15","1","56011093","126"
"0","91002","8","50","56011093","127"
"1001","10201094","15","1","56011094","128"
"1002","10201095","15","1","56011095","129"
"1003","10201096","15","1","56011096","130"
"0","91002","8","50","56011096","131"
"1001","10201097","15","1","56011097","132"
"1002","10201098","15","1","56011098","133"
"1003","10201099","15","1","56011099","134"
"0","91002","8","50","56011099","135"
"1001","10201100","15","1","56011100","136"
"1002","10201101","15","1","56011101","137"
"1003","10201102","15","1","56011102","138"
"0","91002","8","50","56011102","139"
"1001","10201103","15","1","56011103","140"
"1002","10201104","15","1","56011104","141"
"1003","10201105","15","1","56011105","142"
"0","91002","8","50","56011105","143"
"1001","10201106","15","1","56011106","144"
"1002","10201107","15","1","56011107","145"
"1003","10201108","15","1","56011108","146"
"0","91002","8","50","56011108","147"
"1001","10201109","15","1","56011109","148"
"1002","10201110","15","1","56011110","149"
"1003","10201111","15","1","56011111","150"
"0","91002","8","50","56011111","151"
"1001","10201112","15","1","56011112","152"
"1002","10201113","15","1","56011113","153"
"1003","10201114","15","1","56011114","154"
"0","91002","8","50","56011114","155"
"1001","10201115","15","1","56011115","156"
"1002","10201116","15","1","56011116","157"
"1003","10201117","15","1","56011117","158"
"0","91002","8","50","56011117","159"
"1001","10201118","15","1","56011118","160"
"1002","10201119","15","1","56011119","161"
"1003","10201120","15","1","56011120","162"
"0","91002","8","50","56011120","163"
"1001","10201121","15","1","56011121","164"
"1002","10201122","15","1","56011122","165"
"1003","10201123","15","1","56011123","166"
"0","91002","8","50","56011123","167"
"1001","10201124","15","1","56011124","168"
"1002","10201125","15","1","56011125","169"
"1003","10201126","15","1","56011126","170"
"0","91002","8","50","56011126","171"
"1001","10201127","15","1","56011127","172"
"1002","10201128","15","1","56011128","173"
"1003","10201129","15","1","56011129","174"
"0","91002","8","50","56011129","175"
"1001","10201130","15","1","56011130","176"
"1002","10201131","15","1","56011131","177"
"1003","10201132","15","1","56011132","178"
"0","91002","8","50","56011132","179"
"1001","10201133","15","1","56011133","180"
"1002","10201134","15","1","56011134","181"
"1003","10201135","15","1","56011135","182"
"0","91002","8","50","56011135","183"
"1001","10201136","15","1","56011136","184"
"1002","10201137","15","1","56011137","185"
"1003","10201138","15","1","56011138","186"
"0","91002","8","50","56011138","187"
"1001","10201139","15","1","56011139","188"
"1002","10201140","15","1","56011140","189"
"1003","10201141","15","1","56011141","190"
"0","91002","8","50","56011141","191"
"1001","10201142","15","1","56011142","192"
"1002","10201143","15","1","56011143","193"
"1003","10201144","15","1","56011144","194"
"0","91002","8","50","56011144","195"
"1001","10201145","15","1","56011145","196"
"1002","10201146","15","1","56011146","197"
"1003","10201147","15","1","56011147","198"
"0","91002","8","50","56011147","199"
"1001","10201148","15","1","56011148","200"
"1002","10201149","15","1","56011149","201"
"1003","10201150","15","1","56011150","202"
"0","91002","8","50","56011150","203"
"1001","10201151","15","1","56011151","204"
"1002","10201152","15","1","56011152","205"
"1003","10201153","15","1","56011153","206"
"0","91002","8","50","56011153","207"
"1001","10201154","15","1","56011154","208"
"1002","10201155","15","1","56011155","209"
"1003","10201156","15","1","56011156","210"
"0","91002","8","50","56011156","211"
"1001","10201157","15","1","56011157","212"
"1002","10201158","15","1","56011158","213"
"1003","10201159","15","1","56011159","214"
"0","91002","8","50","56011159","215"
"1001","10201160","15","1","56011160","216"
"1002","10201161","15","1","56011161","217"
"1003","10201162","15","1","56011162","218"
"0","91002","8","50","56011162","219"
"1001","10201163","15","1","56011163","220"
"1002","10201164","15","1","56011164","221"
"1003","10201165","15","1","56011165","222"
"0","91002","8","50","56011165","223"
"1001","10201166","15","1","56011166","224"
"1002","10201167","15","1","56011167","225"
"1003","10201168","15","1","56011168","226"
"0","91002","8","50","56011168","227"
"1001","10201169","15","1","56011169","228"
"1002","10201170","15","1","56011170","229"
"1003","10201171","15","1","56011171","230"
"0","91002","8","50","56011171","231"
"1001","10201172","15","1","56011172","232"
"1002","10201173","15","1","56011173","233"
"1003","10201174","15","1","56011174","234"
"0","91002","8","50","56011174","235"
"1001","10201175","15","1","56011175","236"
"1002","10201176","15","1","56011176","237"
"1003","10201177","15","1","56011177","238"
"0","91002","8","50","56011177","239"
"1001","10201178","15","1","56011178","240"
"1002","10201179","15","1","56011179","241"
"1003","10201180","15","1","56011180","242"
"0","91002","8","50","56011180","243"
"1001","10201181","15","1","56011181","244"
"1002","10201182","15","1","56011182","245"
"1003","10201183","15","1","56011183","246"
"0","91002","8","50","56011183","247"
"1001","10201184","15","1","56011184","248"
"1002","10201185","15","1","56011185","249"
"1003","10201186","15","1","56011186","250"
"0","91002","8","50","56011186","251"
"1001","10201187","15","1","56011187","252"
"1002","10201188","15","1","56011188","253"
"1003","10201189","15","1","56011189","254"
"0","91002","8","50","56011189","255"
"1001","10201190","15","1","56011190","256"
"1002","10201191","15","1","56011191","257"
"1003","10201192","15","1","56011192","258"
"0","91002","8","50","56011192","259"
"1001","10201193","15","1","56011193","260"
"1002","10201194","15","1","56011194","261"
"1003","10201195","15","1","56011195","262"
"0","91002","8","50","56011195","263"
"1001","10201196","15","1","56011196","264"
"1002","10201197","15","1","56011197","265"
"1003","10201198","15","1","56011198","266"
"0","91002","8","50","56011198","267"
"1001","10201199","15","1","56011199","268"
"1002","10201200","15","1","56011200","269"
"1003","10201201","15","1","56011201","270"
"0","91002","8","50","56011201","271"
"1001","10201202","15","1","56011202","272"
"1002","10201203","15","1","56011203","273"
"1003","10201204","15","1","56011204","274"
"0","91002","8","50","56011204","275"
"1001","10201205","15","1","56011205","276"
"1002","10201206","15","1","56011206","277"
"1003","10201207","15","1","56011207","278"
"0","91002","8","50","56011207","279"
"1001","10201208","15","1","56011208","280"
"1002","10201209","15","1","56011209","281"
"1003","10201210","15","1","56011210","282"
"0","91002","8","50","56011210","283"
"1001","10201211","15","1","56011211","284"
"1002","10201212","15","1","56011212","285"
"1003","10201213","15","1","56011213","286"
"0","91002","8","50","56011213","287"
"1001","10201214","15","1","56011214","288"
"1002","10201215","15","1","56011215","289"
"1003","10201216","15","1","56011216","290"
"0","91002","8","50","56011216","291"
"1001","10201217","15","1","56011217","292"
"1002","10201218","15","1","56011218","293"
"1003","10201219","15","1","56011219","294"
"0","91002","8","50","56011219","295"
"1001","10201220","15","1","56011220","296"
"1002","10201221","15","1","56011221","297"
"1003","10201222","15","1","56011222","298"
"0","91002","8","50","56011222","299"
"1001","10201223","15","1","56011223","300"
"1002","10201224","15","1","56011224","301"
"1003","10201225","15","1","56011225","302"
"0","91002","8","50","56011225","303"
"1001","10201226","15","1","56011226","304"
"1002","10201227","15","1","56011227","305"
"1003","10201228","15","1","56011228","306"
"0","91002","8","50","56011228","307"
"1001","10201229","15","1","56011229","308"
"1002","10201230","15","1","56011230","309"
"1003","10201231","15","1","56011231","310"
"0","91002","8","50","56011231","311"
"1001","10201232","15","1","56011232","312"
"1002","10201233","15","1","56011233","313"
"1003","10201234","15","1","56011234","314"
"0","91002","8","50","56011234","315"
"1003","10202001","15","1","56012001","316"
"1003","10202002","15","1","56012002","317"
"1003","10202003","15","1","56012003","318"
"1003","10202004","15","1","56012004","319"
"1003","10202005","15","1","56012005","320"
"1003","10202006","15","1","56012006","321"
"1003","10202007","15","1","56012007","322"
"1003","10202008","15","1","56012008","323"
"1003","10202009","15","1","56012009","324"
"1003","10202010","15","1","56012010","325"
"1003","10202011","15","1","56012011","326"
"1003","10202012","15","1","56012012","327"
"1003","10202013","15","1","56012013","328"
"1003","10202014","15","1","56012014","329"
"1003","10202015","15","1","56012015","330"
"1001","10501001","15","1","54002001","447"
"0","91002","8","50","54002001","448"
"1002","10501002","15","1","54002002","449"
"0","91002","8","50","54002002","450"
"1003","10501003","15","1","54002003","451"
"0","91002","8","50","54002003","452"
"1001","10502001","15","1","54004001","453"
"0","91002","8","50","54004001","454"
"1002","10502002","15","1","54004002","455"
"0","91002","8","50","54004002","456"
"1003","10502003","15","1","54004003","457"
"0","91002","8","50","54004003","458"
"1001","10601001","15","1","55006001","459"
"0","91002","8","10","55006001","460"
"1002","10601002","15","1","55006002","461"
"0","91002","8","30","55006002","462"
"1003","10601003","15","1","55006003","463"
"0","91002","8","50","55006003","464"
"1001","10201235","15","1","56011235","465"
"1002","10201236","15","1","56011236","466"
"1003","10201237","15","1","56011237","467"
"0","91002","8","50","56011237","468"
"1001","10201238","15","1","56011238","469"
"1002","10201239","15","1","56011239","470"
"1003","10201240","15","1","56011240","471"
"0","91002","8","50","56011240","472"
"1001","10201241","15","1","56011241","473"
"1002","10201242","15","1","56011242","474"
"1003","10201243","15","1","56011243","475"
"0","91002","8","50","56011243","476"
"1001","10201244","15","1","56011244","477"
"1002","10201245","15","1","56011245","478"
"1003","10201246","15","1","56011246","479"
"0","91002","8","50","56011246","480"
"1001","10201247","15","1","56011247","481"
"1002","10201248","15","1","56011248","482"
"1003","10201249","15","1","56011249","483"
"0","91002","8","50","56011249","484"
"1001","10201250","15","1","56011250","485"
"1002","10201251","15","1","56011251","486"
"1003","10201252","15","1","56011252","487"
"0","91002","8","50","56011252","488"
"1001","10201253","15","1","56011253","489"
"1002","10201254","15","1","56011254","490"
"1003","10201255","15","1","56011255","491"
"0","91002","8","50","56011255","492"
"1001","10201256","15","1","56011256","493"
"1002","10201257","15","1","56011257","494"
"1003","10201258","15","1","56011258","495"
"0","91002","8","50","56011258","496"
"1001","10201259","15","1","56011259","497"
"1002","10201260","15","1","56011260","498"
"1003","10201261","15","1","56011261","499"
"0","91002","8","50","56011261","500"
"1001","10201262","15","1","56011262","501"
"1002","10201263","15","1","56011263","502"
"1003","10201264","15","1","56011264","503"
"0","91002","8","50","56011264","504"
"1001","10201265","15","1","56011265","505"
"1002","10201266","15","1","56011266","506"
"1003","10201267","15","1","56011267","507"
"0","91002","8","50","56011267","508"
"1001","10201268","15","1","56011268","509"
"1002","10201269","15","1","56011269","510"
"1003","10201270","15","1","56011270","511"
"0","91002","8","50","56011270","512"
"1003","10201271","15","1","56011271","513"
"0","91002","8","100","56011271","514"
"1003","10201272","15","1","56011272","515"
"0","91002","8","100","56011272","516"
"1003","10201273","15","1","56011273","517"
"0","91002","8","100","56011273","518"
"1001","10201274","15","1","56011274","519"
"1002","10201275","15","1","56011275","520"
"1003","10201276","15","1","56011276","521"
"0","91002","8","50","56011276","522"
"1001","10201277","15","1","56011277","523"
"1002","10201278","15","1","56011278","524"
"1003","10201279","15","1","56011279","525"
"0","91002","8","50","56011279","526"
"1001","10201280","15","1","56011280","527"
"1002","10201281","15","1","56011281","528"
"1003","10201282","15","1","56011282","529"
"0","91002","8","50","56011282","530"
"1001","10201283","15","1","56011283","531"
"1002","10201284","15","1","56011284","532"
"1003","10201285","15","1","56011285","533"
"0","91002","8","50","56011285","534"
"1003","10201286","15","1","56011286","535"
"0","91002","8","100","56011286","536"
"1001","11101001","15","1","56014001","537"
"0","91002","8","10","56014001","538"
"1002","11101002","15","1","56014002","539"
"0","91002","8","20","56014002","540"
"1003","11101003","15","1","56014003","541"
"0","91002","8","50","56014003","542"
"1001","11201001","15","1","56015001","543"
"0","91002","8","50","56015001","544"
"1002","11201002","15","1","56015002","545"
"0","91002","8","50","56015002","546"
"1003","11201003","15","1","56015003","547"
"0","91002","8","50","56015003","548"
"1001","10201287","15","1","56011287","549"
"1002","10201288","15","1","56011288","550"
"1003","10201289","15","1","56011289","551"
"0","91002","8","50","56011289","552"
"1001","10201290","15","1","56011290","553"
"1002","10201291","15","1","56011291","554"
"1003","10201292","15","1","56011292","555"
"0","91002","8","50","56011292","556"
"1003","10201293","15","1","56011293","557"
"0","91002","8","100","56011293","558"
"1001","10201294","15","1","56011294","559"
"1002","10201295","15","1","56011295","560"
"1003","10201296","15","1","56011296","561"
"0","91002","8","50","56011296","562"
"1001","10201297","15","1","56011297","563"
"1002","10201298","15","1","56011298","564"
"1003","10201299","15","1","56011299","565"
"0","91002","8","50","56011299","566"
"1001","10201300","15","1","56011300","567"
"1002","10201301","15","1","56011301","568"
"1003","10201302","15","1","56011302","569"
"0","91002","8","50","56011302","570"
"1003","10201303","15","1","56011303","571"
"0","91002","8","100","56011303","572"
"1001","10201304","15","1","56011304","573"
"1002","10201305","15","1","56011305","574"
"1003","10201306","15","1","56011306","575"
"0","91002","8","50","56011306","576"
"1003","10301015","15","1","58008015","577"
"0","91002","8","50","58008015","578"
"1001","10201307","15","1","56011307","579"
"1002","10201308","15","1","56011308","580"
"1003","10201309","15","1","56011309","581"
"0","91002","8","50","56011309","582"
"1001","10201310","15","1","56011310","583"
"1002","10201311","15","1","56011311","584"
"1003","10201312","15","1","56011312","585"
"0","91002","8","50","56011312","586"
"1003","10201313","15","1","56011313","587"
"0","91002","8","100","56011313","588"
"1001","10201314","15","1","56011314","589"
"1002","10201315","15","1","56011315","590"
"1003","10201316","15","1","56011316","591"
"0","91002","8","50","56011316","592"
"1001","10201317","15","1","56011317","593"
"1002","10201318","15","1","56011318","594"
"1003","10201319","15","1","56011319","595"
"0","91002","8","50","56011319","596"
"1001","10201320","15","1","56011320","597"
"1002","10201321","15","1","56011321","598"
"1003","10201322","15","1","56011322","599"
"0","91002","8","50","56011322","600"
"1003","10201323","15","1","56011323","601"
"0","91002","8","100","56011323","602"
"1001","10201324","15","1","56011324","603"
"1002","10201325","15","1","56011325","604"
"1003","10201326","15","1","56011326","605"
"0","91002","8","50","56011326","606"
"1001","10201327","15","1","56011327","607"
"1002","10201328","15","1","56011328","608"
"1003","10201329","15","1","56011329","609"
"0","91002","8","50","56011329","610"
"1001","10201330","15","1","56011330","611"
"1002","10201331","15","1","56011331","612"
"1003","10201332","15","1","56011332","613"
"0","91002","8","50","56011332","614"
"1003","10201333","15","1","56011333","615"
"0","91002","8","100","56011333","616"
"1003","10201334","15","1","56011334","617"
"0","91002","8","100","56011334","618"
"1003","10201335","15","1","56011335","619"
"0","91002","8","100","56011335","620"
"1003","10202100","15","1","56012100","621"
"1001","10201336","15","1","56011336","622"
"1002","10201337","15","1","56011337","623"
"1003","10201338","15","1","56011338","624"
"0","91002","8","50","56011338","625"
"1001","10201339","15","1","56011339","626"
"1002","10201340","15","1","56011340","627"
"1003","10201341","15","1","56011341","628"
"0","91002","8","50","56011341","629"
"1003","10202016","15","1","56012016","630"
"1003","10201342","15","1","56011342","631"
"0","91002","8","100","56011342","632"
"1001","10201343","15","1","56011343","633"
"1002","10201344","15","1","56011344","634"
"1003","10201345","15","1","56011345","635"
"0","91002","8","50","56011345","636"
"1001","10201346","15","1","56011346","637"
"1002","10201347","15","1","56011347","638"
"1003","10201348","15","1","56011348","639"
"0","91002","8","50","56011348","640"
"1003","10201349","15","1","56011349","641"
"0","91002","8","100","56011349","642"
"1001","10603001","15","1","55008001","643"
"0","91002","8","50","55008001","644"
"1001","10603002","15","1","55008002","645"
"0","91002","8","50","55008002","646"
"1002","10603003","15","1","55008003","647"
"0","91002","8","50","55008003","648"
"1002","10603004","15","1","55008004","649"
"0","91002","8","50","55008004","650"
"1003","10603005","15","1","55008005","651"
"0","91002","8","50","55008005","652"
"1003","10603006","15","1","55008006","653"
"0","91002","8","50","55008006","654"
"1001","10201350","15","1","56011350","655"
"1002","10201351","15","1","56011351","656"
"1003","10201352","15","1","56011352","657"
"0","91002","8","50","56011352","658"
"1001","10201353","15","1","56011353","659"
"1002","10201354","15","1","56011354","660"
"1003","10201355","15","1","56011355","661"
"0","91002","8","50","56011355","662"
"1001","10201356","15","1","56011356","663"
"1002","10201357","15","1","56011357","664"
"1003","10201358","15","1","56011358","665"
"0","91002","8","50","56011358","666"
"1003","10201359","15","1","56011359","667"
"0","91002","8","100","56011359","668"
"1001","10201360","15","1","56011360","669"
"1002","10201361","15","1","56011361","670"
"1003","10201362","15","1","56011362","671"
"0","91002","8","50","56011362","672"
"1001","10201363","15","1","56011363","673"
"1002","10201364","15","1","56011364","674"
"1003","10201365","15","1","56011365","675"
"0","91002","8","50","56011365","676"
"1003","10202017","15","1","56012017","677"
"1001","10201366","15","1","56011366","678"
"1002","10201367","15","1","56011367","679"
"1003","10201368","15","1","56011368","680"
"0","91002","8","50","56011368","681"
"1001","10201369","15","1","56011369","682"
"1002","10201370","15","1","56011370","683"
"1003","10201371","15","1","56011371","684"
"0","91002","8","50","56011371","685"
"1003","10201372","15","1","56011372","686"
"0","91002","8","100","56011372","687"
"1001","10201373","15","1","56011373","688"
"1002","10201374","15","1","56011374","689"
"1003","10201375","15","1","56011375","690"
"0","91002","8","50","56011375","691"
"1001","10201376","15","1","56011376","692"
"1002","10201377","15","1","56011377","693"
"1003","10201378","15","1","56011378","694"
"0","91002","8","50","56011378","695"
"1001","10201379","15","1","56011379","696"
"1002","10201380","15","1","56011380","697"
"1003","10201381","15","1","56011381","698"
"0","91002","8","50","56011381","699"
"1001","10201382","15","1","56011382","700"
"1002","10201383","15","1","56011383","701"
"1003","10201384","15","1","56011384","702"
"0","91002","8","50","56011384","703"
"1003","10201385","15","1","56011385","704"
"0","91002","8","100","56011385","705"
"1001","10201386","15","1","56011386","706"
"1002","10201387","15","1","56011387","707"
"1003","10201388","15","1","56011388","708"
"0","91002","8","50","56011388","709"
"1001","10201389","15","1","56011389","710"
"1002","10201390","15","1","56011390","711"
"1003","10201391","15","1","56011391","712"
"0","91002","8","50","56011391","713"
"1001","10201392","15","1","56011392","714"
"1002","10201393","15","1","56011393","715"
"1003","10201394","15","1","56011394","716"
"0","91002","8","50","56011394","717"
"1003","10201395","15","1","56011395","718"
"0","91002","8","100","56011395","719"
"1003","10201396","15","1","56011396","720"
"0","91002","8","100","56011396","721"
"1001","10201397","15","1","56011397","722"
"1002","10201398","15","1","56011398","723"
"1003","10201399","15","1","56011399","724"
"0","91002","8","50","56011399","725"
"1001","10201400","15","1","56011400","726"
"1002","10201401","15","1","56011401","727"
"1003","10201402","15","1","56011402","728"
"0","91002","8","50","56011402","729"
"1001","10201403","15","1","56011403","730"
"1002","10201404","15","1","56011404","731"
"1003","10201405","15","1","56011405","732"
"0","91002","8","50","56011405","733"
"1003","10201406","15","1","56011406","734"
"0","91002","8","100","56011406","735"
"1001","10201407","15","1","56011407","736"
"1002","10201408","15","1","56011408","737"
"1003","10201409","15","1","56011409","738"
"0","91002","8","50","56011409","739"
"1001","10201410","15","1","56011410","740"
"1002","10201411","15","1","56011411","741"
"1003","10201412","15","1","56011412","742"
"0","91002","8","50","56011412","743"
"1003","10201413","15","1","56011413","744"
"0","91002","8","100","56011413","745"
"1001","10201414","15","1","56011414","746"
"1002","10201415","15","1","56011415","747"
"1003","10201416","15","1","56011416","748"
"0","91002","8","50","56011416","749"
"1001","10201417","15","1","56011417","750"
"1002","10201418","15","1","56011418","751"
"1003","10201419","15","1","56011419","752"
"0","91002","8","50","56011419","753"
"1001","10201420","15","1","56011420","754"
"1002","10201421","15","1","56011421","755"
"1003","10201422","15","1","56011422","756"
"0","91002","8","50","56011422","757"
"1003","10201423","15","1","56011423","758"
"0","91002","8","100","56011423","759"
"1001","10201424","15","1","56011424","760"
"1002","10201425","15","1","56011425","761"
"1003","10201426","15","1","56011426","762"
"0","91002","8","50","56011426","763"
"1001","10201427","15","1","56011427","764"
"1002","10201428","15","1","56011428","765"
"1003","10201429","15","1","56011429","766"
"0","91002","8","50","56011429","767"
"1001","10201430","15","1","56011430","768"
"1002","10201431","15","1","56011431","769"
"1003","10201432","15","1","56011432","770"
"0","91002","8","50","56011432","771"
"1001","10201433","15","1","56011433","772"
"1002","10201434","15","1","56011434","773"
"1003","10201435","15","1","56011435","774"
"0","91002","8","50","56011435","775"
"1003","10201436","15","1","56011436","776"
"0","91002","8","100","56011436","777"
"1001","10201437","15","1","56011437","778"
"1002","10201438","15","1","56011438","779"
"1003","10201439","15","1","56011439","780"
"0","91002","8","50","56011439","781"
"1001","10201440","15","1","56011440","782"
"1002","10201441","15","1","56011441","783"
"1003","10201442","15","1","56011442","784"
"0","91002","8","50","56011442","785"
"1001","10201443","15","1","56011443","786"
"1002","10201444","15","1","56011444","787"
"1003","10201445","15","1","56011445","788"
"0","91002","8","50","56011445","789"
"1003","10201446","15","1","56011446","790"
"0","91002","8","100","56011446","791"
"1001","10201447","15","1","56011447","792"
"1002","10201448","15","1","56011448","793"
"1003","10201449","15","1","56011449","794"
"0","91002","8","50","56011449","795"
"1001","10201450","15","1","56011450","796"
"1002","10201451","15","1","56011451","797"
"1003","10201452","15","1","56011452","798"
"0","91002","8","50","56011452","799"
"1001","10201453","15","1","56011453","800"
"1002","10201454","15","1","56011454","801"
"1003","10201455","15","1","56011455","802"
"0","91002","8","50","56011455","803"
"1001","10201456","15","1","56011456","804"
"1002","10201457","15","1","56011457","805"
"1003","10201458","15","1","56011458","806"
"0","91002","8","50","56011458","807"
"1001","10201459","15","1","56011459","808"
"1002","10201460","15","1","56011460","809"
"1003","10201461","15","1","56011461","810"
"0","91002","8","50","56011461","811"
"1003","10201462","15","1","56011462","812"
"0","91002","8","100","56011462","813"
"1003","10201463","15","1","56011463","814"
"0","91002","8","100","56011463","815"
"1003","10201464","15","1","56011464","816"
"0","91002","8","100","56011464","817"
"1001","10201465","15","1","56011465","818"
"1002","10201466","15","1","56011466","819"
"1003","10201467","15","1","56011467","820"
"0","91002","8","50","56011467","821"
"1001","10201468","15","1","56011468","822"
"1002","10201469","15","1","56011469","823"
"1003","10201470","15","1","56011470","824"
"0","91002","8","50","56011470","825"
"1003","10201471","15","1","56011471","826"
"0","91002","8","100","56011471","827"
"1001","10201472","15","1","56011472","828"
"1002","10201473","15","1","56011473","829"
"1003","10201474","15","1","56011474","830"
"0","91002","8","50","56011474","831"
"1001","10201475","15","1","56011475","832"
"1002","10201476","15","1","56011476","833"
"1003","10201477","15","1","56011477","834"
"0","91002","8","50","56011477","835"
"1003","10201484","15","1","56011484","836"
"0","91002","8","100","56011484","837"
"1001","10201485","15","1","56011485","838"
"1002","10201486","15","1","56011486","839"
"1003","10201487","15","1","56011487","840"
"0","91002","8","50","56011487","841"
"1001","10201488","15","1","56011488","842"
"1002","10201489","15","1","56011489","843"
"1003","10201490","15","1","56011490","844"
"0","91002","8","50","56011490","845"
"1001","10201491","15","1","56011491","846"
"1002","10201492","15","1","56011492","847"
