f8219dc4b0d6d840b93debf8248a9d57911e03d46c3ca12a234e06af89672332,4242eece80b9a01dd5b406abeffd5747c74b31402d1c2ae9ce28b98f37d01351,6e3209ea16e61931268b356ed69d8a78303ea332b891db0ba3daea13311c3dc2,54bb13fc8e59a3d1e08765c7b976a4214359d58d955afabf154d725e8a753387,2e7c78d2801a3086bc0a3cf8f0a417c3f4f5460631659dd8e1a337a227ae14b3,c3b02fe28647d8ae8012cc929d14405c87a34c74a4e6fa647aeaca0e291442c1,093a4a56ced65152e3f37fbc38cf14e679a0238504202224090f926953e463f2,b2a0ed147348953a280842c4a401870223324ff0dde569553e26c5f96800c69e,dfe28f5038e872538c84ee5415015cc183f6eaa12fb77aedff2578dab43b40d0,44a829262f8fd8d559ba325d9dc0a12769cf5196c43f230d2af80f0b87afa319,5f5ef7d416b897a096722fb9b1025ba38b5b2d6c2fc678b42110c5409ec18e48,f8adc4e66350a625e8dae9dbec7063b4e11831255309d9d799060a661cb934d0,e599b4aabd4e7ccee58c7279f4d4e605ec091ea1ec5032e9275c97a51a2ca536
"1064","10","1063","1","1","2","bgm_M104","1","2023/10/27 05:00:00","2023/11/26 04:59:59","2023/10/20 12:00:00","2023/10/25 11:59:00","2023/10/24 11:59:00"
"1065","11","1064","1","1","2","bgm_M115","2","2023/11/26 05:00:00","2023/12/26 04:59:59","2023/11/19 12:00:00","2023/11/24 11:59:00","2023/11/23 11:59:00"
"1066","12","1065","1","1","2","bgm_M119","1","2023/12/26 05:00:00","2024/01/27 04:59:59","2023/12/19 12:00:00","2023/12/24 11:59:00","2023/12/23 11:59:00"
"1067","1","1066","1","1","2","bgm_M132","2","2024/01/27 05:00:00","2024/02/25 04:59:59","2024/01/20 12:00:00","2024/01/25 11:59:00","2024/01/24 11:59:00"
"1068","2","1067","1","1","2","bgm_M139","1","2024/02/25 05:00:00","2024/03/27 04:59:59","2024/02/18 12:00:00","2024/02/23 11:59:00","2024/02/22 11:59:00"
"1069","3","1068","1","1","2","bgm_M166","2","2024/03/27 05:00:00","2024/04/26 04:59:59","2024/03/20 12:00:00","2024/03/25 11:59:00","2024/03/24 11:59:00"
"1070","4","1069","1","1","2","bgm_M175","1","2024/04/26 05:00:00","2024/05/27 04:59:59","2024/04/19 12:00:00","2024/04/24 11:59:00","2024/04/23 11:59:00"
"1071","5","1070","1","1","2","bgm_M181","2","2024/05/27 05:00:00","2024/06/26 04:59:59","2024/05/20 12:00:00","2024/05/25 11:59:00","2024/05/24 11:59:00"
"1072","6","1071","1","1","2","bgm_M186","1","2024/06/26 05:00:00","2024/07/27 04:59:59","2024/06/19 12:00:00","2024/06/24 11:59:00","2024/06/23 11:59:00"
"1073","7","1072","1","1","2","bgm_M205","2","2024/07/27 05:00:00","2024/08/27 04:59:59","2024/07/14 12:00:00","2024/07/19 11:59:59","2024/07/18 11:59:59"
"1074","8","1073","1","1","2","bgm_M90","1","2024/08/27 05:00:00","2024/09/26 04:59:59","2024/08/20 12:00:00","2024/08/25 11:59:59","2024/08/24 11:59:59"
"1075","9","1074","1","1","2","bgm_M97","2","2024/09/26 05:00:00","2024/10/27 04:59:59","2024/09/19 12:00:00","2024/09/24 11:59:59","2024/09/23 11:59:59"
"1076","10","1075","1","1","2","bgm_M104","1","2024/10/27 05:00:00","2024/11/26 04:59:59","2024/10/20 12:00:00","2024/10/25 11:59:59","2024/10/24 11:59:59"
