6b429ebfea1efce986350149532e6984992133500ddaf9c6d48abcd1fabda500,bb7a566a532ca44019aff045bdace18ecd484b97f95917217793c16849110a7d,f590547cda25204daf74f1ae80bca50de0aee8acac332f449e991d99fd897f65,f974ef88b396794c6182f93f77183c5217c8c7f8f336b219482df70ab86c10fd,3ecfb1da11754eee7e048f085ab5077c28554bc01ac4a132ceb3b9bc1ce992fb,059ddb9da03762e0b4bcd92125f8b6c0d6f7ed1145841ede0217a449530216c7
"203","1","300529","114","803100266","2146079"
"104","0","300530","100","803100266","2146080"
"203","1","300601","114","803100268","2146091"
"202","1","300602","113","803100268","2146092"
"105","0","300603","102","803100268","2146093"
"203","1","300604","114","803100268","2146094"
"106","0","300605","103","803100268","2146095"
"203","1","300606","114","803100268","2146096"
"204","1","300607","111","803100268","2146097"
"203","1","300608","114","803100268","2146098"
"202","1","300609","113","803100268","2146099"
"105","0","300610","102","803100268","2146100"
"203","1","300611","114","803100269","2147011"
"106","0","300612","103","803100269","2147012"
"203","1","300613","114","803100269","2147013"
"204","1","300614","111","803100269","2147014"
"212","1","300615","110","803100269","2147015"
"203","1","300616","114","803100269","2147016"
"105","0","300617","102","803100269","2147017"
"106","0","300618","103","803100269","2147018"
"204","1","300701","111","803100270","2147021"
"104","0","300702","100","803100270","2147022"
"107","0","300703","101","803100270","2147023"
"202","1","300704","113","803100270","2147024"
"203","1","300705","114","803100270","2147025"
"105","0","300706","102","803100270","2147026"
"205","1","300707","112","803100270","2147027"
"204","1","300708","111","803100270","2147028"
"104","0","300709","100","803100270","2147029"
"107","0","300710","101","803100270","2147030"
"202","1","300711","113","803100271","2147031"
"203","1","300712","114","803100271","2147032"
"105","0","300713","102","803100271","2147033"
"205","1","300714","112","803100271","2147034"
"110","0","300715","107","803100271","2147035"
"204","1","300716","111","803100271","2147036"
"104","0","300717","100","803100271","2147037"
"107","0","300718","101","803100271","2147038"
