a1de9df93f93e5b9c466b5d48e6e6b2135f388c2b62d417f65a9a0d7beeada4f,f4778d672af375b01c492eedc4bcb93bae0ea2645bc8318113cf6b2c879c3b2f,0781bbbec11790d40e0146732ec34223f0d9d80fa05d50863bdcb6733510ed04,ed4a45ab3d205006a6300eb9e57ecb9c23d364841ac57e72f4223f5bd81e2d7c,afced2632158c2fcbedc1c2d5497a9198da04f4c77f4d7e4390b1b6bbc25f07c,35131e55d0d70da4f403a87db5cfcb27bfecd44df1c9ad67146a24b5cb101644,42228f0ca1417b8f2c7650ae0bc6bdb1da6fdd504feea832501f06dc164a122d,679c061f94092d680aab3f13bd833ad2fe0ced6bba603c77470e3a0d9d9e1ed5,338a2250c6eaaa56f5f0217df8a6d14be32664b9cc4b674385b238eb71fbeb0b,d5291af6876de614e0637c302900d19eac921ab543470d30eedd5be7c5b98222,74c30114cc38a3ea440b09eff5c7177b1150856ce5e5ce6549ced9867029878c
"0.5","212009","嘿嘿～♪畫畫，畫畫～！\n這搞不好是我有生以來\n第一次畫這麼大一幅畫！","1","212","0","10","1","0","11","105811"
"","212010","","","212","","","","","91","0"
"","212011","vo_wac_220216_001","0","212","","0","","","21","vo_wac_220216"
"0.5","212012","大家一起圍繞在餐桌邊\n當然是很幸福，\n但跟大家一起打造出一件東西……\n也太讚了吧☆","1","212","0","10","1","0","11","105811"
"","212013","","","212","","","","","91","0"
"","212014","0","","212","","","","","22","0"
"","213001","wac_idle_kyapi","","213","","1","","0.2","3","105811"
"","213002","wac_no_items","","213","","1","","0.2","3","111"
"","213003","200","0","213","","-340","","","2","105811"
"","213004","200","0","213","","-340","","","2","111"
"","213005","0","","213","","","","","32","1"
"","213006","1","","213","","","","","32","2"
"","213007","0","","213","","","","","32","11"
"","213008","","","213","","","","","91","0"
"wac_default_01","311001","105911","-108","311","0","202","-212.75","2","1","1"
"wac_default_03","311002","111","-108","311","0","201","-212.75","2","5","1"
"","311003","1","0","311","","0","1","1","31","1"
"","311004","2","0","311","","0","1","0","31","2"
"","311005","11","0","311","","0","1","0","31","11"
"","311006","wac_paint_01","","311","","0","","0.2","3","105911"
"","311007","wac_paint_03","","311","","0","","0.2","3","111"
"wac_default_11","311008","1","","311","","","","","32","11"
"","311009","se_10035700_brush","","311","","0","","","23","se_10035700"
"","311010","","","311","","","","","131","1"
"","312001","wac_talk_wish_in","wac_talk_wish_loop","312","","0","1","0.2","3","105911"
"","312002","wac_no_items","","312","","1","","0.2","3","111"
"","312003","200","0","312","","-340","","","2","105911"
"","312004","200","0","312","","-340","","","2","111"
"","312005","0","","312","","","","","32","1"
"","312006","1","","312","","","","","32","2"
"","312007","0","","312","","","","","32","11"
"","312008","vo_wac_220217_000","0","312","","0","","","21","vo_wac_220217"
"0.5","312009","呼……\n在下認為自己很擅長照顧人，\n卻對畫技沒什麼自信。\n但是──","1","312","0","10","1","0","11","105911"
"","312010","","","312","","","","","91","0"
"","312011","vo_wac_220217_001","0","312","","0","","","21","vo_wac_220217"
"0.5","312012","在下希望有朝一日，能在蘭德索爾的\n這面牆畫上主人威風凜凜的模樣……\n在下會努力的。\n請你看著在下吧，主人……♪","1","312","0","10","1","0","11","105911"
"","312013","","","312","","","","","91","0"
"","312014","0","","312","","","","","22","0"
"","313001","wac_idle_wish","","313","","1","","0.2","3","105911"
"","313002","wac_no_items","","313","","1","","0.2","3","111"
"","313003","200","0","313","","-340","","","2","105911"
"","313004","200","0","313","","-340","","","2","111"
"","313005","0","","313","","","","","32","1"
"","313006","1","","313","","","","","32","2"
"","313007","0","","313","","","","","32","11"
"","313008","","","313","","","","","91","0"
"wac_default_01","411001","106011","-108","411","0","202","-212.75","2","1","1"
"wac_default_02","411002","111","-108","411","0","201","-212.75","2","5","1"
"","411003","1","0","411","","0","1","1","31","1"
"","411004","2","0","411","","0","1","0","31","2"
"","411005","11","0","411","","0","1","0","31","11"
"","411006","wac_paint_01","","411","","0","","0.2","3","106011"
"","411007","wac_paint_02","","411","","0","","0.2","3","111"
"wac_default_11","411008","1","","411","","","","","32","11"
"","411009","se_10035700_brush","","411","","0","0","0.2","23","se_10035700"
"","411010","","","411","","","","","131","1"
"","412001","wac_talk_doya_in","wac_talk_doya_loop","412","","0","1","0.2","3","106011"
"","412002","wac_no_items","","412","","1","","0.2","3","111"
"","412003","200","0","412","","-340","","","2","106011"
"","412004","200","0","412","","-340","","","2","111"
"","412005","0","","412","","","","","32","1"
"","412006","1","","412","","","","","32","2"
"","412007","0","","412","","","","","32","11"
"","412008","vo_wac_220218_000","0","412","","0","","","21","vo_wac_220218"
"0.5","412009","哼哼哼～♪\n好，感覺很不錯呢！\n今天的部分完成了！","1","412","0","10","1","0","11","106011"
"","412010","","","412","","","","","91","0"
"","412011","vo_wac_220218_001","0","412","","0","","","21","vo_wac_220218"
"0.5","412012","總覺得開始好玩起來了。\n……我啊，該不會是有\n繪畫的才能吧♪\n好～要來盡情地畫囉！","1","412","0","10","1","0","11","106011"
"","412013","","","412","","","","","91","0"
"","412014","0","","412","","","","","22","0"
"","413001","wac_idle_doya","","413","","1","","0.2","3","106011"
"","413002","wac_no_items","","413","","1","","0.2","3","111"
"","413003","200","0","413","","-340","","","2","106011"
"","413004","200","0","413","","-340","","","2","111"
"","413005","0","","413","","","","","32","1"
"","413006","1","","413","","","","","32","2"
"","413007","0","","413","","","","","32","11"
"","413008","","","413","","","","","91","0"
"wac_default_11","511001","106431","-108","511","0","202","-212.75","2","1","1"
"wac_default_12","511002","111","-108","511","0","201","-212.75","2","5","1"
"","511003","1","0","511","","0","1","1","31","1"
"","511004","2","0","511","","0","1","0","31","2"
"","511005","11","0","511","","0","1","0","31","11"
"","511006","wac_paint_11","","511","","0","","0.2","3","106431"
"","511007","wac_paint_12","","511","","0","","0.2","3","111"
"","511008","0","","511","","","","","93","0.3"
"wac_default_11","511009","1","","511","","","","","32","11"
"","511010","se_10035700_roller","","511","","0","0","0.2","23","se_10035700"
"","511011","","","511","","","","","131","1"
"","512001","wac_talk_smile_in","wac_talk_smile_loop","512","","0","1","0.2","3","106431"
"","512002","wac_no_items","","512","","1","","0.2","3","111"
"","512003","200","0","512","","-340","","","2","106431"
"","512004","200","0","512","","-340","","","2","111"
"","512005","0","","512","","","","","32","1"
"","512006","1","","512","","","","","32","2"
"","512007","0","","512","","","","","32","11"
"","512008","vo_wac_220219_000","0","512","","0","","","21","vo_wac_220219"
"0.5","512009","雖然我沒有學過畫畫……\n但盡情地動手畫畫非常新鮮，\n很有趣呢。","1","512","0","10","1","0","11","106431"
"","512010","","","512","","","","","91","0"
"","512011","vo_wac_220219_001","0","512","","0","","","21","vo_wac_220219"
"0.5","512012","我們畫的畫居然會變成\n蘭德索爾的一部分風景，\n總覺得這就像是在作夢……！","1","512","0","10","1","0","11","106431"
"","512013","","","512","","","","","91","0"
"","512014","0","","512","","","","","22","0"
"","513001","wac_idle_smile","","513","","1","","0.2","3","106431"
"","513002","wac_no_items","","513","","1","","0.2","3","111"
"","513003","200","0","513","","-340","","","2","106431"
"","513004","200","0","513","","-340","","","2","111"
"","513005","0","","513","","","","","32","1"
"","513006","1","","513","","","","","32","2"
"","513007","0","","513","","","","","32","11"
"","513008","","","513","","","","","91","0"
"wac_default_01","611001","104411","-108","611","0","202","-212.75","2","1","1"
"wac_default_01","611002","111","-108","611","0","201","-212.75","2","5","1"
"","611003","1","0","611","","0","1","1","31","1"
"","611004","2","0","611","","0","1","0","31","2"
"","611005","11","0","611","","0","1","0","31","11"
"","611006","wac_paint_01","","611","","0","","0.2","3","104411"
"","611007","wac_paint_01","","611","","0","","0.2","3","111"
"wac_default_11","611008","1","","611","","","","","32","11"
"","611009","se_10035700_brush","","611","","0","0","0.2","23","se_10035700"
"","611010","","","611","","","","","131","1"
"","612001","wac_talk_doya_in","wac_talk_doya_loop","612","","0","1","0.2","3","104411"
"","612002","wac_no_items","","612","","1","","0.2","3","111"
"","612003","200","0","612","","-340","","","2","104411"
"","612004","200","0","612","","-340","","","2","111"
"","612005","0","","612","","","","","32","1"
"","612006","1","","612","","","","","32","2"
"","612007","0","","612","","","","","32","11"
"","612008","vo_wac_220220_000","0","612","","0","","","21","vo_wac_220220"
"0.5","612009","將妾身的威嚴淋漓盡致地\n畫在蘭德索爾……\n這不是別有一番雅興嗎！","1","612","0","10","1","0","11","104411"
"","612010","","","612","","","","","91","0"
"","612011","vo_wac_220220_001","0","612","","0","","","21","vo_wac_220220"
"0.5","612012","嗯，話又說回來，真不愧是妾身。\n這美妙的筆觸無人能及。如此一來，\n征服世界的那天也不遠了！\n哼……哼哈哈哈哈，哈～哈哈哈！","1","612","0","10","1","0","11","104411"
"","612013","","","612","","","","","91","0"
"","612014","0","","612","","","","","22","0"
"","613001","wac_idle_doya","","613","","1","","0.2","3","104411"
"","613002","wac_no_items","","613","","1","","0.2","3","111"
"","613003","200","0","613","","-340","","","2","104411"
"","613004","200","0","613","","-340","","","2","111"
"","613005","0","","613","","","","","32","1"
"","613006","1","","613","","","","","32","2"
"","613007","0","","613","","","","","32","11"
"","613008","","","613","","","","","91","0"
"wac_default_bot_01","711001","102211","-108","711","0","202","-325","2","1","1"
"wac_default_02","711002","111","-108","711","0","201","-325","2","5","1"
"","711003","3","0","711","","0","1","1","31","3"
"","711004","2","0","711","","0","1","0","31","2"
"","711005","13","0","711","","0","1","0","31","13"
"","711006","wac_paint_bot_01","","711","","0","","0.2","3","102211"
"","711007","wac_paint_02","","711","","0","","0.2","3","111"
"wac_default_11","711008","1","","711","","","","","32","13"
"","711009","se_10035700_brush","","711","","0","0","0.2","23","se_10035700"
"","711010","","","711","","","","","131","1"
"","712001","wac_talk_sad_in","wac_talk_sad_loop","712","","0","1","0.2","3","102211"
"","712002","wac_no_items","","712","","1","","0.2","3","111"
"","712003","200","0","712","","-340","","","2","102211"
"","712004","200","0","712","","-340","","","2","111"
"","712005","0","","712","","","","","32","3"
"","712006","1","","712","","","","","32","2"
"","712007","0","","712","","","","","32","13"
"","712008","vo_wac_220221_000","0","712","","0","","","21","vo_wac_220221"
"0.5","712009","這、這種感覺可以嗎……？\n居然突然要人畫圖，\n還真是強人所難。","1","712","0","10","1","0","11","102211"
"","712010","","","712","","","","","91","0"
"","712011","vo_wac_220221_001","0","712","","0","","","21","vo_wac_220221"
"0.5","712012","雖然手因為緊張而抖了起來……\n連我都覺得畫得很不錯。\n不知道茜里畫了什麼樣的圖？\n就去看看吧。","1","712","0","10","1","0","11","102211"
"","712013","","","712","","","","","91","0"
"","712014","0","","712","","","","","22","0"
"","713001","wac_idle_sad","","713","","1","","0.2","3","102211"
"","713002","wac_no_items","","713","","1","","0.2","3","111"
"","713003","200","0","713","","-340","","","2","102211"
"","713004","200","0","713","","-340","","","2","111"
"","713005","0","","713","","","","","32","3"
"","713006","1","","713","","","","","32","2"
"","713007","0","","713","","","","","32","13"
"","713008","","","713","","","","","91","0"
"wac_default_bot_11","811001","100611","-108","811","0","202","-325","2","1","1"
"wac_default_12","811002","111","-108","811","0","201","-325","2","5","1"
"","811003","3","0","811","","0","1","1","31","3"
"","811004","2","0","811","","0","1","0","31","2"
"","811005","13","0","811","","0","1","0","31","13"
"","811006","wac_paint_bot_11","","811","","0","","0.2","3","100611"
"","811007","wac_paint_12","","811","","0","","0.2","3","111"
"","811008","0","","811","","","","","93","0.3"
"wac_default_11","811009","1","","811","","","","","32","13"
"","811010","se_10035700_roller","","811","","0","0","0.2","23","se_10035700"
"","811011","","","811","","","","","131","1"
"","812001","wac_talk_smile_in","wac_talk_smile_loop","812","","0","1","0.2","3","100611"
"","812002","wac_no_items","","812","","1","","0.2","3","111"
"","812003","200","0","812","","-340","","","2","100611"
"","812004","200","0","812","","-340","","","2","111"
"","812005","0","","812","","","","","32","3"
"","812006","1","","812","","","","","32","2"
"","812007","0","","812","","","","","32","13"
"","812008","vo_wac_220222_000","0","812","","0","","","21","vo_wac_220222"
"0.5","812009","嘻嘻♪\n茜里畫好了～♪\n好可愛喔～♪","1","812","0","10","1","0","11","100611"
"","812010","","","812","","","","","91","0"
"","812011","vo_wac_220222_001","0","812","","0","","","21","vo_wac_220222"
"0.5","812012","不過，是不是讓畫面\n灑滿更多愛心比較好？\n或是去姊姊那裡補畫──\n啊！姊姊♪","1","812","0","10","1","0","11","100611"
"","812013","","","812","","","","","91","0"
"","812014","0","","812","","","","","22","0"
"","813001","wac_idle_smile","","813","","1","","0.2","3","100611"
"","813002","wac_no_items","","813","","1","","0.2","3","111"
"","813003","200","0","813","","-340","","","2","100611"
"","813004","200","0","813","","-340","","","2","111"
"","813005","0","","813","","","","","32","3"
"","813006","1","","813","","","","","32","2"
"","813007","0","","813","","","","","32","13"
"","813008","","","813","","","","","91","0"
"wac_default_01","911001","103111","-108","911","0","202","-212.75","2","1","1"
"wac_default_03","911002","111","-108","911","0","201","-212.75","2","5","1"
"","911003","1","0","911","","0","1","1","31","1"
"","911004","2","0","911","","0","1","0","31","2"
"","911005","11","0","911","","0","1","0","31","11"
"","911006","wac_paint_01","","911","","0","","0.2","3","103111"
"","911007","wac_paint_03","","911","","0","","0.2","3","111"
"wac_default_11","911008","1","","911","","","","","32","11"
"","911009","se_10035700_brush","","911","","0","0","0.2","23","se_10035700"
"","911010","","","911","","","","","131","1"
"","912001","wac_talk_wish_in","wac_talk_wish_loop","912","","0","1","0.2","3","103111"
"","912002","wac_no_items","","912","","1","","0.2","3","111"
"","912003","200","0","912","","-340","","","2","103111"
"","912004","200","0","912","","-340","","","2","111"
"","912005","0","","912","","","","","32","1"
"","912006","1","","912","","","","","32","2"
"","912007","0","","912","","","","","32","11"
"","912008","vo_wac_220223_000","0","912","","0","","","21","vo_wac_220223"
"0.5","912009","在蘭德索爾的牆壁上畫畫……\n我原本很擔心自己能不能\n做到這件事，但進行得很順利，\n我放心了。","1","912","0","10","1","0","11","103111"
"","912010","","","912","","","","","91","0"
"","912011","vo_wac_220223_001","0","912","","0","","","21","vo_wac_220223"
"0.5","912012","雖然一想到別人會看到這個，\n就覺得有點不好意思……\n但如果能讓大家感到開心，\n我會很高興的。","1","912","0","10","1","0","11","103111"
"","912013","","","912","","","","","91","0"
"","912014","0","","912","","","","","22","0"
"","913001","wac_idle_wish","","913","","1","","0.2","3","103111"
"","913002","wac_no_items","","913","","1","","0.2","3","111"
"","913003","200","0","913","","-340","","","2","103111"
"","913004","200","0","913","","-340","","","2","111"
"","913005","0","","913","","","","","32","1"
"","913006","1","","913","","","","","32","2"
"","913007","0","","913","","","","","32","11"
"","913008","","","913","","","","","91","0"
"wac_default_01","1011001","100711","-108","1011","0","202","-212.75","2","1","1"
"wac_default_01","1011002","111","-108","1011","0","201","-212.75","2","5","1"
"","1011003","1","0","1011","","0","1","1","31","1"
"","1011004","2","0","1011","","0","1","0","31","2"
"","1011005","11","0","1011","","0","1","0","31","11"
"","1011006","wac_paint_01","","1011","","0","","0.2","3","100711"
"","1011007","wac_paint_01","","1011","","0","","0.2","3","111"
"wac_default_11","1011008","1","","1011","","","","","32","11"
"","1011009","se_10035700_brush","","1011","","0","0","0.2","23","se_10035700"
"","1011010","","","1011","","","","","131","1"
"","1012001","wac_talk_smile_in","wac_talk_smile_loop","1012","","0","1","0.2","3","100711"
"","1012002","wac_no_items","","1012","","1","","0.2","3","111"
"","1012003","200","0","1012","","-340","","","2","100711"
"","1012004","200","0","1012","","-340","","","2","111"
"","1012005","0","","1012","","","","","32","1"
"","1012006","1","","1012","","","","","32","2"
"","1012007","0","","1012","","","","","32","11"
"","1012008","vo_wac_220224_000","0","1012","","0","","","21","vo_wac_220224"
"0.5","1012009","是布丁來的，這裡也是布丁來的，\n這邊那邊也都是布丁來的。\n沒有啦，騙你的喲。\n人家有照著學到的好好畫喲。","1","1012","0","10","1","0","11","100711"
"","1012010","","","1012","","","","","91","0"
