43b64ff85a9a2c5eddde117aaa5db8df2e40ae07abe71be62dfd223c8d4dd30b,02aaf5bb0af5e99e0ac26fc2b88d850f9629eb0fdf56c384190cc29f6e8ab74c,52b4506a47f0dc3d44aa10211ae26b1a1953f58ec1a07af8324bb0a95c5224ff,28535364e9402b79b5b241c557f976209d586b433ecb17dce26cec3d11c89ceb,286b9c8cfb71354896940eb41fb6cc9fbf2cfb12f6a28195b724670c3e466926,aaf7fcd014655277583a8956b56544e022b2c9ac191a7e85e92593fc205995a0,875ff19ca029bf45d9edf5efc900e786a7bf65800669bc1913b1a2e17ed621f7,472be4bdd00cbb934f8527e933712bfff9c2a4e213439a32792bbf648eabd9f6,7613828c25984f23fbe3c00f71bdf27cc0091a002757cb8b37762fe9109bcdc3,26257257432995948c819b2f7744ca0cf6c43042ec2cbfefe3e9478a55b556b8,ab5a97444579129d65ac486621951e0bf7e46f9e4e5865a28964b4ac7269b58e,0917f61818d2914b7122b63ee567042f313524de32d0165ea7c5363cea18ce4f,0a895c56fe9037775d3551df7d6026cec327a26fb57e916eacc972cae65b00fa
"vo_minigame_1012_result_1052","12300108","-1","9","20","3.79","這個題目，\n是連我也要思考很久的超級難題……\n呵呵，那也只能稱讚你了！\n你做得很好喔！","5","3","1","0","2","3001"
"vo_minigame_1012_result_1053","12300109","-1","4","20","0.01","我才沒有臉紅！\n喜歡頭腦好的人……\n或覺得你很帥之類的……\n……我都沒這樣想喔！","4","3","1","7","2","3001"
"vo_minigame_1012_result_1054","12300110","-1","5","20","0","速度和答對率都很完美……\n無可挑剔的滿分！\n你未來會變成\n很不得了的人物吧！？","5","1","1","0","2","3001"
"vo_minigame_1012_result_1054","12300112","-1","5","20","0","速度和答對率都很完美……\n無可挑剔的滿分！\n你未來會變成\n很不得了的人物吧！？","5","2","1","0","2","3001"
"vo_minigame_1012_result_1054","12300114","-1","5","20","0","速度和答對率都很完美……\n無可挑剔的滿分！\n你未來會變成\n很不得了的人物吧！？","5","3","1","0","2","3001"
"vo_minigame_1012_result_1056","12300116","19","7","15","3","喔喔～答對了很多呢！\n保持這個步調，\n以更好的分數為目標！","5","1","1","10","2","3001"
"vo_minigame_1012_result_1057","12300117","19","8","15","0.01","嗯，感覺很完美喔！\n看來你很認真讀書了，\n佩服佩服♪","8","1","1","10","2","3001"
"vo_minigame_1012_result_1058","12300118","19","8","15","4.01","咦？都拿這麼高分了，\n你還不滿足？\n那股上進心是怎麼回事……\n很好嘛！","5","1","1","0","2","3001"
"vo_minigame_1012_result_1059","12300119","19","7","15","2.83","速度和答對題數都很理想喔！\n喂喂，趁狀態這麼好，\n要不要以頂點為目標？","8","2","1","10","2","3001"
"vo_minigame_1012_result_1060","12300120","19","10","15","0","這種難度也能\n毫無阻礙地回答出來……\n你喔，\n真的是個狠角色……！","10","2","1","0","2","3001"
"vo_minigame_1012_result_1061","12300121","19","7","15","3.66","能回答出這麼多題目，\n讀書也變得很有趣吧♪\n來吧，還要繼續下去喔～！","8","2","1","4","2","3001"
"vo_minigame_1012_result_1062","12300122","19","8","15","3.28","你啊，考這個成績\n並不是僥倖吧……！\n能學會這麼多，\n真是不得了！","5","3","1","0","2","3001"
"vo_minigame_1012_result_1063","12300123","19","1","15","2.7","好厲害！成績非常好喔！\n對你來說，\n即使是這種難題也是輕而易舉？","8","3","1","0","2","3001"
"vo_minigame_1012_result_1064","12300124","19","9","15","3.98","你……\n該不會分數比我還高？\n我、我也得向你學習，\n好好讀書呢……！","5","3","1","9","2","3001"
"vo_minigame_1012_result_1067","12300131","14","1","10","2.51","嗯，分數很不錯喔！\n不過還能繼續努力吧？\n來，接著繼續吧！","7","1","1","0","2","3001"
"vo_minigame_1012_result_1068","12300132","14","7","10","4.16","雖然成績已經十分優秀了，\n但你一定能拿到更高分！\n來，努力念書吧！","1","1","1","0","2","3001"
"vo_minigame_1012_result_1069","12300133","14","7","10","2.07","嗯，不錯喔！\n保持這個步調，\n慢慢地增加答對題數吧！","8","1","1","0","2","3001"
"vo_minigame_1012_result_1070","12300134","14","1","10","3.51","裡面都是困難的題目，\n但成績還蠻不錯的嘛！\n你一定能達成目標的，\n可以對自己更有自信！","8","2","1","0","2","3001"
"vo_minigame_1012_result_1071","12300135","14","1","10","0","即使面對難題，基礎也很重要！\n保持這個狀態，\n繼續提升分數吧！","1","2","1","0","2","3001"
"vo_minigame_1012_result_1072","12300136","14","7","10","4.3","答對10題以上呢！\n咦？還不夠？\n呵呵，\n那要以更高分為目標嗎？","1","2","1","0","2","3001"
"vo_minigame_1012_result_1073","12300137","14","7","10","4.47","嗯，在這些難題下，\n拿到這個分數已經十分出色了！\n不過你的話，\n一定是以更高分為目標吧♪","8","3","1","0","2","3001"
"vo_minigame_1012_result_1074","12300138","14","9","10","3.68","好，辛苦了～\n分數還蠻不錯的嘛？\n……我也得多讀書了！","8","3","1","0","2","3001"
"vo_minigame_1012_result_1075","12300139","14","1","10","3.34","喔喔～\n答對了10題以上嘛！\n你果然不是等閒之輩～","5","3","1","0","2","3001"
"vo_minigame_1012_result_1077","12300141","14","8","10","6.58","嗯，答對率無懈可擊！\n只要再回答得更快，\n就能更提高分數喔！\n保持好狀態繼續加油吧！","1","1","1","0","2","3001"
"vo_minigame_1012_result_1077","12300143","14","8","10","6.58","嗯，答對率無懈可擊！\n只要再回答得更快，\n就能更提高分數喔！\n保持好狀態繼續加油吧！","1","2","1","0","2","3001"
"vo_minigame_1012_result_1077","12300145","14","8","10","6.58","嗯，答對率無懈可擊！\n只要再回答得更快，\n就能更提高分數喔！\n保持好狀態繼續加油吧！","1","3","1","0","2","3001"
"vo_minigame_1012_result_1078","12300146","9","7","5","4.24","喔～成績還不錯嘛。\n雖然不差……但我對你\n還抱有更多更多期待～","1","1","1","0","2","3001"
"vo_minigame_1012_result_1079","12300147","9","1","5","4.74","嗯，雖然很努力了……\n但說實話你能答對更多吧～？\n這分數對你來說只是及格！\n要不要以更高分為目標？","7","1","1","0","2","3001"
"vo_minigame_1012_result_1080","12300148","9","1","5","0","分數普普通通，\n對你來說這很棘手嗎？\n如果你覺得這樣不行的話，\n就表示還有成長空間呢！","1","1","1","0","2","3001"
"vo_minigame_1012_result_1081","12300149","9","1","5","2.21","嗯，還不錯的結果吧！\n但你應該能拿到更好的成績的！\n繼續努力吧！","8","2","1","0","2","3001"
"vo_minigame_1012_result_1082","12300150","9","1","5","2.46","嗯～說實話有點尷尬呢！\n算了，畢竟題目很難。\n只要繼續學習，\n分數一定會更提升的！","3","2","1","0","2","3001"
"vo_minigame_1012_result_1083","12300151","9","1","5","2.94","嗯～\n沒拿到10分啊～\n下次要不要以超過10分為目標，\n努力學習看看？","3","2","1","0","2","3001"
"vo_minigame_1012_result_1084","12300152","9","1","5","4.19","好，辛苦了～\n分數還馬馬虎虎吧！\n畢竟題目超難，你很努力了！","7","3","1","0","2","3001"
"vo_minigame_1012_result_1085","12300153","9","1","5","0","嗯，題目相當難，\n但你還是作答到最後了。\n要不要以更好的分數為目標？","1","3","1","0","2","3001"
"vo_minigame_1012_result_1086","12300154","9","1","5","2.63","失誤有點多呢～\n但把錯的地方好好複習，\n下次就會答對了～！","3","3","1","0","2","3001"
"vo_minigame_1012_result_1087","12300155","4","1","1","5.53","唉呀……分數不太好看呢～\n怎麼了，狀況不好嗎？\n下次再更努力一點吧！","3","1","1","0","2","3001"
"vo_minigame_1012_result_1088","12300156","4","3","1","0.01","嗯～\n答對題數讓人不滿意呢～\n再多增加點讀書的時間吧？","3","1","1","9","2","3001"
"vo_minigame_1012_result_1089","12300157","4","1","1","4.15","嗯……若是你的話，\n能拿到更高分吧～？\n再多努力點啊，\n我可是對你很期待的！","3","1","1","3","2","3001"
"vo_minigame_1012_result_1090","12300158","4","9","1","0.01","嗯～對現在的你而言，\n這個題目太難了嗎……\n挑戰較低的難度，\n也許是個好選擇喔～？","9","2","1","9","2","3001"
"vo_minigame_1012_result_1091","12300159","4","1","1","5.37","成績不太好看呢～\n畢竟是很難的題目也沒辦法。\n希望你下次更努力！","3","2","1","0","2","3001"
"vo_minigame_1012_result_1092","12300160","4","1","1","1.44","原來如此……\n不擅長的題型很多嗎？\n再挑戰一次\n試試看吧～","3","2","1","0","2","3001"
"vo_minigame_1012_result_1093","12300161","4","3","1","0","嗯嗯～題目太難了嗎？\n比起硬要繼續回答難題，\n降低難易度的話，\n搞不好讀書效率會更好喔～？","3","3","1","0","2","3001"
"vo_minigame_1012_result_1094","12300162","4","9","1","2.91","……拿到的分數很少呢。\n但這對我來說也很難，\n別那麼垂頭喪氣也沒問題！\n接著繼續加油吧！","3","3","1","3","2","3001"
"vo_minigame_1012_result_1095","12300163","4","1","1","2.61","抱歉，有點太難了嗎？\n再挑戰一次也行，\n降低難度也行，\n只要你有幹勁我就會陪你！","5","3","1","0","2","3001"
"vo_minigame_1012_result_1096","12300164","0","2","0","3.63","喂……\n你沒有幹勁吧～！？\n下次再考這種分數，\n我就要生氣囉！","4","1","1","1","2","3001"
"vo_minigame_1012_result_1097","12300165","0","2","0","4.16","唉……你知道自己\n考了幾分吧……？\n是0分喔，0分！你在小看考試嗎？","6","1","1","1","2","3001"
"vo_minigame_1012_result_1098","12300166","0","3","0","0.01","嗚嗚～頭好痛……\n都是你的錯！\n0分是什麼鬼啦！\n唉，這樣下去就要被當了……","3","1","1","6","2","3001"
"vo_minigame_1012_result_1099","12300167","0","2","0","5.75","喂，你是認真應考的嗎？\n不會是隨便回答的吧？\n……我明白了，\n再挑戰一次吧！","6","2","1","0","2","3001"
"vo_minigame_1012_result_1100","12300168","0","2","0","5.64","你……你啊，考了0分喔，0分……！\n我的教法不好嗎……？\n……我燃起鬥志了！\n我絕對要拉高你的實力！","4","2","1","1","2","3001"
"vo_minigame_1012_result_1101","12300169","0","4","0","5.73","等一下，可能是算錯分了……\n……不，是對的呢。好，0分。\n……呃，0分！？\n開什麼玩笑──！","8","2","1","8","2","3001"
"vo_minigame_1012_result_1102","12300170","0","3","0","5.32","唉呀呀……是0分喔。\n畢竟題目很難啦……\n……不過0分也太扯！\n至少答對一題吧！","5","3","1","1","2","3001"
"vo_minigame_1012_result_1103","12300171","0","9","0","2.37","很遺憾，是0分喔。\n但如果以積極的態度來看，\n你現在就是在底層喔！最底層！\n往後只會一直往上了！","3","3","1","9","2","3001"
"vo_minigame_1012_result_1104","12300172","0","1","0","4.25","……分數很不理想呢，\n稍微休息一下吧？\n讓自己重新振作，改變一下心情，\n再次努力吧！","9","3","1","3","2","3001"
"vo_minigame_1012_gamestart_100","13100101","0","7","0","0","好了，開始學習吧。","7","0","1","0","3","1001"
"vo_minigame_1012_gamestart_101","13100102","0","1","0","0","好，讓大家看看學習的成果吧！","1","0","1","0","3","1001"
"vo_minigame_1012_gamestart_102","13100103","0","7","0","1.82","那就開始考試吧，來，把課本闔上！","1","0","1","0","3","1001"
"vo_minigame_1012_gamestart_103","13100201","-1","8","3","0.01","你很有幹勁嘛！","8","0","1","4","3","1002"
"vo_minigame_1012_gamestart_104","13100202","-1","1","3","0","好，那就再來一次囉！","1","0","1","0","3","1002"
"vo_minigame_1012_gamestart_105","13100301","1","0","1","0","這只是普通的難度喔！","0","0","1","0","3","1003"
"vo_minigame_1012_gamestart_106","13100302","1","7","1","0","首先從基礎開始！","7","0","1","0","3","1003"
"vo_minigame_1012_gamestart_107","13100303","2","10","2","0","要挑戰困難的題目吧！","10","0","1","0","3","1003"
"vo_minigame_1012_gamestart_108","13100304","2","8","2","0.67","好，你的話一定辦得到的！","1","0","1","0","3","1003"
"vo_minigame_1012_gamestart_109","13100305","3","5","3","0","都是些我也覺得很棘手的題目喔……！","5","0","1","0","3","1003"
"vo_minigame_1012_gamestart_110","13100306","3","2","3","0","雖然超難的但是加油吧！","2","0","1","0","3","1003"
"vo_minigame_1012_gamestart_111","13100401","0","7","0","0","俗話說打鐵趁熱\n……對吧♪","7","0","1","0","3","1004"
"vo_minigame_1012_gamestart_112","13100402","0","1","0","0","好，再來一次喔！","1","0","1","0","3","1004"
"vo_minigame_1012_gamestart_113","13100501","0","9","0","0","鈴奈好像也很認真在讀書呢～","9","0","1","0","3","1005"
"vo_minigame_1012_gamestart_114","13100502","0","3","0","0","你要當鈴奈的老師？\n嗯──","3","0","1","0","3","1005"
"vo_minigame_1012_start_100","13110101","0","1","0","0","題目！","1","0","1","0","3","1101"
"vo_minigame_1012_start_101","13110102","0","1","0","0","要上囉！","1","0","1","0","3","1101"
"vo_minigame_1012_start_102","13110103","0","7","0","0","答得出來嗎？","7","0","1","0","3","1101"
"vo_minigame_1012_start_103","13110201","0","2","0","0","下一題一定行！","2","0","1","0","3","1102"
