c6761aaf47cbb4cf5742dee72e93d422a0a1c79b11537cc1c9d9563b3ecf37dd,fe39e22941af5cd5ff43b863e11baca36edee6a91c9df6012132707bd05c3d02,7b73a18246570c96a5fc6f60ab42eb7de45c48ad5abb4b881c2903797bb14533,3b11cbbd5a463ad00a6d609a0dbe6d88490f6c885ea04e300964066c1e70c6fa,aadc0dad56b55c259057ae01d67aaf3aab17397745d76959d465e2f13e78cdd2,0cb7b9af17dc0210d6ccffa78fd097a519212e9a882504a5d9d98b5f0f18e206,f98861d637d852925613bd749213be3189fceb5da2920fcf7a5e2ebcec8c2c04
"1.0875","望的人物照片","望的人物照片。只要看著精挑細選出來的可愛表情，\n一定能讓你對望的心意變得更加熱情。","0.675","10404","2","7"
"1.0875","望的夏日版人物照片","望穿著夏日服裝的人物照片。\n看著照片中能讓人感受到熾熱的夏天，\n既耀眼又充滿魅力的模樣，和她一起度過最棒的夏天吧。","0.675","10405","2","7"
"1.0875","望的聖誕節版人物照片","望穿著聖誕節服裝的人物照片。只能在聖誕季節見到的珍貴打扮，\n正是送給慈樂之音粉絲的最棒的禮物。","0.675","10406","2","7"
"1.0875","千歌的人物照片","千歌的人物照片。只要看著精挑細選出來的可愛表情，\n一定能讓你對千歌的心意變得更加熱情。","0.675","10407","2","7"
"1.0875","千歌的夏日版人物照片","千歌穿著夏日服裝的人物照片。\n看著照片中能讓人感受到熾熱的夏天，\n既耀眼又充滿魅力的模樣，和她一起度過最棒的夏天吧。","0.675","10408","2","7"
"1.0875","千歌的聖誕節版人物照片","千歌穿著聖誕節服裝的人物照片。只能在聖誕季節見到的珍貴打扮，\n正是送給慈樂之音粉絲的最棒的禮物。","0.675","10409","2","7"
"0.665625","紡希的手環","紡希的姓名手環。\n也是演唱會的進出場票券，片刻不離地帶在身上吧！","1.0125","10501","3","8"
"0.665625","望的手環","望的姓名手環。\n也是演唱會的進出場票券，片刻不離地帶在身上吧！","1.0125","10502","3","8"
"0.665625","千歌的手環","千歌的姓名手環。\n也是演唱會的進出場票券，片刻不離地帶在身上吧！","1.0125","10503","3","8"
"0.365234375","紡希的海報","拍下了紡希華麗模樣的大型海報。\n只要貼在房間裡，就能隨時獨佔她只為你露出的笑容。\n今天和明天也要繼續努力！","0.470703125","10601","3","10"
"0.365234375","望的海報","拍下了望華麗模樣的大型海報。\n只要貼在房間裡，就能隨時獨佔她只為你露出的笑容。\n今天和明天也要繼續努力！","0.470703125","10602","3","10"
"0.365234375","千歌的海報","拍下了千歌華麗模樣的大型海報。\n只要貼在房間裡，就能隨時獨佔她只為你露出的笑容。\n今天和明天也要繼續努力！","0.470703125","10603","3","11"
"0.365234375","慈樂之音的海報","印有三名成員，充滿魄力的大型海報。\n只要貼在房間裡，從早到晚都能隨時見到她們的笑容。\n今天和明天也要繼續努力！","0.470703125","10604","3","11"
"0.953125","會場限定會員卡","只能在活動會場獲得的夏日演唱會限定設計會員卡。\n由於只能在會場取得，稀有度偏高。\n是真正的粉絲一定想得手的品項。","0.53125","10701","3","8"
"0.443359375","紡希的長條毛巾","以紡希的個人代表色妝點，為夏日演唱會設計的長條毛巾。\n能夠用來擦拭因為演唱會而大汗淋漓的肌膚，\n也可以當作加油道具來使用。","0.4609375","10801","2","12"
"0.443359375","望的長條毛巾","以望的個人代表色妝點，為夏日演唱會設計的長條毛巾。\n能夠用來擦拭因為演唱會而大汗淋漓的肌膚，\n也可以當作加油道具來使用。","0.4609375","10802","2","12"
"0.443359375","千歌的長條毛巾","以千歌的個人代表色妝點，為夏日演唱會設計的長條毛巾。\n能夠用來擦拭因為演唱會而大汗淋漓的肌膚，\n也可以當作加油道具來使用。","0.4609375","10803","2","13"
"0.443359375","慈樂之音的長條毛巾","慈樂之音的夏日演唱會設計款長條毛巾。是通用性很高的經典道具。\n能夠用來擦拭因為演唱會而大汗淋漓的肌膚，\n也可以當作加油道具來使用。","0.4609375","10804","2","13"
"0.33046875","紡希的應援扇","紡希的官方應援扇。想使出渾身解數對偶像表現自己時，這是最適合的品項。\n讓它陪伴你在演唱會會場上的瘋狂吧！","0.459375","10901","1","9"
"0.33046875","望的應援扇","望的官方應援扇。\n想使出渾身解數對偶像表現自己時，這是最適合的品項。讓它陪伴你在演唱會會場上的瘋狂吧！","0.459375","10902","1","9"
"0.33046875","千歌的應援扇","千歌的官方應援扇。\n想使出渾身解數對偶像表現自己時，這是最適合的品項。讓它陪伴你在演唱會會場上的瘋狂吧！","0.459375","10903","1","9"
"0.33046875","慈樂之音的應援扇","慈樂之音的官方應援扇。由於設計簡單大方，是也很適合拿來日常使用的品項。\n無論身在何時何地，都可以用這個為她們打氣喔。","0.459375","10904","1","9"
"0.671875","紡希的貼紙","要擺起來裝飾或拿來貼都沒問題的可愛貼紙。\n只要隨手貼在顯眼的地方，每次看到貼紙時一定都能笑顏逐開！","0.8671875","11001","1","5"
"0.671875","望的貼紙","要擺起來裝飾或拿來貼都沒問題的可愛貼紙。\n只要隨手貼在顯眼的地方，每次看到貼紙時一定都能笑顏逐開！","0.8671875","11002","1","5"
"0.671875","千歌的貼紙","要擺起來裝飾或拿來貼都沒問題的可愛貼紙。\n只要隨手貼在顯眼的地方，每次看到貼紙時一定都能笑顏逐開！","0.8671875","11003","1","5"
"0.975","紡希的圓形徽章","經典周邊之一。不管是要集齊所有種類，還是大量蒐集同個種類，\n一切都操之於你！打造出只屬於你獨有的收藏吧。","0.975","11101","1","5"
"0.975","望的圓形徽章","經典周邊之一。不管是要集齊所有種類，還是大量蒐集同個種類，\n一切都操之於你！打造出只屬於你獨有的收藏吧。","0.975","11102","1","5"
"0.975","千歌的圓形徽章","經典周邊之一。不管是要集齊所有種類，還是大量蒐集同個種類，\n一切都操之於你！打造出只屬於你獨有的收藏吧。","0.975","11103","1","5"
"0.39453125","慈樂之音演唱會螢光棒","想在演唱會上一起嗨翻時需要的必備周邊。\n能夠切換為各種顏色，依據場合和歌曲來分別使用。\n用繽紛的色彩炒熱演唱會的氣氛吧。","0.49609375","11201","2","9"
"0.65625","紡希的馬克杯","以紡希為圖案設計的馬克杯。是能夠讓每天的休息時光與下午茶更加快樂的商品。\n為你獻上與她共度的美好時光。","0.671875","11301","2","8"
"0.65625","望的馬克杯","以望為圖案設計的馬克杯。是能夠讓每天的休息時光與下午茶更加快樂的商品。\n為你獻上與她共度的美好時光。","0.671875","11302","2","8"
"0.65625","千歌的馬克杯","以千歌為圖案設計的馬克杯。是能夠讓每天的休息時光與下午茶更加快樂的商品。\n為你獻上與她共度的美好時光。","0.671875","11303","2","8"
"0.984375","紡希的三角旗","說到能喚起回憶的周邊，一定就是這個。\n三角旗上是穿著夏日服裝而耀眼無比的紡希，\n能讓你隨時回憶起演唱會的亢奮之情與偶像的燦爛光芒。","0.6328125","11401","1","4"
"0.984375","望的三角旗","說到能喚起回憶的周邊，一定就是這個。\n三角旗上是穿著夏日服裝而耀眼無比的望，\n能讓你隨時回憶起演唱會的亢奮之情與偶像的燦爛光芒。","0.640625","11402","1","4"
"0.984375","千歌的三角旗","說到能喚起回憶的周邊，一定就是這個。\n三角旗上是穿著夏日服裝而耀眼無比的千歌，\n能讓你隨時回憶起演唱會的亢奮之情與偶像的燦爛光芒。","0.6328125","11403","1","4"
"1.21875","紡希的別針","以卡通風格繪製了可愛紡希圖案的胸章。\n質感就像帶有光澤又閃閃發亮的硬幣，是會刺激收藏慾的周邊。","1.21875","11501","1","3"
"1.21875","紡希的夏日版別針","繪製了身穿夏日服裝的可愛紡希圖案的胸章。\n限定版的設計是參加了夏日演唱會的證明。\n以紡希正在享受夏日的表情為魅力的品項。","1.21875","11502","1","3"
"1.21875","望的別針","以卡通風格繪製了可愛望圖案的胸章。\n質感就像帶有光澤又閃閃發亮的硬幣，是會刺激收藏慾的周邊。","1.21875","11503","1","3"
"1.21875","望的夏日版別針","繪製了身穿夏日服裝的可愛望圖案的胸章。\n限定版的設計是參加了夏日演唱會的證明。\n以望正在享受夏日的表情為魅力的品項。","1.21875","11504","1","3"
"1.21875","千歌的別針","以卡通風格繪製了可愛千歌圖案的胸章。\n質感就像帶有光澤又閃閃發亮的硬幣，是會刺激收藏慾的周邊。","1.21875","11505","1","3"
"1.21875","千歌的夏日版別針","繪製了身穿夏日服裝的可愛千歌圖案的胸章。\n限定版的設計是參加了夏日演唱會的證明。\n以千歌正在享受夏日的表情為魅力的品項。","1.21875","11506","1","3"
"0.625","紡希的造型瓶蓋","紡希登台！\n紡希在瓶蓋舞台上擺出了可愛的姿勢。\n能夠隨意地擺設在任何喜歡的地方。","0.75","11601","1","6"
"0.625","紡希的夏日版造型瓶蓋","身穿夏日服裝的紡希在瓶蓋上登台！\n能夠讓人回想起她穿著涼爽的服裝，\n不斷呈現出熾熱舞台表演的英姿。","0.75","11602","1","6"
"0.625","望的造型瓶蓋","望登台！\n望在瓶蓋舞台上擺出了可愛的姿勢。\n能夠隨意地擺設在任何喜歡的地方。","0.75","11603","1","6"
"0.625","望的夏日版造型瓶蓋","身穿夏日服裝的望在瓶蓋上登台！\n能夠讓人回想起她穿著涼爽的服裝，\n不斷呈現出熾熱舞台表演的英姿。","0.75","11604","1","6"
"0.625","千歌的造型瓶蓋","千歌登台！\n千歌在瓶蓋舞台上擺出了可愛的姿勢。\n能夠隨意地擺設在任何喜歡的地方。","0.75","11605","1","6"
"0.625","千歌的夏日版造型瓶蓋","身穿夏日服裝的千歌在瓶蓋上登台！\n能夠讓人回想起她穿著涼爽的服裝，\n不斷呈現出熾熱舞台表演的英姿。","0.75","11606","1","6"
"0.890625","紡希的迷你掛軸","紡希的鑰匙圈尺寸掛軸。\n不只能裝飾在任何地方，還能掛在身上帶出門，是個萬能周邊。","0.8828125","11701","1","4"
"0.890625","望的迷你掛軸","望的鑰匙圈尺寸掛軸。\n不只能裝飾在任何地方，還能掛在身上帶出門，是個萬能周邊。","0.8828125","11702","1","4"
"0.890625","千歌的迷你掛軸","千歌的鑰匙圈尺寸掛軸。\n不只能裝飾在任何地方，還能掛在身上帶出門，是個萬能周邊。","0.8828125","11703","1","4"
