70cf381a88472b078e85a9400fd1a12bb91f77756dd3ff85e142ac2473881dcc,28f91e278b81d34aa6a006df73da16f05abfbcc9cd10ad46444b23bcafdc3bd9,d0e7d18fd65a1cd1b17c697512ed33c0f2d2b4d83fd4c4b2dfc1df3b58809bd1,b8254e6f5ee9c58b78faa53ca88b84f116eb5ec9576c306937a4828f11e53c05,fc3323c23e48e9037ba8a1543c6d93b1d58d3c8b609dc0923adc5cc1cd2dd925,20614b007a2a65dfb5c384de6f70a4604c0a33f099cf490cf22f2881a1eee0de,74610f16820039b8a8565de83d0c2033215b2159793c36fdfd1c75dab1c0e253,1a244658bd33818b3091280c3e5f6b7782583cfb5102212c52b6fe37d2e78b28,fd29181b2e7741940b843d8a29dadcc909926c5dbcd2ff5a5f05f6710fa37a57,bf06aa7f758bdf27cb22c3e46334102ce7615d813dccb10413f5b04bc8a5b26f,276c48ecba6e7b2d030b6996e63a6810a77eeec33843d60f1f7cdde3e36753c0
"1","100211","0","11","0","20022","不用客氣♪\n雖然不要受傷最好的，但有\n困難的時候不用客氣儘管跟我說唷？","0","1","10","1200220013"
"","0","","91","","20022","","","","","1200220014"
"","100211","","3","","20022","travel_topdrama_r_2000_idle_wish_joy","0.2","","1","1200220015"
"","","","112","","20022","","","","","1200220016"
"","0","","91","","20022","","","","","1200220017"
"-42","1","travel_topdrama_r_2000_idle_doya","1","0","20031","100411","0.8","-68","101","1200310001"
"42","1","travel_topdrama_r_2000_idle_normal","1","1","20031","102011","0.8","-68","102","1200310002"
"0","0","mana","5","0","20031","0","1","-75","110","1200310003"
"","0","","91","","20031","","","","","1200310004"
"","10","","93","","20031","0","","","","1200310005"
"","1200310005","","101","","20031","","","","","1200310006"
"","0","","3","","20031","none","0","","0","1200310007"
"","0","","91","","20031","","","","","1200310008"
"","100411","","13","","20032","103","","","","1200320001"
"","102011","","13","","20032","104","","","","1200320002"
"travel_topdrama_r_2000_talk_doya_loop","100411","","3","","20032","travel_topdrama_r_2000_talk_doya_in","0.2","1","0","1200320003"
"0","vo_travel_talk","","21","","20032","vo_travel_talk_20003_00","","","0","1200320004"
"1","100411","0","11","0","20032","冒險的準備是非常重要的！\n所以為了不要迷路\n把指南針給帶來了～♪","0","1","10","1200320005"
"","0","","91","","20032","","","","","1200320006"
"","100411","","3","","20032","travel_topdrama_r_2000_idle_doya","0.2","","1","1200320007"
"travel_topdrama_r_2000_talk_wish_loop","102011","","3","","20032","travel_topdrama_r_2000_talk_wish_in","0.2","1","0","1200320008"
"0","vo_travel_talk","","21","","20032","vo_travel_talk_20003_01","","","0","1200320009"
"1","102011","0","11","0","20032","禊好厲害呀～♪\n這個指南針一直轉來轉去的，\n要怎麼看方向呀～？","0","1","10","1200320010"
"","0","","91","","20032","","","","","1200320011"
"","102011","","3","","20032","travel_topdrama_r_2000_idle_wish","0.2","","1","1200320012"
"travel_topdrama_r_2000_talk_sad_loop_surprise2","100411","","3","","20032","travel_topdrama_r_2000_talk_sad_in_surprise2","0.2","1","0","1200320013"
"0","vo_travel_talk","","21","","20032","vo_travel_talk_20003_02","","","0","1200320014"
"1","100411","0","11","0","20032","咦？轉來轉去？\n……啊～！？惡作劇要用的磁鐵，\n不小心放在同一個口袋裡了～！","0","1","10","1200320015"
"","0","","91","","20032","","","","","1200320016"
"","100411","","3","","20032","travel_topdrama_r_2000_idle_sad_surprise2","0.2","","1","1200320017"
"","","","112","","20032","","","","","1200320018"
"","0","","91","","20032","","","","","1200320019"
"42","1","travel_topdrama_r_2000_idle_normal","1","1","20041","105311","0.8","-68","101","1200410001"
"-42","1","travel_topdrama_r_2000_idle_wish","1","0","20041","104511","0.8","-68","102","1200410002"
"0","0","mana","5","0","20041","0","1","-75","110","1200410003"
"","0","","91","","20041","","","","","1200410004"
"","10","","93","","20041","0","","","","1200410005"
"","1200410005","","101","","20041","","","","","1200410006"
"","0","","3","","20041","none","0","","0","1200410007"
"","0","","91","","20041","","","","","1200410008"
"","105311","","13","","20042","103","","","","1200420001"
"","104511","","13","","20042","104","","","","1200420002"
"travel_topdrama_r_2000_talk_surprise_loop_sad","105311","","3","","20042","travel_topdrama_r_2000_talk_surprise_in_sad","0.2","1","0","1200420003"
"0","vo_travel_talk","","21","","20042","vo_travel_talk_20004_00","","","0","1200420004"
"1","105311","0","11","0","20042","怎、怎麼了空花！？\n臉紅通通的，還出了這麼多汗……\n是有哪裡不舒服的嘛！？","0","1","10","1200420005"
"","0","","91","","20042","","","","","1200420006"
"","105311","","3","","20042","travel_topdrama_r_2000_idle_surprise_sad","0.2","","1","1200420007"
"","104511","","3","","20042","travel_topdrama_r_2000_talk_wish_loop","0.2","1","1","1200420008"
"0","vo_travel_talk","","21","","20042","vo_travel_talk_20004_01","","","0","1200420009"
"1","104511","0","11","0","20042","現在要去的地方有從未見過\n的可怕魔物，與其對峙空花一定\n會受到前所未有的凌虐……♪","0","1","10","1200420010"
"","0","","91","","20042","","","","","1200420011"
"","104511","","3","","20042","travel_topdrama_r_2000_idle_wish","0.2","","1","1200420012"
"travel_topdrama_r_2000_talk_doya_loop_sad","105311","","3","","20042","travel_topdrama_r_2000_talk_doya_in_sad","0.2","1","0","1200420013"
"0","vo_travel_talk","","21","","20042","vo_travel_talk_20004_02","","","0","1200420014"
"1","105311","0","11","0","20042","啊，平常的妄想啊。\n整個白擔心了的感覺，\n拜託妳集中進行任務啊！","0","1","10","1200420015"
"","0","","91","","20042","","","","","1200420016"
"","105311","","3","","20042","travel_topdrama_r_2000_idle_doya_sad","0.2","","1","1200420017"
"","","","112","","20042","","","","","1200420018"
"","0","","91","","20042","","","","","1200420019"
"-42","1","travel_topdrama_r_2000_idle_thinking","1","0","20051","100911","0.8","-68","101","1200510001"
"42","1","travel_topdrama_r_2000_idle_arm_crossed","1","1","20051","105611","0.8","-68","102","1200510002"
"0","0","mana","5","0","20051","0","1","-75","110","1200510003"
"","0","","91","","20051","","","","","1200510004"
"","10","","93","","20051","0","","","","1200510005"
"","1200510005","","101","","20051","","","","","1200510006"
"","0","","3","","20051","none","0","","0","1200510007"
"","0","","91","","20051","","","","","1200510008"
"","100911","","13","","20052","103","","","","1200520001"
"","105611","","13","","20052","104","","","","1200520002"
"","100911","","3","","20052","travel_topdrama_r_2000_talk_thinking","0.2","1","1","1200520003"
"0","vo_travel_talk","","21","","20052","vo_travel_talk_20005_00","","","0","1200520004"
"1","100911","0","11","0","20052","潛在我內心的黑暗在訴說著……\n眾多的命運的線條會複雜的纏繞著，\n這趟旅程將會成為壯大的冒險記！","0","1","10","1200520005"
"","0","","91","","20052","","","","","1200520006"
"","100911","","3","","20052","travel_topdrama_r_2000_idle_thinking","0.2","","1","1200520007"
"travel_topdrama_r_2000_talk_arm_crossed_loop","105611","","3","","20052","travel_topdrama_r_2000_talk_arm_crossed_in","0.2","1","0","1200520008"
"0","vo_travel_talk","","21","","20052","vo_travel_talk_20005_01","","","0","1200520009"
"1","105611","0","11","0","20052","這樣啊。\n那麼首先，妳可以先接受\n去收集柴火的命運嗎？","0","1","10","1200520010"
"","0","","91","","20052","","","","","1200520011"
"","105611","","3","","20052","travel_topdrama_r_2000_idle_arm_crossed","0.2","","1","1200520012"
"travel_topdrama_r_2000_talk_doya_loop","100911","","3","","20052","travel_topdrama_r_2000_talk_doya_in_blink","0.2","1","0","1200520013"
"0","vo_travel_talk","","21","","20052","vo_travel_talk_20005_02","","","0","1200520014"
"1","100911","0","11","0","20052","哼，那命運的話早就已經接受了！\n……但是，那個，完全收集不全。\n可以的話能幫個忙嗎？","0","1","10","1200520015"
"","0","","91","","20052","","","","","1200520016"
"","100911","","3","","20052","travel_topdrama_r_2000_idle_doya","0.2","","1","1200520017"
"","","","112","","20052","","","","","1200520018"
"","0","","91","","20052","","","","","1200520019"
"42","1","travel_topdrama_r_2000_idle_kyapi","1","1","20061","110911","0.8","-68","101","1200610001"
"-42","1","travel_topdrama_r_2000_idle_doya_sad","1","0","20061","110811","0.8","-68","102","1200610002"
"0","0","mana","5","0","20061","0","1","-75","110","1200610003"
"","0","","91","","20061","","","","","1200610004"
"","10","","93","","20061","0","","","","1200610005"
"","1200610005","","101","","20061","","","","","1200610006"
"","0","","3","","20061","none","0","","0","1200610007"
"","0","","91","","20061","","","","","1200610008"
"","110911","","13","","20062","103","","","","1200620001"
"","110811","","13","","20062","104","","","","1200620002"
"travel_topdrama_r_2000_talk_kyapi_loop","110911","","3","","20062","travel_topdrama_r_2000_talk_kyapi_in","0.2","1","0","1200620003"
"0","vo_travel_talk","","21","","20062","vo_travel_talk_20006_00","","","0","1200620004"
"1","110911","0","11","0","20062","切嚕～☆\n切嚕切啦，切唎啪，\n切切唎啵噗！","0","1","10","1200620005"
"","0","","91","","20062","","","","","1200620006"
"","110911","","3","","20062","travel_topdrama_r_2000_idle_kyapi","0.2","","1","1200620007"
"travel_topdrama_r_2000_talk_doya_loop_sad","110811","","3","","20062","travel_topdrama_r_2000_talk_doya_in_sad","0.2","1","0","1200620008"
"0","vo_travel_talk","","21","","20062","vo_travel_talk_20006_01","","","0","1200620009"
"1","110811","0","11","0","20062","那個啊。我是不介意啦。\n你那腦筋很差的怪聲剛才引來\n了一大堆魔物的事情，已經忘掉了嗎？","0","1","10","1200620010"
"","0","","91","","20062","","","","","1200620011"
"","110811","","3","","20062","travel_topdrama_r_2000_idle_doya_sad","0.2","","1","1200620012"
"","110911","","3","","20062","travel_topdrama_r_2000_talk_normal2","0.2","1","1","1200620013"
"0","vo_travel_talk","","21","","20062","vo_travel_talk_20006_02","","","0","1200620014"
"1","110911","0","11","0","20062","……那個時候\n真的是非常的抱歉。","0","1","10","1200620015"
"","0","","91","","20062","","","","","1200620016"
"","110911","","3","","20062","travel_topdrama_r_2000_idle_normal","0.2","","1","1200620017"
"","","","112","","20062","","","","","1200620018"
"","0","","91","","20062","","","","","1200620019"
"42","1","travel_topdrama_r_2000_idle_smile","1","1","20071","102911","0.8","-68","101","1200710001"
"-42","1","travel_topdrama_r_2000_idle_sad","1","0","20071","105411","0.8","-68","102","1200710002"
"0","0","mana","5","0","20071","0","1","-75","110","1200710003"
"","0","","91","","20071","","","","","1200710004"
"","10","","93","","20071","0","","","","1200710005"
"","1200710005","","101","","20071","","","","","1200710006"
"","0","","3","","20071","none","0","","0","1200710007"
"","0","","91","","20071","","","","","1200710008"
"","102911","","13","","20072","103","","","","1200720001"
"","105411","","13","","20072","104","","","","1200720002"
"travel_topdrama_r_2000_talk_smile_loop","102911","","3","","20072","travel_topdrama_r_2000_talk_smile_in","0.2","1","0","1200720003"
"0","vo_travel_talk","","21","","20072","vo_travel_talk_20007_00","","","0","1200720004"
"1","102911","0","11","0","20072","這附近的地形，\n應該滿適合練習跳舞的吧？\n能陪我練習舞步嗎？","0","1","10","1200720005"
"","0","","91","","20072","","","","","1200720006"
"","102911","","3","","20072","travel_topdrama_r_2000_idle_smile","0.2","","1","1200720007"
"travel_topdrama_r_2000_talk_sad_loop","105411","","3","0.2","20072","travel_topdrama_r_2007_dance","0.2","1","0","1200720008"
"0","vo_travel_talk","","21","","20072","vo_travel_talk_20007_01","","","0","1200720009"
"1","105411","0","11","0","20072","咦，這樣的感覺嗎？\n……哇哇，差點失去平衡！？\n還挺困難的呢……","0","1","10","1200720010"
"","0","","91","","20072","","","","","1200720011"
"","105411","","3","","20072","travel_topdrama_r_2000_idle_sad","0.2","","1","1200720012"
"travel_topdrama_r_2000_talk_smile_loop","102911","","3","","20072","travel_topdrama_r_2000_talk_smile_in","0.2","1","0","1200720013"
"0","vo_travel_talk","","21","","20072","vo_travel_talk_20007_02","","","0","1200720014"
"1","102911","0","11","0","20072","也就是說這是不錯的練習呢！\n在去演唱會前，為了不忘記這地方，\n要把這地方寫下來呢♪","0","1","10","1200720015"
"","0","","91","","20072","","","","","1200720016"
"","102911","","3","","20072","travel_topdrama_r_2000_idle_smile","0.2","","1","1200720017"
"","","","112","","20072","","","","","1200720018"
"","0","","91","","20072","","","","","1200720019"
"42","1","travel_topdrama_r_2000_idle_sad","1","1","20081","104711","0.8","-68","101","1200810001"
"-42","1","travel_topdrama_r_2000_idle_doya","1","0","20081","107111","0.8","-68","102","1200810002"
"0","0","mana","5","0","20081","0","1","-75","110","1200810003"
"","0","","91","","20081","","","","","1200810004"
"","10","","93","","20081","0","","","","1200810005"
"","1200810005","","101","","20081","","","","","1200810006"
"","0","","3","","20081","none","0","","0","1200810007"
"","0","","91","","20081","","","","","1200810008"
"","104711","","13","","20082","103","","","","1200820001"
"","107111","","13","","20082","104","","","","1200820002"
"travel_topdrama_r_2000_talk_sad_loop","104711","","3","","20082","travel_topdrama_r_2000_talk_sad_in","0.2","1","0","1200820003"
"0","vo_travel_talk","","21","","20082","vo_travel_talk_20008_00","","","0","1200820004"
"1","104711","0","11","0","20082","雖然有幾次離開王宮的機會，\n果然還是靜不下來呢……\n發生什麼事的時候也很難對應。","0","1","10","1200820005"
"","0","","91","","20082","","","","","1200820006"
"","104711","","3","","20082","travel_topdrama_r_2000_idle_sad","0.2","","1","1200820007"
"travel_topdrama_r_2000_talk_doya_loop","107111","","3","","20082","travel_topdrama_r_2000_talk_doya_in","0.2","1","0","1200820008"
"0","vo_travel_talk","","21","","20082","vo_travel_talk_20008_01","","","0","1200820009"
"1","107111","0","11","0","20082","現在才在擔心也沒意義吧？\n放鬆心情好好享受這趟旅行吧。\n旅程還很長的呢☆","0","1","10","1200820010"
"","0","","91","","20082","","","","","1200820011"
"","107111","","3","","20082","travel_topdrama_r_2000_idle_doya","0.2","","1","1200820012"
"travel_topdrama_r_2000_talk_guts_loop","104711","","3","","20082","travel_topdrama_r_2000_talk_guts_in","0.2","1","0","1200820013"
"0","vo_travel_talk","","21","","20082","vo_travel_talk_20008_02","","","0","1200820014"
"1","104711","0","11","0","20082","謝謝妳，克莉絲。\n王宮也有優秀的部下在，\n現在還是集中在面前的工作上吧。","0","1","10","1200820015"
"","0","","91","","20082","","","","","1200820016"
"","104711","","3","","20082","travel_topdrama_r_2000_idle_guts","0.2","","1","1200820017"
"","","","112","","20082","","","","","1200820018"
"","0","","91","","20082","","","","","1200820019"
"42","1","travel_topdrama_r_2000_idle_guts2","1","1","20091","104011","0.8","-68","101","1200910001"
"-42","1","travel_topdrama_r_2000_idle_smile","1","0","20091","101511","0.8","-68","102","1200910002"
"0","0","mana","5","0","20091","0","1","-75","110","1200910003"
"","0","","91","","20091","","","","","1200910004"
"","10","","93","","20091","0","","","","1200910005"
"","1200910005","","101","","20091","","","","","1200910006"
"","0","","3","","20091","none","0","","0","1200910007"
"","0","","91","","20091","","","","","1200910008"
"","104011","","13","","20092","103","","","","1200920001"
"","101511","","13","","20092","104","","","","1200920002"
"travel_topdrama_r_2000_talk_guts2_loop","104011","","3","","20092","travel_topdrama_r_2000_talk_guts2_in","0.2","1","0","1200920003"
"0","vo_travel_talk","","21","","20092","vo_travel_talk_20009_00","","","0","1200920004"
"1","104011","0","11","0","20092","這次的冒險有許多公會\n會參加對吧……？\n難道這是，交朋友的好機會……？","0","1","10","1200920005"
"","0","","91","","20092","","","","","1200920006"
"","104011","","3","","20092","travel_topdrama_r_2000_idle_guts2","0.2","","1","1200920007"
"travel_topdrama_r_2000_talk_wish_loop_joy","101511","","3","","20092","travel_topdrama_r_2000_talk_wish_in_joy","0.2","1","0","1200920008"
"0","vo_travel_talk","","21","","20092","vo_travel_talk_20009_01","","","0","1200920009"
"1","101511","0","11","0","20092","呵呵，是啊～\n一定會有不少的邂逅，\n試著多跟人搭話如何～？","0","1","10","1200920010"
"","0","","91","","20092","","","","","1200920011"
"","101511","","3","","20092","travel_topdrama_r_2000_idle_wish_joy","0.2","","1","1200920012"
"travel_topdrama_r_2000_talk_surprise_loop_sad","104011","","3","","20092","travel_topdrama_r_2000_talk_surprise_in_sad","0.2","1","0","1200920013"
"0","vo_travel_talk","","21","","20092","vo_travel_talk_20009_02","","","0","1200920014"
"1","104011","0","11","0","20092","多……跟人搭話……！？\n一瞬間就喪失自信了……\n果然還是走在邊邊就好了……","0","1","10","1200920015"
"","0","","91","","20092","","","","","1200920016"
"","104011","","3","","20092","travel_topdrama_r_2000_idle_surprise_sad","0.2","","1","1200920017"
"","","","112","","20092","","","","","1200920018"
"","0","","91","","20092","","","","","1200920019"
"42","1","travel_topdrama_r_2000_idle_sad","1","1","20101","102611","0.8","-68","101","1201010001"
"-42","1","travel_topdrama_r_2000_idle_doya_sad","1","0","20101","103311","0.8","-68","102","1201010002"
"0","0","mana","5","0","20101","0","1","-75","110","1201010003"
"","0","","91","","20101","","","","","1201010004"
"","10","","93","","20101","0","","","","1201010005"
"","1201010005","","101","","20101","","","","","1201010006"
"","0","","3","","20101","none","0","","0","1201010007"
"","0","","91","","20101","","","","","1201010008"
"","102611","","13","","20102","103","","","","1201020001"
"","103311","","13","","20102","104","","","","1201020002"
"travel_topdrama_r_2000_talk_sad_loop","102611","","3","","20102","travel_topdrama_r_2000_talk_sad_in","0.2","1","0","1201020003"
"0","vo_travel_talk","","21","","20102","vo_travel_talk_20010_00","","","0","1201020004"
"1","102611","0","11","0","20102","呼……呼……！\n已經走了好久了啊～！\n想回家了啦～想懶懶散散地度過～！","0","1","10","1201020005"
"","0","","91","","20102","","","","","1201020006"
"","102611","","3","","20102","travel_topdrama_r_2000_idle_sad","0.2","","1","1201020007"
"travel_topdrama_r_2000_talk_doya_loop_sad","103311","","3","","20102","travel_topdrama_r_2000_talk_doya_in_sad","0.2","1","0","1201020008"
"0","vo_travel_talk","","21","","20102","vo_travel_talk_20010_01","","","0","1201020009"
"1","103311","0","11","0","20102","在說什麼呀～！\n鈴鈴最需要多走走，\n重新鍛鍊身體！","0","1","10","1201020010"
"","0","","91","","20102","","","","","1201020011"
"","103311","","3","","20102","travel_topdrama_r_2000_idle_doya_sad","0.2","","1","1201020012"
"","102611","","3","","20102","travel_topdrama_r_2000_talk_dead","0.2","1","1","1201020013"
"0","vo_travel_talk","","21","","20102","vo_travel_talk_20010_02","","","0","1201020014"
"1","102611","0","11","0","20102","那種事情完全不需要啦……！\n總之讓我休息！休息～！\n不吃個橡子的話，我的腳會開始痠痛的～！","0","1","10","1201020015"
"","0","","91","","20102","","","","","1201020016"
"","102611","","3","","20102","travel_topdrama_r_2000_idle_dead","0.2","","1","1201020017"
"","","","112","","20102","","","","","1201020018"
"","0","","91","","20102","","","","","1201020019"
"42","1","travel_topdrama_r_2000_idle_smile","1","1","20111","104911","0.8","-68","101","1201110001"
"-42","1","travel_topdrama_r_2000_idle_normal","1","0","20111","101111","0.8","-68","102","1201110002"
"0","0","mana","5","0","20111","0","1","-75","110","1201110003"
"","0","","91","","20111","","","","","1201110004"
"","10","","93","","20111","0","","","","1201110005"
"","1201110005","","101","","20111","","","","","1201110006"
"","0","","3","","20111","none","0","","0","1201110007"
"","0","","91","","20111","","","","","1201110008"
"","104911","","13","","20112","103","","","","1201120001"
"","101111","","13","","20112","104","","","","1201120002"
"travel_topdrama_r_2000_talk_smile_loop","104911","","3","","20112","travel_topdrama_r_2000_talk_smile_in","0.2","1","0","1201120003"
"0","vo_travel_talk","","21","","20112","vo_travel_talk_20011_00","","","0","1201120004"
"1","104911","0","11","0","20112","不知道路上有沒有掉什麼好東西呢～？\n能讓弟弟興奮過頭，讓他瞬間忘掉\n最喜歡姐姐以外的感情的寶物之類的。","0","1","10","1201120005"
"","0","","91","","20112","","","","","1201120006"
"","104911","","3","","20112","travel_topdrama_r_2000_idle_smile","0.2","","1","1201120007"
"travel_topdrama_r_2000_talk_shock","101111","","3","","20112","travel_topdrama_r_2000_shock_in","0.2","1","0","1201120008"
"0","vo_travel_talk","","21","","20112","vo_travel_talk_20011_01","","","0","1201120009"
"1","101111","0","11","0","20112","不不不，靜流姐？\n那根本就是受詛咒的裝備了，\n真的發現了也別帶回去喔。","0","1","10","1201120010"
"","0","","91","","20112","","","","","1201120011"
"","101111","","3","","20112","travel_topdrama_r_2000_idle_normal","0.2","","1","1201120012"
"travel_topdrama_r_2000_talk_wish_loop_joy","104911","","3","","20112","travel_topdrama_r_2000_talk_wish_in_joy","0.2","1","0","1201120013"
"0","vo_travel_talk","","21","","20112","vo_travel_talk_20011_02","","","0","1201120014"
"1","104911","0","11","0","20112","唉……算了，也行。\n就算不依靠那種東西，弟弟\n也是最喜歡姐姐的呢♪","0","1","10","1201120015"
"","0","","91","","20112","","","","","1201120016"
"","104911","","3","","20112","travel_topdrama_r_2000_idle_wish_joy","0.2","","1","1201120017"
"","","","112","","20112","","","","","1201120018"
"","0","","91","","20112","","","","","1201120019"
"42","1","travel_topdrama_r_2000_idle_sad","1","1","20121","101011","0.8","-68","101","1201210001"
"-42","1","travel_topdrama_r_2000_idle_guts2_joy","1","0","20121","101711","0.8","-68","102","1201210002"
"-42","3","travel_topdrama_r_2012_empty","5","0","20121","3","0.8","-68","103","1201210003"
"0","0","mana","5","0","20121","0","1","-75","110","1201210004"
"","0","","91","","20121","","","","","1201210005"
"","10","","93","","20121","0","","","","1201210006"
"","1201210006","","101","","20121","","","","","1201210007"
"","0","","3","","20121","none","0","","0","1201210008"
"","0","","91","","20121","","","","","1201210009"
"","101011","","13","","20122","104","","","","1201220001"
"","101711","","13","","20122","105","","","","1201220002"
"travel_topdrama_r_2000_talk_sad_loop","101011","","3","","20122","travel_topdrama_r_2000_talk_sad_in","0.2","1","0","1201220003"
"0","vo_travel_talk","","21","","20122","vo_travel_talk_20012_00","","","0","1201220004"
"1","101011","0","11","0","20122","冒險還真辛苦呢～\n人家已經有點累了，\n香織還很有精神呢～？","0","1","10","1201220005"
"","0","","91","","20122","","","","","1201220006"
"","101011","","3","","20122","travel_topdrama_r_2000_idle_sad","0.2","","1","1201220007"
"travel_topdrama_r_2012_raise_loop_talk","101711","","3","","20122","travel_topdrama_r_2012_raise_in","0.2","1","0","1201220008"
"travel_topdrama_r_2012_raise_loop_talk","3","","3","","20122","travel_topdrama_r_2012_raise_in","0.2","1","0","1201220009"
"0","vo_travel_talk","","21","","20122","vo_travel_talk_20012_01","","","0","1201220010"
"1","101711","0","11","0","20122","都是多虧開口笑呢～♪\n又甜又吃得飽肚子，\n也分一些給真步吧～","0","1","10","1201220011"
"","0","","91","","20122","","","","","1201220012"
"","101711","","3","","20122","travel_topdrama_r_2012_raise_loop_idle","0.2","","1","1201220013"
"","3","","3","","20122","travel_topdrama_r_2012_raise_loop_talk","0.2","","1","1201220014"
"travel_topdrama_r_2000_talk_smile_loop","101011","","3","","20122","travel_topdrama_r_2000_talk_smile_in","0.2","1","0","1201220015"
"0","vo_travel_talk","","21","","20122","vo_travel_talk_20012_02","","","0","1201220016"
"1","101011","0","11","0","20122","謝謝妳呀～♪\n把這給吃下去，人家也要像香織\n一樣有精神的繼續冒險～♪","0","1","10","1201220017"
"","0","","91","","20122","","","","","1201220018"
"","101011","","3","","20122","travel_topdrama_r_2000_idle_smile","0.2","","1","1201220019"
"","","","112","","20122","","","","","1201220020"
"","0","","91","","20122","","","","","1201220021"
