6cee17293e7d5cbf3ba0c2b5046e9f6771a0ab044f0cce996d4bf8618557d87a,2963fa1d2972cb681368982a2b3035265143e7663b7261c2dde2150852f9ebb3,ac4f82798641707b94e52fb8f5dea06ebca6a774d3704be03a4f27e764e4958b,177ea66d39694ab98393d723d622b7c9aa3daecf47ace1e89b9e171851f885c1,fa5cf1a6578bb26984f2f9d7faffca39ba3023ab02defa68a4b2d56f95eb956c,04f6ba3e53e922361e4ee0dff8c2e755357a204eccecd5b8dac7300bb73158a1,09731e2ce9e4787f827542fb591374a0e89f25bd293ad59caaf0285468e6539a,725a2616208147b24d3817e5754ccb68ae5664f96b5c5c29d0da4a8ef9af950a,f515dd3a0a42a11fde6d1b94cd927b808206c5bf2b2f0279b6fa737f754bea67,dd8f529c601d9f3d7d498b8840c87e4945a4f6e6095e73ef37b580416501a00d,8f7006990ca987874815cd64e20e92c72d070a94a2b0e2b52ae05aac0ad41dee,b035763d161fb1b0e04466d35e31039139608f5f7dfdf085cba087863c767715
"0","0","1130047","0","0","47","1","1.105","0","0","13","4"
"0.759","396","1130048","7","0","48","0","0","322","0","13","1"
"0","0","1130049","0","0","49","1","0.759","0","0","13","4"
"1.136","134","1130050","8","0","50","0","0","0","0","13","1"
"0","0","1130051","0","0","51","1","1.533","0","0","13","4"
"1.347","360","1130052","8","0","52","0","0","134","0","13","1"
"0","0","1130053","0","0","53","1","1.518","0","0","13","4"
"0.981","360","1130054","8","0","54","0","0","360","0","13","1"
"0","0","1130055","0","0","55","1","1.862","0","0","13","4"
"0","0","1130056","0","0","56","3","5","0","0","13","4"
"0","0","1130057","0","vo_nyx_0207","57","0","0","0","vo_nyx","13","2"
"0.44","36","1130058","9","0","58","0","0","0","0","13","1"
"0","0","1130059","0","0","59","1","0.9","0","0","13","4"
"1.404","276","1130060","9","0","60","0","0","36","0","13","1"
"0","0","1130061","0","0","61","1","1.74","0","0","13","4"
"0.986","325","1130062","9","0","62","0","0","276","0","13","1"
"0","0","1130063","0","0","63","1","0","0","0","13","4"
"0.437","377","1130064","9","0","64","0","0","325","0","13","1"
"0","0","1130065","0","0","65","1","0","0","0","13","4"
"1.317","376","1130066","10","0","66","0","0","0","0","13","1"
"0","0","1130067","0","0","67","1","1.317","0","0","13","4"
"2.659","376","1130068","10","0","68","0","0","376","0","13","1"
"0","0","1130069","0","0","69","1","0","0","0","13","4"
"1.834","190","1130070","11","0","70","0","0","0","0","13","1"
"0","0","1130071","0","0","71","1","6.509","0","0","13","4"
"0","0","1130072","0","vo_nyx_0208","72","0","0","0","vo_nyx","13","2"
"1.574","110","1130073","12","0","73","0","0","0","0","13","1"
"0","0","1130074","0","0","74","1","2.083","0","0","13","4"
"1.236","270","1130075","12","0","75","0","0","110","0","13","1"
"0","0","1130076","0","0","76","1","1.443","0","0","13","4"
"0.869","345","1130077","12","0","77","0","0","270","0","13","1"
"0","0","1130078","0","0","78","1","1.288","0","0","13","4"
"0.48","141","1130079","13","0","79","0","0","0","0","13","1"
"0","0","1130080","0","0","80","1","0.81","0","0","13","4"
"0.789","141","1130081","13","0","81","0","0","141","0","13","1"
"0","0","1130082","0","0","82","1","1.627","0","0","13","4"
"0","0","1130083","0","vo_nyx_0209","83","0","0","0","vo_nyx","13","2"
"0.707","250","1130084","13","0","84","0","0","141","0","13","1"
"0","0","1130085","0","0","85","1","2.507","0","0","13","4"
"0","0","1140001","0","0","1","3","1","0","0","14","4"
"0","0","1140002","0","vo_nyx_0301","2","0","0","0","vo_nyx","14","2"
"1.075","105","1140003","1","0","3","0","0","0","0","14","1"
"0","0","1140004","0","0","4","1","1.692","0","0","14","4"
"2.843","360","1140005","1","0","5","0","0","105","0","14","1"
"0","0","1140006","0","0","6","1","4","0","0","14","4"
"0","0","1140007","0","vo_nyx_0302","7","0","0","0","vo_nyx","14","2"
"1.567","74","1140008","2","0","8","0","0","0","0","14","1"
"0","0","1140009","0","0","9","1","1.964","0","0","14","4"
"0.78","230","1140010","2","0","10","0","0","74","0","14","1"
"0","0","1140011","0","0","11","1","2.076","0","0","14","4"
"0","0","1140012","0","vo_nyx_0303","12","0","0","0","vo_nyx","14","2"
"1.037","88","1140013","3","0","13","0","0","0","0","14","1"
"0","0","1140014","0","0","14","1","1.629","0","0","14","4"
"2.027","266","1140015","3","0","15","0","0","88","0","14","1"
"0","0","1140016","0","0","16","1","3.568","0","0","14","4"
"0","0","1140017","0","0","17","3","2","0","0","14","4"
"0","0","1140018","0","vo_nyx_0304","18","0","0","0","vo_nyx","14","2"
"1.38","380","1140019","3","0","19","0","0","266","0","14","1"
"0","0","1140020","0","0","20","1","1.419","0","0","14","4"
"0.491","150","1140021","4","0","21","0","0","0","0","14","1"
"0","0","1140022","0","0","22","1","0.545","0","0","14","4"
"2.409","345","1140023","4","0","23","0","0","150","0","14","1"
"0","0","1140024","0","0","24","1","3.711","0","0","14","4"
"0","0","1140025","0","vo_nyx_0305","25","0","0","0","vo_nyx","14","2"
"0.892","74","1140026","5","0","26","0","0","0","0","14","1"
"0","0","1140027","0","0","27","1","1.458","0","0","14","4"
"2.495","325","1140028","5","0","28","0","0","74","0","14","1"
"0","0","1140029","0","0","29","1","3.134","0","0","14","4"
"0.599","46","1140030","6","0","30","0","0","0","0","14","1"
"0","0","1140031","0","0","31","1","0.599","0","0","14","4"
"1.855","245","1140032","6","0","32","0","0","46","0","14","1"
"0","0","1140033","0","0","33","1","3.373","0","0","14","4"
"0","0","1140034","0","vo_nyx_0306","34","0","0","0","vo_nyx","14","2"
"1.629","175","1140035","7","0","35","0","0","0","0","14","1"
"0","0","1140036","0","0","36","1","3.34","0","0","14","4"
"0","0","1140037","0","vo_nyx_0307","37","0","0","0","vo_nyx","14","2"
"1.079","135","1140038","8","0","38","0","0","0","0","14","1"
"0","0","1140039","0","0","39","1","1.6","0","0","14","4"
"2.353","280","1140040","8","0","40","0","0","135","0","14","1"
"0","0","1140041","0","0","41","1","3.511","0","0","14","4"
"0","0","1140042","0","vo_nyx_0308","42","0","0","0","vo_nyx","14","2"
"0.511","400","1140043","8","0","43","0","0","280","0","14","1"
"0","0","1140044","0","0","44","1","0.511","0","0","14","4"
"1.154","148","1140045","9","0","45","0","0","0","0","14","1"
"0","0","1140046","0","0","46","1","1.511","0","0","14","4"
"3.186","405","1140047","9","0","47","0","0","148","0","14","1"
"0","0","1140048","0","0","48","1","4.034","0","0","14","4"
"0","0","1140049","0","vo_nyx_0309","49","0","0","0","vo_nyx","14","2"
"3.486","405","1140050","10","0","50","0","0","0","0","14","1"
"0","0","1140051","0","0","51","1","4.563","0","0","14","4"
"0","0","1140052","0","vo_nyx_0310","52","0","0","0","vo_nyx","14","2"
"0.815","150","1140053","11","0","53","0","0","0","0","14","1"
"0","0","1140054","0","0","54","1","2.384","0","0","14","4"
"0","0","1140055","0","vo_nyx_0311","55","0","0","0","vo_nyx","14","2"
"1.726","191","1140056","12","0","56","0","0","0","0","14","1"
"0","0","1140057","0","0","57","1","2.212","0","0","14","4"
"2.239","360","1140058","12","0","58","0","0","191","0","14","1"
"0","0","1140059","0","0","59","1","2.898","0","0","14","4"
"0.691","398","1140060","12","0","60","0","0","360","0","14","1"
"0","0","1140061","0","0","61","3","0","0","0","14","4"
"0","0","1140062","0","0","62","1","0.691","0","0","14","4"
"0.499","134","1140063","13","0","63","0","0","0","0","14","1"
"0","0","1140064","0","0","64","1","1.799","0","0","14","4"
"0","0","1140065","0","0","65","3","4","0","0","14","4"
"0","0","1140066","0","vo_nyx_0312","66","0","0","0","vo_nyx","14","2"
"0.674","375","1140067","13","0","67","0","0","134","0","14","1"
"0","0","1140068","0","0","68","1","1.251","0","0","14","4"
"0.959","375","1140069","13","0","69","0","0","375","0","14","1"
"0","0","1140070","0","0","70","1","1.676","0","0","14","4"
"1.894","375","1140071","13","0","71","0","0","375","0","14","1"
"0","0","1140072","0","0","72","1","1.894","0","0","14","4"
"0.844","120","1140073","14","0","73","0","0","0","0","14","1"
"0","0","1140074","0","0","74","1","2.644","0","0","14","4"
"0","0","1220001","0","0","1","3","1","0","0","22","4"
"0","0","1220002","0","vo_nyx_0401","2","0","0","0","vo_nyx","22","2"
"1.578","272","1220003","1","0","3","0","0","0","0","22","1"
"0","0","1220004","0","0","4","1","2.06","0","0","22","4"
"1.339","325","1220005","1","0","5","0","0","272","0","22","1"
"0","0","1220006","0","0","6","1","1.417","0","0","22","4"
"1.412","229","1220007","2","0","7","0","0","0","0","22","1"
"0","0","1220008","0","0","8","1","2.549","0","0","22","4"
"0","0","1220009","0","vo_nyx_0402","9","0","0","0","vo_nyx","22","2"
"1.74","360","1220010","2","0","10","0","0","229","0","22","1"
"0","0","1220011","0","0","11","1","2.249","0","0","22","4"
"0.455","390","1220012","2","0","12","0","0","360","0","22","1"
"0","0","1220013","0","0","13","1","0.455","0","0","22","4"
"1.361","188","1220014","3","0","14","0","0","0","0","22","1"
"0","0","1220015","0","0","15","1","2.433","0","0","22","4"
"0","0","1220016","0","vo_nyx_0403","16","0","0","0","vo_nyx","22","2"
"0.438","40","1220017","4","0","17","0","0","0","0","22","1"
"0","0","1220018","0","0","18","1","0.976","0","0","22","4"
"1.414","256","1220019","4","0","19","0","0","40","0","22","1"
"0","0","1220020","0","0","20","1","2.433","0","0","22","4"
"0","0","1220021","0","vo_nyx_0404","21","0","0","0","vo_nyx","22","2"
"1.829","119","1220022","5","0","22","0","0","0","0","22","1"
"0","0","1220023","0","0","23","1","2.237","0","0","22","4"
"1.018","340","1220024","5","0","24","0","0","119","0","22","1"
"0","0","1220025","0","0","25","1","1.965","0","0","22","4"
"0","0","1220026","0","0","26","3","2","0","0","22","4"
"0","0","1220027","0","vo_nyx_0405","27","0","0","0","vo_nyx","22","2"
"0.455","392","1220028","5","0","28","0","0","340","0","22","1"
"0","0","1220029","0","0","29","1","0.455","0","0","22","4"
"0.586","52","1220030","6","0","30","0","0","0","0","22","1"
"0","0","1220031","0","0","31","1","1.124","0","0","22","4"
"1.953","221","1220032","6","0","32","0","0","52","0","22","1"
"0","0","1220033","0","0","33","1","2.356","0","0","22","4"
"1.083","375","1220034","6","0","34","0","0","221","0","22","1"
"0","0","1220035","0","0","35","1","1.083","0","0","22","4"
"0.71","74","1220036","7","0","36","0","0","0","0","22","1"
"0","0","1220037","0","0","37","1","1.533","0","0","22","4"
"0.947","210","1220038","7","0","38","0","0","74","0","22","1"
"0","0","1220039","0","0","39","3","2","0","0","22","4"
"0","0","1220040","0","0","40","1","1.349","0","0","22","4"
"0.87","329","1220041","7","0","41","0","0","210","0","22","1"
"0","0","1220042","0","0","42","1","0.87","0","0","22","4"
"1.758","203","1220043","8","0","43","0","0","0","0","22","1"
"0","0","1220044","0","0","44","1","2.198","0","0","22","4"
"1.601","342","1220045","8","0","45","0","0","203","0","22","1"
"0","0","1220046","0","0","46","1","2.097","0","0","22","4"
"0.546","393","1220047","8","0","47","0","0","342","0","22","1"
"0","0","1220048","0","0","48","1","0.546","0","0","22","4"
"1.277","390","1220049","9","0","49","0","0","0","0","22","1"
"0","0","1220050","0","0","50","1","1.656","0","0","22","4"
"2.113","390","1220051","9","0","51","0","0","390","0","22","1"
"0","0","1220052","0","0","52","1","3.362","0","0","22","4"
"0","0","1220053","0","0","53","3","3","0","0","22","4"
"0","0","1220054","0","vo_nyx_0406","54","0","0","0","vo_nyx","22","2"
"2.628","259","1220055","10","0","55","0","0","0","0","22","1"
"0","0","1220056","0","0","56","1","3.131","0","0","22","4"
"0.846","345","1220057","10","0","57","0","0","259","0","22","1"
"0","0","1220058","0","0","58","1","1.249","0","0","22","4"
"0.516","396","1220059","10","0","59","0","0","345","0","22","1"
"0","0","1220060","0","0","60","1","0.593","0","0","22","4"
"2.285","318","1220061","11","0","61","0","0","0","0","22","1"
"0","0","1220062","0","0","62","1","3.475","0","0","22","4"
"0","0","1220063","0","0","63","3","4","0","0","22","4"
"0","0","1220064","0","vo_nyx_0407","64","0","0","0","vo_nyx","22","2"
"2.326","258","1220065","12","0","65","0","0","0","0","22","1"
"0","0","1220066","0","0","66","1","2.872","0","0","22","4"
"1.488","395","1220067","12","0","67","0","0","258","0","22","1"
"0","0","1220068","0","0","68","1","1.488","0","0","22","4"
"1.728","220","1220069","13","0","69","0","0","0","0","22","1"
"0","0","1220070","0","0","70","1","2.711","0","0","22","4"
"0","0","1220071","0","vo_nyx_0408","71","0","0","0","vo_nyx","22","2"
"0.408","22","1220072","15","0","72","0","0","0","0","22","1"
"0","0","1220073","0","0","73","1","0.929","0","0","22","4"
"1.122","184","1220074","15","0","74","0","0","22","0","22","1"
"0","0","1220075","0","0","75","1","2.922","0","0","22","4"
"0","0","1230001","0","0","1","3","1","0","0","23","4"
"0","0","1230002","0","vo_nyx_0501","2","0","0","0","vo_nyx","23","2"
"3.048","390","1230003","1","0","3","0","0","0","0","23","1"
"0","0","1230004","0","0","4","1","3.048","0","0","23","4"
"0.731","67","1230005","2","0","5","0","0","0","0","23","1"
"0","0","1230006","0","0","6","1","1.507","0","0","23","4"
"0","0","1230007","0","vo_nyx_0502","7","0","0","0","vo_nyx","23","2"
"2.093","323","1230008","2","0","8","0","0","67","0","23","1"
"0","0","1230009","0","0","9","1","2.341","0","0","23","4"
"0.644","378","1230010","2","0","10","0","0","323","0","23","1"
"0","0","1230011","0","0","11","1","0.993","0","0","23","4"
"1.737","202","1230012","3","0","12","0","0","0","0","23","1"
"0","0","1230013","0","0","13","1","2.616","0","0","23","4"
"0","0","1230014","0","vo_nyx_0503","14","0","0","0","vo_nyx","23","2"
"1.866","395","1230015","3","0","15","0","0","202","0","23","1"
"0","0","1230016","0","0","16","1","1.866","0","0","23","4"
"1.039","135","1230017","4","0","17","0","0","0","0","23","1"
"0","0","1230018","0","0","18","1","1.496","0","0","23","4"
"1.355","305","1230019","4","0","19","0","0","135","0","23","1"
"0","0","1230020","0","0","20","1","2.334","0","0","23","4"
"0","0","1230021","0","vo_nyx_0504","21","0","0","0","vo_nyx","23","2"
"0.422","35","1230022","6","0","22","0","0","0","0","23","1"
"0","0","1230023","0","0","23","1","0.845","0","0","23","4"
"2.026","360","1230024","6","0","24","0","0","35","0","23","1"
"0","0","1230025","0","0","25","1","2.563","0","0","23","4"
"0","0","1230026","0","vo_nyx_0505","26","0","0","0","vo_nyx","23","2"
"0.865","68","1230027","8","0","27","0","0","0","0","23","1"
"0","0","1230028","0","0","28","1","1.207","0","0","23","4"
"1.873","360","1230029","8","0","29","0","0","68","0","23","1"
"0","0","1230030","0","0","30","1","2.166","0","0","23","4"
"2.558","360","1230031","9","0","31","0","0","0","0","23","1"
"0","0","1230032","0","0","32","3","2","0","0","23","4"
"0","0","1230033","0","0","33","1","3.202","0","0","23","4"
"2.381","221","1230034","10","0","34","0","0","0","0","23","1"
"0","0","1230035","0","0","35","1","2.938","0","0","23","4"
"0","0","1230036","0","vo_nyx_0506","36","0","0","0","vo_nyx","23","2"
"1.241","410","1230037","10","0","37","0","0","221","0","23","1"
"0","0","1230038","0","0","38","1","1.657","0","0","23","4"
"2.871","375","1230039","11","0","39","0","0","0","0","23","1"
"0","0","1230040","0","0","40","3","3","0","0","23","4"
"0","0","1230041","0","0","41","1","3.435","0","0","23","4"
"0","0","1230042","0","vo_nyx_0507","42","0","0","0","vo_nyx","23","2"
"0.717","103","1230043","12","0","43","0","0","0","0","23","1"
"0","0","1230044","0","0","44","1","1.026","0","0","23","4"
"2.843","395","1230045","12","0","45","0","0","103","0","23","1"
"0","0","1230046","0","0","46","1","3.603","0","0","23","4"
"0","0","1230047","0","vo_nyx_0508","47","0","0","0","vo_nyx","23","2"
"1.417","138","1230048","13","0","48","0","0","0","0","23","1"
"0","0","1230049","0","0","49","1","2.029","0","0","23","4"
"1.78","355","1230050","13","0","50","0","0","138","0","23","1"
"0","0","1230051","0","0","51","1","3.58","0","0","23","4"
"0","0","1240001","0","0","1","3","1","0","0","24","4"
"0","0","1240002","0","vo_nyx_0601","2","0","0","0","vo_nyx","24","2"
"0.945","92","1240003","1","0","3","0","0","0","0","24","1"
"0","0","1240004","0","0","4","1","1.808","0","0","24","4"
"0","0","1240005","0","vo_nyx_0602","5","0","0","0","vo_nyx","24","2"
"3.225","395","1240006","2","0","6","0","0","0","0","24","1"
"0","0","1240007","0","0","7","1","4.362","0","0","24","4"
"0","0","1240008","0","vo_nyx_0603","8","0","0","0","vo_nyx","24","2"
"2.828","392","1240009","3","0","9","0","0","0","0","24","1"
"0","0","1240010","0","0","10","1","4.36","0","0","24","4"
"0","0","1240011","0","vo_nyx_0604","11","0","0","0","vo_nyx","24","2"
"1.212","87","1240012","4","0","12","0","0","0","0","24","1"
"0","0","1240013","0","0","13","1","2.171","0","0","24","4"
"1.656","350","1240014","4","0","14","0","0","87","0","24","1"
"0","0","1240015","0","0","15","1","2.769","0","0","24","4"
"0","0","1240016","0","vo_nyx_0605","16","0","0","0","vo_nyx","24","2"
"0.168","24","1240017","5","0","17","0","0","0","0","24","1"
"0","0","1240018","0","0","18","1","1.256","0","0","24","4"
"0.478","98","1240019","5","0","19","0","0","24","0","24","1"
"0","0","1240020","0","0","20","1","0.535","0","0","24","4"
"0.735","150","1240021","5","0","21","0","0","98","0","24","1"
"0","0","1240022","0","0","22","1","2.444","0","0","24","4"
"0","0","1240023","0","vo_nyx_0606","23","0","0","0","vo_nyx","24","2"
"1.607","112","1240024","7","0","24","0","0","0","0","24","1"
"0","0","1240025","0","0","25","1","2.16","0","0","24","4"
"2.119","400","1240026","7","0","26","0","0","112","0","24","1"
"0","0","1240027","0","0","27","1","2.647","0","0","24","4"
"1.802","182","1240028","8","0","28","0","0","0","0","24","1"
"0","0","1240029","0","0","29","3","2","0","0","24","4"
"0","0","1240030","0","0","30","1","2.817","0","0","24","4"
"0","0","1240031","0","vo_nyx_0607","31","0","0","0","vo_nyx","24","2"
"1.981","395","1240032","8","0","32","0","0","182","0","24","1"
"0","0","1240033","0","0","33","1","2.842","0","0","24","4"
"1.894","172","1240034","9","0","34","0","0","0","0","24","1"
"0","0","1240035","0","0","35","1","3.737","0","0","24","4"
"0","0","1240036","0","vo_nyx_0608","36","0","0","0","vo_nyx","24","2"
"0.82","209","1240037","9","0","37","0","0","172","0","24","1"
"0","0","1240038","0","0","38","1","1.754","0","0","24","4"
"2.752","400","1240039","9","0","39","0","0","209","0","24","1"
"0","0","1240040","0","0","40","1","3.272","0","0","24","4"
"0","0","1240041","0","0","41","3","3","0","0","24","4"
"0","0","1240042","0","vo_nyx_0609","42","0","0","0","vo_nyx","24","2"
"1.283","100","1240043","11","0","43","0","0","0","0","24","1"
"0","0","1240044","0","0","44","1","2.322","0","0","24","4"
"0","0","1240045","0","0","45","3","4","0","0","24","4"
"0","0","1240046","0","vo_nyx_0610","46","0","0","0","vo_nyx","24","2"
"0.86","75","1240047","12","0","47","0","0","0","0","24","1"
"0","0","1240048","0","0","48","1","0.86","0","0","24","4"
"1.242","75","1240049","12","0","49","0","0","75","0","24","1"
"0","0","1240050","0","0","50","1","2.086","0","0","24","4"
"0","0","1240051","0","0","51","3","5","0","0","24","4"
"0","0","1240052","0","vo_nyx_0611","52","0","0","0","vo_nyx","24","2"
"0.735","242","1240053","12","0","53","0","0","75","0","24","1"
"0","0","1240054","0","0","54","1","1.789","0","0","24","4"
"0","0","1240055","0","vo_nyx_0612","55","0","0","0","vo_nyx","24","2"
"1","80","1240056","13","0","56","0","0","0","0","24","1"
"0","0","1240057","0","0","57","1","2.104","0","0","24","4"
"0","0","1240058","0","0","58","3","6","0","0","24","4"
"0","0","1240059","0","vo_nyx_0613","59","0","0","0","vo_nyx","24","2"
