f9aa62038233dacf8d961dcc1d03ed20b8e89d6f188540c19cc43dfa702a4ca0,b2ba1a645f38e0aee03e42cc67d12efc5758e93fc2a82a160f7324f4e2754b6c,2ce7a9c23e3eb0f39f42cf965affbe4db0f4a29f309860c8ca8a93cd1ae9878c,a64bf03441246c09c5e85f1488e08ca3a9d6252d2b9b80c2b3b9af25b7d9a5d8,bda828fc80718fb36c19b44684ee50e0b9259da6089781a040bdbfd7e67c6d28,b0881b96a8c5ca0b130d43174e2a41f7ddc9f9d300544a5553162d88ed4665d5,dbc67a27264ded62d8fb5f8ccf0c3d00218b5ab762870735abe38cec318b7968,8dc79abd42bea6a176dbbc2a559e01bd47d583a5880fb26c832a02c0d143058e,a67fb15a8be9e0c2afd10a8ff76349d72d38b2cc0b9cffdea79205988995048b,290a966a908d1d8a826c20251f05e2216f109d1824c459486c8c791f98d2d8c8,29808e2c9802d2ad5631b614522a900eb521e2890a9b5c7402bbfebf0aa4fa38,2911fa84961ededcf43582a278a114c05df596f7ef4e4db7b580dc3dd455b740,71707cd4b5439efbd24a8ff4b91c4c1dd963c7d3ce08b5c339484d8f818dd1cd,b2760714d8ffbf4a005b86e6077793625ce7c1d1ae415f2256c9e340ba5e2ecd
"100000","1.5","1","1.7","10077","0","0","1007705","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","10077","0","10","1007705","-47","0","-32","3","-23","0"
"100000","0.92","1","0.84","10088","10088101","10","1008801","-25","0.03","-13","1","-50","0"
"100000","0.8","0","0.7","10088","0","0","1008801","-25","0","13","2","-50","0"
"100000","0.92","1","0.84","10088","10088201","10","1008802","-25","0.03","-13","1","-50","0"
"100000","0.8","0","0.7","10088","0","0","1008802","-25","0","13","2","-50","0"
"100000","0.92","1","0.84","10088","10088301","10","1008803","-25","0.03","-13","1","-50","0"
"100000","0.8","0","0.7","10088","0","0","1008803","-25","0","13","2","-50","0"
"100000","0.92","1","0.7","10088","10088401","10","1008804","-30","0.03","-17","1","-50","0"
"100000","0.8","0","0.6","10088","0","0","1008804","-30","0","30","2","-50","0"
"100000","0.92","1","0.7","10088","0","10","1008805","-30","0.03","-17","1","-50","0"
"100000","0.8","0","0.6","10088","0","0","1008805","-30","0","30","2","-50","0"
"100000","1.5","0","1.7","20029","0","10","2002901","-30","0","30","2","0","0"
"100000","1.5","1","1.7","20029","20029101","0","2002901","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","20029","0","10","2002901","-47","0","-32","3","-23","0"
"100000","1.5","0","1.7","20029","0","10","2002902","-30","0","30","2","0","0"
"100000","1.5","1","1.7","20029","0","0","2002902","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","20029","0","10","2002902","-47","0","-32","3","-23","0"
"100000","1.5","0","1.7","20029","0","10","2002903","-30","0","30","2","0","0"
"100000","1.5","1","1.7","20029","0","0","2002903","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","20029","0","10","2002903","-47","0","-32","3","-23","0"
"100000","1.5","0","1.7","20029","0","10","2002904","-30","0","30","2","0","0"
"100000","1.5","1","1.7","20029","0","0","2002904","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","20029","0","10","2002904","-47","0","-32","3","-23","0"
"100000","1.5","0","1.7","20029","0","10","2002905","-30","0","30","2","0","0"
"100000","1.5","1","1.7","20029","0","0","2002905","25","0.03","-17","1","-40","0"
"100000","1.5","0","1.7","20029","0","10","2002905","-47","0","-32","3","-23","0"
"100000","0.92","1","0.84","10115","10115101","10","1011501","-25","0.03","-13","1","-50","0"
"100000","0.8","0","0.7","10115","0","0","1011501","-25","0","13","2","-50","0"
"100000","0.92","1","0.84","10115","10115201","10","1011502","-25","0.03","-13","1","-50","0"
"100000","0.8","0","0.7","10115","0","0","1011502","-25","0","13","2","-50","0"
"100000","0.92","1","0.84","10115","10115301","10","1011503","-25","0.03","-13","1","-50","0"
"100000","0.8","0","0.7","10115","0","0","1011503","-25","0","13","2","-50","0"
"100000","0.92","1","0.7","10115","10115401","10","1011504","-30","0.03","-17","1","-50","0"
"100000","0.8","0","0.6","10115","0","0","1011504","-30","0","30","2","-50","0"
"100000","0.92","1","0.7","10115","0","10","1011505","-30","0.03","-17","1","-50","0"
"100000","0.8","0","0.6","10115","0","0","1011505","-30","0","30","2","-50","0"
"100000","0.92","1","0.84","20048","0","10","2004801","-25","0.03","-13","1","-50","0"
"100000","0.8","0","0.7","20048","0","0","2004801","-25","0","13","2","-50","0"
"100000","0.92","1","0.84","20048","0","10","2004802","-25","0.03","-13","1","-50","0"
"100000","0.8","0","0.7","20048","0","0","2004802","-25","0","13","2","-50","0"
"100000","0.92","1","0.84","20048","0","10","2004803","-25","0.03","-13","1","-50","0"
"100000","0.8","0","0.7","20048","0","0","2004803","-25","0","13","2","-50","0"
