3f96951f1d847ffc83b07607736a2213a8fb0c76a241faced1a29aaa9b5ee693,2732c329c09928fa8a41af1d9cd4e89089eccefcd0511802a18ed7dfb2ab1d35,8511d0c67fc20231180c8891445b6697c4ca3e0566c17c95c8fc993e6bba3ea1,7310c6bc5769d8bdf99f9eb8552b6b2fdeb5e3b34a62e6e680c48cad9d41f372
"110701","303","106","201"
"110801","301","103","201"
"110901","301","107","201"
"111001","305","110","203"
"111101","304","109","204"
"111201","303","107","201"
"111301","301","102","201"
"111401","304","109","204"
"111501","301","101","202"
"111601","302","108","202"
"111701","304","109","204"
"111801","302","102","202"
"111901","303","104","201"
"112001","304","109","204"
"112101","305","110","203"
"112201","305","109","203"
"112301","301","106","201"
"112401","301","101","201"
"112501","302","101","202"
"112601","304","109","204"
"112701","303","104","201"
"112801","303","104","202"
"112901","301","106","201"
"113001","303","104","201"
"113101","301","101","202"
"113201","304","109","204"
"113301","304","109","204"
"113401","304","109","204"
"113501","305","110","203"
"113601","301","102","202"
"113701","305","110","204"
"113801","304","109","204"
"113901","303","103","201"
"114001","301","101","202"
"114101","303","107","201"
"114201","303","101","201"
"114301","301","101","201"
"114401","301","102","202"
"114501","302","108","202"
"114601","303","102","202"
"114701","302","103","201"
"115001","304","109","204"
"115501","301","103","201"
"115601","305","110","203"
"115701","305","110","203"
"115801","301","102","202"
"115901","301","102","202"
"116001","305","110","203"
"116201","301","103","201"
"116301","301","107","201"
"116401","305","110","203"
"116501","303","105","202"
"116601","301","107","201"
"116701","303","106","201"
"116801","301","103","201"
"116901","301","104","202"
"117001","301","105","201"
"117101","303","102","202"
"117201","301","101","202"
"117301","305","110","203"
"117401","303","107","201"
"117501","303","102","201"
"117601","305","110","203"
"117701","301","107","201"
"117801","303","102","202"
"117901","301","106","201"
"118001","301","103","201"
"118101","305","109","204"
"118201","305","109","204"
"118501","305","110","203"
"118601","305","110","203"
"119001","305","110","204"
"119101","304","109","204"
"119201","303","104","202"
"119301","301","106","201"
"119901","303","107","201"
"120001","303","102","202"
"120701","301","101","201"
"120801","301","101","201"
"120901","304","109","204"
"121001","301","102","202"
"121101","304","109","204"
"121201","301","101","202"
"121301","302","105","201"
"121401","305","110","203"
"121501","301","104","201"
"121601","301","105","201"
"121901","304","109","204"
"122001","301","105","201"
"122101","301","106","201"
"122201","301","101","201"
"122301","304","109","204"
"122401","303","107","201"
"122501","301","101","201"
"122601","305","109","203"
"122701","304","109","204"
"122801","303","107","201"
"122901","301","102","201"
"123001","305","110","203"
"123101","305","110","203"
"123201","301","105","201"
"123301","301","107","201"
"123501","303","104","202"
"123601","301","101","201"
"123701","305","110","204"
"123801","301","107","202"
"123901","301","103","201"
"124001","304","109","204"
"124101","304","109","204"
"124201","302","102","202"
"124501","305","109","203"
"124601","305","109","203"
"124701","303","102","201"
"124801","301","101","202"
"124901","301","107","201"
"125001","301","103","201"
"125101","301","103","201"
"125201","301","101","202"
"125301","303","104","201"
"125401","301","106","201"
"125501","304","109","204"
"125601","303","105","201"
"125701","305","110","203"
"125801","301","105","201"
"126001","301","101","201"
"126101","305","110","203"
"126201","304","109","204"
"126301","305","110","203"
"126401","301","107","201"
"126501","304","109","204"
"126601","304","109","204"
"126701","301","102","202"
"126801","302","102","202"
"126901","305","109","204"
"127001","302","103","202"
"127101","303","102","201"
"127201","305","109","203"
"127301","301","106","201"
"127501","301","101","202"
"127601","302","108","201"
"127701","305","110","203"
"127801","304","109","204"
"127901","302","108","203"
"128001","301","103","201"
"128301","303","105","202"
"128401","304","109","204"
"128501","305","109","204"
"128701","303","107","201"
"128801","301","101","201"
"128901","304","109","204"
"129001","305","109","203"
"129301","302","105","201"
"129401","301","103","201"
"129501","303","107","201"
"129601","301","103","201"
"129701","303","104","201"
"129801","301","102","202"
"129901","301","105","201"
"130001","303","101","201"
"130101","302","105","201"
"130201","301","102","201"
"130701","304","109","204"
"130801","305","110","203"
"130901","305","109","203"
"131001","305","110","203"
"131101","301","103","201"
"131201","304","109","204"
"131601","301","102","202"
"131701","305","110","203"
"131801","305","109","204"
"131901","304","109","203"
"132001","305","109","204"
"132101","303","105","201"
"132201","304","109","204"
"132301","305","109","203"
"132401","301","102","202"
"132501","305","110","204"
"132801","305","109","204"
"132901","305","109","203"
"133001","303","104","201"
"133101","302","108","201"
"133201","303","101","201"
"133501","304","109","204"
"133601","303","107","201"
"133701","305","109","204"
"133801","305","109","204"
"133901","303","104","201"
"134001","305","110","203"
"134301","305","109","204"
"134401","305","109","203"
"134501","305","109","203"
"134601","303","107","201"
"134701","303","103","201"
"134801","303","107","201"
"134901","303","101","201"
"135001","304","109","203"
"135101","302","101","201"
"135201","304","109","203"
"135301","301","106","201"
"135401","305","109","203"
"135501","301","107","201"
"135601","301","101","202"
"135701","303","107","201"
"135801","305","110","204"
"135901","302","105","201"
"136001","302","107","202"
"136101","301","103","201"
"136201","303","105","201"
"136301","305","109","203"
"136401","302","108","203"
"136501","303","102","202"
"137101","305","109","204"
"137401","305","109","204"
"137601","305","109","204"
"137901","305","109","204"
"138001","302","108","201"
"138101","304","109","204"
"138201","303","104","201"
"138301","302","102","202"
"138701","302","105","201"
"138801","301","106","201"
"138901","303","101","201"
"139001","304","109","204"
"180101","301","107","201"
"180201","304","109","204"
"180301","301","101","202"
"180401","302","102","202"
"180501","303","104","201"
"180601","304","109","204"
"180701","301","106","201"
"180801","303","102","201"
"180901","301","102","202"
"181001","305","109","204"
"181101","301","102","202"
"181201","301","101","201"
