f634c59145be03702016954937d1f0fd2527945f33baf89ac11e1a8135b09711,65a707ba1aee442dad1e48ad7d894968dfa80b13cb0c41c5c87477d11808b391,2d23f716fb60d80ea58b94c25638756255455833687a90fe24f3d61539cc553d,78ac84b3afb7aef168da26ffe7c0e955e2abdf9cc2db3b2a3478cd5ef0974b0a,e2329e55572052dc1df0dcb1ed9602b926e2de11c273e08c2fae75000dfe94a0,d62b45db2b5ccd0a21bffb80fbf82482dcb8f2e426a90d3631b349113f59234c,7860d0d1cffc678cbb6060c53f0806afa6b0899183e306079fc46eca4fe212e1
"180011173","200","180011171","209","18001007","78","180011172"
"180011273","210","180011271","219","18001007","79","180011272"
"180011373","220","180011371","229","18001007","80","180011372"
"180011473","230","180011471","239","18001007","81","180011472"
"180011573","240","180011571","249","18001007","82","180011572"
"180011673","250","180011671","259","18001007","83","180011672"
"180011773","260","180011771","269","18001007","84","180011772"
"180011873","270","180011871","279","18001007","85","180011872"
"180011973","280","180011971","-1","18001007","86","180011972"
"180010183","1","180010181","59","18001008","87","180010182"
"180010283","60","180010281","99","18001008","88","180010282"
"180010383","100","180010381","119","18001008","89","180010382"
"180010483","120","180010481","139","18001008","90","180010482"
"180010583","140","180010581","149","18001008","91","180010582"
"180010683","150","180010681","159","18001008","92","180010682"
"180010783","160","180010781","169","18001008","93","180010782"
"180010883","170","180010881","179","18001008","94","180010882"
"180010983","180","180010981","189","18001008","95","180010982"
"180011083","190","180011081","199","18001008","96","180011082"
"180011183","200","180011181","209","18001008","97","180011182"
"180011283","210","180011281","219","18001008","98","180011282"
"180011383","220","180011381","229","18001008","99","180011382"
"180011483","230","180011481","239","18001008","100","180011482"
"180011583","240","180011581","249","18001008","101","180011582"
"180011683","250","180011681","259","18001008","102","180011682"
"180011783","260","180011781","269","18001008","103","180011782"
"180011883","270","180011881","279","18001008","104","180011882"
"180011983","280","180011981","289","18001008","105","180011982"
"180012083","290","180012081","-1","18001008","106","180012082"
"180010193","1","180010191","59","18001009","107","180010192"
"180010293","60","180010291","99","18001009","108","180010292"
"180010393","100","180010391","119","18001009","109","180010392"
"180010493","120","180010491","139","18001009","110","180010492"
"180010593","140","180010591","149","18001009","111","180010592"
"180010693","150","180010691","159","18001009","112","180010692"
"180010793","160","180010791","169","18001009","113","180010792"
"180010893","170","180010891","179","18001009","114","180010892"
"180010993","180","180010991","189","18001009","115","180010992"
"180011093","190","180011091","199","18001009","116","180011092"
"180011193","200","180011191","209","18001009","117","180011192"
"180011293","210","180011291","219","18001009","118","180011292"
"180011393","220","180011391","229","18001009","119","180011392"
"180011493","230","180011491","239","18001009","120","180011492"
"180011593","240","180011591","249","18001009","121","180011592"
"180011693","250","180011691","259","18001009","122","180011692"
"180011793","260","180011791","269","18001009","123","180011792"
"180011893","270","180011891","279","18001009","124","180011892"
"180011993","280","180011991","289","18001009","125","180011992"
"180012093","290","180012091","299","18001009","126","180012092"
"180012193","300","180012191","309","18001009","127","180012192"
"180012293","310","180012291","319","18001009","128","180012292"
"180012393","320","180012391","329","18001009","129","180012392"
"180012493","330","180012491","-1","18001009","130","180012492"
"190010113","1","190010111","59","19001001","1001","190010112"
"190010213","60","190010211","99","19001001","1002","190010212"
"190010313","100","190010311","119","19001001","1003","190010312"
"190010413","120","190010411","139","19001001","1004","190010412"
"190010513","140","190010511","149","19001001","1005","190010512"
"190010613","150","190010611","159","19001001","1006","190010612"
"190010713","160","190010711","169","19001001","1007","190010712"
"190010813","170","190010811","-1","19001001","1008","190010812"
"190010123","1","190010121","59","19001002","1009","190010122"
"190010223","60","190010221","99","19001002","1010","190010222"
"190010323","100","190010321","119","19001002","1011","190010322"
"190010423","120","190010421","139","19001002","1012","190010422"
"190010523","140","190010521","149","19001002","1013","190010522"
"190010623","150","190010621","159","19001002","1014","190010622"
"190010723","160","190010721","169","19001002","1015","190010722"
"190010823","170","190010821","-1","19001002","1016","190010822"
"190010133","1","190010131","59","19001003","1017","190010132"
"190010233","60","190010231","99","19001003","1018","190010232"
"190010333","100","190010331","119","19001003","1019","190010332"
"190010433","120","190010431","139","19001003","1020","190010432"
"190010533","140","190010531","149","19001003","1021","190010532"
"190010633","150","190010631","159","19001003","1022","190010632"
"190010733","160","190010731","169","19001003","1023","190010732"
"190010833","170","190010831","179","19001003","1024","190010832"
"190010933","180","190010931","189","19001003","1025","190010932"
"190011033","190","190011031","199","19001003","1026","190011032"
"190011133","200","190011131","209","19001003","1027","190011132"
"190011233","210","190011231","219","19001003","1028","190011232"
"190011333","220","190011331","229","19001003","1029","190011332"
"190011433","230","190011431","239","19001003","1030","190011432"
"190011533","240","190011531","249","19001003","1031","190011532"
"190011633","250","190011631","259","19001003","1032","190011632"
"190011733","260","190011731","269","19001003","1033","190011732"
"190011833","270","190011831","279","19001003","1034","190011832"
"190011933","280","190011931","289","19001003","1035","190011932"
"190012033","290","190012031","299","19001003","1036","190012032"
"190012133","300","190012131","309","19001003","1037","190012132"
"190012233","310","190012231","-1","19001003","1038","190012232"
"190010143","1","190010141","59","19001004","1039","190010142"
"190010243","60","190010241","99","19001004","1040","190010242"
"190010343","100","190010341","119","19001004","1041","190010342"
"190010443","120","190010441","139","19001004","1042","190010442"
"190010543","140","190010541","149","19001004","1043","190010542"
"190010643","150","190010641","159","19001004","1044","190010642"
"190010743","160","190010741","169","19001004","1045","190010742"
"190010843","170","190010841","179","19001004","1046","190010842"
"190010943","180","190010941","189","19001004","1047","190010942"
"190011043","190","190011041","199","19001004","1048","190011042"
"190011143","200","190011141","209","19001004","1049","190011142"
"190011243","210","190011241","219","19001004","1050","190011242"
"190011343","220","190011341","229","19001004","1051","190011342"
"190011443","230","190011441","239","19001004","1052","190011442"
"190011543","240","190011541","249","19001004","1053","190011542"
"190011643","250","190011641","259","19001004","1054","190011642"
"190011743","260","190011741","269","19001004","1055","190011742"
"190011843","270","190011841","279","19001004","1056","190011842"
"190011943","280","190011941","289","19001004","1057","190011942"
"190012043","290","190012041","299","19001004","1058","190012042"
"190012143","300","190012141","309","19001004","1059","190012142"
"190012243","310","190012241","319","19001004","1060","190012242"
"190012343","320","190012341","329","19001004","1061","190012342"
"190012443","330","190012441","339","19001004","1062","190012442"
"190012543","340","190012541","349","19001004","1063","190012542"
"190012643","350","190012641","-1","19001004","1064","190012642"
