5a091d3544b4947d3b749daeaa1e0e389d23a38f022a23b6305356029ab41a14,2e2ae0a80bbdf4290453853ff82f8971d4b032f0a58bc21cea5cee8ca625101e,6308da6bb62e97df9da7c4ad2099185950246d5aea1f4242e6b0d59d8d378daf,0a58fc58fdc7b882b6911958129ec46fc5db6170f58cabf09736582571021569,34c7362f11006861443594c8a382166f30577398c68f60b058a2c917c805e995,a68d498d3c4fc6b7741ef6b65752a52d5c5422f785d50d346964ada19ae8a030,d2b1eb121ba6d9f39741c325fa53865fcff8a904b54cac37fad2465aea591965,c09f0f3591cff54f7db296c04b52738c98ede9a2a17a4581a2a040e0e45b80d6,73e02c4fd030f43c404f4dd2b0989fcef6321e86567a8fbf9a9ee5b1db4b6af6,8a24014b8c1527fd017b98531b9d7bf169b5bd56135e83d4159aedee35a14b86,8aad07a89b19a719b8291dd433dcb2d7ab44adea0613761b6e3f87c671d18505
"1040035","","就如小可蘿所說的！\n好，那來練習招牌姿勢吧！\n耶～！","","11","1","1","","10","105831","4"
"1040036","","1","","93","","","","","5.5","4"
"1040037","0.2","omp_psn_11","","3","","","","0","105831","4"
"1040038","","","","91","","","","","1040035","4"
"1040039","0","omp_talk_normal","","3","","","","1","105931","4"
"1040040","","vo_omp_7004_006","","21","0","","","0","vo_omp_7004","4"
"1040041","","好的♪\n如此這般，耶……！","","11","1","1","","10","105931","4"
"1040042","","1","","93","","","","","1.5","4"
"1040043","0.2","omp_psn_11","","3","","1","","0","105931","4"
"1040044","","","","91","","","","","1040041","4"
"1040045","","0","","4","","","","","105931","4"
"1040046","0","omp_idle_normal","","3","","","","1","105931","4"
"1040047","0.2","omp_idle_joy1","","3","","","","1","105831","4"
"1040048","0","omp_idle_tsun","","3","","","","1","106031","4"
"1040049","","vo_omp_7004_007","","21","0","","","0","vo_omp_7004","4"
"1040050","","還「耶～」咧……\n至少也得要做得出這種動作吧！\n——請多指教喵♪","","11","1","1","","10","106031","4"
"1040051","","1","","93","","","","","7","4"
"1040052","0.1","omp_psn_12","","3","","","","0","106031","4"
"1040053","","","","93","","","","","1.5","4"
"1040054","","","","91","","","","","1040050","4"
"1040055","0.2","omp_idle_normal","","3","","","","1","106031","4"
"1040056","0","omp_idle_surprise1","","3","","","","1","105831","4"
"1040057","","vo_omp_7004_008","","21","0","","","0","vo_omp_7004","4"
"1040058","","小、小凱留……","","11","1","1","","10","105831","4"
"1040059","","","","91","","","","","0","4"
"1040060","0","omp_idle_surprise1","","3","","","","1","105831","4"
"1040061","0","omp_talk_sad","","3","","","","1","105931","4"
"1040062","","vo_omp_7004_009","","21","0","","","0","vo_omp_7004","4"
"1040063","","您做得非常專業呢。","","11","1","1","","10","105931","4"
"1040064","","","","91","","","","","0","4"
"1040065","0","omp_idle_sad","","3","","","","1","105931","4"
"1040066","0","omp_surprise","","3","omp_talk_surprise2","1","0.1","0","106031","4"
"1040067","","vo_omp_7004_010","","21","0","","","0","vo_omp_7004","4"
"1040068","","啊……！\n不、不是啦，\n剛才那是反射動作……\n討、討厭！不要看我啦，笨蛋～！","","11","1","1","","10","106031","4"
"1040069","","1","","93","","","","","6.5","4"
"1040070","0.2","omp_talk_tsun","","3","","","","1","106031","4"
"1040071","","","","91","","","","","1040068","4"
"1040072","","","","93","","","","","0.4","4"
"1050001","1.8","112611","omp_talk_joy1","1","-140","-190","0","1500","1","5"
"1050002","1.8","112511","omp_idle_normal","1","140","-190","1","1500","1","5"
"1050003","1","1","","31","0","1","","0","1","5"
"1050004","","","","93","","","","","1","5"
"1050005","","vo_omp_7005_000","","21","0","","","0","vo_omp_7005","5"
"1050006","","我們身為冒險者，\n雖然去過很多地方，\n但這趟旅行是最開心的呢！","","11","1","1","","10","112611","5"
"1050007","","","","91","","","","","0","5"
"1050008","0","omp_idle_joy1","","3","","","","1","112611","5"
"1050009","0","omp_talk_normal","","3","","","","1","112511","5"
"1050010","","vo_omp_7005_001","","21","0","","","0","vo_omp_7005","5"
"1050011","","或許是呢。\n可能因為這趟旅程並非是為了幫助誰，\n而是朝著我們自己的目標邁進的吧。","","11","1","1","","10","112511","5"
"1050012","","","","91","","","","","0","5"
"1050013","0","omp_idle_normal","","3","","","","1","112511","5"
"1050014","0","omp_talk_joy1","","3","","","","1","112611","5"
"1050015","","vo_omp_7005_002","","21","0","","","0","vo_omp_7005","5"
"1050016","","只要我們很樂在其中，\n看著我們的人也能很開心\n的話，那就最棒了。\n能夠實現這個夢想嗎……","","11","1","1","","10","112611","5"
"1050017","","1","","93","","","","","6.2","5"
"1050018","0.2","omp_talk_thinking","","3","","","","1","112611","5"
"1050019","","","","91","","","","","1050016","5"
"1050020","0","omp_idle_thinking","","3","","","","1","112611","5"
"1050021","0","omp_talk_normal2","","3","","","","1","112511","5"
"1050022","","vo_omp_7005_003","","21","0","","","0","vo_omp_7005","5"
"1050023","","如果是未央……不對，\n如果是我們的話一定可以。\n一起加油吧！","","11","1","1","","10","112511","5"
"1050024","","","","91","","","","","0","5"
"1050025","0","omp_idle_calm","","3","","","","1","112511","5"
"1050026","0.1","omp_talk_sad","","3","","","","1","112611","5"
"1050027","","vo_omp_7005_004","","21","0","","","0","vo_omp_7005","5"
"1050028","","澀…澀…","","11","1","1","","10","112611","5"
"1050029","","","","91","","","","","0","5"
"1050030","0","omp_idle_sad","","3","","","","1","112611","5"
"1050031","0","omp_psn_19","","3","","","","1","112511","5"
"1050032","","vo_omp_7005_005","","21","0","","","0","vo_omp_7005","5"
"1050033","","澀…？","","11","1","1","","10","112511","5"
"1050034","","","","91","","","","","0","5"
"1050035","0","omp_psn_18","","3","","","","1","112511","5"
"1050036","0","omp_talk_sad","","3","","","","1","112611","5"
"1050037","","vo_omp_7005_006","","21","0","","","0","vo_omp_7005","5"
"1050038","","澀凜凜妳怎麼一反常態\n這麼溫柔……！？\n妳怎麼了，吃到怪東西了嗎！？","","11","1","1","","10","112611","5"
"1050039","","1","","93","","","","","4.5","5"
"1050040","0.2","omp_talk_surprise2","","3","","","","1","112611","5"
"1050041","","","","91","","","","","1050038","5"
"1050042","0","omp_idle_surprise2","","3","","","","1","112611","5"
"1050043","0","omp_talk_normal","","3","","","","1","112511","5"
"1050044","","vo_omp_7005_007","","21","0","","","0","vo_omp_7005","5"
"1050045","","剛才吃了貪吃佩可的魔物料理……\n唔，妳這樣說好像我平時\n很不溫柔一樣。\n難得我想說要鼓勵妳的……","","11","1","1","","10","112511","5"
"1050046","","1","","93","","","","","3.5","5"
"1050047","0.2","omp_talk_anger","","3","","","","1","112511","5"
"1050048","","","","91","","","","","1050045","5"
"1050049","0","omp_idle_anger","","3","","","","1","112511","5"
"1050050","0","omp_talk_joy1","","3","","","","1","112611","5"
"1050051","","vo_omp_7005_008","","21","0","","","0","vo_omp_7005","5"
"1050052","","欸嘿嘿，抱歉抱歉☆","","11","1","1","","10","112611","5"
"1050053","","","","91","","","","","0","5"
"1050054","0","omp_idle_joy1","","3","","","","1","112611","5"
"1050055","0","omp_talk_sad","","3","","","","1","112511","5"
"1050056","","vo_omp_7005_009","","21","0","","","0","vo_omp_7005","5"
"1050057","","真是的。\n……不過，我剛才說的\n都是真心話哦。","","11","1","1","","10","112511","5"
"1050058","","1","","93","","","","","2","5"
"1050059","0.2","omp_talk_normal","","3","","","","1","112511","5"
"1050060","","","","91","","","","","1050057","5"
"1050061","0","omp_idle_normal","","3","","","","1","112511","5"
"1050062","0","omp_talk_joy2","","3","","","","1","112611","5"
"1050063","","vo_omp_7005_010","","21","0","","","0","vo_omp_7005","5"
"1050064","","嗯！\n謝謝妳，澀凜凜！！","","11","1","1","","10","112611","5"
"1050065","","","","91","","","","","0","5"
"1050066","","","","93","","","","","0.4","5"
"1060001","1.8","112511","omp_talk_normal","1","-180","-195","0","1600","1","6"
"1060002","1.8","112411","omp_idle_normal","1","20","-190","1","1500","1","6"
"1060003","1.8","112611","omp_idle_normal","1","220","-205","1","1600","1","6"
"1060004","1","1","","31","0","1","","0","1","6"
"1060005","","","","93","","","","","1","6"
"1060006","","vo_omp_7006_000","","21","0","","","0","vo_omp_7006","6"
"1060007","","卯月……\n今天的練習，\n妳很有幹勁呢。","","11","1","1","","10","112511","6"
"1060008","","","","91","","","","","0","6"
"1060009","0","omp_idle_normal","","3","","","","1","112511","6"
"1060010","0","omp_talk_joy1","","3","","","","1","112611","6"
"1060011","","vo_omp_7006_001","","21","0","","","0","vo_omp_7006","6"
"1060012","","嗯嗯！\n就連一起練習的我\n都看得出神了～！\n發生什麼事了嗎，島村村？","","11","1","1","","10","112611","6"
"1060013","","","","91","","","","","0","6"
"1060014","","0","","4","","","","","112411","6"
"1060015","0","omp_idle_joy1","","3","","","","1","112611","6"
"1060016","0","omp_talk_joy1","","3","","","","1","112411","6"
"1060017","","vo_omp_7006_002","","21","0","","","0","vo_omp_7006","6"
"1060018","","欸嘿嘿，謝謝妳們！\n嗯……","","11","1","1","","10","112411","6"
"1060019","","","","91","","","","","0","6"
"1060020","0","omp_talk_normal","","3","","","","1","112411","6"
"1060021","","vo_omp_7006_003","","21","0","","","0","vo_omp_7006","6"
"1060022","","我早上一個人練習時，\n有個散步經過的人\n對我說：\n「妳一直都很努力呢」。","","11","1","1","","10","112411","6"
"1060023","","","","91","","","","","0","6"
"1060024","0","omp_talk_thinking","","3","","","","1","112411","6"
"1060025","","vo_omp_7006_004","","21","0","","","0","vo_omp_7006","6"
"1060026","","對那個人來說或許就是\n一句不經意的話，\n卻讓我非常的開心。","","11","1","1","","10","112411","6"
"1060027","","","","91","","","","","0","6"
"1060028","0","omp_talk_normal2","","3","","","","1","112411","6"
"1060029","","vo_omp_7006_005","","21","0","","","0","vo_omp_7006","6"
"1060030","","所以我想要更加更加努力，\n呈現出最棒的表演，\n希望能藉此回應\n他的那句話……","","11","1","1","","10","112411","6"
"1060031","","","","91","","","","","0","6"
"1060032","0","omp_idle_calm","","3","","","","1","112411","6"
"1060033","0","omp_talk_sad","","3","","","","1","112611","6"
"1060034","","vo_omp_7006_006","","21","0","","","0","vo_omp_7006","6"
"1060035","","島村村……！","","11","1","1","","10","112611","6"
"1060036","","","","91","","","","","0","6"
"1060037","","1","","4","","","","","112411","6"
"1060038","0","omp_idle_sad","","3","","","","1","112611","6"
"1060039","0","omp_talk_thinking","","3","","","","1","112511","6"
"1060040","","vo_omp_7006_007","","21","0","","","0","vo_omp_7006","6"
"1060041","","這樣啊，\n既然卯月這樣想，\n我們也會一起努力的！\n未央也是這樣想的吧？","","11","1","1","","10","112511","6"
"1060042","","","","91","","","","","0","6"
"1060043","","0","","4","","","","","112411","6"
"1060044","0","omp_idle_thinking","","3","","","","1","112511","6"
"1060045","0","omp_talk_joy1","","3","","","","1","112611","6"
"1060046","","vo_omp_7006_008","","21","0","","","0","vo_omp_7006","6"
"1060047","","嗯！接下來也三個人\n一起繼續努力吧！\n島村村、澀凜凜！","","11","1","1","","10","112611","6"
"1060048","","","","91","","","","","0","6"
"1060049","","1","","4","","","","","112411","6"
"1060050","0","omp_idle_joy1","","3","","","","1","112611","6"
"1060051","0","omp_talk_joy2","","3","","","","1","112411","6"
"1060052","","vo_omp_7006_009","","21","0","","","0","vo_omp_7006","6"
"1060053","","小凜、未央……！好的！\n讓我們【new generations】\n一起以最棒的偶像為目標努力吧！","","11","1","1","","10","112411","6"
"1060054","","1","","93","","","","","1.2","6"
"1060055","","0","","4","","","","","112411","6"
"1060056","","","","91","","","","","1060053","6"
"1060057","","-180","","2","0","1","","-195","112511","6"
"1060058","","0","","2","0","1","","-190","112411","6"
"1060059","","180","","2","0","1","","-195","112611","6"
"1060060","0.1","omp_psn_dicision_rin","","3","","","","0","112511","6"
"1060061","0.1","omp_psn_dicision_uduki","","3","","","","0","112411","6"
"1060062","0.1","omp_psn_dicision_mio","","3","","","","0","112611","6"
"1060063","1","2","","31","0","1","","0","2","6"
"1060064","","","","91","","","","","1060062","6"
"1060065","","","","93","","","","","0.6","6"
"1070001","1.8","105831","omp_idle_normal","1","-100","-205","0","1600","1","7"
"1070002","1.8","105931","omp_idle_normal","1","-390","-225","0","1600","1","7"
"1070003","1.8","106031","omp_idle_normal","1","-260","-190","0","1500","1","7"
"1070004","1.8","112511","omp_idle_normal","1","250","-185","1","1500","1","7"
"1070005","1.8","112411","omp_idle_normal","1","385","-220","1","1600","1","7"
"1070006","1.8","112611","omp_idle_normal","1","100","-195","1","1600","1","7"
"1070007","1","1","","31","0","1","","0","1","7"
"1070008","","","","93","","","","","0.2","7"
"1070009","0.1","omp_idle_normal","","3","","","","1","112611","7"
"1070010","0","omp_talk_normal","","3","","","","1","112411","7"
"1070011","0.1","omp_idle_normal","","3","","","","1","112511","7"
"1070012","0.1","omp_idle_normal","","3","","","","1","105831","7"
"1070013","","","","93","","","","","0.1","7"
"1070014","","","","93","","","","","1","7"
"1070015","","vo_omp_7007_000","","21","0","","","0","vo_omp_7007","7"
"1070016","","現在想想……一開始的\n快閃演唱會實在是很緊張呢。","","11","1","1","","10","112411","7"
"1070017","","","","91","","","","","0","7"
"1070018","0.1","omp_idle_normal","","3","","","","1","112411","7"
"1070019","0.1","omp_talk_normal","","3","","","","1","105831","7"
"1070020","","vo_omp_7007_001","","21","0","","","0","vo_omp_7007","7"
"1070021","","看得出來妳們很緊張，\n總覺得連我們都緊張起來，\n感覺腸胃都揪在一起了～","","11","1","1","","10","105831","7"
"1070022","","","","91","","","","","0","7"
"1070023","0","omp_idle_normal","","3","","","","1","105831","7"
"1070024","0","omp_talk_worry","","3","","","","1","105931","7"
"1070025","","vo_omp_7007_002","","21","0","","","0","vo_omp_7007","7"
"1070026","","如果是貪吃佩可小姐的話，\n也有可能是空腹才會造成\n腸胃揪在一起的……","","11","1","1","","10","105931","7"
"1070027","","","","91","","","","","0","7"
"1070028","0","omp_idle_worry","","3","","","","1","105931","7"
"1070029","0","omp_talk_normal","","3","","","","1","106031","7"
"1070030","","vo_omp_7007_003","","21","0","","","0","vo_omp_7007","7"
"1070031","","不過的確是呢，當時\n卯月妳們的快閃演唱會\n真的是表演得慘不忍睹呢！","","11","1","1","","10","106031","7"
"1070032","","","","91","","","","","0","7"
"1070033","0","omp_idle_normal","","3","","","","1","106031","7"
"1070034","0","omp_talk_worry","","3","","","","1","112611","7"
"1070035","","vo_omp_7007_004","","21","0","","","0","vo_omp_7007","7"
"1070036","","真是的，凱留凱留～\n不要那樣說嘛～！\n我們自己也很清楚啦～","","11","1","1","","10","112611","7"
"1070037","","","","91","","","","","0","7"
"1070038","0","omp_idle_worry","","3","","","","1","112611","7"
"1070039","0","omp_talk_normal2","","3","","","","1","105931","7"
"1070040","","vo_omp_7007_005","","21","0","","","0","vo_omp_7007","7"
"1070041","","可是，自己振作起來\n再次站上舞台的身姿……\n讓在下十分感動。","","11","1","1","","10","105931","7"
"1070042","","","","91","","","","","0","7"
"1070043","0","omp_idle_calm","","3","","","","1","105931","7"
"1070044","0","omp_talk_normal2","","3","","","","1","112511","7"
"1070045","","vo_omp_7007_006","","21","0","","","0","vo_omp_7007","7"
"1070046","","畢竟我們才不會因為那點小挫折\n就止步不前呢。\n我一直相信卯月和未央\n都一定能振作起來的。","","11","1","1","","10","112511","7"
"1070047","","","","91","","","","","0","7"
"1070048","0","omp_idle_calm","","3","","","","1","112511","7"
"1070049","0","omp_talk_joy1","","3","","","","1","112411","7"
"1070050","","vo_omp_7007_007","","21","0","","","0","vo_omp_7007","7"
