8079b586d1855598dde580383bbdf3e288e396790f63767ef7819ff3421f6e7e,e7e1599545941461124b4e178114722bc655813226b2aada7c0bb86bb6b7daed,7cbc8fe74a43327ef6eae7327593f9549982f65f87d78d2cebc29787e9b393e8,f46ada19a07feba2c7ca013603189eaa0f6673c02f94f3070c2ebb53f39bfbe5,f0651115a4fc467a2c0dafcc37ddb10b8cb2ee18c7577ea1f71f763ed2f50392,7da6a6b835c32b8a2532d2969631786814b3725a6f62a0ec7bf255267fefea90,a9d397943590442afb65a98219e58543ff4ae4891800abf7a250f7bcf121aa8c,2321f04d7cdf0d1ca42281767cc82a50df8dbcd083b0b803de279b10e19a2a87,dcb71ee648d74ce6ef29c1a9bd5885012b1f90549076708e5ba8b6babf6a9784,97fa48b580da979a9c321117682aa7006f82e62e9eebc45b034918ba64fbb53e,fb20c10dae4daafe89b25deba939f75ca3b0540fa832333a11e68b6ae43a9786
"1103010012","0","31","0","2","","1","16","0","","10301"
"1103010013","0","31","0","3","","1","17","0","","10301"
"1103010014","0","31","0","4","","1","18","0","","10301"
"1103010015","1","35","0","18","","1","0","0","","10301"
"1103010016","","32","","18","","","1","","","10301"
"1103010017","","91","","0","","","0","","","10301"
"1103010018","","32","","10","","","1","","","10301"
"1103010019","","32","","11","","","1","","","10301"
"1103010020","","32","","12","","","1","","","10301"
"1103010021","","32","","13","","","1","","","10301"
"1103010022","","32","","19","","","1","","","10301"
"1103010023","0","3","","1","","","magicitem_1","0","","10301"
"1103010024","0","3","","2","","","magicitem_2","0","","10301"
"1103010025","0","3","","3","","","magicitem_3","0","","10301"
"1103010026","0","3","","4","","","magicitem_kyaru","0","","10301"
"1103010027","","21","2.17","vo_caravan","","","vo_caravan_event_004_000","0","","10301"
"1103010028","","21","3.2","vo_caravan","","","vo_caravan_event_004_001","1","","10301"
"1103010029","","21","4.9","vo_caravan","","","vo_caravan_event_004_002","2","","10301"
"1103010030","","93","","7","","","0","","","10301"
"1103010031","","32","","18","","","0","","","10301"
"1103010032","","93","","0.67","","","0","","","10301"
"1103010033","","101","","1103010034","","","1","","","10301"
"1103010034","","35","","14","","","1","","","10301"
"1103010035","","32","","14","","","1","","","10301"
"1103010036","","32","","16","","","1","","","10301"
"1103010037","","32","","19","","","0","","","10301"
"1103010038","","35","","18","","","1","","","10301"
"1103010039","","93","","0.4","","","0","","","10301"
"1103010040","","92","","","","","","","","10301"
"1103010041","","35","","17","","","1","","","10301"
"1103010042","","32","","17","","","1","","","10301"
"1103010043","","93","","0.2","","","0","","","10301"
"1103010044","0.01","6","0","1","0","0","0","0","","10301"
"1103010045","0.01","6","0","2","0","0","0","0","","10301"
"1103010046","0.01","6","0","3","0","0","0","0","","10301"
"1103010047","0.01","6","0","4","0","0","0","0","","10301"
"1103010048","","32","","10","","","0","","","10301"
"1103010049","","32","","11","","","0","","","10301"
"1103010050","","32","","12","","","0","","","10301"
"1103010051","","32","","13","","","0","","","10301"
"1103010052","","32","","14","","","0","","","10301"
"1103010053","","32","","15","","","0","","","10301"
"1103010054","","32","","16","","","0","","","10301"
"1103010055","","32","","18","","","0","","","10301"
"1103010056","","93","","0.3","","","0","","","10301"
"1103020001","1","5","0","4","0","0","1","20","magicitem_1","10302"
"1103020002","1","5","0","3","0","0","2","19","magicitem_2","10302"
"1103020003","1","5","0","1","0","0","3","18","magicitem_3","10302"
"1103020004","1","5","0","103000","0","0","4","21","magicitem_pekorine","10302"
"1103020005","0","31","0","103000","","1","10","0","","10302"
"1103020006","0","31","0","103001","","1","11","0","","10302"
"1103020007","0","31","0","103002","","1","12","0","","10302"
"1103020008","0","31","9","103004","","1","13","-25","","10302"
"1103020009","0","31","0","103008","","1","14","0","","10302"
"1103020010","0","31","0","103011","","1","19","0","","10302"
"1103020011","1","31","0","1","","1","15","0","","10302"
"1103020012","0","31","0","2","","1","16","0","","10302"
"1103020013","0","31","0","3","","1","17","0","","10302"
"1103020014","0","31","0","4","","1","18","0","","10302"
"1103020015","1","35","0","18","","1","0","0","","10302"
"1103020016","","32","","18","","","1","","","10302"
"1103020017","","91","","0","","","0","","","10302"
"1103020018","","32","","10","","","1","","","10302"
"1103020019","","32","","11","","","1","","","10302"
"1103020020","","32","","12","","","1","","","10302"
"1103020021","","32","","13","","","1","","","10302"
"1103020022","","32","","19","","","1","","","10302"
"1103020023","0","3","","1","","","magicitem_1","0","","10302"
"1103020024","0","3","","2","","","magicitem_2","0","","10302"
"1103020025","0","3","","3","","","magicitem_3","0","","10302"
"1103020026","0","3","","4","","","magicitem_pekorine","0","","10302"
"1103020027","","21","2.17","vo_caravan","","","vo_caravan_event_006_000","0","","10302"
"1103020028","","21","3.2","vo_caravan","","","vo_caravan_event_006_001","1","","10302"
"1103020029","","21","4.9","vo_caravan","","","vo_caravan_event_006_002","2","","10302"
"1103020030","","93","","7","","","0","","","10302"
"1103020031","","32","","18","","","0","","","10302"
"1103020032","","93","","0.67","","","0","","","10302"
"1103020033","","101","","1103020034","","","1","","","10302"
"1103020034","","35","","14","","","1","","","10302"
"1103020035","","32","","14","","","1","","","10302"
"1103020036","","32","","16","","","1","","","10302"
"1103020037","","32","","19","","","0","","","10302"
"1103020038","","35","","18","","","1","","","10302"
"1103020039","","93","","0.4","","","0","","","10302"
"1103020040","","92","","","","","","","","10302"
"1103020041","","35","","17","","","1","","","10302"
"1103020042","","32","","17","","","1","","","10302"
"1103020043","","93","","0.2","","","0","","","10302"
"1103020044","0.01","6","0","1","0","0","0","0","","10302"
"1103020045","0.01","6","0","2","0","0","0","0","","10302"
"1103020046","0.01","6","0","3","0","0","0","0","","10302"
"1103020047","0.01","6","0","4","0","0","0","0","","10302"
"1103020048","","32","","10","","","0","","","10302"
"1103020049","","32","","11","","","0","","","10302"
"1103020050","","32","","12","","","0","","","10302"
"1103020051","","32","","13","","","0","","","10302"
"1103020052","","32","","14","","","0","","","10302"
"1103020053","","32","","15","","","0","","","10302"
"1103020054","","32","","16","","","0","","","10302"
"1103020055","","32","","18","","","0","","","10302"
"1103020056","","93","","0.3","","","0","","","10302"
"1103030001","1","5","0","3","0","0","1","20","magicitem_1","10303"
"1103030002","1","5","0","1","0","0","2","19","magicitem_2","10303"
"1103030003","1","5","0","2","0","0","3","18","magicitem_3","10303"
"1103030004","1","5","0","103000","0","0","4","21","magicitem_kokkoro","10303"
"1103030005","0","31","0","103000","","1","10","0","","10303"
"1103030006","0","31","0","103001","","1","11","0","","10303"
"1103030007","0","31","0","103002","","1","12","0","","10303"
"1103030008","0","31","-35","103005","","1","13","8","","10303"
"1103030009","0","31","0","103009","","1","14","0","","10303"
"1103030010","0","31","0","103012","","1","19","0","","10303"
"1103030011","1","31","0","1","","1","15","0","","10303"
"1103030012","0","31","0","2","","1","16","0","","10303"
"1103030013","0","31","0","3","","1","17","0","","10303"
"1103030014","0","31","0","4","","1","18","0","","10303"
"1103030015","1","35","0","18","","1","0","0","","10303"
"1103030016","","32","","18","","","1","","","10303"
"1103030017","","91","","0","","","0","","","10303"
"1103030018","","32","","10","","","1","","","10303"
"1103030019","","32","","11","","","1","","","10303"
"1103030020","","32","","12","","","1","","","10303"
"1103030021","","32","","13","","","1","","","10303"
"1103030022","","32","","19","","","1","","","10303"
"1103030023","0","3","","1","","","magicitem_1","0","","10303"
"1103030024","0","3","","2","","","magicitem_2","0","","10303"
"1103030025","0","3","","3","","","magicitem_3","0","","10303"
"1103030026","0","3","","4","","","magicitem_kokkoro","0","","10303"
"1103030027","","21","2.17","vo_caravan","","","vo_caravan_event_005_000","0","","10303"
"1103030028","","21","3.2","vo_caravan","","","vo_caravan_event_005_001","1","","10303"
"1103030029","","21","4.9","vo_caravan","","","vo_caravan_event_005_002","2","","10303"
"1103030030","","93","","7","","","0","","","10303"
"1103030031","","32","","18","","","0","","","10303"
"1103030032","","93","","0.67","","","0","","","10303"
"1103030033","","101","","1103030034","","","1","","","10303"
"1103030034","","35","","14","","","1","","","10303"
"1103030035","","32","","14","","","1","","","10303"
"1103030036","","32","","16","","","1","","","10303"
"1103030037","","32","","19","","","0","","","10303"
"1103030038","","35","","18","","","1","","","10303"
"1103030039","","93","","0.4","","","0","","","10303"
"1103030040","","92","","","","","","","","10303"
"1103030041","","35","","17","","","1","","","10303"
"1103030042","","32","","17","","","1","","","10303"
"1103030043","","93","","0.2","","","0","","","10303"
"1103030044","0.01","6","0","1","0","0","0","0","","10303"
"1103030045","0.01","6","0","2","0","0","0","0","","10303"
"1103030046","0.01","6","0","3","0","0","0","0","","10303"
"1103030047","0.01","6","0","4","0","0","0","0","","10303"
"1103030048","","32","","10","","","0","","","10303"
"1103030049","","32","","11","","","0","","","10303"
"1103030050","","32","","12","","","0","","","10303"
"1103030051","","32","","13","","","0","","","10303"
"1103030052","","32","","14","","","0","","","10303"
"1103030053","","32","","15","","","0","","","10303"
"1103030054","","32","","16","","","0","","","10303"
"1103030055","","32","","18","","","0","","","10303"
"1103030056","","93","","0.3","","","0","","","10303"
"1103040001","1","5","0","1","0","0","1","20","magicitem_1","10304"
"1103040002","1","5","0","2","0","0","2","19","magicitem_2","10304"
"1103040003","1","5","0","4","0","0","3","18","magicitem_3","10304"
"1103040004","1","5","0","103000","0","0","4","21","magicitem_kyaru","10304"
"1103040005","0","31","0","103000","","1","10","0","","10304"
"1103040006","0","31","0","103001","","1","11","0","","10304"
"1103040007","0","31","0","103002","","1","12","0","","10304"
"1103040008","0","31","0","103006","","1","13","0","","10304"
"1103040009","0","31","0","103010","","1","14","0","","10304"
"1103040010","0","31","0","103011","","1","19","0","","10304"
"1103040011","1","31","0","1","","1","15","0","","10304"
"1103040012","0","31","0","2","","1","16","0","","10304"
"1103040013","0","31","0","3","","1","17","0","","10304"
"1103040014","0","31","0","4","","1","18","0","","10304"
"1103040015","1","35","0","18","","1","0","0","","10304"
"1103040016","","32","","18","","","1","","","10304"
"1103040017","","91","","0","","","0","","","10304"
"1103040018","","32","","10","","","1","","","10304"
"1103040019","","32","","11","","","1","","","10304"
"1103040020","","32","","12","","","1","","","10304"
"1103040021","","32","","13","","","1","","","10304"
"1103040022","","32","","19","","","1","","","10304"
"1103040023","0","3","","1","","","magicitem_1","0","","10304"
"1103040024","0","3","","2","","","magicitem_2","0","","10304"
"1103040025","0","3","","3","","","magicitem_3","0","","10304"
"1103040026","0","3","","4","","","magicitem_kyaru2","0","","10304"
"1103040027","","21","2.17","vo_caravan","","","vo_caravan_event_007_000","0","","10304"
"1103040028","","21","3.2","vo_caravan","","","vo_caravan_event_007_001","1","","10304"
"1103040029","","21","4.9","vo_caravan","","","vo_caravan_event_007_002","2","","10304"
"1103040030","","93","","7","","","0","","","10304"
"1103040031","","32","","18","","","0","","","10304"
"1103040032","","93","","0.67","","","0","","","10304"
"1103040033","","101","","1103040034","","","1","","","10304"
"1103040034","","35","","14","","","1","","","10304"
"1103040035","","32","","14","","","1","","","10304"
"1103040036","","32","","16","","","1","","","10304"
"1103040037","","32","","19","","","0","","","10304"
"1103040038","","35","","18","","","1","","","10304"
"1103040039","","93","","0.4","","","0","","","10304"
"1103040040","","92","","","","","","","","10304"
"1103040041","","35","","17","","","1","","","10304"
"1103040042","","32","","17","","","1","","","10304"
"1103040043","","93","","0.2","","","0","","","10304"
"1103040044","0.01","6","0","1","0","0","0","0","","10304"
"1103040045","0.01","6","0","2","0","0","0","0","","10304"
"1103040046","0.01","6","0","3","0","0","0","0","","10304"
"1103040047","0.01","6","0","4","0","0","0","0","","10304"
"1103040048","","32","","10","","","0","","","10304"
"1103040049","","32","","11","","","0","","","10304"
"1103040050","","32","","12","","","0","","","10304"
"1103040051","","32","","13","","","0","","","10304"
"1103040052","","32","","14","","","0","","","10304"
"1103040053","","32","","15","","","0","","","10304"
"1103040054","","32","","16","","","0","","","10304"
"1103040055","","32","","18","","","0","","","10304"
"1103040056","","93","","0.3","","","0","","","10304"
"1104010001","0.95","5","-250","3","0","-270","1","55","empty","10401"
"1104010002","0.95","5","-250","104000","0","-270","2","57","empty","10401"
"1104010003","0.95","5","150","5","0","-260","3","50","empty","10401"
"1104010004","0.95","5","150","5","0","-260","4","52","empty","10401"
"1104010005","0","31","0","104000","","1","0","220","","10401"
"1104010006","0","31","0","104001","","1","1","0","","10401"
"1104010007","0","31","-235","104002","","1","2","-225","","10401"
"1104010008","0","31","0","104003","","1","3","0","","10401"
"1104010009","0","31","0","104004","","1","4","0","","10401"
"1104010010","0","31","0","104006","","1","6","400","","10401"
"1104010011","0","31","0","1","","1","10","0","","10401"
"1104010012","0","31","0","2","","1","20","0","","10401"
"1104010013","0","31","0","3","","1","30","0","","10401"
"1104010014","0","31","0","5","","1","50","0","","10401"
"1104010015","","91","","0","","","0","","","10401"
"1104010016","","32","","50","","","1","","","10401"
"1104010017","","32","","0","","","1","","","10401"
"1104010018","","32","","10","","","1","","","10401"
"1104010019","","93","","0.5","","","0","","","10401"
"1104010020","","23","","se_caravan","","","se_caravan_event_kyaru_A","0","","10401"
"1104010021","","21","0.2","vo_caravan","","","vo_caravan_event_98011_000","0","","10401"
"1104010022","","32","","6","","","1","","","10401"
"1104010023","0","3","","3","0","","turnSkip_1_karin","0","","10401"
"1104010024","0","3","","4","0","","turnSkip_1_pen","0","","10401"
"1104010025","0","3","","1","0","","turnSkip_1","0","","10401"
"1104010026","0","3","","2","0","","turnSkip_1","0","","10401"
"1104010027","","33","0.7","0","","8","0","0","","10401"
"1104010028","","2","0.7","3","","8","-250","-260","","10401"
"1104010029","","2","0.7","4","","8","-250","-260","","10401"
"1104010030","","33","0.7","6","","8","0","0","","10401"
"1104010031","","93","","4.3","","","0","","","10401"
"1104010032","","23","","se_caravan","","","se_caravan_event_kyaru_1turn_B","0","","10401"
"1104010033","","21","0.533","vo_caravan","","","vo_caravan_event_98011_001","0","","10401"
"1104010034","","93","","0.833","","","0","","","10401"
"1104010035","","32","","3","","","1","","","10401"
"1104010036","","93","","0.3003","","","0","","","10401"
"1104010037","","32","","1","","","1","","","10401"
"1104010038","","93","","1.0337","","","0","","","10401"
"1104010039","","21","","vo_caravan","","","vo_caravan_event_98011_002","0","","10401"
"1104010040","","32","","2","","","1","","","10401"
"1104010041","","93","","0.833","","","0","","","10401"
"1104010042","","101","","1104010043","","","0","","","10401"
"1104010043","","35","","4","","","1","","","10401"
"1104010044","","32","","4","","","1","","","10401"
"1104010045","","32","","20","","","1","","","10401"
"1104010046","","93","","0.4","","","0","","","10401"
"1104010047","","92","","","","","","","","10401"
"1104010048","","35","","30","","","1","","","10401"
"1104010049","","32","","30","","","1","","","10401"
"1104010050","","93","","0.2","","","0","","","10401"
"1104010051","0","6","1","1","0","0","1","1","","10401"
"1104010052","0","6","1","2","0","0","1","1","","10401"
"1104010053","0","6","1","3","0","0","1","1","","10401"
"1104010054","0","6","1","4","0","0","1","1","","10401"
"1104010055","","32","","0","","","0","","","10401"
"1104010056","","32","","1","","","0","","","10401"
"1104010057","","32","","2","","","0","","","10401"
"1104010058","","32","","3","","","0","","","10401"
"1104010059","","32","","4","","","0","","","10401"
"1104010060","","32","","6","","","0","","","10401"
"1104010061","","32","","10","","","0","","","10401"
"1104010062","","32","","20","","","0","","","10401"
"1104010063","","32","","50","","","0","","","10401"
"1104010064","","93","","0.3","","","0","","","10401"
"1104020001","0.95","5","-250","3","0","-270","1","55","empty","10402"
"1104020002","0.95","5","-250","104000","0","-270","2","57","empty","10402"
"1104020003","0.95","5","100","5","0","-260","3","50","empty","10402"
"1104020004","0.95","5","100","5","0","-260","4","52","empty","10402"
"1104020005","0","31","0","104000","","1","0","220","","10402"
"1104020006","0","31","0","104001","","1","1","0","","10402"
"1104020007","0","31","-245","104002","","1","2","-205","","10402"
"1104020008","0","31","0","104003","","1","3","0","","10402"
"1104020009","0","31","0","104005","","1","5","0","","10402"
"1104020010","0","31","0","104006","","1","6","265","","10402"
"1104020011","0","31","0","1","","1","10","0","","10402"
"1104020012","0","31","0","2","","1","20","0","","10402"
"1104020013","0","31","0","3","","1","30","0","","10402"
"1104020014","0","31","0","5","","1","50","0","","10402"
"1104020015","","91","","0","","","0","","","10402"
"1104020016","","32","","50","","","1","","","10402"
"1104020017","","32","","0","","","1","","","10402"
"1104020018","","32","","10","","","1","","","10402"
"1104020019","","93","","0.5","","","0","","","10402"
"1104020020","","23","","se_caravan","","","se_caravan_event_kyaru_A","0","","10402"
"1104020021","","21","0.2","vo_caravan","","","vo_caravan_event_98012_000","0","","10402"
"1104020022","","32","","6","","","1","","","10402"
"1104020023","0","3","","3","0","","turnSkip_2_karin","0","","10402"
"1104020024","0","3","","4","0","","turnSkip_2_pen","0","","10402"
"1104020025","0","3","","1","0","","turnSkip_2","0","","10402"
"1104020026","0","3","","2","0","","turnSkip_2","0","","10402"
"1104020027","","33","0.7","0","","8","0","0","","10402"
"1104020028","","2","0.7","3","","8","-250","-260","","10402"
"1104020029","","2","0.7","4","","8","-250","-260","","10402"
"1104020030","","33","0.7","6","","8","0","0","","10402"
"1104020031","","93","","4.3","","","0","","","10402"
"1104020032","","23","","se_caravan","","","se_caravan_event_kyaru_2turn_B","0","","10402"
"1104020033","","21","0.63","vo_caravan","","","vo_caravan_event_98012_001","0","","10402"
"1104020034","","21","2.2","vo_caravan","","","vo_caravan_event_98012_002","0","","10402"
"1104020035","","93","","2.5","","","0","","","10402"
"1104020036","","32","","3","","","1","","","10402"
"1104020037","","93","","0.3","","","0","","","10402"
"1104020038","","32","","1","","","1","","","10402"
"1104020039","","93","","1.067","","","0","","","10402"
"1104020040","","21","","vo_caravan","","","vo_caravan_event_98012_003","0","","10402"
"1104020041","","32","","2","","","1","","","10402"
"1104020042","","93","","0.933","","","0","","","10402"
"1104020043","","101","","1104020044","","","0","","","10402"
"1104020044","","35","","5","","","1","","","10402"
"1104020045","","32","","5","","","1","","","10402"
"1104020046","","32","","20","","","1","","","10402"
"1104020047","","93","","0.4","","","0","","","10402"
"1104020048","","92","","","","","","","","10402"
"1104020049","","35","","30","","","1","","","10402"
