b817cd3c745ad72e72a81ea96dc13b9561cc28a78bf359d07da90be2f9a86330,2352df62dd7679fd8ae9065cd4a29aef19bb88a3be65d31d5c9ee46799b71a9f,85bed0997e97ea3451a7a63e3638fd298dbcba5363042ce19c6bc96583304435,8f83f94234b6f8f8d28893beb4b54efead86bbde0d051586e341b51af71dca24,175d04644379059040f75b20a476d6a825809fadb6a00f8de4c37fb3a21ad433,9df30375e245a3763443d59aa9e9a460d62fda31636154cada70819df8f5fcc8,d8d325e25ede0dc893acf1e4df8f7e8d8d8c86d686236f2c44c8f8574d761839,0771f117d075d012f9e46b68123e741384201ab5b1196ff2df05e4ad36554ea3,47ecee255e567cc6342ffeabcb7829d4f911e92429849e5bf1096dcd17f29a4e,565859029ac8d82ea094b4928eb736be4a1ad65c257dedb36350e1e7f3808cb6,6186c58f05bcdc386b2607455dacf0786ee052da23759b473a327317dc3f675e,9cfc85ba3b5a8c64d7f5a26ff10094e9b4a67914761bea68ef4d340e25ab24fa,930e3a9aaae2da2468266ab9ebfbeeb512ddbf853e8cb0ece9798cfbf9061abe,64b6096ef13f510e78d913cc2a8301cdfe8e8233aead7e8a2a5ed006849f3612,ff7a160a7c2b536e0aa9bf42e08246b7ca4e3a36c1ea2c293263378e6dfd98df,d0c1f6eb24c9a7700e3041e7aa1608c25a37ca5c432f2e079601f05d7672f4b1,bfeb3b6c604ced22b065ea05c8f047f6fc43671649311770d469f5521841ada8
"莉瑪的不可思議\n甜蘋果","莉瑪的不可思議甜蘋果","0","3","2","0","莉瑪用從似似花那裡拿到的蘋果製作出來的祕密甜點。\n清爽的酸味與濃厚的甜味\n保持著彷彿像魔法一般的平衡，互相襯托著彼此。\n讓吃下的人轉眼之間就變成它的俘虜。","1","1","獲得1張抽獎券。","52011","下次投擲的骰子一定會丟出「2」，再下一次投擲的骰子一定會丟出「7」。","51011","10","3","7","500"
"妮諾的原創\n一二三壽司","妮諾的原創一二三壽司","0","1","1","0","妮諾帶到吉歐‧提格尼亞的特別\n壽司。雖是使用了嚴選新鮮海產的絕品料理，\n一部分的食材，卻是由手法超脫一般壽司範疇的妮諾\n以自創方式料理出來的。","30002","1","獲得1個未鑑定的平凡寶物。","52012","下次投擲的骰子一定會丟出「1、2、3」，並且跳過下次的回合數計算。","51012","10","2","3","500"
"克蕾琪塔的開運\n點心拼盤","克蕾琪塔的開運點心拼盤","0","4","0","0","由克蕾琪塔設計，以流通於吉歐‧提格尼亞的\n巧克力貨幣組成的拼盤。乍看之下\n只是個把金幣放入口中的傻瓜，然而\n吃下貨幣的悖德感，成了最佳的額外香料。","2","3","獲得800里程。","52013","打開RANK2的里程商店。","51013","10","3","8","500"
"璃乃的\n「時乃金時」刨冰","璃乃的「時乃金時」刨冰","0","1","2","0","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","1","1","下次擲骰的時候，多前進1格。","52014","跳過里程格進行移動。效果持續2回合。","51014","11","2","9","500"
"靜流的愛情\n滿滿漢堡排","靜流的愛情滿滿漢堡排","0","1","1","0","姊姊為了弟弟誠心製作的\n特別漢堡排。裡面塞滿了熱騰騰的肉汁\n和滿溢的愛情，只要吃下\n一口，就會美味到讓人想要四處亂跑。","2","1","下次擲骰的時候，多前進1格。","52015","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","51015","11","1","1","500"
"碧的衝刺\n三明治","碧的衝刺三明治","0","0","1","0","碧做來當作便當的精靈族傳統三明治。\n這是源自陪著她的至親好友給她的建議，\n據說無論在多麼幽暗的森林中，\n都能使出全力衝刺。（碧本人表示）","20005","1","無","52016","下次投擲的骰子一定會丟出「6」。","51016","0","3","2","500"
"空花的活切\n緊綁觸手","空花的活切緊綁觸手","1","5","2","0","妄想過無數種被虐場景的空花最近熱衷的事物，\n是種以觸手為主軸的活切料理。\n新鮮的章魚腳與濃郁的鮮味在物理上交纏在一塊，\n無論身心都能體驗到被緊綁的感受。","1","1","無","52017","[FF7C4E,D62146]【不可覆寫】[-]下一回合無法食用「移動系的料理」，相對地當場獲得2000里程。","51017","10","3","2","500"
"蘭法的熱心馬鈴薯燉肉","蘭法的熱心馬鈴薯燉肉","0","6","1","0","在可可蘿的指導下提升了料理技術的蘭法\n所親手製作的馬鈴薯燉肉。雖然還有改善的空間，\n但只要一想到這是笨拙的蘭法為了他人\n而拼命努力煮出的菜餚，就覺得格外美味。","20006","1","獲得1000里程。","52018","下次投擲的骰子一定會丟出「3」。","51018","10","1","2","500"
"若菜的節儉八分飽咖哩","若菜的節儉八分飽咖哩","0","0","1","0","蠻賊三姊妹昨天晚餐的咖哩。\n若菜將吃不完的份分裝給了大家。\n因為靜置了一晚，味道變得更加濃郁，\n是極致的隔夜咖哩。","20007","1","無","52019","下次投擲的骰子一定會丟出「8」。","0","0","1","2","500"
"璃乃的\n「時乃金時」刨冰","璃乃的「時乃金時」刨冰","0","1","2","0","可愛的妹妹為了哥哥誠心製作的\n特別刨冰。只要吃下一口，精神就會立即\n被那冰冷的甜美滋味研磨至最銳利狀態，變成\n不放過任何好康的要塞賢母。","1","2","下次擲骰的時候，多前進1格。","52020","跳過里程格進行移動。效果持續2回合。","51014","11","2","9","500"
"霞的看透真相的\n糖果巧克力","霞的看透真相的糖果巧克力","0","7","3","0","放在華麗禮盒中的糖果巧克力。\n當那甜中帶苦的濃厚滋味，活化灰色的腦細胞時，\n名偵探便能展現精闢的推理，\n使謎團真相大白，讓事件劃下句點。","2","2","	獲得2個未鑑定的平凡寶物。","52021","跳過寶物格進行移動。效果持續3回合。","51021","10","3","9","500"
"秋乃的煉獄\n烤雞拼盤","秋乃的煉獄烤雞拼盤","0","0","3","0","使用了秋乃在吉歐‧格黑納取得\n的香料，既時髦又豪華的烤雞拼盤。佐以\n牧場特製優格醬所演繹出的刺激風味，\n實在是兩個世界奇蹟般的完美結合。","20008","1","無","52022","在投擲3次骰子之前，投擲的骰子丟出「5和6」的機率變成3倍。","51022","0","1","2","500"
"美美的丟沙包\n圓滾滾飯糰","美美的丟沙包圓滾滾飯糰","1","1","2","0","美美想著在吉歐‧格黑納幫助自己的\n姐姐們所製作的飯糰。雖然每個被加入\n不同的佐料，但都一如美美的願望，\n彼此不吵架、和睦地演奏著和聲。","1","1","獲得1個未鑑定的平凡寶物。","52023","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「6」，再下一次投擲的骰子一定會丟出「3」。","51023","10","1","7","500"
"步未的祕密\n隱形蛋糕","步未的祕密隱形蛋糕","0","3","0","0","回過神來就在莉莉手中的不可思議的點心。\n雖然乍看之下是普通的蛋糕，\n內部卻藏了各式各樣的配料。\n其複雜又多層次的滋味，彷彿就像是某人一般。","2","3","下次擲骰的時候，多前進3格。","52024","打開RANK2的里程商店。","51024","11","3","8","500"
"安涅默涅的\n爛漫花朵牛排沙拉","安涅默涅的爛漫花朵牛排沙拉","0","0","1","0","使用安涅默涅照料著的祕密菜園中的蔬菜的沙拉。\n重視營養的安涅默涅將草食動物的肉視為蔬菜，\n一開始只是在蔬菜上放上肉而已，\n後來在涅羅的指導下重新進行了擺盤。","3","2","無","52025","跳過「里程格」及「寶物格」進行移動。效果持續1回合。","51025","0","3","9","500"
"杏奈的\n煉獄番茄燉煮渾沌蛋","杏奈的煉獄番茄燉煮渾沌蛋","0","8","0","0","一道用探索吉歐‧格黑納的冥姬們\n在當地採集的調味料製作的料理。\n沸騰的紅醬帶有刺激而深奧的味道，\n就像一片未知的土地，吸引冒險者深入探索。","1","3","獲得2張抽獎券。","52026","讓隨機活動出現。","51026","10","1","4","500"
"優衣的\n營養滿分心意滿分便當","優衣的營養滿分心意滿分便當","0","0","2","0","優衣想著吃的人用心製作的便當。\n大小適中的便當盒裡裝滿了\n充滿愛意且精心烹調的極品料理，\n溫柔地填滿吃的人的心和胃。","20004","1","無","52027","在投擲2次骰子之前，投擲的骰子一定會丟出「5」。","51027","0","3","2","500"
"鈴的\n堅果懶人紅豆麵包","鈴的堅果懶人紅豆麵包","0","9","1","0","鈴給了防災糧食的紅豆麵包。\n添加了堅果的脆脆口感讓人百吃不膩。\n似乎是窩在房間裡玩遊戲之際的好夥伴，\n也是能補充必要營養素的完全營養食物。","30003","1","無","52028","下次投擲的骰子只會丟出「1、2」。\n同時會當場獲得3張抽獎券。","51028","10","3","2","500"
"雪菲的\n冰晶輝煌手工冰","雪菲的冰晶輝煌手工冰","0","0","1","0","雪菲利用自身的魔力冰製作的冰品。\n雖然是在貪吃佩可央求之下製作的，\n不過也備受凱留等人的好評。據可可蘿的表示，\n這雖然吃起來冰冰涼涼的，卻能溫暖內心。","30004","1","無","52029","下次投擲的骰子一定會丟出「2」。並且跳過下次的回合數計算。","51029","0","2","3","500"
"美空的\n隨興味噌拉麵★","美空的隨興味噌拉麵★","0","0","3","0","美空做的拉麵。因為蘭法記得她隨口說的喜歡的食物，\n所以在對方準備好材料之後，\n不得已而做出來的，但是味道是好事級的。\n她似乎不討厭別人津津有味地吃著它的樣子。","1","3","無","52030","3回合之內，所有的「里程格」變成Rank 3的「寶物格」。","51030","0","1","12","500"
