c023db0dd8b0d58a32beb996bb16f900ace8e0709e3b5632627d8756a3a750fa,9a41414ddde40d30494911dc47eac6cd8230ea7668b6d2e7e100834d997d8522,c94d251a2a5b1c8979d7de4ecf7b498a9425892fd0a769924e249b63d9ded638,fcb8d1454fe10506b19e17d32ea4dc31d685babf91078d3a93493e13a526b08a,cf00409d85c7549ab664813f9b6c5ca77fe1f0b09db39faf527f0618f23e6c47
"50","120","167","11018","7000"
"60","200","168","11018","3000"
"67","102","169","11019","7000"
"60","200","170","11019","3000"
"35","120","171","11020","7000"
"60","250","172","11020","3000"
"30","200","173","20001","5000"
"30","5","174","20001","5000"
"60","220","175","20002","5000"
"60","5","176","20002","5000"
"60","200","177","20003","5000"
"15","200","178","20003","5000"
"60","200","179","20004","5000"
"10","200","180","20004","5000"
"40","150","181","20005","5000"
"40","5","182","20005","5000"
"60","150","183","20006","5000"
"10","200","184","20006","5000"
"40","150","185","20007","5000"
"40","5","186","20007","5000"
"50","150","187","20008","5000"
"15","200","188","20008","5000"
"45","150","189","20009","5000"
"10","200","190","20009","5000"
"40","145","191","20010","5000"
"10","5","192","20010","5000"
"40","300","193","20011","5000"
"10","5","194","20011","5000"
"65","200","195","20012","5000"
"10","200","196","20012","5000"
"40","150","197","20013","5000"
"10","5","198","20013","5000"
"40","100","199","20014","5000"
"10","5","200","20014","5000"
"50","200","201","20015","5000"
"10","5","202","20015","5000"
"60","250","203","20016","5000"
"30","200","204","20016","5000"
"45","120","205","20017","5000"
"90","300","206","20017","5000"
"90","120","207","20018","5000"
"30","200","208","20018","5000"
"50","190","209","20019","5000"
"60","350","210","20019","5000"
"90","95","211","20020","5000"
"90","95","212","20020","5000"
"60","200","213","20021","5000"
"60","200","214","20021","5000"
"60","200","215","20022","5000"
"60","200","216","20022","5000"
"60","200","217","20023","5000"
"60","200","218","20023","5000"
"30","130","219","21001","5000"
"5","5","220","21001","5000"
"30","140","221","21002","5000"
"5","5","222","21002","5000"
"40","150","223","21003","5000"
"5","5","224","21003","5000"
"45","155","225","21004","5000"
"5","200","226","21004","5000"
"60","155","227","21005","5000"
"10","200","228","21005","5000"
"60","150","229","21006","5000"
"15","200","230","21006","5000"
"60","150","231","21007","5000"
"15","200","232","21007","5000"
"50","160","233","21008","5000"
"15","200","234","21008","5000"
"70","140","235","21009","5000"
"30","200","236","21009","5000"
"35","180","237","21010","5000"
"120","200","238","21010","5000"
"65","140","239","21011","5000"
"30","200","240","21011","5000"
"35","200","241","21012","5000"
"5","5","242","21012","5000"
"70","150","243","21013","5000"
"15","200","244","21013","5000"
"60","150","245","21014","5000"
"15","200","246","21014","5000"
"60","150","247","21015","5000"
"15","200","248","21015","5000"
"60","150","249","21016","5000"
"15","200","250","21016","5000"
"60","150","251","21017","5000"
"15","200","252","21017","5000"
"50","120","253","21018","5000"
"60","200","254","21018","5000"
"67","102","255","21019","5000"
"60","200","256","21019","5000"
"35","120","257","21020","5000"
"60","250","258","21020","5000"
