42184795598030f5e2d00c45b9aef1367ea00e03cc800cb2bdfac8b48287ab6f,1c0bd244817be7d7776cc51b26a0cfd7f4950329b7ef78534fc75c73ec781614,9d7d577482d7a6a572b042eacdca0abacff3c18310576871e5c6c6879951ebc8,39b7cf75211da3a1a71063393c4175cfd37c6fafd5063f8d7a6a818667c250ae,b423361cf6fe464184878845ef74992733f78be1aeb608e903d4425979bcde80,2d367b4a2f93f2ef3b280d3e55fc95fabc5b47a8871a72d6418112a40edbcb5d,759858b9b6066b66cb3d92629910c341ef3e25aa792f671549f4042329df58b4,839611986cff0596d60c495cbbecbc8c7d8903378789fedd9fb28d59094db587,9203a3381d34f18f9a1b770691651319ed1f60dd590418436bff373761415e52,bd81e05bdef2e1778560349ab55022aec6c1122eef4d65edc6778a103af3a1b2,28a994c2a0e1af7269ae4bb694a76eb27c9dedfa47177cc7f918fb23771a8956,c033e26a1fdb76729810666babfa9993fe0590bcfe35900af80d2ecf03abf238,9ca61b0a5c4140c7007ee90173763c6337266df46f2b3d77b17a075d2c73a8d4,e8da4da651fcc5f6606fe5621809eddf8931fb1ce112d038530823df4bbef41e,c6f420827b03df4750a53308ff89ff0e781ce38767426f713a14e4b124efd1b2,6ce8e5357bc75661c8e4a208721af627a0aabe0e244657b3fa861ef21e909b9f,2c1f767f1a124bb8af9f229d09343bfd7227665585e17bf85750989f5b9599f7,7148eca87d1394615a075a62fb57ad480947f4204027df001ed825090b818488,17b7055bd51bb8bcd016bec9d765d82844af4b1408ade7f157a04eaa0a54ffdd
"1065","20","9","100101","62","203","0","37","255","0","4270","0","147","0","2045","20","8017","15","20"
"1160","21","9","100101","62","232","0","37","255","0","4580","0","157","0","2045","20","8971","15","20"
"1262","22","9","100101","62","259","0","37","255","0","4790","0","176","0","2045","20","10078","15","20"
"1343","23","9","100101","62","287","0","37","255","0","4880","0","199","0","2045","20","11352","15","20"
"1416","24","9","100101","62","308","0","37","255","0","4970","0","221","0","2045","20","12783","15","20"
"1471","25","9","100101","62","331","0","37","255","0","5230","0","247","0","2045","20","14334","15","20"
"1495","26","9","100101","62","359","0","37","255","0","6835","0","280","0","2045","20","15835","15","20"
"1513","27","9","100101","62","387","0","37","255","0","8440","0","313","0","2045","20","17449","15","20"
"1538","28","9","100101","62","400","0","37","255","0","9225","0","326","0","2045","20","19454","15","20"
"1571","29","9","100101","62","415","0","37","255","0","10010","0","341","0","2045","20","21599","15","20"
"1614","30","9","100101","62","440","0","37","255","0","10270","0","366","0","2045","20","23844","15","20"
"1657","31","9","100101","62","450","0","37","255","0","10795","0","376","0","2045","20","26318","15","20"
"1690","32","9","100101","62","450","0","37","255","0","11845","0","376","0","2045","20","28948","15","20"
"1729","33","9","100101","62","461","0","37","255","0","12370","0","387","0","2045","20","31669","15","20"
"1775","34","9","100101","62","483","0","37","255","0","12370","0","409","0","2045","20","34498","15","20"
"1821","35","9","100101","62","505","0","37","255","0","12370","0","431","0","2045","20","37455","15","20"
"1867","36","9","100101","62","528","0","37","255","0","12370","0","454","0","2045","20","40512","15","20"
"1913","37","9","100101","62","552","0","37","255","0","12370","0","478","0","2045","20","43669","15","20"
"1959","38","9","100101","62","576","0","37","255","0","12370","0","502","0","2045","20","46929","15","20"
"0","2","0","100201","0","1","23","0","0","0","55","0","2","0","75","0","0","0","0"
"0","3","0","100201","0","1","81","0","0","0","150","0","8","0","125","0","0","0","0"
"0","4","0","100201","0","4","172","0","5","0","325","0","17","0","175","0","0","0","10"
"0","5","0","100201","0","4","349","0","15","0","505","0","33","0","175","0","0","0","10"
"0","6","0","100201","0","12","522","0","15","0","1035","0","52","0","175","0","0","0","25"
"0","7","0","100201","0","14","790","0","85","0","1395","0","66","0","175","0","0","0","30"
"0","8","0","100201","0","19","1089","4","85","0","1675","0","88","0","175","0","0","0","75"
"0","9","0","100201","0","25","1389","9","100","0","2130","0","109","6","175","0","0","5","110"
"0","10","0","100201","0","28","1758","14","135","0","2490","0","126","30","395","0","0","10","115"
"0","11","0","100201","0","35","2159","14","151","0","2910","0","145","53","735","0","0","10","129"
"0","12","0","100201","0","56","2471","17","177","0","3430","0","171","63","955","0","0","12","138"
"0","13","0","100201","0","94","2705","20","199","0","3810","0","209","63","1175","0","0","14","140"
"0","14","0","100201","0","133","2982","20","199","0","3990","0","251","71","1295","0","0","16","146"
"0","15","0","100201","0","168","3310","20","199","0","4130","0","293","81","1395","0","0","18","151"
"0","16","0","100201","0","208","3658","20","199","0","4330","0","336","81","1495","0","0","18","157"
"0","17","0","100201","0","250","4008","20","214","0","4510","0","384","81","1495","3","0","18","158"
"0","18","0","100201","0","295","4353","20","229","0","4915","0","441","81","1495","6","0","18","158"
"0","19","0","100201","0","349","4719","20","229","0","5560","0","506","81","1590","6","0","18","158"
"0","20","0","100201","0","406","5176","20","229","0","6145","0","568","93","1685","6","0","18","158"
"0","21","0","100201","0","472","5618","20","229","0","6765","0","646","93","1685","6","0","18","158"
"0","22","0","100201","0","541","6142","20","229","0","8080","0","725","93","1685","6","0","18","158"
"0","23","0","100201","0","619","6707","20","229","0","9855","0","810","93","1685","6","0","18","158"
"0","24","0","100201","0","704","7347","20","229","0","11380","0","901","93","1685","6","0","18","158"
"0","25","0","100201","0","784","8212","20","229","0","12675","0","987","103","1685","6","0","18","158"
"0","26","0","100201","0","853","9328","20","229","0","13965","0","1062","118","1685","6","0","18","158"
"0","27","0","100201","0","920","10563","20","229","0","15535","0","1132","128","1685","6","0","18","158"
"0","28","0","100201","0","990","11885","20","229","0","17300","0","1203","138","1685","6","0","18","158"
"0","29","0","100201","0","1066","13290","20","229","0","19295","0","1279","148","1685","6","0","18","158"
"0","30","0","100201","0","1147","14765","20","229","0","21525","0","1360","158","1685","6","0","18","158"
"0","31","0","100201","0","1230","16312","20","229","0","23915","0","1443","168","1685","6","0","18","158"
"0","32","0","100201","0","1315","17930","20","229","0","26460","0","1528","178","1685","6","0","18","158"
"0","33","0","100201","0","1402","19645","20","229","0","29250","0","1615","188","1685","6","0","18","158"
"0","34","0","100201","0","1491","21457","20","229","0","32450","0","1704","198","1685","6","0","18","158"
"0","35","0","100201","0","1581","23342","20","229","0","36060","0","1794","208","1685","6","0","18","158"
"0","36","0","100201","0","1672","25290","20","229","0","40010","0","1885","218","1685","6","0","18","158"
"0","37","0","100201","0","1765","27300","20","229","0","44205","0","1978","228","1685","6","0","18","158"
"0","38","0","100201","0","1859","29381","20","229","0","48640","0","2072","238","1685","6","0","18","158"
"0","2","0","100301","0","2","0","0","0","0","95","0","0","0","75","0","22","0","0"
"0","3","0","100301","0","6","0","0","0","0","310","0","2","0","125","0","71","0","0"
"0","4","0","100301","0","11","0","0","10","0","685","0","4","0","155","0","176","0","0"
"0","5","0","100301","0","20","0","0","20","0","1435","0","11","0","155","0","289","0","5"
"0","6","0","100301","0","31","0","0","35","0","2300","0","13","0","245","0","499","0","5"
"0","7","0","100301","0","43","0","0","35","0","3270","0","15","0","715","0","746","0","5"
"0","8","3","100301","0","57","0","0","50","0","4025","0","23","0","715","0","1040","0","5"
"20","9","7","100301","0","71","0","9","65","0","4630","0","31","0","1115","0","1353","0","5"
"50","10","12","100301","0","80","0","18","65","0","4990","0","40","0","1115","5","1729","0","30"
"88","11","17","100301","13","88","0","18","65","0","5410","0","49","0","1115","7","2147","0","40"
"130","12","17","100301","29","98","0","21","65","0","6180","0","56","0","1115","7","2581","0","40"
"163","13","17","100301","42","112","0","24","98","0","6670","0","66","0","1115","7","3026","0","40"
"214","14","17","100301","42","123","0","24","131","0","7050","0","76","0","1115","7","3571","0","40"
"280","15","17","100301","42","142","0","24","131","0","7420","0","91","0","1115","7","4098","0","40"
"370","16","17","100301","45","156","0","24","143","0","7560","0","99","0","1115","7","4716","0","40"
"467","17","17","100301","48","170","0","24","143","0","7750","0","105","0","1115","7","5390","0","40"
"591","18","17","100301","48","179","0","24","143","0","8015","0","114","0","1115","7","6136","0","40"
"730","19","17","100301","48","191","0","24","143","0","8340","0","126","0","1115","7","6947","0","40"
"849","20","17","100301","48","213","0","24","143","0","8665","0","138","0","1115","7","7816","0","40"
"980","21","17","100301","48","233","0","24","143","0","8950","0","149","0","1115","7","8795","0","40"
"1098","22","17","100301","48","249","0","24","143","0","9165","0","162","0","1115","7","9978","0","40"
"1169","23","17","100301","48","273","0","24","143","0","9510","0","181","0","1115","7","11268","0","40"
"1230","24","17","100301","48","296","0","24","143","0","10190","0","203","0","1115","7","12629","0","40"
"1293","25","17","100301","48","310","0","24","143","0","10710","0","222","0","1115","7","14227","0","40"
"1332","26","17","100301","48","316","0","24","143","0","11535","0","231","0","1115","7","16038","0","40"
"1356","27","17","100301","48","321","0","24","143","0","12780","0","238","0","1115","7","17934","0","40"
"1380","28","17","100301","48","326","0","24","143","0","14025","0","245","0","1115","7","19958","0","40"
"1405","29","17","100301","48","341","0","24","143","0","15210","0","260","0","1115","7","22063","0","40"
"1431","30","17","100301","48","371","0","24","143","0","16130","0","290","0","1115","7","24192","0","40"
"1457","31","17","100301","48","386","0","24","143","0","17315","0","305","0","1115","7","26550","0","40"
"1483","32","17","100301","48","386","0","24","143","0","18865","0","305","0","1115","7","29128","0","40"
"1508","33","17","100301","48","386","0","24","143","0","20515","0","305","0","1115","7","31789","0","40"
"1532","34","17","100301","48","401","0","24","143","0","22000","0","320","0","1115","7","34482","0","40"
"1556","35","17","100301","48","416","0","24","143","0","23485","0","335","0","1115","7","37354","0","40"
"1580","36","17","100301","48","432","0","24","143","0","24970","0","351","0","1115","7","40325","0","40"
"1604","37","17","100301","48","464","0","24","143","0","26290","0","383","0","1115","7","43265","0","40"
"1628","38","17","100301","48","480","0","24","143","0","27800","0","399","0","1115","7","46437","0","40"
"0","2","0","100401","0","2","0","0","10","0","65","0","0","0","100","1","10","0","0"
"0","3","0","100401","0","5","0","0","25","0","185","0","0","0","200","2","58","0","0"
"0","4","0","100401","0","10","0","0","50","0","475","0","4","0","360","4","135","0","0"
"0","5","0","100401","0","17","0","0","80","0","985","0","10","0","520","7","243","0","0"
"0","6","3","100401","0","25","0","0","95","0","1515","0","14","0","820","11","429","0","0"
"0","7","6","100401","0","34","0","0","120","0","1835","0","20","0","1425","15","674","0","0"
"10","8","6","100401","0","48","0","9","145","0","2735","0","32","0","1985","15","912","0","0"
"30","9","6","100401","0","67","10","23","145","0","3480","0","48","0","1985","22","1157","5","0"
"60","10","6","100401","0","87","20","28","145","0","4330","0","68","0","1985","27","1392","10","15"
"86","11","6","100401","3","105","20","28","145","0","5030","0","88","0","1985","32","1695","10","35"
"108","12","6","100401","6","126","20","28","145","0","5430","0","106","0","2085","39","2037","10","55"
"151","13","6","100401","6","155","20","28","170","0","5630","0","125","0","2285","41","2425","10","55"
"215","14","6","100401","6","189","20","28","170","0","5830","0","144","0","2285","41","2845","10","57"
"289","15","6","100401","9","212","20","28","170","0","5830","0","167","0","2285","43","3314","12","57"
"378","16","6","100401","17","232","20","28","170","0","5830","0","190","0","2385","45","3815","12","57"
"465","17","6","100401","22","263","20","28","170","0","5930","0","209","0","2535","45","4337","12","57"
"573","18","6","100401","22","291","20","28","170","0","5990","0","237","0","2685","50","4884","12","57"
"655","19","6","100401","22","323","20","28","170","0","6085","0","266","0","2685","52","5553","12","57"
"696","20","6","100401","22","368","20","28","170","0","6185","0","293","0","2780","52","6292","12","57"
"740","21","6","100401","22","419","20","28","170","0","6430","0","333","0","2780","52","7020","12","57"
"788","22","6","100401","22","468","20","28","170","0","6660","0","383","0","2780","52","7888","12","57"
"817","23","6","100401","22","519","20","28","170","0","7065","0","428","0","2780","52","8928","12","57"
"835","24","6","100401","22","566","20","28","170","0","7385","0","474","0","2780","52","10110","12","57"
"867","25","6","100401","22","611","20","28","170","0","7705","0","523","0","2780","52","11440","12","57"
"902","26","6","100401","22","656","20","28","170","0","8000","0","576","0","2780","52","12898","12","57"
"929","27","6","100401","22","697","20","28","170","0","8455","0","624","0","2780","52","14495","12","57"
"963","28","6","100401","22","740","20","28","170","0","9000","0","669","0","2780","52","16211","12","57"
"986","29","6","100401","22","822","20","28","170","0","10655","0","751","0","2780","52","17592","12","57"
"1000","30","6","100401","22","913","20","28","170","0","12805","0","842","0","2780","52","18978","12","57"
"1014","31","6","100401","22","996","20","28","170","0","15175","0","925","0","2780","52","20529","12","57"
"1027","32","6","100401","22","1066","20","28","170","0","17965","0","995","0","2780","52","22273","12","57"
"1039","33","6","100401","22","1132","20","28","170","0","21205","0","1061","0","2780","52","24101","12","57"
"1051","34","6","100401","22","1214","20","28","170","0","24690","0","1143","0","2780","52","25905","12","57"
"1063","35","6","100401","22","1297","20","28","170","0","28585","0","1226","0","2780","52","27832","12","57"
"1075","36","6","100401","22","1381","20","28","170","0","32820","0","1310","0","2780","52","29820","12","57"
"1087","37","6","100401","22","1482","20","28","170","0","37135","0","1411","0","2780","52","31739","12","57"
"1099","38","6","100401","22","1568","20","28","170","0","41880","0","1497","0","2780","52","33853","12","57"
"0","2","0","100501","0","4","0","0","0","0","80","0","0","0","125","0","12","0","0"
"0","3","0","100501","0","8","0","0","0","0","350","0","0","0","225","1","49","0","0"
"0","4","0","100501","0","17","0","0","15","0","880","0","3","0","275","1","110","0","0"
"0","5","0","100501","0","28","0","0","15","0","1660","0","11","0","275","7","173","0","0"
"0","6","3","100501","0","48","0","0","15","0","2925","0","19","0","275","7","265","0","0"
"0","7","6","100501","0","66","0","0","40","0","3595","0","29","0","275","7","476","0","0"
"0","8","10","100501","0","87","0","0","40","0","4800","0","49","0","575","7","615","0","0"
"0","9","14","100501","0","104","10","5","40","0","5635","0","72","0","1025","12","788","0","15"
"0","10","17","100501","5","125","20","10","65","0","6415","0","94","0","1325","12","1027","0","15"
"30","11","20","100501","10","148","20","10","65","0","7295","0","112","0","1625","12","1305","0","25"
"80","12","20","100501","10","178","20","12","65","0","8135","0","136","0","1875","12","1564","0","35"
"126","13","20","100501","10","214","20","17","65","0","8655","0","160","0","2095","12","1861","0","37"
"162","14","20","100501","10","249","20","17","71","0","9045","0","189","0","2215","12","2191","2","39"
"202","15","20","100501","10","280","20","17","77","0","9235","0","219","0","2315","14","2575","4","39"
"236","16","20","100501","10","319","20","17","89","0","9365","0","260","0","2415","14","2930","4","39"
"280","17","20","100501","14","357","20","17","89","0","9655","0","312","0","2415","17","3244","4","39"
"352","18","20","100501","18","394","20","17","89","0","9935","0","371","0","2415","20","3595","4","39"
"409","19","20","100501","18","443","20","17","89","0","10305","0","428","0","2510","20","4029","4","39"
"436","20","20","100501","18","498","20","17","89","0","10590","0","489","0","2605","25","4501","4","39"
"488","21","20","100501","18","554","20","17","89","0","10800","0","559","0","2605","30","5022","4","39"
"587","22","20","100501","18","612","20","17","89","0","11290","0","622","0","2605","30","5725","4","39"
"681","23","20","100501","18","681","20","17","89","0","11605","0","685","0","2605","30","6562","4","39"
"746","24","20","100501","18","754","20","17","89","0","11925","0","756","0","2605","30","7465","4","39"
"813","25","20","100501","18","825","20","17","89","0","12540","0","831","0","2605","30","8484","4","39"
"864","26","20","100501","18","896","20","17","89","0","13290","0","910","0","2605","30","9621","4","39"
"892","27","20","100501","18","964","20","17","89","0","14290","0","985","0","2605","30","10886","4","39"
"911","28","20","100501","18","1041","20","17","89","0","17330","0","1064","0","2605","30","11991","4","39"
"921","29","20","100501","18","1130","20","17","89","0","22690","0","1153","0","2605","30","12893","4","39"
"931","30","20","100501","18","1224","20","17","89","0","28565","0","1247","0","2605","30","13832","4","39"
"941","31","20","100501","18","1322","20","17","89","0","34730","0","1345","0","2605","30","14808","4","39"
"951","32","20","100501","18","1423","20","17","89","0","41265","0","1446","0","2605","30","15821","4","39"
"961","33","20","100501","18","1526","20","17","89","0","48415","0","1549","0","2605","30","16891","4","39"
"971","34","20","100501","18","1631","20","17","89","0","56345","0","1654","0","2605","30","18018","4","39"
"981","35","20","100501","18","1737","20","17","89","0","64985","0","1760","0","2605","30","19183","4","39"
"991","36","20","100501","18","1844","20","17","89","0","74185","0","1867","0","2605","30","20385","4","39"
"1001","37","20","100501","18","1953","20","17","89","0","83850","0","1976","0","2605","30","21624","4","39"
"1011","38","20","100501","18","2063","20","17","89","0","94005","0","2086","0","2605","30","22900","4","39"
"0","2","0","100601","0","1","23","0","0","0","55","0","2","0","75","0","0","0","0"
"0","3","0","100601","0","2","78","0","0","0","150","0","7","0","150","0","0","0","0"
"0","4","0","100601","0","5","169","0","5","0","325","0","16","0","200","0","0","0","10"
"0","5","0","100601","0","7","322","0","15","0","625","0","32","0","200","0","0","0","10"
"0","6","0","100601","0","15","495","0","15","0","1155","0","51","0","200","0","0","0","25"
"0","7","0","100601","0","22","724","0","50","0","1515","0","69","0","200","0","26","0","30"
"0","8","0","100601","0","29","960","4","85","0","2115","0","93","0","200","0","26","0","60"
"0","9","0","100601","0","40","1224","9","85","0","2650","0","120","0","200","0","26","5","95"
"0","10","0","100601","0","50","1549","14","85","0","3240","0","143","13","420","0","26","10","105"
"0","11","0","100601","0","66","1880","14","101","0","3840","0","167","28","640","0","26","10","119"
"0","12","0","100601","0","79","2215","17","111","0","4200","0","192","43","760","0","26","17","135"
"0","13","0","100601","0","102","2582","17","121","0","4640","0","217","69","980","0","26","19","135"
"0","14","0","100601","0","130","2954","17","133","0","4760","0","250","93","1220","0","26","19","137"
"0","15","0","100601","0","157","3356","17","133","0","4990","0","282","109","1220","0","26","21","146"
"0","16","0","100601","0","183","3805","17","133","0","5140","0","316","129","1320","0","26","21","152"
"0","17","0","100601","0","216","4258","17","158","0","5260","0","353","144","1320","0","26","21","153"
"0","18","0","100601","0","248","4708","17","173","0","5665","0","397","169","1320","3","26","21","153"
"0","19","0","100601","0","287","5206","17","173","0","6310","0","447","193","1320","3","26","21","153"
"0","20","0","100601","0","327","5797","17","173","0","6860","0","493","240","1415","3","26","21","153"
"0","21","0","100601","0","370","6452","17","173","0","7370","0","543","288","1515","3","26","21","153"
"0","22","0","100601","0","420","7171","17","173","0","8370","0","603","318","1515","3","26","21","153"
"0","23","0","100601","0","474","7937","17","173","0","10145","0","672","318","1515","3","26","21","153"
"0","24","0","100601","0","533","8818","17","173","0","11670","0","738","333","1515","3","26","21","153"
"0","25","0","100601","0","587","9964","17","173","0","12670","0","798","355","1515","3","26","21","153"
"0","26","0","100601","0","630","11385","17","173","0","13505","0","847","377","1515","3","26","21","153"
"0","27","0","100601","0","670","12944","17","173","0","14530","0","890","394","1515","3","26","21","153"
"0","28","0","100601","0","712","14609","17","173","0","15675","0","933","411","1515","3","26","21","153"
"0","29","0","100601","0","758","16394","17","173","0","16895","0","979","429","1515","3","26","21","153"
"0","30","0","100601","0","808","18267","17","173","0","18270","0","1029","447","1515","3","26","21","153"
"0","31","0","100601","0","859","20231","17","173","0","19725","0","1080","465","1515","3","26","21","153"
"0","32","0","100601","0","911","22285","17","173","0","21260","0","1132","483","1515","3","26","21","153"
"0","33","0","100601","0","965","24455","17","173","0","22870","0","1186","500","1515","3","26","21","153"
"0","34","0","100601","0","1020","26760","17","173","0","24650","0","1241","517","1515","3","26","21","153"
"0","35","0","100601","0","1076","29157","17","173","0","26670","0","1297","534","1515","3","26","21","153"
"0","36","0","100601","0","1133","31636","17","173","0","28860","0","1354","551","1515","3","26","21","153"
"0","37","0","100601","0","1191","34195","17","173","0","31220","0","1412","568","1515","3","26","21","153"
"0","38","0","100601","0","1250","36844","17","173","0","33655","0","1471","585","1515","3","26","21","153"
"0","2","0","100701","0","3","0","0","0","0","80","0","0","0","100","2","6","0","0"
"0","3","0","100701","0","10","0","0","0","0","200","0","0","0","200","3","46","0","0"
"0","4","0","100701","0","20","0","0","0","0","550","0","5","0","360","7","94","0","0"
"0","5","0","100701","0","35","0","0","0","0","1060","0","11","0","520","10","190","0","0"
"0","6","0","100701","0","53","0","0","0","0","1740","0","19","0","890","14","323","0","0"
"0","7","0","100701","0","76","0","0","0","0","2330","0","34","0","1260","18","480","0","0"
"0","8","0","100701","0","97","0","0","0","0","3510","0","50","0","1585","28","593","0","0"
"5","9","0","100701","0","124","10","5","0","0","4255","0","70","0","1585","35","790","0","0"
"20","10","0","100701","0","152","20","13","0","0","5065","0","90","0","1585","36","1035","0","0"
"40","11","0","100701","0","177","20","16","0","0","5765","0","110","0","1585","41","1296","0","20"
"50","12","0","100701","10","205","20","16","0","0","6265","0","132","0","1685","48","1558","0","40"
"50","13","0","100701","20","245","20","16","0","0","6785","0","165","0","1785","52","1786","0","42"
"60","14","2","100701","20","285","20","16","0","0","7005","0","204","0","1785","54","2066","2","44"
"70","15","4","100701","20","317","20","16","0","0","7005","0","239","0","1885","56","2455","4","44"
"82","16","4","100701","25","357","20","16","0","0","7205","0","269","0","1985","56","2857","4","44"
"82","17","4","100701","30","401","20","16","0","0","7715","0","296","0","2135","59","3253","4","44"
"94","18","4","100701","30","439","20","16","0","0","8025","0","334","0","2285","64","3721","4","44"
"116","19","4","100701","30","484","20","16","0","0","8025","0","375","0","2380","66","4301","4","44"
"136","20","4","100701","30","536","20","16","0","0","8060","0","419","0","2475","66","4938","4","44"
"148","21","4","100701","30","590","20","16","0","0","8205","0","486","0","2475","71","5511","4","44"
"188","22","4","100701","30","656","20","16","0","0","8695","0","552","0","2475","71","6189","4","44"
"188","23","4","100701","30","742","20","16","0","0","9010","0","622","0","2475","71","6953","4","44"
"188","24","4","100701","30","830","20","16","0","0","9330","0","697","0","2475","71","7793","4","44"
"205","25","4","100701","30","912","20","16","0","0","9945","0","772","0","2475","71","8782","4","44"
"231","26","4","100701","30","990","20","16","0","0","10695","0","851","0","2475","71","9897","4","44"
"249","27","4","100701","30","1062","20","16","0","0","11695","0","926","0","2475","71","11147","4","44"
"258","28","4","100701","30","1143","20","16","0","0","14735","0","1007","0","2475","71","12226","4","44"
"267","29","4","100701","30","1230","20","16","0","0","18005","0","1094","0","2475","71","13384","4","44"
"276","30","4","100701","30","1322","20","16","0","0","21790","0","1186","0","2475","71","14579","4","44"
"276","31","4","100701","30","1424","20","16","0","0","27955","0","1288","0","2475","71","15520","4","44"
"276","32","4","100701","30","1529","20","16","0","0","34490","0","1393","0","2475","71","16499","4","44"
"276","33","4","100701","30","1636","20","16","0","0","41640","0","1500","0","2475","71","17534","4","44"
"276","34","4","100701","30","1745","20","16","0","0","49570","0","1609","0","2475","71","18625","4","44"
"276","35","4","100701","30","1855","20","16","0","0","58210","0","1719","0","2475","71","19754","4","44"
"276","36","4","100701","30","1966","20","16","0","0","67410","0","1830","0","2475","71","20920","4","44"
"276","37","4","100701","30","2079","20","16","0","0","77075","0","1943","0","2475","71","22123","4","44"
"276","38","4","100701","30","2193","20","16","0","0","87230","0","2057","0","2475","71","23364","4","44"
"0","2","0","100801","0","1","23","0","0","0","55","0","2","0","75","0","0","0","0"
"0","3","0","100801","0","2","78","0","0","0","150","0","7","0","150","0","0","0","0"
"0","4","0","100801","0","5","169","0","5","0","325","0","16","0","200","0","0","0","10"
"0","5","0","100801","0","7","322","0","15","0","625","0","32","0","200","0","0","0","10"
"0","6","0","100801","0","15","495","0","15","0","1155","0","51","0","200","0","0","0","25"
"0","7","0","100801","0","22","724","0","50","0","1515","0","69","0","200","0","26","0","30"
"0","8","0","100801","0","29","1003","4","50","0","1680","0","91","0","200","0","52","0","75"
"0","9","0","100801","0","40","1267","9","50","0","2215","0","118","0","200","0","52","5","110"
"0","10","0","100801","0","52","1566","14","85","0","2755","0","140","16","300","0","52","10","115"
"0","11","0","100801","0","57","1937","14","101","0","3175","0","166","34","840","0","52","10","129"
"0","12","0","100801","0","64","2352","17","127","0","3335","0","185","59","960","0","52","17","135"
"0","13","0","100801","0","77","2797","17","137","0","3575","0","204","93","1080","0","52","22","135"
"0","14","0","100801","0","93","3253","17","149","0","3775","0","229","127","1320","0","52","22","135"
"0","15","0","100801","0","110","3747","17","149","0","4005","0","251","157","1440","0","52","22","144"
"0","16","0","100801","0","126","4294","17","149","0","4185","0","273","193","1440","0","52","22","150"
"0","17","0","100801","0","145","4848","17","174","0","4255","0","301","228","1440","0","52","22","151"
"0","18","0","100801","0","168","5401","17","199","0","4600","0","334","268","1440","0","52","22","151"
"0","19","0","100801","0","194","6004","17","199","0","5245","0","371","317","1440","0","52","22","151"
"0","20","0","100801","0","219","6727","17","199","0","5795","0","402","388","1440","0","52","22","151"
"0","21","0","100801","0","251","7443","17","199","0","6270","0","447","459","1540","0","52","22","151"
"0","22","0","100801","0","284","8302","17","199","0","7160","0","490","525","1640","0","52","22","151"
"0","23","0","100801","0","319","9263","17","199","0","8620","0","540","555","1640","0","52","22","151"
"0","24","0","100801","0","354","10345","17","199","0","10145","0","590","570","1640","0","52","22","151"
