5bf828b0e54ccd00ad6ec48b47331c022c0d3db2c963a72bc6c1ddcce5a625d6,9339145d869ca3115969b0e45f3d66277f12bb0563904c3b0fe77c9ed28287d7,466b8d50e9e7dc607084d36f915197924a4d262addf8f01dc19e649bdab5d79f,8db74f8374eae974a543124b8d175c9aed1cf2b9cfde2cc9e5d9b1a8391cf8a5,ac66a1a3a1026a281016f27fec551d318b4d1bd6074d3a5743487fbd8a33067d,08c559156a37949e43d380ac6bd8d907b40bcc4616e3451799c45306d00bbaa4,da08811a50ddecfa32d81ac985ed4dd490965670b74379a3b0819b91e4aa31a1,b7dd5c5d77a1718ad5bc90dd874b937b96f9c5e3109afba44f4e92e49e80159e,3e1e0a741db5987bfe7cf555cd74ca58bf2b535b41b362b8279c503e36255322
"100416","0","在HARD2難易度戰鬥1次","4","2","1","100416","1003","1004"
"100417","0","在HARD3難易度戰鬥1次","4","2","1","100417","1004","1004"
"100418","15000","在HARD難易度取得15000分","5","2","1","100418","1001","1004"
"100419","30000","在HARD難易度取得30000分","5","2","1","100419","1001","1004"
"100420","45000","在HARD難易度取得45000分","5","2","1","100420","1001","1004"
"100421","0","在EXTRA1難易度戰鬥1次","6","3","1","100421","1002","1004"
"100422","0","在EXTRA2難易度戰鬥1次","6","3","1","100422","1003","1004"
"100423","0","在EXTRA3難易度戰鬥1次","6","3","1","100423","1004","1004"
"100424","20000","在EXTRA難易度取得20000分","7","3","1","100424","1001","1004"
"100425","40000","在EXTRA難易度取得40000分","7","3","1","100425","1001","1004"
"100426","60000","在EXTRA難易度取得60000分","7","3","1","100426","1001","1004"
"100501","10000","全難易度合計取得10000分","0","0","1","100501","1001","1005"
"100502","30000","全難易度合計取得30000分","0","0","1","100502","1001","1005"
"100503","50000","全難易度合計取得50000分","0","0","1","100503","1001","1005"
"100504","70000","全難易度合計取得70000分","0","0","1","100504","1001","1005"
"100505","90000","全難易度合計取得90000分","1","0","1","100505","1001","1005"
"100506","105000","全難易度合計取得105000分","1","0","1","100506","1001","1005"
"100507","120000","全難易度合計取得120000分","1","0","1","100507","1001","1005"
"100508","135000","全難易度合計取得135000分","1","0","1","100508","1001","1005"
"100509","0","在NORMAL1難易度戰鬥1次","2","1","1","100509","1002","1005"
"100510","0","在NORMAL2難易度戰鬥1次","2","1","1","100510","1003","1005"
"100511","0","在NORMAL3難易度戰鬥1次","2","1","1","100511","1004","1005"
"100512","10000","在NORMAL難易度取得10000分","3","1","1","100512","1001","1005"
"100513","20000","在NORMAL難易度取得20000分","3","1","1","100513","1001","1005"
"100514","30000","在NORMAL難易度取得30000分","3","1","1","100514","1001","1005"
"100515","0","在HARD1難易度戰鬥1次","4","2","1","100515","1002","1005"
"100516","0","在HARD2難易度戰鬥1次","4","2","1","100516","1003","1005"
"100517","0","在HARD3難易度戰鬥1次","4","2","1","100517","1004","1005"
"100518","15000","在HARD難易度取得15000分","5","2","1","100518","1001","1005"
"100519","30000","在HARD難易度取得30000分","5","2","1","100519","1001","1005"
"100520","45000","在HARD難易度取得45000分","5","2","1","100520","1001","1005"
"100521","0","在EXTRA1難易度戰鬥1次","6","3","1","100521","1002","1005"
"100522","0","在EXTRA2難易度戰鬥1次","6","3","1","100522","1003","1005"
"100523","0","在EXTRA3難易度戰鬥1次","6","3","1","100523","1004","1005"
"100524","20000","在EXTRA難易度取得20000分","7","3","1","100524","1001","1005"
"100525","40000","在EXTRA難易度取得40000分","7","3","1","100525","1001","1005"
"100526","60000","在EXTRA難易度取得60000分","7","3","1","100526","1001","1005"
"100601","10000","全難易度合計取得10000分","0","0","1","100601","1001","1006"
"100602","30000","全難易度合計取得30000分","0","0","1","100602","1001","1006"
"100603","50000","全難易度合計取得50000分","0","0","1","100603","1001","1006"
"100604","70000","全難易度合計取得70000分","0","0","1","100604","1001","1006"
"100605","90000","全難易度合計取得90000分","1","0","1","100605","1001","1006"
"100606","105000","全難易度合計取得105000分","1","0","1","100606","1001","1006"
"100607","120000","全難易度合計取得120000分","1","0","1","100607","1001","1006"
"100608","135000","全難易度合計取得135000分","1","0","1","100608","1001","1006"
"100609","0","在NORMAL1難易度戰鬥1次","2","1","1","100609","1002","1006"
"100610","0","在NORMAL2難易度戰鬥1次","2","1","1","100610","1003","1006"
"100611","0","在NORMAL3難易度戰鬥1次","2","1","1","100611","1004","1006"
"100612","10000","在NORMAL難易度取得10000分","3","1","1","100612","1001","1006"
"100613","20000","在NORMAL難易度取得20000分","3","1","1","100613","1001","1006"
"100614","30000","在NORMAL難易度取得30000分","3","1","1","100614","1001","1006"
"100615","0","在HARD1難易度戰鬥1次","4","2","1","100615","1002","1006"
"100616","0","在HARD2難易度戰鬥1次","4","2","1","100616","1003","1006"
"100617","0","在HARD3難易度戰鬥1次","4","2","1","100617","1004","1006"
"100618","15000","在HARD難易度取得15000分","5","2","1","100618","1001","1006"
"100619","30000","在HARD難易度取得30000分","5","2","1","100619","1001","1006"
"100620","45000","在HARD難易度取得45000分","5","2","1","100620","1001","1006"
"100621","0","在EXTRA1難易度戰鬥1次","6","3","1","100621","1002","1006"
"100622","0","在EXTRA2難易度戰鬥1次","6","3","1","100622","1003","1006"
"100623","0","在EXTRA3難易度戰鬥1次","6","3","1","100623","1004","1006"
"100624","20000","在EXTRA難易度取得20000分","7","3","1","100624","1001","1006"
"100625","40000","在EXTRA難易度取得40000分","7","3","1","100625","1001","1006"
"100626","60000","在EXTRA難易度取得60000分","7","3","1","100626","1001","1006"
"100701","10000","全難易度合計取得10000分","0","0","1","100701","1001","1007"
"100702","30000","全難易度合計取得30000分","0","0","1","100702","1001","1007"
"100703","50000","全難易度合計取得50000分","0","0","1","100703","1001","1007"
"100704","70000","全難易度合計取得70000分","0","0","1","100704","1001","1007"
"100705","90000","全難易度合計取得90000分","1","0","1","100705","1001","1007"
"100706","105000","全難易度合計取得105000分","1","0","1","100706","1001","1007"
"100707","120000","全難易度合計取得120000分","1","0","1","100707","1001","1007"
"100708","135000","全難易度合計取得135000分","1","0","1","100708","1001","1007"
"100709","0","在NORMAL1難易度戰鬥1次","2","1","1","100709","1002","1007"
"100710","0","在NORMAL2難易度戰鬥1次","2","1","1","100710","1003","1007"
"100711","0","在NORMAL3難易度戰鬥1次","2","1","1","100711","1004","1007"
"100712","10000","在NORMAL難易度取得10000分","3","1","1","100712","1001","1007"
"100713","20000","在NORMAL難易度取得20000分","3","1","1","100713","1001","1007"
"100714","30000","在NORMAL難易度取得30000分","3","1","1","100714","1001","1007"
"100715","0","在HARD1難易度戰鬥1次","4","2","1","100715","1002","1007"
"100716","0","在HARD2難易度戰鬥1次","4","2","1","100716","1003","1007"
"100717","0","在HARD3難易度戰鬥1次","4","2","1","100717","1004","1007"
"100718","15000","在HARD難易度取得15000分","5","2","1","100718","1001","1007"
"100719","30000","在HARD難易度取得30000分","5","2","1","100719","1001","1007"
"100720","45000","在HARD難易度取得45000分","5","2","1","100720","1001","1007"
"100721","0","在EXTRA1難易度戰鬥1次","6","3","1","100721","1002","1007"
"100722","0","在EXTRA2難易度戰鬥1次","6","3","1","100722","1003","1007"
"100723","0","在EXTRA3難易度戰鬥1次","6","3","1","100723","1004","1007"
"100724","20000","在EXTRA難易度取得20000分","7","3","1","100724","1001","1007"
"100725","40000","在EXTRA難易度取得40000分","7","3","1","100725","1001","1007"
"100726","60000","在EXTRA難易度取得60000分","7","3","1","100726","1001","1007"
"100801","10000","全難易度合計取得10000分","0","0","1","100801","1001","1008"
"100802","30000","全難易度合計取得30000分","0","0","1","100802","1001","1008"
"100803","50000","全難易度合計取得50000分","0","0","1","100803","1001","1008"
"100804","70000","全難易度合計取得70000分","0","0","1","100804","1001","1008"
"100805","90000","全難易度合計取得90000分","1","0","1","100805","1001","1008"
"100806","105000","全難易度合計取得105000分","1","0","1","100806","1001","1008"
"100807","120000","全難易度合計取得120000分","1","0","1","100807","1001","1008"
"100808","135000","全難易度合計取得135000分","1","0","1","100808","1001","1008"
"100809","0","在NORMAL1難易度戰鬥1次","2","1","1","100809","1002","1008"
"100810","0","在NORMAL2難易度戰鬥1次","2","1","1","100810","1003","1008"
"100811","0","在NORMAL3難易度戰鬥1次","2","1","1","100811","1004","1008"
"100812","10000","在NORMAL難易度取得10000分","3","1","1","100812","1001","1008"
"100813","20000","在NORMAL難易度取得20000分","3","1","1","100813","1001","1008"
"100814","30000","在NORMAL難易度取得30000分","3","1","1","100814","1001","1008"
"100815","0","在HARD1難易度戰鬥1次","4","2","1","100815","1002","1008"
"100816","0","在HARD2難易度戰鬥1次","4","2","1","100816","1003","1008"
"100817","0","在HARD3難易度戰鬥1次","4","2","1","100817","1004","1008"
"100818","15000","在HARD難易度取得15000分","5","2","1","100818","1001","1008"
"100819","30000","在HARD難易度取得30000分","5","2","1","100819","1001","1008"
"100820","45000","在HARD難易度取得45000分","5","2","1","100820","1001","1008"
"100821","0","在EXTRA1難易度戰鬥1次","6","3","1","100821","1002","1008"
"100822","0","在EXTRA2難易度戰鬥1次","6","3","1","100822","1003","1008"
"100823","0","在EXTRA3難易度戰鬥1次","6","3","1","100823","1004","1008"
"100824","20000","在EXTRA難易度取得20000分","7","3","1","100824","1001","1008"
"100825","40000","在EXTRA難易度取得40000分","7","3","1","100825","1001","1008"
"100826","60000","在EXTRA難易度取得60000分","7","3","1","100826","1001","1008"
"100901","10000","全難易度合計取得10000分","0","0","1","100901","1001","1009"
"100902","30000","全難易度合計取得30000分","0","0","1","100902","1001","1009"
"100903","50000","全難易度合計取得50000分","0","0","1","100903","1001","1009"
"100904","70000","全難易度合計取得70000分","0","0","1","100904","1001","1009"
"100905","90000","全難易度合計取得90000分","1","0","1","100905","1001","1009"
"100906","105000","全難易度合計取得105000分","1","0","1","100906","1001","1009"
"100907","120000","全難易度合計取得120000分","1","0","1","100907","1001","1009"
"100908","135000","全難易度合計取得135000分","1","0","1","100908","1001","1009"
"100909","0","在NORMAL1難易度戰鬥1次","2","1","1","100909","1002","1009"
"100910","0","在NORMAL2難易度戰鬥1次","2","1","1","100910","1003","1009"
"100911","0","在NORMAL3難易度戰鬥1次","2","1","1","100911","1004","1009"
"100912","10000","在NORMAL難易度取得10000分","3","1","1","100912","1001","1009"
"100913","20000","在NORMAL難易度取得20000分","3","1","1","100913","1001","1009"
"100914","30000","在NORMAL難易度取得30000分","3","1","1","100914","1001","1009"
"100915","0","在HARD1難易度戰鬥1次","4","2","1","100915","1002","1009"
"100916","0","在HARD2難易度戰鬥1次","4","2","1","100916","1003","1009"
"100917","0","在HARD3難易度戰鬥1次","4","2","1","100917","1004","1009"
"100918","15000","在HARD難易度取得15000分","5","2","1","100918","1001","1009"
"100919","30000","在HARD難易度取得30000分","5","2","1","100919","1001","1009"
"100920","45000","在HARD難易度取得45000分","5","2","1","100920","1001","1009"
"100921","0","在EXTRA1難易度戰鬥1次","6","3","1","100921","1002","1009"
"100922","0","在EXTRA2難易度戰鬥1次","6","3","1","100922","1003","1009"
"100923","0","在EXTRA3難易度戰鬥1次","6","3","1","100923","1004","1009"
"100924","20000","在EXTRA難易度取得20000分","7","3","1","100924","1001","1009"
"100925","40000","在EXTRA難易度取得40000分","7","3","1","100925","1001","1009"
"100926","60000","在EXTRA難易度取得60000分","7","3","1","100926","1001","1009"
