2f89073b4a9eb25e24691e7321a79c4abda0497ccd223dfa0ba72df0b3943107,aa82004355c440a1aeba596d757d5550c4762ecd8c2877268ff390ec573cf12b,e85ee405e60d983983f489b860f7aa602cfa4ca61e519895341a900c74b78a20,bb0b97f7b3a9486a4f8d950d1a5f464eb8438cb3a45516c113cf950b0596ec9a,bedda206e32dfb2ff787e1d08371ef7a5fc31eb910e723fe13a5916354c699c0,a31aaaed36477e24390f09483ff442520c40fba1a63bb72e03f9f99de1567501
"1","230011","0","0","2000","2999129"
"14","230021","0","0","2000","100"
"14","230022","0","0","2000","101"
"14","230031","0","0","6000","107"
"14","230041","0","0","2000","6"
"14","230042","0","0","2000","7"
"14","230051","0","0","20","9"
"14","240011","0","0","6000","108"
"1","240021","0","0","10000","2999132"
"1","240031","0","0","10000","2999133"
"14","240041","0","0","4000","2"
"14","240042","0","0","4000","4"
"14","240051","0","0","2000","3"
"14","240052","0","0","2000","5"
"14","250011","0","0","2000","110"
"14","250021","0","0","2000","1"
"1","250031","0","0","100000","2999139"
"1","250041","0","0","100000","2999154"
"1","250051","0","0","10000","2999165"
"14","300011","0","0","10000","104"
"14","310011","0","0","15","14"
"1","310021","0","0","30000","2999119"
"1","310031","0","0","30000","2999120"
"14","310041","0","0","6","16"
"1","310051","0","0","3000","2999101"
"14","310061","0","0","100","14"
"14","320011","0","0","6000","105"
"1","320021","0","0","15000","2999123"
"1","320031","0","0","15000","2999126"
"1","320041","0","0","3000","2999127"
"1","320051","0","0","3000","2999128"
"1","320061","0","0","2500","2999192"
"1","330011","0","0","3000","2999129"
"14","330021","0","0","3000","100"
"14","330022","0","0","3000","101"
"14","330031","0","0","9000","107"
"14","330041","0","0","3000","6"
"14","330042","0","0","3000","7"
"14","330051","0","0","30","9"
"14","330061","0","0","50000","107"
"14","330062","0","0","50","9"
"14","340011","0","0","9000","108"
"1","340021","0","0","15000","2999132"
"1","340031","0","0","15000","2999133"
"14","340041","0","0","6000","2"
"14","340042","0","0","6000","4"
"14","340051","0","0","3000","3"
"14","340052","0","0","3000","5"
"1","340061","0","0","5000","2999191"
"14","350011","0","0","3000","110"
"14","350021","0","0","3000","1"
"1","350031","0","0","150000","2999144"
"1","350041","0","0","150000","2999159"
"1","350051","0","0","15000","2999166"
"14","350061","0","0","10000","1"
"14","400011","0","0","1500","1"
"14","400012","0","0","1500","102"
"14","400013","0","0","1500","103"
"14","400021","0","0","5000","104"
"8","400031","0","0","0","10"
"14","400041","0","0","5000","100"
"14","400042","0","0","5000","101"
"14","400043","0","0","-2500","6"
"14","400044","0","0","-2500","7"
"2","400051","0","0","1","40005"
"14","400061","0","0","1500","2"
"14","400062","0","0","1500","4"
"14","400063","0","0","1500","108"
"1","400071","0","0","50000","2999193"
"1","400081","0","0","50000","2999194"
"4","400091","0","0","0","3000"
"6","400092","0","0","0","-10"
"14","400101","0","0","2000","109"
"2","400111","0","0","1","40011"
"1","400121","0","0","50000","2999205"
"1","400131","0","0","10000","2999204"
"1","400141","0","0","5000","2999207"
"14","500011","25","1","400","2"
"14","500012","25","1","400","4"
"12","500021","0","0","0","0"
"14","500031","10000","30","1","107"
"1","500041","0","0","2500","2999130"
"3","500051","0","0","1","50005"
"1","500061","0","0","50000","2999195"
"1","500071","0","0","50000","2999197"
"1","500081","0","0","50000","2999202"
"14","500091","10000","30","1","100"
"14","500092","10000","30","1","101"
"1","500101","0","0","50000","2999203"
"10","500111","0","0","0","1"
"9","500121","0","0","0","1"
"11","500131","0","0","0","1"
"1","500141","0","0","50000","2999206"
