4da06acfc7d09e5c9eed7930616acd8da8329e8aac8a0dbdb2858ee6b164994d,479c050d609a4d1595fa8380c34b5df5a3a341296222754d9092a9b180494b45,7f67401a581c888dc3e6536242b8e44f07a7245ed31a241cef1e5f9617ac9351,e1b54d5bebac85d6e491ebbd3aa73363c10c3a6cb75352c462c400722f90e95f,e6e9937ff82bb7769ad5736baa0e944c723c3107482031392d14aa8220f56574
"45","11004","155","7000","139"
"5","11004","200","3000","140"
"60","11005","155","7000","141"
"10","11005","200","3000","142"
"60","11006","150","7000","143"
"15","11006","200","3000","144"
"60","11007","150","7000","145"
"15","11007","200","3000","146"
"50","11008","160","7000","147"
"15","11008","200","3000","148"
"70","11009","140","7000","149"
"30","11009","200","3000","150"
"35","11010","180","7000","151"
"120","11010","200","3000","152"
"65","11011","140","7000","153"
"30","11011","200","3000","154"
"35","11012","200","7000","155"
"5","11012","5","3000","156"
"70","11013","150","7000","157"
"15","11013","200","3000","158"
"60","11014","150","7000","159"
"15","11014","200","3000","160"
"60","11015","150","7000","161"
"15","11015","200","3000","162"
"60","11016","150","7000","163"
"15","11016","200","3000","164"
"60","11017","150","7000","165"
"15","11017","200","3000","166"
"50","11018","120","7000","167"
"60","11018","200","3000","168"
"67","11019","102","7000","169"
"60","11019","200","3000","170"
"35","11020","120","7000","171"
"60","11020","250","3000","172"
"30","20001","200","5000","173"
"30","20001","5","5000","174"
"60","20002","220","5000","175"
"60","20002","5","5000","176"
"60","20003","200","5000","177"
"15","20003","200","5000","178"
"60","20004","200","5000","179"
"10","20004","200","5000","180"
"40","20005","150","5000","181"
"40","20005","5","5000","182"
"60","20006","150","5000","183"
"10","20006","200","5000","184"
"40","20007","150","5000","185"
"40","20007","5","5000","186"
"50","20008","150","5000","187"
"15","20008","200","5000","188"
"45","20009","150","5000","189"
"10","20009","200","5000","190"
"40","20010","145","5000","191"
"10","20010","5","5000","192"
"40","20011","300","5000","193"
"10","20011","5","5000","194"
"65","20012","200","5000","195"
"10","20012","200","5000","196"
"40","20013","150","5000","197"
"10","20013","5","5000","198"
"40","20014","100","5000","199"
"10","20014","5","5000","200"
"50","20015","200","5000","201"
"10","20015","5","5000","202"
"60","20016","250","5000","203"
"30","20016","200","5000","204"
"45","20017","120","5000","205"
"90","20017","300","5000","206"
"90","20018","120","5000","207"
"30","20018","200","5000","208"
"50","20019","190","5000","209"
"60","20019","350","5000","210"
"90","20020","95","5000","211"
"90","20020","95","5000","212"
"60","20021","200","5000","213"
"60","20021","200","5000","214"
"60","20022","200","5000","215"
"60","20022","200","5000","216"
"60","20023","200","5000","217"
"60","20023","200","5000","218"
"30","21001","130","5000","219"
"5","21001","5","5000","220"
"30","21002","140","5000","221"
"5","21002","5","5000","222"
"40","21003","150","5000","223"
"5","21003","5","5000","224"
"45","21004","155","5000","225"
"5","21004","200","5000","226"
"60","21005","155","5000","227"
"10","21005","200","5000","228"
"60","21006","150","5000","229"
"15","21006","200","5000","230"
"60","21007","150","5000","231"
"15","21007","200","5000","232"
"50","21008","160","5000","233"
"15","21008","200","5000","234"
"70","21009","140","5000","235"
"30","21009","200","5000","236"
"35","21010","180","5000","237"
"120","21010","200","5000","238"
"65","21011","140","5000","239"
"30","21011","200","5000","240"
"35","21012","200","5000","241"
"5","21012","5","5000","242"
"70","21013","150","5000","243"
"15","21013","200","5000","244"
"60","21014","150","5000","245"
"15","21014","200","5000","246"
"60","21015","150","5000","247"
"15","21015","200","5000","248"
"60","21016","150","5000","249"
"15","21016","200","5000","250"
"60","21017","150","5000","251"
"15","21017","200","5000","252"
"50","21018","120","5000","253"
"60","21018","200","5000","254"
"67","21019","102","5000","255"
"60","21019","200","5000","256"
"35","21020","120","5000","257"
"60","21020","250","5000","258"
