d7c7fad7f5831ce662fe9c7ceaef9ade0e250e2a099e7991b1738492c452b909,ed5a851cface13d6c5694949b61529de767cbd032c91e5a8fbe7bbb3cb463668,18cce0860c025ee6cb9d82c139a98b0b5c0290b203306e4006646a4d2a5bcbde,a6ff0183179235ee059191c5c0d01c331258cf86e40a4a212227285ed056d614,3c9a2f689245ebd49de2bfcb309788537a624107ac0f133e380204617142da4c,764ea2a5f7c41a0ef880ffc5614d3e083ab0937f328f3e9f852f4b3bbdee9081,76cd657a8fc97e653990886f28cfdad4f0b07668c282d28e56e801ee9b761423,70fa518994ce482e697699947d9bfd125dbc97303010d90bd355bc9079a615ff,ea5561d1c3b59da1430c17d3fe7fc631026fad50e590a0917e699923d2b03ea3,772612226f1160e20917fdd4660bf32e753ab006a84b63aa74f575cde35d1cb2,9a1bc38fbb2882c7b829bdd6b684189070fd106c04b5a5c94d7b31699175d9bc
"0","3","1","1019","0.5","11","2","0","0","1","啾啾！"
"","","1","1020","","91","0","","","",""
"0.2","1","1","1021","","3","2","","","","psy_fairy_idle"
"0.2","1","1","1022","","3","119931","","","","psy_miyako_talk2"
"","0","1","1023","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0102"
"0","3","1","1024","0.5","11","119931","0","0","1","你也想幫忙嗎？\n那就去真陽那邊\n帶很多蛋和牛奶回來吧！\n材料越多越好喲！"
"","","1","1025","","93","2","","","","1"
"0.2","1","1","1026","","3","119931","","","","psy_miyako_talk_joy2"
"","","1","1027","","91","1024","","","",""
"","","1","1028","","22","0","","","","0"
"0.2","1","1","1029","","3","119931","","","","psy_miyako_idle"
"","","1","1030","","4","2","","","","1"
"0.2","0","1","1031","","3","2","1","0","psy_fairy_run","psy_fairy_run_in"
"","","1","1032","","93","1.3","","","",""
"","-220","1","1033","","2","2","0","","1","1000"
"","","1","1034","","93","2","","","",""
"0.2","0","1","1035","","3","119931","1","0.2","psy_miyako_doya_loop","psy_miyako_doya_in"
"","0","1","1036","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0103"
"0","4","1","1037","0.5","11","119931","0","0","1","你也來幫宮子的忙！\n麻煩的事情全部都\n交給你喲！"
"","","1","1038","","91","0","","","",""
"","","1","1039","","22","0","","","","0"
"0","1","1","1040","0","12","1","0","0","0","11"
"0.2","0","1","1041","","3","1","1","0.2","psy_item00_idle_guts","psy_item00_talk_guts"
"","","1","1042","","93","2","","","",""
"0.2","1","1","1043","","3","119931","","","","psy_miyako_talk_joy2"
"","0","1","1044","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0104"
"0","4","1","1045","0.5","11","119931","0","0","1","把所有人都\n變成好吃的布丁喲～♪"
"","","1","1046","","93","4","","","","1"
"0.2","0","1","1047","","3","119931","1","0.2","psy_miyako_fight_loop","psy_miyako_fight_in"
"0.2","0","1","1048","","3","1","1","0.2","psy_item00_handsup_loop","psy_item00_handsup"
"","","1","1049","","93","1.5","","","",""
"","","1","1050","","91","1045","","","",""
"","","1","1051","","22","0","","","","0"
"1.7","100","2","2001","psy_miyako_start","1","1","-200","0","-300","119931"
"1.7","100","2","2002","psy_walk","1","1","-220","1","300","106011"
"1","0","2","2003","","31","1","1","","0","11"
"1.7","101","2","2004","psy_smoke_start","5","1","-200","0","-300","1"
"","-220","2","2005","","2","106011","0","","2","185"
"","","2","2006","","93","2","","","",""
"0.2","0","2","2007","","3","106011","1","0","psy_kyaru_talk_arm_crossed_loop","psy_kyaru_talk_arm_crossed"
"","0","2","2008","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0305"
"0","5","2","2009","0.5","11","106011","0","0","1","喂，你，\n幫我隨便挑些適合\n帶給貪吃佩可的點心……"
"","","2","2010","","91","0","","","",""
"","0","2","2011","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0306"
"0.2","1","2","2012","","3","106011","","","","psy_talk_sad"
"0","7","2","2013","0.5","11","106011","0","0","1","呃，居然不在。\n聽說那傢伙在這邊工作\n我才來的……話說根本沒人在嘛，\n真是粗心的店家呢。"
"","","2","2014","","93","4","","","","1"
"0.2","1","2","2015","","3","106011","","","","psy_talk_sad"
"","","2","2016","","91","2013","","","",""
"0.2","1","2","2017","","3","106011","","","","psy_idle_sad"
"0.2","0","2","2018","","3","119931","1","0.2","psy_miyako_thinking4","psy_miyako_appear"
"0","0","2","2019","","3","1","0","0","psy_smoke_start","psy_smoke_appear"
"","0","2","2020","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0301"
"0","4","2","2021","1","11","119931","0","0","1","布丁……布丁……\n要製作究極的布丁好難喲……\n好想要能夠讓人靈光一閃的契機……"
"","","2","2022","","93","1","","","","1"
"0.2","0","2","2023","","3","106011","1","0.2","psy_idle_surprise2","psy_surprise"
"","","2","2024","","91","2021","","","",""
"","","2","2025","","22","0","","","","0"
"0.2","1","2","2026","","3","119931","","","","psy_miyako_idle_thinking"
"0.2","1","2","2027","","3","106011","","","","psy_talk_surprise2"
"","0","2","2028","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0307"
"0","6","2","2029","0.5","11","106011","0","0","1","呀啊！？\n妳突然冒出來是幹什麼呀！"
"","","2","2030","","91","0","","","",""
"0.2","1","2","2031","","3","106011","","","","psy_idle_surprise2"
"0.2","1","2","2032","","3","119931","","","","psy_miyako_anger1"
"","0","2","2033","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0302"
"0","4","2","2034","1","11","119931","0","0","1","擅自進來的人是妳喲，\n宮子沒有錯。\n不要妨礙宮子來的……嗯？\n妳……"
"","","2","2035","","93","8","","","","1"
"0.2","1","2","2036","","3","119931","","","","psy_miyako_thinking2"
"","","2","2037","","91","2034","","","",""
"","","2","2038","","22","0","","","","0"
"0.2","1","2","2039","","3","106011","","","","psy_talk_sad"
"","0","2","2040","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0308"
"0","9","2","2041","0.5","11","106011","0","0","1","幹、幹什麼……"
"","","2","2042","","91","0","","","",""
"0.2","1","2","2043","","3","106011","","","","psy_idle_sad"
"0.2","1","2","2044","","3","119931","","","","psy_miyako_run"
"","-200","2","2045","","2","119931","0","","2","0"
"","","2","2046","","93","2","","","",""
"0.2","1","2","2047","","3","119931","","","","psy_miyako_thinking2"
"","0","2","2048","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0303"
"0","5","2","2049","1","11","119931","0","0","1","嗯嗯嗯嗯嗯……\n總覺得妳很美味來的……"
"","","2","2050","","91","0","","","",""
"","","2","2051","","22","0","","","","0"
"","","2","2052","","93","0.5","","","",""
"0.2","1","2","2053","","3","106011","","","","psy_talk_sad"
"","0","2","2054","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0309"
"0","4","2","2055","0.5","11","106011","0","0","1","啥？"
"","","2","2056","","91","0","","","",""
"0.2","1","2","2057","","3","106011","","","","psy_idle_sad"
"","0","2","2058","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0304"
"0","5","2","2059","0.5","11","119931","0","0","1","人家要把妳變成布丁喲～～！！"
"","","2","2060","","93","0.5","","","","1"
"0.2","0","2","2061","","3","119931","1","0","psy_miyako_attack_loop","psy_miyako_attack_in"
"","","2","2062","","93","0.2","","","","1"
"0.2","0","2","2063","","3","106011","1","0.2","psy_idle_surprise2","psy_surprise"
"","","2","2064","","91","2059","","","",""
"","","2","2065","","22","0","","","","0"
"0.2","1","2","2066","","3","106011","","","","psy_talk_surprise2"
"","0","2","2067","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0310"
"0","7","2","2068","0.5","11","106011","0","0","1","搞、搞什麼呀這間店～～！！"
"","","2","2069","","91","0","","","",""
"","","2","2070","","4","106011","","","","0"
"0.2","1","2","2071","","3","106011","","","","psy_run_shy"
"0.2","1","2","2072","","3","119931","","","","psy_miyako_attack_loop_move"
"","-220","2","2073","","2","106011","0","","3","1000"
"","-220","2","2074","","2","119931","0","","5","1000"
"","","2","2075","","93","3.5","","","",""
"","","2","2076","","22","0","","","","0"
"","","2","2077","","91","0","","","",""
"1.65","100","3","3001","psy_miyako_gasagoso_B","1","1","-150","1","-250","119931"
"1.7","100","3","3002","psy_walk","1","1","-180","1","340","105511"
"1","0","3","3003","","31","1","1","","0","11"
"1.7","101","3","3004","psy_smoke_start","5","1","-220","0","-300","1"
"","-180","3","3005","","2","105511","0","","2","225"
"","","3","3006","","93","2","","","",""
"0.2","1","3","3007","","3","105511","","","","psy_talk_wish"
"","0","3","3008","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0203"
"0","7","3","3009","0.5","11","105511","0","0","1","這、這裡就是前輩工作的地方吧？"
"","","3","3010","","91","0","","","",""
"0.2","0","3","3011","","3","105511","1","0","psy_ayumi_kyoro_loop","psy_ayumi_kyoro_in"
"","","3","3012","","93","1.8","","","",""
"0.2","1","3","3013","","3","105511","","","","psy_talk_joy1"
"","0","3","3014","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0204"
"0","6","3","3015","0.5","11","105511","0","0","1","哇～好多看起來很美味的甜點\n擺在那邊呢……前輩做的甜點\n是不是也在裡面呢？"
"","","3","3016","","91","0","","","",""
"0.2","1","3","3017","","3","105511","","","","psy_talk_call"
"","0","3","3018","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0205"
"0","7","3","3019","0.5","11","105511","0","0","1","那個……請給我一份這個甜點。\n那個～不好意思～\n沒聽到我的聲音嗎？"
"","","3","3020","","93","3","","","","1"
"0","0.8","3","3021","0","12","119931","0","0","1","5"
"","","3","3022","","4","119931","","","","0"
"0","1","3","3023","","3","119931","","","","psy_miyako_idle_thinking"
"","","3","3024","","93","1.5","","","","1"
"","","3","3025","","4","119931","","","","1"
"0","1","3","3026","","3","119931","","","","psy_miyako_gasagoso_B"
"","","3","3027","","93","0.5","","","","1"
"0.2","1","3","3028","","3","105511","","","","psy_talk_sad"
"","","3","3029","","91","3019","","","",""
"0.2","1","3","3030","","3","105511","","","","psy_talk_wish"
"","0","3","3031","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0206"
"0","6","3","3032","0.5","11","105511","0","0","1","總、總之我把錢放在這裡了，\n再見！"
"","","3","3033","","93","2","","","","1"
"0.2","1","3","3034","","3","105511","","","","psy_gasagoso_B2"
"","","3","3035","","93","1","","","","1"
"0.2","0","3","3036","","3","105511","1","0.2","psy_idle_normal","psy_pekori"
"","","3","3037","","91","3032","","","",""
"","","3","3038","","4","105511","","","","0"
"0.2","1","3","3039","","3","105511","","","","psy_run"
"","-180","3","3040","","2","105511","0","","3","1000"
"","","3","3041","","93","3","","","",""
"","","3","3042","","93","0.5","","","",""
"0","1","3","3043","","3","119931","","","","psy_miyako_idle_thinking"
"","","3","3044","","93","2","","","",""
"","","3","3045","","4","119931","","","","0"
"0.2","1","3","3046","","3","119931","","","","psy_miyako_run"
"","-165","3","3047","","2","119931","0","","2","0"
"","","3","3048","","93","2","","","",""
"0.2","1","3","3049","","3","119931","","","","psy_miyako_thinking4"
"","0","3","3050","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0201"
"0","4","3","3051","0.5","11","119931","0","0","1","……？\n不知不覺出現了錢幣喲！\n剛才明明沒看到來的！\n好可怕！該不會有幽靈吧？"
"","","3","3052","","93","4","","","","1"
"0.2","1","3","3053","","3","119931","","","","psy_miyako_panic1"
"","","3","3054","","91","3051","","","",""
"","","3","3055","","22","0","","","","0"
"0.2","0","3","3056","","3","119931","1","0","psy_miyako_surprise2_loop","psy_miyako_surprise2_in"
"","0","3","3057","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0202"
"0","4","3","3058","1","11","119931","0","0","1","……！\n突然想到了布丁的靈感喲！\n不過腦海中浮現出的臉，宮子沒有印象。\n這傢伙…………是誰來的？"
"","","3","3059","","93","4","","","","1"
"0.2","1","3","3060","","3","119931","","","","psy_miyako_thinking4"
"","","3","3061","","91","3058","","","",""
"","","3","3062","","22","0","","","","0"
"","","3","3063","","93","1","","","",""
"","","3","3064","","91","0","","","",""
"1.7","100","4","4001","psy_miyako_start","1","1","-200","0","-300","119931"
"1.7","100","4","4002","psy_walk","1","1","-220","1","300","107131"
"1","0","4","4003","","31","1","1","","0","11"
"1.7","101","4","4004","psy_smoke_start","5","1","-200","0","-300","1"
"","-220","4","4005","","2","107131","0","","2","185"
"","","4","4006","","93","2","","","",""
"0.2","0","4","4007","","3","107131","1","0.2","psy_talk_doya_loop","psy_talk_doya"
"","0","4","4008","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0405"
"0","6","4","4009","0.5","11","107131","0","0","1","聽說這間店蔚為話題，\n克莉絲提娜我便來拜訪了唷☆"
"","","4","4010","","91","0","","","",""
"0.2","1","4","4011","","3","107131","","","","psy_idle_doya"
"0.2","1","4","4012","","3","107131","","","","psy_talk_sad"
"","0","4","4013","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0406"
"0","6","4","4014","0.5","11","107131","0","0","1","……嗯？這不是沒人在嗎？\n難得我來替慈樂之音\n買點慰勞品。\n喂，有沒有人在啊？"
"","","4","4015","","93","6","","","","1"
"0.2","1","4","4016","","3","107131","","","","psy_talk_call"
"","","4","4017","","91","4014","","","",""
"0.2","1","4","4018","","3","107131","","","","psy_idle_arm_crossed"
"0","0","4","4019","","3","119931","1","0.2","psy_miyako_talk_joy1","psy_miyako_appear"
"0","0","4","4020","","3","1","0","0","psy_smoke_start","psy_smoke_appear"
"","0","4","4021","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0401"
"0","5","4","4022","0.5","11","119931","0","0","1","啊！妳是！\n給人家巨大布丁的傢伙來的！\n又要送布丁給宮子了嗎？"
"","","4","4023","","91","0","","","",""
"","","4","4024","","22","0","","","","0"
"0.2","1","4","4025","","3","119931","","","","psy_miyako_idle"
"0.2","1","4","4026","","3","107131","","","","psy_talk_normal"
"","0","4","4027","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0407"
"0","6","4","4028","0.5","11","107131","0","0","1","妳是……哦，之前\n在聖誕節有碰過面呢。\n今天我不是聖誕老人，\n而是作為客人過來的。"
"","","4","4029","","91","0","","","",""
"0.2","1","4","4030","","3","107131","","","","psy_idle_normal"
"0.2","1","4","4031","","3","119931","","","","psy_miyako_sad1"
"","0","4","4032","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0402"
"0","4","4","4033","0.5","11","119931","0","0","1","人家沒空理不給布丁的人喲。\n老奶奶也不在家，\n快滾吧。"
"","","4","4034","","93","5","","","","1"
"0.2","1","4","4035","","3","119931","","","","psy_miyako_talk4"
"","","4","4036","","91","4033","","","",""
"","","4","4037","","22","0","","","","0"
"0.2","1","4","4038","","3","119931","","","","psy_miyako_idle2"
"0.2","0","4","4039","","3","107131","1","0.2","psy_ahaha_loop","psy_ahaha_in"
"","0","4","4040","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0408"
"0","5","4","4041","0.5","11","107131","0","0","1","哈哈哈！\n對我克莉絲提娜竟然如此\n口無遮攔。真是有趣☆"
"","","4","4042","","93","1.7","","","","1"
"0.2","1","4","4043","","3","107131","","","","psy_talk_joy1"
"","","4","4044","","91","4041","","","",""
"0.2","0","4","4045","","3","107131","1","0.2","psy_talk_doya_loop","psy_talk_doya"
"","0","4","4046","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0409"
"0","6","4","4047","0.5","11","107131","0","0","1","這下無論如何我都要\n買到妳的甜點了。"
"","","4","4048","","91","0","","","",""
"0.2","1","4","4049","","3","107131","","","","psy_idle_wish"
"0.2","1","4","4050","","3","119931","","","","psy_miyako_panic1"
"","0","4","4051","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0403"
"0","5","4","4052","0.5","11","119931","0","0","1","為什麼會變成這樣！？\n趕快回去來的！"
"","","4","4053","","91","0","","","",""
"","","4","4054","","22","0","","","","0"
"0.2","1","4","4055","","3","119931","","","","psy_miyako_idle_panic"
"0.2","0","4","4056","","3","107131","1","0","psy_cris_approach_loop","psy_cris_approach_in"
"","0","4","4057","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0410"
"0","7","4","4058","0.5","11","107131","0","0","1","哦？這不是有\n做到一半的布丁嗎？\n嗯……親手製作的慰勞品\n應該也蠻讓人高興的吧。"
"","","4","4059","","93","4","","","","1"
"0.2","0","4","4060","","3","107131","1","0","psy_talk_arm_crossed_loop","psy_talk_arm_crossed"
"","","4","4061","","91","4058","","","",""
"0.2","1","4","4062","","3","107131","","","","psy_talk_joy1"
"","0","4","4063","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0411"
"0","5","4","4064","0.5","11","107131","0","0","1","好！我就來做布丁吧！\n妳也來幫忙，\n還我聖誕節的人情吧。"
"","","4","4065","","91","0","","","",""
"0.2","1","4","4066","","3","107131","","","","psy_idle_joy1"
"0.2","1","4","4067","","3","119931","","","","psy_miyako_anger2"
"","0","4","4068","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0404"
"0","6","4","4069","0.5","11","119931","0","0","1","為、為什麼會變成那樣──！？"
"","","4","4070","","93","4","","","",""
"","","4","4071","","91","0","","","",""
"1.7","100","5","5001","psy_miyako_start","1","1","-200","0","-300","119931"
"1.7","100","5","5002","psy_walk","1","1","-220","1","300","104931"
"1","0","5","5003","","31","1","1","","0","11"
"1.7","101","5","5004","psy_smoke_start","5","1","-200","0","-300","1"
"","-220","5","5005","","2","104931","0","","2","185"
"","","5","5006","","93","2","","","",""
"0.2","1","5","5007","","3","104931","","","","psy_talk_wish"
"","0","5","5008","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0504"
"0","5","5","5009","0.5","11","104931","0","0","1","弟弟和璃乃\n就是在這間甜點店幫忙吧！\n弟弟！姐姐來找你了唷！！"
"","","5","5010","","93","4.3","","","","1"
"0.2","1","5","5011","","3","104931","","","","psy_talk_joy1"
"","","5","5012","","91","5009","","","",""
"0.2","1","5","5013","","3","104931","","","","psy_idle_joy1"
"0","0","5","5014","","3","119931","1","0.2","psy_miyako_talk3","psy_miyako_appear"
"0","0","5","5015","","3","1","0","0","psy_smoke_start","psy_smoke_appear"
"","0","5","5016","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0501"
"0","5","5","5017","0.5","11","119931","0","0","1","吵死了喲。\n突然喊什麼喊啊？"
"","","5","5018","","91","0","","","",""
"","","5","5019","","22","0","","","","0"
"0.2","1","5","5020","","3","119931","","","","psy_miyako_idle"
"0.2","1","5","5021","","3","104931","","","","psy_talk_joy1"
"","0","5","5022","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0505"
"0","6","5","5023","0.5","11","104931","0","0","1","啊！妳就是宮子吧？\n我有聽璃乃提過妳！\n初次見面，我是弟弟的姐姐唷！"
"","","5","5024","","93","4","","","",""
"0.2","1","5","5025","","3","104931","","","","psy_talk_wish"
"","","5","5026","","91","5023","","","",""
"","","5","5027","","91","0","","","",""
"0.2","1","5","5028","","3","104931","","","","psy_idle_wish"
"0.2","1","5","5029","","3","119931","","","","psy_miyako_anger3"
"","0","5","5030","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0502"
"0","4","5","5031","0.5","11","119931","0","0","1","妳是不是那傢伙的姐姐\n都與人家無關喲。\n宮子正在忙著做布丁喲。"
"","","5","5032","","93","5","","","","1"
"0.2","0","5","5033","","3","119931","1]","0","psy_miyako_arm_crossed_loop","psy_miyako_arm_crossed_in"
"","","5","5034","","91","5031","","","",""
"","","5","5035","","22","0","","","","0"
"0.2","1","5","5036","","3","119931","","","","psy_miyako_arm_crossed_idle"
"0.2","1","5","5037","","3","104931","","","","psy_talk_wish"
"","0","5","5038","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0506"
"0","7","5","5039","0.5","11","104931","0","0","1","第一次遇到這種無所謂的反應，\n姐姐還是有點受傷的！\n畢竟愛的相反\n聽說就是漠不關心呢！"
"","","5","5040","","91","0","","","",""
"0.2","1","5","5041","","3","104931","","","","psy_talk_joy2"
"","0","5","5042","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0507"
"0","7","5","5043","0.5","11","104931","0","0","1","好～！\n我現在馬上來向宮子獻上\n關於弟弟與姐姐，\n愛與命運交織的故事吧！"
"","","5","5044","","91","0","","","",""
"0.2","1","5","5045","","3","104931","","","","psy_talk_memory"
"","0","5","5046","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0508"
"0","8","5","5047","0.5","11","104931","0","0","1","首先從命運的相遇聽我娓娓道來……"
"","","5","5048","","91","0","","","",""
"0.2","1","5","5049","","3","104931","","","","psy_idle_memory"
"0.2","1","5","5050","","3","119931","","","","psy_miyako_sad1"
"","0","5","5051","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0503"
"0","5","5","5052","0.5","11","119931","0","0","1","（好像有什麼開始了……\n因為很麻煩宮子要消失……）"
"","","5","5053","","91","0","","","",""
"","","5","5054","","22","0","","","","0"
"0.2","0","5","5055","","3","119931","","","","psy_miyako_hide"
"0","0","5","5056","","3","1","0","0","psy_smoke_start","psy_smoke_hide"
"","","5","5057","","93","2","","","",""
"","","5","5058","","91","0","","","",""
"1.7","100","6","6001","psy_miyako_idle_thinking","1","1","-200","1","-300","119931"
"1.7","100","6","6002","psy_walk","1","1","-220","1","300","103131"
"1","0","6","6003","","31","1","1","","0","11"
"0","2","6","6004","0","12","119931","0","0","0","17"
"","-220","6","6005","","2","103131","0","","2","185"
"","","6","6006","","93","2","","","",""
"0.2","1","6","6007","","3","103131","","","","psy_talk_wish"
"","0","6","6008","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0605"
"0","4","6","6009","0.5","11","103131","0","0","1","午安，\n我聽說宮子在甜點店幫忙，\n就過來看看了。"
"","","6","6010","","91","0","","","",""
"0.2","1","6","6011","","3","103131","","","","psy_idle_wish"
"","","6","6012","","4","119931","","","","0"
"0.2","0","6","6013","","3","119931","1","0.2","psy_miyako_talk_joy2","psy_miyako_surprise2_in"
"","","6","6014","","93","1","","","",""
"","0","6","6015","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0601"
"0","5","6","6016","0.5","11","119931","0","0","1","忍！妳來得正好！\n宮子現在遇到了一點麻煩喲！"
"","","6","6017","","93","3","","","","1"
"0.2","1","6","6018","","3","119931","","","","psy_miyako_talk2"
"","","6","6019","","91","6016","","","",""
"","","6","6020","","22","0","","","","0"
"0.2","1","6","6021","","3","119931","","","","psy_miyako_idle_sad"
"0.2","1","6","6022","","3","103131","","","","psy_talk_sad"
"","0","6","6023","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0606"
"0","6","6","6024","0.5","11","103131","0","0","1","怎麼了嗎？\n啊，難道妳把要賣的布丁\n不小心吃掉了嗎？\n那麼我們一起道歉吧。"
"","","6","6025","","91","0","","","",""
"0.2","1","6","6026","","3","103131","","","","psy_idle_sad"
"0.2","1","6","6027","","3","119931","","","","psy_miyako_panic3"
"","0","6","6028","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0602"
"0","3","6","6029","0.5","11","119931","0","0","1","不是啦！宮子現在打算做出\n究極的布丁喲！\n不過，想不到什麼\n好點子……"
"","","6","6030","","93","5.5","","","","1"
"0.2","1","6","6031","","3","119931","","","","psy_miyako_sad2"
"","","6","6032","","91","6029","","","",""
"","","6","6033","","22","0","","","","0"
"0.2","1","6","6034","","3","119931","","","","psy_miyako_idle_sad"
"0.2","0","6","6035","","3","103131","1","0.2","psy_talk_surprise1","psy_surprise"
"","0","6","6036","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0607"
"0","6","6","6037","0.5","11","103131","0","0","1","宮子……自己……\n做布丁……"
"","","6","6038","","91","0","","","",""
"0.2","1","6","6039","","3","103131","","","","psy_idle_surprise1"
"0.2","1","6","6040","","3","119931","","","","psy_miyako_talk2"
"","0","6","6041","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0603"
"0","5","6","6042","0.5","11","119931","0","0","1","妳怎麼了？"
"","","6","6043","","91","0","","","",""
"","","6","6044","","22","0","","","","0"
"0.2","1","6","6045","","3","119931","","","","psy_miyako_idle"
"0.2","1","6","6046","","3","103131","","","","psy_talk_joy1"
"","0","6","6047","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0608"
"0","5","6","6048","0.5","11","103131","0","0","1","呵呵，不，沒事。\n雖然不知道我能不能派上用場，\n我會盡全力幫忙的。"
"","","6","6049","","93","4","","","","1"
"0.2","1","6","6050","","3","103131","","","","psy_talk_wish"
"","","6","6051","","91","6048","","","",""
"0.2","1","6","6052","","3","103131","","","","psy_idle_wish"
"0.2","1","6","6053","","3","119931","","","","psy_miyako_joy1"
"","0","6","6054","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_0604"
"0","5","6","6055","0.5","11","119931","0","0","1","謝謝妳喲！\n只要忍跟宮子一起就是最強的！\n絕對能夠做出\n好吃的布丁喲！"
"","","6","6056","","93","5","","","","1"
"0.2","0","6","6057","","3","119931","1","0","psy_miyako_guts1_loop","psy_miyako_guts1_in"
"","","6","6058","","91","6055","","","",""
"","","6","6059","","22","0","","","","0"
"","","6","6060","","93","1.5","","","",""
"","","6","6061","","91","0","","","",""
"1.7","100","7","7001","psy_miyako_idle","1","1","-200","0","-200","119931"
"1.7","100","7","7002","psy_fairy_idle","5","1","-220","0","125","1"
"1","0","7","7003","","31","1","1","","0","11"
"","","7","7004","","93","2","","","",""
"0.2","1","7","7005","","3","1","","","","psy_fairy_talk"
"","0","7","7006","","21","vo_minigame_1008","","","0","vo_minigame_1008_drama_9902"
"0","3","7","7007","0.5","11","1","0","0","1","啾啾！"
"","","7","7008","","91","0","","","",""
