386dbb12501c8d20373af5f08b44288e7678e607eb2a1521638aaf1f8c7a13cb,d7513e64077abd9d5432e91f92bee01acd472061a63653d46f863d74402dacc9,67627388f6c62d6dfd18fb9cc3a493f3e9c3278cbfe0159ee804c8ef1ffa673d,61372b500050bc1b6ac84d775b76db12b7bc0693e8dcc18ea89dcb9db22e2a9a,d1d75437e9ec5241fff096af657e27ed32b18f9ddc319a0f9840089706ebec51,9bfd08f0ca8d543a53147a55d6adb42d52d4da619a7ad18503648f4e6c9d74a8,36c3fe110f6d5e481d8ed3ef5adf89cbad79d7f937f6fcf133402c866a863cd9,116adbc281b311a2a55aeccb321e5939a9c131345732ae73b66465b9ef753a8e,1907d12670ab4b38346fac5be3a720d4d4c84f6a80efc8fd49568725b1319fda,2c10137b93919e1d53ac6dc27bfa95140cc4726a1b48be5bd4064628c4656d65,e19ef04f87b935fceffa513ba12a99e9e279335f8ebcb74e9900e3f7331b500e
"13","sjr_talk_idle","-194","1","122411","1.65","100","13001","1","40","1"
"13","","1","122411","sjr_talk_doya","0.2","0","13002","0","sjr_talk_doya_loop","3"
"13","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_013","","0","13003","","0","21"
"13","1","0","122411","啊，發現\n有困難的人！\n有困難的時候就要\n互相幫助幫助♪","0","8","13004","0","1","11"
"13","","","0","","","","13005","","","91"
"13","","","122411","sjr_talk_idle","0.2","1","13006","","","3"
"14","sjr_talk_idle","-194","1","122411","1.65","100","14001","1","40","1"
"14","","1","122411","sjr_talk_watch_arm_opened","0.2","0","14002","0","sjr_talk_swing_joy","3"
"14","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_014","","0","14003","","0","21"
"14","1","0","122411","要跑哪條路線呢──♪\n好像都很有趣～！\n我躍躍欲試了──！","0","6","14004","0","1","11"
"14","","","0","","","","14005","","","91"
"14","","","122411","sjr_talk_idle","0.2","1","14006","","","3"
"15","sjr_talk_idle","-194","1","122411","1.65","100","15001","1","40","1"
"15","","","122411","sjr_talk_wish_doya","0.2","1","15002","","","3"
"15","","","vo_minigame_1010","vo_minigame_1010_top_talk_1_015","","0","15003","","0","21"
"15","1","0","122411","好想和優衣與怜\n她們兩人一起\n競爭呢！","0","5","15004","0","1","11"
"15","","","0","","","","15005","","","91"
"15","","","122411","sjr_talk_idle","0.2","1","15006","","","3"
"16","sjr_talk_idle","-194","1","122611","1.65","100","16001","1","72","1"
"16","sjr_talk_idle","-194","1","122511","1.65","100","16002","0","-72","1"
"16","","","122611","sjr_talk_wish_doya","0.2","1","16003","","","3"
"16","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_001","","0","16004","","0","21"
"16","1","0","122611","怜，\n彼此都要盡全力跑喔！\n我會以真本事挑戰的。","0","4","16005","0","1","11"
"16","","","0","","","","16006","","","91"
"16","","","122611","sjr_talk_idle","0.2","1","16007","","","3"
"16","","1","122511","sjr_talk_arm_crossed_normal_joy","0.2","0","16008","0","sjr_talk_arm_crossed_joy_loop","3"
"16","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_002","","0","16009","","0","21"
"16","0.5","0","122511","優衣……\n有說到做到呢。\n呵呵，既然如此，\n我也要回應那股氣勢！","0","5","16010","0","1","11"
"16","","","0","","","","16011","","","91"
"16","","","122511","sjr_talk_idle","0.2","1","16012","","","3"
"17","sjr_talk_idle","-194","1","122611","1.65","100","17001","1","72","1"
"17","sjr_talk_idle","-194","1","122511","1.65","100","17002","0","-72","1"
"17","","","122511","sjr_talk_worry_shy","0.2","1","17003","","","3"
"17","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_003","","0","17004","","0","21"
"17","0.5","0","122511","我說優衣，\n要穿著泳裝跑步\n是不是有點……","0","7","17005","0","1","11"
"17","","","0","","","","17006","","","91"
"17","","","122511","sjr_talk_idle","0.2","1","17007","","","3"
"17","","","122611","sjr_talk_wish_shy","0.2","1","17008","","","3"
"17","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_004","","0","17009","","0","21"
"17","0.5","0","122611","嗯，很害羞吧。\n一想到會被騎士先生\n看到就……\n……嗚嗚～～～！","0","5","17010","0","1","11"
"17","","","0","","","","17011","","","91"
"17","","","122611","sjr_talk_idle","0.2","1","17012","","","3"
"17","","1","122511","sjr_talk_thinking_blink_light","0.2","0","17013","0","sjr_talk_thinking_light","3"
"17","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_005","","0","17014","","0","21"
"17","0.5","0","122511","不，等等……\n優衣害羞的時候\n逃跑速度就會變快……\n如果利用這點……！","0","6","17015","0","1","11"
"17","","","0","","","","17016","","","91"
"17","","","122511","sjr_talk_idle","0.2","1","17017","","","3"
"18","sjr_talk_idle","-194","1","122611","1.65","100","18001","1","72","1"
"18","sjr_talk_idle","-194","1","122511","1.65","100","18002","0","-72","1"
"18","","","122611","sjr_talk_wish_surprise","0.2","1","18003","","","3"
"18","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_006","","0","18004","","0","21"
"18","0.5","0","122611","總覺得所有路線\n都很厲害呢……\n是怎麼做出來\n的呢……","0","6","18005","0","1","11"
"18","","","0","","","","18006","","","91"
"18","","","122611","sjr_talk_idle","0.2","1","18007","","","3"
"18","","1","122511","sjr_talk_arm_crossed_normal2","0.2","0","18008","0","sjr_talk_arm_crossed_normal2_loop","3"
"18","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_007","","0","18009","","0","21"
"18","0.5","0","122511","不能在意喔！\n這種時候坦率地\n享受是最好的！","0","6","18010","0","1","11"
"18","","","0","","","","18011","","","91"
"18","","","122511","sjr_talk_idle","0.2","1","18012","","","3"
"19","sjr_talk_idle","-194","1","122611","1.65","100","19001","1","72","1"
"19","sjr_talk_idle","-194","1","122411","1.65","100","19002","0","-72","1"
"19","","1","122611","sjr_talk_wave_hand","0.2","0","19003","0","sjr_talk_idle_joy","3"
"19","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_008","","0","19004","","0","21"
"19","0.5","0","122611","日和\n覺得享受嗎？","0","8","19005","0","1","11"
"19","","","0","","","","19006","","","91"
"19","","","122611","sjr_talk_idle","0.2","1","19007","","","3"
"19","","1","122411","sjr_talk_fun","0.2","0","19008","0","sjr_talk_swing_joy2","3"
"19","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_009","","0","19009","","0","21"
"19","0.5","0","122411","那當然！\n這麼有趣的事\n不好好享受\n就太浪費啦──！","0","7","19010","0","1","11"
"19","","","0","","","","19011","","","91"
"19","","","122411","sjr_talk_idle","0.2","1","19012","","","3"
"19","","","122611","sjr_talk_laugh","0.2","1","19013","","","3"
"19","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_010","","0","19014","","0","21"
"19","0.5","0","122611","妳說得對。\n呵呵，我也\n要向日和\n學習才行……！","0","7","19015","0","1","11"
"19","","","0","","","","19016","","","91"
"19","","","122611","sjr_talk_idle","0.2","1","19017","","","3"
"20","sjr_talk_idle","-194","1","122611","1.65","100","20001","1","72","1"
"20","sjr_talk_idle","-194","1","122411","1.65","100","20002","0","-72","1"
"20","","1","122411","sjr_talk_guts2","0.2","0","20003","0","sjr_talk_guts2_loop","3"
"20","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_011","","0","20004","","0","21"
"20","0.5","0","122411","優衣！\n妳剛剛好厲害喔！\n我根本追不上妳──","0","6","20005","0","1","11"
"20","","","0","","","","20006","","","91"
"20","","","122411","sjr_talk_idle","0.2","1","20007","","","3"
"20","","1","122611","sjr_talk_mouth_hidden_dere_guru","0.2","0","20008","0","sjr_talk_mouth_hidden_guru","3"
"20","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_012","","0","20009","","0","21"
"20","0.5","0","122611","埋首於奔跑之中，\n總覺得\n心情變好了……\n呵呵，呵呵呵……","0","5","20010","0","1","11"
"20","","","0","","","","20011","","","91"
"20","","1","122411","sjr_talk_shock","0.2","0","20012","0","sjr_talk_shock_loop","3"
"20","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_013","","0","20013","","0","21"
"20","0.5","0","122411","哇──！？\n優衣！？\n妳眼睛在轉喔──！？","0","15","20014","0","1","11"
"20","","","0","","","","20015","","","91"
"20","","","122611","sjr_talk_idle","0.2","1","20016","","","3"
"20","","","122411","sjr_talk_idle","0.2","1","20017","","","3"
"21","sjr_talk_idle","-194","1","122611","1.65","100","21001","1","72","1"
"21","sjr_talk_idle","-194","1","122411","1.65","100","21002","0","-72","1"
"21","","","122611","sjr_talk_worry_sad","0.2","1","21003","","","3"
"21","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_014","","0","21004","","0","21"
"21","0.5","0","122611","日和，妳一直在跑，\n不要緊吧？\n不好好補充水分\n不行喔？","0","6","21005","0","1","11"
"21","","","0","","","","21006","","","91"
"21","","","122611","sjr_talk_idle","0.2","1","21007","","","3"
"21","","0","122411","sjr_talk_laugh_guts","0.2","0","21008","0","sjr_talk_guts2_joy_loop","3"
"21","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_015","","0","21009","","0","21"
"21","0.5","0","122411","妳真愛操心呢，\n優衣──\n啊，不然我們一起\n去吃刨冰吧──♪","0","5","21010","0","1","11"
"21","","","0","","","","21011","","","91"
"21","","","122411","sjr_talk_idle","0.2","1","21012","","","3"
"22","sjr_talk_idle","-194","1","122511","1.65","100","22001","1","72","1"
"22","sjr_talk_idle","-194","1","122411","1.65","100","22002","0","-72","1"
"22","","1","122511","sjr_talk_arm_crossed_normal","0.2","0","22003","0","sjr_talk_arm_crossed_normal_loop","3"
"22","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_016","","0","22004","","0","21"
"22","0.5","0","122511","就算對手是日和，\n我也沒打算輸喔。","0","5","22005","0","1","11"
"22","","","0","","","","22006","","","91"
"22","","","122511","sjr_talk_idle","0.2","1","22007","","","3"
"22","","1","122411","sjr_talk_guts","0.2","0","22008","0","sjr_talk_guts_loop","3"
"22","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_017","","0","22009","","0","21"
"22","0.5","0","122411","對手是怜的話，\n我也會\n火力全開喔！","0","6","22010","0","1","11"
"22","","","0","","","","22011","","","91"
"22","","","122411","sjr_talk_idle","0.2","1","22012","","","3"
"23","sjr_talk_idle","-194","1","122511","1.65","100","23001","1","72","1"
"23","sjr_talk_idle","-194","1","122411","1.65","100","23002","0","-72","1"
"23","","1","122411","sjr_talk_fun_eieio","0.2","0","23003","0","sjr_talk_eieio_loop","3"
"23","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_018","","0","23004","","0","21"
"23","0.5","0","122411","夏天就是要吃刨冰！\n糖漿……是全都加的\n禁忌口味喔！","0","5","23005","0","1","11"
"23","","","0","","","","23006","","","91"
"23","","","122411","sjr_talk_idle","0.2","1","23007","","","3"
"23","","","122511","sjr_talk_mouth_hidden_sad","0.2","1","23008","","","3"
"23","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_019","","0","23009","","0","21"
"23","0.5","0","122511","老是吃那麼\n冰的東西……\n到時要是跑不動，\n我可不管喔？","0","6","23010","0","1","11"
"23","","","0","","","","23011","","","91"
"23","","","122511","sjr_talk_idle","0.2","1","23012","","","3"
"23","","1","122411","sjr_talk_arm_opened_joy_guru","0.2","0","23013","0","sjr_talk_arm_opened_guru","3"
"23","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_020","","0","23014","","0","21"
"23","0.5","0","122411","沒事沒事♪\n……咦？\n好像一陣頭痛，\n好痛痛痛痛──！？","0","4","23015","0","1","11"
"23","","","0","","","","23016","","","91"
"23","","","122411","sjr_talk_idle","0.2","1","23017","","","3"
"24","sjr_talk_idle","-194","1","122511","1.65","100","24001","1","72","1"
"24","sjr_talk_idle","-194","1","122411","1.65","100","24002","0","-72","1"
"24","","","122411","sjr_talk_mouth_hidden_sad","0.2","1","24003","","","3"
"24","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_021","","0","24004","","0","21"
"24","1","0","122411","優衣不要緊吧～？\n希望她別跌倒\n就好了……","0","5","24005","0","1","11"
"24","","","0","","","","24006","","","91"
"24","","","122411","sjr_talk_idle","0.2","1","24007","","","3"
"24","","0","122511","sjr_talk_arm_crossed_normal_joy","0.2","0","24008","0","sjr_talk_arm_crossed_joy_loop","3"
"24","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_022","","0","24009","","0","21"
"24","0.5","0","122511","不必擔心。\n優衣已經變強了。\n搞不好反倒是\n我們會輸呢。","0","4","24010","0","1","11"
"24","","","0","","","","24011","","","91"
"24","","","122511","sjr_talk_idle","0.2","1","24012","","","3"
"24","","","122411","sjr_talk_laugh","0.2","1","24013","","","3"
"24","","","vo_minigame_1010","vo_minigame_1010_top_talk_2_023","","0","24014","","0","21"
"24","0.5","0","122411","欸嘿嘿，說得也是！\n好期待能一起\n跑步喔──♪","0","6","24015","0","1","11"
"24","","","0","","","","24016","","","91"
"24","","","122411","sjr_talk_idle","0.2","1","24017","","","3"
