23fdc8f615e0f69b524fb188c1bfa69469a1368300daf56748438ab810363a8d,191649f1167acaae42cd2c6af26bbe9814611b1eba6f760592926e8940973528,69cf8560d36ea32fca21e4126d6aec3caa0a9f793243b419230c606489cbc421,21291d6ad8f47129936afca081d1f025546ad4908511b3c9c2008cdbd5368f75,1529fa826cb1ed4bc3835bb93167c835093105ad462e59701e4ac9878a37dd65,1273c0c956c3cc91e65fb095e21b9f87866886fb6817dde7dce0f1761cd61780,8fd0cda6b0c1d3161b3051cd75b71df7dfb365665d3d021150e5f1751b1d2b2a,94e0bad8d4e33148c37247d34ed2d4fdbfb4005afa875ab1537101117a223891,d93441d769ac9cb3c7cee35ca270e167280ac727cd64dc61270cf3dea7c082da,6e46b2e2384a6ff3d77541becb469a97e870a68470e946a94976cbd3fb1d6661,67141da813a038afb44f3196e4ad470c4e789d9471d045347117b0fb810d0f34
"多","夫","妻","婆","","","","","","公","3187"
"","","","","","","b","","","","3195"
"","","","","","","座","","","再","3274"
"","","","","","","二三","","","","3302"
"鋰鉀銣","","","鋰鈉銣","鋰鈉鉀","","氧氰","","","鈉鉀","4003"
"鋇鐳","","","鍶鐳","鍶鋇","","鍶鋇","","","鍶鐳","4004"
"","","","","","","","愛衣","","","4010"
"","","","","","","","愛衣","","","4013"
"氦氖","","","氖氬氙","氦氖氬氪","","氧氬氪","","","氬氪氙","4034"
"","","","","","","裴","加","","","4035"
"","","","","","","熱寒","","","","4040"
"","","","","","","熱溫","","","","4041"
"N","","","E","","","","","","","4042"
"","","","","","","","","","O","4062"
"","","","乙","","","乙四","","","銷","4069"
"","","","","","","網","","","版","4072"
"","","","大","西","","大","","","西","4110"
"二","","","","","","","","","","4143"
"一三","","","","","","","","","","4144"
"一二","","","","","","","","","","4145"
"","","","","","","氫","","","氧","4153"
"","","","","","帶","","","","","4154"
"異","","","","","","","","","","4157"
"","","昇","","","","","","","","4158"
"","","","","二三","","","","","","4159"
"","","","","一三","","","","","","4161"
"同","","","","","","","","","","4167"
"","","","倍","","","","","","小","4194"
"","","","約","","","","","","大","4195"
"","","","","","","","高","底","","4196"
"","","","","","","半","","","","4197"
"","","","a","","","","","","o","5010"
"","","","","","","伊","","","比","5013"
"","司","","鹽","","","印","愛","","","5027"
"","","","e","","","","","","e","5031"
"","","","e","","","","","","a","5056"
"s","","","e","","","","","","","5070"
"","","","","餅","","","","","餅","5076"
"","","","","","","上前","","","","5079"
"","","","","","","肩","","","","5082"
"","","","","","","微","","","","5098"
"AB","","","BC","AC","","大喊","","","","5102"
"","","","","","","","","","布","5103"
"","","","","","","西","","醜","","5162"
"","","","","","","固","","","定","5164"
"","","","","","","","","","左","5183"
"","","","","","","","","","右","5185"
"戌卯辰","","牛","戌酉子","卯戌子","","卯辰戌","","虎","戌酉卯","5193"
"","","底","藍","雀","","","","","","6008"
"u","","e","","","","","","e","u","6010"
"","","","線","","","","","","","6012"
"","","","","","","","","","面","6013"
"m","","","k","","","G","","","o","6015"
"m","","","","","","","","","o","6022"
"","","","","","","單二","","","","6049"
"","","","","火","","","","","","6073"
"巨","","","","","","","","","","6075"
"","","","a","","","","","","","6076"
"","","","e","","","","","","","6082"
"a","","","","","","C","","","","6084"
"u","","","n","w","","","","","","6097"
"出","","","","","","","湖","","","6098"
"","依","","","莉","","","茜","與或","莉","6135"
"","","","","喵","","","","","","6136"
"呼","","","霖","","","鈴","","","嚕","6139"
"","","","","","","","","得","","6179"
