9ac840de0e77e61c19567a8b21c1ac7e2a24cfe373d12edb8d1d3688cf989682,917832104c5fb8a0b39edae8cec101e6d70e78bfd98a0192f942d34eedeb18d8,aad095146b75f181d0dff03ccc3e2d9d0eaab84ca1498bb8e4d6fdfc22ea48ef,fc8ebca6a33b722810f9fb37af39951a2c944a884326ac4bbe2687f1d99b34e0,d8ba98233d0d648b7c56d7adce642f3753702dd952a0c00b241a8efc1be75074,f6a644644a4227a91c877422a8568905c0b562413998348a3b8aea44f37fefb7,fa0c056071c7c653922b58bc3dd1cd8502b598f809de7fd4fab57ecf5a40e456,e36b32fd7f551da0803d028d8da400dc7a298229d56e2a458f204efa78c59fc4,aad77462acabf88817d83207b0eacbc8e31065a31c3331f31f94c0f22bcb28a1,bac95588e612e17b2d146bc0beac7b2ea00c8873f7223dccad3209cfc023a579,1f576b94fe6db45a6e97ed79fc76ef1e69966d41344595909afd21bde405e922,204646e40a569d65c23ed0a3a99eb14f70938dda53042e4ae4175b65a7fc4454
"1","92411120","924112101","90","924111100","924113101","92411110","1","92411","0","1","500000000"
"2","92411130","924112102","90","924111200","924113102","92411120","1","92411","92411110","2","1000000000"
"3","92411140","924112103","90","924111300","924113103","92411130","1","92411","92411120","3","1500000000"
"4","0","924112104","90","924111400","924113104","92411140","1","92411","92411130","4","0"
"1","92411220","924112201","90","924112100","924113201","92411210","1","92411","0","1","500000000"
"2","92411230","924112202","90","924112200","924113202","92411220","1","92411","92411210","2","1000000000"
"3","92411240","924112203","90","924112300","924113203","92411230","1","92411","92411220","3","1500000000"
"4","0","924112204","90","924112400","924113204","92411240","1","92411","92411230","4","0"
"1","92411320","924112301","90","924113100","924113301","92411310","1","92411","0","1","500000000"
"2","92411330","924112302","90","924113200","924113302","92411320","1","92411","92411310","2","1000000000"
"3","92411340","924112303","90","924113300","924113303","92411330","1","92411","92411320","3","1500000000"
"4","0","924112304","90","924113400","924113304","92411340","1","92411","92411330","4","0"
"1","92412120","924122101","90","924121100","924123101","92412110","1","92412","0","1","500000000"
"2","92412130","924122102","90","924121200","924123102","92412120","1","92412","92412110","2","1000000000"
"3","92412140","924122103","90","924121300","924123103","92412130","1","92412","92412120","3","1500000000"
"4","0","924122104","90","924121400","924123104","92412140","1","92412","92412130","4","0"
"1","92412220","924122201","90","924122100","924123201","92412210","1","92412","0","1","500000000"
"2","92412230","924122202","90","924122200","924123202","92412220","1","92412","92412210","2","1000000000"
"3","92412240","924122203","90","924122300","924123203","92412230","1","92412","92412220","3","1500000000"
"4","0","924122204","90","924122400","924123204","92412240","1","92412","92412230","4","0"
"1","92412320","924122301","90","924123100","924123301","92412310","1","92412","0","1","500000000"
"2","92412330","924122302","90","924123200","924123302","92412320","1","92412","92412310","2","1000000000"
"3","92412340","924122303","90","924123300","924123303","92412330","1","92412","92412320","3","1500000000"
"4","0","924122304","90","924123400","924123304","92412340","1","92412","92412330","4","0"
"1","92414120","924142101","90","924141100","924143101","92414110","1","92414","0","1","500000000"
"2","92414130","924142102","90","924141200","924143102","92414120","1","92414","92414110","2","1000000000"
"3","92414140","924142103","90","924141300","924143103","92414130","1","92414","92414120","3","1500000000"
"4","0","924142104","90","924141400","924143104","92414140","1","92414","92414130","4","0"
"1","92414220","924142201","90","924142100","924143201","92414210","1","92414","0","1","500000000"
"2","92414230","924142202","90","924142200","924143202","92414220","1","92414","92414210","2","1000000000"
"3","92414240","924142203","90","924142300","924143203","92414230","1","92414","92414220","3","1500000000"
"4","0","924142204","90","924142400","924143204","92414240","1","92414","92414230","4","0"
"1","92414320","924142301","90","924143100","924143301","92414310","1","92414","0","1","500000000"
"2","92414330","924142302","90","924143200","924143302","92414320","1","92414","92414310","2","1000000000"
"3","92414340","924142303","90","924143300","924143303","92414330","1","92414","92414320","3","1500000000"
"4","0","924142304","90","924143400","924143304","92414340","1","92414","92414330","4","0"
"1","92415120","924152101","90","924151100","924153101","92415110","1","92415","0","1","500000000"
"2","92415130","924152102","90","924151200","924153102","92415120","1","92415","92415110","2","1000000000"
"3","92415140","924152103","90","924151300","924153103","92415130","1","92415","92415120","3","1500000000"
"4","0","924152104","90","924151400","924153104","92415140","1","92415","92415130","4","0"
"1","92415220","924152201","90","924152100","924153201","92415210","1","92415","0","1","500000000"
"2","92415230","924152202","90","924152200","924153202","92415220","1","92415","92415210","2","1000000000"
"3","92415240","924152203","90","924152300","924153203","92415230","1","92415","92415220","3","1500000000"
"4","0","924152204","90","924152400","924153204","92415240","1","92415","92415230","4","0"
"1","92415320","924152301","90","924153100","924153301","92415310","1","92415","0","1","500000000"
"2","92415330","924152302","90","924153200","924153302","92415320","1","92415","92415310","2","1000000000"
"3","92415340","924152303","90","924153300","924153303","92415330","1","92415","92415320","3","1500000000"
"4","0","924152304","90","924153400","924153304","92415340","1","92415","92415330","4","0"
"1","92416120","924162101","90","924161100","924163101","92416110","1","92416","0","1","500000000"
"2","92416130","924162102","90","924161200","924163102","92416120","1","92416","92416110","2","1000000000"
"3","92416140","924162103","90","924161300","924163103","92416130","1","92416","92416120","3","1500000000"
"4","0","924162104","90","924161400","924163104","92416140","1","92416","92416130","4","0"
"1","92416220","924162201","90","924162100","924163201","92416210","1","92416","0","1","500000000"
"2","92416230","924162202","90","924162200","924163202","92416220","1","92416","92416210","2","1000000000"
"3","92416240","924162203","90","924162300","924163203","92416230","1","92416","92416220","3","1500000000"
"4","0","924162204","90","924162400","924163204","92416240","1","92416","92416230","4","0"
"1","92416320","924162301","90","924163100","924163301","92416310","1","92416","0","1","500000000"
"2","92416330","924162302","90","924163200","924163302","92416320","1","92416","92416310","2","1000000000"
"3","92416340","924162303","90","924163300","924163303","92416330","1","92416","92416320","3","1500000000"
"4","0","924162304","90","924163400","924163304","92416340","1","92416","92416330","4","0"
"1","92501120","925012101","90","925011100","925013101","92501110","1","92413","0","1","500000000"
"2","92501130","925012102","90","925011200","925013102","92501120","1","92413","92501110","2","1000000000"
"3","92501140","925012103","90","925011300","925013103","92501130","1","92413","92501120","3","1500000000"
"4","0","925012104","90","925011400","925013104","92501140","1","92413","92501130","4","0"
"1","92501220","925012201","90","925012100","925013201","92501210","1","92413","0","1","500000000"
"2","92501230","925012202","90","925012200","925013202","92501220","1","92413","92501210","2","1000000000"
"3","92501240","925012203","90","925012300","925013203","92501230","1","92413","92501220","3","1500000000"
"4","0","925012204","90","925012400","925013204","92501240","1","92413","92501230","4","0"
"1","92501320","925012301","90","925013100","925013301","92501310","1","92413","0","1","500000000"
"2","92501330","925012302","90","925013200","925013302","92501320","1","92413","92501310","2","1000000000"
"3","92501340","925012303","90","925013300","925013303","92501330","1","92413","92501320","3","1500000000"
"4","0","925012304","90","925013400","925013304","92501340","1","92413","92501330","4","0"
