94ba67ab91321fc4c2a886dd41df41875a15c0efc78b1f9f8300a8d44cd7d3fc,b914a2c21e69f853d4bc5de4bccd256d834b2c77885c0e9f86d383501aacf18d,f1b1e4c5e5b7bcc79f03ab62f68c7c38624abff0df27a8edf06bfd59d74f8f68,e89e24c07000e1f2bddf61cd22578e6c1568fcb353213187c289ceee37c22ecc,71cc9bc80dd60b3365112848b3d2ebd61e7a3a99816c4a0100b32d497d4daa25,caea7d87cd165d49cb60e04d8ec27e7ebfdf13d0cae3defad72bfacc3152cf96
"0","2006101","2006102","20061","20061201","20061115"
"2006101","2006102","2006103","20061","0","0"
"2006102","2006103","0","20061","0","0"
"0","2006201","2006202","20062","20062201","20062115"
"2006201","2006202","2006203","20062","0","0"
"2006202","2006203","0","20062","0","0"
"0","2006301","2006302","20063","20063201","20063115"
"2006301","2006302","2006303","20063","0","0"
"2006302","2006303","0","20063","0","0"
"0","2006401","2006402","20064","20064201","20064115"
"2006401","2006402","2006403","20064","0","0"
"2006402","2006403","0","20064","0","0"
"0","2006501","2006502","20065","20065201","20065115"
"2006501","2006502","2006503","20065","0","0"
"2006502","2006503","0","20065","0","0"
"0","2006601","2006602","20066","20066201","20066115"
"2006601","2006602","2006603","20066","0","0"
"2006602","2006603","0","20066","0","0"
"0","2006701","2006702","20067","20067201","20067110"
"2006701","2006702","2006703","20067","0","0"
"2006702","2006703","0","20067","0","0"
"0","2006801","2006802","20068","20068201","20068110"
"2006801","2006802","2006803","20068","0","0"
"2006802","2006803","0","20068","0","0"
"0","2006901","2006902","20069","20069201","20069115"
"2006901","2006902","2006903","20069","0","0"
"2006902","2006903","0","20069","0","0"
"0","2007001","2007002","20070","20070201","20070115"
"2007001","2007002","2007003","20070","0","0"
"2007002","2007003","0","20070","0","0"
"0","2007101","2007102","20071","20071201","20071115"
"2007101","2007102","2007103","20071","0","0"
"2007102","2007103","0","20071","0","0"
