a1b113de3b1f24fa6d7374c9f4e3e97152eeed6cf712bd4b96a9ff22e292af9c,515edb19c174f673aa4b34f3fc1adbdd41bca7ed282994c2daa7611ddf4c75f1,e90bf4509d901cd144119d488f01d8359486f62744af363e9332e50ac22374ba,8d2d3f6c3df4c0c7952192bc8f73f1d2266a23202a424271bf57ae86ba573463,9a0adad6efda7fb74c376905418802739aa5739a886bfbd64fb60284883dcd61,819207483dcf2d0816f9b9e81615a033596865175c9a9ecbfc1e0fbaed443196,b76ea043dd2cc3388f867c5a876e949a894de672fc0db85470064c28f97ec135,318b4131f9d3bf2dbc175aac59489bc0931bc44e23eb95f89169428dcbe13986,3044d9b0c0422ca5074c60aabe49cc08612fd779500a2e11bfb8c8bbdb08067f,a628e28da344c1dc18e41084b9bfb101ad0268acb9adbe147858ae0c610795e0,f18d47cb6d791224bb6d9eb707e13076017329c29bc574f86af85a87478549ec
"0.5","0","1016","129911","1","0","如果能有助於訓練，\n它們也會感到光榮吧。\n嘻嘻……我好像聽見\n喜悅的叫聲了。","1","11","4","0"
"","","1017","0","","","","1","91","",""
"","","1018","129911","","","drama_idle","1","3","1","0.2"
"","","1019","129811","","","drama_idle","1","3","1","0.2"
"drama_idle","-224","2001","1","167","1","129811","2","1","100","1.65"
"drama_idle","-224","2002","1","-49","0","129911","2","1","100","1.65"
"","","2003","129911","","","drama_idle","2","3","1","0.2"
"","1","2004","129811","drama_talk_admire_loop","","drama_talk_admire_in","2","3","0","0.2"
"","","2005","vo_minigame_1013","0","","vo_minigame_1013_top_talk_2_000","2","21","0",""
"0.5","0","2006","129811","1","0","像這樣將眾多士兵\n聚集起來真是壯觀呢。\n場面魄力十足，\n完全不像是訓練兵喔。","2","11","6","0"
"","","2007","0","","","","2","91","",""
"","","2008","129811","","","drama_idle_admire","2","3","1","0.2"
"","1","2009","129911","drama_talk_arm_crossed_loop","","drama_talk_arm_crossed_in","2","3","0","0.2"
"","","2010","vo_minigame_1013","0","","vo_minigame_1013_top_talk_2_001","2","21","0",""
"0.3","0","2011","129911","1","0","讓他們服從，\n教育他們的是我們……\n我們要回應期待，\n全力栽培他們吧。","2","11","4","0"
"","","2012","0","","","","2","91","",""
"","","2013","129911","","","drama_idle_arm_crossed","2","3","1","0.2"
"","1","2014","129811","drama_talk_guts2_loop","","drama_talk_guts2_in","2","3","0","0.2"
"","","2015","vo_minigame_1013","0","","vo_minigame_1013_top_talk_2_002","2","21","0",""
"0.3","0","2016","129811","1","0","惠理子確實也\n很有教官的架式了。\n好～\n我也不能輸啊！","2","11","5","0"
"","","2017","0","","","","2","91","",""
"","","2018","129811","","","drama_idle","2","3","1","0.2"
"","","2019","129911","","","drama_idle","2","3","1","0.2"
"drama_idle","-224","3001","1","167","1","129811","3","1","100","1.65"
"drama_idle","-224","3002","1","-49","0","129911","3","1","100","1.65"
"","","3003","129811","","","drama_idle","3","3","1","0.2"
"","","3004","129911","","","drama_talk_thinking","3","3","1","0.2"
"","","3005","vo_minigame_1013","0","","vo_minigame_1013_top_talk_3_000","3","21","0",""
"0.8","0","3006","129911","1","0","實際與魔物展開對峙，\n揮刀砍進對方的身體。\n正因為有這手感，\n才能算是訓練呢。","3","11","5","0"
"","","3007","0","","","","3","91","",""
"","","3008","129911","","","drama_idle_thinking","3","3","1","0.2"
"","1","3009","129811","drama_talk_sad_loop","","drama_talk_sad_in","3","3","0","0.2"
"","","3010","vo_minigame_1013","0","","vo_minigame_1013_top_talk_3_001","3","21","0",""
"0.5","0","3011","129811","1","0","妳的發言還是\n一樣危險……不過，\n比起理論更重視實踐\n也是一種指導方式吧。","3","11","6","0"
"","","3012","0","","","","3","91","",""
"","","3013","129811","","","drama_idle_sad","3","3","1","0.2"
"","1","3014","129911","drama_talk_arm_crossed_loop","","drama_talk_arm_crossed_in","3","3","0","0.2"
"","","3015","vo_minigame_1013","0","","vo_minigame_1013_top_talk_3_002","3","21","0",""
"0.3","0","3016","129911","1","0","那麼\n實踐教育的優點\n就讓新兵們\n親身體驗吧。","3","11","4","0"
"","","3017","0","","","","3","91","",""
"","","3018","129811","","","drama_idle","3","3","1","0.2"
"","","3019","129911","","","drama_idle","3","3","1","0.2"
"drama_idle","-224","4001","1","167","1","129811","4","1","100","1.65"
"drama_idle","-224","4002","1","-49","0","129911","4","1","100","1.65"
"","","4003","129911","","","drama_idle","4","3","1","0.2"
"","1","4004","129811","drama_talk_doya_loop_shy","","drama_talk_doya_in_shy","4","3","0","0.2"
"","","4005","vo_minigame_1013","0","","vo_minigame_1013_top_talk_4_000","4","21","0",""
"0.3","0","4006","129811","1","0","真要說的話，\n因為我也是個感覺派，\n所以有點不擅長\n教別人東西呢。","4","11","5","0"
"","","4007","0","","","","4","91","",""
"","","4008","129811","","","drama_idle_doya_shy","4","3","1","0.2"
"","1","4009","129911","drama_talk_wish_loop","","drama_talk_wish_in","4","3","0","0.2"
"","","4010","vo_minigame_1013","0","","vo_minigame_1013_top_talk_4_001","4","21","0",""
"0.5","0","4011","129911","1","0","只要彼此互相信賴，\n不用言語也能傳達。\n就像我\n與那位大人一樣……","4","11","4","0"
"","","4012","0","","","","4","91","",""
"","","4013","129911","","","drama_idle_wish","4","3","1","0.2"
"","0","4014","129811","","","drama_idle_thinking_shy","4","3","1","0.2"
"","","4015","vo_minigame_1013","0","","vo_minigame_1013_top_talk_4_002","4","21","0",""
"0","0","4016","129811","1","0","（原來如此，那樣的話\n我也能好好傳達\n給他……呃，我在\n胡思亂想什麼啊～！）","4","11","7","0"
"","","4017","0","","","","4","91","",""
"","","4018","129911","","","drama_idle","4","3","1","0.2"
"","","4019","129811","","","drama_idle","4","3","1","0.2"
"drama_idle","-224","5001","1","167","1","129811","5","1","100","1.65"
"drama_idle","-224","5002","1","-49","0","129911","5","1","100","1.65"
"","","5003","129811","","","drama_idle","5","3","1","0.2"
"","","5004","129911","","","drama_talk_thinking","5","3","1","0.2"
"","","5005","vo_minigame_1013","0","","vo_minigame_1013_top_talk_5_000","5","21","0",""
"0.8","0","5006","129911","1","0","只要透過訓練交出成果\n勳章也會大大\n增添光彩……\n真是太棒了。","5","11","5","0"
"","","5007","0","","","","5","91","",""
"","","5008","129911","","","drama_idle_thinking","5","3","1","0.2"
"","1","5009","129811","drama_talk_wonder_loop","","drama_talk_wonder_in","5","3","0","0.2"
"","","5010","vo_minigame_1013","0","","vo_minigame_1013_top_talk_5_001","5","21","0",""
"0.3","0","5011","129811","1","0","雖然動機不單純，\n但妳作為教官\n果然很優秀呢～\n真不可思議啊。","5","11","5","0"
"","","5012","0","","","","5","91","",""
"","","5013","129811","","","drama_idle_wonder","5","3","1","0.2"
"","","5014","129911","","","drama_talk_memory","5","3","1","0.2"
"","","5015","vo_minigame_1013","0","","vo_minigame_1013_top_talk_5_002","5","21","0",""
"0.5","0","5016","129911","1","0","「不愧是惠理子呢！\n身為伴侶的我\n也感到非常自豪喔」\n這種話……嘻嘻嘻……","5","11","4","0"
"","","5017","0","","","","5","91","",""
"","","5018","129811","","","drama_idle","5","3","1","0.2"
"","","5019","129911","","","drama_idle","5","3","1","0.2"
"drama_idle","-224","6001","1","167","1","129811","6","1","100","1.65"
"drama_idle","-224","6002","1","-49","0","129911","6","1","100","1.65"
"","","6003","129911","","","drama_idle","6","3","1","0.2"
"","","6004","129811","","","drama_talk_thinking_shy","6","3","1","0.2"
"","","6005","vo_minigame_1013","0","","vo_minigame_1013_top_talk_6_000","6","21","0",""
"0.3","0","6006","129811","1","0","要是我也努力完成\n教官的工作，\n那傢伙也會\n感到高興嗎……","6","11","6","0"
"","","6007","0","","","","6","91","",""
"","","6008","129811","","","drama_idle_thinking_shy","6","3","1","0.2"
"","1","6009","129911","drama_talk_doubt_loop","","drama_talk_doubt_in","6","3","0","0.2"
"","","6010","vo_minigame_1013","0","","vo_minigame_1013_top_talk_6_001","6","21","0",""
"0.8","0","6011","129911","1","0","真琴？\n怎麼了嗎？\n我好像感覺到\n一股危險的氣息。","6","11","4","0"
"","","6012","0","","","","6","91","",""
"","","6013","129911","","","drama_idle_doubt","6","3","1","0.2"
"","1","6014","129811","drama_talk_surprise_loop_shy","","drama_talk_surprise_in_shy","6","3","0","0.2"
"","","6015","vo_minigame_1013","0","","vo_minigame_1013_top_talk_6_002","6","21","0",""
"0.3","0","6016","129811","1","0","沒、沒事，沒什麼！\n我才沒在思考\n奇怪的事情！\n重要的是訓練！","6","11","7","0"
"","","6017","0","","","","6","91","",""
"","","6018","129911","","","drama_idle","6","3","1","0.2"
"","","6019","129811","","","drama_idle","6","3","1","0.2"
"drama_idle","-224","7001","1","167","1","129811","7","1","100","1.65"
"drama_idle","-224","7002","1","-49","0","129911","7","1","100","1.65"
"","","7003","129811","","","drama_idle","7","3","1","0.2"
"","1","7004","129911","drama_talk_arm_crossed_loop","","drama_talk_arm_crossed_in","7","3","0","0.2"
"","","7005","vo_minigame_1013","0","","vo_minigame_1013_top_talk_7_000","7","21","0",""
"0.3","0","7006","129911","1","0","我班上的所有人\n看來也依舊勤奮地\n進行訓練呢。\n值得讚賞。","7","11","5","0"
"","","7007","0","","","","7","91","",""
"","","7008","129911","","","drama_idle_arm_crossed","7","3","1","0.2"
"","1","7009","129811","drama_talk_guts2_loop","","drama_talk_guts2_in","7","3","0","0.2"
"","","7010","vo_minigame_1013","0","","vo_minigame_1013_top_talk_7_001","7","21","0",""
"0","0","7011","129811","1","0","惠理子班的急遽成長\n在騎士團中也\n成了話題呢。\n真是群厲害的傢伙。","7","11","5","0"
"","","7012","0","","","","7","91","",""
"","","7013","129811","","","drama_idle_guts2","7","3","1","0.2"
"","","7014","129911","","","drama_talk_thinking","7","3","1","0.2"
"","","7015","vo_minigame_1013","0","","vo_minigame_1013_top_talk_7_002","7","21","0",""
"0.5","0","7016","129911","1","0","正因為他們順從於我，\n努力不懈，\n才有如此有所收穫……\n……得好好感謝他們。","7","11","5","0"
"","","7017","0","","","","7","91","",""
"","","7018","129811","","","drama_idle","7","3","1","0.2"
"","","7019","129911","","","drama_idle","7","3","1","0.2"
"drama_idle","-224","8001","1","167","1","129811","8","1","100","1.65"
"drama_idle","-224","8002","1","-49","0","129911","8","1","100","1.65"
"","","8003","129911","","","drama_idle","8","3","1","0.2"
"","1","8004","129811","drama_talk_doya_loop_smile","","drama_talk_doya_in_smile","8","3","0","0.2"
"","","8005","vo_minigame_1013","0","","vo_minigame_1013_top_talk_8_000","8","21","0",""
"0.3","0","8006","129811","1","0","真琴班的所有人\n似乎也很認真努力。\n我身為教官\n感到非常高興喔。","8","11","6","0"
"","","8007","0","","","","8","91","",""
"","","8008","129811","","","drama_idle_doya_smile","8","3","1","0.2"
"","1","8009","129911","drama_talk_arm_crossed_loop","","drama_talk_arm_crossed_in","8","3","0","0.2"
"","","8010","vo_minigame_1013","0","","vo_minigame_1013_top_talk_8_001","8","21","0",""
"0.8","0","8011","129911","1","0","訓練也順利完成，\n簡直是優等生呢。\n雖然你們的成績\n不如我的班就是了。","8","11","4","0"
"","","8012","0","","","","8","91","",""
"","","8013","129911","","","drama_idle_arm_crossed","8","3","1","0.2"
"","","8014","129811","","","drama_talk_anger","8","3","1","0.2"
"","","8015","vo_minigame_1013","0","","vo_minigame_1013_top_talk_8_002","8","21","0",""
"0.3","0","8016","129811","1","0","唔，被妳這麼一說，\n感覺真不甘心……！\n那麼，我就用這場\n行軍訓練逆轉戰局！","8","11","7","0"
"","","8017","0","","","","8","91","",""
"","","8018","129811","","","drama_idle","8","3","1","0.2"
"","","8019","129911","","","drama_idle","8","3","1","0.2"
"drama_idle","-224","30001","1","167","1","129811","30","1","100","1.65"
"drama_idle","-224","30002","1","-49","0","129911","30","1","100","1.65"
"","","30003","129811","","","drama_idle","30","3","1","0.2"
"","","30004","129911","","","drama_idle","30","3","1","0.2"
"","","30005","0.5","","","0","30","93","",""
"","","30006","2","","","","30","26","",""
"","0.9","30007","-80","1.2","","10","30","121","1.2","3"
"","","30008","129911","","0.2","drama_joy_eriko","30","3","0","0.2"
"","","30009","1","","","1","30","140","0",""
"drama_idle","-224","31001","1","167","1","129811","31","1","100","1.65"
"drama_idle","-224","31002","1","-49","0","129911","31","1","100","1.65"
"","","31003","129811","","","drama_idle","31","3","1","0.2"
"","","31004","129911","","","drama_idle","31","3","1","0.2"
"","","31005","0.5","","","0","31","93","",""
"","","31006","2","","","","31","26","",""
"","0.9","31007","-80","1.2","","10","31","121","1.2","3"
"","","31008","129811","","0.2","drama_joy_makoto","31","3","0","0.2"
"","","31009","1","","","2","31","140","0",""
"drama_talk_1","28","32001","0","320","1","1","32","5","1","0.28"
"drama_talk_2","28","32002","0","228","0","2","32","5","0","0.28"
"drama_swing","64","32003","0","45","1","3","32","5","90","0.26"
"drama_streach","-23","32004","0","-187","0","4","32","5","91","0.3"
"","","32005","1","","","0","32","93","",""
"","","32006","1","","","drama_joy","32","3","0","0.2"
"","","32007","2","","","drama_joy","32","3","0","0.2"
"","","32008","3","","","drama_joy","32","3","0","0.2"
"","","32009","4","","","drama_joy","32","3","0","0.2"
"","","32010","1.5","","","0","32","93","",""
"drama_talk_1","28","33001","0","320","1","1","33","5","1","0.28"
"drama_talk_2","28","33002","0","228","0","2","33","5","0","0.28"
"drama_swing","64","33003","0","45","1","3","33","5","90","0.26"
"drama_streach","-23","33004","0","-187","0","4","33","5","91","0.3"
