09d23c8c997b267dc82e58da9f097f4e0aee7862fb7ed2e71b6087ac95984f8d,f903f6e06a9d087a68fc66293c461149062e521473ea6f23bc492691e004ff8e,38d0532ac2c864c78a858cd67a8d9414930210afff01de28b6c7d11afbf8a1d3,8a0ba5091f304fe3d29e2c6665d4b649b039318f82a7e27fdf37ad3881978017,ae4e5d569a5e0e60a52b6ebaccbc106603af2324de1ddedc82f78d9527107ff4,c6d073702ec787ae219de9c6cceb081dc344ad5f7354a3b213bf70288169ac5a,a1f92e96425fa937c3e9670a2b47ac1f04f31a1968606c12f35f194d8408a941,fff7743c4a0865b2b8ce262c6d598d0c02efa6770a0fc2aa6db3b7db7fcc3387,cb5e2ba2305f2bbad2ae5f696763ab020fe7409d0a485b68388a17644fd3e623,578a2eef26bb8fc7f44239baafef8216fe15ee5fcb3eb5aa9413f54fe9acf8b7,f1676ea35b561af7efef3eb6818950d01aecb782123ea76cbae32bac91534e02
"1","","","11","4028","","","","","4","32"
"smokeL","","","11","4029","","","","","4","37"
"980","-130","5.964","11","4030","","","0","","4","33"
"top_iroha_run_joy","1","","2","4031","","0","","","4","3"
"0","","","2","4032","","","","","4","4"
"980","-130","5.964","2","4033","","","0","","4","2"
"0","","","2.2","4034","","","","","4","93"
"top_luis_surprise_look","1","","1","4035","","0","","","4","3"
"0","","","3.764","4036","","","","","4","93"
"top_luis_thinking","1","","1","4037","","0.2","","","4","3"
"0","","","11","4038","","","","","4","32"
"0","","","2","4039","","","","","4","93"
"top_iroha_walk","1","","2","4040","","0","","","4","3"
"1","","","2","4041","","","","","4","4"
"400","-130","3","2","4042","","","0","","4","2"
"400","-130","3","11","4043","","","0","","4","33"
"0","","","3","4044","","","","","4","93"
"top_iroha_walk_out","0","idle_normal","2","4045","","0.2","1","0","4","3"
"0","","","0.4","4046","","","","","4","93"
"top_iroha_sit_in","0","","2","4047","","0.2","","0.2","4","3"
"0","","","4","4048","","","","","4","93"
"","","","4007","4049","","","","","4","101"
"3","100","350","3","5001","top_sono_readPaper","1.4","-130","1","5","5"
"2","110","452","2","5002","top_iroha_read_loop","1.4","-130","1","5","5"
"0","","","0","5003","","","","","5","91"
"top_iroha_read_loop","1","","2","5004","","0.2","","","5","3"
"top_sono_readPaper","1","","3","5005","","0.2","","","5","3"
"0","","","13.6","5006","","","","","5","93"
"top_sono_sit_out","0","top_sono_stretch","3","5007","","0.2","1","0","5","3"
"287","-130","0.3","3","5008","","","0","","5","2"
"0","","","3.5","5009","","","","","5","93"
"top_sono_drink","1","","3","5010","","0.2","","","5","3"
"0","","","2.6","5011","","","","","5","93"
"top_iroha_read_look","0","","2","5012","","0.4","","","5","3"
"0","","","7.9","5013","","","","","5","93"
"top_sono_sit_in","0","","3","5014","","0.2","","","5","3"
"0","","","0.1","5015","","","","","5","93"
"top_iroha_read_loop","1","","2","5016","","0.2","","","5","3"
"350","-130","0.3","3","5017","","","0","","5","2"
"0","","","2.5","5018","","","","","5","93"
"","","","5005","5019","","","","","5","101"
"1","100","-216","1","6001","idle_normal","1.4","-103","1","6","5"
"3","101","350","3","6002","top_sono_readPaper_loop","1.38","-130","1","6","5"
"10","475","-18","10","6003","","1","1","","6","31"
"13","56","-140","13","6004","","0","1","","6","31"
"14","56","-140","14","6005","","0","1","","6","31"
"0","","","0","6006","","","","","6","91"
"top_sono_readPaper_loop","1","","3","6007","","0.2","","","6","3"
"top_luis_arm_crossed_in","0","top_luis_arm_crossed_idle","1","6008","","0.2","1","0","6","3"
"0","","","4","6009","","","","","6","93"
"top_luis_approach_in","0","top_luis_approach_idle","1","6010","","0.2","1","0","6","3"
"0","","","3.5","6011","","","","","6","93"
"top_luis_thinking","1","","1","6012","","0.2","","","6","3"
"0","","","3.5","6013","","","","","6","93"
"top_luis_walk_think","1","","1","6014","","0.2","","","6","3"
"-495","-103","2","1","6015","","","0","","6","2"
"0","","","2","6016","","","","","6","93"
"0","","","1","6017","","","","","6","4"
"-216","-103","2","1","6018","","","0","","6","2"
"0","","","2","6019","","","","","6","93"
"top_luis_notice","1","","1","6020","","0","","","6","3"
"0","","","1","6021","","","","","6","93"
"top_luis_walk_jog","1","","1","6022","","0.2","","","6","3"
"-100","-130","0.5","1","6023","","","0","","6","2"
"0","","","0.5","6024","","","","","6","93"
"1","","","1","6025","","","","","6","4"
"top_luis_sit_in","0","top_luis_sit_idle","1","6026","","0.2","1","0","6","3"
"0","","","0.1","6027","","","","","6","93"
"-57","-140","0.4","1","6028","","","0","","6","2"
"0","","","0.4","6029","","","","","6","93"
"-16","-140","0","1","6030","","","0","","6","2"
"0","","","1","6031","","","","","6","4"
"0","","","0.6","6032","","","","","6","93"
"top_luis_experiment_failer_in","0","","1","6033","","0.2","","","6","3"
"0","","","2.3","6034","","","","","6","93"
"top_luis_experiment_failer_mix","0","","1","6035","","0.1","","","6","3"
"0","","","2.7","6036","","","","","6","93"
"top_sono_notice_in_surprise","0","top_sono_notice_loop_surprise","3","6037","","0.2","1","0","6","3"
"1","","","13","6038","","","","","6","32"
"top_luis_experiment_failer_burst","0","","1","6039","","0.1","","","6","3"
"0","","","2.7","6040","","","","","6","93"
"top_sono_readPaper_loop","1","","3","6041","","0.2","","","6","3"
"top_luis_experiment_failer_out","0","","1","6042","","0.1","","","6","3"
"0","","","1.1","6043","","","","","6","93"
"top_luis_sit_out","0","idle_normal","1","6044","","0.2","1","0","6","3"
"1","","","1","6045","","","","","6","4"
"-57","-140","0","1","6046","","","0","","6","2"
"-100","-130","0.3","1","6047","","","0","","6","2"
"0","","","1","6048","","","","","6","93"
"walk_normal","0","","1","6049","","0.2","","","6","3"
"-216","-103","1","1","6050","","","0","","6","2"
"0","","","1","6051","","","","","6","93"
"idle_normal","0","","1","6052","","0.1","","","6","3"
"0","","","0.8","6053","","","","","6","93"
"0","","","13","6054","","","","","6","32"
"top_luis_arm_crossed_in","0","top_luis_arm_crossed_idle","1","6055","","0.2","1","0","6","3"
"0","","","4","6056","","","","","6","93"
"top_luis_approach_in","0","top_luis_approach_idle","1","6057","","0.2","1","0","6","3"
"0","","","3.5","6058","","","","","6","93"
"top_luis_thinking","1","","1","6059","","0.2","","","6","3"
"0","","","3.5","6060","","","","","6","93"
"top_luis_walk_think","1","","1","6061","","0.2","","","6","3"
"-495","-103","2","1","6062","","","0","","6","2"
"0","","","2","6063","","","","","6","93"
"0","","","1","6064","","","","","6","4"
"-216","-103","2","1","6065","","","0","","6","2"
"0","","","2","6066","","","","","6","93"
"top_luis_notice","1","","1","6067","","0","","","6","3"
"0","","","1","6068","","","","","6","93"
"top_luis_walk_jog","1","","1","6069","","0.2","","","6","3"
"-100","-130","0.5","1","6070","","","0","","6","2"
"0","","","0.5","6071","","","","","6","93"
"1","","","1","6072","","","","","6","4"
"top_luis_sit_in","0","top_luis_sit_idle","1","6073","","0.2","1","0","6","3"
"0","","","0.1","6074","","","","","6","93"
"-57","-140","0.4","1","6075","","","0","","6","2"
"0","","","0.4","6076","","","","","6","93"
"-16","-140","0","1","6077","","","0","","6","2"
"0","","","1","6078","","","","","6","4"
"0","","","0.6","6079","","","","","6","93"
"top_luis_experiment_success_in","0","","1","6080","","0.2","","","6","3"
"0","","","2.3","6081","","","","","6","93"
"top_luis_experiment_success_mix","0","","1","6082","","0.1","","","6","3"
"0","","","2.7","6083","","","","","6","93"
"top_sono_notice_in_dere","0","top_sono_notice_loop_dere","3","6084","","0.2","1","0","6","3"
"1","","","14","6085","","","","","6","32"
"top_luis_experiment_success_burst","0","","1","6086","","0.1","","","6","3"
"0","","","2.7","6087","","","","","6","93"
"top_sono_readPaper_loop","1","","3","6088","","0.2","","","6","3"
"top_luis_experiment_success_out","0","","1","6089","","0.1","","","6","3"
"0","","","1.1","6090","","","","","6","93"
"top_luis_sit_out","0","idle_normal","1","6091","","0.2","1","0","6","3"
"1","","","1","6092","","","","","6","4"
"-57","-140","0","1","6093","","","0","","6","2"
"-100","-130","0.3","1","6094","","","0","","6","2"
"0","","","1","6095","","","","","6","93"
"walk_normal","0","","1","6096","","0.2","","","6","3"
"-216","-103","1","1","6097","","","0","","6","2"
"0","","","1","6098","","","","","6","93"
"idle_normal","0","","1","6099","","0.1","","","6","3"
"0","","","0.8","6100","","","","","6","93"
"0","","","14","6101","","","","","6","32"
"","0","0","6008","6102","","","","","6","101"
"1","100","-216","1","7001","idle_normal","1.4","-103","1","7","5"
"2","110","452","2","7002","top_iroha_read_loop","1.43","-130","1","7","5"
"3","101","350","3","7003","top_sono_readPaper_loop","1.38","-130","1","7","5"
"11","111","980","11","7004","butterfly","1.4","130","1","7","5"
"11","452","-130","11","7005","","0","1","","7","31"
"14","56","-140","14","7006","","0","1","","7","31"
"0","","","0","7007","","","","","7","91"
"top_iroha_read_loop","1","","2","7008","","0.2","","","7","3"
"top_sono_readPaper_loop","1","","3","7009","","0.2","","","7","3"
"top_luis_arm_crossed_in","0","top_luis_arm_crossed_idle","1","7010","","0.2","1","0","7","3"
"0","","","4","7011","","","","","7","93"
"top_luis_approach_in","0","top_luis_approach_idle","1","7012","","0.2","1","0","7","3"
"0","","","3.5","7013","","","","","7","93"
"top_luis_thinking","1","","1","7014","","0.2","","","7","3"
"0","","","3.5","7015","","","","","7","93"
"top_luis_walk_think","1","","1","7016","","0.2","","","7","3"
"-495","-103","2","1","7017","","","0","","7","2"
"0","","","2","7018","","","","","7","93"
"0","","","1","7019","","","","","7","4"
"-216","-103","2","1","7020","","","0","","7","2"
"0","","","2","7021","","","","","7","93"
"top_luis_notice","1","","1","7022","","0","","","7","3"
"0","","","1","7023","","","","","7","93"
"top_luis_walk_jog","1","","1","7024","","0.2","","","7","3"
"-100","-130","0.5","1","7025","","","0","","7","2"
"0","","","0.5","7026","","","","","7","93"
"1","","","1","7027","","","","","7","4"
"top_luis_sit_in","0","top_luis_sit_idle","1","7028","","0.2","1","0","7","3"
"0","","","0.1","7029","","","","","7","93"
"-57","-140","0.4","1","7030","","","0","","7","2"
"0","","","0.4","7031","","","","","7","93"
"-16","-140","0","1","7032","","","0","","7","2"
"0","","","1","7033","","","","","7","4"
"0","","","0.6","7034","","","","","7","93"
"top_luis_experiment_success_in","0","","1","7035","","0.2","","","7","3"
"0","","","2.3","7036","","","","","7","93"
"top_luis_experiment_success_mix","0","","1","7037","","0.1","","","7","3"
"0","","","2.7","7038","","","","","7","93"
"top_sono_notice_in_dere","0","top_sono_notice_loop_dere","3","7039","","0.2","1","0","7","3"
"top_iroha_read_look_light","1","","2","7040","","0.2","","","7","3"
"1","","","14","7041","","","","","7","32"
"top_luis_experiment_success_burst","0","","1","7042","","0.1","","","7","3"
"0","","","2.7","7043","","","","","7","93"
"top_sono_readPaper_loop","1","","3","7044","","0.2","","","7","3"
"top_iroha_read","1","","2","7045","","0.2","","","7","3"
"top_luis_experiment_success_out","0","","1","7046","","0.1","","","7","3"
"0","","","1.1","7047","","","","","7","93"
"top_luis_sit_out","0","idle_normal","1","7048","","0.2","1","0","7","3"
"1","","","1","7049","","","","","7","4"
"-57","-140","0","1","7050","","","0","","7","2"
"-100","-130","0.3","1","7051","","","0","","7","2"
"0","","","1","7052","","","","","7","93"
"walk_normal","0","","1","7053","","0.2","","","7","3"
"-216","-103","1","1","7054","","","0","","7","2"
"0","","","1","7055","","","","","7","93"
"idle_normal","0","","1","7056","","0.1","","","7","3"
"0","","","0.8","7057","","","","","7","93"
"0","","","14","7058","","","","","7","32"
"top_luis_thinking","1","","1","7059","","0.2","","","7","3"
"0","","","5.1","7060","","","","","7","93"
"1","","","11","7061","","","","","7","4"
"-980","130","7","11","7062","","","0","","7","2"
"0","","","2.5","7063","","","","","7","93"
"top_iroha_read_notice","0","","2","7064","","0.2","","","7","3"
"0","","","0.6","7065","","","","","7","93"
"top_iroha_notice_to_run","0","top_iroha_run","2","7066","","0","1","0","7","3"
"0","","","0.4","7067","","","","","7","93"
"1","","","11","7068","","","","","7","32"
"smokeR","","","11","7069","","","","","7","37"
"-980","-130","4.2","11","7070","","","0","","7","33"
"-980","-130","4.2","2","7071","","","0","","7","2"
"0","","","0.2","7072","","","","","7","93"
"top_sono_notice_in_surprise","0","top_sono_notice_loop_surprise","3","7073","","0.2","1","0","7","3"
"0","","","1.7","7074","","","","","7","93"
"top_luis_surprise_in","0","top_luis_surprise_idle","1","7075","","0.2","1","0","7","3"
"0","","","2.5","7076","","","","","7","93"
"0","","","11","7077","","","","","7","32"
"0","","","1","7078","","","","","7","93"
"0","","","11","7079","","","","","7","4"
"980","130","7","11","7080","","","0","","7","2"
"0","","","1.5","7081","","","","","7","93"
"1","","","11","7082","","","","","7","32"
"smokeL","","","11","7083","","","","","7","37"
"980","-130","5.964","11","7084","","","0","","7","33"
"top_iroha_run_joy","1","","2","7085","","0","","","7","3"
"0","","","2","7086","","","","","7","4"
"980","-130","5.964","2","7087","","","0","","7","2"
"0","","","2.2","7088","","","","","7","93"
"top_luis_surprise_look","1","","1","7089","","0","","","7","3"
"0","","","1.8","7090","","","","","7","93"
"top_sono_notice_loop_look","1","","3","7091","","0","","","7","3"
"0","","","1.964","7092","","","","","7","93"
"0","","","11","7093","","","","","7","32"
"0","","","0.5","7094","","","","","7","93"
"top_luis_thinking","1","","1","7095","","0.2","","","7","3"
"0","","","1.5","7096","","","","","7","93"
"top_iroha_walk","1","","2","7097","","0","","","7","3"
"1","","","2","7098","","","","","7","4"
"1032","-130","0","2","7099","","","0","","7","2"
"1032","-130","0","11","7100","","","0","","7","33"
"452","-130","3","2","7101","","","0","","7","2"
"452","-130","3","11","7102","","","0","","7","33"
"0","","","3","7103","","","","","7","93"
"top_iroha_walk_out","0","idle_normal","2","7104","","0.2","1","0","7","3"
"0","","","0.4","7105","","","","","7","93"
"top_iroha_sit_in","0","top_iroha_read_loop","2","7106","","0.2","1","0.2","7","3"
"top_sono_readPaper","1","","3","7107","","0.2","","","7","3"
"0","","","4","7108","","","","","7","93"
"0","","","9.6","7109","","","","","7","93"
"top_sono_sit_out","0","top_sono_stretch","3","7110","","0.2","1","0","7","3"
"287","-130","0.3","3","7111","","","0","","7","2"
"0","","","3.5","7112","","","","","7","93"
"top_sono_drink","1","","3","7113","","0.2","","","7","3"
"0","","","2.6","7114","","","","","7","93"
"top_iroha_read_look","0","","2","7115","","0.4","","","7","3"
"0","","","3.5","7116","","","","","7","93"
"top_luis_thinking_look","1","","1","7117","","0.2","","","7","3"
"0","","","2.9","7118","","","","","7","93"
"top_luis_thinking","1","","1","7119","","0.2","","","7","3"
"0","","","1.5","7120","","","","","7","93"
"top_sono_sit_in","0","","3","7121","","0.2","","","7","3"
"0","","","0.1","7122","","","","","7","93"
"top_iroha_read_loop","1","","2","7123","","0.2","","","7","3"
"350","-130","0.3","3","7124","","","0","","7","2"
"0","","","2.5","7125","","","","","7","93"
"top_sono_readPaper_loop","1","","3","7126","","0.2","","","7","3"
"0","","","1","7127","","","","","7","93"
"","","","7012","7128","","","","","7","101"
"1","101","-16","1","8001","fantasize_all","1.4","-140","0","8","5"
"3","100","980","3","8002","empty","1.38","-130","1","8","5"
"15","102","-16","15","8003","fantasize_all","1","-140","0","8","5"
"11","27","-140","11","8004","","0","1","","8","31"
"15","0","0","15","8005","","0","1","","8","31"
"0","","","0","8006","","","","","8","91"
"fantasize_all","0","fantasize_3","1","8007","","0.2","1","0","8","3"
"fantasize_all","0","fantasize_3","15","8008","","0.2","1","0","8","3"
"0","","","2","8009","","","","","8","93"
"se_alces_fantasy1","0","","se_alces","8010","","","","","8","23"
"0","","","10","8011","","","","","8","93"
"walk","1","","3","8012","","0.2","","","8","3"
"350","-130","3","3","8013","","","0","","8","2"
"0","","","3","8014","","","","","8","93"
"sono_notice_in_anger2","0","","3","8015","","0.2","","","8","3"
"0","","","1.5","8016","","","","","8","93"
"kohon","0","idle_normal","3","8017","","0.2","1","0","8","3"
"0","","","0.6","8018","","","","","8","93"
"se_alces_fantasy2","0","","se_alces","8019","","","","","8","23"
"fantasize_out","0","","15","8020","","0","","","8","3"
"1","","","15","8021","","","","","8","32"
"fantasize_3_surprise","0","","1","8022","","0.2","","","8","3"
"0","","","1.5","8023","","","","","8","93"
"fantasize_sit_out","0","","1","8024","","0.2","","","8","3"
"27","-140","0.3","1","8025","","","0","","8","2"
"0","","","0.8","8026","","","","","8","93"
"fantasize_armcrossed_in","0","fantasize_armcrossed_idle","1","8027","","0.2","1","0","8","3"
"0","","","0.5","8028","","","","","8","93"
"idle_surprise","1","","3","8029","","0.2","","","8","3"
"0","","","1.5","8030","","","","","8","93"
"se_alces_run","0","","se_alces","8031","","","","","8","23"
"fantasize_run","1","","1","8032","","0","","","8","3"
"1080","-140","1.5","1","8033","","","0","","8","2"
"1","","","11","8034","","","","","8","32"
"1080","-140","1.5","11","8035","","","0","","8","33"
"0","","","0.5","8036","","","","","8","93"
"lookback_in","0","lookback_idle","3","8037","","0.2","1","0","8","3"
"0","","","1.8","8038","","","","","8","93"
"se_alces_sweat","0","","se_alces","8039","","","","","8","23"
"1","101","560","1","9001","walk_jog_Ex3_shy","1.4","-140","1","9","5"
"2","100","147","1","9002","empty","1.4","-114","1","9","5"
"16","147","-114","16","9003","","0","1","","9","31"
"17","147","-114","17","9004","","0","1","","9","31"
"0","","","0","9005","","","","","9","91"
"walk_jog_Ex3_shy","1","","1","9006","","0.2","","","9","3"
"270","-140","1.2","1","9007","","","0","","9","2"
"0","","","1.2","9008","","","","","9","93"
"idle_normal_Ex0003_shy","1","","1","9009","","0.2","","","9","3"
"0","","","0.3","9010","","","","","9","93"
"lookAround","0","","1","9011","","0.2","","","9","3"
"0","","","2.7","9012","","","","","9","93"
"walk_jog_anger_shy","1","","1","9013","","0.2","","","9","3"
"147","-114","0.7","1","9014","","","0","","9","2"
"0","","","0.7","9015","","","","","9","93"
"crouch_search_read_F","0","crouch_search_read_idle","1","9016","","0","1","0","9","3"
"crouch_search_read_B","0","","2","9017","","0","","","9","3"
"0","","","0.9","9018","","","","","9","93"
"se_alces_book_take","0","","se_alces","9019","","","","","9","23"
"0","","","5.2","9020","","","","","9","93"
"se_alces_book_open","0","","se_alces","9021","","","","","9","23"
"0","","","0.5","9022","","","","","9","93"
"se_alces_steam","0","","se_alces","9023","","","","","9","23"
"1","","","17","9024","","","","","9","32"
"0","","","6.2","9025","","","","","9","93"
"1","","","16","9026","","","","","9","32"
"2","100","400","2","10001","iroha_sleep","1.4","-130","0","10","5"
"12","101","400","12","10002","iroha_sleep","1.4","-130","0","10","5"
"10","101","400","10","10003","empty","1.4","-130","0","10","5"
