2971289fbaed578faca813667cc87900cd1caa980bc72d17a6b31b916cd9bc14,810f3e5e459bfd8fe2e9fe71a92c44675f9a32278d8526ae45f25900c65cec52,600ccc432f4d51c05f17acb1c65816dbb7b96ad843fca7e5d5cb81c6260a89b5,c2ce5e851069dd3227bc92b2ad184f27f1cb006c0198c2287794dbbdae186f69,a41e967627b09846a05ebef28e9501be194a6f8c1d2914cce93927aba1b7130c,9a402da1dfe5b35eca710a201b45ad894dc0bb4d0033711586e192c70c8289ba,d6641d127042a1ad6107d191f51a176501762b09175eb468431a645c0a899a71,bab5ac0e7e72b3b0d2a3ed55462414b1e71c8be70bb19c383710ef2bbc9de1e6,6281b5011bab51ef6dad98cf44695dca126a1cf63f55e65c5ae8f952e0937434,a447f386701070d40a00d38bd2ca9320fb7a67b1ec7f4314d102a62e83cc2f3a,cd3cb764f2de310a40ad4320a201f6cffb875f564f87b3dce26356819d5a13c0,829ec5426c16c36f75917a4a0bcebdda62e0e471f82e80b2f65b0ff4a8dd221f,2874005554c78adbf8a1b37d9f2ec3c0c9f2c1a248e5d18c78d61acda5228c4e,73e7ae6cd109a2499517ed04353e6129966654429f937da72474d63fec56edf8,2a3372c1d7ae93a9ba15d2117320937a9570b66bc9e41cd1c3df8f33d37e1c28,3e6a84cf829c81a42b38e452555f8f965b014dd0a2b32a3ce0e2f5625e450cdd,7f22a1ecf7ceaa7762c2e7f2aa8b9cc7768b084fcf0f65fa5ed3ec4709830c7b,468a5f2a309b771722a1eef36690221e201f3b47f2792b7de37f804d5c11d8f1,dc01b3b44ae167ff29a902c987c03a897119ca8d3b97f3345d259c42c4f4dd50,3a71fa1642036aacc6d13ef23e59947f7f38d8c8ec4515fa146b0abc97417c52,2270dace453e3c84cc2537b0b901bc7a7d3758f2c5abb3e353be8bb3c8dc890e,297be3f7dbdc6fc8221950e0c088c51b83d944cb6b253a317a6d35c0634b2db6
"2","0","2","8","1","6114","2","1","202","91002","10120202","完成前篇活動冒險 N-2","30","101","0","9003","2025/06/01 16:00:00","601","20202","22002","0","1"
"3","0","2","8","1","6114","2","1","202","91002","10120203","完成前篇活動冒險 N-3","30","101","0","9003","2025/06/01 16:00:00","601","20203","22002","0","1"
"4","0","2","8","1","6114","2","1","202","91002","10120204","完成前篇活動冒險 N-4","30","101","0","9003","2025/06/01 16:00:00","601","20204","22002","0","1"
"5","0","2","8","1","6114","2","1","202","91002","10120205","完成前篇活動冒險 N-5","30","101","0","9003","2025/06/01 16:00:00","601","20205","22002","0","1"
"6","0","2","8","1","6114","2","1","202","91002","10120206","完成前篇活動冒險 N-6","30","101","0","9003","2025/06/01 16:00:00","601","20206","22002","0","1"
"7","0","2","8","1","6114","2","1","202","91002","10120207","完成前篇活動冒險 N-7","30","101","0","9003","2025/06/01 16:00:00","601","20207","22002","0","1"
"8","0","2","8","1","6114","2","1","202","91002","10120208","完成前篇活動冒險 N-8","30","101","0","9003","2025/06/01 16:00:00","601","20208","22002","0","1"
"9","0","2","8","1","6114","2","1","202","91002","10120209","完成前篇活動冒險 N-9","30","101","0","9003","2025/06/01 16:00:00","601","20209","22002","0","1"
"10","0","2","8","1","6114","2","1","202","91002","10120210","完成前篇活動冒險 N-10","30","101","0","9003","2025/06/01 16:00:00","601","20210","22002","0","1"
"11","0","2","8","3","6114","2","1","202","91002","10120211","完成前篇活動冒險 H-1","60","101","0","9003","2025/06/01 16:00:00","601","20211","22002","0","1"
"12","0","2","8","3","6114","2","1","202","91002","10120212","完成前篇活動冒險 H-2","60","101","0","9003","2025/06/01 16:00:00","601","20212","22002","0","1"
"13","0","2","8","3","6114","2","1","202","91002","10120213","完成前篇活動冒險 H-3","60","101","0","9003","2025/06/01 16:00:00","601","20213","22002","0","1"
"14","0","2","8","1","6114","2","1","202","91002","10120214","完成後篇活動冒險 N-1","30","101","0","9003","2025/06/07 16:00:00","601","20214","22002","0","1"
"15","0","2","8","1","6114","2","1","202","91002","10120215","完成後篇活動冒險 N-2","30","101","0","9003","2025/06/07 16:00:00","601","20215","22002","0","1"
"16","0","2","8","1","6114","2","1","202","91002","10120216","完成後篇活動冒險 N-3","30","101","0","9003","2025/06/07 16:00:00","601","20216","22002","0","1"
"17","0","2","8","1","6114","2","1","202","91002","10120217","完成後篇活動冒險 N-4","30","101","0","9003","2025/06/07 16:00:00","601","20217","22002","0","1"
"18","0","2","8","1","6114","2","1","202","91002","10120218","完成後篇活動冒險 N-5","30","101","0","9003","2025/06/07 16:00:00","601","20218","22002","0","1"
"19","0","2","8","1","6114","2","1","202","91002","10120219","完成後篇活動冒險 N-6","30","101","0","9003","2025/06/07 16:00:00","601","20219","22002","0","1"
"20","0","2","8","1","6114","2","1","202","91002","10120220","完成後篇活動冒險 N-7","30","101","0","9003","2025/06/07 16:00:00","601","20220","22002","0","1"
"21","0","2","8","1","6114","2","1","202","91002","10120221","完成後篇活動冒險 N-8","30","101","0","9003","2025/06/07 16:00:00","601","20221","22002","0","1"
"22","0","2","8","1","6114","2","1","202","91002","10120222","完成後篇活動冒險 N-9","30","101","0","9003","2025/06/07 16:00:00","601","20222","22002","0","1"
"23","0","2","8","1","6114","2","1","202","91002","10120223","完成後篇活動冒險 N-10","30","101","0","9003","2025/06/07 16:00:00","601","20223","22002","0","1"
"24","0","2","8","3","6114","2","1","202","91002","10120224","完成後篇活動冒險 H-1","60","101","0","9003","2025/06/07 16:00:00","601","20224","22002","0","1"
"25","0","2","8","3","6114","2","1","202","91002","10120225","完成後篇活動冒險 H-2","60","101","0","9003","2025/06/07 16:00:00","601","20225","22002","0","1"
"26","0","2","8","3","6114","2","1","202","91002","10120226","完成後篇活動冒險 H-3","60","101","0","9003","2025/06/07 16:00:00","601","20226","22002","0","1"
"1","12","2","8","10","6115","2","1","203","91002","10120301","通過前篇Boss戰（SCENARIO）","50","101","94002","9019","2025/06/01 16:00:00","601","20301","90005","750000","1"
"1","12","2","8","10","6115","2","1","204","91002","10120401","通過後篇Boss戰（SCENARIO）","50","101","94002","9028","2025/06/07 16:00:00","601","20401","90005","750000","1"
"1","0","3","8","200","6116","2","1","301","91002","10130101","通過前篇Boss戰（SPECIAL）的MODE1","30","101","0","9016","2025/06/01 16:00:00","601","30101","62001","0","1"
"2","0","3","8","200","6116","2","1","302","91002","10130201","通過前篇Boss戰（SPECIAL）的MODE2","30","101","0","9016","2025/06/01 16:00:00","601","30201","62001","0","1"
"3","0","3","8","120000","6116","12","1","303","91002","10130301","通過前篇Boss戰（SPECIAL）","30","101","0","9016","2025/06/01 16:00:00","601","30301","94002","0","1"
"5","0","3","8","0","6116","0","1","304","91002","10130401","挑戰次數5次以內通過前篇Boss戰（SPECIAL）","100","101","0","9015","2025/06/01 16:00:00","601","30401","0","0","1"
"1","0","3","12","0","6117","0","1","305","94002","10130501","通過前篇Boss戰（SPECIAL+）的MODE1","500000","101","0","9026","2025/06/01 16:00:00","601","30501","0","0","1"
"2","0","3","12","0","6117","0","1","306","94002","10130601","通過前篇Boss戰（SPECIAL+）的MODE2","500000","101","0","9026","2025/06/01 16:00:00","601","30601","0","0","1"
"5","0","3","4","1000000","6117","12","1","307","140001","10130701","挑戰次數5次以內通過前篇Boss戰（SPECIAL+）","20","101","0","9027","2025/06/01 16:00:00","601","30701","94002","0","1"
"1","0","3","8","200","6116","2","1","308","91002","10130801","通過後篇Boss戰（SPECIAL）的MODE1","30","101","0","9029","2025/06/07 16:00:00","601","30801","62001","0","1"
"2","0","3","8","200","6116","2","1","309","91002","10130901","通過後篇Boss戰（SPECIAL）的MODE2","30","101","0","9029","2025/06/07 16:00:00","601","30901","62001","0","1"
"3","0","3","8","120000","6116","12","1","310","91002","10131001","通過後篇Boss戰（SPECIAL）","30","101","0","9029","2025/06/07 16:00:00","601","31001","94002","0","1"
"5","0","3","8","0","6116","0","1","311","91002","10131101","挑戰次數5次以內通過後篇Boss戰（SPECIAL）","100","101","0","9030","2025/06/07 16:00:00","601","31101","0","0","1"
"1","0","3","12","0","6117","0","1","312","94002","10131201","通過後篇Boss戰（SPECIAL+）的MODE1","500000","101","0","9031","2025/06/07 16:00:00","601","31201","0","0","1"
"2","0","3","12","0","6117","0","1","313","94002","10131301","通過後篇Boss戰（SPECIAL+）的MODE2","500000","101","0","9031","2025/06/07 16:00:00","601","31301","0","0","1"
"5","0","3","4","1000000","6117","12","1","314","140001","10131401","挑戰次數5次以內通過後篇Boss戰（SPECIAL+）","20","101","0","9032","2025/06/07 16:00:00","601","31401","94002","0","1"
"0","0","1","2","0","6114","0","1","101","62001","10210101","完成1次活動冒險","10","102","0","9004","2025/07/01 16:00:00","601","10101","0","0","1"
"1","0","2","2","100000","6113","12","2","201","62001","10220101","閱覽活動劇情序幕","50","102","0","9002","2025/07/01 16:00:00","601","20101","94002","0","1"
"2","0","2","2","100000","6113","12","2","201","62001","10220102","閱覽活動劇情 第1話","50","102","0","9002","2025/07/01 16:00:00","601","20102","94002","0","1"
"3","0","2","2","100000","6113","12","2","201","62001","10220103","閱覽活動劇情 第2話","50","102","0","9002","2025/07/01 16:00:00","601","20103","94002","0","1"
"4","0","2","2","100000","6113","12","2","201","62001","10220104","閱覽活動劇情 第3話","50","102","0","9002","2025/07/01 16:00:00","601","20104","94002","0","1"
"5","0","2","2","100000","6113","12","2","201","62001","10220105","閱覽活動劇情 第4話","50","102","0","9002","2025/07/01 16:00:00","601","20105","94002","0","1"
"6","0","2","2","100000","6113","12","2","201","62001","10220106","閱覽活動劇情 第5話","50","102","0","9002","2025/07/01 16:00:00","601","20106","94002","0","1"
"7","0","2","2","100000","6113","12","2","201","62001","10220107","閱覽活動劇情 第6話","50","102","0","9002","2025/07/01 16:00:00","601","20107","94002","0","1"
"8","0","2","2","100000","6113","12","2","201","62001","10220108","閱覽活動劇情終幕","50","102","0","9002","2025/07/01 16:00:00","601","20108","94002","0","1"
"1","0","2","8","1","6114","2","1","202","91002","10220201","完成活動冒險 N-1","30","102","0","9003","2025/07/01 16:00:00","601","20201","22002","0","1"
"2","0","2","8","1","6114","2","1","202","91002","10220202","完成活動冒險 N-2","30","102","0","9003","2025/07/01 16:00:00","601","20202","22002","0","1"
"3","0","2","8","1","6114","2","1","202","91002","10220203","完成活動冒險 N-3","30","102","0","9003","2025/07/01 16:00:00","601","20203","22002","0","1"
"4","0","2","8","1","6114","2","1","202","91002","10220204","完成活動冒險 N-4","30","102","0","9003","2025/07/01 16:00:00","601","20204","22002","0","1"
"5","0","2","8","1","6114","2","1","202","91002","10220205","完成活動冒險 N-5","30","102","0","9003","2025/07/01 16:00:00","601","20205","22002","0","1"
"6","0","2","8","1","6114","2","1","202","91002","10220206","完成活動冒險 N-6","30","102","0","9003","2025/07/01 16:00:00","601","20206","22002","0","1"
"7","0","2","8","1","6114","2","1","202","91002","10220207","完成活動冒險 N-7","30","102","0","9003","2025/07/01 16:00:00","601","20207","22002","0","1"
"8","0","2","8","1","6114","2","1","202","91002","10220208","完成活動冒險 N-8","30","102","0","9003","2025/07/01 16:00:00","601","20208","22002","0","1"
"9","0","2","8","1","6114","2","1","202","91002","10220209","完成活動冒險 N-9","30","102","0","9003","2025/07/01 16:00:00","601","20209","22002","0","1"
"10","0","2","8","1","6114","2","1","202","91002","10220210","完成活動冒險 N-10","30","102","0","9003","2025/07/01 16:00:00","601","20210","22002","0","1"
"11","0","2","8","3","6114","2","1","202","91002","10220211","完成活動冒險 H-1","60","102","0","9003","2025/07/01 16:00:00","601","20211","22002","0","1"
"12","0","2","8","3","6114","2","1","202","91002","10220212","完成活動冒險 H-2","60","102","0","9003","2025/07/01 16:00:00","601","20212","22002","0","1"
"13","0","2","8","3","6114","2","1","202","91002","10220213","完成活動冒險 H-3","60","102","0","9003","2025/07/01 16:00:00","601","20213","22002","0","1"
"1","12","2","8","10","6115","2","1","203","91002","10220301","通過Boss戰（SCENARIO）","50","102","94002","9019","2025/07/01 16:00:00","601","20301","90005","750000","1"
"1","0","3","8","200","6116","2","1","301","91002","10230101","通過Boss戰（SPECIAL）的MODE1","30","102","0","9016","2025/07/01 16:00:00","601","30101","62001","0","1"
"2","0","3","8","200","6116","2","1","302","91002","10230201","通過Boss戰（SPECIAL）的MODE2","30","102","0","9016","2025/07/01 16:00:00","601","30201","62001","0","1"
"3","0","3","8","120000","6116","12","1","303","91002","10230301","通過Boss戰（SPECIAL）","30","102","0","9016","2025/07/01 16:00:00","601","30301","94002","0","1"
"5","0","3","8","0","6116","0","1","304","91002","10230401","挑戰次數5次以內通過Boss戰（SPECIAL）","100","102","0","9015","2025/07/01 16:00:00","601","30401","0","0","1"
"1","0","3","12","0","6117","0","1","305","94002","10230501","通過Boss戰（SPECIAL+）的MODE1","500000","102","0","9026","2025/07/01 16:00:00","601","30501","0","0","1"
"2","0","3","12","0","6117","0","1","306","94002","10230601","通過Boss戰（SPECIAL+）的MODE2","500000","102","0","9026","2025/07/01 16:00:00","601","30601","0","0","1"
"5","0","3","4","1000000","6117","12","1","307","140001","10230701","挑戰次數5次以內通過Boss戰（SPECIAL+）","20","102","0","9027","2025/07/01 16:00:00","601","30701","94002","0","1"
