b19cc1c65cdb4f0cc2c95287f4b48b82f9f148f08dcc1268af010da09fe808cb,a4f9dc029a502ff064e711f52ffac724489fd6be9d83d4195c4fef5fc0c18934,03cdbf3657358a6c9c9f84d7ce9538d1244bfeeaf853d89222d21fb873fdc77d,254a3de1ef24cdde7838b2420662c79a4b135e9700e2151c108dd5ce48d759d1,953ee5fd4284a8565611c705de76d41bcfb4dacb4e4c426bb1fe517fbd7aa5b2,700ca5e891f3b7fc4ed21fa527e6ae6c3402f9de23f938e67eb5c4330db6f389,f14d8884a8f0851be258301d85eaa6fdd9cff156b580174b64bf3c7bb7c73df4,07de2b6050c353b85eba989b5cc81aeb6470b73467d437afb1c36bb0e1408153,c7c2bd654f9b4d30bfe5232eabfb452fd9d2687280191692bb4775e3a563ad77
"610204404","-60","0","5","0","0","1","0",""
"610204501","-200","0","2","0","0","0.85","0",""
"610204502","-140","0","3","0","0","0.85","0",""
"610204503","-60","0","4","0","0","1","0",""
"610204504","-60","0","5","0","0","1","0",""
"610205101","0","0","1","-60","160","1.38","1",""
"610205201","0","0","1","0","160","0.94","1",""
"610205202","0","0","1","-60","160","1.38","1",""
"610205203","0","0","1","-60","160","1.38","1",""
"610205301","0","0","1","0","160","0.94","1",""
"610205302","0","0","1","-60","160","1.38","1",""
"610205303","0","0","1","-60","160","1.38","1",""
"610205401","-200","0","2","0","0","0.9","0",""
"610205402","-140","0","3","0","0","0.9","0",""
"610205403","-60","0","4","0","0","0.9","0",""
"610205404","-60","0","5","0","0","0.9","0",""
"610205501","-200","0","2","0","0","0.9","0",""
"610205502","-140","0","3","0","0","0.9","0",""
"610205503","-60","0","4","0","0","0.9","0",""
"610205504","-60","0","5","0","0","0.9","0",""
"610206101","0","0","1","-80","295","0.86","1",""
"610206201","0","0","1","-50","295","0.68","1",""
"610206202","0","0","1","-50","295","0.68","1",""
"610206203","0","0","1","-80","295","0.86","1",""
"610206301","0","0","1","-50","295","0.68","1",""
"610206302","0","0","1","-50","295","0.68","1",""
"610206303","0","0","1","-80","295","0.86","1",""
"610206401","-200","0","2","0","0","0.85","0",""
"610206402","-140","0","3","0","0","1","0",""
"610206403","-60","0","4","0","0","1","0",""
"610206404","-60","0","5","0","0","1","0",""
"610206405","-200","0","6","0","0","0.78","0",""
"610206406","-140","0","7","0","0","0.78","0",""
"610206407","-60","0","8","0","0","0.78","0",""
"610206408","-60","0","9","0","0","0.78","0",""
"610206501","-200","0","2","0","0","0.85","0",""
"610206502","-140","0","3","0","0","1","0",""
"610206503","-60","0","4","0","0","1","0",""
"610206504","-60","0","5","0","0","1","0",""
"610206505","-200","0","6","0","0","0.78","0",""
"610206506","-140","0","7","0","0","0.78","0",""
"610206507","-60","0","8","0","0","0.78","0",""
"610206508","-60","0","9","0","0","0.78","0",""
"610207101","0","0","1","-17","250","1.35","1",""
"610207201","0","0","1","0","250","0.95","1",""
"610207202","0","0","1","-17","250","1.35","1",""
"610207203","0","0","1","-17","250","1.35","1",""
"610207301","0","0","1","0","250","0.95","1",""
"610207302","0","0","1","-17","250","1.35","1",""
"610207303","0","0","1","-17","250","1.35","1",""
"610207401","-200","0","2","-21","0","0.85","0",""
"610207402","-140","0","3","-21","0","0.85","0",""
"610207403","-60","0","4","-21","0","0.85","0",""
"610207404","-60","0","5","-21","0","0.73","0",""
"610207501","-200","0","2","-21","0","0.85","0",""
"610207502","-140","0","3","-21","0","0.85","0",""
"610207503","-60","0","4","-21","0","0.85","0",""
"610207504","-60","0","5","-21","0","0.73","0",""
"610208101","0","0","1","-90","405","1.01","1",""
"610208103","0","0","4","0","0","0","0",""
"610208201","0","0","1","-90","405","0.9","1",""
"610208202","0","0","1","-90","405","1.01","1",""
"610208203","0","0","1","-90","405","1.01","1",""
"610208301","0","0","1","-90","405","0.9","1",""
"610208302","0","0","1","-90","405","1.01","1",""
"610208303","0","0","1","-90","405","1.01","1",""
"610208401","-140","0","2","0","0","0.78","0",""
"610208402","-60","0","3","0","0","0.78","0",""
"610208501","-140","0","2","0","0","0.78","0",""
"610208502","-60","0","3","0","0","0.78","0",""
"610209101","0","0","1","-14","140","1.3","1",""
"610209201","0","0","1","-15","140","1.15","1",""
"610209202","0","0","1","-14","140","1.3","1",""
"610209203","0","0","1","-14","140","1.3","1",""
"610209301","0","0","1","-15","140","1.15","1",""
"610209302","0","0","1","-14","140","1.3","1",""
"610209303","0","0","1","-14","140","1.3","1",""
"610209401","-200","0","2","0","0","1","0",""
"610209402","-140","0","3","0","0","1","0",""
"610209403","-60","0","4","0","0","1","0",""
"610209404","-60","0","5","0","0","1","0",""
"610209501","-200","0","2","0","0","1","0",""
"610209502","-140","0","3","0","0","1","0",""
"610209503","-60","0","4","0","0","1","0",""
"610209504","-60","0","5","0","0","1","0",""
"610210101","0","0","1","-15","165","1.15","1",""
"610210201","0","0","1","0","165","0.92","1",""
"610210202","0","0","1","-15","165","1.15","1",""
"610210203","0","0","1","-15","165","1.15","1",""
"610210301","0","0","1","0","165","0.92","1",""
"610210302","0","0","1","-15","165","1.15","1",""
"610210303","0","0","1","-15","165","1.15","1",""
"610210401","-200","0","2","0","0","0.68","0",""
"610210402","-140","0","3","0","0","0.68","0",""
"610210403","-60","0","4","0","0","0.68","0",""
"610210404","-60","0","5","0","0","0.68","0",""
"610210501","-200","0","2","0","0","0.68","0",""
"610210502","-140","0","3","0","0","0.68","0",""
"610210503","-60","0","4","0","0","0.68","0",""
"610210504","-60","0","5","0","0","0.68","0",""
