cafbc17fbcacd5d0909ad5a977396f12da3b48b0cd5bfc8d1e57e28f874ab09e,c9df6d2a3673fa5e22f4f75a9ffac0ebb2732cd384b5f7210b978b74be1924e9,d3ae438c92d5239fe26f6026792b32cb50fc83028ba02696237eefe87f782d1c,f8dbcccb2019b3c1640f9751f95a09c1a0bcac4e7ef42d200305dd581c98834a,1ec234275d2d7bca2b6d0087bc806589bcb8b6391614adc11cb91acab400f39b,d4d0339aed45bb9288ac33a04cdf79bb5fddd9b4e96c6f8c589daeb80fbedff1,d19bdb5785fd02e0e5f9fa09c81ec5ce1ed0a27396f1ca6c0d0f25abf7b063fd,22dcab001058ce4a67773aafaffbe5990b0d730ee1cecd71f060dc8a1ab1237e,084ee974a0ec94822652467da52ef5defc77e9f77d5095b19487af3559532f11,df0bfdd07e7252eccdf96ba9907a0f385acc73cb2289e70918044cc372592d92,e2a6831559e8ed3737689afeb853cbee68b104cfee609d6345f231f913383f38,9c28c9f0cbcffb0ee6bce8f02ab2db6f0e1123c04677e03c8f0de3681e73c11a,003a4f2a5e83a6d132c1e112087bf33df1272e8d1c6b96e83e73a03b3d9f63c8,585be4ef8d033c3551b8b11e87cf9585a73bd08159f8b9761f7990c4b18fba3b,ff45c9ac873986840ddf1f886d769f8ac4d6e0158370d66bf7ef7ff5e239038d,644c0abcd9c99e310b599c804e2088f8b3addc67c834482cd2cefebafee4de3c
"8","25","91002","2","0","2","50","0","5","2","25205","40","78100205","25206","25204","0"
"2","3","25201","0","0","2","2","0","0","2","25203","2","78100211","0","25202","0"
"2","2","25203","0","0","2","2","0","0","2","25205","2","78100212","0","25204","0"
"2","1","25203","0","0","2","2","0","0","2","25205","2","78100213","0","25206","0"
"2","3","25201","2","0","2","2","0","2","2","25205","2","78100214","25204","25202","0"
"2","0","25201","0","0","2","2","0","0","0","25206","1","78100215","0","0","0"
"2","4","25201","0","0","2","4","0","0","2","25203","4","78100221","0","25202","0"
"2","3","25203","0","0","2","4","0","0","2","25205","4","78100222","0","25204","0"
"2","1","25203","0","0","2","4","0","0","2","25205","4","78100223","0","25206","0"
"2","4","25201","2","0","2","4","0","3","2","25205","4","78100224","25204","25202","0"
"2","0","25201","0","0","2","4","0","0","0","25206","1","78100225","0","0","0"
"2","6","25201","0","0","2","6","0","0","2","25203","6","78100231","0","25202","0"
"2","3","25203","0","0","2","6","0","0","2","25205","6","78100232","0","25204","0"
"2","1","25203","0","0","2","6","0","0","2","25205","6","78100233","0","25206","0"
"2","6","25201","2","0","2","6","0","3","2","25205","6","78100234","25204","25202","0"
"2","0","25201","0","0","2","6","0","0","0","25206","1","78100235","0","0","0"
"8","40","91002","0","0","2","50","0","0","2","25201","40","78100301","0","25202","0"
"8","25","91002","0","0","2","50","0","0","2","25203","40","78100302","0","25204","0"
"8","5","91002","0","0","2","50","0","0","2","25205","40","78100303","0","25206","0"
"8","40","91002","2","0","2","50","0","40","2","25201","40","78100304","25202","25203","0"
"8","25","91002","2","0","2","50","0","5","2","25205","40","78100305","25206","25204","0"
"2","3","25201","0","0","2","2","0","0","2","25203","2","78100311","0","25202","0"
"2","2","25203","0","0","2","2","0","0","2","25205","2","78100312","0","25204","0"
"2","1","25203","0","0","2","2","0","0","2","25205","2","78100313","0","25206","0"
"2","3","25201","2","0","2","2","0","2","2","25205","2","78100314","25204","25202","0"
"2","0","25201","0","0","2","2","0","0","0","25206","1","78100315","0","0","0"
"2","4","25201","0","0","2","4","0","0","2","25203","4","78100321","0","25202","0"
"2","3","25203","0","0","2","4","0","0","2","25205","4","78100322","0","25204","0"
"2","1","25203","0","0","2","4","0","0","2","25205","4","78100323","0","25206","0"
"2","4","25201","2","0","2","4","0","3","2","25205","4","78100324","25204","25202","0"
"2","0","25201","0","0","2","4","0","0","0","25206","1","78100325","0","0","0"
"2","6","25201","0","0","2","6","0","0","2","25203","6","78100331","0","25202","0"
"2","3","25203","0","0","2","6","0","0","2","25205","6","78100332","0","25204","0"
"2","1","25203","0","0","2","6","0","0","2","25205","6","78100333","0","25206","0"
"2","6","25201","2","0","2","6","0","3","2","25205","6","78100334","25204","25202","0"
"2","0","25201","0","0","2","6","0","0","0","25206","1","78100335","0","0","0"
