0f99f35d06a3af66b3a315aad2940085383e155b942b2fc22a59c1198e1ffb35,d454ab945134417e8422b5893f2bee6d3405ef980e9460c880c1fb99eb788b80,5c0c4579fedae35e3fe8ba83fa8b5f3e44aff8ac91f925902d1bd345e7e8a5b4,545334dad5930628f7b2ce0729c1825902e5c4f833868eb529b07a32c57c218d,a3ce732fd9533023a9349d1cd0fcbbf21644e149ebd24227d1162cd942c5490b,86fe894bd836d5d2cbbd2cf520143a36ce351ed5fc40c9596853726eff716cd3,06d8695411b22aef92074bac265c5abf3b02dc9511f678c7c210cfa0bb4c5a56,7c5caf7f244a844bedaeb3405334768f9465dad4a48290280d1c41bcfeeb4834,bdd45d92f4204b0e7347e19056ac0c443c9666c84c80b58e5c2d8b1746bd3aee,9f8cefcbf0940d6a1b1634aa07f7c23f1fd84a3309cded54fc5c6c7e3eeb7ab2,a4779369d8f3358c6786ee37847df9920a7b02a4152ac02f8ec10ff7620e2bf6
"1","1","122711","1009801","0","0","0","10","因為如果不曉得是什麼生物，\n養起來會很辛苦……\n可別忘了這點喔？","11","1009801058"
"","","0","1009801","","","","","","91","1009801059"
"","","122711","1009801","","","0.2","1","lsv_idle_normal","3","1009801060"
"lsv_idle_normal","1","122811","1009801","0.2","","0","0","lsv_hello","3","1009801061"
"lsv_idle_normal_joyR","1","122911","1009801","0.2","","0","0","lsv_hello","3","1009801062"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0129","21","1009801063"
"1","1","122811","1009801","0","0","0","10","好──！","11","1009801064"
"1","1","122911","1009801","0","0","0","10","好──！","11","1009801065"
"","","0","1009801","","","","","","91","1009801066"
"","","122711","1009801","","","0.2","1","lsv_idle_normal","3","1009801067"
"","","122911","1009801","","","0.2","1","lsv_talk_surprise","3","1009801068"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0130","21","1009801069"
"1","1","122911","1009801","0","0","0","10","小繆好不可思議喔～\n第一次見到時\n真的嚇了一跳！","11","1009801070"
"","","0","1009801","","","","","","91","1009801071"
"","","122911","1009801","","","0.2","1","lsv_idle_normal_suprise1","3","1009801072"
"lsv_talk_cool_loop","1","122811","1009801","0.2","","0","0","lsv_talk_cool","3","1009801073"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0131","21","1009801074"
"1","1","122811","1009801","0","0","0","10","畢竟蛋也跟石頭很像嘛！\n吶，哥哥覺得\n牠是什麼生物？","11","1009801075"
"","","0","1009801","","","","","","91","1009801076"
"lsv_look_idle_normal","1","122711","1009801","0.2","","0","0","lsv_choice","3","1009801077"
"lsv_look_idle_normal","1","122811","1009801","0.2","","0","0","lsv_choice","3","1009801078"
"lsv_look_idle_normal","1","122911","1009801","0.2","","0","0","lsv_choice","3","1009801079"
"","","0.1","1009801","","","","","0","93","1009801080"
"0.33","2","122711","1009801","0.2","","","-235","-452","2","1009801081"
"0.33","2","122811","1009801","0.2","","","-220","420","2","1009801082"
"0.33","2","122911","1009801","0.2","","","-250","545","2","1009801083"
"","","0","1009801","","","0.2","1","0","22","1009801084"
"","","怪獸的寶寶。","1009801","","","","0","1009801088","103","1009801085"
"","","大隻的蛞蝓。","1009801","","","","0","1009801102","103","1009801086"
"","","有毒的生物。","1009801","","","","0","1009801115","103","1009801087"
"lsv_idle_normal","1","122711","1009801","0.2","","0","0","lsv_choice","3","1009801088"
"lsv_idle_normal","1","122811","1009801","0.2","","0","0","lsv_choice","3","1009801089"
"lsv_idle_normal","1","122911","1009801","0.2","","0","0","lsv_choice","3","1009801090"
"","","0.1","1009801","","","","","0","93","1009801091"
"0.33","2","122711","1009801","0.2","","","-235","-200","2","1009801092"
"0.33","2","122811","1009801","0.2","","","-220","100","2","1009801093"
"0.33","2","122911","1009801","0.2","","","-250","270","2","1009801094"
"","","0.7","1009801","","","","","0","93","1009801095"
"","","122911","1009801","","","0.2","1","lsv_talk_wish_joy","3","1009801096"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0132","21","1009801097"
"1","1","122911","1009801","0","0","0","10","怪獸先生？\n那一定會長很大吧～♪\n會長得比城堡還要大嗎？","11","1009801098"
"","","0","1009801","","","","","","91","1009801099"
"","","122911","1009801","","","0.2","1","lsv_idle_normal","3","1009801100"
"","","1009801129","1009801","","","","","","101","1009801101"
"lsv_idle_normal","1","122711","1009801","0.2","","0","0","lsv_choice","3","1009801102"
"lsv_idle_normal","1","122811","1009801","0.2","","0","0","lsv_choice","3","1009801103"
"lsv_idle_normal","1","122911","1009801","0.2","","0","0","lsv_choice","3","1009801104"
"","","0.1","1009801","","","","","0","93","1009801105"
"0.33","2","122711","1009801","0.2","","","-235","-200","2","1009801106"
"0.33","2","122811","1009801","0.2","","","-220","100","2","1009801107"
"0.33","2","122911","1009801","0.2","","","-250","270","2","1009801108"
"","","0.7","1009801","","","","","0","93","1009801109"
"","","122811","1009801","","","0.2","1","lsv_talk_bitter_sad","3","1009801110"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0133","21","1009801111"
"1","1","122811","1009801","0","0","0","10","咦──蛞蝓～？\n感覺不怎麼帥氣……\n那還是不要讓牠接近鹽好了？","11","1009801112"
"","","0","1009801","","","","","","91","1009801113"
"","","1009801129","1009801","","","","","","101","1009801114"
"lsv_idle_normal","1","122711","1009801","0.2","","0","0","lsv_choice","3","1009801115"
"lsv_idle_normal","1","122811","1009801","0.2","","0","0","lsv_choice","3","1009801116"
"lsv_idle_normal","1","122911","1009801","0.2","","0","0","lsv_choice","3","1009801117"
"","","0.1","1009801","","","","","0","93","1009801118"
"0.33","2","122711","1009801","0.2","","","-235","-200","2","1009801119"
"0.33","2","122811","1009801","0.2","","","-220","100","2","1009801120"
"0.33","2","122911","1009801","0.2","","","-250","270","2","1009801121"
"","","0.7","1009801","","","","","0","93","1009801122"
"","","122711","1009801","","","0.2","1","lsv_talk_normal_worry","3","1009801123"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0134","21","1009801124"
"1","1","122711","1009801","0","0","0","10","大家都一起摸過牠了，\n這不可能啦。\n更何況……牠那麼可愛。","11","1009801125"
"","","0","1009801","","","","","","91","1009801126"
"","","122711","1009801","","","0.2","1","lsv_idle_normal","3","1009801127"
"","","1009801129","1009801","","","","","","101","1009801128"
"","","0","1009801","","","","","","91","1009801129"
"lsv_talk_arm_crossed_loop_joy","1","122811","1009801","0.2","","0","0","lsv_talk_arm_crossed_joy","3","1009801130"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0135","21","1009801131"
"1","1","122811","1009801","0","0","0","10","哎，不管怎麼樣，\n養養看就知道啦！\n那麼，一起加油吧──！","11","1009801132"
"","","0","1009801","","","","","","91","1009801133"
"lsv_idle_normal_joy","1","122811","1009801","0.2","","0","0","lsv_handsup_joy","3","1009801134"
"lsv_idle_normal_joy","1","122911","1009801","0.2","","0","0","lsv_handsup_joy","3","1009801135"
"lsv_idle_normal_joy","1","122711","1009801","0.2","","0","0","lsv_handsup_joy2","3","1009801136"
"0","","vo_lsv","1009801","","","","0","vo_lsv_0136","21","1009801137"
"1","1","122811","1009801","0","0","0","10","喔──！","11","1009801138"
"1","1","122911","1009801","0","0","0","10","喔──！","11","1009801139"
"1","1","122711","1009801","0","0","0","10","喔──！","11","1009801140"
"","","0","1009801","","","","","","91","1009801141"
"","","0","1009801","","","","","0.2","22","1009801142"
"","","0.2","1009801","","","","","","93","1009801143"
"","","","1009801","","","","","","102","1009801144"
"0","0","122911","1009801","0","0","0","1","7","12","1009801145"
"","","122911","1009801","","","0.2","1","lsv_talk_joy3","3","1009801146"
"","","3","1009801","","","","","0","93","1009801147"
"","","122911","1009801","","","0.2","1","lsv_idle_normal_joyR","3","1009801148"
"0","0","122811","1009801","0","0","0","1","6","12","1009801149"
"lsv_talk_guts1_loop","1","122811","1009801","0.2","","0","0","lsv_talk_guts1","3","1009801150"
"","","3","1009801","","","","","0","93","1009801151"
"","","122811","1009801","","","0.2","1","lsv_idle_joy","3","1009801152"
"0","0","122711","1009801","0","0","0","1","10","12","1009801153"
"","","122711","1009801","","","0.2","1","lsv_talk_joy1_normal","3","1009801154"
"","","3","1009801","","","","","0","93","1009801155"
"","","122711","1009801","","","0.2","1","lsv_idle_normal_joy","3","1009801156"
"","","1009801145","1009801","","","","","","101","1009801157"
"1","0","333","1009801","0","","1","1","1","6","1009801158"
"","","122711","1009801","","","","","1","4","1009801159"
"","","122711","1009801","","","0.2","1","lsv_run","3","1009801160"
"0.8","0","122711","1009801","","","","-235","-750","2","1009801161"
"","","122811","1009801","","","","","0","4","1009801162"
"","","122811","1009801","","","0.2","1","lsv_run","3","1009801163"
"0.8","0","122811","1009801","","","","-220","750","2","1009801164"
"","","122911","1009801","","","","","0","4","1009801165"
"","","122911","1009801","","","0.2","1","lsv_run","3","1009801166"
"0.8","0","122911","1009801","","","","-250","850","2","1009801167"
"","","0.6","1009801","","","","","","93","1009801168"
"1","0","122711","1009801","0","","0.2","1","1","6","1009801169"
"1","0","122811","1009801","0","","0.2","1","1","6","1009801170"
"1","0","122911","1009801","0","","0.2","1","1","6","1009801171"
"","","0","1009801","","","","","","91","1009801172"
"-650","-235","1","1009802","0","lsv_idle_normal","1.95","102","122911","1","1009802001"
"650","-220","1","1009802","1","lsv_idle_normal","1.95","100","122811","1","1009802002"
"750","-250","1","1009802","1","lsv_idle_normal","1.95","101","122711","1","1009802003"
"0","0","1","1009802","0","lsv_white_loop","1","0","333","5","1009802004"
"1","0","333","1009802","0","","0","1","1","6","1009802005"
"1","0","122911","1009802","0","","0","1","1","6","1009802006"
"1","0","122811","1009802","0","","0","1","1","6","1009802007"
"1","0","122711","1009802","0","","0","1","1","6","1009802008"
"","","1","1009802","","","","","0","93","1009802009"
"1","0.4","333","1009802","0","","0.8","1","1","6","1009802010"
"","","122911","1009802","","","0.2","1","lsv_walk","3","1009802011"
"2","0","122911","1009802","","","","-235","-200","2","1009802012"
"1","1","122911","1009802","0","","0.4","1","1","6","1009802013"
"","","122811","1009802","","","0.2","1","lsv_walk","3","1009802014"
"2","0","122811","1009802","","","","-220","100","2","1009802015"
"1","1","122811","1009802","0","","0.4","1","1","6","1009802016"
"","","122711","1009802","","","0.2","1","lsv_walk","3","1009802017"
"2","0","122711","1009802","","","","-250","270","2","1009802018"
"1","1","122711","1009802","0","","0.4","1","1","6","1009802019"
"","","2","1009802","","","","","0","93","1009802020"
"","","122911","1009802","","","0.2","1","lsv_idle_normal","3","1009802021"
"","","122811","1009802","","","0.2","1","lsv_idle_normal","3","1009802022"
"","","122711","1009802","","","0.2","1","lsv_idle_normal","3","1009802023"
"","","0.6","1009802","","","","","0","93","1009802024"
"","","122811","1009802","","","0.2","1","lsv_talk_sad_dead","3","1009802025"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0221","21","1009802026"
"1","1","122811","1009802","0","0","0","10","雖然又去了一次海邊，\n還是找不到\n小繆的家人耶。","11","1009802027"
"","","0","1009802","","","","","","91","1009802028"
"","","122811","1009802","","","0.2","1","lsv_idle_sad_talk1","3","1009802029"
"","","122711","1009802","","","0.2","1","lsv_talk_thinking_sadR","3","1009802030"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0222","21","1009802031"
"1","1","122711","1009802","0","0","0","10","嗯，不僅如此，\n搞不懂的事\n又更多了呢。","11","1009802032"
"","","0","1009802","","","","","","91","1009802033"
"","","122711","1009802","","","0.2","1","lsv_idle_normal_suprise1","3","1009802034"
"","","122811","1009802","","","0.2","1","lsv_idle_normal","3","1009802035"
"","","122911","1009802","","","0.2","1","lsv_talk_normal","3","1009802036"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0223","21","1009802037"
"1","1","122911","1009802","0","0","0","10","但知道小繆\n會吃什麼了呢～\n跟我們吃一樣的就行了♪","11","1009802038"
"","","0","1009802","","","","","","91","1009802039"
"","","122911","1009802","","","0.2","1","lsv_idle_normal_joyR","3","1009802040"
"","","122711","1009802","","","0.2","1","lsv_talk_normal","3","1009802041"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0224","21","1009802042"
"1","1","122711","1009802","0","0","0","10","啊，確實如此。\n這件事有搞清楚\n真是太好了。","11","1009802043"
"","","0","1009802","","","","","","91","1009802044"
"","","122711","1009802","","","0.2","1","lsv_idle_normal","3","1009802045"
"","","122911","1009802","","","0.2","1","lsv_talk_surprise","3","1009802046"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0225","21","1009802047"
"1","1","122911","1009802","0","0","0","10","小繆會喜歡\n哪種食物呢～？\n哥哥知道嗎？","11","1009802048"
"","","0","1009802","","","","","","91","1009802049"
"","","122911","1009802","","","0.2","1","lsv_idle_surprise_talkjoy","3","1009802050"
"lsv_look_idle_normal","1","122911","1009802","0.2","","0","0","lsv_choice","3","1009802051"
"lsv_look_idle_normal","1","122811","1009802","0.2","","0","0","lsv_choice","3","1009802052"
"lsv_look_idle_normal","1","122711","1009802","0.2","","0","0","lsv_choice","3","1009802053"
"","","0.1","1009802","","","","","0","93","1009802054"
"0.33","2","122911","1009802","0.2","","","-235","-452","2","1009802055"
"0.33","2","122811","1009802","0.2","","","-220","420","2","1009802056"
"0.33","2","122711","1009802","0.2","","","-250","545","2","1009802057"
"","","0","1009802","","","0.2","1","0","22","1009802058"
"","","蛋糕。","1009802","","","","0","1009802062","103","1009802059"
"","","蘋果。","1009802","","","","0","1009802086","103","1009802060"
"","","麵包。","1009802","","","","0","1009802109","103","1009802061"
"lsv_idle_normal","1","122911","1009802","0.2","","0","0","lsv_choice","3","1009802062"
"lsv_idle_normal","1","122811","1009802","0.2","","0","0","lsv_choice","3","1009802063"
"lsv_idle_normal","1","122711","1009802","0.2","","0","0","lsv_choice","3","1009802064"
"","","0.1","1009802","","","","","0","93","1009802065"
"0.33","2","122911","1009802","0.2","","","-235","-200","2","1009802066"
"0.33","2","122811","1009802","0.2","","","-220","100","2","1009802067"
"0.33","2","122711","1009802","0.2","","","-250","270","2","1009802068"
"","","0.7","1009802","","","","","0","93","1009802069"
"","","122911","1009802","","","0.2","1","lsv_talk_joy3","3","1009802070"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0226","21","1009802071"
"1","1","122911","1009802","0","0","0","10","蛋糕很好吃嘛～\n美美也最～喜歡了♪","11","1009802072"
"","","0","1009802","","","","","","91","1009802073"
"","","122911","1009802","","","0.2","1","lsv_idle_normal_joy","3","1009802074"
"","","122811","1009802","","","0.2","1","lsv_talk_wish_joy","3","1009802075"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0227","21","1009802076"
"1","1","122811","1009802","0","0","0","10","蛋糕……既然如此，\n也來調查牠喜歡哪種蛋糕吧！\n這樣一定更好！","11","1009802077"
"","","0","1009802","","","","","","91","1009802078"
"","","122811","1009802","","","0.2","1","lsv_idle_wish_joy","3","1009802079"
"lsv_talk_doya_shy_loop","1","122711","1009802","0.2","","0","0","lsv_talk_doya_shy","3","1009802080"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0228","21","1009802081"
"1","1","122711","1009802","0","0","0","10","說是這麼說，其實只是\n妳自己想吃各種蛋糕吧……\n不過我也贊成♪","11","1009802082"
"","","0","1009802","","","","","","91","1009802083"
"","","122711","1009802","","","0.2","1","lsv_idle_doya","3","1009802084"
"","","1009802133","1009802","","","","","","101","1009802085"
"lsv_idle_normal","1","122911","1009802","0.2","","0","0","lsv_choice","3","1009802086"
"lsv_idle_normal","1","122811","1009802","0.2","","0","0","lsv_choice","3","1009802087"
"lsv_idle_normal","1","122711","1009802","0.2","","0","0","lsv_choice","3","1009802088"
"","","0.1","1009802","","","","","0","93","1009802089"
"0.33","2","122911","1009802","0.2","","","-235","-200","2","1009802090"
"0.33","2","122811","1009802","0.2","","","-220","100","2","1009802091"
"0.33","2","122711","1009802","0.2","","","-250","270","2","1009802092"
"","","0.7","1009802","","","","","0","93","1009802093"
"","","122711","1009802","","","0.2","1","lsv_talk_thinking_joyR","3","1009802094"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0229","21","1009802095"
"1","1","122711","1009802","0","0","0","10","蘋果……水果啊。\n很健康，我覺得很不錯。","11","1009802096"
"","","0","1009802","","","","","","91","1009802097"
"","","122711","1009802","","","0.2","1","lsv_idle_normal_joy","3","1009802098"
"lsv_talk_guts2_joy_loop","1","122911","1009802","0.2","","0","0","lsv_talk_guts2_joy","3","1009802099"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0230","21","1009802100"
"1","1","122911","1009802","0","0","0","10","美美喜歡切成\n兔子形狀的蘋果～♪","11","1009802101"
"","","0","1009802","","","","","","91","1009802102"
"","","122911","1009802","","","0.2","1","lsv_idle_normal_joyR","3","1009802103"
"lsv_talk_guts2_loop","1","122811","1009802","0.2","","0","0","lsv_talk_guts2","3","1009802104"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0231","21","1009802105"
"1","1","122811","1009802","0","0","0","10","我們也切給牠吃吧！\n雖然好像很難，\n但總會有辦法的！","11","1009802106"
"","","0","1009802","","","","","","91","1009802107"
"","","1009802133","1009802","","","","","","101","1009802108"
"lsv_idle_normal","1","122911","1009802","0.2","","0","0","lsv_choice","3","1009802109"
"lsv_idle_normal","1","122811","1009802","0.2","","0","0","lsv_choice","3","1009802110"
"lsv_idle_normal","1","122711","1009802","0.2","","0","0","lsv_choice","3","1009802111"
"","","0.1","1009802","","","","","0","93","1009802112"
"0.33","2","122911","1009802","0.2","","","-235","-200","2","1009802113"
"0.33","2","122811","1009802","0.2","","","-220","100","2","1009802114"
"0.33","2","122711","1009802","0.2","","","-250","270","2","1009802115"
"","","0.7","1009802","","","","","0","93","1009802116"
"","","122811","1009802","","","0.2","1","lsv_talk_normal_worry","3","1009802117"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0232","21","1009802118"
"1","1","122811","1009802","0","0","0","10","麵包啊……感覺好普通喔──\n我們也每天都在吃。","11","1009802119"
"","","0","1009802","","","","","","91","1009802120"
"","","122811","1009802","","","0.2","1","lsv_idle_normal_suprise1","3","1009802121"
"","","122711","1009802","","","0.2","1","lsv_talk_normal","3","1009802122"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0233","21","1009802123"
"1","1","122711","1009802","0","0","0","10","不過，如果真的討厭\n是沒辦法每天吃的。\n而且也能換換口味。","11","1009802124"
"","","0","1009802","","","","","","91","1009802125"
"","","122711","1009802","","","0.2","1","lsv_idle_normal","3","1009802126"
"","","122911","1009802","","","0.2","1","lsv_talk_wish_joy","3","1009802127"
"0","","vo_lsv","1009802","","","","0","vo_lsv_0234","21","1009802128"
"1","1","122911","1009802","0","0","0","10","如果是三明治，\n我們或許也做得出來！\n來做做看吧～♪","11","1009802129"
"","","0","1009802","","","","","","91","1009802130"
"","","122911","1009802","","","0.2","1","lsv_idle_wish_joyR","3","1009802131"
"","","1009802133","1009802","","","","","","101","1009802132"
"","","0","1009802","","","","","","91","1009802133"
"","","","1009802","","","","","","102","1009802134"
"","","0","1009802","","","","","0.2","22","1009802135"
"","","0.2","1009802","","","","","","93","1009802136"
"0","0","122811","1009802","0","0","0","1","11","12","1009802137"
"lsv_surprise3_kira_loop","1","122811","1009802","0.2","","0.2","0","lsv_surprise3_kira","3","1009802138"
"","","3","1009802","","","","","0","93","1009802139"
"","","122811","1009802","","","0.2","1","lsv_idle_normal_joy","3","1009802140"
"0","0","122711","1009802","0","0","0","1","10","12","1009802141"
"","","122711","1009802","","","0.2","1","lsv_talk_joy3_dere","3","1009802142"
"","","3","1009802","","","","","0","93","1009802143"
"","","122711","1009802","","","0.2","1","lsv_idle_normal_joy","3","1009802144"
"0","0","122911","1009802","0","0","0","1","7","12","1009802145"
"","","122911","1009802","","","0.2","1","lsv_talk_memory","3","1009802146"
"","","3","1009802","","","","","0","93","1009802147"
"","","122911","1009802","","","0.2","1","lsv_idle_normal_joyR","3","1009802148"
"","","1009802137","1009802","","","","","","101","1009802149"
"1","0","333","1009802","0","","1","1","1","6","1009802150"
"","","122911","1009802","","","","","1","4","1009802151"
"","","122911","1009802","","","0.2","1","lsv_run","3","1009802152"
"0.8","0","122911","1009802","","","","-235","-750","2","1009802153"
"","","122811","1009802","","","","","0","4","1009802154"
"","","122811","1009802","","","0.2","1","lsv_run","3","1009802155"
"0.8","0","122811","1009802","","","","-220","750","2","1009802156"
"","","122711","1009802","","","","","0","4","1009802157"
"","","122711","1009802","","","0.2","1","lsv_run","3","1009802158"
"0.8","0","122711","1009802","","","","-250","850","2","1009802159"
"","","0.6","1009802","","","","","","93","1009802160"
"1","0","122911","1009802","0","","0.2","1","1","6","1009802161"
"1","0","122811","1009802","0","","0.2","1","1","6","1009802162"
"1","0","122711","1009802","0","","0.2","1","1","6","1009802163"
"","","0","1009802","","","","","","91","1009802164"
"-700","-220","1","1009803","0","lsv_idle_normal","1.95","101","100411","1","1009803001"
"-550","-235","1","1009803","0","lsv_idle_normal","1.95","100","103611","1","1009803002"
"-800","-250","1","1009803","0","lsv_idle_normal","1.95","102","102011","1","1009803003"
"0","0","1","1009803","0","lsv_white_loop","1","0","333","5","1009803004"
"1","0","333","1009803","0","","0","1","1","6","1009803005"
"110","1.3","3","1009803","","","0","-630","13","31","1009803006"
"1","0","100411","1009803","0","","0","1","1","6","1009803007"
"1","0","103611","1009803","0","","0","1","1","6","1009803008"
"1","0","102011","1009803","0","","0","1","1","6","1009803009"
"","","1","1009803","","","","","0","93","1009803010"
"1","0.4","333","1009803","0","","0.8","1","1","6","1009803011"
"","","100411","1009803","","","0.2","1","lsv_walk_glad","3","1009803012"
"2","0","100411","1009803","","","","-220","-100","2","1009803013"
"1","1","100411","1009803","0","","0.4","1","1","6","1009803014"
"","","103611","1009803","","","0.2","1","lsv_walk_glad2","3","1009803015"
"2.2","0","103611","1009803","","","","-235","100","2","1009803016"
"1","1","103611","1009803","0","","0.4","1","1","6","1009803017"
"","","102011","1009803","","","0.2","1","lsv_walk_glad","3","1009803018"
"2","0","102011","1009803","","","","-250","-270","2","1009803019"
"1","1","102011","1009803","0","","0.4","1","1","6","1009803020"
"","","13","1009803","","","","","1","32","1009803021"
"2","0","13","1009803","","","","110","-180","33","1009803022"
"","","2","1009803","","","","","","93","1009803023"
"","","13","1009803","","","","","0","32","1009803024"
"","","100411","1009803","","","0.2","1","lsv_idle_normal","3","1009803025"
"","","102011","1009803","","","0.2","1","lsv_idle_normal","3","1009803026"
"","","0.2","1009803","","","","","","93","1009803027"
"","","103611","1009803","","","","","1","4","1009803028"
"","","103611","1009803","","","0.2","1","lsv_idle_normal","3","1009803029"
"","","0.5","1009803","","","","","","93","1009803030"
"","","100411","1009803","0","","0","0.5","10","12","1009803031"
