85bbc35157230a54f721c23ab002b6354ea1e1632281ecfa21ab3b904a0a0977,2021b6a5b19e41dbb9c032c463b6a8191e54d4f10dc9c37c60fbd193376fa6f6,34b1cfc666a94b8ed9ceeb981ba7bd8ff468b268b8b2cab80406f6989b52cda5,cb8c8ca0c61d7779df36728265dae9ea98f579b2321d096a0bbd93a2387897a6,dc7a26ed097414abda059dd47c08bcadf31991314ef40f4942f49c1e78d02afe,5fba66957b204a9adb10103116cf4f1e50e5cb220ee4d9ff63af8f3e3399278f,fc3651601ee2415fbbc6327b00cee729a10cb401c95fecb08ce811daf97bb618,902b430eeea72bcb45b4ee7f35bb710351334c8ab0a31f5de1a8a39810750757,fa148f92049b2466c829b5f311230c8f5e6b3eb68976d4ae51ee1388a18fea34
"","2","25","15","1","","20004","5700","3"
"","2","26","16","1","","20004","5400","3"
"","2","27","17","1","","20004","5100","3"
"","2","28","18","1","","20004","4860","3"
"","2","29","19","1","","20004","4620","3"
"","2","30","20","1","","20004","4440","3"
"","2","31","21","1","","20004","4260","3"
"","2","32","22","1","","20004","4080","3"
"","2","33","22","1","","20004","3960","3"
"","2","34","23","1","","20004","3840","3"
"","12","1","12000","3000","","94002","21600","4"
"","12","2","18000","4500","","94002","21600","4"
"","12","3","24000","6000","","94002","21600","4"
"","12","4","30000","7500","","94002","21600","4"
"","12","5","42000","10500","","94002","21600","4"
"","12","6","54000","13500","","94002","21600","4"
"","12","7","66000","16500","","94002","21600","4"
"","12","8","84000","21000","","94002","21600","4"
"","12","9","102000","25500","","94002","21600","4"
"","12","10","120000","30000","","94002","21600","4"
"","12","11","144000","36000","","94002","21600","4"
"","12","12","168000","42000","","94002","21600","4"
"","12","13","192000","48000","","94002","21600","4"
"","12","14","222000","55500","","94002","21600","4"
"","12","15","252000","63000","","94002","21600","4"
"","12","16","282000","70500","","94002","21600","4"
"","12","17","318000","79500","","94002","21600","4"
"","12","18","354000","88500","","94002","21600","4"
"","12","19","390000","97500","","94002","21600","4"
"","12","20","432000","108000","","94002","21600","4"
"","12","21","474000","118500","","94002","21600","4"
"","12","22","516000","129000","","94002","21600","4"
"","12","23","562000","140500","","94002","21600","4"
"","12","24","600000","150000","","94002","21600","4"
"","12","25","642000","160500","","94002","21600","4"
"","12","26","684000","171000","","94002","21600","4"
"","12","27","726000","181500","","94002","21600","4"
"","12","28","768000","192000","","94002","21600","4"
"","12","29","810000","202500","","94002","21600","4"
"","12","30","852000","213000","","94002","21600","4"
"","12","31","894000","223500","","94002","21600","4"
"","12","32","920000","230000","","94002","21600","4"
"","12","33","940000","235000","","94002","21600","4"
"","12","34","960000","240000","","94002","21600","4"
"","6","1","48","12","","93001","21600","5"
"","6","1","48","12","","93001","21600","6"
"","6","1","48","12","","93001","21600","7"
"","6","1","48","12","","93001","21600","8"
"","6","1","48","12","","93001","21600","11"
"","6","1","48","12","","93001","21600","12"
"","6","1","48","12","","93001","21600","19"
"4999999999","0","0","0","1","14999999999","0","0","23"
"","6","1","48","12","","93001","21600","25"
"","6","1","48","12","","93001","21600","28"
"","6","1","48","12","","93001","21600","30"
