e4e46906046ce12f47770a6bd7ac7dc7c844ff6831672a0dedbd1be6574672a6,4a994d6a60e795664473b3d66ec3ea927c15c3752395ea44eddbcdcf09ce5df3,64ceac70ce827a356bf66ae878e4679551b12760f7441f526bfa311e66da4db2,3fce71ae7d644ca0209ab9dc1316932f379173683181d4c2acae72ff734c5515,53724406f705aad20a01a06e6ddd1c0744520db9aade284c8281bc86ff60b6a9,a7395d74ad672d6c52d6d6fbd0829c4f288111c1495db6c60ec6b66063304d98,a029173e6e7a9507a56002640044d273090b381b56ac4b95b0f8f4342ddcfb15,f691dc15a86765bc6c9a260d7b1772a599a115690b0b12bcdb7cf2daebd3cd70,53a6ee7260e7512095b1b80b42762bd048c3f07eb66bd5ec641e2cfd7a676f62,97e3a06ba69c95e9628781d2bd9542543294435d1b5214eafb60e853f764ca88,8154d54b2b9f991815fde13f56f73a8468220e386dc6ad342bbb975126c1d200
"萊","","","","布","","","","","2194","佛"
"","耳","加","","","多","","","","2200",""
"莉","","思","","艾","","","","游","2237",""
"","a","","","","","","","","2244",""
"","誕","","","","","","","","2278","聖"
"鏡","","華","","","","美","美","","2279","契"
"","","","","","","智","栞","","2280",""
"空","","花","","","","緒","伊","","2281",""
"祈","","梨","","","","夜","嘉","","2282","希"
"桃","","綾","","胡","","","音","","2284",""
"","","","A","","","","","","2294","E"
"","A","","B","","","","","","2297",""
"","W","","Y","","A","","","S","2301",""
"","M","","S","","O","","","T","2302",""
"","A","","","","","","","","2305",""
"","P","","I","","","","","L","2309","A"
"","二","","","","","","","","3003",""
"","一三","","","","","","","","3005",""
"參","一二","","","","","","","","3006",""
"","","","","","","","","","3008","三十"
"","得","衣","","","","","","","3012",""
"","夜","","","","","","","","3093","冬"
"","","","","","","","","","3106","亞"
"","h","","","","i","","","","3180",""
"妻","公","","婆","","多","","夫","","3187",""
"","","","","","","","","","3195","b"
"","再","","","","","","","","3274","座"
"","","","","","","","","","3302","二三"
"","鈉鉀","","鋰鈉銣","","鋰鉀銣","","","鋰鈉鉀","4003","氧氰"
"","鍶鐳","","鍶鐳","","鋇鐳","","","鍶鋇","4004","鍶鋇"
"","","","","愛衣","","","","","4010",""
"","","","","愛衣","","","","","4013",""
"","氬氪氙","","氖氬氙","","氦氖","","","氦氖氬氪","4034","氧氬氪"
"","","","","加","","","","","4035","裴"
"","","","","","","","","","4040","熱寒"
"","","","","","","","","","4041","熱溫"
"","","","E","","N","","","","4042",""
"","O","","","","","","","","4062",""
"","銷","","乙","","","","","","4069","乙四"
"","版","","","","","","","","4072","網"
"","西","","大","","","","","西","4110","大"
"","","","","","二","","","","4143",""
"","","","","","一三","","","","4144",""
"","","","","","一二","","","","4145",""
"","氧","","","","","","","","4153","氫"
"","","","","","","帶","","","4154",""
"","","","","","異","","","","4157",""
"昇","","","","","","","","","4158",""
"","","","","","","","","二三","4159",""
"","","","","","","","","一三","4161",""
"","","","","","同","","","","4167",""
"","小","","倍","","","","","","4194",""
"","大","","約","","","","","","4195",""
"","","底","","高","","","","","4196",""
"","","","","","","","","","4197","半"
"","o","","a","","","","","","5010",""
"","比","","","","","","","","5013","伊"
"","","","鹽","愛","","","司","","5027","印"
"","e","","e","","","","","","5031",""
"","a","","e","","","","","","5056",""
"","","","e","","s","","","","5070",""
"","餅","","","","","","","餅","5076",""
"","","","","","","","","","5079","上前"
"","","","","","","","","","5082","肩"
"","","","","","","","","","5098","微"
"","","","BC","","AB","","","AC","5102","大喊"
"","布","","","","","","","","5103",""
"","","醜","","","","","","","5162","西"
"","定","","","","","","","","5164","固"
"","左","","","","","","","","5183",""
"","右","","","","","","","","5185",""
"牛","戌酉卯","虎","戌酉子","","戌卯辰","","","卯戌子","5193","卯辰戌"
"底","","","藍","","","","","雀","6008",""
"e","u","e","","","u","","","","6010",""
"","","","線","","","","","","6012",""
"","面","","","","","","","","6013",""
"","o","","k","","m","","","","6015","G"
"","o","","","","m","","","","6022",""
"","","","","","","","","","6049","單二"
"","","","","","","","","火","6073",""
"","","","","","巨","","","","6075",""
"","","","a","","","","","","6076",""
"","","","e","","","","","","6082",""
"","","","","","a","","","","6084","C"
"","","","n","","u","","","w","6097",""
"","","","","湖","出","","","","6098",""
"","莉","與或","","茜","","","依","莉","6135",""
"","","","","","","","","喵","6136",""
"","嚕","","霖","","呼","","","","6139","鈴"
"","","得","","","","","","","6179",""
