8aa0b72f2f66d7ba5e1a9b673702110b5854de01090da066ca4df20bb2fe55c4,63ae77af84bc7e7cebfd3c79f38343e42757575775a7c60165f9294f2c0131dc,546dbd823df7cf538e614c0309718c01353f0a3cfc9ae6fb2100862d863ee1a1,c24c66adb6d9628f533390514a71022f6dc91963f26fddd975b79db90ab600d2,0551ae65a85ed54020d340267a68dd140e6af88c1f6b4831bedbbf50daad421f,fc21f11b77e71401f346d41e41130deceb6d1c0e7eb97808ef9238ba5b6b1499,32fda692e86aeaf5719e5e6a02a1b125f59fc0484e621bb9708c9c03469459ac,d1f08080b703a0d2235c768084a97fd1f496fb6c92eb26cfc3bf40fdbcfa754f
"6","5","150007","1000","119","30","4","96006"
"6","5","150008","1150","120","30","4","96006"
"6","5","150009","1300","121","30","4","96006"
"6","5","20004","2500","122","500","2","96006"
"6","5","22003","1000","123","500","2","96006"
"6","0","20004","1000","124","100","2","96006"
"6","0","22003","400","125","100","2","96006"
"7","1","25101","20000","126","1","2","96007"
"7","1","21952","20000","127","1","2","96007"
"7","1","21905","10000","128","1","2","96007"
"7","2","41000","10000","129","1","2","96007"
"7","5","31272","1500","130","5","2","96007"
"7","5","31808","2000","131","5","2","96007"
"7","5","31275","1500","132","5","2","96007"
"7","5","90005","2500","133","10","2","96007"
"7","10","140001","2500","134","50","4","96007"
"7","10","25001","1000","135","10","2","96007"
"7","5","150003","500","136","30","4","96007"
"7","5","150004","650","137","30","4","96007"
"7","5","150005","750","138","30","4","96007"
"7","5","150006","900","139","30","4","96007"
"7","5","150007","1000","140","30","4","96007"
"7","5","150008","1150","141","30","4","96007"
"7","5","150009","1300","142","30","4","96007"
"7","5","20004","2500","143","500","2","96007"
"7","5","22003","1000","144","500","2","96007"
"7","0","20004","1000","145","100","2","96007"
"7","0","22003","400","146","100","2","96007"
