3f3f39eb36cd51fcb4c895e9510bb657f7b1573138d229e0617a0cd1f45bec08,3ad1d1cca4a3a6b4c844a4c330a2ba230764c129d139954f67e0dcb87b786d2a,e2559d313ab7c00ad43eb0e756298df38075b5f635b83c73fcef11f361591f46,e69785504afb5e4590957fe6a8d21b92f0e37c212d2ff3b2ef7f6eb89f5102cb,d05c93a34f74a86ff32d983209d77cb77a45445a9829acf93bde9dd9630bef3d,ae69474bbfe716111f494d8fb068c440c18f13a8a694423d6a81820e49b74f17,f5a1e7042194edd10ed9808f4e43338d216aa095cdbc4252b569f4de5692c637,852dfa10198f0c52dbbf27dcfb52f175b6ad32a1b943d604308d63a69dfcf59f,4aabb603ca0c6c60d6149547f288ae06acefd8c298f84b5f42ce97037e0b1946,9cb34b811ddc7756b15dfb97e6b2c446fb196568b3ee3bbd57527f12095ea861,00b8358e0ab3de054811ed6670a3e75f6f14523ea5fd1323602f63a20c409364
"","","","93","101","","","","2","11010080",""
"","","","12","101","","1","2","103431","11010081",""
"1","nyx_idle_sad","0.2","3","101","","0","nyx_talk_sad","103431","11010082","0.2"
"","","","93","101","","","","2.5","11010083",""
"","","","101","101","","","","11010060","11010084",""
"-209.3","-362","1","1","102","nyx_102_chloe_01","110","110831","1","11020001","1.35"
"-182.5","90","0","1","102","nyx_102_mifuyu_01","110","104831","1","11020002","1.35"
"-182.5","220","0","1","102","nyx_idle_normal","110","104631","1","11020003","1.35"
"-182.5","336","1","1","102","nyx_talk_normal","110","103231","1","11020004","1.35"
"-182.5","457","1","1","102","nyx_idle_normal","110","103431","1","11020005","1.35"
"1","0","","31","102","","0","1","1","11020006","1"
"-209.3","-362","0","5","102","NoItem","120","2","2","11020007","1.35"
"","","","25","102","","","bgm_M347","bgm_M347","11020008",""
"","","","93","102","","","","2","11020009",""
"","","","3","102","","1","nyx_102_chloe_02","110831","11020010","0.2"
"","","","11","102","","10","再來輪到我了啊……\n呃，接在琪愛兒後面\n總有種不利的感覺？","110831","11020011",""
"","","","91","102","","","1","0","11020012",""
"","","","3","102","","1","nyx_idle_sad","110831","11020013","0.2"
"","","","11","102","","10","那傢伙絕對一見面\n就切嚕切嚕地喊\n把整個氣氛搞冷……","110831","11020014",""
"","","","91","102","","","1","0","11020015",""
"1","nyx_102_chloe_02","0.2","3","102","","0","cmn_pose02_def_N","110831","11020016","0.2"
"","","","11","102","","10","不過算了，怎樣都好\n……話說裡面的那些人\n應該沒事吧？","110831","11020017",""
"","","","93","102","","","","3","11020018",""
"","","","3","102","","1","nyx_idle_normal","103231","11020019","0.2"
"","","","3","102","","1","nyx_talk_sad","104631","11020020","0.2"
"","","","4","102","","","0","110831","11020021",""
"","","","91","102","","","","11020016","11020022",""
"","","","93","102","","","","1","11020023",""
"","","","3","102","","1","nyx_102_chloe_01","110831","11020024","0.2"
"","","","11","102","","10","像是被那股切嚕之氣\n嚇到而變得不正常……\n……不，應該不至於吧","110831","11020025",""
"","","","93","102","","","","2.5","11020026",""
"1","nyx_102_chloe_03_loop","","3","102","","0","nyx_102_chloe_03","110831","11020027","0.2"
"1","nyx_102_chloe_03_loop","","3","102","","0","nyx_102_chloe_03","2","11020028","0.2"
"","","","91","102","","","","11020025","11020029",""
"","","","93","102","","","","1","11020030",""
"","","","11","102","","10","切嚕……切嚕……","104831","11020031",""
"","","","93","102","","","","1.5","11020032",""
"","","","4","102","","0","1","104631","11020033",""
"1","nyx_idle_surprise2","0.2","3","102","","0","cmn_shock_def_N","104631","11020034","0.2"
"1","nyx_idle_surprise2","0.2","3","102","","0","cmn_shock_def_N","103431","11020035","0.2"
"1","nyx_idle_surprise1","0.2","3","102","","0","nyx_surprise","103231","11020036","0.2"
"","","","93","102","","","","1.5","11020037",""
"1","","0.2","3","102","","1","nyx_talk_surprise2","104631","11020038","0.2"
"","","","3","102","","1","nyx_102_yukari_01","103431","11020039","0.2"
"","","","11","102","","10","美冬！\n振作一點切嚕！\n沒那麼嚴重切嚕！","103431","11020040",""
"","","","91","102","","","1","0","11020041",""
"1","nyx_102_tamaki_01_loop","0.2","3","102","","0","cmn_shock_def_N","103431","11020042","0.2"
"","","","4","102","","0","0","103231","11020043",""
"","","","4","102","","0","0","104631","11020044",""
"","","","91","102","","","","0","11020045",""
"","","","11","102","","10","不行了喵……\n美冬和優花梨都\n為時已晚切……喵！","104631","11020046",""
"","","","93","102","","","","2.6","11020047",""
"1","nyx_102_tamaki_01_loop","0.2","3","102","","0","nyx_102_tamaki_01","104631","11020048","0.2"
"","","","93","102","","","","0.1","11020049",""
"","","","4","102","","0","1","103231","11020050",""
"","","","93","102","","","","1.5","11020051",""
"","","","11","102","","10","實在是損傷慘重呢……\n只能祈禱下一位\n能夠普通一點了……","103231","11020052",""
"","","","91","102","","","","0","11020053",""
"","","","93","102","","","","1","11020054",""
"1","nyx_102_chloe_03_loop","","3","102","","0","nyx_102_chloe_04","110831","11020055","0.2"
"1","nyx_102_chloe_03_loop","","3","102","","0","nyx_102_chloe_04","2","11020056","0.2"
"","","","93","102","","","","1.5","11020057",""
"","","","12","102","","1","12","110831","11020058",""
"","","","93","102","","","","1","11020059",""
"","","","12","102","","1","1","103431","11020060",""
"1","nyx_cmn_03","0.2","3","102","","0","nyx_cmn_01","103431","11020061","0.2"
"1","","0.2","3","102","","1","nyx_idle_worry","104631","11020062","0.2"
"","","","93","102","","","","2","11020063",""
"","","","12","102","","1","12","104831","11020064",""
"","","","93","102","","","","2","11020065",""
"","","","12","102","","1","10","103231","11020066",""
"1","nyx_idle_normal","0.2","3","102","","0","nyx_talk_normal","103231","11020067","0.2"
"","","","93","102","","","","2","11020068",""
"","","","12","102","","1","2","104631","11020069",""
"1","nyx_idle_worry","0.2","3","102","","0","nyx_talk_sad","104631","11020070","0.2"
"","","","93","102","","","","4","11020071",""
"","","","101","102","","","1","11020055","11020072",""
"-209.3","-421","0","1","103","nyx_103_yuni_01","110","111031","1","11030001","1.35"
"-182.5","121.8","0","1","103","nyx_idle_normal","110","104831","1","11030002","1.35"
"-182.5","121.8","0","5","103","NoItem","120","2","2","11030003","1.35"
"-182.5","227.7","0","1","103","nyx_idle_normal","110","104631","1","11030004","1.35"
"-182.5","227.7","0","5","103","NoItem","120","2","2","11030005","1.35"
"-182.5","340.3","1","1","103","nyx_idle_normal","110","103231","1","11030006","1.35"
"-182.5","449.6","1","1","103","nyx_cmn_03","110","103431","1","11030007","1.35"
"-182.5","449.6","1","5","103","NoItem","120","2","2","11030008","1.35"
"1","0","","31","103","","0","1","1","11030009","1"
"","","","25","103","","","bgm_M347","bgm_M347","11030010",""
"","","","93","103","","","","2","11030011",""
"","","","3","103","","1","nyx_talk_sad","103431","11030012","0.2"
"","","","11","103","","10","簡報是\n一件這麼\n累人的事情嗎…？","103431","11030013",""
"","","","91","103","","","","0","11030014",""
"","","","3","103","","1","nyx_cmn_03","103431","11030015","0.2"
"","","","3","103","","1","nyx_cmn_05","104831","11030016","0.2"
"","","","11","103","","10","接下來一定沒問題的\n一定會是認真的學生\n……我說的沒錯吧？","104831","11030017",""
"","","","91","103","","","","0","11030018",""
"","","","3","103","","1","nyx_cmn_04","104831","11030019","0.2"
"","","","3","103","","1","nyx_talk_normal","103231","11030020","0.2"
"","","","11","103","","10","哎呀？\n下一位好像也是\n好朋友社的成員呢？","103231","11030021",""
"","","","91","103","","","","0","11030022",""
"","","","3","103","","1","nyx_idle_normal","103231","11030023","0.2"
"","","","3","103","","1","nyx_talk_sad","104631","11030024","0.2"
"","","","11","103","","10","……要是鬆懈下來\n就會被幹掉喵\n做好覺悟吧喵","104631","11030025",""
"","","","93","103","","","","2.6","11030026",""
"","","","3","103","","1","nyx_102_chloe_01","111031","11030027","0.2"
"","","","91","103","","","","11030025","11030028",""
"1","nyx_idle_sad","0.3","3","103","","0","nyx_cmn_02","104631","11030029","0.2"
"","","","3","103","","0","nyx_cmn_02","2","11030030","0.2"
"1","nyx_cmn_03","0.3","3","103","","0","nyx_cmn_02","103431","11030031","0.2"
"","","","3","103","","0","nyx_cmn_02","2","11030032","0.2"
"1","nyx_idle_normal","0.2","3","103","","0","nyx_cmn_02","104831","11030033","0.2"
"","","","3","103","","0","nyx_cmn_02","2","11030034","0.2"
"","","","93","103","","","","1.5","11030035",""
"","","","3","103","","1","nyx_303_yuni_01","111031","11030036","0.2"
"","","","11","103","","10","嗯，接下來是我呢\n這就是所謂的\n壓軸登場吧","111031","11030037",""
"","","","93","103","","","","2.8","11030038",""
"","","","12","103","","1","13","104831","11030039",""
"","","","3","103","","1","nyx_talk_normal","104831","11030040","0.2"
"","","","91","103","","","","11030037","11030041",""
"","","","11","103","","10","琪愛兒、克蘿依\n妳們的遺憾就由我來\n替妳們雪恥吧","111031","11030042",""
"","","","91","103","","","","0","11030043",""
"","","","3","103","","1","nyx_103_yuni_02","111031","11030044","0.2"
"","","","11","103","","10","是時候完成我身為\n高年級生的職責了","111031","11030045",""
"","","","93","103","","","","1.5","11030046",""
"","","","12","103","","1","17","103231","11030047",""
"","","","3","103","","1","nyx_idle_normal","104831","11030048","0.2"
"","","","3","103","","1","nyx_cmn_05","103231","11030049","0.2"
"","","","91","103","","","","11030045","11030050",""
"0","nyx_103_yuni_04","0.6","3","103","","0","nyx_103_yuni_03","111031","11030051","0.3"
"","","","11","103","","10","賭上優妮們\n之名……！","111031","11030052",""
"","","","91","103","","","","0","11030053",""
"","","","3","103","","1","nyx_idle_normal","103231","11030054","0.2"
"","","","93","103","","","","0.6","11030055",""
"","","","12","103","","1","12","111031","11030056","0.2"
"1","nyx_idle_normal","0.2","3","103","","0","cmn_pose02_def_N","111031","11030057","0.2"
"","","","93","103","","","","1.5","11030058",""
"","","","12","103","","1","15","104631","11030059",""
"1","nyx_idle_worry","0.2","3","103","","0","nyx_talk_sad","104631","11030060","0.2"
"","","","93","103","","","","2","11030061",""
"","","","12","103","","1","10","103231","11030062",""
"1","nyx_idle_normal","0.2","3","103","","0","nyx_talk_joy1","103231","11030063","0.2"
"1","nyx_idle_normal","0.2","3","103","","0","nyx_103_yuni_01","111031","11030064","0.2"
"","","","93","103","","","","2.5","11030065",""
"","","","12","103","","1","1","103431","11030066",""
"1","nyx_cmn_03","0.3","3","103","","0","nyx_cmn_01","103431","11030067","0.2"
"","","","93","103","","","","2","11030068",""
"","","","12","103","","1","12","104831","11030069",""
"","","","3","103","","1","nyx_talk_bitter","104831","11030070","0.2"
"","","","93","103","","","","2","11030071",""
"","","","3","103","","1","nyx_idle_bitter","104831","11030072","0.2"
"","","","93","103","","","","1","11030073",""
"","","","101","103","","","","11030056","11030074",""
"-294.7","-235.4","1","1","201","nyx_201_akino_01","110","103231","1","12010001","1.2"
"-294.7","-235.4","1","5","201","nyx_201_akino_01","120","2","2","12010002","1.2"
"-281.6","-357","0","1","201","nyx_idle_normal","110","104631","1","12010003","1.2"
"-281.6","310.5","1","1","201","nyx_idle_normal","110","103431","1","12010004","1.2"
"-281.6","-453.3","0","1","201","nyx_idle_normal","110","104831","1","12010005","1.2"
"1","0","","31","201","","0","1","2","12010006","1"
"1","0","","31","201","","0","2","11","12010007","1"
"","","","25","201","","","bgm_M347","bgm_M347","12010008",""
"","","","93","201","","","","2","12010009",""
"","","","11","201","","10","珠希，\n這零件就麻煩妳\n進行組裝囉！","103231","12010010",""
"","","","91","201","","","","0","12010011",""
"1","nyx_idle_surprise1","0.3","3","201","","0","nyx_surprise","104631","12010012","0.3"
"","","","11","201","","10","我、我知道了喵！\n……設計圖上有\n這東西嗎喵……？","104631","12010013",""
"","","","91","201","","","","0","12010014",""
"","","","4","201","","0","0","103231","12010015",""
"","","","4","201","","","0","2","12010016",""
"","","0.3","3","201","","1","nyx_idle_bitter2","104631","12010017","0.3"
"","","0.3","3","201","","1","nyx_201_akino_02","103231","12010018","0.3"
"","","0.3","3","201","","1","nyx_201_akino_02","2","12010019","0.3"
"","2.2","","2","201","","-294.7","199","103231","12010020",""
"","2.2","","2","201","","-294.7","199","2","12010021",""
"","","","93","201","","","","2.2","12010022",""
"","","0.3","3","201","","1","nyx_201_akino_01","103231","12010023","0.3"
"","","0.3","3","201","","1","nyx_201_akino_01","2","12010024","0.3"
"","","","11","201","","10","優花梨！\n麻煩妳立刻去\n訂購這款迴路！","103231","12010025",""
"","","","91","201","","","","0","12010026",""
"","","0.3","3","201","","1","nyx_cmn_01","103431","12010027","0.3"
"","","","11","201","","10","咦？　咦？\n等等啊秋乃\n這要拿來做什麼！？","103431","12010028",""
"","","","91","201","","","","0","12010029",""
"","","0.3","3","201","","1","nyx_idle_bitter2","103431","12010030","0.3"
"","","","4","201","","","1","103231","12010031",""
"","","","4","201","","","1","2","12010032",""
"","","0.3","3","201","","1","nyx_201_akino_02","103231","12010033","0.3"
"","","0.3","3","201","","1","nyx_201_akino_02","2","12010034","0.3"
"","2.2","","2","201","","-294.7","-235.4","103231","12010035",""
"","2.2","","2","201","","-294.7","-235.4","2","12010036",""
"","","","93","201","","","","2.2","12010037",""
"","","0.3","3","201","","1","nyx_201_akino_01","103231","12010038","0.3"
"","","0.3","3","201","","1","nyx_201_akino_01","2","12010039","0.3"
"","","","11","201","","10","美冬，\n麻煩妳仔細地\n檢查動作囉！","103231","12010040",""
"","","","91","201","","","","0","12010041",""
"1","nyx_idle_surprise1","0.3","3","201","","0","nyx_surprise","104831","12010042","0.3"
"","","","11","201","","10","好、好的！\n……秋乃整個人都\n熱血起來了呢…","104831","12010043","0"
"","","","91","201","","","","0","12010044",""
"","","0.3","3","201","","1","nyx_talk_sad","104831","12010045","0.3"
"","","","11","201","","10","但不知道為什麼\n我好不安啊……\n只有滿滿的不安……","104831","12010046","0"
"","","","91","201","","","","0","12010047",""
"","","0.3","3","201","","1","nyx_idle_bitter2","104831","12010048","0.3"
"","","","91","201","","","","0","12010049",""
"","","","93","201","","","","0.4","12010050",""
"","","","4","201","","0","0","103231","12010051",""
"","","","4","201","","","0","2","12010052",""
"","","0.2","3","201","","1","nyx_201_akino_02","103231","12010053","0.2"
"","","0.2","3","201","","1","nyx_201_akino_02","2","12010054","0.2"
"","2.2","","2","201","","-294.7","199","103231","12010055",""
"","2.2","","2","201","","-294.7","199","2","12010056",""
"","","0.2","3","201","","1","nyx_cmn_03","103431","12010057","0.2"
"","","","93","201","","","","2.2","12010058",""
"","","","12","201","","1","10","103231","12010059",""
"","","0.2","3","201","","1","nyx_201_akino_01","103231","12010060","0.2"
"","","0.2","3","201","","1","nyx_201_akino_01","2","12010061","0.2"
"","","","91","201","","","","0","12010062",""
"","","0.2","3","201","","1","nyx_idle_surprise1","103431","12010063","0.2"
"","","","91","201","","","","0","12010064",""
"","","0.2","3","201","","1","nyx_102_chloe_02","103431","12010065","0.2"
"","","","4","201","","","1","103231","12010066",""
"","","","4","201","","","1","2","12010067",""
"","","0.2","3","201","","1","nyx_201_akino_02","103231","12010068","0.2"
"","","0.2","3","201","","1","nyx_201_akino_02","2","12010069","0.2"
"","2.2","","2","201","","-294.7","-235.4","103231","12010070",""
"","2.2","","2","201","","-294.7","-235.4","2","12010071",""
"","","","93","201","","","","2.2","12010072",""
"","","","12","201","","1","10","103231","12010073",""
"","","0.2","3","201","","1","nyx_201_akino_01","103231","12010074","0.2"
"","","0.2","3","201","","1","nyx_201_akino_01","2","12010075",""
"","","","93","201","","","","3","12010076",""
"1","nyx_idle_normal","0.2","3","201","","0","cmn_nod_def_N","104631","12010077","0.2"
"","","","93","201","","","","0.8","12010078",""
"","","","12","201","","1","3","104831","12010079",""
"1","nyx_idle_sad","0.2","3","201","","0","nyx_talk_worry","104831","12010080","0.2"
"","","","93","201","","","","1","12010081",""
"","","","101","201","","","","12010051","12010082",""
"-255","-136","0","5","202","nyx_202_tamaki_03_loop","100","3","1","12020001","1.2"
"-286.1","183.7","1","1","202","nyx_idle_joy1","110","103231","1","12020002","1.2"
"-286.1","312.6","1","5","202","nyx_202_yukari_01","120","5","2","12020003","1.2"
"-286.1","312.6","1","1","202","nyx_202_yukari_01","110","103431","1","12020004","1.2"
"-286.1","-269.8","0","1","202","nyx_idle_normal","120","104831","1","12020005","1.2"
"1","0","","31","202","","0","1","2","12020006","1"
"1","34","","31","202","","0","2","12","12020007","1"
"1","130","","31","202","","-74","7","16","12020008","0"
"-255","-208","0","5","202","nyx_yagura_idle","110","4","3","12020009","1"
"-286.1","-269.8","0","5","202","NoItem","120","6","2","12020010","1.2"
"","","","25","202","","","bgm_M347","bgm_M347","12020011",""
"","","","93","202","","","","2","12020012",""
"","","","11","202","","10","總覺得開發作業\n好像也變得開心\n起來了喵～！","3","12020013",""
"","","","91","202","","","","0","12020014",""
"","","","11","202","","10","事到如今我一定要\n讓它成為世界第一\n的鯛魚燒機喵！","3","12020015",""
"","","","91","202","","","","0","12020016",""
"","","","11","202","","10","看我把我的一切\n全部灌注進去\n喵～～！","3","12020017",""
"","","","93","202","","","","0.4","12020018",""
"1","nyx_202_tamaki_loop","","3","202","","0","nyx_202_tamaki_03_puton","3","12020019","0.2"
"","","","91","202","","","","12020017","12020020",""
"1","nyx_202_tamaki_01","","3","202","","0","nyx_202_tamaki_up","3","12020021","0.2"
"1","nyx_yagura_up_idle","","3","202","","0","nyx_yagura_up","4","12020022",""
"","","","93","202","","","","2.4","12020023",""
"","","","32","202","","","1","7","12020024",""
"","","","3","202","","1","nyx_202_akino_01_loop","103231","12020025","0.2"
"","","","11","202","","10","喔～呵呵呵！\n真是美妙的\n抱負呢，珠希","103231","12020026",""
"","","","91","202","","","","0","12020027",""
"","","","3","202","","1","nyx_talk_anger2","104831","12020028","0.2"
"","","","11","202","","10","設計圖上可是\n沒有寫到什麼\n鯛魚燒哦！？","104831","12020029",""
"","","","91","202","","","","0","12020030",""
"","","","3","202","","1","nyx_idle_anger2","103431","12020031","0.2"
"","","","3","202","","1","nyx_202_yukari_01","103431","12020032","0.2"
"","","","11","202","","10","美冬……\n交給珠希去做就\n不會有問題啦……嗝","103431","12020033",""
"","","","91","202","","","","0","12020034",""
"","nyx_cmn_04","0.2","3","202","","0","nyx_cmn_05","104831","12020035","0.2"
"","","","11","202","","10","優花梨？\n妳在喝什麼？\n……妳被收買了對吧？","104831","12020036","0"
"","","","91","202","","","","0","12020037",""
"","","","3","202","","1","nyx_202_yukari_01","103431","12020038","0.2"
"","","","11","202","","10","咦～？\n尼在說什麼～？\n……嗯呵呵～♪","103431","12020039",""
"","","","91","202","","","","0","12020040",""
"","","","93","202","","","","2","12020041",""
"","","","12","202","","1","13","103231","12020042",""
"1","nyx_202_akino_01_loop","0.2","3","202","","0","nyx_talk_joy2","103231","12020043","0.2"
"","","","93","202","","","","2.5","12020044",""
"","","","12","202","","1","3","104831","12020045",""
"","","","3","202","","1","nyx_talk_anger2","104831","12020046","0.2"
"","","","93","202","","","","2","12020047",""
"","","","3","202","","0","nyx_cmn_02","104831","12020048","0.2"
"1","NoItem","","3","202","","0","nyx_cmn_02","6","12020049","0.2"
"","","","93","202","","","","1","12020050",""
"1","nyx_cmn_04","0.2","3","202","","0","nyx_cmn_05","104831","12020051","0.2"
"","","","93","202","","","","2","12020052",""
"","","","12","202","","1","5","103431","12020053",""
"1","nyx_202_yukari_01","0.2","3","202","","0","nyx_203_yukari_01","5","12020054","0.2"
"1","nyx_202_yukari_01","0.2","3","202","","0","nyx_203_yukari_01","103431","12020055","0.2"
"","","","93","202","","","","1.2","12020056",""
"","","","12","202","","1","11","3","12020057",""
"","","","93","202","","","","0.8","12020058",""
"","","","101","202","","","","12020041","12020059",""
"-286","-300","0","1","203","nyx_idle_normal","130","104831","1","12030001","1.2"
"-286","316","1","1","203","nyx_idle_normal","100","104631","1","12030002","1.2"
"-286","110","1","1","203","nyx_idle_normal","100","103231","1","12030003","1.2"
"-10","-200","0","1","203","nyx_203_yukari_01","100","103431","1","12030004","1.2"
"1","0","","31","203","","0","1","2","12030005","1"
"1","34","","31","203","","-80","2","13","12030006","1"
"-10","-200","0","5","203","nyx_203_yukari_01","110","3","2","12030007","1.2"
"-255","-250","0","5","203","nyx_yagura_up_harf","120","4","3","12030008","1"
"","","","25","203","","","bgm_M347","bgm_M347","12030009",""
"","","","93","203","","","","2","12030010",""
"","","","11","203","","10","奇怪～？\n這裡是哪裡～？\n我又是誰～？","103431","12030011",""
"","","","93","203","","","","0.6","12030012",""
"1","nyx_lookup_loop2","0.2","3","203","","0","nyx_lookup","103231","12030013","0.2"
"","","","91","203","","","","12030011","12030014",""
"","","","11","203","","10","嗯～？\n這勾大大的\n東西是什麼～","103431","12030015",""
"","","","93","203","","","","0.6","12030016",""
"1","nyx_lookup_loop2","0.2","3","203","","0","nyx_lookup","104631","12030017","0.2"
"","","","91","203","","","","12030015","12030018",""
"1","nyx_203_yukari_05","","3","203","","0","nyx_203_yukari_02","3","12030019","0.2"
"1","nyx_203_yukari_05","","3","203","","0","nyx_203_yukari_02","103431","12030020","0.2"
"","","","11","203","","10","你要不要也來一起\n喝麥酒～？\n很～好喝的哦～？","103431","12030021",""
"","","","93","203","","","","0.4","12030022",""
"1","nyx_lookup_loop2","0.2","3","203","","0","nyx_lookup","104831","12030023","0.2"
"","","","91","203","","","","12030021","12030024",""
"","","","93","203","","","","0.2","12030025",""
"1","nyx_idle_sad","0.2","3","203","","0","nyx_cmn_02","104831","12030026","0.2"
"","","","11","203","","10","優花梨\n在做什麼啊…","104831","12030027","0"
"","","","93","203","","","","0.1","12030028",""
"1","nyx_cmn_04","0.2","3","203","","0","nyx_cmn_02","103231","12030029","0.2"
"","","","11","203","","10","優花梨\n在做什麼呢…","103231","12030030",""
"","","","93","203","","","","0.1","12030031",""
"1","nyx_idle_sad","0.2","3","203","","0","nyx_cmn_02","104631","12030032","0.2"
"","","","11","203","","10","優花梨\n在做什麼喵…","104631","12030033",""
