edf48bf029315d573ff52a24bf70192b490585abdc461258665c63062bf22e2e,350a94bcfef45c027d967e87f58f54fbe355068ff066fc85d3b5144cc7b7bff4,5f7e7b4d1b8ea556072c7cc85d59cab324355295cab026c327a34f44a1be8571,cbf699f08e8dc5a053447b2bf434dbacfb737af337126c79e4d00ca6896286c6,d25359481f48639756938ea5473daf4ffb5dec2e1dee86b24bba0d1b2b83e15c,a3bdf979b47db697fc03f5c882c2bac6413c00644a8cbf1294116f07731c782a,6d308ab8898dbca67a414ad85ab80379909440f6d1608f7fc83387f6d5c5abae,4e4b5781d7102aaa5413fe25546fa1aa4e3e50b4d1439c5dc2bb0407be094841,be182ec4c1531e647dfb34770bdc14df2120a03849a0b2013c11110a2dc32dbe,a8dec2a6cb2fe3897f06957c4d306188b21c396502b86a7d2814120c53cd4942,4d74dbe08abda9eb0e5477a2533d122d2eddd8f7c3e14e35c33e233414e89645
"R","","","","2060","","","","","",""
"","","","","2062","","","","","S",""
"","","","","2063","A","","S","S","E",""
"","R","O","C","2064","","F","","A","A","E"
"","","","","2065","A","","","S","",""
"C","","","","2066","","","","","",""
"","","","","2067","B","","","","",""
"L","","","","2068","I","","","","",""
"C","","","","2069","","","","","E",""
"","","","","2070","E","","D","","",""
"","","","","2071","A","","N","I","",""
"","","","","2074","","","","A","C",""
"","","","","2077","","","","A","A",""
"","","","","2078","L","","","","R",""
"O","","","","2080","E","","E","G","MF",""
"F","","","","2081","","","","","",""
"","無","","","2084","","","","","",""
"A","","","","2085","P","","E","H","L",""
"AI","","","","2086","","","","EO","",""
"P","","","","2092","","","","","",""
"","","","","2093","","","","","C",""
"萬","","","","2096","","","","","",""
"","","","","2101","華","","","華麗","",""
"","","","","2102","","","","","e",""
"","","","","2149","","","e","l","",""
"聖","","","","2167","","","","","誕",""
"佛","","萊","","2194","","布","","","",""
"","加","","","2200","多","","","","耳",""
"","思","莉","","2237","","艾","游","","",""
"","","","","2244","","","","","a",""
"聖","","","","2278","","","","","誕",""
"契","華","鏡","美","2279","","","","","","美"
"","","","栞","2280","","","","","","智"
"","花","空","伊","2281","","","","","","緒"
"希","梨","祈","嘉","2282","","","","","","夜"
"","綾","桃","音","2284","","胡","","","",""
"E","","","","2294","","","","A","",""
"","","","","2297","","","","B","A",""
"","","","","2301","A","","S","Y","W",""
"","","","","2302","O","","T","S","M",""
"","","","","2305","","","","","A",""
"A","","","","2309","","","L","I","P",""
"","","","","3003","","","","","二",""
"","","","","3005","","","","","一三",""
"","","參","","3006","","","","","一二",""
"三十","","","","3008","","","","","",""
"","衣","","","3012","","","","","得",""
"冬","","","","3093","","","","","夜",""
"亞","","","","3106","","","","","",""
"","","","","3180","i","","","","h",""
"","","妻","夫","3187","多","","","婆","公",""
"b","","","","3195","","","","","",""
"座","","","","3274","","","","","再",""
"二三","","","","3302","","","","","",""
"氧氰","","","","4003","鋰鉀銣","","鋰鈉鉀","鋰鈉銣","鈉鉀",""
"鍶鋇","","","","4004","鋇鐳","","鍶鋇","鍶鐳","鍶鐳",""
"","","","","4010","","愛衣","","","",""
"","","","","4013","","愛衣","","","",""
"氧氬氪","","","","4034","氦氖","","氦氖氬氪","氖氬氙","氬氪氙",""
"裴","","","","4035","","加","","","",""
"熱寒","","","","4040","","","","","",""
"熱溫","","","","4041","","","","","",""
"","","","","4042","N","","","E","",""
"","","","","4062","","","","","O",""
"乙四","","","","4069","","","","乙","銷",""
"網","","","","4072","","","","","版",""
"大","","","","4110","","","西","大","西",""
"","","","","4143","二","","","","",""
"","","","","4144","一三","","","","",""
"","","","","4145","一二","","","","",""
"氫","","","","4153","","","","","氧",""
"","","","","4154","","","","","","帶"
"","","","","4157","異","","","","",""
"","","昇","","4158","","","","","",""
"","","","","4159","","","二三","","",""
"","","","","4161","","","一三","","",""
"","","","","4167","同","","","","",""
"","","","","4194","","","","倍","小",""
"","","","","4195","","","","約","大",""
"","底","","","4196","","高","","","",""
"半","","","","4197","","","","","",""
"","","","","5010","","","","a","o",""
"伊","","","","5013","","","","","比",""
"印","","","司","5027","","愛","","鹽","",""
"","","","","5031","","","","e","e",""
"","","","","5056","","","","e","a",""
"","","","","5070","s","","","e","",""
"","","","","5076","","","餅","","餅",""
"上前","","","","5079","","","","","",""
"肩","","","","5082","","","","","",""
"微","","","","5098","","","","","",""
"大喊","","","","5102","AB","","AC","BC","",""
"","","","","5103","","","","","布",""
"西","醜","","","5162","","","","","",""
"固","","","","5164","","","","","定",""
"","","","","5183","","","","","左",""
"","","","","5185","","","","","右",""
"卯辰戌","虎","牛","","5193","戌卯辰","","卯戌子","戌酉子","戌酉卯",""
"","","底","","6008","","","雀","藍","",""
"","e","e","","6010","u","","","","u",""
"","","","","6012","","","","線","",""
"","","","","6013","","","","","面",""
"G","","","","6015","m","","","k","o",""
"","","","","6022","m","","","","o",""
"單二","","","","6049","","","","","",""
"","","","","6073","","","火","","",""
"","","","","6075","巨","","","","",""
"","","","","6076","","","","a","",""
"","","","","6082","","","","e","",""
"C","","","","6084","a","","","","",""
"","","","","6097","u","","w","n","",""
"","","","","6098","出","湖","","","",""
"","與或","","依","6135","","茜","莉","","莉",""
"","","","","6136","","","喵","","",""
"鈴","","","","6139","呼","","","霖","嚕",""
"","得","","","6179","","","","","",""
