af2dd5743bf94f035d198088180a5cef7cb1ae92373d5a8cb3e08ce51f7429dc,e3c292b498aaffab170ba2779e92558b8c36639b2246d7e5ea2088592b68a689,7b5568590b731ffe6366422739aeebc87fd941e4ad7b02c6ef8f5301f5c48c8a,b32bc39ddcdd77c6175e22d7c5c5cb9cfc8b0be687c696b3ac26fa01e5243282,d57d2070295cfa220d158c317c669d25d7eebd32192dc823af8fa39f7fee4391,8bc33db4e03960a8c69c4cd6a9afe1650aabe63c679726a88dafc75a6b177e49,c305dab32ac7f65c7d14dfcd660a38660f31674fcae9b30174da63238d743712,a8940a973ef37a2f7ce0f360b98a9b26d6bc9ec37801a48cd39ea415c20200b5,b04d80d1c42d37885a8e6fb054572fb44f137feecb271030fc620b9c23351faf,33f2e67bcb3130a37d8a138c037af155b9df00cae5ae4db471f48f408406841b,823519203358d35c751f1421fdfdde496c647ffb746274cdcb293eeb733f50bc,3b99ec465443f907e867fc199ef9bc705ddca1e2bffe218ec8a20b8b930c412f,b51570773dc4d6fe2483a84eda0c4a11a1d2847c27c3609ad091869e4431f499,774f5f07233bcbb3b5cc3865836012cdb9fa891f8e882200e2762404aa0e5f53
"130","1.5","107901","120","1","在海邊隨心所欲的怕水貓女。在海灘上現身的美少女義賊，將奪取對戰對手的速度。","0","12","112","12","3","0.014","103","0"
"200","1.5","108001","110","0","即使度假還是效率第一的海之傭兵。就算是競賽也尋求最高效率，無論什麼狀況都能毫無破綻地奔跑。","1","13","113","13","2","0.022","105","0"
"160","2.5","110301","110","0","非常適合盛夏太陽，海邊的咲戀媽媽。多才又靈巧，無論什麼障礙物都能優雅地越過。","1","14","114","14","1","0.031","108","0"
"130","0.5","107701","110","1","於海邊喚來暴風雨的夏日女僕。平時已習慣多災多難，因此即使遇到一點困境也不會動搖。","0","15","115","15","1","0.036","105","0"
"350","3.5","113101","110","0","享受風雅夏日的若夏大姐頭。運用瀟灑的身姿，將始、繼、終的刀法與UB融合，一口氣加速。","0","16","116","16","2","0.048","95","1"
"130","1.5","113301","105","1","接觸到夏日悸動的宅宅魔法少女。操縱多彩的魔法，持續使其他跑者的速度逐漸變慢。","0","17","117","17","3","0.043","105","0"
"130","1.5","113201","105","1","降臨於海獄的盛夏冥姬。在競賽後半解放所有魔力，化為蒼藍疾風奔馳於沙灘。","0","18","118","18","2","0.018","95","0"
"160","2.5","117001","110","0","以煙火為夏日傍晚增添色彩，海岸邊的破壞者。以「破壞者」稱號與過剩的情感，朝對戰對手施加壓力。","1","19","119","19","2","0.021","108","0"
"255","2.5","113501","110","0","引導青春少年少女的夏日老師。在朝夢想邁進的聖母加護下，守護其身所遇到的所有困難。","0","20","120","20","1","0.036","105","1"
"350","2.5","113401","105","0","擁有耀眼的聲援笑容，夏日的超能力女孩。運用超能力，無論什麼障礙物都一飛就能越過。","0","21","121","21","3","0.02","105","1"
"130","2.5","110101","110","1","在海邊釋放大人的魅力，夏日的性感老師。受其魅力俘虜的對戰對手，奔跑步調將被打亂。","0","22","122","22","1","0.018","105","0"
"160","3.5","110001","105","0","泳裝也命中紅心，夏日的超級名模。跑步的情緒超嗨，速度讚到不行。","1","23","123","23","3","0.03","111","0"
"130","1.5","117201","110","1","讓南島也嗨起來的盛夏偶像。即使天氣惡劣依然能保持著笑容，在後半加快節奏跑完全程。","0","24","124","24","1","0.027","103","0"
"160","3.5","117301","105","0","美聲響徹海洋的海岸邊歌姬。在守護頌歌與精靈加護下，保護自己不受障礙物傷害。","1","25","125","25","2","0.02","108","0"
"350","2.5","117401","110","0","在夏天依然彆扭，風平浪靜夕陽下的裁縫師。以遍布的魔法之線，奪走其他跑者的自由。","0","26","126","26","3","0.04","105","1"
"350","3.5","117101","110","0","非常適合向日葵的海邊姐姐。是祕密結社的一員，卓越的身體能力是其最強的武器。","0","27","127","27","1","0.009","105","1"
"255","3.5","122901","120","0","在海岸邊的乖巧小兔兔女孩。小兔子之力全開，在路線中活蹦亂跳。","0","28","128","28","1","0.022","105","1"
"130","2.5","122801","110","1","天真爛漫的夏色淘氣女孩。就算在沙灘也做好了要惡作劇的萬全準備！將在競賽中引起大騷動！？","0","29","129","29","3","0.028","105","0"
"130","3.5","122701","105","0","即使在海邊也很認真的夏色優等生。解放提高的魔力，在一瞬間甩開其他跑者。","1","30","130","30","2","0.023","108","0"
