0b9429bd2995aa0f1e27759c1fff2c3442b070612ea2561192bab6892ed6d331,2dc66d58d6309e51e09667bc103011831eadc318314473feb9a67907abb54b7f,eb2ce3af8a6353bec3951086d37238f65ccf8cae6e39167a13f2179120274cc8,61f2ff4b5686ef855a4bd3b3a6a50ecb3433f7d36a0401d67998416dd14122be,1defc32c0c1c66f2fb8d9b8238cb0f3199dbfe402fe14fbd5ead0b7e4c6fb43f
"73","12","100321","94002","1000000"
"74","12","100322","94002","1000000"
"75","12","100323","94002","1000000"
"76","2","100324","20004","400"
"77","2","100325","20004","300"
"78","2","100326","20004","200"
"79","12","100401","94002","5000000"
"80","2","100402","90008","2000"
"81","2","100403","25001","20"
"82","2","100404","90008","2500"
"83","2","100405","25001","30"
"84","8","100406","91002","300"
"85","2","100407","41000","1"
"86","12","100408","94002","5000000"
"87","12","100409","94002","1000000"
"88","12","100410","94002","1000000"
"89","12","100411","94002","1000000"
"90","2","100412","20004","400"
"91","2","100413","20004","300"
"92","2","100414","20004","200"
"93","12","100415","94002","1000000"
"94","12","100416","94002","1000000"
"95","12","100417","94002","1000000"
"96","2","100418","20004","400"
"97","2","100419","20004","300"
"98","2","100420","20004","200"
"99","12","100421","94002","1000000"
"100","12","100422","94002","1000000"
"101","12","100423","94002","1000000"
"102","2","100424","20004","400"
"103","2","100425","20004","300"
"104","2","100426","20004","200"
"105","12","100501","94002","5000000"
"106","2","100502","90008","2000"
"107","2","100503","25001","20"
"108","2","100504","90008","2500"
"109","2","100505","25001","30"
"110","8","100506","91002","300"
"111","2","100507","41000","1"
"112","12","100508","94002","5000000"
"113","12","100509","94002","1000000"
"114","12","100510","94002","1000000"
"115","12","100511","94002","1000000"
"116","2","100512","20004","400"
"117","2","100513","20004","300"
"118","2","100514","20004","200"
"119","12","100515","94002","1000000"
"120","12","100516","94002","1000000"
"121","12","100517","94002","1000000"
"122","2","100518","20004","400"
"123","2","100519","20004","300"
"124","2","100520","20004","200"
"125","12","100521","94002","1000000"
"126","12","100522","94002","1000000"
"127","12","100523","94002","1000000"
"128","2","100524","20004","400"
"129","2","100525","20004","300"
"130","2","100526","20004","200"
"131","12","100601","94002","5000000"
"132","2","100602","90008","2000"
"133","2","100603","25001","20"
"134","2","100604","90008","2500"
"135","2","100605","25001","30"
"136","8","100606","91002","300"
"137","2","100607","41000","1"
"138","12","100608","94002","5000000"
"139","12","100609","94002","1000000"
"140","12","100610","94002","1000000"
"141","12","100611","94002","1000000"
"142","2","100612","20004","400"
"143","2","100613","20004","300"
"144","2","100614","20004","200"
"145","12","100615","94002","1000000"
"146","12","100616","94002","1000000"
"147","12","100617","94002","1000000"
"148","2","100618","20004","400"
"149","2","100619","20004","300"
"150","2","100620","20004","200"
"151","12","100621","94002","1000000"
"152","12","100622","94002","1000000"
"153","12","100623","94002","1000000"
"154","2","100624","20004","400"
"155","2","100625","20004","300"
"156","2","100626","20004","200"
"157","12","100701","94002","5000000"
"158","2","100702","90008","2000"
"159","2","100703","25001","20"
"160","2","100704","90008","2500"
"161","2","100705","25001","30"
"162","8","100706","91002","300"
"163","2","100707","41000","1"
"164","12","100708","94002","5000000"
"165","12","100709","94002","1000000"
"166","12","100710","94002","1000000"
"167","12","100711","94002","1000000"
"168","2","100712","20004","400"
"169","2","100713","20004","300"
"170","2","100714","20004","200"
"171","12","100715","94002","1000000"
"172","12","100716","94002","1000000"
"173","12","100717","94002","1000000"
"174","2","100718","20004","400"
"175","2","100719","20004","300"
"176","2","100720","20004","200"
"177","12","100721","94002","1000000"
"178","12","100722","94002","1000000"
"179","12","100723","94002","1000000"
"180","2","100724","20004","400"
"181","2","100725","20004","300"
"182","2","100726","20004","200"
"183","12","100801","94002","5000000"
"184","2","100802","90008","2000"
"185","2","100803","25001","20"
"186","2","100804","90008","2500"
"187","2","100805","25001","30"
"188","8","100806","91002","300"
"189","2","100807","41000","1"
"190","12","100808","94002","5000000"
"191","12","100809","94002","1000000"
"192","12","100810","94002","1000000"
"193","12","100811","94002","1000000"
"194","2","100812","20004","400"
"195","2","100813","20004","300"
"196","2","100814","20004","200"
"197","12","100815","94002","1000000"
"198","12","100816","94002","1000000"
"199","12","100817","94002","1000000"
"200","2","100818","20004","400"
"201","2","100819","20004","300"
"202","2","100820","20004","200"
"203","12","100821","94002","1000000"
"204","12","100822","94002","1000000"
"205","12","100823","94002","1000000"
"206","2","100824","20004","400"
"207","2","100825","20004","300"
"208","2","100826","20004","200"
"209","12","100901","94002","5000000"
"210","2","100902","90008","2000"
"211","2","100903","25001","20"
"212","2","100904","90008","2500"
"213","2","100905","25001","30"
"214","8","100906","91002","300"
"215","2","100907","41000","1"
"216","12","100908","94002","5000000"
"217","12","100909","94002","1000000"
"218","12","100910","94002","1000000"
"219","12","100911","94002","1000000"
"220","2","100912","20004","400"
"221","2","100913","20004","300"
"222","2","100914","20004","200"
"223","12","100915","94002","1000000"
"224","12","100916","94002","1000000"
"225","12","100917","94002","1000000"
"226","2","100918","20004","400"
"227","2","100919","20004","300"
"228","2","100920","20004","200"
"229","12","100921","94002","1000000"
"230","12","100922","94002","1000000"
"231","12","100923","94002","1000000"
"232","2","100924","20004","400"
"233","2","100925","20004","300"
"234","2","100926","20004","200"
