3634fd2b6a2e06948985cfada118789ca01619e0b3f336c470fb2172c0614e26,8577257b57b222c5314505109a785d2214c74b4e6dc86097bc64290d856cd57a,de54b3c3d98133dbb1db740a72ac687d37f115f7546dad8ecb0d917f26959806,0f9fb7fc0d50e33ef3a85bd0d6bdfe8cb37499bae757fb4246e0742ab84bf5f2,98b4915c48a31ce5b4b2c77810fc84b6a191c6a9c00d35f5e30bd425d0f5acbd,ca20f31e3570bab63462494571226b08b88bbad7931e25fce184eaa2adb4f607,002e275fc6ef4c76430a3613405904950e513bc7a80298da889952f739081f66,103e61e69ad48ef0d25502caf1f7e6e9d727a77582d46fb5ea68cda39beb3fa0,caa62c1b37b2e68fc874a27105f560e7e8134629a401d2f66f5ada60f7c38e80,3745a870a8e86e37c3a6ca44d4c60d251cf5c4295a5a066fbf730492e4bae35d,b9cfd7e7831d1f08030588de330e4d25eec26fab563b85a218ca1186f6c50d9d,b7c99e9163f3329198e94371b74db38abc7300c853527115db0e47969570644c,e74c719bb0d1a51691948245cc2ceb22a27805f78131f37e8fe26ce07a35b1f4,3825505d73e582faacda01d1ded742e46e566b1a91d412f2315e5aa81b36eff7,cce6af57bb0ef908419dee2c6d2b0d17f811cffb4629ea071ce6dc11d7e25474,3d5c4e3dc1f952c2b1b5b76d208ddcae5a1fb2fef1824fd28b987911041274ae
"156","17","大橋彩香","46","精靈族","0","初音","12","森林守衛","和妹妹一起玩、回籠覺、午睡、早睡","6","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","101201","24","A","為了大家使用超能力的睡美人"
"166","18","佳村はるか","55","魔族","0","七七香","8","暮光流星群","讀書、魔法","13","","101301","21","O","宅宅暴走的魔法少女"
"152","15","水瀬いのり","41","獸人族","0","霞","11","哞哞自衛隊","讀書、推理","10","test","101401","3","AB","頭腦聰明的美少女名偵探"
"165","21","國府田マリ子","54","精靈族","0","美里","9","森林守衛","製作繪本","6","test","101501","5","O","充滿母性又溫柔，大家的「美里老師」"
"167","18","上坂すみれ","48","魔族","0","鈴奈","4","月光學院","時尚","14","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","101601","10","O","天真浪漫的人氣超級名模"
"158","19","高森奈津美","53","獸人族","0","香織","7","哞哞自衛隊","跳舞、空手道","10","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","101701","7","A","隨時都「船到橋頭自然直」的天真少女"
"162","23","伊藤静","52","魔族","0","伊緒","8","月光學院","看戀愛小說、戀愛劇、戀愛漫畫","14","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","101801","14","B","魅惑眾多男性的純潔女老師"
"117","10","日高里菜","21","獸人族","0","美美","4","小小甜心","蒐集可愛的東西","5","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","102001","3","O","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪"
"150","12","植田佳奈","40","人族","0","胡桃","6","咲戀育幼院","看戲、扮家家酒","9","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","102101","9","B","愛哭又膽小，令人想去保護的女孩"
"150","13","原紗友里","40","魔族","0","依里","11","惡魔偽王國軍","所有遊戲","7","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","102201","22","O","怕生的任性女孩"
"148","14","芹澤優","38","人族","0","綾音","5","咲戀育幼院","能在房間裡玩的遊戲","9","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","102301","10","B","永遠跟噗吉在一起！"
"154","15","悠木碧","43","人族","0","鈴莓","12","咲戀育幼院","服侍","9","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","102501","12","O","為了大小姐而努力的冒失女僕"
"144","17","小岩井ことり","42","獸人族","0","鈴","1","伊麗莎白牧場","紅豆麵包","11","test","102601","1","B","視玩樂與睡眠為第一的懶惰少女"
"154","16","橋本ちなみ","43","魔族","0","惠理子","7","暮光流星群","實驗、裁縫、料理","13","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","102701","30","B","專情於命中注定對象的少女"
"156","17","堀江由衣","43","精靈族","0","咲戀","10","咲戀育幼院","經營、茶會","9","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","102801","4","A","經營育幼院的庶民派溫柔大小姐"
"157","17","日笠陽子","40","人族","0","望","1","慈樂之音","看舞台劇，跳舞","4","總有一天要讓世界上所有的人成為我的粉絲！\n在成為超級偶像的那天之前，\n還請你繼續支持我喔♪","102901","24","B","能歌善舞的超人氣偶像"
"163","16","佐藤聡美","51","人族","0","妮諾","8","純白之翼 蘭德索爾分部","忍法開發","15","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","103001","31","O","東國的神祕，請告訴我！"
"157","18","大坪由佳","42","魔族","0","忍","12","惡魔偽王國軍","占卜","7","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","103101","22","AB","擅長占卜的靈能少女"
"157","18","松嵜麗","45","人族","0","秋乃","3","墨丘利財團","慈善事業","12","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","103201","12","AB","目標成為頂尖商人的元氣大小姐"
"142","20","新田恵海","35","人族","0","真陽","3","伊麗莎白牧場","相聲","11","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","103301","3","B","令大家歡笑的歡樂牧場主人"
"164","22","今井麻美","55","精靈族","0","優花梨","3","墨丘利財團","隨意逛街","12","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","103401","16","A","既純情又放心不下的成熟女性"
"118","8","小倉唯","21","精靈族","0","鏡華","2","小小甜心","讀書","5","test","103601","2","A","端莊正直的嬌小優等生"
"149","13","茅原実里","43","人族","0","智","8","王宮騎士團","劍術、戲弄長輩","8","test","103701","11","A","重情義愛捉弄人的劍術少女"
"153","14","小清水亜美","40","獸人族","0","栞","11","伊麗莎白牧場","讀書、散步","11","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","103801","3","A","喜愛讀書的體弱少女"
"158","13","花澤香菜","44","精靈族","0","碧","6","森林守衛","交朋友的想像訓練","6","在交到新朋友之前……\n就先在BB團\n進行特訓吧！","104001","6","AB","嚮往「朋友」的精靈之森女孩"
"163","17","福原綾香","46","人族","0","千歌","6","慈樂之音","各種樂器","4","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","104201","3","O","守護人們而歌唱的唱喚士少女"
"168","17","小松未可子","54","獸人族","0","真琴","8","哞哞自衛隊","做點心","10","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","104301","9","O","不輸男人的狂野義氣少女"
"172","??","丹下桜","50","魔族","0","伊莉亞","5","惡魔偽王國軍","征服世界","7","test","104401","5","A","曾經支配黑夜的最強吸血鬼"
"157","18","長妻樹里","49","人族","0","空花","11","純白之翼 蘭德索爾分部","閱讀小說","15","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","104501","19","AB","最愛妄想！其實是個害羞少女"
"158","18","沼倉愛美","48","獸人族","0","珠希","3","墨丘利財團","與貓咪玩耍","12","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","104601","1","AB","鋤強扶弱的貓娘"
"171","25","川澄綾子","50","人族","0","純","10","王宮騎士團","格鬥技、入浴","8","？？？","104701","25","A","看不見面容的沉著女騎士"
"163","20","田所あずさ","49","人族","0","美冬","11","墨丘利財團","傭兵等等的打工","12","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","104801","11","O","公事私事都效率至上的傭兵少女"
"168","18","生天目仁美","54","人族","0","靜流","10","拉比林斯","所有家事","3","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","104901","24","O","姐姐會照顧你的呦！"
"120","11","久野美咲","22","魔族","0","美咲","1","月光學院","閱讀流行雜誌、蒐集化妝品","14","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","105001","3","A","稍微有點差距的少女戀情"
"166","27","三石琴乃","53","人族","0","深月","3","暮光流星群","研究、實驗","13","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","105101","7","A","興趣是實驗的危險科學家"
"150","18","徳井青空","100","獸人族","0","莉瑪","3","伊麗莎白牧場","理毛、聊天","11","我是個很平凡、隨處可見的女孩子喔！\n除、除了外表之外……","105201","14","A","少女心的毛茸茸生物"
"140","18","辻あゆみ","33","人族","0","莫妮卡","7","純白之翼 蘭德索爾分部","逛點心店","15","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","105301","28","A","外表與內心都是孩子的異國軍人"
"153","14","木戸衣吹","45","人族","0","紡希","9","慈樂之音","裁縫","4","test","105401","7","AB","最愛時尚的可愛女孩"
"155","16","大関英里","43","精靈族","0","步未","4","純白之翼 蘭德索爾分部","觀察","15","test","105501","7","O","何時都會一見鍾情，純情少女"
"167","25","佐藤利奈","54","人族","0","流夏","7","暮光流星群","釣魚","13","test","105601","11","B","散發人情味的帥氣「大姐頭」"
"156","17","金元寿子","45","人族","0","吉塔","3","？？？","冒險、聊天","","我呢，想要成為獨當一面的騎空士。\n有朝一日變成像父親那樣的騎空士，\n旅行直到天空的盡頭。這是我的夢想喔！","105701","10","O","夢想前往天空冒險的騎空士少女"
"156","17","M・A・O","46","人族","0","貪吃佩可","3","美食殿堂","邊走邊吃、料理","1","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","105801","31","O","元氣滿點的空腹少女"
"140","11","伊藤美来","35","精靈族","0","可可蘿","5","美食殿堂","冥想、養育動植物","1","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","105901","11","B","仰慕主人，小小嚮導"
"152","14","立花理香","39","獸人族","0","凱留","9","美食殿堂","和貓咪玩耍","1","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","106001","2","A","倒在路旁的謎之貓耳魔法師"
"148","16","潘めぐみ","40","人族","0","矛依未","8","？？？","冒險、回憶故事","","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","106101","11","O","徬徨的謎樣少女"
"155","15","優木かな","42","精靈族","0","亞里莎","6","？？？","蒐集漂亮的葉子","","","106301","17","O","目標成為森林守護者的精靈族少女"
"147","14","近藤玲奈","???","龍人族","0","雪菲","12","美食殿堂","讀書、伸展運動","1","","106401","14","B","失去記憶的龍人族少女"
"156","16","小市眞琴","???","龍人族","0","嘉夜","6","龍族巢穴","格鬥技","17","","106501","25","B","專門用拳頭來交朋友的打手龍少女"
"145","13","藤田茜","???","龍人族","0","祈梨","9","龍族巢穴","遊戲","17","","106601","29","AB","嘴上功夫一流的廢材龍娘"
"168","25","大西沙織","???","龍人族","0","帆稀","4","龍族巢穴","繪畫、讀書","17","","106701","17","O","面帶詭譎的笑容看透一切的臥龍首領。"
"160","25","沢城みゆき","??","人族","0","拉比林斯達","7","拉比林斯","觀察人類","3","","106801","25","AB","祕密結社拉比林斯的「迷宮女王」"
"166","29","蒼井翔太","??","獸人族","0","霸瞳皇帝","7","？？？","占卜、支配","","","106901","1","AB","謎團重重的蘭德索爾之主"
"149","24","井口裕香","??","精靈族","0","似似花","3","？？？","模仿、藝術欣賞","","","107001","24","O","隱居在研究所，相當文靜的大姊姊"
"165","27","たかはし智秋","??","人族","0","克莉絲提娜","2","王宮騎士團","和強敵之間的競爭","8","","107101","7","O","自視甚高的王宮騎士團副團長"
"156","17","M・A・O","46","人族","0","貪吃佩可（夏日）","3","美食殿堂","邊走邊吃、料理","1","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","107501","31","O","元氣滿點的空腹少女"
"140","11","伊藤美来","35","精靈族","0","可可蘿（夏日）","5","美食殿堂","冥想、養育動植物","1","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","107601","11","B","仰慕主人，小小嚮導"
"154","15","悠木碧","43","人族","0","鈴莓（夏日）","12","咲戀育幼院","服侍","9","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","107701","12","O","為了大小姐而努力的冒失女僕"
"152","14","立花理香","39","獸人族","0","凱留（夏日）","9","美食殿堂","和貓咪玩耍","1","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","107801","2","A","倒在路旁的謎之貓耳魔法師"
"158","18","沼倉愛美","48","獸人族","0","珠希（夏日）","3","墨丘利財團","與貓咪玩耍","12","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","107901","1","AB","鋤強扶弱的貓娘"
"163","20","田所あずさ","49","人族","0","美冬（夏日）","11","墨丘利財團","傭兵等等的打工","12","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","108001","11","O","公事私事都效率至上的傭兵少女"
"157","18","大坪由佳","42","魔族","0","忍（萬聖節）","12","惡魔偽王國軍","占卜","7","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","108101","22","AB","擅長占卜的靈能少女"
"130","14","雨宮天","32","魔族","0","宮子（萬聖節）","1","惡魔偽王國軍","吃布丁","7","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","108201","23","B","最愛布丁的幽靈少女"
"120","11","久野美咲","22","魔族","0","美咲（萬聖節）","1","月光學院","閱讀流行雜誌、蒐集化妝品","14","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","108301","3","A","稍微有點差距的少女戀情"
"163","17","福原綾香","46","人族","0","千歌（聖誕節）","6","慈樂之音","各種樂器","4","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","108401","3","O","守護人們而歌唱的唱喚士少女"
"150","12","植田佳奈","40","人族","0","胡桃（聖誕節）","6","咲戀育幼院","看戲、扮家家酒","9","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","108501","9","B","愛哭又膽小，令人想去保護的女孩"
"148","14","芹澤優","38","人族","0","綾音（聖誕節）","5","咲戀育幼院","能在房間裡玩的遊戲","9","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","108601","10","B","永遠跟噗吉在一起！"
"155","16","東山奈央","44","獸人族","0","日和（新年）","8","破曉之星","助人、打氣加油","2","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","108701","27","A","最愛幫助別人！　正向思考的格鬥少女"
"158","17","種田梨沙","47","人族","0","優衣（新年）","4","破曉之星","料理、觀察人類","2","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","108801","5","O","擅長支援戰鬥，心地善良的少女"
"163","18","早見沙織","46","魔族","0","怜（新年）","1","破曉之星","讀書、騎馬、茶","2","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","108901","12","B","冷酷又率直的劍士"
"154","16","橋本ちなみ","43","魔族","0","惠理子（情人節）","7","暮光流星群","實驗、裁縫、料理","13","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","109001","30","B","專情於命中注定對象的少女"
"168","18","生天目仁美","54","人族","0","靜流（情人節）","10","拉比林斯","所有家事","3","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","109101","24","O","姐姐會照顧你的呦！"
"156","17","日笠陽子","55","人族","0","安","12","？？？","讀書","","我是安！總之算是馬納歷亞王國的\n第一公主…不過別太拘謹，\n如果能輕鬆地和我變成好朋友的話，我會很開心的！","109201","1","AB","和英靈締結契約的馬納歷亞天才公主"
"144","15","こやまきみこ","45","人族","0","露","2","？？？","吃飯，睡覺","","我叫做露！正在就讀\n馬納歷亞魔法學院。你也願意成為\n露的好朋友嗎？","109301","4","O","馬納歷亞魔法學院新生"
"167","17","福原綾香","67","半人半龍","0","古蕾婭","11","？？？","鋼琴","","我是古蕾婭。同時繼承了\n龍與人的血統…\n那個…請、請多指教","109401","3","B","擁有超越人類力量的善良龍人公主"
"157","18","長妻樹里","49","人族","0","空花（大江戶）","11","純白之翼 蘭德索爾分部","閱讀小說","15","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","109501","19","AB","最愛妄想！其實是個害羞少女"
"163","16","佐藤聡美","51","人族","0","妮諾（大江戶）","8","純白之翼 蘭德索爾分部","忍法開發","15","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","109601","31","O","東國的神祕，請告訴我！"
"154","17","水瀬いのり","??","鬼族","0","雷姆","2","？？？","戲劇欣賞、詩和散文","","","109701","2","?","有如鬼助的萬能妹妹女僕"
"154","17","村川梨衣","??","鬼族","0","拉姆","2","？？？","讀書","","","109801","2","?","毒舌系魔鬼姐姐女僕"
"164","114","高橋李依","??","半妖精族","0","愛蜜莉雅","9","？？？","幫帕克梳理毛髮、念書","","","109901","23","?","穩重成熟的銀髮半妖精"
"167","18","上坂すみれ","48","魔族","0","鈴奈（夏日）","4","月光學院","時尚","14","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","110001","10","O","天真浪漫的人氣超級名模"
"162","23","伊藤静","52","魔族","0","伊緒（夏日）","8","月光學院","看戀愛小說、戀愛劇、戀愛漫畫","14","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","110101","14","B","魅惑眾多男性的純潔女老師"
"120","11","久野美咲","22","魔族","0","美咲（夏日）","1","月光學院","閱讀流行雜誌、蒐集化妝品","14","","110201","3","A","稍微有點差距的少女戀情"
"156","17","堀江由衣","43","精靈族","0","咲戀（夏日）","10","咲戀育幼院","經營、茶會","9","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","110301","4","A","經營育幼院的庶民派溫柔大小姐"
"168","17","小松未可子","54","獸人族","0","真琴（夏日）","8","哞哞自衛隊","做點心","10","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","110401","9","O","不輸男人的狂野義氣少女"
"158","19","高森奈津美","53","獸人族","0","香織（夏日）","7","哞哞自衛隊","跳舞、空手道","10","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","110501","7","A","隨時都「船到橋頭自然直」的天真少女"
"155","16","内田真礼","42","獸人族","0","真步（夏日）","9","哞哞自衛隊","幻想、蒐集玩偶","10","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","110601","22","O","真步真步王國的公主"
"158","13","花澤香菜","44","精靈族","0","碧（插班生）","6","森林守衛","交朋友的想像訓練","6","","110701","6","AB","嚮往「朋友」的精靈之森女孩"
"154","17","種﨑敦美","42","精靈族","0","克蘿依","8","聖德蕾莎女子學院（好朋友社）","飛鏢","16","","110801","7","O","生長在市區的陰暗系精靈族"
"156","16","佐倉綾音","46","人族","0","琪愛兒","9","聖德蕾莎女子學院（好朋友社）","跳舞、卡拉OK","16","","110901","15","O","天生自由奔放的失禮現代小孩"
"142","18","小原好美","36","人族","0","優妮","2","聖德蕾莎女子學院（好朋友社）","讀書","16","","111001","28","O","沉睡於書庫的小小賢人"
"118","8","小倉唯","21","精靈族","0","鏡華（萬聖節）","2","小小甜心","讀書","5","","111101","2","A","端莊正直的嬌小優等生"
"128","9","諸星すみれ","27","人族","0","禊（萬聖節）","8","小小甜心","惡作劇、探險","5","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","111201","10","O","愛好冒險的搗蛋鬼"
"117","10","日高里菜","21","獸人族","0","美美（萬聖節）","4","小小甜心","蒐集可愛的東西","5","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","111301","3","O","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪"
"142","??","小倉唯","28","人族","0","露娜","?","？？？","找「朋友」之事","","","111401","?","?","到處找人做朋友的死靈術師少女"
"165","27","たかはし智秋","??","人族","0","克莉絲提娜（聖誕節）","2","王宮騎士團","和強敵之間的競爭","8","","111501","7","O","自視甚高的王宮騎士團副團長"
"157","17","日笠陽子","40","人族","0","望（聖誕節）","1","慈樂之音","看舞台劇，跳舞","4","","111601","24","B","能歌善舞的超人氣偶像"
"172","??","丹下桜","50","魔族","0","伊莉亞（聖誕節）","5","惡魔偽王國軍","征服世界","7","","111701","5","A","曾經支配黑夜的最強吸血鬼"
"156","17","M・A・O","46","人族","0","貪吃佩可（新年）","3","美食殿堂","邊走邊吃、料理","1","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","111801","31","O","元氣滿點的空腹少女"
"140","11","伊藤美来","35","精靈族","0","可可蘿（新年）","5","美食殿堂","冥想、養育動植物","1","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","111901","11","B","仰慕主人，小小嚮導"
"152","14","立花理香","39","獸人族","0","凱留（新年）","9","美食殿堂","和貓咪玩耍","1","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","112001","2","A","倒在路旁的謎之貓耳魔法師"
"154","15","悠木碧","43","人族","0","鈴莓（新年）","12","咲戀育幼院","服侍","9","嗚嗚……對不起～\n我又讓廚房爆炸了～\n這樣沒有資格當女僕……","112101","12","O","為了大小姐而努力的冒失女僕"
"152","15","水瀬いのり","41","獸人族","0","霞（魔法少女）","11","哞哞自衛隊","讀書、推理","10","","112201","3","AB","頭腦聰明的美少女名偵探"
"153","14","小清水亜美","40","獸人族","0","栞（魔法少女）","11","伊麗莎白牧場","讀書、散步","11","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","112301","3","A","喜愛讀書的體弱少女"
"159","17","大橋彩香","45","人族","0","卯月（NGs）","4","new generations","與好友長談","100","","112401","24","O","燦爛的笑容！　夢想成為偶像的女孩"
"165","15","福原綾香","44","人族","0","凜（NGs）","8","new generations","遛狗","100","","112501","10","B","冷酷又美麗的「蒼藍劍士」"
"161","15","原紗友里","46","人族","0","未央（NGs）","12","new generations","購物","100","","112601","1","B","目標成為超級巨星的活力女孩☆☆★"
"144","17","小岩井ことり","42","獸人族","0","鈴（遊俠）","1","伊麗莎白牧場","紅豆麵包","11","","112701","1","B","視玩樂與睡眠為第一的懶惰少女"
"142","20","新田恵海","35","人族","0","真陽（遊俠）","3","伊麗莎白牧場","相聲","11","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","112801","3","B","令大家歡笑的歡樂牧場主人"
