8191eb0db9a9e249845b6f021c80747fe0bd15c892723e846ee4b768af448988,6a0ddc288541d99aa0a2c4479402fa6b8c0068cdf4059b1361bad0f071fb896f,49483517755f54e8b4f43f96c194b674611bf98b94f11500074d2db393182ca8,24b1e8c069b316afea1d224eadd39b2cdc072b3fffc9297f1b70489d82dc5e5d,c40ea4e41cdfc60b2d6946464a159fc03c125fc8991920cd5fd62a8baf0506e0,da8cfd8d0531af7b83923dc23e4a4938ecc0eb97d84fa5d1bb03bbb015cd5b44,7ba51f21d2070d49c6dd265a2765becfdc8102947fc6041092aecf98a741ce4b,f74e44a59cc7f82b12f120bb98ae94ae073c51126cf45f8cc1ff2f050b04f08e,c3d1c7bd77d242de44a71ac100de18aaac6928f9dc417734e438a6fb97da41a0,e461e18f5dc70338a63f55a9981e42c557195c6deda5fca06bd41c6a2f020054,65f0790f1c6617c35bd2b7d63086d5662a2a78771b2fdfb8da0e7ce6fb2b8c47,ce47710ee3e1a7c075eb901d19a085ee55eaf2f941ce712b78a134b487625a0e,56a3746fabca9005f38617878553d3fd4dba8632b56c07ff4d7def7781d7cc30,4b8cb777dcd94ec33f9f94ed025b3f9365968f7dc4b7b802f7a2cb290de48156,0bef1f2de10fbd8183ec952037685e4fcc0ad448bb639bb049bc7f764a747338,497a85f7ada8e355cfa22d0fa3352ad729b03a2d1ecb6d6c6e45c1ddb4a11b7f,ba44eabc628e46fadd7f32e5241dddb2f93f8669f908a735da46ee6c050fb27e,dbf0124096f137e4b929ed9fd7d7e2b3b2f6ed2dcf85d1c544820273c206a464,cb303f21090af02109bf9b3fff9e83e22eaa97d0a19d48a4dd4cc4f7c2dcb81a,f5877e1d4b678eeb1297b283b0dc17395ccd99f457c400d0291fa903f049c9ed
"2","1","1070","1","1","3000M以上的山","77","48","3000M以上的山","51","1","這是什麼？","0","2","1","48","3000M","山岳分級，請解釋「高山」","2","48"
"2","1","1071","6","6","進行中長距離的走路鍛鍊","30340","38626","進行中長距離的走路鍛鍊","20013","6","這是什麼？","0","2","6","38263","中長距離的","請解釋「遠足」","6","36317"
"3","1","1075","6","6","手臂在水中","20013","27700","","25163","6","這是什麼？","0","2","6","33218","手臂在水中","划水是運用□□□□□的合理動作來產生推進速度的技能，是游泳的重點技術環節","6","22312"
"1","1","1076","6","6","冰上西洋棋","26827","27915","","20912","6","這個的名稱是什麼？","0","2","6","19978","冰上西洋棋","冰壺是一種冬季運動，因其高戰略性，也被稱為□□□□□","6","35199"
"1","1","1077","6","6","110米跨欄⇒鐵餅⇒撐桿跳⇒標槍⇒1500米跑步","27085","27161","110米跨欄⇒鐵餅⇒撐桿跳⇒標槍⇒1500米跑步","25744","6","這個的名稱是什麼？","0","2","6","26751","撐桿跳標槍","男子十項全能第二天比賽順序為","6","36339"
"1","1","1078","6","6","投技、固技、當身技","25216","36523","投技、固技、當身技","22266","6","這個的名稱是什麼？","0","2","6","25216","固技當身技","柔道分為三種技巧","6","30070"
"1","1","1079","6","6","逆時針方向","21521","26041","","36870","6","這個的名稱是什麼？","0","2","6","26178","逆時針方向","棒球的打擊手將球擊出後，採□□□□□，從本壘起跑。","6","37341"
"1","1","1080","6","6","十名守門員","21729","38272","","21313","6","這個的名稱是什麼？","0","2","6","21517","十名守門員","在標準的足球比賽中，兩隊各派十一名球員參賽，裡面包括□□球員與一名□□□。","6","23432"
"2","1","1081","6","6","技術性犯規","35215","29359","","25216","6","這個的名稱是什麼？","0","2","6","34899","技術性犯規","籃球犯規之一。某一方球員，用語言或動作挑逗對手、包括恐嚇、威脅對手會稱為：","6","24615"
"1","1","1082","6","6","發球、接發球、舉球、扣球、攔網、防守","32178","25876","發球、接發球、舉球、扣球、攔網、防守","25509","6","這個的名稱是什麼？","0","2","6","30332","接發球攔網","排球的六種技術","6","29699"
"1","1","1083","6","6","運動員宣誓","35475","23459","","36939","6","這個的名稱是什麼？","0","2","6","21205","運動員宣誓","在運動會的開幕典禮上，會有選手代表出來宣讀承諾","6","21729"
"1","1","1085","6","6","蹲踞式起跑","36305","36215","","36466","6","這個的名稱是什麼？","0","2","6","36382","蹲踞式起跑","在陸上競技或游泳中，於起跑時以上身低伏的姿勢出發。","6","24335"
"3","1","1086","6","6","團體資格賽","36093","26684","","22296","6","這個的名稱是什麼？","0","2","6","39636","團體資格賽","體操有分團體與個人資格賽，計分方式為6 – 5 – 4 的是屬於哪一種","6","36039"
"2","1","1095","6","6","海豚式打腿","33151","25171","","28023","6","這個的名稱是什麼？","0","2","6","35930","海豚式打腿","游泳時腳不胡亂擺動，而是雙腳同時用力踢水。近似於某種動物的游泳方式。另一種說法為海豚踢","6","24335"
"3","1","1096","6","6","日和燃燒衝擊","25802","34909","日和燃燒衝擊","21644","6","這個的名稱是什麼？","1096","1","6","29123","和燃燒衝擊","「日和（★6）」的必殺技。","6","29138"
"2","1","1099","6","6","初音☆消失球","29699","22833","初音☆消失球","21021","6","這個的名稱是什麼？","1099","1","6","38899","初音消失球","小遊戲「 美里的全壘打訓練場」中投手「初音」所使用的消失的魔球。","6","28040"
"2","1","1100","6","6","昇龍終結球","29699","32080","","26119","6","這個的名稱是什麼？","1102","1","6","40845","昇龍終結球","小遊戲「 美里的全壘打訓練場」中投手「嘉夜」所使用的燃燒的魔球。","6","32066"
"1","1","1101","6","6","超人氣名模","27169","21517","","36229","6","這個的名稱是什麼？","0","1","6","20154","超人氣名模","小遊戲「 美里的全壘打訓練場」中「鈴奈」受社員們愛戴的□□□超級□□。","6","27683"
"2","1","1102","6","6","艾爾皮斯島","23798","26031","","33406","6","這個的名稱是什麼？","0","1","6","29246","艾爾皮斯島","小遊戲「 大激戰！龍人們的接龍競賽」是在哪一個島舉行？","6","30382"
"3","1","1104","6","6","西洋棋拳擊","25802","25331","","35199","6","這個的名稱是什麼？","0","2","6","27915","西洋棋拳擊","同時比拚精神與肉體強度的競技。交互進行西洋棋與某種運動。","6","26827"
"2","1","1105","6","1","發球局2分","20998","50","","30332","6","這個的名稱是什麼？","0","2","6","29699","發球局2分","網球一局比賽只有一名球員發球，稱為該球員的「□□□」，率先贏得至少 4 分並多出對手至少 □□ 的運動員贏得一局。","6","23616"
"3","1","1106","6","6","塑膠製薄板","26495","34180","","22609","6","這個的名稱是什麼？","0","2","6","33184","塑膠製薄板","在美式足球的護目鏡裡，為了保護眼睛而裝在頭盔面罩上的一種材料。","6","35069"
"1","1","1107","6","6","美式橄欖球","29699","27414","","32654","6","這個的名稱是什麼？","0","2","6","24335","美式橄欖球","美式足球的另一種名稱。","6","27204"
"2","1","1115","1","1","24231","49","51","","50","1","這個的名稱是什麼？","0","2","1","52","24231","籃球比賽中，每隊要在□□秒內進攻，投籃成功的話一般是□分，如果是在三分線以外投籃的話，就會得到□分，而在罰球情況下成功的會有□分。","1","50"
"3","1","1116","6","6","地圖指南針","37341","21335","地圖指南針","22320","6","這個的名稱是什麼？","0","2","6","22294","地圖指南針","野外定向是利用□□與□□□，於限時內找出預設的控制點。","6","25351"
"3","1","1117","1","6","501規則","21063","35215","","53","1","這個的名稱是什麼？","0","2","1","48","501規則","現在飛鏢比賽最常見的規則，也是飛鏢世錦賽的規則","6","49"
"2","1","1120","2","2","BOGEY","89","69","","66","2","這個的名稱是什麼？","0","2","2","79","BOGEY","高爾夫的得分名稱，比標準桿多一桿。(請用英文回答)","2","71"
"2","1","1121","6","6","提前結束比賽","36093","27604","提前結束比賽","21069","6","這個的名稱是什麼？","0","2","6","32080","前結束比賽","意指棒球比賽因遭遇惡劣天候或比分差距過大等情況時，於中途提前結束。","6","26463"
"1","1","1122","6","6","龍捲風式投法","25237","24335","龍捲風式投法","40845","6","這個的名稱是什麼？","0","2","6","25458","龍捲風式投","棒球的投球方式之一。大幅扭轉身體投球的動作令人聯想到龍捲風。","6","39080"
"1","1","1123","6","6","自由式滑雪","38634","28369","自由式滑雪","33258","6","這個的名稱是什麼？","0","2","6","30001","自由式滑雪","滑雪的一種。運動員使用滑雪板和雪杖於特定的雪場上做出指定和自選的動作","6","24335"
"1","1","1127","6","6","戰鬥競技場","22580","25216","戰鬥競技場","25136","6","這個的名稱是什麼？","0","1","6","39717","戰鬥競技場","在《超異域公主連結Re:Dive》中，自己可以組成1支隊伍，與其他玩家設定好的1支隊伍進行戰鬥。於戰鬥中取勝後，可提升自己的排名","6","31478"
"1","1","1130","6","6","公主競技場","22580","25216","公主競技場","20844","6","這個的名稱是什麼？","0","1","6","20027","公主競技場","在《超異域公主連結Re:Dive》中，自己可以組成3支隊伍，與其他玩家設定好的3支隊伍進行戰鬥。於戰鬥中取勝後，可提升自己的排名","6","31478"
"2","1","1131","6","6","TP上升(或下降)量","37327","21319","TP上升(或下降)量","84","2","這個的名稱是什麼？","0","2","2","80","TP上升量","在《超異域公主連結Re:Dive》的戰鬥中，和「TP」有莫大關聯的能力。","6","19978"
"1","1","1132","3","3","Table Tennis","101","108","Table Tennis","84","3","這個的名稱是什麼？","0","2","2","97","Table","「棒球」是「Baseball」。那麼「桌球」是？","3","98"
"3","1","1134","6","6","上旋球打法","27861","25171","","19978","6","這個的名稱是什麼？","0","2","6","26059","上旋球打法","什麼樣的打法的桌球拍正反兩面都會使用反膠，比較容易打旋轉球","6","29699"
"1","1","1136","6","6","大前鋒中鋒","37586","20013","","22823","6","這個的名稱是什麼？","0","2","6","21069","大前鋒中鋒","籃球位置有五個。控球後衛、得分後衛、小前鋒、□□□與□□","6","37586"
"3","1","1138","6","6","蛋頭、小平頭、中平頭","38957","24179","蛋頭、小平頭、中平頭","34507","6","這個的名稱是什麼？","0","2","6","38957","蛋頭小平頭","羽球球拍分為三種。","6","23567"
"2","1","1140","6","6","克莉絲提娜","23068","25552","克莉絲提娜","20811","6","這個的名稱是什麼？","0","1","6","33673","克莉絲提娜","會使用必殺技「亂數聖域」的角色。","6","32114"
"2","1","1141","6","6","最大心跳率","29575","36339","","26368","6","這個的名稱是什麼？","0","2","6","22823","最大心跳率","在進行有氧運動時，心跳須達到□□□□□的65%到85%區間，持續至少20分鐘，才是有效的有氧運動。","6","24515"
"2","1","1142","6","6","極度的呼吸與身體鍛鍊","39636","36523","極度的呼吸與身體鍛鍊","26997","6","這個的名稱是什麼？","0","2","6","24230","極度的身體","哈達瑜珈是最常見的瑜珈。它是以□□□呼吸與□□鍛鍊為主","6","30340"
"1","1","1146","6","6","阻力帶訓練","32244","35347","","38459","6","這個的名稱是什麼？","0","2","6","21147","阻力帶訓練","使用阻力帶進行重量訓練稱為？","6","24118"
"2","1","1151","6","6","尼泊爾廓爾喀彎刀","20992","24398","尼泊爾廓爾喀彎刀","23612","6","這個的名稱是什麼？","0","2","6","27850","尼泊爾彎刀","世界歷史十大名刀排行第四。","6","29246"
"2","1","1153","6","6","進攻方提前移動","21069","25552","進攻方提前移動","36914","6","這個的名稱是什麼？","0","2","6","25915","進攻方提前","美式足球常見犯規之一。進攻隊伍的隊員在開球前移動。","6","26041"
"3","1","1157","6","6","十一人制與九人制","20154","20061","十一人制與九人制","21313","6","這個的名稱是什麼？","0","2","6","19968","十一人九人","雙人跳水的評分裁判分為？","6","20154"
"1","1","1164","6","6","似似花（新年）","24180","26032","似似花（新年）","20284","6","這個的名稱是什麼？","0","1","6","20284","似似花新年","使用必殺技「新年稜鏡」的角色","6","33457"
"3","1","1166","6","6","咲戀（聖誕節）","31680","35477","咲戀（聖誕節）","21682","6","這個的名稱是什麼？","0","1","6","25088","咲戀聖誕節","使用必殺技「庭園之盾」的角色","6","32854"
"2","1","1168","6","6","噗吉全力揮擊","25802","25582","噗吉全力揮擊","21513","6","這個的名稱是什麼？","0","1","6","20840","吉全力揮擊","在【美里的夏日聲援！追夢的盛夏棒球隊】的劇情裡，綾音每次進行打擊時會喊的口號是？","6","21147"
"1","1","1170","2","3","BB槍=BB Guns","110","117","BB槍=BB Guns","66","2","這個的名稱是什麼？","0","2","2","66","BBGun","「BB槍」的英文稱呼。","3","71"
"1","1","1171","6","6","可可蘿（公主）","20027","20844","可可蘿（公主）","21487","6","這個的名稱是什麼？","0","1","6","21487","可可蘿公主","使用必殺技「極光聖界」的角色","6","34367"
"2","1","1172","3","3","挑釁=Provocative","111","118","挑釁=Provocative","80","3","這個的名稱是什麼？","1172","1","2","114","Provo","在《超異域公主連結Re:Dive》的戰鬥中，此圖示所代表的狀態異常的名稱。（請用英文作答）","3","111"
"2","1","1173","6","6","物理吸收護盾","35703","25910","物理吸收護盾","29289","6","這個的名稱是什麼？","1173","1","6","29702","物理吸收護","在《超異域公主連結Re:Dive》的戰鬥中，此圖示所代表的狀態異常的名稱。","6","21560"
"3","1","1174","6","6","劍聖之天賦","36070","22825","劍聖之天賦","21133","6","這個的名稱是什麼？","0","1","6","32854","劍聖之天賦","「吉塔（★6）」的EX技能。戰鬥開始時，大幅度提升自己的物理攻擊力。","6","20043"
"2","1","1175","6","6","融心惡魔的魅惑","30340","39764","融心惡魔的魅惑","34701","6","這個的名稱是什麼？","0","1","6","24515","融心惡魔的","「茜里（★6）」的必殺技。","6","24801"
"1","1","1176","2","2","MULTI TARGETS","73","84","MULTI TARGETS","77","2","這個的名稱是什麼？","1176","1","2","85","MULTI","《超異域公主連結Re:Dive》\n的戰鬥用語之一。","2","76"
"3","1","1178","6","6","開放式水肺","32954","27700","開放式水肺","38283","6","這個的名稱是什麼？","0","2","6","25918","開放式水肺","關於水肺潛水，潛水者通過呼吸調節器從壓縮氣瓶中呼吸，廢氣直接排放在水中。","6","24335"
"1","1","1179","6","6","黑白相間與八乘八網格","20843","20056","黑白相間與八乘八網格","40657","6","這個的名稱是什麼？","0","2","6","30333","黑白八乘八","西洋棋的棋盤是由64個□□相間與□□□網格組成。","6","20843"
"2","1","1180","6","6","日本武士刀","20992","22763","","26085","6","這個的名稱是什麼？","0","2","6","26412","日本武士刀","世界歷史十大名刀排行第二。","6","27494"
"2","1","1181","6","6","雙手向前翻","32763","21069","雙手向前翻","38617","6","這是什麼？","0","2","6","25163","雙手向前翻","跑酷的技能：護身，是以雙腳著地後，用□□□□□滾的動作","6","21521"
"3","1","1182","6","6","游泳⇒自行車⇒長跑","36554","34892","游泳⇒自行車⇒長跑","28216","6","這是什麼？","0","2","6","27891","游泳自行車","如何將連續進行3種運動的「鐵人三項」按照項目的順序來排列？","6","33258"
"2","1","1183","2","2","SPARE","69","82","","83","2","這個的名稱是什麼？","0","2","2","80","SPARE","為保齡球用語，第一球沒有全倒，第二球全部擊倒。(請用英文作答)","2","65"
"2","1","1184","2","2","TURKEY","89","69","TURKEY","85","2","這個的名稱是什麼？","0","2","2","82","URKEY","為保齡球用語，連續三次全倒。(請用英文作答)","2","75"
"2","1","1185","6","6","突破僵局制","21046","23616","突破僵局制","31361","6","這個的名稱是什麼？","0","2","6","30772","突破僵局制","在棒球等運動中，若是陷入同分的膠著時，為了得到結果所適用的特別規則。","6","20725"
"2","1","1186","2","2","STRIKE","69","75","STRIKE","84","2","這個的名稱是什麼？","0","2","2","82","TRIKE","為保齡球用語，第一球全倒。(請用英文作答)","2","73"
"1","1","1187","6","6","撞球桿撞擊母球","29699","27597","撞球桿撞擊母球","25758","6","這個的名稱是什麼？","0","2","6","29699","撞球桿母球","撞球是使用□□□來撞擊□□。","6","26751"
"2","1","1188","3","3","Double Bogey","101","108","Double Bogey","111","3","這個的名稱是什麼？","0","2","3","117","ouble","在高爾夫中，用了比標準桿數多1次才打完為「柏忌」。那多出2次是什麼？(請用英文作答)","3","98"
"2","1","1189","6","6","咬鉤指示器","22120","31034","","21676","6","這個的名稱是什麼？","0","2","6","37476","咬鉤指示器","釣魚工具的一種。任何負責將魚鉤的水下狀態變化傳遞到水面讓釣者能察覺的漁具。","6","25351"
"1","1","1190","6","6","沙子的大袋子","23376","34955","沙子的大袋子","27801","6","這個的名稱是什麼？","0","2","6","23376","沙子大袋子","在拳擊等運動中，沙包用於打拳訓練，裝滿□□的□□□。","6","22823"
"2","1","1191","6","6","一次起跳失敗","25943","22833","一次起跳失敗","19968","6","這個的名稱是什麼？","0","2","6","27425","一次起失敗","跳遠比賽中，賽次每個人只有三次試跳機會，每次起跳都要準確地在起跳線完成，如果起跳時超越了起跳線，則被判罰為？","6","36215"
"2","1","1192","6","6","旋轉和連接步","27493","25509","旋轉和連接步","26059","6","這個的名稱是什麼？","0","2","6","36681","旋轉連接步","花式滑冰指定動作的短曲，包括跳躍、□□和□□□。","6","36899"
"2","1","1193","6","6","混凝土或木頭","38957","26408","混凝土或木頭","28151","6","這個的名稱是什麼？","0","2","6","20957","混凝土木頭","雪橇的滑道是由□□□或□□所建成","6","22303"
"2","1","1194","6","6","滑行的金屬","23660","37329","","28369","6","這個的名稱是什麼？","0","2","6","34892","滑行的金屬","比賽用的雪橇為木製，前方沒有舵板，在後方也沒有制動閘，只於底部有一對用以□□□□□滑板。","6","30340"
"2","1","1195","6","6","仰臥推舉、深蹲、硬舉","36466","28145","仰臥推舉、深蹲、硬舉","33253","6","這個的名稱是什麼？","0","2","6","25512","臥推舉深蹲","重量訓練清單中的三巨頭有仰□□□、□□、硬舉。","6","33289"
"2","1","1196","2","2","GOOFY","89","70","","71","2","這個的名稱是什麼？","0","2","2","79","GOOFY","單板滑雪中，左腳踩在前方滑稱為Regular stance，那反過來稱為什麼？ (請用英文作答)","2","79"
"1","1","1197","6","6","水靈破壞者","32773","22750","","27700","6","這個的名稱是什麼？","1197","1","6","38728","水靈破壞者","水之精靈注入精靈之力的斧頭。","6","30772"
"1","1","1198","6","6","皮革工作服","26381","20316","","30382","6","這個的名稱是什麼？","1198","1","6","38761","皮革工作服","新人冒險者身上得攜帶的物品非常多，所以這些口袋對他們來說非常重要。","6","24037"
"3","1","1199","3","3","SMG=Sub machine gun","105","104","SMG=Sub machine gun","109","3","這個未經省略的全稱是？","0","2","3","97","machi","SMG(衝鋒槍)的全名。","3","99"
"3","1","1200","3","3","SR=Snipe rifle","101","112","SR=Snipe rifle","83","3","這個未經省略的全稱是？","0","2","2","110","Snipe","SR(狙擊槍)的全名。","3","105"
"1","1","1201","3","3","Snowboard","100","114","Snowboard","98","3","這個的名稱是什麼？","0","2","3","111","board","滑雪有兩種，一種叫做「雙板(ski)」，另一種叫做？ (請用英文作答)","3","97"
"1","1","1202","6","6","腳尖和腳跟敲","25970","36319","腳尖和腳跟敲","33139","6","這個的名稱是什麼？","0","2","6","23574","腳尖腳跟敲","踢踏舞是使用專用的鞋子，一邊用□□和□□□響地板一邊跳舞。","6","33139"
"2","1","1203","3","3","Medical Officer","97","99","Medical Officer","101","3","這個的名稱是什麼？","0","2","3","100","edica","軍隊中「軍醫」的英文稱呼是？","3","105"
"2","1","1204","6","6","斷糧食戰術","34899","25136","斷糧食戰術","26039","6","這個的名稱是什麼？","0","2","6","31975","斷糧食戰術","在戰爭中，包圍敵人的城，等待對方食物耗盡並投降的戰法。","6","39135"
"3","1","1205","3","3","LMG=Light machine gun","116","104","LMG=Light machine gun","76","3","這個的名稱是什麼？","0","2","2","105","Light","LMG(輕機槍)的全名。","3","103"
"2","1","1206","6","6","跑者愉悅感","24863","24709","","36305","6","這個的名稱是什麼？","0","2","6","32773","跑者愉悅感","跑步持續跑了一定程度的時間後，就會暫時產生的一種快感。","6","24841"
"2","1","1207","3","3","格鬥技=Martial arts","97","105","格鬥技=Martial arts","97","3","這個的名稱是什麼？","0","2","3","114","artia","","3","116"
"2","1","1208","3","3","Struck","99","117","Struck","83","3","這個的名稱是什麼？","0","2","2","116","Struc","比賽棒球投球準確度的遊戲。要瞄準並擊中寫有1到9的數字的板子。(請用英文作答)","3","114"
"2","1","1209","6","6","百華白櫻刀","20992","27387","","30334","6","這個的名稱是什麼？","1209","2","6","33775","百華白櫻刀","具備有映照潔白、盛開的櫻花般美麗的刀。","6","30333"
"2","1","1210","6","6","夏日青狼之擊","25802","29436","夏日青狼之擊","22799","6","這個的名稱是什麼？","0","1","6","26085","夏日青狼擊","「真琴（夏日）」的必殺技。","6","38738"
"2","1","1211","6","6","雪上馬拉松","26494","25289","","38634","6","這個的名稱是什麼？","0","2","6","19978","雪上馬拉松","越野滑雪因需要大量體力，所以又被稱為：","6","39340"
"1","1","1212","6","6","速度和彈跳力","21147","36339","速度和彈跳力","36895","6","這個的名稱是什麼？","0","2","6","24230","速度彈跳力","跳台滑雪的運動員需藉由□□和□□□沿跳台下滑。","6","24392"
"1","1","1213","6","6","五人制足球","29699","36275","","20116","6","這個的名稱是什麼？","0","2","6","20154","五人制足球","由足球衍生出來的運動，是室內五對五的足球。","6","21046"
"2","1","1214","6","6","夏日閃耀之力","21147","32768","夏日閃耀之力","22799","6","這個的名稱是什麼？","0","2","6","26085","夏日閃耀力","「咲戀（夏日）」的必殺技。","6","38275"
"1","1","1215","6","6","橡膠體操球","29699","25805","","27233","6","這個的名稱是什麼？","0","2","6","33184","橡膠體操球","韻律體操的球操是使用甚麼球？","6","39636"
"1","1","1216","2","2","TOTAL DAMAGE","76","65","TOTAL DAMAGE","84","2","這個的名稱是什麼？","0","1","2","79","TOTAL","《超異域公主連結Re:Dive》的戰鬥用語之一。通常顯示於王關的左上方","2","84"
"2","1","1217","6","6","神盾戰鬥系統","31995","39717","神盾戰鬥系統","31070","6","這個的名稱是什麼？","0","2","6","30462","神盾戰鬥系","某種系統名稱。它的核心是一套電腦化的指揮決策與武器管制系統。英文名稱為Aegis combat system","6","25136"
"3","1","1218","6","6","宮子（聖誕節）","31680","35477","宮子（聖誕節）","23470","6","這個的名稱是什麼？","0","1","6","23376","宮子聖誕節","在提升物理攻擊力和物理爆擊率的布丁能量領域內也會強化自己的技能，使出突襲的角色。","6","32854"
"2","1","1219","6","6","全像武器照準器","22120","28310","全像武器照準器","20840","6","這個的名稱是什麼？","0","2","6","20687","全像照準器","用槍時，為求瞄準而使用的一種「瞄準裝置」。使用了所謂的「全像投影」技術。","6","29031"
"2","1","1220","6","6","聲音抑制器","22120","21046","","32882","6","這個的名稱是什麼？","0","2","6","38899","聲音抑制器","經常出現在諜報電影裡，為消除槍聲而裝設在槍口的裝置。也被稱作「消音器」。","6","25233"
"1","1","1221","6","6","拉比林斯達","36948","26031","","25289","6","這個的名稱是什麼？","0","1","6","27604","拉比林斯達","使用必殺技「物件創造」的角色。","6","26519"
"1","1","1222","6","6","經驗值冒險","38570","20882","","32147","6","這個的名稱是什麼？","0","1","6","39511","經驗值冒險","在《超異域公主連結Re:Dive》中，可獲得大量的EXP藥水，一天可挑戰的次數為2次。","6","20540"
