d7ede30d6ad9d4be41ea8afcff358b7bb18abbf25ab7b9b54a4fc7d1f8f8b80d,eee08d052efcc6b307e4fe717ae1c9f350745e3aa4f1c3c5057a54e76f9a869e,cfb3efa7ab76d09064151f727cff8bf0f149771fc2f76341bb2b11fc122804e7,8444a778a0545a0f20e897f9b6186093ca0fd5bf9c7496003ed4f041c941928d,bd49d74e61347b7f41730f033e5f42fd24449fa52500640e7476839357eb4ebc,33d378b660b21f5f1cbed4b05dc2f7fbc2687e3467b62cffb86289b871ecd4db,922f0df1eab849963d04c3b84394b9c3ab8c8f648966d28c305fb39645e235ac,36fab3ce06a93f69e7a5aa1d417392e2ff8828f1e0a0d028758e3de46d2c8e41,c693ea5d7d8ac73525fc0f5e92f258e8374f4ee0b8842d0f0404b9c24a99bbaa
"","21600","82","6","328","93001","","2","30"
"","21600","84","6","336","93001","","2","31"
"","21600","85","6","340","93001","","2","32"
"","21600","86","6","344","93001","","2","33"
"","21600","87","6","348","93001","","2","34"
"","21600","88","6","352","93001","","2","35"
"","21600","89","6","356","93001","","2","36"
"","21600","90","6","360","93001","","2","37"
"","21600","91","6","364","93001","","2","38"
"","14400","1","2","3","20001","","3","1"
"","9600","1","2","5","20001","","3","2"
"","7200","1","2","7","20001","","3","3"
"","5400","1","2","10","20001","","3","4"
"","3600","1","2","15","20001","","3","5"
"","9600","1","2","6","20002","","3","6"
"","7200","1","2","8","20002","","3","7"
"","4800","1","2","12","20002","","3","8"
"","3600","1","2","16","20002","","3","9"
"","2700","1","2","20","20002","","3","10"
"","10800","1","2","6","20003","","3","11"
"","9000","1","2","8","20003","","3","12"
"","7200","1","2","12","20003","","3","13"
"","5400","1","2","16","20003","","3","14"
"","3600","1","2","20","20003","","3","15"
"","2880","1","2","30","20003","","3","16"
"","12600","1","2","7","20004","","3","17"
"","11400","1","2","8","20004","","3","18"
"","10200","1","2","9","20004","","3","19"
"","9300","1","2","10","20004","","3","20"
"","8700","1","2","10","20004","","3","21"
"","6600","1","2","13","20004","","3","22"
"","6300","1","2","14","20004","","3","23"
"","6000","1","2","15","20004","","3","24"
"","5700","1","2","15","20004","","3","25"
"","5400","1","2","16","20004","","3","26"
"","5100","1","2","17","20004","","3","27"
"","4860","1","2","18","20004","","3","28"
"","4620","1","2","19","20004","","3","29"
"","4440","1","2","20","20004","","3","30"
"","4260","1","2","21","20004","","3","31"
"","4080","1","2","22","20004","","3","32"
"","3960","1","2","22","20004","","3","33"
"","3840","1","2","23","20004","","3","34"
"","3720","1","2","24","20004","","3","35"
"","3600","1","2","24","20004","","3","36"
"","3480","1","2","25","20004","","3","37"
"","3420","1","2","26","20004","","3","38"
"","21600","3000","12","12000","94002","","4","1"
"","21600","4500","12","18000","94002","","4","2"
"","21600","6000","12","24000","94002","","4","3"
"","21600","7500","12","30000","94002","","4","4"
"","21600","10500","12","42000","94002","","4","5"
"","21600","13500","12","54000","94002","","4","6"
"","21600","16500","12","66000","94002","","4","7"
"","21600","21000","12","84000","94002","","4","8"
"","21600","25500","12","102000","94002","","4","9"
"","21600","30000","12","120000","94002","","4","10"
"","21600","36000","12","144000","94002","","4","11"
"","21600","42000","12","168000","94002","","4","12"
"","21600","48000","12","192000","94002","","4","13"
"","21600","55500","12","222000","94002","","4","14"
"","21600","63000","12","252000","94002","","4","15"
"","21600","70500","12","282000","94002","","4","16"
"","21600","79500","12","318000","94002","","4","17"
"","21600","88500","12","354000","94002","","4","18"
"","21600","97500","12","390000","94002","","4","19"
"","21600","108000","12","432000","94002","","4","20"
"","21600","118500","12","474000","94002","","4","21"
"","21600","129000","12","516000","94002","","4","22"
"","21600","140500","12","562000","94002","","4","23"
"","21600","150000","12","600000","94002","","4","24"
"","21600","160500","12","642000","94002","","4","25"
"","21600","171000","12","684000","94002","","4","26"
"","21600","181500","12","726000","94002","","4","27"
"","21600","192000","12","768000","94002","","4","28"
"","21600","202500","12","810000","94002","","4","29"
"","21600","213000","12","852000","94002","","4","30"
"","21600","223500","12","894000","94002","","4","31"
"","21600","230000","12","920000","94002","","4","32"
"","21600","235000","12","940000","94002","","4","33"
"","21600","240000","12","960000","94002","","4","34"
"","21600","245000","12","980000","94002","","4","35"
"","21600","250000","12","1000000","94002","","4","36"
"","21600","255000","12","1020000","94002","","4","37"
"","21600","260000","12","1040000","94002","","4","38"
"","21600","12","6","48","93001","","5","1"
"","21600","12","6","48","93001","","6","1"
"","21600","12","6","48","93001","","7","1"
"","21600","12","6","48","93001","","8","1"
"","21600","12","6","48","93001","","11","1"
"","21600","12","6","48","93001","","12","1"
"","21600","12","6","48","93001","","19","1"
"14999999999","0","1","0","0","0","4999999999","23","0"
"","21600","12","6","48","93001","","25","1"
"","21600","12","6","48","93001","","28","1"
"","21600","12","6","48","93001","","30","1"
