69c5358a939789dc47f46ad972624cc0bf6f63fda8d5a80fc3e5f061c8878926,85fdd304de33f6fa2b7d9063f647111f7a5e0e28ec87d26d7fed89d2362ef5cf,5ac4e157a66f25d12b30c42134245859da6b0f64dc2c0ec4f9ac4864117b1740,93ece7c2fbe876766fd324b8becda62493eae510c4d05f0774ca54e79427325a,4da62a4c508497685e2029e871f9ae603705addeee320b1e65b2b32940bf59ba,b8b0397a45b264743a35978ae984f520a5dce9049030db8399b70a08a3fe2cc5,5ec18146a0ecd48dd2ff7362dc059c11d33ef4d75e1f1a5c4cdcc15ce45b309b,1912cec6e2637c5549bc68931ea1117d6adb05a2a46af1c86748c9e830cfdb7b,7c465c612d6e4d0aee66a113b3e7345345a6431dfe9fd2e705b2c08f4f766327
"累積獲得21個★","100300007","7","100307","1003","21","4101","21","1"
"累積獲得24個★","100300008","8","100308","1003","24","4101","24","0"
"累積獲得27個★","100300009","9","100309","1003","27","4101","27","1"
"累積獲得30個★","100300010","10","100310","1003","30","4101","30","0"
"累積獲得33個★","100300011","11","100311","1003","33","4101","33","0"
"累積獲得36個★","100300012","12","100312","1003","36","4101","36","1"
"累積獲得39個★","100300013","13","100313","1003","39","4101","39","0"
"累積獲得42個★","100300014","14","100314","1003","42","4101","42","0"
"累積獲得45個★","100300015","15","100315","1003","45","4101","45","1"
"累積獲得48個★","100300016","16","100316","1003","48","4101","48","0"
"累積獲得51個★","100300017","17","100317","1003","51","4101","51","1"
"累積獲得54個★","100300018","18","100318","1003","54","4101","54","0"
"累積獲得3個★","100400001","1","100401","1004","3","4101","3","0"
"累積獲得6個★","100400002","2","100402","1004","6","4101","6","0"
"累積獲得9個★","100400003","3","100403","1004","9","4101","9","1"
"累積獲得12個★","100400004","4","100404","1004","12","4101","12","0"
"累積獲得15個★","100400005","5","100405","1004","15","4101","15","0"
"累積獲得18個★","100400006","6","100406","1004","18","4101","18","0"
"累積獲得21個★","100400007","7","100407","1004","21","4101","21","1"
"累積獲得24個★","100400008","8","100408","1004","24","4101","24","0"
"累積獲得27個★","100400009","9","100409","1004","27","4101","27","1"
"累積獲得30個★","100400010","10","100410","1004","30","4101","30","0"
"累積獲得33個★","100400011","11","100411","1004","33","4101","33","0"
"累積獲得36個★","100400012","12","100412","1004","36","4101","36","1"
"累積獲得39個★","100400013","13","100413","1004","39","4101","39","0"
"累積獲得42個★","100400014","14","100414","1004","42","4101","42","0"
"累積獲得45個★","100400015","15","100415","1004","45","4101","45","1"
"累積獲得48個★","100400016","16","100416","1004","48","4101","48","0"
"累積獲得51個★","100400017","17","100417","1004","51","4101","51","1"
"累積獲得54個★","100400018","18","100418","1004","54","4101","54","0"
"累積獲得3個★","100500001","1","100501","1005","3","4101","3","0"
"累積獲得6個★","100500002","2","100502","1005","6","4101","6","0"
"累積獲得9個★","100500003","3","100503","1005","9","4101","9","1"
"累積獲得12個★","100500004","4","100504","1005","12","4101","12","0"
"累積獲得15個★","100500005","5","100505","1005","15","4101","15","0"
"累積獲得18個★","100500006","6","100506","1005","18","4101","18","0"
"累積獲得21個★","100500007","7","100507","1005","21","4101","21","1"
"累積獲得24個★","100500008","8","100508","1005","24","4101","24","0"
"累積獲得27個★","100500009","9","100509","1005","27","4101","27","1"
"累積獲得30個★","100500010","10","100510","1005","30","4101","30","0"
"累積獲得33個★","100500011","11","100511","1005","33","4101","33","0"
"累積獲得36個★","100500012","12","100512","1005","36","4101","36","1"
"累積獲得39個★","100500013","13","100513","1005","39","4101","39","0"
"累積獲得42個★","100500014","14","100514","1005","42","4101","42","0"
"累積獲得45個★","100500015","15","100515","1005","45","4101","45","1"
"累積獲得48個★","100500016","16","100516","1005","48","4101","48","0"
"累積獲得51個★","100500017","17","100517","1005","51","4101","51","1"
"累積獲得54個★","100500018","18","100518","1005","54","4101","54","0"
"累積獲得3個★","100600001","1","100601","1006","3","4101","3","0"
"累積獲得6個★","100600002","2","100602","1006","6","4101","6","0"
"累積獲得9個★","100600003","3","100603","1006","9","4101","9","1"
"累積獲得12個★","100600004","4","100604","1006","12","4101","12","0"
"累積獲得15個★","100600005","5","100605","1006","15","4101","15","0"
"累積獲得18個★","100600006","6","100606","1006","18","4101","18","0"
"累積獲得21個★","100600007","7","100607","1006","21","4101","21","1"
"累積獲得24個★","100600008","8","100608","1006","24","4101","24","0"
"累積獲得27個★","100600009","9","100609","1006","27","4101","27","1"
"累積獲得30個★","100600010","10","100610","1006","30","4101","30","0"
"累積獲得33個★","100600011","11","100611","1006","33","4101","33","0"
"累積獲得36個★","100600012","12","100612","1006","36","4101","36","1"
"累積獲得39個★","100600013","13","100613","1006","39","4101","39","0"
"累積獲得42個★","100600014","14","100614","1006","42","4101","42","0"
"累積獲得45個★","100600015","15","100615","1006","45","4101","45","1"
"累積獲得48個★","100600016","16","100616","1006","48","4101","48","0"
"累積獲得51個★","100600017","17","100617","1006","51","4101","51","1"
"累積獲得54個★","100600018","18","100618","1006","54","4101","54","0"
"累積獲得3個★","100700001","1","100701","1007","3","4101","3","0"
"累積獲得6個★","100700002","2","100702","1007","6","4101","6","0"
"累積獲得9個★","100700003","3","100703","1007","9","4101","9","1"
"累積獲得12個★","100700004","4","100704","1007","12","4101","12","0"
"累積獲得15個★","100700005","5","100705","1007","15","4101","15","0"
"累積獲得18個★","100700006","6","100706","1007","18","4101","18","0"
"累積獲得21個★","100700007","7","100707","1007","21","4101","21","1"
"累積獲得24個★","100700008","8","100708","1007","24","4101","24","0"
"累積獲得27個★","100700009","9","100709","1007","27","4101","27","1"
"累積獲得30個★","100700010","10","100710","1007","30","4101","30","0"
"累積獲得33個★","100700011","11","100711","1007","33","4101","33","0"
"累積獲得36個★","100700012","12","100712","1007","36","4101","36","1"
"累積獲得39個★","100700013","13","100713","1007","39","4101","39","0"
"累積獲得42個★","100700014","14","100714","1007","42","4101","42","0"
"累積獲得45個★","100700015","15","100715","1007","45","4101","45","1"
"累積獲得48個★","100700016","16","100716","1007","48","4101","48","0"
"累積獲得51個★","100700017","17","100717","1007","51","4101","51","1"
"累積獲得54個★","100700018","18","100718","1007","54","4101","54","0"
"累積獲得3個★","100800001","1","100801","1008","3","4101","3","0"
"累積獲得6個★","100800002","2","100802","1008","6","4101","6","0"
"累積獲得9個★","100800003","3","100803","1008","9","4101","9","1"
"累積獲得12個★","100800004","4","100804","1008","12","4101","12","0"
"累積獲得15個★","100800005","5","100805","1008","15","4101","15","0"
"累積獲得18個★","100800006","6","100806","1008","18","4101","18","0"
"累積獲得21個★","100800007","7","100807","1008","21","4101","21","1"
"累積獲得24個★","100800008","8","100808","1008","24","4101","24","0"
"累積獲得27個★","100800009","9","100809","1008","27","4101","27","1"
"累積獲得30個★","100800010","10","100810","1008","30","4101","30","0"
"累積獲得33個★","100800011","11","100811","1008","33","4101","33","0"
"累積獲得36個★","100800012","12","100812","1008","36","4101","36","1"
"累積獲得39個★","100800013","13","100813","1008","39","4101","39","0"
"累積獲得42個★","100800014","14","100814","1008","42","4101","42","0"
"累積獲得45個★","100800015","15","100815","1008","45","4101","45","1"
"累積獲得48個★","100800016","16","100816","1008","48","4101","48","0"
"累積獲得51個★","100800017","17","100817","1008","51","4101","51","1"
"累積獲得54個★","100800018","18","100818","1008","54","4101","54","0"
"累積獲得3個★","100900001","1","100901","1009","3","4101","3","0"
"累積獲得6個★","100900002","2","100902","1009","6","4101","6","0"
"累積獲得9個★","100900003","3","100903","1009","9","4101","9","1"
"累積獲得12個★","100900004","4","100904","1009","12","4101","12","0"
"累積獲得15個★","100900005","5","100905","1009","15","4101","15","0"
"累積獲得18個★","100900006","6","100906","1009","18","4101","18","0"
"累積獲得21個★","100900007","7","100907","1009","21","4101","21","1"
"累積獲得24個★","100900008","8","100908","1009","24","4101","24","0"
"累積獲得27個★","100900009","9","100909","1009","27","4101","27","1"
"累積獲得30個★","100900010","10","100910","1009","30","4101","30","0"
"累積獲得33個★","100900011","11","100911","1009","33","4101","33","0"
"累積獲得36個★","100900012","12","100912","1009","36","4101","36","1"
"累積獲得39個★","100900013","13","100913","1009","39","4101","39","0"
"累積獲得42個★","100900014","14","100914","1009","42","4101","42","0"
"累積獲得45個★","100900015","15","100915","1009","45","4101","45","1"
"累積獲得48個★","100900016","16","100916","1009","48","4101","48","0"
"累積獲得51個★","100900017","17","100917","1009","51","4101","51","1"
"累積獲得54個★","100900018","18","100918","1009","54","4101","54","0"
