24e3d9caa4c6608377eff5c65c33dfb1ce39ab004c6798c08e821b8af1ac0b84,ad430292e462580c46c3079946a3cfd0aa63b37dc07df4f57c8bd161c98bf687,c9ebe5a8b3e7b4fd1c6be99d5168c91270a2fae156348a05504fafc4eed236c0,a03527e9e69f38c432247057ca6cbba001e9a2428c3a8ea81184754699dbac0f,7edad7827fcd7ce79e2b44cda9fba44f609453e2a051d105133a9bcc51fc7940,a6f26a29ca5666e330dc949ce015c859ce6578e6234d33a6738ac0c9cc87750a,7a5e90b0bb0978b8e05b00760a950806d2834658b515d38c3c449a04f1353ef4,7eb9edfb54e4c96114ec09e555091c70834457c492d171b80adf4c8bd86a23ff
"11037","1","3","0","0","1037","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","103301"
"11038","1","3","0","0","1038","【夥伴】取得最大2000里程","103601"
"11039","1","3","0","0","1039","【夥伴】取得1張抽獎券","133001"
"11040","1","3","0","0","1040","【夥伴】取得1個料理","133101"
"11041","1","3","0","0","1041","【夥伴】可以選擇使用骰子的正面或背面","106801"
"11042","1","3","0","0","1042","【夥伴】重新擲1次骰子","107101"
"11043","1","3","0","0","1043","【夥伴】追加投擲骰子直到數字合計為7以上","107001"
"11044","1","3","0","0","1044","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","106501"
"11045","1","3","0","0","1045","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","111001"
"11046","1","3","0","0","1046","【夥伴】取得最大2000里程","134901"
"11047","1","3","0","0","1047","【夥伴】取得1張抽獎券","105401"
"11048","1","3","0","0","1048","【夥伴】取得1個料理","134701"
"11049","1","3","0","0","1049","【夥伴】可以選擇使用骰子的正面或背面","100101"
"11050","1","3","0","0","1050","【夥伴】重新擲1次骰子","100701"
"11051","1","3","0","0","1051","【夥伴】追加投擲骰子直到數字合計為7以上","103001"
"11052","1","3","0","0","1052","【夥伴】骰子擲出偶數時，多前進1格。","101401"
"11053","1","3","0","0","1053","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","135901"
"11054","1","3","0","0","1054","【夥伴】取得最大2000里程","102601"
"11055","1","3","0","0","1055","【夥伴】取得1張抽獎券","132401"
"11056","1","3","0","0","1056","【夥伴】取得1個料理","135801"
"11057","1","3","0","0","1057","【夥伴】可以選擇使用骰子的正面或背面","100301"
"11058","1","3","0","0","1058","【夥伴】重新擲1次骰子","106701"
"11059","1","3","0","0","1059","【夥伴】追加投擲骰子直到數字合計為7以上","132301"
"11060","1","3","0","0","1060","【夥伴】骰子擲出奇數時，多前進1格。","105201"
"11061","1","3","0","0","1061","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","102201"
"11062","1","3","0","0","1062","【夥伴】取得最大2000里程","100601"
"11063","1","3","0","0","1063","【夥伴】取得1張抽獎券","136201"
"11064","1","3","0","0","1064","【夥伴】取得1個料理","110901"
"11065","1","3","0","0","1065","【夥伴】同時投擲數字為4的骰子並可在骰子之間做選擇","103801"
"11066","1","3","0","0","1066","【夥伴】重新擲1次骰子","101501"
"11067","1","3","0","0","1067","【夥伴】追加投擲骰子直到數字合計為7以上","102901"
"11068","1","3","0","0","1068","【夥伴】骰子擲出偶數時，多前進1格。","101701"
"11069","1","3","0","0","1069","【夥伴】出現必有折扣的商店，\n最大折扣50%\n（1樣商品免費）","132501"
"11070","1","3","0","0","1070","【夥伴】取得最大2000里程","104201"
"11071","1","3","0","0","1071","【夥伴】取得1張抽獎券","101101"
"11072","1","3","0","0","1072","【夥伴】取得1個料理","104901"
