a6b4fa76ea01099f7bb9610d8a4f1bcebb986134ee96cfafc37b8ecf6d665dc9,98ac103e048a45febebf92878b2fb2acc59e50aee28721a5e0df0da8b99a9bcd,edc468e6733c5d5be410269a2039cbe1f9bb13c04eee20f152bdb08f70095bd9,fc85e7fa90f2233fd523983b05a5478f5824800a6e7938d700342ab0f8eabafd,8f393eb5d2014bd435a88a12f61872ec63f72c51bcc04e31177171657e45ce58,3542de3223d59ad05d14cbc61a2669b22a4221ae7729af2b2ca81bdd48928dc2,6d73f05ad76829633f83293d59a517111bdf74eeb52d0efd36ebd679107ca140,bd56dc44a4315139c4b217158db7e6ce644384ddddbf9eccaf2e084e51b84bb1,edf23602499d5dec100b6239fd7bc2e04bf2aa17c49efe739dfbc382c718d9fd,367db4f50579a62a3caa1fdc8193b598f3e7715800648113bc31809fb3f88eca,e87522784648e7d546458fc3196c72749cb89bdd6d075c721a1117afeaa9f90f,fc1f5f446d27d73ab8dbc627bea4793d65bbcc55db8a5a5a83c39905667d8a4b,5da20454fdd856ba4986032e7185c06249a96959873469a7b6054f304cef6b12,da62af0fa59e328f24277cd3864a76d9cd881969ab3d88551b07f8561ab7f48b
"211","1","1","240","1","5","1","1","1","1108","-1","2","240","31"
"241","1","1","270","1","5","1","1","1","1109","-1","2","270","31"
"271","1","1","300","1","5","1","1","1","1110","-1","2","300","31"
"301","1","1","310","1","5","1","1","1","1111","-1","2","-1","31"
"4","1","1","-1","1","5","1","1","1","1201","-1","3","30","7"
"31","1","1","-1","1","5","1","1","1","1202","-1","3","60","11"
"61","1","1","-1","1","5","1","1","1","1203","-1","3","90","15"
"91","1","1","-1","1","5","1","1","1","1204","-1","3","120","19"
"121","1","1","-1","1","5","1","1","1","1205","-1","3","150","23"
"151","1","1","-1","1","5","1","1","1","1206","-1","3","180","27"
"181","1","1","-1","1","5","1","1","1","1207","-1","3","210","29"
"211","1","1","-1","1","5","1","1","1","1208","-1","3","240","31"
"241","1","1","-1","1","5","1","1","1","1209","-1","3","270","31"
"271","1","1","-1","1","5","1","1","1","1210","-1","3","300","31"
"301","1","1","-1","1","5","1","1","1","1211","-1","3","-1","31"
"4","1","1","30","1","5","1","1","1","1301","-1","4","30","7"
"31","1","1","60","1","5","1","1","1","1302","-1","4","60","10"
"61","1","1","90","1","5","1","1","1","1303","-1","4","90","13"
"91","1","1","120","1","5","1","1","1","1304","-1","4","120","16"
"121","1","1","150","1","5","1","1","1","1305","-1","4","150","19"
"151","1","1","180","1","5","1","1","1","1306","-1","4","180","22"
"181","1","1","210","1","5","1","1","1","1307","-1","4","210","25"
"211","1","1","240","1","5","1","1","1","1308","-1","4","240","28"
"241","1","1","270","1","5","1","1","1","1309","-1","4","270","28"
"271","1","1","300","1","5","1","1","1","1310","-1","4","300","28"
"301","1","1","310","1","5","1","1","1","1311","-1","4","-1","28"
"4","1","1","-1","1","5","1","1","1","1401","-1","5","30","7"
"31","1","1","-1","1","5","1","1","1","1402","-1","5","60","10"
"61","1","1","-1","1","5","1","1","1","1403","-1","5","90","13"
"91","1","1","-1","1","5","1","1","1","1404","-1","5","120","16"
"121","1","1","-1","1","5","1","1","1","1405","-1","5","150","19"
"151","1","1","-1","1","5","1","1","1","1406","-1","5","180","22"
"181","1","1","-1","1","5","1","1","1","1407","-1","5","210","25"
"211","1","1","-1","1","5","1","1","1","1408","-1","5","240","28"
"241","1","1","-1","1","5","1","1","1","1409","-1","5","270","28"
"271","1","1","-1","1","5","1","1","1","1410","-1","5","300","28"
"301","1","1","-1","1","5","1","1","1","1411","-1","5","-1","28"
"4","1","1","-1","1","3","1","1","1","1501","-1","6","30","7"
"31","1","1","-1","1","3","1","1","1","1502","-1","6","60","10"
"61","1","1","-1","1","3","1","1","1","1503","-1","6","90","13"
"91","1","1","-1","1","3","1","1","1","1504","-1","6","120","16"
"121","1","1","-1","1","3","1","1","1","1505","-1","6","150","19"
"151","1","1","-1","1","3","1","1","1","1506","-1","6","180","22"
"181","1","1","-1","1","3","1","1","1","1507","-1","6","210","22"
"211","1","1","-1","1","3","1","1","1","1508","-1","6","240","22"
"241","1","1","-1","1","3","1","1","1","1509","-1","6","270","22"
"271","1","1","-1","1","3","1","1","1","1510","-1","6","-1","22"
"4","1","1","30","1","6","1","1","1","1601","5","7","30","7"
"31","1","1","60","1","6","1","1","1","1602","5","7","60","11"
"61","1","1","90","1","6","1","1","1","1603","5","7","90","15"
"91","1","1","120","1","6","1","1","1","1604","5","7","120","19"
"121","1","1","150","1","6","1","1","1","1605","5","7","150","23"
"151","1","1","180","1","6","1","1","1","1606","5","7","180","27"
"181","1","1","210","1","6","1","1","1","1607","5","7","210","29"
"211","1","1","240","1","6","1","1","1","1608","5","7","240","31"
"241","1","1","270","1","6","1","1","1","1609","5","7","270","31"
"271","1","1","300","1","6","1","1","1","1610","5","7","300","31"
"301","1","1","310","1","6","1","1","1","1611","5","7","-1","31"
"4","1","1","30","1","5","1","1","1","1701","5","8","30","7"
"31","1","1","60","1","5","1","1","1","1702","5","8","60","11"
"61","1","1","90","1","5","1","1","1","1703","5","8","90","15"
"91","1","1","120","1","5","1","1","1","1704","5","8","120","19"
"121","1","1","150","1","5","1","1","1","1705","5","8","150","23"
"151","1","1","180","1","5","1","1","1","1706","5","8","180","27"
"181","1","1","210","1","5","1","1","1","1707","5","8","210","29"
"211","1","1","240","1","5","1","1","1","1708","5","8","240","31"
"241","1","1","270","1","5","1","1","1","1709","5","8","270","31"
"271","1","1","300","1","5","1","1","1","1710","5","8","300","31"
"301","1","1","310","1","5","1","1","1","1711","5","8","-1","31"
