eed12c2729c82012523cb9abb4fee2c72c3d838f3a449176490b77f4e44ed049,24209f8a39680cdbfaffdf96b978b454d9d0bc66c7c8ea1cee80d41d7bb249d1,1787a78cf04db658b0748f69c1792428a6d38b371c909c266f5b5883e98e6faa,2fa1fdc3b51e5371c3753e23b673bc51ba50465ee23960c81c954144180bbf17,8fd8bb922f93037375df14af6c82bcb7f300a2caee96c0ed7c8379836e5a9056,39fa8e59b7f527efdf2795c0b65518ff5578a4cafdf14e637368aab305301d5c,c41a770c89c23900383e3c17c0c7224567c57c08bb63987e1fb446e117c108b1
"1.0875","千歌穿著聖誕節服裝的人物照片。只能在聖誕季節見到的珍貴打扮，\n正是送給慈樂之音粉絲的最棒的禮物。","0.675","千歌的聖誕節版人物照片","7","10409","2"
"0.665625","紡希的姓名手環。\n也是演唱會的進出場票券，片刻不離地帶在身上吧！","1.0125","紡希的手環","8","10501","3"
"0.665625","望的姓名手環。\n也是演唱會的進出場票券，片刻不離地帶在身上吧！","1.0125","望的手環","8","10502","3"
"0.665625","千歌的姓名手環。\n也是演唱會的進出場票券，片刻不離地帶在身上吧！","1.0125","千歌的手環","8","10503","3"
"0.365234375","拍下了紡希華麗模樣的大型海報。\n只要貼在房間裡，就能隨時獨佔她只為你露出的笑容。\n今天和明天也要繼續努力！","0.470703125","紡希的海報","10","10601","3"
"0.365234375","拍下了望華麗模樣的大型海報。\n只要貼在房間裡，就能隨時獨佔她只為你露出的笑容。\n今天和明天也要繼續努力！","0.470703125","望的海報","10","10602","3"
"0.365234375","拍下了千歌華麗模樣的大型海報。\n只要貼在房間裡，就能隨時獨佔她只為你露出的笑容。\n今天和明天也要繼續努力！","0.470703125","千歌的海報","11","10603","3"
"0.365234375","印有三名成員，充滿魄力的大型海報。\n只要貼在房間裡，從早到晚都能隨時見到她們的笑容。\n今天和明天也要繼續努力！","0.470703125","慈樂之音的海報","11","10604","3"
"0.953125","只能在活動會場獲得的夏日演唱會限定設計會員卡。\n由於只能在會場取得，稀有度偏高。\n是真正的粉絲一定想得手的品項。","0.53125","會場限定會員卡","8","10701","3"
"0.443359375","以紡希的個人代表色妝點，為夏日演唱會設計的長條毛巾。\n能夠用來擦拭因為演唱會而大汗淋漓的肌膚，\n也可以當作加油道具來使用。","0.4609375","紡希的長條毛巾","12","10801","2"
"0.443359375","以望的個人代表色妝點，為夏日演唱會設計的長條毛巾。\n能夠用來擦拭因為演唱會而大汗淋漓的肌膚，\n也可以當作加油道具來使用。","0.4609375","望的長條毛巾","12","10802","2"
"0.443359375","以千歌的個人代表色妝點，為夏日演唱會設計的長條毛巾。\n能夠用來擦拭因為演唱會而大汗淋漓的肌膚，\n也可以當作加油道具來使用。","0.4609375","千歌的長條毛巾","13","10803","2"
"0.443359375","慈樂之音的夏日演唱會設計款長條毛巾。是通用性很高的經典道具。\n能夠用來擦拭因為演唱會而大汗淋漓的肌膚，\n也可以當作加油道具來使用。","0.4609375","慈樂之音的長條毛巾","13","10804","2"
"0.33046875","紡希的官方應援扇。想使出渾身解數對偶像表現自己時，這是最適合的品項。\n讓它陪伴你在演唱會會場上的瘋狂吧！","0.459375","紡希的應援扇","9","10901","1"
"0.33046875","望的官方應援扇。\n想使出渾身解數對偶像表現自己時，這是最適合的品項。讓它陪伴你在演唱會會場上的瘋狂吧！","0.459375","望的應援扇","9","10902","1"
"0.33046875","千歌的官方應援扇。\n想使出渾身解數對偶像表現自己時，這是最適合的品項。讓它陪伴你在演唱會會場上的瘋狂吧！","0.459375","千歌的應援扇","9","10903","1"
"0.33046875","慈樂之音的官方應援扇。由於設計簡單大方，是也很適合拿來日常使用的品項。\n無論身在何時何地，都可以用這個為她們打氣喔。","0.459375","慈樂之音的應援扇","9","10904","1"
"0.671875","要擺起來裝飾或拿來貼都沒問題的可愛貼紙。\n只要隨手貼在顯眼的地方，每次看到貼紙時一定都能笑顏逐開！","0.8671875","紡希的貼紙","5","11001","1"
"0.671875","要擺起來裝飾或拿來貼都沒問題的可愛貼紙。\n只要隨手貼在顯眼的地方，每次看到貼紙時一定都能笑顏逐開！","0.8671875","望的貼紙","5","11002","1"
"0.671875","要擺起來裝飾或拿來貼都沒問題的可愛貼紙。\n只要隨手貼在顯眼的地方，每次看到貼紙時一定都能笑顏逐開！","0.8671875","千歌的貼紙","5","11003","1"
"0.975","經典周邊之一。不管是要集齊所有種類，還是大量蒐集同個種類，\n一切都操之於你！打造出只屬於你獨有的收藏吧。","0.975","紡希的圓形徽章","5","11101","1"
"0.975","經典周邊之一。不管是要集齊所有種類，還是大量蒐集同個種類，\n一切都操之於你！打造出只屬於你獨有的收藏吧。","0.975","望的圓形徽章","5","11102","1"
"0.975","經典周邊之一。不管是要集齊所有種類，還是大量蒐集同個種類，\n一切都操之於你！打造出只屬於你獨有的收藏吧。","0.975","千歌的圓形徽章","5","11103","1"
"0.39453125","想在演唱會上一起嗨翻時需要的必備周邊。\n能夠切換為各種顏色，依據場合和歌曲來分別使用。\n用繽紛的色彩炒熱演唱會的氣氛吧。","0.49609375","慈樂之音演唱會螢光棒","9","11201","2"
"0.65625","以紡希為圖案設計的馬克杯。是能夠讓每天的休息時光與下午茶更加快樂的商品。\n為你獻上與她共度的美好時光。","0.671875","紡希的馬克杯","8","11301","2"
"0.65625","以望為圖案設計的馬克杯。是能夠讓每天的休息時光與下午茶更加快樂的商品。\n為你獻上與她共度的美好時光。","0.671875","望的馬克杯","8","11302","2"
"0.65625","以千歌為圖案設計的馬克杯。是能夠讓每天的休息時光與下午茶更加快樂的商品。\n為你獻上與她共度的美好時光。","0.671875","千歌的馬克杯","8","11303","2"
"0.984375","說到能喚起回憶的周邊，一定就是這個。\n三角旗上是穿著夏日服裝而耀眼無比的紡希，\n能讓你隨時回憶起演唱會的亢奮之情與偶像的燦爛光芒。","0.6328125","紡希的三角旗","4","11401","1"
"0.984375","說到能喚起回憶的周邊，一定就是這個。\n三角旗上是穿著夏日服裝而耀眼無比的望，\n能讓你隨時回憶起演唱會的亢奮之情與偶像的燦爛光芒。","0.640625","望的三角旗","4","11402","1"
"0.984375","說到能喚起回憶的周邊，一定就是這個。\n三角旗上是穿著夏日服裝而耀眼無比的千歌，\n能讓你隨時回憶起演唱會的亢奮之情與偶像的燦爛光芒。","0.6328125","千歌的三角旗","4","11403","1"
"1.21875","以卡通風格繪製了可愛紡希圖案的胸章。\n質感就像帶有光澤又閃閃發亮的硬幣，是會刺激收藏慾的周邊。","1.21875","紡希的別針","3","11501","1"
"1.21875","繪製了身穿夏日服裝的可愛紡希圖案的胸章。\n限定版的設計是參加了夏日演唱會的證明。\n以紡希正在享受夏日的表情為魅力的品項。","1.21875","紡希的夏日版別針","3","11502","1"
"1.21875","以卡通風格繪製了可愛望圖案的胸章。\n質感就像帶有光澤又閃閃發亮的硬幣，是會刺激收藏慾的周邊。","1.21875","望的別針","3","11503","1"
"1.21875","繪製了身穿夏日服裝的可愛望圖案的胸章。\n限定版的設計是參加了夏日演唱會的證明。\n以望正在享受夏日的表情為魅力的品項。","1.21875","望的夏日版別針","3","11504","1"
"1.21875","以卡通風格繪製了可愛千歌圖案的胸章。\n質感就像帶有光澤又閃閃發亮的硬幣，是會刺激收藏慾的周邊。","1.21875","千歌的別針","3","11505","1"
"1.21875","繪製了身穿夏日服裝的可愛千歌圖案的胸章。\n限定版的設計是參加了夏日演唱會的證明。\n以千歌正在享受夏日的表情為魅力的品項。","1.21875","千歌的夏日版別針","3","11506","1"
"0.625","紡希登台！\n紡希在瓶蓋舞台上擺出了可愛的姿勢。\n能夠隨意地擺設在任何喜歡的地方。","0.75","紡希的造型瓶蓋","6","11601","1"
"0.625","身穿夏日服裝的紡希在瓶蓋上登台！\n能夠讓人回想起她穿著涼爽的服裝，\n不斷呈現出熾熱舞台表演的英姿。","0.75","紡希的夏日版造型瓶蓋","6","11602","1"
"0.625","望登台！\n望在瓶蓋舞台上擺出了可愛的姿勢。\n能夠隨意地擺設在任何喜歡的地方。","0.75","望的造型瓶蓋","6","11603","1"
"0.625","身穿夏日服裝的望在瓶蓋上登台！\n能夠讓人回想起她穿著涼爽的服裝，\n不斷呈現出熾熱舞台表演的英姿。","0.75","望的夏日版造型瓶蓋","6","11604","1"
"0.625","千歌登台！\n千歌在瓶蓋舞台上擺出了可愛的姿勢。\n能夠隨意地擺設在任何喜歡的地方。","0.75","千歌的造型瓶蓋","6","11605","1"
"0.625","身穿夏日服裝的千歌在瓶蓋上登台！\n能夠讓人回想起她穿著涼爽的服裝，\n不斷呈現出熾熱舞台表演的英姿。","0.75","千歌的夏日版造型瓶蓋","6","11606","1"
"0.890625","紡希的鑰匙圈尺寸掛軸。\n不只能裝飾在任何地方，還能掛在身上帶出門，是個萬能周邊。","0.8828125","紡希的迷你掛軸","4","11701","1"
"0.890625","望的鑰匙圈尺寸掛軸。\n不只能裝飾在任何地方，還能掛在身上帶出門，是個萬能周邊。","0.8828125","望的迷你掛軸","4","11702","1"
"0.890625","千歌的鑰匙圈尺寸掛軸。\n不只能裝飾在任何地方，還能掛在身上帶出門，是個萬能周邊。","0.8828125","千歌的迷你掛軸","4","11703","1"
