682a58caab4202b15d86a83e4cb72e85da1e45feb3d41638fab3a5b05f619d06,b2919d0647f629f6a9ce464d83b0ecaa85cf88af152c3fb94a7932a52caf9741,cc6336279785c7895e3f47cc59dbfd020f18c5bf5fd98b1d28419e87caa02e03,4539d4e58f9815c593cd851905686f619a9ed8b122ac6616f771317ba6914170,03a082464a8c7fd862060c2a80297d290ece4299a08732bcbe1d5ca9c52303ed,5785b2b2b6cd73250f8d9bfc61ee09f7439343505c9ef2476c3f1781ea547547
"20008002","2","20008104","0","1","20008"
"20008003","3","20008105","0","1","20008"
"20008004","4","20008107","0","1","20008"
"20008005","5","20008111","0","1","20008"
"20008006","201","0","0","2","20008"
"20008201","101","20008105","0","201","20008"
"20008202","102","20008107","0","201","20008"
"20008203","103","20008111","0","201","20008"
"20008204","111","20008115","0","202","20008"
"20008301","105601","0","0","101","20008"
"20008302","100901","20008103","0","101","20008"
"20008303","101301","20008104","0","101","20008"
"20008304","105601","20008105","0","101","20008"
"20008305","101301","20008107","0","101","20008"
"20008306","100901","20008111","0","101","20008"
"20008307","105601","0","0","102","20008"
"20010001","201","0","0","2","20010"
"20010002","1","20010110","0","1","20010"
"20010003","2","20010112","0","1","20010"
"20010004","3","20010115","0","1","20010"
"20010005","4","20010103","0","1","20010"
"20010006","5","20010105","0","1","20010"
"20010007","6","20010107","0","1","20010"
"20010008","7","20010109","0","1","20010"
"20010201","101","20010112","0","211","20010"
"20010202","0","20010115","0","211","20010"
"20010501","101461","20010110","101471","501","20010"
"20010502","101462","20010110","101472","501","20010"
"20010503","101463","20010110","101473","501","20010"
"20010531","211","2001004","0","3","20010"
"20012001","1","2001201","0","4","20012"
"20012002","2","2001202","0","4","20012"
"20012003","3","2001203","0","4","20012"
"20012004","4","2001204","0","4","20012"
"20012301","101","2001201","0","5","20012"
"20012302","101","2001202","0","5","20012"
"20012303","101","2001203","0","5","20012"
"20012401","501","0","0","6","20012"
"20012531","211","2001204","0","3","20012"
"20014531","211","2001404","0","3","20014"
"20016001","101921","20016112","101931","501","20016"
"20016002","101922","20016112","101932","501","20016"
"20016003","101923","20016112","101933","501","20016"
"20016004","100011","20016112","100351","501","20016"
"20016005","100012","20016112","100352","501","20016"
"20016006","100013","20016112","100353","501","20016"
"20016007","100014","20016112","100354","501","20016"
"20016008","100015","20016112","100355","501","20016"
"20016009","100016","20016112","100356","501","20016"
"20016010","100017","20016112","100357","501","20016"
"20016011","100018","20016112","100358","501","20016"
"20016012","100019","20016112","100359","501","20016"
"20046001","1","20046102","0","1","20046"
"20046002","2","20046112","0","1","20046"
"20046003","3","20046115","0","1","20046"
"20047001","1","20047102","0","1","20047"
"20047002","2","20047108","0","1","20047"
"20047003","3","20047115","0","1","20047"
