34c3ecf2270857e0fe4e7fedb7aeb8fd15a12f237139fb0b4e0533932b2c4ba2,26f83f9183e2145cec37bc9948b67d2c85fa6eaa49f2cc466f9a4ba03a1a073d,286f27d8e75745e1cee127e7cc688a1de32a7ca0244bba3c589c9697a9a5ddf9,26694593eb394f9fdf5a031cd32969c77f252e4587c16f47ee3acdbb058def81,8a47e09104ef4f7118e1955815131a00b71e51a5806cacc14389600685697964,8d0f84ad973a89a10af958eae643538621a9cf9c2f47957690dcc1e2db1a9cc0,332e492f87f7a4fabc6a68a821e4688d912704767dae16b25048a0ed53c469a9,02bccbf18ff99f045ad3ec8d30e2dfb101c4ca6f51ced1f6290eeb4948d24704,076de07176b753dce2fb2bf63186bfc8d71282970499e3a719b249a8e97b40e2,a4edeef5730adbc515dddde4be5ae68d62b7f8d83b6316f06f7ac9f524790c6d,a588ef7ad1bbbe2a7292178f05c8cd29e86b48f3037e6476b59099e974a21e7b
"<weapon>_run","0","","1002002","1","0","3","","103110056","311",""
"<weapon>_run","0","","1002003","1","0","3","","103110057","311",""
"<weapon>_run","0","","1002004","1","0","3","","103110058","311",""
"<weapon>_run","0","","1002005","1","0","3","","103110059","311",""
"700","","3","1002001","-60","0","2","","103110060","311",""
"630","","3","1002002","15","0","2","","103110061","311",""
"560","","3","1002003","-75","0","2","","103110062","311",""
"490","","3","1002004","15","0","2","","103110063","311",""
"420","","3","1002005","-60","0","2","","103110064","311",""
"700","","3","1002001","-60","0","33","","103110065","311",""
"630","","3","1002002","15","0","33","","103110066","311",""
"560","","3","1002003","-75","0","33","","103110067","311",""
"490","","3","1002004","15","0","33","","103110068","311",""
"420","","3","1002005","-60","0","33","","103110069","311",""
"<weapon>_run","0","","1003001","1","0","3","","103110070","311",""
"<weapon>_run","0","","1003002","1","0","3","","103110071","311",""
"<weapon>_run","0","","1003003","1","0","3","","103110072","311",""
"<weapon>_run","0","","1003004","1","0","3","","103110073","311",""
"<weapon>_run","0","","1003005","1","0","3","","103110074","311",""
"450","","3","1003001","-250","0","2","","103110075","311",""
"380","","3","1003002","-175","0","2","","103110076","311",""
"310","","3","1003003","-265","0","2","","103110077","311",""
"240","","3","1003004","-175","0","2","","103110078","311",""
"170","","3","1003005","-250","0","2","","103110079","311",""
"450","","3","1003001","-250","0","33","","103110080","311",""
"380","","3","1003002","-175","0","33","","103110081","311",""
"310","","3","1003003","-265","0","33","","103110082","311",""
"240","","3","1003004","-175","0","33","","103110083","311",""
"170","","3","1003005","-250","0","33","","103110084","311",""
"1","","","10020","","","32","","103110085","311",""
"0","","","2.5","","","93","","103110086","311",""
"1","","","10031","","","32","","103110087","311",""
"0","","","0.4","","","93","","103110088","311",""
"0","","","0","","","91","","103110089","311",""
