e82db369f3bbe3ba76ab5b5196e43fdb20684b46cb00a6e8dffea8c3dbbbdb1f,68827ae8d493c69735a42ba13fc8e44f7b2cf63c133e963ad4febf26e272feb9,90be7cc2709115031503338d9a84445ee4fa5963c62a618bee536201355e1bcd,ba8e9209cd67580b83e3b4afe163871fb3ec267f46556b85d4a218b22e72dc24,6db26a509b9091dfb73d933a50a3399d99345b85e4ddcbf7c38ee27cc6175bfc,bc34bed36e7b79d7bc827457327386d80b65cf7de20f440cf4084c0851b326d0,7bd236e9f196c29e094b5ea9538072772393140218996e2a380243cb68435931,6af5d6c14d8ce1a717ccec1db7bb2491916062233c7732f4e7e8d809df06ffe6,03615f436f5f7b90408aba2be1207ff87bb267a84a1281713ce667112698fb93,a3be463720792df16f2d67ba334b733fd0897b62e8692ea1e08587948b736e99,21cefaf352ec447de9ea007b945e9f3fd02102dbf99d1b1b47c03fccd7ad3651
"505","","0","121","121010011","1.47","100","-1.47","2101","2",""
"1000001","","0.2","3","121010012","","run_talk1","1","2101","",""
"1000001","","","2","121010013","1","100","-240","2101","0",""
"se_travel","","","23","121010014","","se_travel_treasure_cha_run","0","2101","",""
"1","","","93","121010015","","0","","2101","",""
"11","","0","31","122010001","0","998","0","2201","1",""
"13","","0","31","122010002","0","997","0","2201","1",""
"15","","0","31","122010003","0","996","0","2201","1",""
"31000001","","","32","122010004","","0","","2201","",""
"31000002","","","32","122010005","","0","","2201","",""
"1","","","35","122010006","","1","","2201","",""
"3","","","35","122010007","","1","","2201","",""
"1000001","","0","3","122010008","","pointing","0","2201","",""
"1","","","93","122010009","","0","","2201","",""
"-505","","0","121","122010010","1.47","100","1.47","2201","2",""
"1000001","","0.2","3","122010011","","run_talk1","1","2201","",""
"1000001","","","2","122010012","1","100","-240","2201","0",""
"se_travel","","","23","122010013","","se_travel_treasure_cha_run","0","2201","",""
"1","","","93","122010014","","0","","2201","",""
"300000","","0","31","130000001","0","300000","345.4","3000","1",""
"0","","","91","130000002","","","","3000","",""
"1.05","","0","123","130000003","1.05","1.05","1.05","3000","7.4",""
"1000001","","0.2","3","130000004","","wait","0","3000","",""
"2","","","35","130000005","","1","","3000","",""
"4.9","","","93","130000006","","0","","3000","",""
"0.95","","0","123","130000007","0.95","0.95","0.95","3000","0.4",""
"300000","","","32","130000008","","1","","3000","",""
"0.1","","","93","130000009","","0","","3000","",""
"2","","","32","130000010","","0","","3000","",""
"0.1","","","93","130000011","","0","","3000","",""
"996","","","32","130000012","","1","","3000","",""
"1000001","","0","3","130000013","","joy_from_wait","0","3000","",""
"1.9","","","93","130000014","","0","","3000","",""
"1000001","","0","3","130000015","","glad_from_joy","0","3000","",""
"1.5","","","93","130000016","","0","","3000","",""
"1000001","","0.2","3","130000017","","run_gatein","1","3000","",""
"se_travel","","","23","130000018","","se_travel_treasure_cha_run","","3000","",""
"1000001","","","2","130000019","1","450","-195","3000","0",""
"0.5","","","93","130000020","","1","","3000","",""
"1000001","","0.4","6","130000021","1","1","1","3000","0","0"
"0.4","","","93","130000022","","0","","3000","",""
"1","","","113","130000023","","","","3000","",""
"300100","","0","31","130010001","0","300100","345.4","3001","1",""
"990001","","1","31","130010002","0","990001","345.4","3001","1",""
"0","","","91","130010003","","","","3001","",""
"1.05","","0","123","130010004","1.05","1.05","1.05","3001","7.4",""
"1000001","","0.2","3","130010005","","wait","0","3001","",""
"2","","","35","130010006","","1","","3001","",""
"5.4","","","93","130010007","","0","","3001","",""
"0.95","","0","123","130010008","0.95","0.95","0.95","3001","0.4",""
"1000001","","0.2","3","130010009","","glad","0","3001","",""
"300100","","","32","130010010","","1","","3001","",""
"996","","","32","130010011","","1","","3001","",""
"0.1","","","93","130010012","","0","","3001","",""
"2","","","32","130010013","","0","","3001","",""
"3","","","32","130010014","","0","","3001","",""
"1.5","","","93","130010015","","0","","3001","",""
"1000001","","0.2","3","130010016","","joy","0","3001","",""
"1.7","","","93","130010017","","0","","3001","",""
"1000001","","0","3","130010018","","run_gatein","1","3001","",""
"1000001","","","2","130010019","1","450","-195","3001","0",""
"0.5","","","93","130010020","","1","","3001","",""
"1000001","","0.4","6","130010021","1","1","1","3001","0","0"
"0.4","","","93","130010022","","0","","3001","",""
"1","","","113","130010023","","","","3001","",""
"300100","","0","31","130020001","0","300100","345.4","3002","1",""
"990002","","1","31","130020002","0","990002","345.4","3002","1",""
"0","","","91","130020003","","","","3002","",""
"1.05","","0","123","130020004","1.05","1.05","1.05","3002","7.4",""
"1000001","","0.2","3","130020005","","wait","0","3002","",""
"2","","","35","130020006","","1","","3002","",""
"5.4","","","93","130020007","","0","","3002","",""
"0.95","","0","123","130020008","0.95","0.95","0.95","3002","0.4",""
"1000001","","0.2","3","130020009","","glad","0","3002","",""
"300100","","","32","130020010","","1","","3002","",""
"996","","","32","130020011","","1","","3002","",""
"0.1","","","93","130020012","","0","","3002","",""
"2","","","32","130020013","","0","","3002","",""
"3","","","32","130020014","","0","","3002","",""
"1.5","","","93","130020015","","0","","3002","",""
"1000001","","0.2","3","130020016","","joy","0","3002","",""
"1.7","","","93","130020017","","0","","3002","",""
"1000001","","0","3","130020018","","run_gatein","1","3002","",""
"1000001","","","2","130020019","1","450","-195","3002","0",""
"0.5","","","93","130020020","","1","","3002","",""
"1000001","","0.4","6","130020021","1","1","1","3002","0","0"
"0.4","","","93","130020022","","0","","3002","",""
"1","","","113","130020023","","","","3002","",""
"6","","0","31","130110001","0","6","345.4","3011","1",""
"8","","0","31","130110002","0","8","345.4","3011","1",""
"301100","","0","31","130110003","0","301100","345.4","3011","1",""
"0","","","91","130110004","","","","3011","",""
"1.05","","0","123","130110005","1.05","1.05","1.05","3011","7.4",""
"1000001","","0.2","3","130110006","","wait","0","3011","",""
"2","","","35","130110007","","1","","3011","",""
"4.9","","","93","130110008","","0","","3011","",""
"0.95","","0","123","130110009","0.95","0.95","0.95","3011","0.3",""
"se_travel","","","23","130110010","","se_travel_treasure_ghost_success","0","3011","",""
"8","","","32","130110011","","1","","3011","",""
"8","","","35","130110012","","0","","3011","",""
"6","","","32","130110013","","1","","3011","",""
"0.1","","","93","130110014","","0","","3011","",""
"2","","","32","130110015","","0","","3011","",""
"3","","","32","130110016","","0","","3011","",""
"1000001","","","3","130110017","","dotEyes","0","3011","",""
"0.87","","","93","130110018","","0","","3011","",""
"1000001","","0.2","3","130110019","","glad","0","3011","",""
"301100","","","32","130110020","","1","","3011","",""
"8","","","35","130110021","","1","","3011","",""
"0.6","","","93","130110022","","0","","3011","",""
"996","","","32","130110023","","1","","3011","",""
"0.5","","","93","130110024","","0","","3011","",""
"1000001","","","3","130110025","","joy","0","3011","",""
"1.67","","","93","130110026","","0","","3011","",""
"1000001","","0","3","130110027","","run_gatein","1","3011","",""
"1000001","","","2","130110028","1","450","-195","3011","0",""
"0.5","","","93","130110029","","1","","3011","",""
"1000001","","0.4","6","130110030","1","1","1","3011","0","0"
"0.4","","","93","130110031","","0","","3011","",""
"1","","","113","130110032","","","","3011","",""
"1000001","","0.2","3","130120001","","idle","1","3012","",""
"301200","","0","31","130120002","0","13","0","3012","1",""
"101","","0","31","130120003","0","14","0","3012","1",""
"301204","","0","31","130120004","-150","16","260","3012","1",""
"301205","","0","31","130120005","0","17","0","3012","1",""
"6","","0","31","130120006","0","18","345.4","3012","1",""
"301201","","0","31","130120007","0","20","345.4","3012","1",""
"301202","","0","31","130120008","0","21","345.4","3012","1",""
"1","round_monster_walk","1","5","130120009","9340","3","55","3012","-234","0"
"0","","","91","130120010","","","","3012","",""
"3","","0","6","130120011","1","1","1","3012","0","0"
"3","","0","2","130120012","0","345","-234","3012","0","0"
"1.05","","0","123","130120013","1.05","1.05","1.05","3012","7.4","0"
"1000001","","0.2","3","130120014","","wait","0","3012","",""
"2","","","35","130120015","","1","","3012","",""
"301203","","0","31","130120016","0","15","0","3012","1",""
"2","<weapon>_run","0.89","1","130120017","9340","1000002","57","3012","-250","0"
"4.3","","","93","130120018","","0","","3012","",""
"0.95","","0","123","130120019","0.95","0.95","0.95","3012","0.4",""
"21","","","32","130120020","","1","","3012","",""
"21","","","35","130120021","","0","","3012","",""
"se_travel","","","23","130120022","","se_travel_treasure_success_monster_helper_1","","3012","",""
"18","","","32","130120023","","1","","3012","",""
"0.1","","","93","130120024","","0","","3012","",""
"2","","","32","130120025","","0","","3012","",""
"3","","0.3","6","130120026","1","1","1","3012","1","0"
"13","","","32","130120027","","1","","3012","",""
"3","","","3","130120028","","round_monster_appear","0","3012","",""
"1000001","","","3","130120029","","back","0","3012","",""
"0.67","","","93","130120030","","0","","3012","",""
"3","","0.2","3","130120031","","round_monster_walk","0","3012","",""
"3","","","2","130120032","1.4","220","-234","3012","0",""
"20","","","32","130120033","","1","","3012","",""
"0.1","","","93","130120034","","0","","3012","",""
"18","","","32","130120035","","0","","3012","",""
"0.5","","","93","130120036","","0","","3012","",""
"1000002","","","4","130120037","","1","","3012","",""
"1000002","","","2","130120038","0","1445","-240","3012","0",""
"0.5","","","93","130120039","","0","","3012","",""
"3","","0.3","3","130120040","","round_monster_attack","0","3012","",""
"0.5","","","93","130120041","","0","","3012","",""
"17","","","32","130120042","","1","","3012","",""
"1000001","","0.1","3","130120043","","back_loop","0","3012","",""
"0.5","","","93","130120044","","0","","3012","",""
"1000002","","","2","130120045","0","950","-240","3012","0",""
"1000002","","","2","130120046","0.16","650","-240","3012","0",""
"1000002","","0.2","3","130120047","","<weapon>_run","0","3012","",""
"0.16","","","93","130120048","","0","","3012","",""
"1000002","","0.2","3","130120049","","<weapon>_attack_skipQuest","0","3012","",""
"0.1","","","93","130120050","","0","","3012","",""
"3","","","2","130120051","0","280","-234","3012","0",""
"3","","","4","130120052","","1","","3012","",""
"3","","0.2","3","130120053","","round_monster_die","0","3012","",""
"16","","","32","130120054","","1","","3012","",""
"0.5","","","93","130120055","","0","","3012","",""
"1000001","","","2","130120056","0","20","-240","3012","0",""
"1000001","","0","3","130120057","","back_origin","0","3012","",""
"1000001","","0.2","3","130120058","","surprise","0","3012","",""
"1000002","","0.2","3","130120059","","<weapon>_idle","1","3012","",""
"0.66","","","93","130120060","","0","","3012","",""
"15","","","32","130120061","","1","","3012","",""
"996","","","32","130120062","","1","","3012","",""
"3","","0.6","6","130120063","1","1","1","3012","0",""
"1000001","","0.2","3","130120064","","joy_short","0","3012","",""
"18","","","32","130120065","","1","","3012","",""
"0.02","","","93","130120066","","0","","3012","",""
"20","","","32","130120067","","0","","3012","",""
"21","","","32","130120068","","0","","3012","",""
"1.5","","","93","130120069","","0","","3012","",""
"1000001","","0.2","3","130120070","","smile","0","3012","",""
"1000002","","0","3","130120071","","<weapon>_run","1","3012","",""
"1000002","","","4","130120072","","0","","3012","",""
"1000002","","","2","130120073","2","1500","-250","3012","0",""
"1","","","93","130120074","","0","","3012","",""
"1000002","","0.2","6","130120075","1","1","1","3012","0",""
"1000001","","0.2","3","130120076","","run_gatein","1","3012","",""
"1000001","","","2","130120077","1","360","-200","3012","0",""
"0.5","","","93","130120078","","0","","3012","",""
"1000001","","0.4","6","130120079","1","1","1","3012","0",""
"0.4","","","93","130120080","","0","","3012","",""
"1","","","113","130120081","","0","","3012","",""
"301300","","0","31","130130001","0","301300","345.4","3013","1",""
"0","","","91","130130002","","","","3013","",""
"1000001","","0.2","3","130130003","","wait_gradeUp","0","3013","",""
"301300","","","32","130130004","","1","","3013","",""
"0.1","","","93","130130005","","0","","3013","",""
"2","","","32","130130006","","0","","3013","",""
"0.8","","","93","130130007","","0","","3013","",""
"1.05","","0","123","130130008","1.05","1.05","1.05","3013","0",""
"5","","","122","130130009","","5","0.5","3013","",""
"1.1","","","93","130130010","","0","","3013","",""
"1.05","","0","123","130130011","1.05","1.05","1.05","3013","0",""
"10","","","122","130130012","","10","0.5","3013","",""
"0.8","","","93","130130013","","0","","3013","",""
"1000001","","0.2","3","130130014","","glad","0","3013","",""
"0.1","","","93","130130015","","0","","3013","",""
"0.907","","2","123","130130016","0.907","0.907","0.907","3013","2",""
"0.3","","","93","130130017","","0","","3013","",""
"996","","","32","130130018","","1","","3013","",""
"0.5","","","93","130130019","","0","","3013","",""
"1000001","","0.2","3","130130020","","joy","0","3013","",""
"1.7","","","93","130130021","","0","","3013","",""
"1000001","","0","3","130130022","","run_gatein","1","3013","",""
"1000001","","","2","130130023","1","450","-195","3013","0",""
"0.5","","","93","130130024","","1","","3013","",""
"1000001","","0.4","6","130130025","1","1","1","3013","0","0"
"0.4","","","93","130130026","","0","","3013","",""
"1","","","113","130130027","","","","3013","",""
"301400","","0","31","130140001","0","301400","345.4","3014","1",""
"0","","","91","130140002","","","","3014","",""
"1.05","","0","123","130140003","1.05","1.05","1.05","3014","7.4",""
"1000001","","0.2","3","130140004","","wait","0","3014","",""
"301400","","","32","130140005","","1","","3014","",""
"0.1","","","93","130140006","","0","","3014","",""
"2","","","32","130140007","","0","","3014","",""
"3.4","","","93","130140008","","0","","3014","",""
"0.95","","5","123","130140009","0.95","0.95","0.95","3014","3.2",""
"1.6","","","93","130140010","","0","","3014","",""
"1000001","","0.2","3","130140011","","relief","0","3014","",""
"996","","","32","130140012","","1","","3014","",""
"1.7","","","93","130140013","","0","","3014","",""
"1000001","","0","3","130140014","","run_gatein","1","3014","",""
"1000001","","","2","130140015","1","450","-195","3014","0",""
"0.5","","","93","130140016","","1","","3014","",""
"1000001","","0.4","6","130140017","1","1","1","3014","0","0"
"0.4","","","93","130140018","","0","","3014","",""
"1","","","113","130140019","","","","3014","",""
"301501","","0","31","130150001","0","301501","345.4","3015","1",""
"301500","","1","31","130150002","0","301500","345.4","3015","1",""
"0","","","91","130150003","","","","3015","",""
"1.05","","0","123","130150004","1.05","1.05","1.05","3015","7.4",""
"1000001","","0.2","3","130150005","","wait_wakuwaku","0","3015","",""
"2","","","35","130150006","","1","","3015","",""
"5.4","","","93","130150007","","0","","3015","",""
"0.95","","0","123","130150008","0.95","0.95","0.95","3015","0.4",""
"1000001","","0.2","3","130150009","","glad","0","3015","",""
"301501","","","32","130150010","","1","","3015","",""
"996","","","32","130150011","","1","","3015","",""
"0.1","","","93","130150012","","0","","3015","",""
"2","","","32","130150013","","0","","3015","",""
"3","","","32","130150014","","0","","3015","",""
"1.5","","","93","130150015","","0","","3015","",""
"1000001","","0.2","3","130150016","","joy","0","3015","",""
"1.7","","","93","130150017","","0","","3015","",""
"1000001","","0","3","130150018","","run_gatein","1","3015","",""
"1000001","","","2","130150019","1","450","-195","3015","0",""
"0.5","","","93","130150020","","1","","3015","",""
"1000001","","0.4","6","130150021","1","1","1","3015","0","0"
"0.4","","","93","130150022","","0","","3015","",""
"1","","","113","130150023","","","","3015","",""
"6","","0","31","130160001","0","6","345.4","3016","1",""
"8","","0","31","130160002","0","8","345.4","3016","1",""
"301600","","0","31","130160003","-80","301600","345.4","3016","1",""
"301601","","0","31","130160004","0","301601","345.4","3016","1",""
"990002","","1","31","130160005","0","990002","345.4","3016","1",""
"0","","","91","130160006","","","","3016","",""
"1.05","","0","123","130160007","1.05","1.05","1.05","3016","7.4",""
"1000001","","0.2","3","130160008","","wait","0","3016","",""
"2","","","35","130160009","","1","","3016","",""
"5.4","","","93","130160010","","0","","3016","",""
"0.95","","0","123","130160011","0.95","0.95","0.95","3016","0.4",""
"8","","","32","130160012","","1","","3016","",""
"8","","","35","130160013","","0","","3016","",""
"301600","","","32","130160014","","1","","3016","",""
"6","","","32","130160015","","1","","3016","",""
"0.1","","","93","130160016","","0","","3016","",""
"2","","","32","130160017","","0","","3016","",""
"3","","","32","130160018","","0","","3016","",""
"1000001","","0.1","3","130160019","","glad","0","3016","",""
"se_travel","","","23","130160020","","se_travel_treasure_success_butterfly","0","3016","",""
"0.5","","","93","130160021","","0","","3016","",""
"8","","","35","130160022","","1","","3016","",""
"1.1","","","93","130160023","","0","","3016","",""
"301601","","","32","130160024","","1","","3016","",""
"996","","","32","130160025","","1","","3016","",""
"1000001","","0.2","3","130160026","","joy","0","3016","",""
"1.67","","","93","130160027","","0","","3016","",""
"1000001","","0","3","130160028","","run_gatein","1","3016","",""
"se_travel","","","23","130160029","","se_travel_treasure_cha_run","0","3016","",""
"1000001","","","2","130160030","1","450","-195","3016","0",""
"0.5","","","93","130160031","","1","","3016","",""
"1000001","","0.4","6","130160032","1","1","1","3016","0","0"
"0.4","","","93","130160033","","0","","3016","",""
"1","","","113","130160034","","","","3016","",""
"310000","","0","31","130170001","0","310000","345.4","3017","1",""
"310001","","0","31","130170002","0","310001","0","3017","1",""
"301700","","0","31","130170003","0","301700","345.4","3017","1",""
"301701","","0","31","130170004","-115","301701","740","3017","1",""
"301702","","0","31","130170005","0","301702","345.4","3017","1",""
"301703","","0","31","130170006","0","301703","345.4","3017","1",""
"5","empty","0.44","5","130170007","610","15","100","3017","-235","0"
"5","empty","0.44","5","130170008","610","16","55","3017","-235","0"
"0","","","91","130170009","","","","3017","",""
"1.05","","0","123","130170010","1.05","1.05","1.05","3017","7.4",""
"1000001","","0.2","3","130170011","","wait","0","3017","",""
"2","","","35","130170012","","1","","3017","",""
"5.4","","","93","130170013","","0","","3017","",""
"0.95","","0","123","130170014","0.95","0.95","0.95","3017","0.3",""
"310000","","","32","130170015","","1","","3017","",""
"310001","","","32","130170016","","1","","3017","",""
"0.2","","","93","130170017","","0","","3017","",""
"50","","","122","130170018","","50","0.6","3017","",""
"1000001","","0.2","3","130170019","","shock","0","3017","",""
"1.6","","","93","130170020","","0","","3017","",""
"301700","","","32","130170021","","1","","3017","",""
"1.2","","","93","130170022","","0","","3017","",""
"se_travel","","","23","130170023","","se_travel_treasure_croce_ui","0","3017","",""
"15","","","3","130170024","","punch","0","3017","",""
"16","","","3","130170025","","punch_B","0","3017","",""
"0.2","","","93","130170026","","0","","3017","",""
"1.05","","11","123","130170027","1.05","1.05","1.05","3017","0.1",""
"0.1","","","93","130170028","","0","","3017","",""
"0.95","","0","123","130170029","0.95","0.95","0.95","3017","0.3",""
"1","","","93","130170030","","0","","3017","",""
"se_travel","","","23","130170031","","se_travel_treasure_croce_door","0","3017","",""
"0.4","","","93","130170032","","0","","3017","",""
"301701","","","32","130170033","","1","","3017","",""
"0.9","","","93","130170034","","0","","3017","",""
"1.05","","0","123","130170035","1.05","1.05","1.05","3017","0",""
"75","","","122","130170036","","75","0.6","3017","",""
"301702","","","32","130170037","","1","","3017","",""
"0.4","","","93","130170038","","0","","3017","",""
"2","","","32","130170039","","0","","3017","",""
"310000","","","32","130170040","","0","","3017","",""
"0.4","","","93","130170041","","0","","3017","",""
"0.95","","11","123","130170042","0.95","0.95","0.95","3017","2",""
"0.2","","","93","130170043","","0","","3017","",""
"1000001","","0.2","3","130170044","","glad","0","3017","",""
"301703","","","32","130170045","","1","","3017","",""
"0.1","","","93","130170046","","0","","3017","",""
"996","","","32","130170047","","1","","3017","",""
"0.9","","","93","130170048","","0","","3017","",""
"1000001","","0.2","3","130170049","","joy","0","3017","",""
"1.7","","","93","130170050","","0","","3017","",""
"1000001","","0","3","130170051","","run_gatein","1","3017","",""
"se_travel","","","23","130170052","","se_travel_treasure_cha_run","","3017","",""
"1000001","","","2","130170053","1","450","-195","3017","0",""
"0.5","","","93","130170054","","1","","3017","",""
"1000001","","0.4","6","130170055","1","1","1","3017","0","0"
"0.4","","","93","130170056","","0","","3017","",""
"1","","","113","130170057","","","","3017","",""
"310000","","0","31","131000001","0","310000","345.4","3100","1",""
"310001","","0","31","131000002","0","310001","0","3100","1",""
"0","","","91","131000003","","","","3100","",""
"1.05","","0","123","131000004","1.05","1.05","1.05","3100","7.4",""
"1000001","","0.2","3","131000005","","wait","0","3100","",""
"2","","","35","131000006","","1","","3100","",""
"5.4","","","93","131000007","","0","","3100","",""
"0.95","","0","123","131000008","0.95","0.95","0.95","3100","0.3",""
"310000","","","32","131000009","","1","","3100","",""
"310001","","","32","131000010","","1","","3100","",""
"0.2","","","93","131000011","","0","","3100","",""
"50","","","122","131000012","","50","0.6","3100","",""
"1000001","","0.2","3","131000013","","shock","0","3100","",""
"1.6","","","93","131000014","","0","","3100","",""
"2","","","113","131000015","","","","3100","",""
"6","","0","31","131110001","0","6","345.4","3111","1",""
"7","","0","31","131110002","0","7","345.4","3111","1",""
"8","","0","31","131110003","0","8","345.4","3111","1",""
"3","appear","1.3","5","131110004","8000","13","55","3111","0","0"
"0","","","91","131110005","","","","3111","",""
"13","","0","6","131110006","1","1","1","3111","0","0"
"13","","","2","131110007","0","95","-250","3111","0",""
"1.05","","0","123","131110008","1.05","1.05","1.05","3111","7.4",""
"1000001","","0.2","3","131110009","","wait","0","3111","",""
"2","","","35","131110010","","1","","3111","",""
"4.9","","","93","131110011","","0","","3111","",""
"0.95","","0","123","131110012","0.95","0.95","0.95","3111","0.3",""
"se_travel","","","23","131110013","","se_travel_treasure_ghost_fail","0","3111","",""
"8","","","32","131110014","","1","","3111","",""
"8","","","35","131110015","","0","","3111","",""
"6","","","32","131110016","","1","","3111","",""
"0.1","","","93","131110017","","0","","3111","",""
"2","","","32","131110018","","0","","3111","",""
"3","","","32","131110019","","0","","3111","",""
"1000001","","","3","131110020","","dotEyes","0","3111","",""
"0.3","","","93","131110021","","0","","3111","",""
"13","","","3","131110022","","appear","0","3111","",""
"13","","0","6","131110023","1","1","1","3111","1","0"
"0.67","","","93","131110024","","0","","3111","",""
"1000001","","","3","131110025","","shock_jump","0","3111","",""
"1000001","","","2","131110026","1","70","-250","3111","0",""
"1.1","","","93","131110027","","0","","3111","",""
"1000001","","","3","131110028","","escape","1","3111","",""
"1000001","","","2","131110029","1.2","-350","-250","3111","0",""
"13","","","3","131110030","","march","0","3111","",""
"0.2","","","93","131110031","","0","","3111","",""
"7","","","32","131110032","","1","","3111","",""
"0.1","","","93","131110033","","0","","3111","",""
"6","","","32","131110034","","0","","3111","",""
"1.6","","","93","131110035","","0","","3111","",""
"2","","","113","131110036","","","","3111","",""
"1000001","","0.2","3","131120001","","idle","1","3112","",""
"301200","","0","31","131120002","0","13","0","3112","1",""
"101","","0","31","131120003","0","14","0","3112","1",""
"301205","","0","31","131120004","0","15","0","3112","1",""
"301206","","0","31","131120005","-170","16","130","3112","1",""
"6","","0","31","131120006","0","18","345.4","3112","1",""
"301201","","0","31","131120007","0","20","345.4","3112","1",""
"301202","","0","31","131120008","0","21","345.4","3112","1",""
"1","round_monster_walk","1","5","131120009","9340","3","55","3112","-234","0"
"0","","","91","131120010","","","","3112","",""
"3","","0","6","131120011","1","1","1","3112","0","0"
"3","","0","2","131120012","0","345","-234","3112","0","0"
"1.05","","0","123","131120013","1.05","1.05","1.05","3112","7.4","0"
"1000001","","0.2","3","131120014","","wait","0","3112","",""
"2","","","35","131120015","","1","","3112","",""
"4.3","","","93","131120016","","0","","3112","",""
"0.95","","0","123","131120017","0.95","0.95","0.95","3112","0.4",""
"21","","","32","131120018","","1","","3112","",""
"21","","","35","131120019","","0","","3112","",""
"se_travel","","","23","131120020","","se_travel_treasure_monster_failure","","3112","",""
"18","","","32","131120021","","1","","3112","",""
"0.1","","","93","131120022","","0","","3112","",""
"2","","","32","131120023","","0","","3112","",""
"3","","0.3","6","131120024","1","1","1","3112","1","0"
"13","","","32","131120025","","1","","3112","",""
"3","","","3","131120026","","round_monster_appear","0","3112","",""
"1000001","","","3","131120027","","back","0","3112","",""
"0.67","","","93","131120028","","0","","3112","",""
"3","","0.2","3","131120029","","round_monster_walk","0","3112","",""
"3","","0","2","131120030","1.4","220","-234","3112","0","0"
"20","","","32","131120031","","1","","3112","",""
"0.1","","","93","131120032","","0","","3112","",""
"18","","","32","131120033","","0","","3112","",""
"1","","","93","131120034","","0","","3112","",""
"3","","0.3","3","131120035","","round_monster_attack","0","3112","",""
"0.5","","","93","131120036","","0","","3112","",""
"15","","","32","131120037","","1","","3112","",""
"1000001","","0.2","3","131120038","","back_loop","1","3112","",""
"1","","","93","131120039","","0","","3112","",""
"16","","","32","131120040","","1","","3112","",""
"0","","","122","131120041","","50","0.5","3112","",""
"1000001","","","2","131120042","0","40","-250","3112","0",""
"1000001","","0","3","131120043","","shock_jump","0","3112","",""
"0.6","","","93","131120044","","0","","3112","",""
