20b222b8f5d6c07ee6618b0c9c7d9a10060f9e508e141f76c134d75150b264f6,a0a74f0b9eb62896edd643cec324058c1e90d19137e4bb7336ac046afaf66bd0,5cec753b2d7c3f5792e2263dcb618ce6e898412518e595e3ca1b1694006ff568,cdfae72bf789d5fe6dfd46aee2dcfb3a5b9e1398437aa64fb41a77574372f418,5654a073bbaedbbfcb8560262a7988623c609e8f274e12311570b770219a6e95,64831c161b0ff2230fb28cfb40da6e666f55c6ab430e8cbae94e78b1606a43d3,6f5e60026cd749d0db18912e16801e0c103029dc27bad060182766f2b3631198
"180010743","18001004","180010742","160","180010741","169","31"
"180010843","18001004","180010842","170","180010841","179","32"
"180010943","18001004","180010942","180","180010941","189","33"
"180011043","18001004","180011042","190","180011041","199","34"
"180011143","18001004","180011142","200","180011141","-1","35"
"180010153","18001005","180010152","1","180010151","59","36"
"180010253","18001005","180010252","60","180010251","99","37"
"180010353","18001005","180010352","100","180010351","119","38"
"180010453","18001005","180010452","120","180010451","139","39"
"180010553","18001005","180010552","140","180010551","149","40"
"180010653","18001005","180010652","150","180010651","159","41"
"180010753","18001005","180010752","160","180010751","169","42"
"180010853","18001005","180010852","170","180010851","179","43"
"180010953","18001005","180010952","180","180010951","189","44"
"180011053","18001005","180011052","190","180011051","199","45"
"180011153","18001005","180011152","200","180011151","209","46"
"180011253","18001005","180011252","210","180011251","219","47"
"180011353","18001005","180011352","220","180011351","229","48"
"180011453","18001005","180011452","230","180011451","239","49"
"180011553","18001005","180011552","240","180011551","-1","50"
"180010163","18001006","180010162","1","180010161","59","51"
"180010263","18001006","180010262","60","180010261","99","52"
"180010363","18001006","180010362","100","180010361","119","53"
"180010463","18001006","180010462","120","180010461","139","54"
"180010563","18001006","180010562","140","180010561","149","55"
"180010663","18001006","180010662","150","180010661","159","56"
"180010763","18001006","180010762","160","180010761","169","57"
"180010863","18001006","180010862","170","180010861","179","58"
"180010963","18001006","180010962","180","180010961","189","59"
"180011063","18001006","180011062","190","180011061","199","60"
"180011163","18001006","180011162","200","180011161","209","61"
"180011263","18001006","180011262","210","180011261","219","62"
"180011363","18001006","180011362","220","180011361","229","63"
"180011463","18001006","180011462","230","180011461","239","64"
"180011563","18001006","180011562","240","180011561","249","65"
"180011663","18001006","180011662","250","180011661","259","66"
"180011763","18001006","180011762","260","180011761","-1","67"
"180010173","18001007","180010172","1","180010171","59","68"
"180010273","18001007","180010272","60","180010271","99","69"
"180010373","18001007","180010372","100","180010371","119","70"
"180010473","18001007","180010472","120","180010471","139","71"
"180010573","18001007","180010572","140","180010571","149","72"
"180010673","18001007","180010672","150","180010671","159","73"
"180010773","18001007","180010772","160","180010771","169","74"
"180010873","18001007","180010872","170","180010871","179","75"
"180010973","18001007","180010972","180","180010971","189","76"
"180011073","18001007","180011072","190","180011071","199","77"
"180011173","18001007","180011172","200","180011171","209","78"
"180011273","18001007","180011272","210","180011271","219","79"
"180011373","18001007","180011372","220","180011371","229","80"
"180011473","18001007","180011472","230","180011471","239","81"
"180011573","18001007","180011572","240","180011571","249","82"
"180011673","18001007","180011672","250","180011671","259","83"
"180011773","18001007","180011772","260","180011771","269","84"
"180011873","18001007","180011872","270","180011871","279","85"
"180011973","18001007","180011972","280","180011971","-1","86"
"180010183","18001008","180010182","1","180010181","59","87"
"180010283","18001008","180010282","60","180010281","99","88"
"180010383","18001008","180010382","100","180010381","119","89"
"180010483","18001008","180010482","120","180010481","139","90"
"180010583","18001008","180010582","140","180010581","149","91"
"180010683","18001008","180010682","150","180010681","159","92"
"180010783","18001008","180010782","160","180010781","169","93"
"180010883","18001008","180010882","170","180010881","179","94"
"180010983","18001008","180010982","180","180010981","189","95"
"180011083","18001008","180011082","190","180011081","199","96"
"180011183","18001008","180011182","200","180011181","209","97"
"180011283","18001008","180011282","210","180011281","219","98"
"180011383","18001008","180011382","220","180011381","229","99"
"180011483","18001008","180011482","230","180011481","239","100"
"180011583","18001008","180011582","240","180011581","249","101"
"180011683","18001008","180011682","250","180011681","259","102"
"180011783","18001008","180011782","260","180011781","269","103"
"180011883","18001008","180011882","270","180011881","279","104"
"180011983","18001008","180011982","280","180011981","289","105"
"180012083","18001008","180012082","290","180012081","-1","106"
"190010113","19001001","190010112","1","190010111","59","1001"
"190010213","19001001","190010212","60","190010211","99","1002"
"190010313","19001001","190010312","100","190010311","119","1003"
"190010413","19001001","190010412","120","190010411","139","1004"
"190010513","19001001","190010512","140","190010511","149","1005"
"190010613","19001001","190010612","150","190010611","159","1006"
"190010713","19001001","190010712","160","190010711","169","1007"
"190010813","19001001","190010812","170","190010811","-1","1008"
"190010123","19001002","190010122","1","190010121","59","1009"
"190010223","19001002","190010222","60","190010221","99","1010"
"190010323","19001002","190010322","100","190010321","119","1011"
"190010423","19001002","190010422","120","190010421","139","1012"
"190010523","19001002","190010522","140","190010521","149","1013"
"190010623","19001002","190010622","150","190010621","159","1014"
"190010723","19001002","190010722","160","190010721","169","1015"
"190010823","19001002","190010822","170","190010821","-1","1016"
"190010133","19001003","190010132","1","190010131","59","1017"
"190010233","19001003","190010232","60","190010231","99","1018"
"190010333","19001003","190010332","100","190010331","119","1019"
"190010433","19001003","190010432","120","190010431","139","1020"
"190010533","19001003","190010532","140","190010531","149","1021"
"190010633","19001003","190010632","150","190010631","159","1022"
"190010733","19001003","190010732","160","190010731","169","1023"
"190010833","19001003","190010832","170","190010831","179","1024"
"190010933","19001003","190010932","180","190010931","189","1025"
"190011033","19001003","190011032","190","190011031","199","1026"
"190011133","19001003","190011132","200","190011131","209","1027"
"190011233","19001003","190011232","210","190011231","219","1028"
"190011333","19001003","190011332","220","190011331","229","1029"
"190011433","19001003","190011432","230","190011431","239","1030"
"190011533","19001003","190011532","240","190011531","249","1031"
"190011633","19001003","190011632","250","190011631","259","1032"
"190011733","19001003","190011732","260","190011731","269","1033"
"190011833","19001003","190011832","270","190011831","279","1034"
"190011933","19001003","190011932","280","190011931","289","1035"
"190012033","19001003","190012032","290","190012031","299","1036"
"190012133","19001003","190012132","300","190012131","309","1037"
"190012233","19001003","190012232","310","190012231","-1","1038"
