193c29f239b0e7a8a99ec0c7a680d4e901e15dbd79445f383fcb4be701d1faf7,0c9752c5d32643b383a422e7d0f178fa8a5f070418ea64c9db959be725a391ae,024c07ba3ec61a60ac6806bf816de66aa0e674c82dbd34114f6758a7033bb783,dedab6d48155eabf7e18dd10c7c5f3c42f5223349e3de5199c8c90e8189a114c,83280ef5c36ec99bb89baa356cf31088e05a9cedb16216457cc116e5cdaaf8e5,b153570aabacf4eb5cddeecc4b605c36c81f5c8ad54b5634c7ae18a3689cdd0b,f3c8f3b5c2530e887c901458e0c352073d62e98d97466985ce7913ca3318eef6,bcfb091caa447a9022ac70389858f75b69deef314931c804f7cdc10edaee416f,41599dd11876416941a9f10b7835f6a29fa6c4141f45be32edec10aa66d3b318,aae536f860a1152bdb60c44c37986dc42e8b93c479c601c9abc29653d635640e,5c6df65fdd631f165d7cebe93d977c6134b15b906b85b09e8e1acdf206e1db03
"2","2","-980","","2","","2017","0","4.2","","-130"
"93","2","0","","4.2","","2018","","","",""
"32","2","0","","11","","2019","","","",""
"93","2","0","","1","","2020","","","",""
"4","2","0","","11","","2021","","","",""
"2","2","980","","11","","2022","0","7","","130"
"93","2","0","","1.5","","2023","","","",""
"32","2","1","","11","","2024","","","",""
"37","2","smokeL","","11","","2025","","","",""
"33","2","980","","11","","2026","0","5.964","","-130"
"3","2","top_iroha_run_joy","","2","","2027","","","0","1"
"4","2","0","","2","","2028","","","",""
"2","2","980","","2","","2029","0","5.964","","-130"
"93","2","0","","5.964","","2030","","","",""
"32","2","0","","11","","2031","","","",""
"93","2","0","","2","","2032","","","",""
"3","2","top_iroha_walk","","2","","2033","","","0","1"
"4","2","1","","2","","2034","","","",""
"2","2","400","","2","","2035","0","3","","-130"
"33","2","400","","11","","2036","0","3","","-130"
"93","2","0","","3","","2037","","","",""
"3","2","top_iroha_walk_out","0","2","","2038","1","idle_normal","0.2","0"
"93","2","0","","0.4","","2039","","","",""
"3","2","top_iroha_sit_in","0.2","2","","2040","","","0.2","0"
"93","2","0","","4","","2041","","","",""
"101","2","","","2005","","2042","","","",""
"5","3","3","1","3","top_sono_readPaper","3001","-130","350","1.38","100"
"31","3","10","","10","","3002","1","-18","1","475"
"91","3","0","","0","","3003","","","",""
"3","3","top_sono_readPaper","","3","","3004","","","0.2","1"
"93","3","0","","13.6","","3005","","","",""
"3","3","top_sono_sit_out","0","3","","3006","1","top_sono_stretch","0.2","0"
"93","3","0","","3.5","","3007","","","",""
"3","3","top_sono_drink","","3","","3008","","","0.2","1"
"93","3","","","10.5","","3009","","","",""
"3","3","top_sono_sit_in","","3","","3010","","","0.2","0"
"93","3","0","","2.6","","3011","","","",""
"101","3","","","3004","","3012","","","",""
"5","4","2","1","2","top_iroha_read","4001","-130","400","1.43","101"
"5","4","1","1","1","top_luis_thinking","4002","-103","-216","1.4","100"
"5","4","11","1","11","butterfly","4003","130","980","1.4","102"
"31","4","11","","11","","4004","1","-130","0","400"
"91","4","0","","0","","4005","","","",""
"3","4","top_luis_thinking","","1","","4006","","","0.2","1"
"3","4","top_iroha_read","","2","","4007","","","0.2","1"
"93","4","0","","9","","4008","","","",""
"4","4","1","","11","","4009","","","",""
"2","4","-980","","11","","4010","0","7","","130"
"93","4","0","","2.5","","4011","","","",""
"3","4","top_iroha_read_notice","","2","","4012","","","0.2","0"
"93","4","0","","0.6","","4013","","","",""
"3","4","top_iroha_notice_to_run","0","2","","4014","1","top_iroha_run","0","0"
"93","4","0","","0.4","","4015","","","",""
"32","4","1","","11","","4016","","","",""
"37","4","smokeR","","11","","4017","","","",""
"33","4","-980","","11","","4018","0","4.2","","-130"
"2","4","-980","","2","","4019","0","4.2","","-130"
"93","4","0","","1.9","","4020","","","",""
"3","4","top_luis_surprise_in","0","1","","4021","1","top_luis_surprise_idle","0.2","0"
"93","4","0","","2.3","","4022","","","",""
"32","4","0","","11","","4023","","","",""
"93","4","0","","1","","4024","","","",""
"4","4","0","","11","","4025","","","",""
"2","4","980","","11","","4026","0","7","","130"
"93","4","0","","1.5","","4027","","","",""
"32","4","1","","11","","4028","","","",""
"37","4","smokeL","","11","","4029","","","",""
"33","4","980","","11","","4030","0","5.964","","-130"
"3","4","top_iroha_run_joy","","2","","4031","","","0","1"
"4","4","0","","2","","4032","","","",""
"2","4","980","","2","","4033","0","5.964","","-130"
"93","4","0","","2.2","","4034","","","",""
"3","4","top_luis_surprise_look","","1","","4035","","","0","1"
"93","4","0","","3.764","","4036","","","",""
"3","4","top_luis_thinking","","1","","4037","","","0.2","1"
"32","4","0","","11","","4038","","","",""
"93","4","0","","2","","4039","","","",""
"3","4","top_iroha_walk","","2","","4040","","","0","1"
"4","4","1","","2","","4041","","","",""
"2","4","400","","2","","4042","0","3","","-130"
"33","4","400","","11","","4043","0","3","","-130"
"93","4","0","","3","","4044","","","",""
"3","4","top_iroha_walk_out","0","2","","4045","1","idle_normal","0.2","0"
"93","4","0","","0.4","","4046","","","",""
"3","4","top_iroha_sit_in","0.2","2","","4047","","","0.2","0"
"93","4","0","","4","","4048","","","",""
"101","4","","","4007","","4049","","","",""
"5","5","3","1","3","top_sono_readPaper","5001","-130","350","1.4","100"
"5","5","2","1","2","top_iroha_read_loop","5002","-130","452","1.4","110"
"91","5","0","","0","","5003","","","",""
"3","5","top_iroha_read_loop","","2","","5004","","","0.2","1"
"3","5","top_sono_readPaper","","3","","5005","","","0.2","1"
"93","5","0","","13.6","","5006","","","",""
"3","5","top_sono_sit_out","0","3","","5007","1","top_sono_stretch","0.2","0"
"2","5","287","","3","","5008","0","0.3","","-130"
"93","5","0","","3.5","","5009","","","",""
"3","5","top_sono_drink","","3","","5010","","","0.2","1"
"93","5","0","","2.6","","5011","","","",""
"3","5","top_iroha_read_look","","2","","5012","","","0.4","0"
"93","5","0","","7.9","","5013","","","",""
"3","5","top_sono_sit_in","","3","","5014","","","0.2","0"
"93","5","0","","0.1","","5015","","","",""
"3","5","top_iroha_read_loop","","2","","5016","","","0.2","1"
"2","5","350","","3","","5017","0","0.3","","-130"
"93","5","0","","2.5","","5018","","","",""
"101","5","","","5005","","5019","","","",""
"5","6","1","1","1","idle_normal","6001","-103","-216","1.4","100"
"5","6","3","1","3","top_sono_readPaper_loop","6002","-130","350","1.38","101"
"31","6","10","","10","","6003","1","-18","1","475"
"31","6","13","","13","","6004","1","-140","0","56"
"31","6","14","","14","","6005","1","-140","0","56"
"91","6","0","","0","","6006","","","",""
"3","6","top_sono_readPaper_loop","","3","","6007","","","0.2","1"
"3","6","top_luis_arm_crossed_in","0","1","","6008","1","top_luis_arm_crossed_idle","0.2","0"
"93","6","0","","4","","6009","","","",""
"3","6","top_luis_approach_in","0","1","","6010","1","top_luis_approach_idle","0.2","0"
"93","6","0","","3.5","","6011","","","",""
"3","6","top_luis_thinking","","1","","6012","","","0.2","1"
"93","6","0","","3.5","","6013","","","",""
"3","6","top_luis_walk_think","","1","","6014","","","0.2","1"
"2","6","-495","","1","","6015","0","2","","-103"
"93","6","0","","2","","6016","","","",""
"4","6","0","","1","","6017","","","",""
"2","6","-216","","1","","6018","0","2","","-103"
"93","6","0","","2","","6019","","","",""
"3","6","top_luis_notice","","1","","6020","","","0","1"
"93","6","0","","1","","6021","","","",""
"3","6","top_luis_walk_jog","","1","","6022","","","0.2","1"
"2","6","-100","","1","","6023","0","0.5","","-130"
"93","6","0","","0.5","","6024","","","",""
"4","6","1","","1","","6025","","","",""
"3","6","top_luis_sit_in","0","1","","6026","1","top_luis_sit_idle","0.2","0"
"93","6","0","","0.1","","6027","","","",""
"2","6","-57","","1","","6028","0","0.4","","-140"
"93","6","0","","0.4","","6029","","","",""
"2","6","-16","","1","","6030","0","0","","-140"
"4","6","0","","1","","6031","","","",""
"93","6","0","","0.6","","6032","","","",""
"3","6","top_luis_experiment_failer_in","","1","","6033","","","0.2","0"
"93","6","0","","2.3","","6034","","","",""
"3","6","top_luis_experiment_failer_mix","","1","","6035","","","0.1","0"
"93","6","0","","2.7","","6036","","","",""
"3","6","top_sono_notice_in_surprise","0","3","","6037","1","top_sono_notice_loop_surprise","0.2","0"
"32","6","1","","13","","6038","","","",""
"3","6","top_luis_experiment_failer_burst","","1","","6039","","","0.1","0"
"93","6","0","","2.7","","6040","","","",""
"3","6","top_sono_readPaper_loop","","3","","6041","","","0.2","1"
"3","6","top_luis_experiment_failer_out","","1","","6042","","","0.1","0"
"93","6","0","","1.1","","6043","","","",""
"3","6","top_luis_sit_out","0","1","","6044","1","idle_normal","0.2","0"
"4","6","1","","1","","6045","","","",""
"2","6","-57","","1","","6046","0","0","","-140"
"2","6","-100","","1","","6047","0","0.3","","-130"
"93","6","0","","1","","6048","","","",""
"3","6","walk_normal","","1","","6049","","","0.2","0"
"2","6","-216","","1","","6050","0","1","","-103"
"93","6","0","","1","","6051","","","",""
"3","6","idle_normal","","1","","6052","","","0.1","0"
"93","6","0","","0.8","","6053","","","",""
"32","6","0","","13","","6054","","","",""
"3","6","top_luis_arm_crossed_in","0","1","","6055","1","top_luis_arm_crossed_idle","0.2","0"
"93","6","0","","4","","6056","","","",""
"3","6","top_luis_approach_in","0","1","","6057","1","top_luis_approach_idle","0.2","0"
"93","6","0","","3.5","","6058","","","",""
"3","6","top_luis_thinking","","1","","6059","","","0.2","1"
"93","6","0","","3.5","","6060","","","",""
"3","6","top_luis_walk_think","","1","","6061","","","0.2","1"
"2","6","-495","","1","","6062","0","2","","-103"
"93","6","0","","2","","6063","","","",""
"4","6","0","","1","","6064","","","",""
"2","6","-216","","1","","6065","0","2","","-103"
"93","6","0","","2","","6066","","","",""
"3","6","top_luis_notice","","1","","6067","","","0","1"
"93","6","0","","1","","6068","","","",""
"3","6","top_luis_walk_jog","","1","","6069","","","0.2","1"
"2","6","-100","","1","","6070","0","0.5","","-130"
"93","6","0","","0.5","","6071","","","",""
"4","6","1","","1","","6072","","","",""
"3","6","top_luis_sit_in","0","1","","6073","1","top_luis_sit_idle","0.2","0"
"93","6","0","","0.1","","6074","","","",""
"2","6","-57","","1","","6075","0","0.4","","-140"
"93","6","0","","0.4","","6076","","","",""
"2","6","-16","","1","","6077","0","0","","-140"
"4","6","0","","1","","6078","","","",""
"93","6","0","","0.6","","6079","","","",""
"3","6","top_luis_experiment_success_in","","1","","6080","","","0.2","0"
"93","6","0","","2.3","","6081","","","",""
"3","6","top_luis_experiment_success_mix","","1","","6082","","","0.1","0"
"93","6","0","","2.7","","6083","","","",""
"3","6","top_sono_notice_in_dere","0","3","","6084","1","top_sono_notice_loop_dere","0.2","0"
"32","6","1","","14","","6085","","","",""
"3","6","top_luis_experiment_success_burst","","1","","6086","","","0.1","0"
"93","6","0","","2.7","","6087","","","",""
"3","6","top_sono_readPaper_loop","","3","","6088","","","0.2","1"
"3","6","top_luis_experiment_success_out","","1","","6089","","","0.1","0"
"93","6","0","","1.1","","6090","","","",""
"3","6","top_luis_sit_out","0","1","","6091","1","idle_normal","0.2","0"
"4","6","1","","1","","6092","","","",""
"2","6","-57","","1","","6093","0","0","","-140"
"2","6","-100","","1","","6094","0","0.3","","-130"
"93","6","0","","1","","6095","","","",""
"3","6","walk_normal","","1","","6096","","","0.2","0"
"2","6","-216","","1","","6097","0","1","","-103"
"93","6","0","","1","","6098","","","",""
"3","6","idle_normal","","1","","6099","","","0.1","0"
"93","6","0","","0.8","","6100","","","",""
"32","6","0","","14","","6101","","","",""
"101","6","","","6008","","6102","","0","","0"
"5","7","1","1","1","idle_normal","7001","-103","-216","1.4","100"
"5","7","2","1","2","top_iroha_read_loop","7002","-130","452","1.43","110"
"5","7","3","1","3","top_sono_readPaper_loop","7003","-130","350","1.38","101"
"5","7","11","1","11","butterfly","7004","130","980","1.4","111"
"31","7","11","","11","","7005","1","-130","0","452"
"31","7","14","","14","","7006","1","-140","0","56"
"91","7","0","","0","","7007","","","",""
"3","7","top_iroha_read_loop","","2","","7008","","","0.2","1"
"3","7","top_sono_readPaper_loop","","3","","7009","","","0.2","1"
"3","7","top_luis_arm_crossed_in","0","1","","7010","1","top_luis_arm_crossed_idle","0.2","0"
"93","7","0","","4","","7011","","","",""
"3","7","top_luis_approach_in","0","1","","7012","1","top_luis_approach_idle","0.2","0"
"93","7","0","","3.5","","7013","","","",""
"3","7","top_luis_thinking","","1","","7014","","","0.2","1"
"93","7","0","","3.5","","7015","","","",""
"3","7","top_luis_walk_think","","1","","7016","","","0.2","1"
"2","7","-495","","1","","7017","0","2","","-103"
"93","7","0","","2","","7018","","","",""
"4","7","0","","1","","7019","","","",""
"2","7","-216","","1","","7020","0","2","","-103"
"93","7","0","","2","","7021","","","",""
"3","7","top_luis_notice","","1","","7022","","","0","1"
"93","7","0","","1","","7023","","","",""
"3","7","top_luis_walk_jog","","1","","7024","","","0.2","1"
"2","7","-100","","1","","7025","0","0.5","","-130"
"93","7","0","","0.5","","7026","","","",""
"4","7","1","","1","","7027","","","",""
"3","7","top_luis_sit_in","0","1","","7028","1","top_luis_sit_idle","0.2","0"
"93","7","0","","0.1","","7029","","","",""
"2","7","-57","","1","","7030","0","0.4","","-140"
"93","7","0","","0.4","","7031","","","",""
"2","7","-16","","1","","7032","0","0","","-140"
"4","7","0","","1","","7033","","","",""
"93","7","0","","0.6","","7034","","","",""
"3","7","top_luis_experiment_success_in","","1","","7035","","","0.2","0"
"93","7","0","","2.3","","7036","","","",""
"3","7","top_luis_experiment_success_mix","","1","","7037","","","0.1","0"
"93","7","0","","2.7","","7038","","","",""
"3","7","top_sono_notice_in_dere","0","3","","7039","1","top_sono_notice_loop_dere","0.2","0"
"3","7","top_iroha_read_look_light","","2","","7040","","","0.2","1"
"32","7","1","","14","","7041","","","",""
"3","7","top_luis_experiment_success_burst","","1","","7042","","","0.1","0"
"93","7","0","","2.7","","7043","","","",""
"3","7","top_sono_readPaper_loop","","3","","7044","","","0.2","1"
"3","7","top_iroha_read","","2","","7045","","","0.2","1"
"3","7","top_luis_experiment_success_out","","1","","7046","","","0.1","0"
"93","7","0","","1.1","","7047","","","",""
"3","7","top_luis_sit_out","0","1","","7048","1","idle_normal","0.2","0"
"4","7","1","","1","","7049","","","",""
"2","7","-57","","1","","7050","0","0","","-140"
"2","7","-100","","1","","7051","0","0.3","","-130"
"93","7","0","","1","","7052","","","",""
"3","7","walk_normal","","1","","7053","","","0.2","0"
"2","7","-216","","1","","7054","0","1","","-103"
"93","7","0","","1","","7055","","","",""
"3","7","idle_normal","","1","","7056","","","0.1","0"
"93","7","0","","0.8","","7057","","","",""
"32","7","0","","14","","7058","","","",""
"3","7","top_luis_thinking","","1","","7059","","","0.2","1"
"93","7","0","","5.1","","7060","","","",""
"4","7","1","","11","","7061","","","",""
"2","7","-980","","11","","7062","0","7","","130"
"93","7","0","","2.5","","7063","","","",""
"3","7","top_iroha_read_notice","","2","","7064","","","0.2","0"
"93","7","0","","0.6","","7065","","","",""
"3","7","top_iroha_notice_to_run","0","2","","7066","1","top_iroha_run","0","0"
"93","7","0","","0.4","","7067","","","",""
"32","7","1","","11","","7068","","","",""
"37","7","smokeR","","11","","7069","","","",""
"33","7","-980","","11","","7070","0","4.2","","-130"
"2","7","-980","","2","","7071","0","4.2","","-130"
"93","7","0","","0.2","","7072","","","",""
"3","7","top_sono_notice_in_surprise","0","3","","7073","1","top_sono_notice_loop_surprise","0.2","0"
"93","7","0","","1.7","","7074","","","",""
"3","7","top_luis_surprise_in","0","1","","7075","1","top_luis_surprise_idle","0.2","0"
"93","7","0","","2.5","","7076","","","",""
"32","7","0","","11","","7077","","","",""
"93","7","0","","1","","7078","","","",""
"4","7","0","","11","","7079","","","",""
"2","7","980","","11","","7080","0","7","","130"
"93","7","0","","1.5","","7081","","","",""
"32","7","1","","11","","7082","","","",""
"37","7","smokeL","","11","","7083","","","",""
"33","7","980","","11","","7084","0","5.964","","-130"
"3","7","top_iroha_run_joy","","2","","7085","","","0","1"
"4","7","0","","2","","7086","","","",""
"2","7","980","","2","","7087","0","5.964","","-130"
"93","7","0","","2.2","","7088","","","",""
"3","7","top_luis_surprise_look","","1","","7089","","","0","1"
"93","7","0","","1.8","","7090","","","",""
"3","7","top_sono_notice_loop_look","","3","","7091","","","0","1"
"93","7","0","","1.964","","7092","","","",""
"32","7","0","","11","","7093","","","",""
"93","7","0","","0.5","","7094","","","",""
"3","7","top_luis_thinking","","1","","7095","","","0.2","1"
"93","7","0","","1.5","","7096","","","",""
"3","7","top_iroha_walk","","2","","7097","","","0","1"
"4","7","1","","2","","7098","","","",""
"2","7","1032","","2","","7099","0","0","","-130"
"33","7","1032","","11","","7100","0","0","","-130"
"2","7","452","","2","","7101","0","3","","-130"
"33","7","452","","11","","7102","0","3","","-130"
"93","7","0","","3","","7103","","","",""
"3","7","top_iroha_walk_out","0","2","","7104","1","idle_normal","0.2","0"
"93","7","0","","0.4","","7105","","","",""
"3","7","top_iroha_sit_in","0.2","2","","7106","1","top_iroha_read_loop","0.2","0"
"3","7","top_sono_readPaper","","3","","7107","","","0.2","1"
"93","7","0","","4","","7108","","","",""
"93","7","0","","9.6","","7109","","","",""
"3","7","top_sono_sit_out","0","3","","7110","1","top_sono_stretch","0.2","0"
"2","7","287","","3","","7111","0","0.3","","-130"
"93","7","0","","3.5","","7112","","","",""
"3","7","top_sono_drink","","3","","7113","","","0.2","1"
"93","7","0","","2.6","","7114","","","",""
"3","7","top_iroha_read_look","","2","","7115","","","0.4","0"
"93","7","0","","3.5","","7116","","","",""
"3","7","top_luis_thinking_look","","1","","7117","","","0.2","1"
"93","7","0","","2.9","","7118","","","",""
"3","7","top_luis_thinking","","1","","7119","","","0.2","1"
"93","7","0","","1.5","","7120","","","",""
"3","7","top_sono_sit_in","","3","","7121","","","0.2","0"
"93","7","0","","0.1","","7122","","","",""
"3","7","top_iroha_read_loop","","2","","7123","","","0.2","1"
"2","7","350","","3","","7124","0","0.3","","-130"
"93","7","0","","2.5","","7125","","","",""
"3","7","top_sono_readPaper_loop","","3","","7126","","","0.2","1"
"93","7","0","","1","","7127","","","",""
"101","7","","","7012","","7128","","","",""
"5","11","3","1","3","sit_readPaper","11001","-130","350","1.4","100"
"5","11","1","0","1","empty","11002","-150","950","1.5","102"
"31","11","10","","10","","11003","1","-18","1","475"
"31","11","11","","11","","11004","1","-130","0","350"
"91","11","0","","0","","11005","","","",""
"93","11","1","","0.5","","11006","","","",""
"21","11","vo_alces_1100","","vo_alces","","11007","","0","","0"
"11","11","…………\n…………","0","3","0.5","11008","0","1","10","10"
"91","11","","","0","","11009","","0","","0"
"3","11","sit_readPaperTurn","0","3","","11010","1","sit_readPaper","0.2","0"
"93","11","1","","1","","11011","","","",""
"93","11","0","","1","","11012","","","",""
"3","11","sit_readPaper_surprise","","3","","11013","","","0.2","1"
"21","11","vo_alces_1101","","vo_alces","","11014","","0","","0"
"11","11","…………\n…………","0","3","0.5","11015","0","1","10","10"
"91","11","","","0","","11016","","0","","0"
"93","11","0","","1","","11017","","","",""
"23","11","se_alces_emotion_exQuestion","","se_alces","","11018","","","",""
"12","11","3","0","3","","11019","0","0","10","0.2"
"3","11","sit_readPaper_notice_in","0","3","","11020","1","sit_readPaper_notice_loop","0.1","0"
"93","11","0","","1.2","","11021","","","",""
"3","11","sit_readPaper_kira_in","0","3","","11022","1","sit_readPaper_kira_talk","0.2","0"
"21","11","vo_alces_1102","","vo_alces","","11023","","0","","0"
"11","11","……！！\n番茄一包三顆只要150盧幣！？\n太神了吧！？","0","3","3.2","11024","0","1","0","10"
"91","11","","","0","","11025","","","",""
"22","11","0.5","","0","","11026","","","",""
"3","11","sit_out_readPaper_light","","3","","11027","","","0.2","1"
"93","11","0","","0.5","","11028","","","",""
"3","11","sono_walletPick_in","","3","","11029","","","0.2","1"
"93","11","0","","1.8","","11030","","","",""
"3","11","sono_walk_quick_R_in","0","3","","11031","1","sono_walk_quick_R","0.2","0"
"32","11","1","","11","","11032","","","",""
"2","11","1500","","3","","11033","0","3.3","","-130"
"33","11","1500","","11","","11034","0","3.3","","-130"
"93","11","0","","1","","11035","","","",""
"3","11","luis_walk_furimuki_in","0","1","","11036","1","luis_walk_furimuki","0.2","0"
"2","11","350","","1","","11037","0","4","","-150"
"93","11","0","","4","","11038","","","",""
"3","11","luis_walk_to_idle","0","1","","11039","1","luis_sad_idle","0.2","0"
"23","11","se_alces_emotion_question","","se_alces","","11040","","","",""
"12","11","5","0","1","","11041","0","0","0","1.3"
"93","11","0","","2.1","","11042","","","",""
"3","11","idle_normal","","1","","11043","","","0.2","1"
"22","11","0","","0","","11044","","","",""
"93","11","0","","3","","11045","","","",""
"101","11","","","11045","","11046","","0","","0"
"5","12","1","0","1","luis_run_dash_pain","12001","-190","400","1.45","101"
"5","12","1001","0","10","empty","12002","-190","-85","1.45","102"
"31","12","11","","11","","12003","1","-190","","400"
"13","12","130","","1","","12004","","","",""
"1","12","105111","1","1","empty","12005","-190","1050","1.45","102"
"5","12","1002","1","10","empty","12006","-190","1050","1.45","103"
"31","12","12","","12","","12007","1","-190","0","-85"
"91","12","0","","0","","12008","","","",""
"2","12","-85","","1","","12009","0","1.3","","-190"
"33","12","-85","","11","","12010","0","1.3","","-190"
"32","12","1","","11","","12011","","","",""
"37","12","sweatR_run","","11","","12012","","","",""
"93","12","0","","1.3","","12013","","","",""
"3","12","luis_run_turn","0","1","","12014","1","anger_talk_Ex0001","0.2","0"
"21","12","vo_alces_1200","","vo_alces","","12015","","0","","0"
"11","12","等等，為什麼\n那個人在追我啊！？","0","1","1","12016","0","1","0","10"
"91","12","","","0","","12017","","0","","0"
"3","12","sad_talk_normalR","","1","","12018","","","0.2","1"
"21","12","vo_alces_1201","","vo_alces","","12019","","0","","0"
