76c0205302eddeb88c14d48e2767986a363bcca9c0004f657dbbf4fd800fabaa,5e88809cc32261078be35318ac6ed1cd6a5291639a13414ad236aea4a7919222,16642edba12182baea5f9348bf90504b24a4ea8ee607e27985e141b55744c2ef,5d7b6ceac8f3aa0f6ae07ee9885a4f5c859ad817ac2d1c8215b697cf06769b3e,853c0dbc2c293d6401c1059fe330cf23a0b84bd20c4e53a26d18c8d6534176ea,6e05d86e33a7111d38bd1aab693649a5d4c97c3a07ba90b8c272e8397d8f014a,6480cf7f88532ad63f26d5e1a70de4fc5f3d0425b34eafdab0a11ee4158d435f,2bcc70d41ad4e73ad907d6e9291f59bf49be189cfb8306c6db9f971d67ae7a5a
"5","4","162","30","650","150004","8","96008"
"5","4","163","30","750","150005","8","96008"
"5","4","164","30","900","150006","8","96008"
"5","4","165","30","1000","150007","8","96008"
"5","4","166","30","1150","150008","8","96008"
"5","4","167","30","1300","150009","8","96008"
"5","2","168","500","2500","20004","8","96008"
"5","2","169","500","1000","22003","8","96008"
"0","2","170","100","1000","20004","8","96008"
"0","2","171","100","400","22003","8","96008"
"1","2","172","1","20000","25101","9","96009"
"1","2","173","1","20000","21952","9","96009"
"1","2","174","1","10000","21905","9","96009"
"2","2","175","1","10000","41000","9","96009"
"5","2","176","5","1500","31298","9","96009"
"5","2","177","5","2000","31181","9","96009"
"5","2","178","5","1500","31307","9","96009"
"5","2","179","5","1500","31310","9","96009"
"5","2","180","10","2500","90005","9","96009"
"10","4","181","50","2500","140001","9","96009"
"10","2","182","10","1000","25001","9","96009"
"5","4","183","30","500","150003","9","96009"
"5","4","184","30","650","150004","9","96009"
"5","4","185","30","750","150005","9","96009"
"5","4","186","30","900","150006","9","96009"
"5","4","187","30","1000","150007","9","96009"
"5","4","188","30","1150","150008","9","96009"
"5","4","189","30","1300","150009","9","96009"
"5","2","190","500","2500","20004","9","96009"
"5","2","191","500","1000","22003","9","96009"
"0","2","192","100","1000","20004","9","96009"
"0","2","193","100","400","22003","9","96009"
"1","2","194","1","20000","25101","10","96010"
"1","2","195","1","20000","21952","10","96010"
"1","2","196","1","10000","21905","10","96010"
"2","2","197","1","10000","41000","10","96010"
"5","2","198","5","2000","31182","10","96010"
"5","2","199","5","1500","31312","10","96010"
"5","2","200","5","1500","31316","10","96010"
"5","2","201","5","1500","31317","10","96010"
"5","2","202","10","2500","90005","10","96010"
"10","4","203","50","2500","140001","10","96010"
"10","2","204","10","1000","25001","10","96010"
"5","4","205","30","500","150003","10","96010"
"5","4","206","30","650","150004","10","96010"
"5","4","207","30","750","150005","10","96010"
"5","4","208","30","900","150006","10","96010"
"5","4","209","30","1000","150007","10","96010"
"5","4","210","30","1150","150008","10","96010"
"5","4","211","30","1300","150009","10","96010"
"5","2","212","500","2500","20004","10","96010"
"5","2","213","500","1000","22003","10","96010"
"0","2","214","100","1000","20004","10","96010"
"0","2","215","100","400","22003","10","96010"
"1","2","216","1","20000","25101","11","96011"
"1","2","217","1","20000","21952","11","96011"
"1","2","218","1","10000","21905","11","96011"
"2","2","219","1","10000","41000","11","96011"
"5","2","220","5","1500","31322","11","96011"
"5","2","221","5","1500","31300","11","96011"
"5","2","222","5","1500","31301","11","96011"
"5","2","223","5","1500","31302","11","96011"
"5","2","224","10","2500","90005","11","96011"
"10","4","225","50","2500","140001","11","96011"
"10","2","226","10","1000","25001","11","96011"
"5","4","227","30","500","150003","11","96011"
"5","4","228","30","650","150004","11","96011"
"5","4","229","30","750","150005","11","96011"
"5","4","230","30","900","150006","11","96011"
"5","4","231","30","1000","150007","11","96011"
"5","4","232","30","1150","150008","11","96011"
"5","4","233","30","1300","150009","11","96011"
"5","2","234","500","2500","20004","11","96011"
"5","2","235","500","1000","22003","11","96011"
"0","2","236","100","1000","20004","11","96011"
"0","2","237","100","400","22003","11","96011"
"1","2","238","1","20000","25101","12","96012"
"1","2","239","1","20000","21952","12","96012"
"1","2","240","1","10000","21905","12","96012"
"2","2","241","1","10000","41000","12","96012"
"5","2","242","5","2000","31810","12","96012"
"5","2","243","5","1500","31328","12","96012"
"5","2","244","5","1500","31295","12","96012"
"5","2","245","5","1500","31335","12","96012"
"5","2","246","5","1500","31336","12","96012"
"5","2","247","5","1500","31337","12","96012"
"5","2","248","5","1500","31338","12","96012"
"5","2","249","5","1500","31339","12","96012"
"5","2","250","10","2500","90005","12","96012"
"10","4","251","50","2500","140001","12","96012"
"10","2","252","10","1000","25001","12","96012"
"5","4","253","30","500","150003","12","96012"
"5","4","254","30","650","150004","12","96012"
"5","4","255","30","750","150005","12","96012"
"5","4","256","30","900","150006","12","96012"
"5","4","257","30","1000","150007","12","96012"
"5","4","258","30","1150","150008","12","96012"
"5","4","259","30","1300","150009","12","96012"
"5","4","260","30","1450","150010","12","96012"
"5","2","261","500","2500","20004","12","96012"
"5","2","262","500","1000","22003","12","96012"
"0","2","263","100","1000","20004","12","96012"
"0","2","264","100","400","22003","12","96012"
