bdfb6a14bbcd1ea8f3f15a19e4da31e536b81ca8d6ae0f48c94d52f71347e2f9,b7cd5db0526b6a08ccf60e54532db3065436a9e6a08579448b2274b4d6545148,dfb41b22051ebe8a16bee49509a84bc3cacf447f7037de1f5977fc358e4c9cfb,79ef6168f1a5ca99a5ab4a1d7af9ea88982c42eae81533e332e3988a5f9f253b,8bdde94dc927fcc1ee9260ff8e20074440cb0a087ba465c27137b9c7de1d9fef,f1cc913291597f6b3992760a3f29873ed44ea18ccbfdd6b20095c7f0e77f6ba1,bf404f45b843757feaa1d7e081b0256c826f64b440bd70fb5b62f86d1424e5d7,46d5cbfc06f575f5b9802f936075d85f5ed0870a3d43ffbd2444f184f896cb17
"252","0","0","3","1831","4","0","0"
"336","0","0","3","1841","4","0","0"
"420","0","0","3","1851","4","0","0"
"36","0","0","4","1911","3","0","0"
"72","0","0","4","1921","3","0","0"
"108","0","0","4","1931","3","0","0"
"144","0","0","4","1941","3","0","0"
"180","0","0","4","1951","3","0","0"
"84","0","0","1","2011","4","0","0"
"168","0","0","1","2021","4","0","0"
"252","0","0","1","2031","4","0","0"
"336","0","0","1","2041","4","0","0"
"420","0","0","1","2051","4","0","0"
"1","0","0","3","2111","100","0","0"
"84","0","0","5","2211","2","0","0"
"168","0","0","5","2221","2","0","0"
"252","0","0","5","2231","2","0","0"
"336","0","0","5","2241","2","0","0"
"420","0","0","5","2251","2","0","0"
"44","0","0","1","2311","1","0","0"
"88","0","0","1","2321","1","0","0"
"132","0","0","1","2331","1","0","0"
"176","0","0","1","2341","1","0","0"
"220","0","0","1","2351","1","0","0"
"84","0","0","2","2411","2","0","0"
"168","0","0","2","2421","2","0","0"
"252","0","0","2","2431","2","0","0"
"336","0","0","2","2441","2","0","0"
"420","0","0","2","2451","2","0","0"
"86","0","0","5","2511","4","0","0"
"172","0","0","5","2521","4","0","0"
"258","0","0","5","2531","4","0","0"
"344","0","0","5","2541","4","0","0"
"430","0","0","5","2551","4","0","0"
"1","2","4","1","2611","100","3","5"
"2","2","4","1","2621","100","3","5"
"3","2","4","1","2631","100","3","5"
"36","0","0","1","2711","3","0","0"
"72","0","0","1","2721","3","0","0"
"108","0","0","1","2731","3","0","0"
"144","0","0","1","2741","3","0","0"
"180","0","0","1","2751","3","0","0"
"86","0","0","4","2811","4","0","0"
"172","0","0","4","2821","4","0","0"
"258","0","0","4","2831","4","0","0"
"344","0","0","4","2841","4","0","0"
"430","0","0","4","2851","4","0","0"
"10","0","0","5","2911","7","0","0"
"20","0","0","5","2921","7","0","0"
"30","0","0","5","2931","7","0","0"
"40","0","0","5","2941","7","0","0"
"50","0","0","5","2951","7","0","0"
"36","0","0","2","3011","3","0","0"
"72","0","0","2","3021","3","0","0"
"108","0","0","2","3031","3","0","0"
"144","0","0","2","3041","3","0","0"
"180","0","0","2","3051","3","0","0"
"46","0","0","3","3111","1","0","0"
"92","0","0","3","3121","1","0","0"
"138","0","0","3","3131","1","0","0"
"184","0","0","3","3141","1","0","0"
"230","0","0","3","3151","1","0","0"
"88","0","0","4","3211","4","0","0"
"176","0","0","4","3221","4","0","0"
"264","0","0","4","3231","4","0","0"
"352","0","0","4","3241","4","0","0"
"440","0","0","4","3251","4","0","0"
"86","0","0","1","3311","4","0","0"
"172","0","0","1","3321","4","0","0"
"258","0","0","1","3331","4","0","0"
"344","0","0","1","3341","4","0","0"
"430","0","0","1","3351","4","0","0"
"86","0","0","2","3411","2","0","0"
"172","0","0","2","3421","2","0","0"
"258","0","0","2","3431","2","0","0"
"344","0","0","2","3441","2","0","0"
"430","0","0","2","3451","2","0","0"
"38","0","0","3","3511","5","0","0"
"76","0","0","3","3521","5","0","0"
"114","0","0","3","3531","5","0","0"
"152","0","0","3","3541","5","0","0"
"190","0","0","3","3551","5","0","0"
"86","0","0","4","3611","2","0","0"
"172","0","0","4","3621","2","0","0"
"258","0","0","4","3631","2","0","0"
"344","0","0","4","3641","2","0","0"
"430","0","0","4","3651","2","0","0"
"88","0","0","5","3711","4","0","0"
"176","0","0","5","3721","4","0","0"
"264","0","0","5","3731","4","0","0"
"352","0","0","5","3741","4","0","0"
"440","0","0","5","3751","4","0","0"
"44","0","0","2","3811","1","0","0"
"88","0","0","2","3821","1","0","0"
"132","0","0","2","3831","1","0","0"
"176","0","0","2","3841","1","0","0"
"220","0","0","2","3851","1","0","0"
"86","0","0","3","3911","4","0","0"
"172","0","0","3","3921","4","0","0"
"258","0","0","3","3931","4","0","0"
"344","0","0","3","3941","4","0","0"
"430","0","0","3","3951","4","0","0"
"36","0","0","5","4011","3","0","0"
"72","0","0","5","4021","3","0","0"
"108","0","0","5","4031","3","0","0"
"144","0","0","5","4041","3","0","0"
"180","0","0","5","4051","3","0","0"
"10","0","0","2","4111","7","0","0"
"20","0","0","2","4121","7","0","0"
"30","0","0","2","4131","7","0","0"
"40","0","0","2","4141","7","0","0"
"50","0","0","2","4151","7","0","0"
"88","0","0","1","4211","2","0","0"
"176","0","0","1","4221","2","0","0"
"264","0","0","1","4231","2","0","0"
"352","0","0","1","4241","2","0","0"
"440","0","0","1","4251","2","0","0"
"38","0","0","4","4311","3","0","0"
"76","0","0","4","4321","3","0","0"
"114","0","0","4","4331","3","0","0"
"152","0","0","4","4341","3","0","0"
"190","0","0","4","4351","3","0","0"
"58","0","0","5","4411","1","0","0"
"116","0","0","5","4421","1","0","0"
"174","0","0","5","4431","1","0","0"
"232","0","0","5","4441","1","0","0"
"290","0","0","5","4451","1","0","0"
"88","0","0","2","4511","2","0","0"
"176","0","0","2","4521","2","0","0"
"264","0","0","2","4531","2","0","0"
"352","0","0","2","4541","2","0","0"
"440","0","0","2","4551","2","0","0"
"86","0","0","3","4611","2","0","0"
"172","0","0","3","4621","2","0","0"
"258","0","0","3","4631","2","0","0"
"344","0","0","3","4641","2","0","0"
"430","0","0","3","4651","2","0","0"
"10","0","0","4","4711","7","0","0"
"20","0","0","4","4721","7","0","0"
"30","0","0","4","4731","7","0","0"
"40","0","0","4","4741","7","0","0"
"50","0","0","4","4751","7","0","0"
"38","0","0","1","4811","3","0","0"
"76","0","0","1","4821","3","0","0"
"114","0","0","1","4831","3","0","0"
"152","0","0","1","4841","3","0","0"
"190","0","0","1","4851","3","0","0"
"38","0","0","2","4911","5","0","0"
"76","0","0","2","4921","5","0","0"
"114","0","0","2","4931","5","0","0"
"152","0","0","2","4941","5","0","0"
"190","0","0","2","4951","5","0","0"
"86","0","0","5","5011","2","0","0"
"172","0","0","5","5021","2","0","0"
"258","0","0","5","5031","2","0","0"
"344","0","0","5","5041","2","0","0"
"430","0","0","5","5051","2","0","0"
"88","0","0","1","5111","4","0","0"
"176","0","0","1","5121","4","0","0"
"264","0","0","1","5131","4","0","0"
"352","0","0","1","5141","4","0","0"
"440","0","0","1","5151","4","0","0"
"36","0","0","3","5211","3","0","0"
"72","0","0","3","5221","3","0","0"
"108","0","0","3","5231","3","0","0"
"144","0","0","3","5241","3","0","0"
"180","0","0","3","5251","3","0","0"
"15","0","0","4","5311","7","0","0"
"30","0","0","4","5321","7","0","0"
"45","0","0","4","5331","7","0","0"
"60","0","0","4","5341","7","0","0"
"75","0","0","4","5351","7","0","0"
"1","2","4","1","5411","101","3","5"
"2","2","4","1","5421","101","3","5"
"3","2","4","1","5431","101","3","5"
"90","0","0","1","5511","4","0","0"
"180","0","0","1","5521","4","0","0"
"270","0","0","1","5531","4","0","0"
"360","0","0","1","5541","4","0","0"
"450","0","0","1","5551","4","0","0"
"1","0","0","2","5611","100","0","0"
"2","0","0","2","5621","100","0","0"
"10","0","0","5","5711","6","0","0"
"20","0","0","5","5721","6","0","0"
"30","0","0","5","5731","6","0","0"
"40","0","0","5","5741","6","0","0"
"50","0","0","5","5751","6","0","0"
"90","0","0","2","5811","2","0","0"
"180","0","0","2","5821","2","0","0"
"270","0","0","2","5831","2","0","0"
"360","0","0","2","5841","2","0","0"
"450","0","0","2","5851","2","0","0"
"48","0","0","3","5911","1","0","0"
"96","0","0","3","5921","1","0","0"
"144","0","0","3","5931","1","0","0"
"192","0","0","3","5941","1","0","0"
"240","0","0","3","5951","1","0","0"
"1","0","0","5","6011","101","0","0"
"2","0","0","5","6021","101","0","0"
"90","0","0","1","6111","2","0","0"
"180","0","0","1","6121","2","0","0"
"270","0","0","1","6131","2","0","0"
"360","0","0","1","6141","2","0","0"
"450","0","0","1","6151","2","0","0"
"38","0","0","2","6211","3","0","0"
"76","0","0","2","6221","3","0","0"
"114","0","0","2","6231","3","0","0"
"152","0","0","2","6241","3","0","0"
"190","0","0","2","6251","3","0","0"
"88","0","0","3","6311","2","0","0"
"176","0","0","3","6321","2","0","0"
"264","0","0","3","6331","2","0","0"
"352","0","0","3","6341","2","0","0"
"440","0","0","3","6351","2","0","0"
"88","0","0","4","6411","2","0","0"
"176","0","0","4","6421","2","0","0"
"264","0","0","4","6431","2","0","0"
"352","0","0","4","6441","2","0","0"
"440","0","0","4","6451","2","0","0"
"10","0","0","1","6511","7","0","0"
"20","0","0","1","6521","7","0","0"
"30","0","0","1","6531","7","0","0"
"40","0","0","1","6541","7","0","0"
"50","0","0","1","6551","7","0","0"
"1","0","0","4","6611","100","0","0"
"36","0","0","5","6711","5","0","0"
"72","0","0","5","6721","5","0","0"
"108","0","0","5","6731","5","0","0"
"144","0","0","5","6741","5","0","0"
"180","0","0","5","6751","5","0","0"
"36","0","0","1","6811","5","0","0"
"72","0","0","1","6821","5","0","0"
"108","0","0","1","6831","5","0","0"
"144","0","0","1","6841","5","0","0"
"180","0","0","1","6851","5","0","0"
"86","0","0","2","6911","4","0","0"
"172","0","0","2","6921","4","0","0"
"258","0","0","2","6931","4","0","0"
"344","0","0","2","6941","4","0","0"
"430","0","0","2","6951","4","0","0"
"10","0","0","4","7011","6","0","0"
"20","0","0","4","7021","6","0","0"
"30","0","0","4","7031","6","0","0"
"40","0","0","4","7041","6","0","0"
"50","0","0","4","7051","6","0","0"
"10","0","0","1","7111","6","0","0"
"20","0","0","1","7121","6","0","0"
"30","0","0","1","7131","6","0","0"
"40","0","0","1","7141","6","0","0"
"50","0","0","1","7151","6","0","0"
"1","0","0","3","7211","101","0","0"
"38","0","0","3","7311","3","0","0"
"76","0","0","3","7321","3","0","0"
"114","0","0","3","7331","3","0","0"
"152","0","0","3","7341","3","0","0"
"190","0","0","3","7351","3","0","0"
"56","0","0","4","7411","1","0","0"
"112","0","0","4","7421","1","0","0"
"168","0","0","4","7431","1","0","0"
"224","0","0","4","7441","1","0","0"
"280","0","0","4","7451","1","0","0"
"40","0","0","2","7511","5","0","0"
"80","0","0","2","7521","5","0","0"
"120","0","0","2","7531","5","0","0"
"160","0","0","2","7541","5","0","0"
"200","0","0","2","7551","5","0","0"
"90","0","0","4","7611","4","0","0"
"180","0","0","4","7621","4","0","0"
"270","0","0","4","7631","4","0","0"
"360","0","0","4","7641","4","0","0"
"450","0","0","4","7651","4","0","0"
"1","0","0","5","7711","100","0","0"
"1","0","0","1","7811","101","0","0"
"2","0","0","1","7821","101","0","0"
"40","0","0","4","7911","3","0","0"
"80","0","0","4","7921","3","0","0"
"120","0","0","4","7931","3","0","0"
"160","0","0","4","7941","3","0","0"
"200","0","0","4","7951","3","0","0"
"10","0","0","3","8011","7","0","0"
"20","0","0","3","8021","7","0","0"
"30","0","0","3","8031","7","0","0"
"40","0","0","3","8041","7","0","0"
"50","0","0","3","8051","7","0","0"
"38","0","0","5","8111","3","0","0"
"76","0","0","5","8121","3","0","0"
"114","0","0","5","8131","3","0","0"
"152","0","0","5","8141","3","0","0"
"190","0","0","5","8151","3","0","0"
"15","2","4","1","8211","6","3","5"
"30","2","4","1","8221","6","3","5"
"45","2","4","1","8231","6","3","5"
"60","2","4","1","8241","6","3","5"
"75","2","4","1","8251","6","3","5"
"10","0","0","2","8311","6","0","0"
"20","0","0","2","8321","6","0","0"
"30","0","0","2","8331","6","0","0"
"40","0","0","2","8341","6","0","0"
"50","0","0","2","8351","6","0","0"
"58","0","0","4","8411","1","0","0"
"116","0","0","4","8421","1","0","0"
"174","0","0","4","8431","1","0","0"
"232","0","0","4","8441","1","0","0"
"290","0","0","4","8451","1","0","0"
"92","0","0","1","8511","2","0","0"
"184","0","0","1","8521","2","0","0"
"276","0","0","1","8531","2","0","0"
"368","0","0","1","8541","2","0","0"
"460","0","0","1","8551","2","0","0"
"40","0","0","3","8611","5","0","0"
"80","0","0","3","8621","5","0","0"
"120","0","0","3","8631","5","0","0"
"160","0","0","3","8641","5","0","0"
"200","0","0","3","8651","5","0","0"
"46","0","0","1","8711","1","0","0"
"92","0","0","1","8721","1","0","0"
"138","0","0","1","8731","1","0","0"
"184","0","0","1","8741","1","0","0"
"230","0","0","1","8751","1","0","0"
"15","0","0","2","8811","7","0","0"
"30","0","0","2","8821","7","0","0"
"45","0","0","2","8831","7","0","0"
"60","0","0","2","8841","7","0","0"
"75","0","0","2","8851","7","0","0"
"90","0","0","5","8911","4","0","0"
"180","0","0","5","8921","4","0","0"
"270","0","0","5","8931","4","0","0"
"360","0","0","5","8941","4","0","0"
"450","0","0","5","8951","4","0","0"
"88","0","0","2","9011","4","0","0"
"176","0","0","2","9021","4","0","0"
"264","0","0","2","9031","4","0","0"
"352","0","0","2","9041","4","0","0"
"440","0","0","2","9051","4","0","0"
"42","0","0","3","9111","5","0","0"
"84","0","0","3","9121","5","0","0"
"126","0","0","3","9131","5","0","0"
"168","0","0","3","9141","5","0","0"
"210","0","0","3","9151","5","0","0"
"15","0","0","4","9211","6","0","0"
"30","0","0","4","9221","6","0","0"
"45","0","0","4","9231","6","0","0"
"60","0","0","4","9241","6","0","0"
"75","0","0","4","9251","6","0","0"
"40","0","0","5","9311","3","0","0"
"80","0","0","5","9321","3","0","0"
"120","0","0","5","9331","3","0","0"
"160","0","0","5","9341","3","0","0"
"200","0","0","5","9351","3","0","0"
"38","0","0","1","9411","5","0","0"
"76","0","0","1","9421","5","0","0"
"114","0","0","1","9431","5","0","0"
"152","0","0","1","9441","5","0","0"
"190","0","0","1","9451","5","0","0"
"40","0","0","3","9511","3","0","0"
"80","0","0","3","9521","3","0","0"
"120","0","0","3","9531","3","0","0"
"160","0","0","3","9541","3","0","0"
"200","0","0","3","9551","3","0","0"
"92","0","0","4","9611","4","0","0"
"184","0","0","4","9621","4","0","0"
"276","0","0","4","9631","4","0","0"
"368","0","0","4","9641","4","0","0"
"460","0","0","4","9651","4","0","0"
"15","0","0","5","9711","7","0","0"
"30","0","0","5","9721","7","0","0"
"45","0","0","5","9731","7","0","0"
"60","0","0","5","9741","7","0","0"
"75","0","0","5","9751","7","0","0"
"40","0","0","2","9811","3","0","0"
"80","0","0","2","9821","3","0","0"
"120","0","0","2","9831","3","0","0"
"160","0","0","2","9841","3","0","0"
"200","0","0","2","9851","3","0","0"
"90","0","0","3","9911","2","0","0"
"180","0","0","3","9921","2","0","0"
"270","0","0","3","9931","2","0","0"
"360","0","0","3","9941","2","0","0"
"450","0","0","3","9951","2","0","0"
"90","0","0","4","10011","2","0","0"
"180","0","0","4","10021","2","0","0"
"270","0","0","4","10031","2","0","0"
"360","0","0","4","10041","2","0","0"
"450","0","0","4","10051","2","0","0"
"40","0","0","1","10111","5","0","0"
"80","0","0","1","10121","5","0","0"
"120","0","0","1","10131","5","0","0"
"160","0","0","1","10141","5","0","0"
"200","0","0","1","10151","5","0","0"
"46","0","0","2","10211","1","0","0"
"92","0","0","2","10221","1","0","0"
"138","0","0","2","10231","1","0","0"
"184","0","0","2","10241","1","0","0"
"230","0","0","2","10251","1","0","0"
"42","0","0","5","10311","3","0","0"
"84","0","0","5","10321","3","0","0"
"126","0","0","5","10331","3","0","0"
"168","0","0","5","10341","3","0","0"
"210","0","0","5","10351","3","0","0"
"10","0","0","3","10411","6","0","0"
"20","0","0","3","10421","6","0","0"
"30","0","0","3","10431","6","0","0"
"40","0","0","3","10441","6","0","0"
"50","0","0","3","10451","6","0","0"
"38","0","0","5","10511","5","0","0"
"76","0","0","5","10521","5","0","0"
"114","0","0","5","10531","5","0","0"
"152","0","0","5","10541","5","0","0"
"190","0","0","5","10551","5","0","0"
"15","0","0","1","10611","7","0","0"
"30","0","0","1","10621","7","0","0"
"45","0","0","1","10631","7","0","0"
"60","0","0","1","10641","7","0","0"
"75","0","0","1","10651","7","0","0"
"42","0","0","2","10711","5","0","0"
"84","0","0","2","10721","5","0","0"
"126","0","0","2","10731","5","0","0"
"168","0","0","2","10741","5","0","0"
"210","0","0","2","10751","5","0","0"
"88","0","0","3","10811","4","0","0"
"176","0","0","3","10821","4","0","0"
"264","0","0","3","10831","4","0","0"
"352","0","0","3","10841","4","0","0"
"440","0","0","3","10851","4","0","0"
"88","0","0","5","10911","2","0","0"
"176","0","0","5","10921","2","0","0"
"264","0","0","5","10931","2","0","0"
"352","0","0","5","10941","2","0","0"
"440","0","0","5","10951","2","0","0"
"15","2","4","1","11011","7","3","5"
"30","2","4","1","11021","7","3","5"
"45","2","4","1","11031","7","3","5"
"60","2","4","1","11041","7","3","5"
"75","2","4","1","11051","7","3","5"
"15","0","0","2","11111","6","0","0"
"30","0","0","2","11121","6","0","0"
"45","0","0","2","11131","6","0","0"
"60","0","0","2","11141","6","0","0"
"75","0","0","2","11151","6","0","0"
"92","0","0","4","11211","2","0","0"
"184","0","0","4","11221","2","0","0"
"276","0","0","4","11231","2","0","0"
"368","0","0","4","11241","2","0","0"
"460","0","0","4","11251","2","0","0"
"92","0","0","5","11311","4","0","0"
"184","0","0","5","11321","4","0","0"
"276","0","0","5","11331","4","0","0"
"368","0","0","5","11341","4","0","0"
"460","0","0","5","11351","4","0","0"
"92","0","0","2","11411","2","0","0"
"184","0","0","2","11421","2","0","0"
"276","0","0","2","11431","2","0","0"
"368","0","0","2","11441","2","0","0"
"460","0","0","2","11451","2","0","0"
"90","0","0","3","11511","4","0","0"
"180","0","0","3","11521","4","0","0"
"270","0","0","3","11531","4","0","0"
"360","0","0","3","11541","4","0","0"
"450","0","0","3","11551","4","0","0"
"20","0","0","4","11611","7","0","0"
"40","0","0","4","11621","7","0","0"
"60","0","0","4","11631","7","0","0"
"80","0","0","4","11641","7","0","0"
"100","0","0","4","11651","7","0","0"
"48","0","0","2","11711","1","0","0"
"96","0","0","2","11721","1","0","0"
"144","0","0","2","11731","1","0","0"
"192","0","0","2","11741","1","0","0"
"240","0","0","2","11751","1","0","0"
"15","0","0","3","11811","6","0","0"
"30","0","0","3","11821","6","0","0"
"45","0","0","3","11831","6","0","0"
"60","0","0","3","11841","6","0","0"
"75","0","0","3","11851","6","0","0"
"44","0","0","5","11911","3","0","0"
"88","0","0","5","11921","3","0","0"
"132","0","0","5","11931","3","0","0"
"176","0","0","5","11941","3","0","0"
"220","0","0","5","11951","3","0","0"
"42","0","0","1","12011","5","0","0"
"84","0","0","1","12021","5","0","0"
"126","0","0","1","12031","5","0","0"
"168","0","0","1","12041","5","0","0"
"210","0","0","1","12051","5","0","0"
"92","0","0","3","12111","2","0","0"
"184","0","0","3","12121","2","0","0"
"276","0","0","3","12131","2","0","0"
"368","0","0","3","12141","2","0","0"
"460","0","0","3","12151","2","0","0"
"1","0","0","4","12211","100","0","0"
"2","0","0","4","12221","100","0","0"
"15","0","0","1","12311","6","0","0"
"30","0","0","1","12321","6","0","0"
"45","0","0","1","12331","6","0","0"
"60","0","0","1","12341","6","0","0"
"75","0","0","1","12351","6","0","0"
"90","0","0","2","12411","4","0","0"
"180","0","0","2","12421","4","0","0"
"270","0","0","2","12431","4","0","0"
"360","0","0","2","12441","4","0","0"
"450","0","0","2","12451","4","0","0"
"15","0","0","3","12511","7","0","0"
"30","0","0","3","12521","7","0","0"
"45","0","0","3","12531","7","0","0"
"60","0","0","3","12541","7","0","0"
"75","0","0","3","12551","7","0","0"
"1","0","0","5","12611","101","0","0"
"2","0","0","5","12621","101","0","0"
"3","0","0","5","12631","101","0","0"
"42","0","0","3","12711","3","0","0"
"84","0","0","3","12721","3","0","0"
"126","0","0","3","12731","3","0","0"
"168","0","0","3","12741","3","0","0"
"210","0","0","3","12751","3","0","0"
"38","0","0","4","12811","5","0","0"
"76","0","0","4","12821","5","0","0"
"114","0","0","4","12831","5","0","0"
"152","0","0","4","12841","5","0","0"
"190","0","0","4","12851","5","0","0"
"48","0","0","1","12911","1","0","0"
"96","0","0","1","12921","1","0","0"
"144","0","0","1","12931","1","0","0"
"192","0","0","1","12941","1","0","0"
"240","0","0","1","12951","1","0","0"
"44","0","0","2","13011","5","0","0"
"88","0","0","2","13021","5","0","0"
"132","0","0","2","13031","5","0","0"
"176","0","0","2","13041","5","0","0"
"220","0","0","2","13051","5","0","0"
"20","0","0","4","13111","6","0","0"
"40","0","0","4","13121","6","0","0"
"60","0","0","4","13131","6","0","0"
"80","0","0","4","13141","6","0","0"
"100","0","0","4","13151","6","0","0"
"90","0","0","5","13211","2","0","0"
"180","0","0","5","13221","2","0","0"
"270","0","0","5","13231","2","0","0"
"360","0","0","5","13241","2","0","0"
"450","0","0","5","13251","2","0","0"
"1","0","0","1","13311","101","0","0"
"2","0","0","1","13321","101","0","0"
"3","0","0","1","13331","101","0","0"
"1","0","0","4","13411","101","0","0"
"62","0","0","5","13511","1","0","0"
"124","0","0","5","13521","1","0","0"
"186","0","0","5","13531","1","0","0"
"248","0","0","5","13541","1","0","0"
"310","0","0","5","13551","1","0","0"
"92","0","0","1","13611","4","0","0"
"184","0","0","1","13621","4","0","0"
"276","0","0","1","13631","4","0","0"
"368","0","0","1","13641","4","0","0"
"460","0","0","1","13651","4","0","0"
"40","0","0","5","13711","5","0","0"
"80","0","0","5","13721","5","0","0"
"120","0","0","5","13731","5","0","0"
"160","0","0","5","13741","5","0","0"
"200","0","0","5","13751","5","0","0"
"42","2","4","1","13811","5","3","5"
"84","2","4","1","13821","5","3","5"
"126","2","4","1","13831","5","3","5"
"168","2","4","1","13841","5","3","5"
"210","2","4","1","13851","5","3","5"
"20","0","0","3","13911","6","0","0"
"40","0","0","3","13921","6","0","0"
"60","0","0","3","13931","6","0","0"
"80","0","0","3","13941","6","0","0"
"100","0","0","3","13951","6","0","0"
"40","0","0","4","14011","5","0","0"
"80","0","0","4","14021","5","0","0"
"120","0","0","4","14031","5","0","0"
"160","0","0","4","14041","5","0","0"
"200","0","0","4","14051","5","0","0"
"40","0","0","1","14111","3","0","0"
"80","0","0","1","14121","3","0","0"
"120","0","0","1","14131","3","0","0"
"160","0","0","1","14141","3","0","0"
"200","0","0","1","14151","3","0","0"
"94","0","0","2","14211","2","0","0"
"188","0","0","2","14221","2","0","0"
"282","0","0","2","14231","2","0","0"
"376","0","0","2","14241","2","0","0"
"470","0","0","2","14251","2","0","0"
"62","0","0","4","14311","1","0","0"
"124","0","0","4","14321","1","0","0"
"186","0","0","4","14331","1","0","0"
"248","0","0","4","14341","1","0","0"
"310","0","0","4","14351","1","0","0"
"92","0","0","5","14411","2","0","0"
"184","0","0","5","14421","2","0","0"
"276","0","0","5","14431","2","0","0"
"368","0","0","5","14441","2","0","0"
"460","0","0","5","14451","2","0","0"
"20","0","0","1","14511","7","0","0"
"40","0","0","1","14521","7","0","0"
"60","0","0","1","14531","7","0","0"
"80","0","0","1","14541","7","0","0"
"100","0","0","1","14551","7","0","0"
"46","0","0","2","14611","5","0","0"
"92","0","0","2","14621","5","0","0"
"138","0","0","2","14631","5","0","0"
"184","0","0","2","14641","5","0","0"
"230","0","0","2","14651","5","0","0"
"1","0","0","3","14711","101","0","0"
"2","0","0","3","14721","101","0","0"
"1","0","0","4","14811","101","0","0"
"2","0","0","4","14821","101","0","0"
"50","0","0","3","14911","1","0","0"
"100","0","0","3","14921","1","0","0"
"150","0","0","3","14931","1","0","0"
"200","0","0","3","14941","1","0","0"
"250","0","0","3","14951","1","0","0"
"42","0","0","5","15011","5","0","0"
"84","0","0","5","15021","5","0","0"
"126","0","0","5","15031","5","0","0"
"168","0","0","5","15041","5","0","0"
"210","0","0","5","15051","5","0","0"
"44","0","0","1","15111","5","0","0"
"88","0","0","1","15121","5","0","0"
"132","0","0","1","15131","5","0","0"
"176","0","0","1","15141","5","0","0"
"220","0","0","1","15151","5","0","0"
"1","0","0","1","15211","100","0","0"
"1","0","0","2","15311","101","0","0"
"2","0","0","2","15321","101","0","0"
"94","0","0","3","15411","2","0","0"
"188","0","0","3","15421","2","0","0"
"282","0","0","3","15431","2","0","0"
"376","0","0","3","15441","2","0","0"
"470","0","0","3","15451","2","0","0"
